ko:K22220	mabl:MMASJCM_2557
ko:K00459	mabl:MMASJCM_0161
ko:K01854	mabl:MMASJCM_0172
ko:K16650	mabl:MMASJCM_0173
ko:K14136	mabl:MMASJCM_0175
ko:K13687	mabl:MMASJCM_0176
ko:K18851	mabl:MMASJCM_0177
ko:K18851	mabl:MMASJCM_0178
ko:K18851	mabl:MMASJCM_0179
ko:K12428	mabl:MMASJCM_0181
ko:K00626	mabl:MMASJCM_0589
ko:K01692	mabl:MMASJCM_0595
ko:K15981	mabl:MMASJCM_0600
ko:K00626	mabl:MMASJCM_0601
ko:K00626	mabl:MMASJCM_0602
ko:K15981	mabl:MMASJCM_0603
ko:K05898	mabl:MMASJCM_0611
ko:K16051	mabl:MMASJCM_0612
ko:K00666	mabl:MMASJCM_1019
ko:K15866	mabl:MMASJCM_1022
ko:K01644	mabl:MMASJCM_1025
ko:K00666	mabl:MMASJCM_1028
ko:K00128	mabl:MMASJCM_1031
ko:K05337	mabl:MMASJCM_1032
ko:K00528	mabl:MMASJCM_1033
ko:K00626	mabl:MMASJCM_1036
ko:K01673	mabl:MMASJCM_1044
ko:K01887	mabl:MMASJCM_1452
ko:K01586	mabl:MMASJCM_1453
ko:K01733	mabl:MMASJCM_1455
ko:K00872	mabl:MMASJCM_1456
ko:K03628	mabl:MMASJCM_1457
ko:K02909	mabl:MMASJCM_1460
ko:K02835	mabl:MMASJCM_1461
ko:K02493	mabl:MMASJCM_1462
ko:K02851	mabl:MMASJCM_1464
ko:K02108	mabl:MMASJCM_1466
ko:K02110	mabl:MMASJCM_1467
ko:K02109	mabl:MMASJCM_1468
ko:K02109	mabl:MMASJCM_1469
ko:K02113	mabl:MMASJCM_1469
ko:K02111	mabl:MMASJCM_1470
ko:K02115	mabl:MMASJCM_1471
ko:K02112	mabl:MMASJCM_1472
ko:K02114	mabl:MMASJCM_1473
ko:K07107	mabl:MMASJCM_1890
ko:K07241	mabl:MMASJCM_1905
ko:K02227	mabl:MMASJCM_1906
ko:K01515	mabl:MMASJCM_2314
ko:K04763	mabl:MMASJCM_2315
ko:K03496	mabl:MMASJCM_2316
ko:K05896	mabl:MMASJCM_2317
ko:K06024	mabl:MMASJCM_2318
ko:K06178	mabl:MMASJCM_2319
ko:K00945	mabl:MMASJCM_2320
ko:K03977	mabl:MMASJCM_2321
ko:K10673	mabl:MMASJCM_2326
ko:K03070	mabl:MMASJCM_2337
ko:K08256	mabl:MMASJCM_2852
ko:K00995	mabl:MMASJCM_2854
ko:K01868	mabl:MMASJCM_2856
ko:K00077	mabl:MMASJCM_2866
ko:K11738	mabl:MMASJCM_2868
ko:K11159	mabl:MMASJCM_2869
ko:K07402	mabl:MMASJCM_2933
ko:K01487	mabl:MMASJCM_2937
ko:K00365	mabl:MMASJCM_2938
ko:K07127	mabl:MMASJCM_2939
ko:K16840	mabl:MMASJCM_2940
ko:K16841	mabl:MMASJCM_2943
ko:K03457	mabl:MMASJCM_2945
ko:K11103	mabl:MMASJCM_2947
ko:K01477	mabl:MMASJCM_2949
ko:K09117	mabl:MMASJCM_2955
ko:K08167	mabl:MMASJCM_2957
ko:K01356	mabl:MMASJCM_3042
ko:K03823	mabl:MMASJCM_3043
ko:K08351	mabl:MMASJCM_3046
ko:K03665	mabl:MMASJCM_3047
ko:K01778	mabl:MMASJCM_3048
ko:K00791	mabl:MMASJCM_3049
ko:K06168	mabl:MMASJCM_3053
ko:K10008	mabl:MMASJCM_3055
ko:K01692	mabl:MMASJCM_1211
ko:K01692	mabl:MMASJCM_1213
ko:K00140	mabl:MMASJCM_1215
ko:K08289	mabl:MMASJCM_1217
ko:K00626	mabl:MMASJCM_1218
ko:K01697	mabl:MMASJCM_1221
ko:K01739	mabl:MMASJCM_1223
ko:K01754	mabl:MMASJCM_1226
ko:K03624	mabl:MMASJCM_1228
ko:K18455	mabl:MMASJCM_1230
ko:K06888	mabl:MMASJCM_1232
ko:K02379	mabl:MMASJCM_1615
ko:K02888	mabl:MMASJCM_1632
ko:K02899	mabl:MMASJCM_1633
ko:K03979	mabl:MMASJCM_1634
ko:K00931	mabl:MMASJCM_1635
ko:K00852	mabl:MMASJCM_1639
ko:K00147	mabl:MMASJCM_1640
ko:K07161	mabl:MMASJCM_1642
ko:K00969	mabl:MMASJCM_1643
ko:K09710	mabl:MMASJCM_1644
ko:K02237	mabl:MMASJCM_1648
ko:K02238	mabl:MMASJCM_1649
ko:K02340	mabl:MMASJCM_1656
ko:K02968	mabl:MMASJCM_1657
ko:K04790	mabl:MMASJCM_2069
ko:K04789	mabl:MMASJCM_2071
ko:K04792	mabl:MMASJCM_2072
ko:K04788	mabl:MMASJCM_2073
ko:K00548	mabl:MMASJCM_2078
ko:K01523	mabl:MMASJCM_2080
ko:K00765	mabl:MMASJCM_2081
ko:K00330	mabl:MMASJCM_2083
ko:K00331	mabl:MMASJCM_2084
ko:K00332	mabl:MMASJCM_2085
ko:K00333	mabl:MMASJCM_2086
ko:K00334	mabl:MMASJCM_2087
ko:K00335	mabl:MMASJCM_2088
ko:K00337	mabl:MMASJCM_2090
ko:K00338	mabl:MMASJCM_2091
ko:K00339	mabl:MMASJCM_2092
ko:K00340	mabl:MMASJCM_2093
ko:K00341	mabl:MMASJCM_2094
ko:K00342	mabl:MMASJCM_2095
ko:K00343	mabl:MMASJCM_2096
ko:K00508	mabl:MMASJCM_2097
ko:K13953	mabl:MMASJCM_2510
ko:K08982	mabl:MMASJCM_2523
ko:K03325	mabl:MMASJCM_2527
ko:K10005	mabl:MMASJCM_3056
ko:K10006	mabl:MMASJCM_3057
ko:K10007	mabl:MMASJCM_3058
ko:K09958	mabl:MMASJCM_3059
ko:K07006	mabl:MMASJCM_3060
ko:K03565	mabl:MMASJCM_3064
ko:K10533	mabl:MMASJCM_3068
ko:K00099	mabl:MMASJCM_3175
ko:K06941	mabl:MMASJCM_3179
ko:K01061	mabl:MMASJCM_3188
ko:K00981	mabl:MMASJCM_3191
ko:K02838	mabl:MMASJCM_3192
ko:K09903	mabl:MMASJCM_3193
ko:K03811	mabl:MMASJCM_3195
ko:K05350	mabl:MMASJCM_3197
ko:K02357	mabl:MMASJCM_3200
ko:K03522	mabl:MMASJCM_3362
ko:K03521	mabl:MMASJCM_3363
ko:K16149	mabl:MMASJCM_3365
ko:K16150	mabl:MMASJCM_3366
ko:K12421	mabl:MMASJCM_3367
ko:K07044	mabl:MMASJCM_3373
ko:K07044	mabl:MMASJCM_3374
ko:K01692	mabl:MMASJCM_3382
ko:K02013	mabl:MMASJCM_3384
ko:K01079	mabl:MMASJCM_3388
ko:K02274	mabl:MMASJCM_3389
ko:K02016	mabl:MMASJCM_3390
ko:K11939	mabl:MMASJCM_3396
ko:K02471	mabl:MMASJCM_3399
ko:K13979	mabl:MMASJCM_3400
ko:K04077	mabl:MMASJCM_3744
ko:K04078	mabl:MMASJCM_3745
ko:K01409	mabl:MMASJCM_3747
ko:K03789	mabl:MMASJCM_3748
ko:K06925	mabl:MMASJCM_3750
ko:K01775	mabl:MMASJCM_3752
ko:K01580	mabl:MMASJCM_3753
ko:K00820	mabl:MMASJCM_3756
ko:K01113	mabl:MMASJCM_3762
ko:K03431	mabl:MMASJCM_3763
ko:K02996	mabl:MMASJCM_3764
ko:K02871	mabl:MMASJCM_3765
ko:K03466	mabl:MMASJCM_3769
ko:K14743	mabl:MMASJCM_3771
ko:K06173	mabl:MMASJCM_3781
ko:K02879	mabl:MMASJCM_3782
ko:K03040	mabl:MMASJCM_3783
ko:K02986	mabl:MMASJCM_3784
ko:K02948	mabl:MMASJCM_3785
ko:K02952	mabl:MMASJCM_3786
ko:K02919	mabl:MMASJCM_3787
ko:K02518	mabl:MMASJCM_3788
ko:K16645	mabl:MMASJCM_4167
ko:K00574	mabl:MMASJCM_4172
ko:K09967	mabl:MMASJCM_4176
ko:K09967	mabl:MMASJCM_4177
ko:K01941	mabl:MMASJCM_4178
ko:K00074	mabl:MMASJCM_4179
ko:K01637	mabl:MMASJCM_4180
ko:K05303	mabl:MMASJCM_4194
ko:K17947	mabl:MMASJCM_4197
ko:K00973	mabl:MMASJCM_4200
ko:K06994	mabl:MMASJCM_4202
ko:K06994	mabl:MMASJCM_4203
ko:K07110	mabl:MMASJCM_4205
ko:K01673	mabl:MMASJCM_4213
ko:K00382	mabl:MMASJCM_4214
ko:K01322	mabl:MMASJCM_4217
ko:K01104	mabl:MMASJCM_4647
ko:K09793	mabl:MMASJCM_4648
ko:K18481	mabl:MMASJCM_4649
ko:K02067	mabl:MMASJCM_4654
ko:K02066	mabl:MMASJCM_4656
ko:K02066	mabl:MMASJCM_4657
ko:K00128	mabl:MMASJCM_4661
ko:K11609	mabl:MMASJCM_4664
ko:K00252	mabl:MMASJCM_4665
ko:K01720	mabl:MMASJCM_4673
ko:K03417	mabl:MMASJCM_4674
ko:K01647	mabl:MMASJCM_4675
ko:K00549	mabl:MMASJCM_4679
ko:K00666	mabl:MMASJCM_4682
ko:K00076	mabl:MMASJCM_4688
ko:K00965	mabl:MMASJCM_4693
ko:K00849	mabl:MMASJCM_4694
ko:K03307	mabl:MMASJCM_4695
ko:K01687	mabl:MMASJCM_4696
ko:K02433	mabl:MMASJCM_4698
ko:K05846	mabl:MMASJCM_0261
ko:K05846	mabl:MMASJCM_0262
ko:K09957	mabl:MMASJCM_0263
ko:K04517	mabl:MMASJCM_0264
ko:K11991	mabl:MMASJCM_0266
ko:K00773	mabl:MMASJCM_0271
ko:K01885	mabl:MMASJCM_0274
ko:K13671	mabl:MMASJCM_0277
ko:K01952	mabl:MMASJCM_0697
ko:K07052	mabl:MMASJCM_0699
ko:K00764	mabl:MMASJCM_0703
ko:K02033	mabl:MMASJCM_0710
ko:K02034	mabl:MMASJCM_0711
ko:K02031	mabl:MMASJCM_0712
ko:K02032	mabl:MMASJCM_0712
ko:K01426	mabl:MMASJCM_0714
ko:K00215	mabl:MMASJCM_0717
ko:K01933	mabl:MMASJCM_0718
ko:K06980	mabl:MMASJCM_0720
ko:K02619	mabl:MMASJCM_0721
ko:K01478	mabl:MMASJCM_1131
ko:K07056	mabl:MMASJCM_1133
ko:K01665	mabl:MMASJCM_1134
ko:K03088	mabl:MMASJCM_1136
ko:K01874	mabl:MMASJCM_1138
ko:K03424	mabl:MMASJCM_1139
ko:K02528	mabl:MMASJCM_1141
ko:K11738	mabl:MMASJCM_1142
ko:K06994	mabl:MMASJCM_1144
ko:K00919	mabl:MMASJCM_1148
ko:K00666	mabl:MMASJCM_1149
ko:K11608	mabl:MMASJCM_1150
ko:K01056	mabl:MMASJCM_1151
ko:K02897	mabl:MMASJCM_1152
ko:K13288	mabl:MMASJCM_1553
ko:K06915	mabl:MMASJCM_1554
ko:K07124	mabl:MMASJCM_1557
ko:K06902	mabl:MMASJCM_1558
ko:K11103	mabl:MMASJCM_1560
ko:K00955	mabl:MMASJCM_1564
ko:K00957	mabl:MMASJCM_1565
ko:K06959	mabl:MMASJCM_1571
ko:K13668	mabl:MMASJCM_1990
ko:K01897	mabl:MMASJCM_1992
ko:K00655	mabl:MMASJCM_1998
ko:K13671	mabl:MMASJCM_1999
ko:K01626	mabl:MMASJCM_2001
ko:K14337	mabl:MMASJCM_2005
ko:K13787	mabl:MMASJCM_2006
ko:K00297	mabl:MMASJCM_2007
ko:K03925	mabl:MMASJCM_2011
ko:K03438	mabl:MMASJCM_2012
ko:K03587	mabl:MMASJCM_2014
ko:K01928	mabl:MMASJCM_2015
ko:K00380	mabl:MMASJCM_2432
ko:K00265	mabl:MMASJCM_2433
ko:K00380	mabl:MMASJCM_2438
ko:K05593	mabl:MMASJCM_2439
ko:K00232	mabl:MMASJCM_3582
ko:K07654	mabl:MMASJCM_3584
ko:K07670	mabl:MMASJCM_3585
ko:K07507	mabl:MMASJCM_3587
ko:K00943	mabl:MMASJCM_3588
ko:K01251	mabl:MMASJCM_3591
ko:K00496	mabl:MMASJCM_3595
ko:K03294	mabl:MMASJCM_3596
ko:K01809	mabl:MMASJCM_3598
ko:K01840	mabl:MMASJCM_3600
ko:K11212	mabl:MMASJCM_3604
ko:K12234	mabl:MMASJCM_3605
ko:K00966	mabl:MMASJCM_3608
ko:K16870	mabl:MMASJCM_3609
ko:K00067	mabl:MMASJCM_3610
ko:K01588	mabl:MMASJCM_3615
ko:K01589	mabl:MMASJCM_3616
ko:K03119	mabl:MMASJCM_3617
ko:K03524	mabl:MMASJCM_3621
ko:K15982	mabl:MMASJCM_3622
ko:K00666	mabl:MMASJCM_3623
ko:K01966	mabl:MMASJCM_3626
ko:K03799	mabl:MMASJCM_3946
ko:K00805	mabl:MMASJCM_3947
ko:K03183	mabl:MMASJCM_3949
ko:K12583	mabl:MMASJCM_3950
ko:K02551	mabl:MMASJCM_3952
ko:K02549	mabl:MMASJCM_3954
ko:K06911	mabl:MMASJCM_3959
ko:K06975	mabl:MMASJCM_3960
ko:K01661	mabl:MMASJCM_3963
ko:K15977	mabl:MMASJCM_4392
ko:K14260	mabl:MMASJCM_4398
ko:K00012	mabl:MMASJCM_4399
ko:K01494	mabl:MMASJCM_4401
ko:K07407	mabl:MMASJCM_4407
ko:K01130	mabl:MMASJCM_4410
ko:K09956	mabl:MMASJCM_4411
ko:K08372	mabl:MMASJCM_4412
ko:K06994	mabl:MMASJCM_4413
ko:K00135	mabl:MMASJCM_4424
ko:K00077	mabl:MMASJCM_4873
ko:K03088	mabl:MMASJCM_4879
ko:K00274	mabl:MMASJCM_4883
ko:K02939	mabl:MMASJCM_4889
ko:K02963	mabl:MMASJCM_4890
ko:K03111	mabl:MMASJCM_4891
ko:K02990	mabl:MMASJCM_4892
ko:K01858	mabl:MMASJCM_4900
ko:K11735	mabl:MMASJCM_4903
ko:K00627	mabl:MMASJCM_4910
ko:K00162	mabl:MMASJCM_4911
ko:K00161	mabl:MMASJCM_4912
ko:K07148	mabl:MMASJCM_4915
ko:K12437	mabl:MMASJCM_0182
ko:K16264	mabl:MMASJCM_0185
ko:K11386	mabl:MMASJCM_0187
ko:K11385	mabl:MMASJCM_0188
ko:K11387	mabl:MMASJCM_0191
ko:K13686	mabl:MMASJCM_0192
ko:K16652	mabl:MMASJCM_0193
ko:K16653	mabl:MMASJCM_0194
ko:K00375	mabl:MMASJCM_0199
ko:K01992	mabl:MMASJCM_0204
ko:K16649	mabl:MMASJCM_0205
ko:K01990	mabl:MMASJCM_0206
ko:K02554	mabl:MMASJCM_0613
ko:K02440	mabl:MMASJCM_0373
ko:K00864	mabl:MMASJCM_0374
ko:K03924	mabl:MMASJCM_0382
ko:K03581	mabl:MMASJCM_0390
ko:K03582	mabl:MMASJCM_0391
ko:K03583	mabl:MMASJCM_0392
ko:K06994	mabl:MMASJCM_0801
ko:K10843	mabl:MMASJCM_0805
ko:K03637	mabl:MMASJCM_0809
ko:K03635	mabl:MMASJCM_0811
ko:K03639	mabl:MMASJCM_0817
ko:K03704	mabl:MMASJCM_0818
ko:K11068	mabl:MMASJCM_1235
ko:K12503	mabl:MMASJCM_1236
ko:K15981	mabl:MMASJCM_1238
ko:K05917	mabl:MMASJCM_1241
ko:K00128	mabl:MMASJCM_1245
ko:K01607	mabl:MMASJCM_1248
ko:K03929	mabl:MMASJCM_1250
ko:K05846	mabl:MMASJCM_1252
ko:K05847	mabl:MMASJCM_1253
ko:K05846	mabl:MMASJCM_1254
ko:K05845	mabl:MMASJCM_1255
ko:K03333	mabl:MMASJCM_1259
ko:K00867	mabl:MMASJCM_1261
ko:K03596	mabl:MMASJCM_1663
ko:K00459	mabl:MMASJCM_1664
ko:K02048	mabl:MMASJCM_1676
ko:K02046	mabl:MMASJCM_1677
ko:K02047	mabl:MMASJCM_1678
ko:K02045	mabl:MMASJCM_1679
ko:K00956	mabl:MMASJCM_1682
ko:K00957	mabl:MMASJCM_1683
ko:K00390	mabl:MMASJCM_1684
ko:K00392	mabl:MMASJCM_1685
ko:K02066	mabl:MMASJCM_2098
ko:K18476	mabl:MMASJCM_2100
ko:K06978	mabl:MMASJCM_2107
ko:K03921	mabl:MMASJCM_2108
ko:K07442	mabl:MMASJCM_2110
ko:K13527	mabl:MMASJCM_2113
ko:K03088	mabl:MMASJCM_2114
ko:K01652	mabl:MMASJCM_2116
ko:K00648	mabl:MMASJCM_2118
ko:K00817	mabl:MMASJCM_2119
ko:K13570	mabl:MMASJCM_2122
ko:K03433	mabl:MMASJCM_2123
ko:K03424	mabl:MMASJCM_2534
ko:K01154	mabl:MMASJCM_2538
ko:K03427	mabl:MMASJCM_2539
ko:K01153	mabl:MMASJCM_2540
ko:K04073	mabl:MMASJCM_0614
ko:K01666	mabl:MMASJCM_0615
ko:K05571	mabl:MMASJCM_0619
ko:K05570	mabl:MMASJCM_0620
ko:K05569	mabl:MMASJCM_0621
ko:K05568	mabl:MMASJCM_0622
ko:K05567	mabl:MMASJCM_0623
ko:K05565	mabl:MMASJCM_0624
ko:K13525	mabl:MMASJCM_0625
ko:K17103	mabl:MMASJCM_0626
ko:K01613	mabl:MMASJCM_0627
ko:K03750	mabl:MMASJCM_0628
ko:K04077	mabl:MMASJCM_0640
ko:K01725	mabl:MMASJCM_1052
ko:K03322	mabl:MMASJCM_1057
ko:K10979	mabl:MMASJCM_1058
ko:K01971	mabl:MMASJCM_1059
ko:K02228	mabl:MMASJCM_1063
ko:K10563	mabl:MMASJCM_1064
ko:K02274	mabl:MMASJCM_1069
ko:K01714	mabl:MMASJCM_1072
ko:K01628	mabl:MMASJCM_1073
ko:K00003	mabl:MMASJCM_1454
ko:K00790	mabl:MMASJCM_1476
ko:K07503	mabl:MMASJCM_1479
ko:K05606	mabl:MMASJCM_1481
ko:K00626	mabl:MMASJCM_1482
ko:K05838	mabl:MMASJCM_1484
ko:K00700	mabl:MMASJCM_1486
ko:K16147	mabl:MMASJCM_1487
ko:K00688	mabl:MMASJCM_1488
ko:K08281	mabl:MMASJCM_1491
ko:K00763	mabl:MMASJCM_1493
ko:K06891	mabl:MMASJCM_1494
ko:K01104	mabl:MMASJCM_1908
ko:K00817	mabl:MMASJCM_1910
ko:K07164	mabl:MMASJCM_1912
ko:K07226	mabl:MMASJCM_1914
ko:K03924	mabl:MMASJCM_1919
ko:K00606	mabl:MMASJCM_1926
ko:K01915	mabl:MMASJCM_1930
ko:K00982	mabl:MMASJCM_1931
ko:K02437	mabl:MMASJCM_2342
ko:K08999	mabl:MMASJCM_2345
ko:K00281	mabl:MMASJCM_2347
ko:K01638	mabl:MMASJCM_2349
ko:K00088	mabl:MMASJCM_2352
ko:K00033	mabl:MMASJCM_2353
ko:K01430	mabl:MMASJCM_2365
ko:K01429	mabl:MMASJCM_2366
ko:K12421	mabl:MMASJCM_2961
ko:K12421	mabl:MMASJCM_2962
ko:K15983	mabl:MMASJCM_2965
ko:K07044	mabl:MMASJCM_2966
ko:K06916	mabl:MMASJCM_2974
ko:K16647	mabl:MMASJCM_2977
ko:K07305	mabl:MMASJCM_2978
ko:K18553	mabl:MMASJCM_2982
ko:K00231	mabl:MMASJCM_2984
ko:K01599	mabl:MMASJCM_2985
ko:K10533	mabl:MMASJCM_3069
ko:K00995	mabl:MMASJCM_3076
ko:K00619	mabl:MMASJCM_3077
ko:K03466	mabl:MMASJCM_3079
ko:K12574	mabl:MMASJCM_3088
ko:K01714	mabl:MMASJCM_3089
ko:K09927	mabl:MMASJCM_3092
ko:K02967	mabl:MMASJCM_3201
ko:K06994	mabl:MMASJCM_3206
ko:K03733	mabl:MMASJCM_3209
ko:K01673	mabl:MMASJCM_3216
ko:K01673	mabl:MMASJCM_3217
ko:K04096	mabl:MMASJCM_3218
ko:K07391	mabl:MMASJCM_3219
ko:K07460	mabl:MMASJCM_3220
ko:K03647	mabl:MMASJCM_3422
ko:K01916	mabl:MMASJCM_3427
ko:K03088	mabl:MMASJCM_3436
ko:K10974	mabl:MMASJCM_3440
ko:K12410	mabl:MMASJCM_3447
ko:K01835	mabl:MMASJCM_3458
ko:K03929	mabl:MMASJCM_3460
ko:K03929	mabl:MMASJCM_3461
ko:K07192	mabl:MMASJCM_3791
ko:K01790	mabl:MMASJCM_3794
ko:K01265	mabl:MMASJCM_3797
ko:K00939	mabl:MMASJCM_3798
ko:K03076	mabl:MMASJCM_3799
ko:K04773	mabl:MMASJCM_3804
ko:K02876	mabl:MMASJCM_3809
ko:K02907	mabl:MMASJCM_3810
ko:K02988	mabl:MMASJCM_3811
ko:K02881	mabl:MMASJCM_3812
ko:K02933	mabl:MMASJCM_3813
ko:K02994	mabl:MMASJCM_3814
ko:K00262	mabl:MMASJCM_3816
ko:K03929	mabl:MMASJCM_3820
ko:K02954	mabl:MMASJCM_3821
ko:K02931	mabl:MMASJCM_3822
ko:K02895	mabl:MMASJCM_3823
ko:K02874	mabl:MMASJCM_3824
ko:K03761	mabl:MMASJCM_3825
ko:K02961	mabl:MMASJCM_3828
ko:K02904	mabl:MMASJCM_3829
ko:K02878	mabl:MMASJCM_3830
ko:K02982	mabl:MMASJCM_3831
ko:K02890	mabl:MMASJCM_3832
ko:K02965	mabl:MMASJCM_3833
ko:K02886	mabl:MMASJCM_3834
ko:K02892	mabl:MMASJCM_3835
ko:K02926	mabl:MMASJCM_3836
ko:K02906	mabl:MMASJCM_3837
ko:K02946	mabl:MMASJCM_3838
ko:K15981	mabl:MMASJCM_0105
ko:K10215	mabl:MMASJCM_0107
ko:K02553	mabl:MMASJCM_0112
ko:K07156	mabl:MMASJCM_0114
ko:K04564	mabl:MMASJCM_0122
ko:K07304	mabl:MMASJCM_0124
ko:K01126	mabl:MMASJCM_0127
ko:K14733	mabl:MMASJCM_0514
ko:K03696	mabl:MMASJCM_0534
ko:K02016	mabl:MMASJCM_0535
ko:K02013	mabl:MMASJCM_0536
ko:K02015	mabl:MMASJCM_0537
ko:K01114	mabl:MMASJCM_0543
ko:K03575	mabl:MMASJCM_0546
ko:K01673	mabl:MMASJCM_0547
ko:K01673	mabl:MMASJCM_0548
ko:K07067	mabl:MMASJCM_0551
ko:K04485	mabl:MMASJCM_0553
ko:K07736	mabl:MMASJCM_0557
ko:K00991	mabl:MMASJCM_0558
ko:K01770	mabl:MMASJCM_0559
ko:K01883	mabl:MMASJCM_0560
ko:K15981	mabl:MMASJCM_0964
ko:K02066	mabl:MMASJCM_0965
ko:K01006	mabl:MMASJCM_0971
ko:K02066	mabl:MMASJCM_0985
ko:K02066	mabl:MMASJCM_0986
ko:K02067	mabl:MMASJCM_0988
ko:K02027	mabl:MMASJCM_1396
ko:K02025	mabl:MMASJCM_1397
ko:K02026	mabl:MMASJCM_1398
ko:K10112	mabl:MMASJCM_1399
ko:K03284	mabl:MMASJCM_1402
ko:K05595	mabl:MMASJCM_1403
ko:K00027	mabl:MMASJCM_1404
ko:K01616	mabl:MMASJCM_1413
ko:K07552	mabl:MMASJCM_1415
ko:K03701	mabl:MMASJCM_2264
ko:K04567	mabl:MMASJCM_2269
ko:K02520	mabl:MMASJCM_2271
ko:K02916	mabl:MMASJCM_2272
ko:K02887	mabl:MMASJCM_2273
ko:K03437	mabl:MMASJCM_2274
ko:K00567	mabl:MMASJCM_2280
ko:K13529	mabl:MMASJCM_2281
ko:K01889	mabl:MMASJCM_2283
ko:K01890	mabl:MMASJCM_2284
ko:K01681	mabl:MMASJCM_2694
ko:K01692	mabl:MMASJCM_2701
ko:K00384	mabl:MMASJCM_2703
ko:K04488	mabl:MMASJCM_2710
ko:K11717	mabl:MMASJCM_2711
ko:K09013	mabl:MMASJCM_2712
ko:K09015	mabl:MMASJCM_2713
ko:K09014	mabl:MMASJCM_2714
ko:K14339	mabl:MMASJCM_2716
ko:K00275	mabl:MMASJCM_3839
ko:K00626	mabl:MMASJCM_3842
ko:K00697	mabl:MMASJCM_4230
ko:K18481	mabl:MMASJCM_4231
ko:K18481	mabl:MMASJCM_4232
ko:K02067	mabl:MMASJCM_4233
ko:K02067	mabl:MMASJCM_4234
ko:K02067	mabl:MMASJCM_4235
ko:K02067	mabl:MMASJCM_4236
ko:K02067	mabl:MMASJCM_4237
ko:K02067	mabl:MMASJCM_4238
ko:K02066	mabl:MMASJCM_4239
ko:K02066	mabl:MMASJCM_4240
ko:K00059	mabl:MMASJCM_4241
ko:K05337	mabl:MMASJCM_4242
ko:K00666	mabl:MMASJCM_4245
ko:K18688	mabl:MMASJCM_4248
ko:K01692	mabl:MMASJCM_4249
ko:K07157	mabl:MMASJCM_4250
ko:K07068	mabl:MMASJCM_4252
ko:K00626	mabl:MMASJCM_4254
ko:K00528	mabl:MMASJCM_4256
ko:K15982	mabl:MMASJCM_4259
ko:K07560	mabl:MMASJCM_4261
ko:K00957	mabl:MMASJCM_4267
ko:K00955	mabl:MMASJCM_4268
ko:K06048	mabl:MMASJCM_4269
ko:K04565	mabl:MMASJCM_4270
ko:K01640	mabl:MMASJCM_4705
ko:K03088	mabl:MMASJCM_4707
ko:K03975	mabl:MMASJCM_4717
ko:K07045	mabl:MMASJCM_4724
ko:K02078	mabl:MMASJCM_4726
ko:K02003	mabl:MMASJCM_4727
ko:K02004	mabl:MMASJCM_4728
ko:K04487	mabl:MMASJCM_4729
ko:K04488	mabl:MMASJCM_4730
ko:K00038	mabl:MMASJCM_4737
ko:K01857	mabl:MMASJCM_0289
ko:K03929	mabl:MMASJCM_0291
ko:K01626	mabl:MMASJCM_0292
ko:K00216	mabl:MMASJCM_0293
ko:K13063	mabl:MMASJCM_0295
ko:K02343	mabl:MMASJCM_0303
ko:K00574	mabl:MMASJCM_0304
ko:K01689	mabl:MMASJCM_0306
ko:K01448	mabl:MMASJCM_0312
ko:K09747	mabl:MMASJCM_0313
ko:K06187	mabl:MMASJCM_0314
ko:K07009	mabl:MMASJCM_0315
ko:K02035	mabl:MMASJCM_0709
ko:K01011	mabl:MMASJCM_0731
ko:K15520	mabl:MMASJCM_0736
ko:K02040	mabl:MMASJCM_0737
ko:K02037	mabl:MMASJCM_0738
ko:K02038	mabl:MMASJCM_0739
ko:K02036	mabl:MMASJCM_0740
ko:K02039	mabl:MMASJCM_0742
ko:K03921	mabl:MMASJCM_0745
ko:K03921	mabl:MMASJCM_0746
ko:K00948	mabl:MMASJCM_1157
ko:K04042	mabl:MMASJCM_1158
ko:K01586	mabl:MMASJCM_1166
ko:K03723	mabl:MMASJCM_1167
ko:K02428	mabl:MMASJCM_1168
ko:K07243	mabl:MMASJCM_1169
ko:K16301	mabl:MMASJCM_1170
ko:K16301	mabl:MMASJCM_1171
ko:K07224	mabl:MMASJCM_1172
ko:K07243	mabl:MMASJCM_1173
ko:K01689	mabl:MMASJCM_1175
ko:K09009	mabl:MMASJCM_1177
ko:K01524	mabl:MMASJCM_1178
ko:K02351	mabl:MMASJCM_1578
ko:K07245	mabl:MMASJCM_1578
ko:K03111	mabl:MMASJCM_1580
ko:K15371	mabl:MMASJCM_1582
ko:K07107	mabl:MMASJCM_1583
ko:K01187	mabl:MMASJCM_1587
ko:K06886	mabl:MMASJCM_1588
ko:K01256	mabl:MMASJCM_1594
ko:K01808	mabl:MMASJCM_1597
ko:K05522	mabl:MMASJCM_1598
ko:K18851	mabl:MMASJCM_1602
ko:K01929	mabl:MMASJCM_2016
ko:K01000	mabl:MMASJCM_2017
ko:K01925	mabl:MMASJCM_2018
ko:K03588	mabl:MMASJCM_2019
ko:K02563	mabl:MMASJCM_2020
ko:K01924	mabl:MMASJCM_2021
ko:K03589	mabl:MMASJCM_2022
ko:K03531	mabl:MMASJCM_2023
ko:K01990	mabl:MMASJCM_2717
ko:K01992	mabl:MMASJCM_2718
ko:K04066	mabl:MMASJCM_2772
ko:K03786	mabl:MMASJCM_2799
ko:K01735	mabl:MMASJCM_2800
ko:K00891	mabl:MMASJCM_2801
ko:K01736	mabl:MMASJCM_2802
ko:K02654	mabl:MMASJCM_2803
