ko:K13967	bmee:DK62_3016
ko:K03724	bmee:DK62_2621
ko:K06953	bmee:DK62_2622
ko:K07090	bmee:DK62_2624
ko:K13582	bmee:DK62_2625
ko:K09137	bmee:DK62_2627
ko:K06199	bmee:DK62_2628
ko:K06199	bmee:DK62_2629
ko:K01686	bmee:DK62_2632
ko:K01812	bmee:DK62_2634
ko:K00040	bmee:DK62_2635
ko:K02055	bmee:DK62_2636
ko:K02052	bmee:DK62_2637
ko:K02054	bmee:DK62_2639
ko:K01784	bmee:DK62_359
ko:K14347	bmee:DK62_360
ko:K13953	bmee:DK62_363
ko:K03543	bmee:DK62_364
ko:K03446	bmee:DK62_365
ko:K18118	bmee:DK62_366
ko:K01011	bmee:DK62_369
ko:K01738	bmee:DK62_371
ko:K11927	bmee:DK62_372
ko:K03809	bmee:DK62_376
ko:K00769	bmee:DK62_379
ko:K16053	bmee:DK62_383
ko:K07007	bmee:DK62_384
ko:K13587	bmee:DK62_385
ko:K06204	bmee:DK62_388
ko:K08296	bmee:DK62_389
ko:K06918	bmee:DK62_390
ko:K08990	bmee:DK62_391
ko:K00950	bmee:DK62_393
ko:K01633	bmee:DK62_394
ko:K00796	bmee:DK62_395
ko:K13953	bmee:DK62_1212
ko:K00138	bmee:DK62_1213
ko:K00111	bmee:DK62_1215
ko:K02444	bmee:DK62_1216
ko:K01082	bmee:DK62_1220
ko:K00955	bmee:DK62_1221
ko:K00957	bmee:DK62_1222
ko:K16871	bmee:DK62_1223
ko:K07782	bmee:DK62_1224
ko:K00548	bmee:DK62_1225
ko:K00567	bmee:DK62_1229
ko:K00390	bmee:DK62_1231
ko:K00381	bmee:DK62_1232
ko:K02302	bmee:DK62_1234
ko:K07460	bmee:DK62_1235
ko:K07056	bmee:DK62_1236
ko:K02428	bmee:DK62_1238
ko:K00989	bmee:DK62_1240
ko:K03705	bmee:DK62_1241
ko:K03687	bmee:DK62_1242
ko:K06203	bmee:DK62_1245
ko:K10773	bmee:DK62_1246
ko:K02806	bmee:DK62_1250
ko:K03092	bmee:DK62_1252
ko:K06861	bmee:DK62_1253
ko:K09774	bmee:DK62_1254
ko:K11719	bmee:DK62_1255
ko:K04773	bmee:DK62_1256
ko:K05788	bmee:DK62_1257
ko:K06969	bmee:DK62_1259
ko:K06969	bmee:DK62_1260
ko:K03437	bmee:DK62_1261
ko:K03101	bmee:DK62_1262
ko:K09807	bmee:DK62_2056
ko:K01442	bmee:DK62_2064
ko:K09799	bmee:DK62_2067
ko:K08281	bmee:DK62_2066
ko:K06193	bmee:DK62_2068
ko:K00479	bmee:DK62_2070
ko:K09988	bmee:DK62_2071
ko:K00598	bmee:DK62_2076
ko:K00297	bmee:DK62_2080
ko:K07088	bmee:DK62_2081
ko:K07273	bmee:DK62_2083
ko:K05801	bmee:DK62_2085
ko:K03322	bmee:DK62_2089
ko:K01644	bmee:DK62_2092
ko:K09709	bmee:DK62_2093
ko:K02419	bmee:DK62_2098
ko:K02415	bmee:DK62_2099
ko:K02393	bmee:DK62_2100
ko:K02394	bmee:DK62_2102
ko:K02386	bmee:DK62_2103
ko:K02392	bmee:DK62_2104
ko:K02408	bmee:DK62_2105
ko:K02388	bmee:DK62_2106
ko:K02387	bmee:DK62_2107
ko:K08369	bmee:DK62_2900
ko:K01266	bmee:DK62_2901
ko:K03466	bmee:DK62_2902
ko:K14998	bmee:DK62_2905
ko:K00382	bmee:DK62_2904
ko:K09699	bmee:DK62_2906
ko:K00167	bmee:DK62_2907
ko:K00166	bmee:DK62_2908
ko:K10111	bmee:DK62_2909
ko:K10119	bmee:DK62_2911
ko:K10118	bmee:DK62_2912
ko:K10117	bmee:DK62_2913
ko:K10117	bmee:DK62_2914
ko:K18676	bmee:DK62_2915
ko:K03710	bmee:DK62_2916
ko:K00426	bmee:DK62_2918
ko:K00425	bmee:DK62_2919
ko:K16012	bmee:DK62_2920
ko:K16013	bmee:DK62_2921
ko:K05564	bmee:DK62_2923
ko:K05563	bmee:DK62_2924
ko:K05562	bmee:DK62_2925
ko:K05561	bmee:DK62_2926
ko:K05560	bmee:DK62_2927
ko:K05559	bmee:DK62_2928
ko:K07078	bmee:DK62_2930
ko:K03831	bmee:DK62_2931
ko:K01012	bmee:DK62_2933
ko:K00652	bmee:DK62_2934
ko:K01935	bmee:DK62_2935
ko:K00833	bmee:DK62_2936
ko:K00648	bmee:DK62_2937
ko:K00651	bmee:DK62_2939
ko:K07273	bmee:DK62_2940
ko:K03310	bmee:DK62_2941
ko:K06996	bmee:DK62_2943
ko:K03885	bmee:DK62_2945
ko:K06998	bmee:DK62_60
ko:K06199	bmee:DK62_63
ko:K02006	bmee:DK62_65
ko:K02008	bmee:DK62_66
ko:K16915	bmee:DK62_67
ko:K02007	bmee:DK62_68
ko:K02009	bmee:DK62_69
ko:K08717	bmee:DK62_70
ko:K03190	bmee:DK62_71
ko:K03189	bmee:DK62_72
ko:K03188	bmee:DK62_73
ko:K03187	bmee:DK62_74
ko:K01428	bmee:DK62_75
ko:K01429	bmee:DK62_76
ko:K01430	bmee:DK62_77
ko:K01993	bmee:DK62_79
ko:K13926	bmee:DK62_80
ko:K13926	bmee:DK62_81
ko:K16092	bmee:DK62_83
ko:K02016	bmee:DK62_84
ko:K02015	bmee:DK62_85
ko:K02013	bmee:DK62_87
ko:K02058	bmee:DK62_88
ko:K02057	bmee:DK62_89
ko:K02056	bmee:DK62_90
ko:K02431	bmee:DK62_92
ko:K02048	bmee:DK62_98
ko:K02046	bmee:DK62_99
ko:K02047	bmee:DK62_100
ko:K07002	bmee:DK62_101
ko:K07027	bmee:DK62_102
ko:K03455	bmee:DK62_103
ko:K12257	bmee:DK62_104
ko:K02990	bmee:DK62_944
ko:K02963	bmee:DK62_945
ko:K02939	bmee:DK62_947
ko:K00574	bmee:DK62_948
ko:K04485	bmee:DK62_950
ko:K03558	bmee:DK62_951
ko:K00764	bmee:DK62_952
ko:K17103	bmee:DK62_954
ko:K01613	bmee:DK62_955
ko:K06147	bmee:DK62_956
ko:K06966	bmee:DK62_959
ko:K03215	bmee:DK62_960
ko:K06442	bmee:DK62_961
ko:K01662	bmee:DK62_962
ko:K06911	bmee:DK62_963
ko:K03602	bmee:DK62_967
ko:K14652	bmee:DK62_969
ko:K01736	bmee:DK62_970
ko:K09778	bmee:DK62_972
ko:K03704	bmee:DK62_975
ko:K00208	bmee:DK62_977
ko:K00275	bmee:DK62_980
ko:K03179	bmee:DK62_981
ko:K01945	bmee:DK62_982
ko:K07566	bmee:DK62_991
ko:K01879	bmee:DK62_992
ko:K01878	bmee:DK62_993
ko:K02523	bmee:DK62_995
ko:K02911	bmee:DK62_1786
ko:K00626	bmee:DK62_1788
ko:K17675	bmee:DK62_1789
ko:K04762	bmee:DK62_1790
ko:K05524	bmee:DK62_1791
ko:K07736	bmee:DK62_1792
ko:K03089	bmee:DK62_1793
ko:K02062	bmee:DK62_1796
ko:K02063	bmee:DK62_1797
ko:K02064	bmee:DK62_1798
ko:K00949	bmee:DK62_1799
ko:K15738	bmee:DK62_1801
ko:K00873	bmee:DK62_1805
ko:K02919	bmee:DK62_1807
ko:K01589	bmee:DK62_1808
ko:K01588	bmee:DK62_1809
ko:K09987	bmee:DK62_1815
ko:K01908	bmee:DK62_1820
ko:K00927	bmee:DK62_1822
ko:K00134	bmee:DK62_1823
ko:K00615	bmee:DK62_1824
ko:K09888	bmee:DK62_1826
ko:K01934	bmee:DK62_1827
ko:K09769	bmee:DK62_1828
ko:K09706	bmee:DK62_1830
ko:K03523	bmee:DK62_1831
ko:K02909	bmee:DK62_1834
ko:K06147	bmee:DK62_1835
ko:K02557	bmee:DK62_1836
ko:K02053	bmee:DK62_2641
ko:K01708	bmee:DK62_2642
ko:K07722	bmee:DK62_2643
ko:K15584	bmee:DK62_2644
ko:K15585	bmee:DK62_2645
ko:K15586	bmee:DK62_2646
ko:K15587	bmee:DK62_2647
ko:K10824	bmee:DK62_2648
ko:K00626	bmee:DK62_2653
ko:K01782	bmee:DK62_2654
ko:K04566	bmee:DK62_2657
ko:K01673	bmee:DK62_2659
ko:K02035	bmee:DK62_2661
ko:K02033	bmee:DK62_2662
ko:K02034	bmee:DK62_2663
ko:K00286	bmee:DK62_2666
ko:K01491	bmee:DK62_2667
ko:K01690	bmee:DK62_2668
ko:K01057	bmee:DK62_2669
ko:K00036	bmee:DK62_2670
ko:K00059	bmee:DK62_2671
ko:K09471	bmee:DK62_2678
ko:K01915	bmee:DK62_2680
ko:K03601	bmee:DK62_2684
ko:K01919	bmee:DK62_2685
ko:K09761	bmee:DK62_2686
ko:K06075	bmee:DK62_2687
ko:K02016	bmee:DK62_2691
ko:K00384	bmee:DK62_397
ko:K00384	bmee:DK62_398
ko:K04755	bmee:DK62_399
ko:K18480	bmee:DK62_401
ko:K02067	bmee:DK62_402
ko:K02065	bmee:DK62_403
ko:K02066	bmee:DK62_404
ko:K00029	bmee:DK62_406
ko:K01885	bmee:DK62_407
ko:K01916	bmee:DK62_409
ko:K00901	bmee:DK62_410
ko:K01626	bmee:DK62_411
ko:K00383	bmee:DK62_412
ko:K09924	bmee:DK62_413
ko:K01807	bmee:DK62_414
ko:K01091	bmee:DK62_415
ko:K04751	bmee:DK62_418
ko:K01915	bmee:DK62_419
ko:K01091	bmee:DK62_421
ko:K06179	bmee:DK62_423
ko:K06147	bmee:DK62_424
ko:K06167	bmee:DK62_425
ko:K03424	bmee:DK62_426
ko:K01874	bmee:DK62_427
ko:K02341	bmee:DK62_428
ko:K00943	bmee:DK62_429
ko:K07258	bmee:DK62_430
ko:K03642	bmee:DK62_431
ko:K00537	bmee:DK62_432
ko:K00773	bmee:DK62_442
ko:K09803	bmee:DK62_443
ko:K16079	bmee:DK62_446
ko:K03555	bmee:DK62_1264
ko:K00029	bmee:DK62_1265
ko:K00029	bmee:DK62_1266
ko:K00990	bmee:DK62_1267
ko:K03980	bmee:DK62_1268
ko:K01867	bmee:DK62_1269
ko:K15012	bmee:DK62_1274
ko:K15011	bmee:DK62_1276
ko:K03579	bmee:DK62_1277
ko:K03579	bmee:DK62_1278
ko:K00121	bmee:DK62_1280
ko:K02348	bmee:DK62_1281
ko:K01070	bmee:DK62_1283
ko:K02470	bmee:DK62_1284
ko:K05592	bmee:DK62_1285
ko:K03684	bmee:DK62_1288
ko:K16079	bmee:DK62_1289
ko:K16079	bmee:DK62_1290
ko:K00847	bmee:DK62_1293
ko:K00763	bmee:DK62_1296
ko:K13688	bmee:DK62_1297
ko:K02045	bmee:DK62_1298
ko:K02047	bmee:DK62_1299
ko:K02046	bmee:DK62_1300
ko:K02048	bmee:DK62_1301
ko:K01687	bmee:DK62_1308
ko:K02199	bmee:DK62_1309
ko:K02196	bmee:DK62_1310
ko:K02195	bmee:DK62_1311
ko:K02194	bmee:DK62_1312
ko:K02193	bmee:DK62_1313
ko:K01681	bmee:DK62_1314
ko:K02412	bmee:DK62_2123
ko:K02391	bmee:DK62_2124
ko:K02556	bmee:DK62_2126
ko:K02416	bmee:DK62_2127
ko:K02417	bmee:DK62_2130
ko:K02410	bmee:DK62_2132
ko:K02401	bmee:DK62_2133
ko:K03543	bmee:DK62_2138
ko:K02055	bmee:DK62_2140
ko:K02054	bmee:DK62_2141
ko:K02053	bmee:DK62_2142
ko:K02052	bmee:DK62_2143
ko:K00033	bmee:DK62_2144
ko:K01581	bmee:DK62_2155
ko:K01426	bmee:DK62_2156
ko:K02017	bmee:DK62_2162
ko:K02018	bmee:DK62_2163
ko:K02051	bmee:DK62_2955
ko:K02049	bmee:DK62_2956
ko:K02050	bmee:DK62_2957
ko:K01993	bmee:DK62_2961
ko:K07112	bmee:DK62_2965
ko:K07112	bmee:DK62_2966
ko:K09781	bmee:DK62_2968
ko:K09781	bmee:DK62_2969
ko:K01462	bmee:DK62_2970
ko:K00058	bmee:DK62_2971
ko:K01895	bmee:DK62_2973
ko:K01895	bmee:DK62_2974
ko:K00626	bmee:DK62_2976
ko:K07305	bmee:DK62_2977
ko:K08224	bmee:DK62_2980
ko:K00978	bmee:DK62_2986
ko:K01790	bmee:DK62_2989
ko:K01845	bmee:DK62_2992
ko:K02851	bmee:DK62_2998
ko:K03818	bmee:DK62_3002
ko:K16079	bmee:DK62_3003
ko:K01676	bmee:DK62_461
ko:K03639	bmee:DK62_464
ko:K03752	bmee:DK62_465
ko:K02030	bmee:DK62_467
ko:K01873	bmee:DK62_473
ko:K09991	bmee:DK62_474
ko:K12340	bmee:DK62_475
ko:K00573	bmee:DK62_476
ko:K07213	bmee:DK62_477
ko:K13628	bmee:DK62_479
ko:K00858	bmee:DK62_481
ko:K11717	bmee:DK62_485
ko:K09015	bmee:DK62_486
ko:K09013	bmee:DK62_487
ko:K09014	bmee:DK62_488
ko:K04487	bmee:DK62_489
ko:K07018	bmee:DK62_490
ko:K09001	bmee:DK62_491
ko:K01866	bmee:DK62_493
ko:K03564	bmee:DK62_495
ko:K02836	bmee:DK62_499
ko:K05366	bmee:DK62_500
ko:K01448	bmee:DK62_501
ko:K08300	bmee:DK62_502
ko:K03786	bmee:DK62_506
ko:K02160	bmee:DK62_507
ko:K03823	bmee:DK62_1317
ko:K06890	bmee:DK62_1318
ko:K02004	bmee:DK62_1319
ko:K10804	bmee:DK62_1321
ko:K01975	bmee:DK62_1323
ko:K01104	bmee:DK62_1322
ko:K01724	bmee:DK62_1324
ko:K06941	bmee:DK62_1328
ko:K01940	bmee:DK62_1331
ko:K14160	bmee:DK62_1335
ko:K14161	bmee:DK62_1336
ko:K14162	bmee:DK62_1337
ko:K11068	bmee:DK62_1338
ko:K16165	bmee:DK62_1343
ko:K06889	bmee:DK62_1345
ko:K01835	bmee:DK62_1347
ko:K03593	bmee:DK62_1348
ko:K01759	bmee:DK62_1349
ko:K09800	bmee:DK62_1355
ko:K07278	bmee:DK62_1356
ko:K02300	bmee:DK62_1358
ko:K02299	bmee:DK62_1359
ko:K02298	bmee:DK62_1360
ko:K02297	bmee:DK62_1361
ko:K08738	bmee:DK62_1363
ko:K00979	bmee:DK62_1364
ko:K04518	bmee:DK62_1365
ko:K03426	bmee:DK62_1366
ko:K02020	bmee:DK62_2164
ko:K07146	bmee:DK62_2165
ko:K01625	bmee:DK62_2167
ko:K08602	bmee:DK62_2170
ko:K01665	bmee:DK62_2171
ko:K02619	bmee:DK62_2172
ko:K00808	bmee:DK62_2173
ko:K01772	bmee:DK62_2175
ko:K07340	bmee:DK62_2177
ko:K00963	bmee:DK62_2180
ko:K08305	bmee:DK62_2181
ko:K09795	bmee:DK62_2194
ko:K11737	bmee:DK62_2195
ko:K00266	bmee:DK62_2196
ko:K00265	bmee:DK62_2197
ko:K01620	bmee:DK62_2198
ko:K04080	bmee:DK62_2199
ko:K01048	bmee:DK62_2201
ko:K07507	bmee:DK62_2208
ko:K01531	bmee:DK62_2211
ko:K00014	bmee:DK62_2213
ko:K00627	bmee:DK62_2214
ko:K11381	bmee:DK62_2215
ko:K01711	bmee:DK62_3007
ko:K02377	bmee:DK62_3008
ko:K02377	bmee:DK62_3009
ko:K01991	bmee:DK62_3010
ko:K17948	bmee:DK62_3015
ko:K02035	bmee:DK62_3018
ko:K02033	bmee:DK62_3019
ko:K02034	bmee:DK62_3020
ko:K01714	bmee:DK62_3021
ko:K01999	bmee:DK62_3027
ko:K00135	bmee:DK62_3028
ko:K00014	bmee:DK62_3030
ko:K00059	bmee:DK62_3031
ko:K01996	bmee:DK62_3032
ko:K01995	bmee:DK62_3033
ko:K01998	bmee:DK62_3033
ko:K01999	bmee:DK62_3034
ko:K00925	bmee:DK62_3040
ko:K07243	bmee:DK62_3043
ko:K07230	bmee:DK62_3045
ko:K01951	bmee:DK62_3046
ko:K01243	bmee:DK62_3047
ko:K03500	bmee:DK62_3049
ko:K03781	bmee:DK62_3053
ko:K04761	bmee:DK62_3054
ko:K01961	bmee:DK62_508
ko:K00684	bmee:DK62_509
ko:K02434	bmee:DK62_513
ko:K03545	bmee:DK62_514
ko:K04094	bmee:DK62_519
ko:K02291	bmee:DK62_520
ko:K12257	bmee:DK62_522
ko:K03210	bmee:DK62_523
ko:K06923	bmee:DK62_524
ko:K00573	bmee:DK62_526
ko:K03787	bmee:DK62_527
ko:K01875	bmee:DK62_528
ko:K03118	bmee:DK62_529
ko:K03117	bmee:DK62_530
ko:K03116	bmee:DK62_531
ko:K06024	bmee:DK62_532
ko:K05896	bmee:DK62_533
ko:K01207	bmee:DK62_534
ko:K01887	bmee:DK62_536
ko:K01129	bmee:DK62_537
ko:K01142	bmee:DK62_540
ko:K07126	bmee:DK62_541
ko:K05800	bmee:DK62_544
ko:K00768	bmee:DK62_545
ko:K02233	bmee:DK62_546
ko:K06985	bmee:DK62_548
ko:K05539	bmee:DK62_547
ko:K02030	bmee:DK62_549
ko:K06162	bmee:DK62_550
ko:K00874	bmee:DK62_554
ko:K01785	bmee:DK62_553
ko:K09458	bmee:DK62_557
ko:K09458	bmee:DK62_558
ko:K02517	bmee:DK62_560
ko:K02343	bmee:DK62_1368
ko:K09747	bmee:DK62_1369
ko:K06187	bmee:DK62_1370
ko:K02945	bmee:DK62_1375
ko:K00945	bmee:DK62_1376
ko:K00800	bmee:DK62_1377
ko:K00253	bmee:DK62_1384
ko:K01969	bmee:DK62_1385
ko:K01968	bmee:DK62_1386
ko:K01968	bmee:DK62_1387
ko:K01640	bmee:DK62_1388
ko:K13766	bmee:DK62_1389
ko:K01999	bmee:DK62_1390
ko:K13893	bmee:DK62_1392
ko:K13893	bmee:DK62_1393
ko:K13894	bmee:DK62_1394
ko:K13895	bmee:DK62_1395
ko:K13896	bmee:DK62_1396
ko:K12972	bmee:DK62_1397
ko:K03629	bmee:DK62_1399
ko:K02338	bmee:DK62_1400
ko:K02313	bmee:DK62_1401
ko:K02968	bmee:DK62_1402
ko:K01692	bmee:DK62_1403
ko:K10563	bmee:DK62_1404
ko:K01255	bmee:DK62_1406
ko:K02073	bmee:DK62_1413
ko:K09826	bmee:DK62_1414
ko:K01716	bmee:DK62_1415
ko:K00647	bmee:DK62_1416
ko:K00208	bmee:DK62_1417
ko:K00564	bmee:DK62_1418
ko:K00564	bmee:DK62_1419
ko:K00962	bmee:DK62_1420
ko:K00059	bmee:DK62_2217
ko:K01996	bmee:DK62_2219
ko:K01995	bmee:DK62_2220
ko:K01998	bmee:DK62_2221
ko:K01997	bmee:DK62_2222
ko:K01999	bmee:DK62_2223
ko:K03088	bmee:DK62_2226
ko:K02364	bmee:DK62_2230
ko:K02361	bmee:DK62_2231
ko:K02363	bmee:DK62_2232
ko:K01252	bmee:DK62_2233
ko:K00216	bmee:DK62_2234
ko:K02362	bmee:DK62_2236
ko:K07335	bmee:DK62_2237
ko:K02056	bmee:DK62_2239
ko:K02057	bmee:DK62_2240
ko:K02057	bmee:DK62_2241
ko:K00852	bmee:DK62_2243
ko:K01996	bmee:DK62_2252
ko:K01995	bmee:DK62_2253
ko:K01995	bmee:DK62_2254
ko:K01998	bmee:DK62_2255
ko:K01997	bmee:DK62_2256
ko:K01999	bmee:DK62_2257
ko:K16087	bmee:DK62_2259
ko:K02050	bmee:DK62_2261
ko:K02049	bmee:DK62_2262
ko:K02051	bmee:DK62_2263
ko:K10112	bmee:DK62_2266
ko:K00088	bmee:DK62_3056
ko:K01840	bmee:DK62_3059
ko:K01425	bmee:DK62_3065
ko:K01425	bmee:DK62_3066
ko:K03585	bmee:DK62_3071
ko:K02053	bmee:DK62_3076
ko:K02052	bmee:DK62_3079
ko:K02055	bmee:DK62_3080
ko:K03608	bmee:DK62_3084
ko:K03609	bmee:DK62_3085
ko:K03610	bmee:DK62_3086
ko:K03647	bmee:DK62_3089
ko:K10111	bmee:DK62_3095
ko:K10238	bmee:DK62_3096
ko:K10237	bmee:DK62_3097
ko:K10236	bmee:DK62_3098
ko:K02529	bmee:DK62_3099
ko:K02575	bmee:DK62_3101
ko:K00370	bmee:DK62_3102
ko:K00371	bmee:DK62_3103
ko:K00373	bmee:DK62_3104
ko:K00374	bmee:DK62_3105
ko:K03769	bmee:DK62_3106
ko:K03186	bmee:DK62_3108
ko:K01783	bmee:DK62_561
ko:K01756	bmee:DK62_562
ko:K07104	bmee:DK62_563
ko:K07002	bmee:DK62_564
ko:K02510	bmee:DK62_565
ko:K01923	bmee:DK62_567
ko:K01952	bmee:DK62_568
ko:K01952	bmee:DK62_569
ko:K01952	bmee:DK62_572
ko:K07390	bmee:DK62_574
ko:K07552	bmee:DK62_576
ko:K14058	bmee:DK62_578
ko:K02986	bmee:DK62_579
ko:K02337	bmee:DK62_583
ko:K09810	bmee:DK62_584
ko:K09808	bmee:DK62_585
ko:K01881	bmee:DK62_586
ko:K05606	bmee:DK62_588
ko:K12574	bmee:DK62_589
ko:K03524	bmee:DK62_590
ko:K00343	bmee:DK62_591
ko:K00342	bmee:DK62_592
ko:K00341	bmee:DK62_593
ko:K00340	bmee:DK62_594
ko:K00339	bmee:DK62_595
ko:K00338	bmee:DK62_596
ko:K00337	bmee:DK62_597
ko:K00334	bmee:DK62_600
ko:K00333	bmee:DK62_601
ko:K00332	bmee:DK62_602
ko:K00331	bmee:DK62_603
ko:K00330	bmee:DK62_604
ko:K02956	bmee:DK62_1421
ko:K03177	bmee:DK62_1422
ko:K02834	bmee:DK62_1423
ko:K02519	bmee:DK62_1424
ko:K07742	bmee:DK62_1425
ko:K02600	bmee:DK62_1426
ko:K09748	bmee:DK62_1427
ko:K03439	bmee:DK62_1428
ko:K00789	bmee:DK62_1429
ko:K03820	bmee:DK62_1431
ko:K07042	bmee:DK62_1433
ko:K06168	bmee:DK62_1435
ko:K03789	bmee:DK62_1437
ko:K04047	bmee:DK62_1439
ko:K07657	bmee:DK62_1443
ko:K02039	bmee:DK62_1444
ko:K02036	bmee:DK62_1445
ko:K02038	bmee:DK62_1446
ko:K02037	bmee:DK62_1447
ko:K02040	bmee:DK62_1448
ko:K09790	bmee:DK62_1449
ko:K03642	bmee:DK62_1450
ko:K07391	bmee:DK62_1452
ko:K01920	bmee:DK62_1453
ko:K01591	bmee:DK62_1456
ko:K00570	bmee:DK62_1457
ko:K03686	bmee:DK62_1458
ko:K04043	bmee:DK62_1459
ko:K01890	bmee:DK62_1461
ko:K01889	bmee:DK62_1462
ko:K02887	bmee:DK62_1464
ko:K02916	bmee:DK62_1465
ko:K02520	bmee:DK62_1467
ko:K05782	bmee:DK62_1469
ko:K02025	bmee:DK62_2267
ko:K02026	bmee:DK62_2268
ko:K02027	bmee:DK62_2269
ko:K03710	bmee:DK62_2270
ko:K07090	bmee:DK62_2271
ko:K01996	bmee:DK62_2273
ko:K01995	bmee:DK62_2274
ko:K01998	bmee:DK62_2274
ko:K01997	bmee:DK62_2276
ko:K01999	bmee:DK62_2277
ko:K07025	bmee:DK62_2283
ko:K01826	bmee:DK62_2288
ko:K00151	bmee:DK62_2289
ko:K02509	bmee:DK62_2292
ko:K02510	bmee:DK62_2293
ko:K10544	bmee:DK62_2296
ko:K10545	bmee:DK62_2297
ko:K10543	bmee:DK62_2298
ko:K02406	bmee:DK62_2302
ko:K02409	bmee:DK62_2303
ko:K02409	bmee:DK62_2304
ko:K02557	bmee:DK62_2306
ko:K10564	bmee:DK62_2307
ko:K10565	bmee:DK62_2308
ko:K02390	bmee:DK62_2311
ko:K02396	bmee:DK62_2312
ko:K02397	bmee:DK62_2313
ko:K06602	bmee:DK62_2314
ko:K06601	bmee:DK62_2315
ko:K02389	bmee:DK62_2316
ko:K02420	bmee:DK62_2317
ko:K02400	bmee:DK62_2318
ko:K03182	bmee:DK62_3109
ko:K08303	bmee:DK62_3111
ko:K02049	bmee:DK62_3113
ko:K02050	bmee:DK62_3114
ko:K02051	bmee:DK62_3115
ko:K07234	bmee:DK62_3116
ko:K03734	bmee:DK62_3119
ko:K07218	bmee:DK62_3124
ko:K00376	bmee:DK62_3125
ko:K00039	bmee:DK62_3132
ko:K10544	bmee:DK62_3133
ko:K10545	bmee:DK62_3134
ko:K10543	bmee:DK62_3135
ko:K03435	bmee:DK62_3136
ko:K00368	bmee:DK62_3139
ko:K02448	bmee:DK62_3147
ko:K04748	bmee:DK62_3148
ko:K04561	bmee:DK62_3149
ko:K02305	bmee:DK62_3150
ko:K02164	bmee:DK62_3152
ko:K03734	bmee:DK62_3161
ko:K02871	bmee:DK62_618
ko:K02996	bmee:DK62_619
ko:K01480	bmee:DK62_620
ko:K00145	bmee:DK62_621
ko:K02259	bmee:DK62_622
ko:K01991	bmee:DK62_625
ko:K04764	bmee:DK62_631
ko:K00648	bmee:DK62_632
ko:K03621	bmee:DK62_633
ko:K17662	bmee:DK62_635
ko:K15987	bmee:DK62_637
ko:K03625	bmee:DK62_638
ko:K00794	bmee:DK62_639
ko:K00793	bmee:DK62_640
ko:K11752	bmee:DK62_641
ko:K07738	bmee:DK62_642
ko:K00600	bmee:DK62_643
ko:K01698	bmee:DK62_648
ko:K02621	bmee:DK62_651
ko:K01876	bmee:DK62_653
ko:K03684	bmee:DK62_654
ko:K01524	bmee:DK62_655
ko:K00937	bmee:DK62_656
ko:K00480	bmee:DK62_658
ko:K09972	bmee:DK62_659
ko:K09971	bmee:DK62_660
ko:K09971	bmee:DK62_661
ko:K09970	bmee:DK62_662
ko:K09969	bmee:DK62_663
ko:K07043	bmee:DK62_1471
ko:K01817	bmee:DK62_1473
ko:K01696	bmee:DK62_1474
ko:K01695	bmee:DK62_1476
ko:K01963	bmee:DK62_1477
ko:K11754	bmee:DK62_1478
ko:K03671	bmee:DK62_1479
ko:K01251	bmee:DK62_1485
ko:K11189	bmee:DK62_1486
ko:K02793	bmee:DK62_1487
ko:K14980	bmee:DK62_1489
ko:K14981	bmee:DK62_1490
ko:K01610	bmee:DK62_1491
ko:K15034	bmee:DK62_1493
ko:K00867	bmee:DK62_1494
ko:K01523	bmee:DK62_1495
ko:K02500	bmee:DK62_1496
ko:K01814	bmee:DK62_1497
ko:K02501	bmee:DK62_1498
ko:K01693	bmee:DK62_1500
ko:K01419	bmee:DK62_1501
ko:K03667	bmee:DK62_1502
ko:K08304	bmee:DK62_1506
ko:K07113	bmee:DK62_1508
ko:K03071	bmee:DK62_1509
ko:K02342	bmee:DK62_1510
ko:K00859	bmee:DK62_1511
ko:K00014	bmee:DK62_1512
ko:K06287	bmee:DK62_1513
ko:K09773	bmee:DK62_1514
ko:K01599	bmee:DK62_1515
ko:K08973	bmee:DK62_1516
ko:K03628	bmee:DK62_1518
ko:K06888	bmee:DK62_1520
ko:K03650	bmee:DK62_1522
ko:K02400	bmee:DK62_2320
ko:K02421	bmee:DK62_2321
ko:K09823	bmee:DK62_2327
ko:K09816	bmee:DK62_2328
ko:K09817	bmee:DK62_2329
ko:K09815	bmee:DK62_2330
ko:K18676	bmee:DK62_2333
ko:K03777	bmee:DK62_2341
ko:K01628	bmee:DK62_2345
ko:K01845	bmee:DK62_2348
ko:K11078	bmee:DK62_2351
ko:K01426	bmee:DK62_2353
ko:K02034	bmee:DK62_2357
ko:K02033	bmee:DK62_2358
ko:K02035	bmee:DK62_2359
ko:K02034	bmee:DK62_2363
ko:K02033	bmee:DK62_2364
ko:K02035	bmee:DK62_2365
ko:K02035	bmee:DK62_2366
ko:K01434	bmee:DK62_2367
ko:K01434	bmee:DK62_2368
ko:K06446	bmee:DK62_2369
ko:K00074	bmee:DK62_2371
ko:K00380	bmee:DK62_3162
ko:K02484	bmee:DK62_3166
ko:K00074	bmee:DK62_3171
ko:K06446	bmee:DK62_3175
ko:K08196	bmee:DK62_3177
ko:K03572	bmee:DK62_3178
ko:K00912	bmee:DK62_3180
ko:K02527	bmee:DK62_3181
ko:K09778	bmee:DK62_3182
ko:K01092	bmee:DK62_3184
ko:K03592	bmee:DK62_3185
ko:K03455	bmee:DK62_3186
