ko:K09796	nmd:NMBG2136_1428
ko:K03654	nmd:NMBG2136_0275
ko:K01609	nmd:NMBG2136_0276
ko:K03980	nmd:NMBG2136_0278
ko:K03673	nmd:NMBG2136_0279
ko:K07102	nmd:NMBG2136_0280
ko:K04744	nmd:NMBG2136_0281
ko:K03771	nmd:NMBG2136_0282
ko:K01147	nmd:NMBG2136_0283
ko:K02048	nmd:NMBG2136_0997
ko:K01589	nmd:NMBG2136_0999
ko:K01657	nmd:NMBG2136_1001
ko:K15738	nmd:NMBG2136_1003
ko:K03975	nmd:NMBG2136_1004
ko:K00600	nmd:NMBG2136_1005
ko:K09794	nmd:NMBG2136_1008
ko:K03841	nmd:NMBG2136_1009
ko:K07115	nmd:NMBG2136_1010
ko:K08591	nmd:NMBG2136_1011
ko:K01633	nmd:NMBG2136_1012
ko:K06199	nmd:NMBG2136_1015
ko:K03466	nmd:NMBG2136_1017
ko:K00147	nmd:NMBG2136_1018
ko:K00931	nmd:NMBG2136_1019
ko:K01649	nmd:NMBG2136_1020
ko:K07039	nmd:NMBG2136_1021
ko:K13292	nmd:NMBG2136_1022
ko:K00930	nmd:NMBG2136_1024
ko:K10763	nmd:NMBG2136_1027
ko:K02471	nmd:NMBG2136_1028
ko:K09858	nmd:NMBG2136_1813
ko:K09761	nmd:NMBG2136_1815
ko:K07270	nmd:NMBG2136_1816
ko:K07270	nmd:NMBG2136_1817
ko:K01879	nmd:NMBG2136_1821
ko:K01878	nmd:NMBG2136_1822
ko:K02114	nmd:NMBG2136_1823
ko:K02112	nmd:NMBG2136_1824
ko:K02115	nmd:NMBG2136_1825
ko:K02111	nmd:NMBG2136_1826
ko:K02113	nmd:NMBG2136_1827
ko:K02109	nmd:NMBG2136_1828
ko:K02110	nmd:NMBG2136_1829
ko:K02108	nmd:NMBG2136_1830
ko:K03186	nmd:NMBG2136_1834
ko:K02073	nmd:NMBG2136_1835
ko:K02072	nmd:NMBG2136_1836
ko:K02071	nmd:NMBG2136_1837
ko:K08309	nmd:NMBG2136_1838
ko:K02970	nmd:NMBG2136_1839
ko:K09117	nmd:NMBG2136_1840
ko:K03600	nmd:NMBG2136_1841
ko:K03599	nmd:NMBG2136_1842
ko:K02909	nmd:NMBG2136_1845
ko:K12500	nmd:NMBG2136_1848
ko:K04754	nmd:NMBG2136_1850
ko:K07122	nmd:NMBG2136_1851
ko:K07323	nmd:NMBG2136_1852
ko:K02066	nmd:NMBG2136_1854
ko:K02065	nmd:NMBG2136_1855
ko:K07248	nmd:NMBG2136_1859
ko:K09924	nmd:NMBG2136_0620
ko:K09791	nmd:NMBG2136_0621
ko:K00979	nmd:NMBG2136_0622
ko:K01695	nmd:NMBG2136_0625
ko:K01963	nmd:NMBG2136_0626
ko:K01465	nmd:NMBG2136_0630
ko:K03625	nmd:NMBG2136_0631
ko:K00794	nmd:NMBG2136_0632
ko:K03685	nmd:NMBG2136_0634
ko:K01817	nmd:NMBG2136_0636
ko:K04760	nmd:NMBG2136_0637
ko:K00764	nmd:NMBG2136_0638
ko:K03558	nmd:NMBG2136_0639
ko:K11754	nmd:NMBG2136_0641
ko:K02528	nmd:NMBG2136_0645
ko:K01696	nmd:NMBG2136_0647
ko:K05807	nmd:NMBG2136_0650
ko:K06180	nmd:NMBG2136_0651
ko:K03453	nmd:NMBG2136_0652
ko:K05810	nmd:NMBG2136_0653
ko:K03643	nmd:NMBG2136_0654
ko:K02340	nmd:NMBG2136_0655
ko:K03089	nmd:NMBG2136_0659
ko:K03820	nmd:NMBG2136_0660
ko:K09781	nmd:NMBG2136_0661
ko:K01772	nmd:NMBG2136_0665
ko:K00773	nmd:NMBG2136_0666
ko:K01868	nmd:NMBG2136_0668
ko:K07152	nmd:NMBG2136_1450
ko:K00765	nmd:NMBG2136_1451
ko:K09968	nmd:NMBG2136_1452
ko:K00013	nmd:NMBG2136_1453
ko:K00817	nmd:NMBG2136_1454
ko:K01693	nmd:NMBG2136_1455
ko:K00995	nmd:NMBG2136_1467
ko:K11073	nmd:NMBG2136_1473
ko:K01872	nmd:NMBG2136_1474
ko:K03304	nmd:NMBG2136_1480
ko:K02621	nmd:NMBG2136_1482
ko:K15984	nmd:NMBG2136_1485
ko:K10764	nmd:NMBG2136_1487
ko:K01676	nmd:NMBG2136_1491
ko:K00941	nmd:NMBG2136_1496
ko:K02470	nmd:NMBG2136_0211
ko:K01414	nmd:NMBG2136_0213
ko:K03781	nmd:NMBG2136_0218
ko:K03092	nmd:NMBG2136_0219
ko:K03453	nmd:NMBG2136_0222
ko:K09458	nmd:NMBG2136_0223
ko:K02078	nmd:NMBG2136_0224
ko:K00982	nmd:NMBG2136_0231
ko:K13408	nmd:NMBG2136_0885
ko:K13409	nmd:NMBG2136_0886
ko:K00031	nmd:NMBG2136_0892
ko:K10806	nmd:NMBG2136_0897
ko:K07287	nmd:NMBG2136_0901
ko:K01714	nmd:NMBG2136_0902
ko:K03218	nmd:NMBG2136_0904
ko:K09793	nmd:NMBG2136_0905
ko:K00791	nmd:NMBG2136_0907
ko:K02356	nmd:NMBG2136_0910
ko:K00641	nmd:NMBG2136_0913
ko:K02919	nmd:NMBG2136_0914
ko:K02909	nmd:NMBG2136_0915
ko:K00297	nmd:NMBG2136_0916
ko:K00549	nmd:NMBG2136_0917
ko:K00382	nmd:NMBG2136_0919
ko:K00242	nmd:NMBG2136_0921
ko:K00239	nmd:NMBG2136_0922
ko:K00240	nmd:NMBG2136_0923
ko:K09159	nmd:NMBG2136_0924
ko:K01647	nmd:NMBG2136_0925
ko:K00164	nmd:NMBG2136_0926
ko:K00658	nmd:NMBG2136_0927
ko:K00382	nmd:NMBG2136_0928
ko:K01903	nmd:NMBG2136_0930
ko:K01902	nmd:NMBG2136_0931
ko:K00278	nmd:NMBG2136_1709
ko:K01095	nmd:NMBG2136_1717
ko:K00946	nmd:NMBG2136_1718
ko:K13634	nmd:NMBG2136_1720
ko:K03306	nmd:NMBG2136_1723
ko:K09001	nmd:NMBG2136_1724
ko:K07461	nmd:NMBG2136_1738
ko:K08218	nmd:NMBG2136_1739
ko:K01915	nmd:NMBG2136_1740
ko:K00014	nmd:NMBG2136_1741
ko:K03814	nmd:NMBG2136_1742
ko:K06861	nmd:NMBG2136_1744
ko:K09774	nmd:NMBG2136_1745
ko:K11719	nmd:NMBG2136_1746
ko:K03270	nmd:NMBG2136_1747
ko:K06041	nmd:NMBG2136_1748
ko:K01894	nmd:NMBG2136_1750
ko:K05539	nmd:NMBG2136_1751
ko:K07560	nmd:NMBG2136_1752
ko:K05527	nmd:NMBG2136_1755
ko:K09780	nmd:NMBG2136_1756
ko:K06190	nmd:NMBG2136_1757
ko:K14682	nmd:NMBG2136_0344
ko:K00762	nmd:NMBG2136_0346
ko:K03789	nmd:NMBG2136_0348
ko:K01624	nmd:NMBG2136_0351
ko:K03733	nmd:NMBG2136_0352
ko:K01662	nmd:NMBG2136_0353
ko:K06168	nmd:NMBG2136_0354
ko:K01845	nmd:NMBG2136_0355
ko:K13288	nmd:NMBG2136_0356
ko:K02687	nmd:NMBG2136_0357
ko:K01961	nmd:NMBG2136_0358
ko:K02160	nmd:NMBG2136_0359
ko:K07568	nmd:NMBG2136_0360
ko:K03923	nmd:NMBG2136_0361
ko:K00528	nmd:NMBG2136_1146
ko:K03665	nmd:NMBG2136_1148
ko:K09765	nmd:NMBG2136_1150
ko:K03630	nmd:NMBG2136_1151
ko:K01919	nmd:NMBG2136_1152
ko:K01703	nmd:NMBG2136_1153
ko:K01704	nmd:NMBG2136_1155
ko:K00052	nmd:NMBG2136_1158
ko:K01744	nmd:NMBG2136_1160
ko:K06980	nmd:NMBG2136_1165
ko:K14058	nmd:NMBG2136_1166
ko:K09823	nmd:NMBG2136_1173
ko:K00865	nmd:NMBG2136_1175
ko:K09795	nmd:NMBG2136_1180
ko:K02168	nmd:NMBG2136_1183
ko:K03723	nmd:NMBG2136_1188
ko:K01579	nmd:NMBG2136_1189
ko:K01627	nmd:NMBG2136_1190
ko:K01689	nmd:NMBG2136_1192
ko:K05589	nmd:NMBG2136_1193
ko:K11107	nmd:NMBG2136_1194
ko:K00788	nmd:NMBG2136_1970
ko:K03154	nmd:NMBG2136_1971
ko:K03149	nmd:NMBG2136_1972
ko:K01491	nmd:NMBG2136_1979
ko:K00133	nmd:NMBG2136_1981
ko:K01142	nmd:NMBG2136_1984
ko:K01883	nmd:NMBG2136_1985
ko:K03979	nmd:NMBG2136_1987
ko:K07056	nmd:NMBG2136_1990
ko:K07460	nmd:NMBG2136_1991
ko:K03271	nmd:NMBG2136_1992
ko:K01265	nmd:NMBG2136_1995
ko:K00116	nmd:NMBG2136_1998
ko:K02967	nmd:NMBG2136_2002
ko:K02357	nmd:NMBG2136_2003
ko:K09903	nmd:NMBG2136_2004
ko:K04773	nmd:NMBG2136_2017
ko:K01940	nmd:NMBG2136_2019
ko:K12267	nmd:NMBG2136_0044
ko:K03110	nmd:NMBG2136_0045
ko:K07461	nmd:NMBG2136_0046
ko:K02670	nmd:NMBG2136_0048
ko:K02669	nmd:NMBG2136_0049
ko:K06997	nmd:NMBG2136_0050
ko:K00286	nmd:NMBG2136_0052
ko:K06204	nmd:NMBG2136_0053
ko:K02237	nmd:NMBG2136_0059
ko:K03686	nmd:NMBG2136_0060
ko:K01790	nmd:NMBG2136_0062
ko:K00973	nmd:NMBG2136_0063
ko:K06959	nmd:NMBG2136_0068
ko:K09689	nmd:NMBG2136_0069
ko:K02837	nmd:NMBG2136_0565
ko:K02500	nmd:NMBG2136_0567
ko:K01814	nmd:NMBG2136_0568
ko:K02501	nmd:NMBG2136_0569
ko:K13788	nmd:NMBG2136_0570
ko:K02011	nmd:NMBG2136_0572
ko:K02012	nmd:NMBG2136_0573
ko:K01755	nmd:NMBG2136_0575
ko:K00963	nmd:NMBG2136_0576
ko:K08310	nmd:NMBG2136_0580
ko:K03623	nmd:NMBG2136_0585
ko:K01972	nmd:NMBG2136_0613
ko:K03806	nmd:NMBG2136_0615
ko:K07082	nmd:NMBG2136_0616
ko:K00925	nmd:NMBG2136_1399
ko:K04084	nmd:NMBG2136_1400
ko:K03775	nmd:NMBG2136_1403
ko:K03664	nmd:NMBG2136_1407
ko:K03070	nmd:NMBG2136_1417
ko:K03086	nmd:NMBG2136_1419
ko:K01937	nmd:NMBG2136_1425
ko:K00566	nmd:NMBG2136_1427
ko:K00901	nmd:NMBG2136_1429
ko:K01920	nmd:NMBG2136_1430
ko:K01886	nmd:NMBG2136_1431
ko:K02444	nmd:NMBG2136_1432
ko:K07397	nmd:NMBG2136_1435
ko:K11175	nmd:NMBG2136_1437
ko:K02339	nmd:NMBG2136_1439
ko:K01255	nmd:NMBG2136_1440
ko:K07091	nmd:NMBG2136_1441
ko:K11720	nmd:NMBG2136_1442
ko:K01682	nmd:NMBG2136_1443
ko:K00611	nmd:NMBG2136_1444
ko:K00053	nmd:NMBG2136_1445
ko:K01653	nmd:NMBG2136_1447
ko:K01652	nmd:NMBG2136_1448
ko:K00973	nmd:NMBG2136_0081
ko:K07491	nmd:NMBG2136_1357
ko:K02237	nmd:NMBG2136_1911
ko:K00691	nmd:NMBG2136_1713
ko:K18132	nmd:NMBG2136_1320
ko:K14235	nmd:NMBG2136_0122
ko:K16301	nmd:NMBG2136_0037
ko:K16088	nmd:NMBG2136_0338
ko:K02014	nmd:NMBG2136_1246
ko:K02424	nmd:NMBG2136_0737
ko:K14232	nmd:NMBG2136_0465
ko:K14225	nmd:NMBG2136_1463
ko:K14225	nmd:NMBG2136_1465
ko:K14225	nmd:NMBG2136_1466
ko:K14225	nmd:NMBG2136_1464
ko:K10009	nmd:NMBG2136_0738
ko:K16087	nmd:NMBG2136_1421
ko:K16087	nmd:NMBG2136_1380
ko:K16087	nmd:NMBG2136_1639
ko:K07491	nmd:NMBG2136_0215
ko:K01259	nmd:NMBG2136_0900
ko:K00241	nmd:NMBG2136_0920
ko:K01785	nmd:NMBG2136_1714
ko:K00616	nmd:NMBG2136_1749
ko:K01759	nmd:NMBG2136_1759
ko:K07491	nmd:NMBG2136_0932
ko:K02014	nmd:NMBG2136_0937
ko:K00674	nmd:NMBG2136_1764
ko:K02653	nmd:NMBG2136_1766
ko:K01719	nmd:NMBG2136_0728
ko:K03972	nmd:NMBG2136_0734
ko:K03768	nmd:NMBG2136_0741
ko:K02427	nmd:NMBG2136_0748
ko:K01760	nmd:NMBG2136_0751
ko:K00939	nmd:NMBG2136_0764
ko:K01424	nmd:NMBG2136_1564
ko:K12942	nmd:NMBG2136_1592
ko:K01784	nmd:NMBG2136_0079
ko:K07126	nmd:NMBG2136_0085
ko:K02238	nmd:NMBG2136_0649
ko:K04774	nmd:NMBG2136_1460
ko:K03499	nmd:NMBG2136_1492
ko:K03469	nmd:NMBG2136_1499
ko:K01297	nmd:NMBG2136_1501
ko:K00970	nmd:NMBG2136_0777
ko:K06177	nmd:NMBG2136_0800
ko:K07258	nmd:NMBG2136_0815
ko:K07131	nmd:NMBG2136_1621
ko:K06945	nmd:NMBG2136_1623
ko:K00652	nmd:NMBG2136_1628
ko:K01480	nmd:NMBG2136_1631
ko:K01585	nmd:NMBG2136_1632
ko:K03574	nmd:NMBG2136_1648
ko:K03747	nmd:NMBG2136_0111
ko:K02806	nmd:NMBG2136_0686
ko:K06023	nmd:NMBG2136_0687
ko:K04763	nmd:NMBG2136_0704
ko:K01243	nmd:NMBG2136_0718
ko:K06179	nmd:NMBG2136_0194
ko:K03711	nmd:NMBG2136_0200
ko:K03616	nmd:NMBG2136_0203
ko:K03455	nmd:NMBG2136_0204
ko:K04517	nmd:NMBG2136_1660
ko:K07126	nmd:NMBG2136_1683
ko:K09806	nmd:NMBG2136_1700
ko:K01322	nmd:NMBG2136_0343
ko:K01156	nmd:NMBG2136_1167
ko:K01104	nmd:NMBG2136_1174
ko:K07213	nmd:NMBG2136_1178
ko:K14232	nmd:NMBG2136_1978
ko:K14232	nmd:NMBG2136_0581
ko:K03153	nmd:NMBG2136_1969
ko:K01934	nmd:NMBG2136_2000
ko:K08305	nmd:NMBG2136_1185
ko:K14219	nmd:NMBG2136_1977
ko:K16087	nmd:NMBG2136_1864
ko:K14230	nmd:NMBG2136_1576
ko:K14236	nmd:NMBG2136_0118
ko:K02674	nmd:NMBG2136_0370
ko:K03593	nmd:NMBG2136_0371
ko:K00484	nmd:NMBG2136_0375
ko:K08978	nmd:NMBG2136_0377
ko:K07017	nmd:NMBG2136_0388
ko:K14761	nmd:NMBG2136_0390
ko:K07025	nmd:NMBG2136_0397
ko:K10563	nmd:NMBG2136_1200
ko:K06183	nmd:NMBG2136_1203
ko:K00121	nmd:NMBG2136_1209
ko:K02824	nmd:NMBG2136_1219
ko:K01092	nmd:NMBG2136_1247
ko:K02665	nmd:NMBG2136_0408
ko:K01409	nmd:NMBG2136_0417
ko:K02533	nmd:NMBG2136_1248
ko:K05595	nmd:NMBG2136_1253
ko:K02433	nmd:NMBG2136_1255
ko:K01916	nmd:NMBG2136_1263
ko:K03177	nmd:NMBG2136_1273
ko:K00101	nmd:NMBG2136_1276
ko:K04488	nmd:NMBG2136_1280
ko:K13628	nmd:NMBG2136_1281
ko:K00845	nmd:NMBG2136_1288
ko:K10010	nmd:NMBG2136_0739
ko:K07019	nmd:NMBG2136_0277
ko:K01515	nmd:NMBG2136_1013
ko:K01092	nmd:NMBG2136_1814
ko:K02116	nmd:NMBG2136_1831
ko:K02067	nmd:NMBG2136_1853
ko:K03342	nmd:NMBG2136_1861
ko:K01784	nmd:NMBG2136_0065
ko:K01496	nmd:NMBG2136_0566
ko:K02010	nmd:NMBG2136_0571
ko:K02428	nmd:NMBG2136_0577
ko:K01507	nmd:NMBG2136_0579
ko:K03498	nmd:NMBG2136_0608
ko:K07491	nmd:NMBG2136_0296
ko:K00059	nmd:NMBG2136_0298
ko:K11085	nmd:NMBG2136_0300
ko:K00380	nmd:NMBG2136_1076
ko:K00088	nmd:NMBG2136_1088
ko:K01081	nmd:NMBG2136_1909
ko:K06177	nmd:NMBG2136_1917
ko:K00033	nmd:NMBG2136_0016
ko:K13953	nmd:NMBG2136_0482
ko:K01262	nmd:NMBG2136_1319
ko:K02342	nmd:NMBG2136_1344
ko:K02843	nmd:NMBG2136_1408
ko:K00567	nmd:NMBG2136_1410
ko:K01439	nmd:NMBG2136_1412
ko:K01525	nmd:NMBG2136_0609
ko:K00974	nmd:NMBG2136_1121
ko:K03299	nmd:NMBG2136_1925
ko:K00851	nmd:NMBG2136_1926
ko:K08483	nmd:NMBG2136_1945
ko:K11189	nmd:NMBG2136_1946
ko:K02821	nmd:NMBG2136_1947
ko:K03442	nmd:NMBG2136_0042
ko:K03743	nmd:NMBG2136_0043
ko:K02077	nmd:NMBG2136_0524
ko:K02074	nmd:NMBG2136_0526
ko:K01523	nmd:NMBG2136_0541
ko:K00004	nmd:NMBG2136_0542
ko:K09471	nmd:NMBG2136_0552
ko:K01679	nmd:NMBG2136_1351
ko:K00135	nmd:NMBG2136_1376
ko:K02342	nmd:NMBG2136_1395
ko:K14233	nmd:NMBG2136_1084
ko:K01838	nmd:NMBG2136_1712
ko:K01977	nmd:NMBG2136_1533
ko:K01977	nmd:NMBG2136_1802
ko:K01977	nmd:NMBG2136_0054
ko:K01977	nmd:NMBG2136_1916
ko:K14237	nmd:NMBG2136_0667
ko:K07482	nmd:NMBG2136_0448
ko:K16211	nmd:NMBG2136_1715
ko:K16345	nmd:NMBG2136_0903
ko:K01659	nmd:NMBG2136_1670
ko:K07278	nmd:NMBG2136_2024
ko:K01069	nmd:NMBG2136_1889
ko:K07482	nmd:NMBG2136_0899
ko:K07482	nmd:NMBG2136_2035
ko:K07482	nmd:NMBG2136_0995
ko:K07482	nmd:NMBG2136_1908
ko:K07482	nmd:NMBG2136_1336
ko:K07482	nmd:NMBG2136_0988
ko:K07482	nmd:NMBG2136_1039
ko:K14234	nmd:NMBG2136_0803
ko:K14234	nmd:NMBG2136_0804
ko:K12262	nmd:NMBG2136_1989
ko:K00568	nmd:NMBG2136_1928
ko:K14230	nmd:NMBG2136_1694
ko:K14222	nmd:NMBG2136_1462
ko:K16264	nmd:NMBG2136_0559
ko:K14219	nmd:NMBG2136_1771
ko:K14228	nmd:NMBG2136_1132
ko:K14228	nmd:NMBG2136_1086
ko:K14228	nmd:NMBG2136_1085
ko:K14228	nmd:NMBG2136_0331
ko:K01139	nmd:NMBG2136_1535
ko:K14231	nmd:NMBG2136_1743
ko:K14218	nmd:NMBG2136_1695
ko:K01980	nmd:NMBG2136_0057
ko:K01980	nmd:NMBG2136_1799
ko:K01980	nmd:NMBG2136_1530
ko:K01980	nmd:NMBG2136_1913
ko:K14233	nmd:NMBG2136_0834
ko:K14227	nmd:NMBG2136_0055
ko:K14227	nmd:NMBG2136_1532
ko:K14227	nmd:NMBG2136_1801
ko:K14227	nmd:NMBG2136_1915
ko:K01985	nmd:NMBG2136_0058
ko:K01985	nmd:NMBG2136_1912
ko:K01985	nmd:NMBG2136_1529
ko:K01985	nmd:NMBG2136_1798
ko:K14225	nmd:NMBG2136_0119
ko:K14234	nmd:NMBG2136_0120
ko:K14234	nmd:NMBG2136_0185
ko:K14237	nmd:NMBG2136_0205
ko:K14237	nmd:NMBG2136_0207
ko:K14221	nmd:NMBG2136_0208
ko:K14221	nmd:NMBG2136_0206
ko:K14219	nmd:NMBG2136_1553
ko:K14228	nmd:NMBG2136_1461
ko:K14228	nmd:NMBG2136_1449
ko:K14218	nmd:NMBG2136_0056
ko:K14218	nmd:NMBG2136_1531
ko:K14218	nmd:NMBG2136_1914
ko:K14218	nmd:NMBG2136_1800
ko:K14219	nmd:NMBG2136_0692
ko:K14219	nmd:NMBG2136_1345
ko:K14220	nmd:NMBG2136_1409
ko:K14220	nmd:NMBG2136_1620
ko:K14224	nmd:NMBG2136_1495
ko:K14224	nmd:NMBG2136_0693
ko:K14224	nmd:NMBG2136_1346
ko:K14233	nmd:NMBG2136_0835
ko:K14233	nmd:NMBG2136_0624
ko:K14223	nmd:NMBG2136_0810
ko:K14223	nmd:NMBG2136_0812
ko:K14223	nmd:NMBG2136_0811
ko:K14230	nmd:NMBG2136_1942
ko:K14226	nmd:NMBG2136_1976
ko:K02075	nmd:NMBG2136_0525
ko:K00537	nmd:NMBG2136_0005
ko:K01347	nmd:NMBG2136_0648
ko:K00785	nmd:NMBG2136_0894
ko:K01347	nmd:NMBG2136_1876
ko:K01156	nmd:NMBG2136_1275
ko:K16868	nmd:NMBG2136_1498
ko:K09810	nmd:NMBG2136_1113
ko:K14229	nmd:NMBG2136_0012
ko:K14229	nmd:NMBG2136_0372
ko:K03559	nmd:NMBG2136_1600
ko:K03417	nmd:NMBG2136_1671
ko:K07215	nmd:NMBG2136_1544
ko:K00956	nmd:NMBG2136_1077
ko:K01834	nmd:NMBG2136_1481
ko:K02030	nmd:NMBG2136_1490
ko:K17103	nmd:NMBG2136_1222
ko:K02028	nmd:NMBG2136_0644
ko:K01897	nmd:NMBG2136_1426
ko:K00951	nmd:NMBG2136_1607
ko:K01533	nmd:NMBG2136_1147
ko:K01897	nmd:NMBG2136_1182
ko:K02484	nmd:NMBG2136_0532
ko:K02029	nmd:NMBG2136_1390
ko:K02169	nmd:NMBG2136_0271
ko:K00813	nmd:NMBG2136_0476
ko:K17686	nmd:NMBG2136_1230
ko:K06518	nmd:NMBG2136_1895
ko:K07684	nmd:NMBG2136_1130
ko:K03767	nmd:NMBG2136_1171
ko:K05540	nmd:NMBG2136_1313
ko:K00254	nmd:NMBG2136_0225
ko:K11928	nmd:NMBG2136_1701
ko:K01658	nmd:NMBG2136_0938
ko:K00018	nmd:NMBG2136_0030
ko:K01497	nmd:NMBG2136_1134
ko:K07488	nmd:NMBG2136_2036
ko:K18139	nmd:NMBG2136_1587
ko:K00557	nmd:NMBG2136_1555
ko:K03719	nmd:NMBG2136_0509
ko:K05799	nmd:NMBG2136_1585
ko:K03719	nmd:NMBG2136_1520
ko:K03772	nmd:NMBG2136_1438
ko:K07090	nmd:NMBG2136_1223
ko:K00523	nmd:NMBG2136_1258
ko:K07482	nmd:NMBG2136_1493
ko:K02014	nmd:NMBG2136_0387
ko:K02358	nmd:NMBG2136_0134
ko:K11073	nmd:NMBG2136_1638
ko:K03923	nmd:NMBG2136_0948
ko:K15125	nmd:NMBG2136_0439
ko:K06910	nmd:NMBG2136_1411
ko:K21344	nmd:NMBG2136_0766
ko:K08068	nmd:NMBG2136_0073
ko:K07645	nmd:NMBG2136_0424
ko:K00681	nmd:NMBG2136_1006
ko:K02650	nmd:NMBG2136_0216
ko:K19339	nmd:NMBG2136_0513
ko:K07171	nmd:NMBG2136_1939
ko:K22132	nmd:NMBG2136_1385
ko:K00571	nmd:NMBG2136_0326
ko:K00526	nmd:NMBG2136_1195
ko:K18841	nmd:NMBG2136_0877
ko:K10747	nmd:NMBG2136_1949
ko:K03496	nmd:NMBG2136_0188
ko:K03497	nmd:NMBG2136_1833
ko:K04565	nmd:NMBG2136_1295
ko:K07467	nmd:NMBG2136_0024
ko:K03111	nmd:NMBG2136_1353
ko:K03526	nmd:NMBG2136_1215
ko:K07481	nmd:NMBG2136_1458
ko:K07481	nmd:NMBG2136_1497
ko:K07481	nmd:NMBG2136_0882
ko:K07481	nmd:NMBG2136_0891
ko:K07481	nmd:NMBG2136_1710
ko:K07481	nmd:NMBG2136_0970
ko:K07481	nmd:NMBG2136_0980
ko:K07481	nmd:NMBG2136_1812
ko:K07481	nmd:NMBG2136_0291
ko:K07481	nmd:NMBG2136_0295
ko:K07481	nmd:NMBG2136_1296
ko:K07481	nmd:NMBG2136_1342
ko:K07481	nmd:NMBG2136_1420
ko:K07481	nmd:NMBG2136_1711
ko:K00336	nmd:NMBG2136_0250
ko:K12690	nmd:NMBG2136_0971
ko:K02663	nmd:NMBG2136_0410
ko:K02664	nmd:NMBG2136_0409
ko:K07486	nmd:NMBG2136_1703
ko:K18991	nmd:NMBG2136_1470
ko:K10954	nmd:NMBG2136_0018
ko:K00335	nmd:NMBG2136_0248
ko:K06992	nmd:NMBG2136_0787
ko:K06992	nmd:NMBG2136_0518
ko:K07172	nmd:NMBG2136_1938
ko:K01654	nmd:NMBG2136_0075
ko:K01155	nmd:NMBG2136_0676
ko:K01710	nmd:NMBG2136_0080
ko:K07488	nmd:NMBG2136_1867
ko:K01710	nmd:NMBG2136_0064
ko:K19168	nmd:NMBG2136_0642
ko:K00020	nmd:NMBG2136_1456
ko:K07334	nmd:NMBG2136_1045
ko:K07288	nmd:NMBG2136_1758
ko:K01802	nmd:NMBG2136_0029
ko:K19342	nmd:NMBG2136_0516
ko:K03722	nmd:NMBG2136_0289
ko:K07497	nmd:NMBG2136_1031
ko:K19337	nmd:NMBG2136_1287
ko:K19416	nmd:NMBG2136_1919
ko:K07280	nmd:NMBG2136_1785
ko:K00992	nmd:NMBG2136_0376
ko:K19784	nmd:NMBG2136_0421
ko:K06132	nmd:NMBG2136_1324
ko:K08992	nmd:NMBG2136_1761
ko:K19804	nmd:NMBG2136_1760
ko:K01420	nmd:NMBG2136_1721
ko:K16066	nmd:NMBG2136_0896
ko:K07488	nmd:NMBG2136_1299
ko:K07488	nmd:NMBG2136_1574
ko:K07488	nmd:NMBG2136_0519
ko:K09788	nmd:NMBG2136_1666
ko:K07488	nmd:NMBG2136_0456
ko:K20455	nmd:NMBG2136_1667
ko:K02650	nmd:NMBG2136_0026
ko:K08968	nmd:NMBG2136_0334
ko:K00821	nmd:NMBG2136_1270
ko:K21029	nmd:NMBG2136_1963
ko:K03676	nmd:NMBG2136_0426
ko:K00287	nmd:NMBG2136_1790
ko:K00558	nmd:NMBG2136_1906
ko:K00558	nmd:NMBG2136_0675
ko:K00558	nmd:NMBG2136_0767
ko:K06217	nmd:NMBG2136_0778
ko:K02314	nmd:NMBG2136_0824
ko:K01520	nmd:NMBG2136_0831
ko:K06919	nmd:NMBG2136_0852
ko:K03553	nmd:NMBG2136_1337
ko:K02316	nmd:NMBG2136_1418
ko:K00558	nmd:NMBG2136_1478
ko:K00560	nmd:NMBG2136_1581
ko:K00558	nmd:NMBG2136_0292
ko:K06223	nmd:NMBG2136_0325
ko:K00558	nmd:NMBG2136_0067
ko:K21379	nmd:NMBG2136_1932
ko:K00525	nmd:NMBG2136_1197
ko:K06020	nmd:NMBG2136_1716
ko:K02335	nmd:NMBG2136_1874
ko:K21498	nmd:NMBG2136_1044
ko:K10026	nmd:NMBG2136_0464
ko:K21929	nmd:NMBG2136_0347
ko:K03595	nmd:NMBG2136_0635
ko:K07481	nmd:NMBG2136_1423
ko:K22292	nmd:NMBG2136_0558
ko:K01947	nmd:NMBG2136_1974
ko:K17758	nmd:NMBG2136_1082
ko:K11206	nmd:NMBG2136_1659
ko:K01007	nmd:NMBG2136_0556
