ko:K18917	cpg:Cp316_0652
ko:K02029	cpg:Cp316_0959
ko:K02037	cpg:Cp316_1765
ko:K02040	cpg:Cp316_1766
ko:K06980	cpg:Cp316_1772
ko:K01933	cpg:Cp316_1774
ko:K00764	cpg:Cp316_1775
ko:K11068	cpg:Cp316_1779
ko:K01952	cpg:Cp316_1780
ko:K01952	cpg:Cp316_1781
ko:K01952	cpg:Cp316_1782
ko:K00432	cpg:Cp316_1783
ko:K01354	cpg:Cp316_1784
ko:K01923	cpg:Cp316_1786
ko:K01756	cpg:Cp316_1787
ko:K01945	cpg:Cp316_1790
ko:K00156	cpg:Cp316_1800
ko:K00697	cpg:Cp316_1806
ko:K01087	cpg:Cp316_1808
ko:K03218	cpg:Cp316_1811
ko:K01883	cpg:Cp316_1812
ko:K01770	cpg:Cp316_1813
ko:K00991	cpg:Cp316_1814
ko:K07736	cpg:Cp316_1815
ko:K02056	cpg:Cp316_0019
ko:K18926	cpg:Cp316_0498
ko:K10947	cpg:Cp316_1917
ko:K01897	cpg:Cp316_1574
ko:K15521	cpg:Cp316_0266
ko:K07768	cpg:Cp316_0268
ko:K07776	cpg:Cp316_0269
ko:K06196	cpg:Cp316_0293
ko:K03326	cpg:Cp316_0305
ko:K02549	cpg:Cp316_0306
ko:K12583	cpg:Cp316_0309
ko:K00016	cpg:Cp316_0311
ko:K00805	cpg:Cp316_0313
ko:K04488	cpg:Cp316_1133
ko:K14339	cpg:Cp316_1140
ko:K00616	cpg:Cp316_1146
ko:K09762	cpg:Cp316_1155
ko:K13640	cpg:Cp316_1951
ko:K02031	cpg:Cp316_1960
ko:K02034	cpg:Cp316_1960
ko:K02033	cpg:Cp316_1961
ko:K02035	cpg:Cp316_1962
ko:K00135	cpg:Cp316_1990
ko:K01596	cpg:Cp316_2000
ko:K06860	cpg:Cp316_2002
ko:K01104	cpg:Cp316_1534
ko:K02228	cpg:Cp316_0651
ko:K01082	cpg:Cp316_0655
ko:K03649	cpg:Cp316_0658
ko:K05522	cpg:Cp316_0659
ko:K00135	cpg:Cp316_0662
ko:K04093	cpg:Cp316_0663
ko:K07669	cpg:Cp316_0682
ko:K07653	cpg:Cp316_0683
ko:K08372	cpg:Cp316_0684
ko:K01934	cpg:Cp316_0689
ko:K07035	cpg:Cp316_1511
ko:K00088	cpg:Cp316_1512
ko:K07120	cpg:Cp316_0091
ko:K03475	cpg:Cp316_0095
ko:K07386	cpg:Cp316_0109
ko:K00058	cpg:Cp316_0928
ko:K07182	cpg:Cp316_0930
ko:K02342	cpg:Cp316_0931
ko:K01885	cpg:Cp316_0935
ko:K03932	cpg:Cp316_0936
ko:K08974	cpg:Cp316_0961
ko:K15520	cpg:Cp316_1767
ko:K02619	cpg:Cp316_1771
ko:K03647	cpg:Cp316_1777
ko:K03499	cpg:Cp316_1788
ko:K07258	cpg:Cp316_0487
ko:K01488	cpg:Cp316_0488
ko:K01958	cpg:Cp316_0497
ko:K11263	cpg:Cp316_0500
ko:K01011	cpg:Cp316_0501
ko:K00852	cpg:Cp316_0506
ko:K01966	cpg:Cp316_0509
ko:K01966	cpg:Cp316_0510
ko:K02025	cpg:Cp316_0518
ko:K07670	cpg:Cp316_0537
ko:K07654	cpg:Cp316_0538
ko:K00567	cpg:Cp316_1339
ko:K03404	cpg:Cp316_1343
ko:K11387	cpg:Cp316_0113
ko:K13686	cpg:Cp316_0114
ko:K11707	cpg:Cp316_0123
ko:K11710	cpg:Cp316_0124
ko:K11708	cpg:Cp316_0125
ko:K11709	cpg:Cp316_0126
ko:K11707	cpg:Cp316_0128
ko:K04517	cpg:Cp316_0145
ko:K06994	cpg:Cp316_0148
ko:K01885	cpg:Cp316_0150
ko:K03299	cpg:Cp316_0151
ko:K00851	cpg:Cp316_0152
ko:K00046	cpg:Cp316_0154
ko:K02755	cpg:Cp316_0977
ko:K02756	cpg:Cp316_0977
ko:K02757	cpg:Cp316_0977
ko:K01515	cpg:Cp316_1013
ko:K04763	cpg:Cp316_1014
ko:K08167	cpg:Cp316_1795
ko:K03932	cpg:Cp316_1810
ko:K00867	cpg:Cp316_0753
ko:K01679	cpg:Cp316_0763
ko:K02446	cpg:Cp316_0765
ko:K09146	cpg:Cp316_0792
ko:K15525	cpg:Cp316_0797
ko:K00674	cpg:Cp316_0804
ko:K00674	cpg:Cp316_0806
ko:K02035	cpg:Cp316_1590
ko:K02033	cpg:Cp316_1591
ko:K01372	cpg:Cp316_0320
ko:K02035	cpg:Cp316_0368
ko:K02033	cpg:Cp316_0371
ko:K07054	cpg:Cp316_1200
ko:K03768	cpg:Cp316_1214
ko:K02035	cpg:Cp316_1218
ko:K12437	cpg:Cp316_2009
ko:K12428	cpg:Cp316_2010
ko:K13687	cpg:Cp316_2016
ko:K14136	cpg:Cp316_2018
ko:K01854	cpg:Cp316_2026
ko:K04518	cpg:Cp316_2039
ko:K01489	cpg:Cp316_2050
ko:K00758	cpg:Cp316_2051
ko:K00016	cpg:Cp316_2052
ko:K07304	cpg:Cp316_2053
ko:K10843	cpg:Cp316_0610
ko:K01962	cpg:Cp316_0627
ko:K01963	cpg:Cp316_0627
ko:K01692	cpg:Cp316_0632
ko:K02033	cpg:Cp316_0646
ko:K01424	cpg:Cp316_1436
ko:K13787	cpg:Cp316_1465
ko:K00845	cpg:Cp316_1473
ko:K13668	cpg:Cp316_1474
ko:K03891	cpg:Cp316_1480
ko:K03890	cpg:Cp316_1481
ko:K03889	cpg:Cp316_1482
ko:K02238	cpg:Cp316_1611
ko:K03299	cpg:Cp316_0161
ko:K07009	cpg:Cp316_0168
ko:K02342	cpg:Cp316_0170
ko:K03784	cpg:Cp316_0174
ko:K01619	cpg:Cp316_0176
ko:K07657	cpg:Cp316_0197
ko:K05570	cpg:Cp316_0200
ko:K05568	cpg:Cp316_0202
ko:K05565	cpg:Cp316_0204
ko:K07792	cpg:Cp316_1026
ko:K06889	cpg:Cp316_1037
ko:K07397	cpg:Cp316_1037
ko:K00033	cpg:Cp316_1049
ko:K00721	cpg:Cp316_1060
ko:K13540	cpg:Cp316_1066
ko:K00595	cpg:Cp316_1069
ko:K03727	cpg:Cp316_1072
ko:K01507	cpg:Cp316_1851
ko:K05565	cpg:Cp316_1869
ko:K05568	cpg:Cp316_1871
ko:K05570	cpg:Cp316_1873
ko:K03574	cpg:Cp316_1885
ko:K14949	cpg:Cp316_1888
ko:K02348	cpg:Cp316_1892
ko:K07052	cpg:Cp316_2133
ko:K06877	cpg:Cp316_0231
ko:K01322	cpg:Cp316_0245
ko:K00241	cpg:Cp316_0251
ko:K13573	cpg:Cp316_1075
ko:K13571	cpg:Cp316_1077
ko:K01847	cpg:Cp316_1112
ko:K01011	cpg:Cp316_1924
ko:K02004	cpg:Cp316_1941
ko:K13570	cpg:Cp316_1078
ko:K13527	cpg:Cp316_1080
ko:K07442	cpg:Cp316_1081
ko:K01523	cpg:Cp316_1091
ko:K00548	cpg:Cp316_1093
ko:K15526	cpg:Cp316_1095
ko:K06910	cpg:Cp316_1102
ko:K07588	cpg:Cp316_1110
ko:K01847	cpg:Cp316_1111
ko:K13953	cpg:Cp316_1947
ko:K02077	cpg:Cp316_0463
ko:K03709	cpg:Cp316_0467
ko:K03436	cpg:Cp316_1281
ko:K08483	cpg:Cp316_1282
ko:K03436	cpg:Cp316_1283
ko:K00882	cpg:Cp316_1284
ko:K11189	cpg:Cp316_1287
ko:K03743	cpg:Cp316_1309
ko:K05794	cpg:Cp316_1312
ko:K03177	cpg:Cp316_1323
ko:K02004	cpg:Cp316_2116
ko:K02564	cpg:Cp316_2121
ko:K01788	cpg:Cp316_2123
ko:K00845	cpg:Cp316_2124
ko:K02035	cpg:Cp316_2126
ko:K02033	cpg:Cp316_2127
ko:K02031	cpg:Cp316_2128
ko:K02034	cpg:Cp316_2128
ko:K01409	cpg:Cp316_0437
ko:K00088	cpg:Cp316_0446
ko:K00088	cpg:Cp316_0447
ko:K00508	cpg:Cp316_0547
ko:K07177	cpg:Cp316_0570
ko:K09118	cpg:Cp316_0573
ko:K00368	cpg:Cp316_0577
ko:K05602	cpg:Cp316_0589
ko:K12942	cpg:Cp316_0593
ko:K10563	cpg:Cp316_1388
ko:K01496	cpg:Cp316_1406
ko:K01092	cpg:Cp316_1408
ko:K01814	cpg:Cp316_1409
ko:K01817	cpg:Cp316_1409
ko:K02342	cpg:Cp316_1421
ko:K01439	cpg:Cp316_0807
ko:K13693	cpg:Cp316_0810
ko:K03593	cpg:Cp316_0822
ko:K01616	cpg:Cp316_0826
ko:K03929	cpg:Cp316_0830
ko:K03307	cpg:Cp316_0835
ko:K04750	cpg:Cp316_0841
ko:K02351	cpg:Cp316_1669
ko:K07245	cpg:Cp316_1669
ko:K03711	cpg:Cp316_1560
ko:K01259	cpg:Cp316_0719
ko:K02428	cpg:Cp316_0736
ko:K09009	cpg:Cp316_0741
ko:K12503	cpg:Cp316_0751
ko:K02566	cpg:Cp316_1541
ko:K01823	cpg:Cp316_1579
ko:K06147	cpg:Cp316_1583
ko:K01424	cpg:Cp316_0381
ko:K00939	cpg:Cp316_0402
ko:K14743	cpg:Cp316_0415
ko:K08256	cpg:Cp316_1232
ko:K07305	cpg:Cp316_1244
ko:K01092	cpg:Cp316_1256
ko:K03087	cpg:Cp316_1265
ko:K03709	cpg:Cp316_1266
ko:K01784	cpg:Cp316_1267
ko:K03386	cpg:Cp316_1272
ko:K07784	cpg:Cp316_2059
ko:K13671	cpg:Cp316_2061
ko:K06177	cpg:Cp316_2074
ko:K07052	cpg:Cp316_0045
ko:K00666	cpg:Cp316_0864
ko:K07503	cpg:Cp316_0882
ko:K00700	cpg:Cp316_0887
ko:K02342	cpg:Cp316_0898
ko:K02433	cpg:Cp316_0902
ko:K02428	cpg:Cp316_1702
ko:K02274	cpg:Cp316_1721
ko:K03647	cpg:Cp316_1727
ko:K01916	cpg:Cp316_1730
ko:K01835	cpg:Cp316_1741
ko:K02004	cpg:Cp316_1744
ko:K16147	cpg:Cp316_0888
ko:K16148	cpg:Cp316_0816
ko:K00970	cpg:Cp316_2158
ko:K16164	cpg:Cp316_0165
ko:K10716	cpg:Cp316_0564
ko:K14235	cpg:Cp316_t16
ko:K02028	cpg:Cp316_0958
ko:K15733	cpg:Cp316_1237
ko:K14232	cpg:Cp316_t36
ko:K14232	cpg:Cp316_t11
ko:K18955	cpg:Cp316_0526
ko:K01840	cpg:Cp316_0177
ko:K01840	cpg:Cp316_0494
ko:K01834	cpg:Cp316_0267
ko:K01840	cpg:Cp316_0529
ko:K01977	cpg:Cp316_r01
ko:K01977	cpg:Cp316_r12
ko:K01977	cpg:Cp316_r09
ko:K01977	cpg:Cp316_r04
ko:K14222	cpg:Cp316_t30
ko:K16264	cpg:Cp316_0925
ko:K15772	cpg:Cp316_0395
ko:K16653	cpg:Cp316_0116
ko:K15770	cpg:Cp316_0393
ko:K15771	cpg:Cp316_0394
ko:K16783	cpg:Cp316_1306
ko:K02484	cpg:Cp316_1793
ko:K01985	cpg:Cp316_r03
ko:K01985	cpg:Cp316_r06
ko:K01985	cpg:Cp316_r10
ko:K01985	cpg:Cp316_r07
ko:K16784	cpg:Cp316_1305
ko:K16652	cpg:Cp316_0115
ko:K16647	cpg:Cp316_1242
ko:K16650	cpg:Cp316_2020
ko:K16649	cpg:Cp316_0122
ko:K02851	cpg:Cp316_0869
ko:K16648	cpg:Cp316_1994
ko:K02030	cpg:Cp316_0960
ko:K02030	cpg:Cp316_1887
ko:K11991	cpg:Cp316_0147
ko:K01906	cpg:Cp316_1229
ko:K02031	cpg:Cp316_0789
ko:K02032	cpg:Cp316_0789
ko:K14224	cpg:Cp316_t23
ko:K14224	cpg:Cp316_t24
ko:K14219	cpg:Cp316_t18
ko:K14225	cpg:Cp316_t49
ko:K14228	cpg:Cp316_t41
ko:K14233	cpg:Cp316_t10
ko:K14228	cpg:Cp316_t25
ko:K14231	cpg:Cp316_t43
ko:K14219	cpg:Cp316_t08
ko:K14219	cpg:Cp316_t07
ko:K02803	cpg:Cp316_0137
ko:K02804	cpg:Cp316_0137
ko:K14220	cpg:Cp316_t35
ko:K02768	cpg:Cp316_1374
ko:K02769	cpg:Cp316_1374
ko:K02770	cpg:Cp316_1374
ko:K14234	cpg:Cp316_t14
ko:K14225	cpg:Cp316_t37
ko:K00966	cpg:Cp316_0524
ko:K00951	cpg:Cp316_1216
ko:K08316	cpg:Cp316_0954
ko:K14225	cpg:Cp316_t29
ko:K14225	cpg:Cp316_t32
ko:K00108	cpg:Cp316_1838
ko:K16870	cpg:Cp316_0523
ko:K02303	cpg:Cp316_1336
ko:K16925	cpg:Cp316_0781
ko:K16786	cpg:Cp316_0782
ko:K16787	cpg:Cp316_0782
ko:K16785	cpg:Cp316_0783
ko:K14227	cpg:Cp316_t01
ko:K14228	cpg:Cp316_t04
ko:K14233	cpg:Cp316_t06
ko:K14236	cpg:Cp316_t13
ko:K14223	cpg:Cp316_t19
ko:K14223	cpg:Cp316_t22
ko:K14229	cpg:Cp316_t40
ko:K14218	cpg:Cp316_t02
ko:K14218	cpg:Cp316_t03
ko:K14233	cpg:Cp316_t05
ko:K14233	cpg:Cp316_t09
ko:K14219	cpg:Cp316_t38
ko:K14230	cpg:Cp316_t15
ko:K14230	cpg:Cp316_t17
ko:K14230	cpg:Cp316_t34
ko:K14224	cpg:Cp316_t46
ko:K14237	cpg:Cp316_t31
ko:K01980	cpg:Cp316_r02
ko:K01980	cpg:Cp316_r08
ko:K01980	cpg:Cp316_r11
ko:K01980	cpg:Cp316_r05
ko:K15582	cpg:Cp316_0788
ko:K15581	cpg:Cp316_0787
ko:K01990	cpg:Cp316_1933
ko:K01992	cpg:Cp316_1934
ko:K01992	cpg:Cp316_1913
ko:K01990	cpg:Cp316_1914
ko:K01897	cpg:Cp316_0265
ko:K15580	cpg:Cp316_0786
ko:K10112	cpg:Cp316_0399
ko:K14229	cpg:Cp316_t47
ko:K14234	cpg:Cp316_t12
ko:K14228	cpg:Cp316_t20
ko:K14219	cpg:Cp316_t21
ko:K14232	cpg:Cp316_t26
ko:K14237	cpg:Cp316_t33
ko:K14226	cpg:Cp316_t39
ko:K03416	cpg:Cp316_0584
ko:K17489	cpg:Cp316_0585
ko:K01990	cpg:Cp316_0337
ko:K01990	cpg:Cp316_1141
ko:K01990	cpg:Cp316_1668
ko:K01990	cpg:Cp316_1884
ko:K14218	cpg:Cp316_t42
ko:K14234	cpg:Cp316_t48
ko:K14228	cpg:Cp316_t27
ko:K14237	cpg:Cp316_t28
ko:K17490	cpg:Cp316_0587
ko:K17489	cpg:Cp316_0586
ko:K17686	cpg:Cp316_2084
ko:K03671	cpg:Cp316_2082
ko:K02010	cpg:Cp316_0193
ko:K14221	cpg:Cp316_t44
ko:K14221	cpg:Cp316_t45
ko:K12574	cpg:Cp316_1315
ko:K11928	cpg:Cp316_0844
ko:K01658	cpg:Cp316_2146
ko:K19745	cpg:Cp316_1675
ko:K02026	cpg:Cp316_0517
ko:K14337	cpg:Cp316_1466
ko:K07284	cpg:Cp316_1929
ko:K03767	cpg:Cp316_0021
ko:K01267	cpg:Cp316_1082
ko:K00537	cpg:Cp316_0791
ko:K07284	cpg:Cp316_1957
ko:K02027	cpg:Cp316_0520
ko:K00254	cpg:Cp316_1099
ko:K08168	cpg:Cp316_0175
ko:K17883	cpg:Cp316_1346
ko:K02031	cpg:Cp316_0369
ko:K02032	cpg:Cp316_0369
ko:K02031	cpg:Cp316_0648
ko:K02032	cpg:Cp316_0648
ko:K02031	cpg:Cp316_1593
ko:K02032	cpg:Cp316_1593
ko:K02058	cpg:Cp316_0017
ko:K00130	cpg:Cp316_1836
ko:K21480	cpg:Cp316_1521
ko:K18118	cpg:Cp316_1759
ko:K21687	cpg:Cp316_0612
ko:K21688	cpg:Cp316_0703
ko:K00652	cpg:Cp316_1230
ko:K01619	cpg:Cp316_0257
ko:K01372	cpg:Cp316_0319
ko:K00299	cpg:Cp316_1205
ko:K13671	cpg:Cp316_2014
ko:K02078	cpg:Cp316_1540
ko:K03929	cpg:Cp316_1578
ko:K02035	cpg:Cp316_1602
ko:K09790	cpg:Cp316_1619
ko:K07052	cpg:Cp316_1699
ko:K07052	cpg:Cp316_1831
ko:K00138	cpg:Cp316_1948
ko:K02483	cpg:Cp316_1794
ko:K16237	cpg:Cp316_0805
ko:K16237	cpg:Cp316_0803
ko:K18455	cpg:Cp316_0749
ko:K10563	cpg:Cp316_2105
ko:K03574	cpg:Cp316_0944
ko:K01990	cpg:Cp316_0130
ko:K01992	cpg:Cp316_0131
ko:K02032	cpg:Cp316_1959
ko:K02032	cpg:Cp316_2129
ko:K18955	cpg:Cp316_0210
ko:K18955	cpg:Cp316_0554
ko:K06147	cpg:Cp316_0827
ko:K18929	cpg:Cp316_0856
ko:K18928	cpg:Cp316_0857
ko:K03111	cpg:Cp316_2091
ko:K04565	cpg:Cp316_0629
ko:K03111	cpg:Cp316_1656
ko:K03496	cpg:Cp316_1015
ko:K03497	cpg:Cp316_2167
ko:K03496	cpg:Cp316_2168
ko:K03976	cpg:Cp316_0551
ko:K03526	cpg:Cp316_1352
ko:K19125	cpg:Cp316_0030
ko:K00067	cpg:Cp316_0242
ko:K01790	cpg:Cp316_0242
ko:K19221	cpg:Cp316_1341
ko:K00798	cpg:Cp316_1748
ko:K01710	cpg:Cp316_0243
ko:K09951	cpg:Cp316_1714
ko:K02777	cpg:Cp316_0138
ko:K00525	cpg:Cp316_1726
ko:K01239	cpg:Cp316_1829
ko:K01239	cpg:Cp316_1321
ko:K19302	cpg:Cp316_0129
ko:K00020	cpg:Cp316_0162
ko:K19265	cpg:Cp316_0913
ko:K03722	cpg:Cp316_1710
ko:K01785	cpg:Cp316_0834
ko:K19302	cpg:Cp316_2022
ko:K00526	cpg:Cp316_1723
ko:K01992	cpg:Cp316_1883
ko:K06867	cpg:Cp316_1573
ko:K06867	cpg:Cp316_1609
ko:K06881	cpg:Cp316_1327
ko:K19577	cpg:Cp316_0481
ko:K06221	cpg:Cp316_0631
ko:K19710	cpg:Cp316_1235
ko:K19784	cpg:Cp316_2055
ko:K07119	cpg:Cp316_1685
ko:K02033	cpg:Cp316_1601
ko:K02034	cpg:Cp316_1601
ko:K09796	cpg:Cp316_1238
ko:K12132	cpg:Cp316_0038
ko:K12132	cpg:Cp316_1468
ko:K12132	cpg:Cp316_0039
ko:K20074	cpg:Cp316_0042
ko:K14194	cpg:Cp316_0179
ko:K20468	cpg:Cp316_2004
ko:K20470	cpg:Cp316_2003
ko:K01214	cpg:Cp316_1420
ko:K01200	cpg:Cp316_0727
ko:K20814	cpg:Cp316_1079
ko:K21071	cpg:Cp316_0910
ko:K01768	cpg:Cp316_0235
ko:K00821	cpg:Cp316_0998
ko:K21147	cpg:Cp316_0382
ko:K00287	cpg:Cp316_0653
ko:K00560	cpg:Cp316_0654
ko:K07465	cpg:Cp316_1083
ko:K01520	cpg:Cp316_1252
ko:K03553	cpg:Cp316_1302
ko:K03465	cpg:Cp316_1317
ko:K02316	cpg:Cp316_1547
ko:K06217	cpg:Cp316_1568
ko:K06191	cpg:Cp316_1728
ko:K02314	cpg:Cp316_2086
ko:K21636	cpg:Cp316_0342
ko:K02335	cpg:Cp316_0972
ko:K09820	cpg:Cp316_0328
ko:K01436	cpg:Cp316_0495
ko:K22468	cpg:Cp316_0709
ko:K09819	cpg:Cp316_0329
ko:K02075	cpg:Cp316_0466
ko:K02075	cpg:Cp316_0465
ko:K02074	cpg:Cp316_0464
ko:K00526	cpg:Cp316_1778
ko:K21481	cpg:Cp316_1687
ko:K21473	cpg:Cp316_1120
ko:K05364	cpg:Cp316_0040
ko:K21471	cpg:Cp316_1475
ko:K21401	cpg:Cp316_0312
ko:K21498	cpg:Cp316_1084
ko:K10914	cpg:Cp316_0214
ko:K21685	cpg:Cp316_1749
ko:K21962	cpg:Cp316_1123
ko:K22044	cpg:Cp316_0921
ko:K22044	cpg:Cp316_1650
ko:K03595	cpg:Cp316_1564
ko:K01046	cpg:Cp316_0080
ko:K17758	cpg:Cp316_2106
ko:K17759	cpg:Cp316_2106
ko:K22316	cpg:Cp316_1529
ko:K22306	cpg:Cp316_1614
ko:K02257	cpg:Cp316_1144
ko:K22311	cpg:Cp316_1233
ko:K00666	cpg:Cp316_0239
ko:K11206	cpg:Cp316_1944
ko:K22476	cpg:Cp316_1880
ko:K00728	cpg:Cp316_0696
ko:K22468	cpg:Cp316_1859
ko:K08300	cpg:Cp316_1625
ko:K08301	cpg:Cp316_1625
ko:K07566	cpg:Cp316_0868
