ko:K00984	senn:SN31241_23340
ko:K00060	senn:SN31241_1720
ko:K09798	senn:SN31241_1740
ko:K15633	senn:SN31241_1760
ko:K03071	senn:SN31241_1790
ko:K00057	senn:SN31241_1800
ko:K00640	senn:SN31241_1810
ko:K06145	senn:SN31241_1850
ko:K03216	senn:SN31241_1870
ko:K14348	senn:SN31241_1890
ko:K00427	senn:SN31241_1900
ko:K11753	senn:SN31241_10230
ko:K01870	senn:SN31241_10240
ko:K03101	senn:SN31241_10250
ko:K03774	senn:SN31241_10270
ko:K03527	senn:SN31241_10280
ko:K12700	senn:SN31241_10310
ko:K07702	senn:SN31241_10320
ko:K07700	senn:SN31241_10330
ko:K01573	senn:SN31241_10360
ko:K01910	senn:SN31241_10380
ko:K01646	senn:SN31241_10390
ko:K01644	senn:SN31241_10400
ko:K01643	senn:SN31241_10410
ko:K05964	senn:SN31241_10420
ko:K00215	senn:SN31241_10440
ko:K01956	senn:SN31241_10450
ko:K01955	senn:SN31241_10460
ko:K08277	senn:SN31241_10470
ko:K02182	senn:SN31241_10500
ko:K08298	senn:SN31241_10510
ko:K08297	senn:SN31241_10520
ko:K05245	senn:SN31241_10530
ko:K03521	senn:SN31241_10560
ko:K03522	senn:SN31241_10570
ko:K00313	senn:SN31241_10580
ko:K08368	senn:SN31241_10600
ko:K11746	senn:SN31241_10650
ko:K06195	senn:SN31241_10690
ko:K02528	senn:SN31241_10700
ko:K00097	senn:SN31241_10710
ko:K03771	senn:SN31241_10720
ko:K04744	senn:SN31241_10730
ko:K05801	senn:SN31241_10740
ko:K01993	senn:SN31241_18660
ko:K11927	senn:SN31241_18680
ko:K10037	senn:SN31241_18760
ko:K10036	senn:SN31241_18770
ko:K04047	senn:SN31241_18790
ko:K11939	senn:SN31241_18810
ko:K11934	senn:SN31241_18820
ko:K11924	senn:SN31241_18860
ko:K00656	senn:SN31241_18940
ko:K04069	senn:SN31241_18950
ko:K03750	senn:SN31241_18970
ko:K13051	senn:SN31241_18980
ko:K13892	senn:SN31241_18990
ko:K13889	senn:SN31241_19000
ko:K13890	senn:SN31241_19010
ko:K13891	senn:SN31241_19020
ko:K14441	senn:SN31241_19030
ko:K03521	senn:SN31241_19080
ko:K03522	senn:SN31241_19090
ko:K02029	senn:SN31241_27110
ko:K02029	senn:SN31241_27130
ko:K12262	senn:SN31241_27160
ko:K03578	senn:SN31241_27180
ko:K01118	senn:SN31241_27190
ko:K09978	senn:SN31241_27210
ko:K03778	senn:SN31241_27240
ko:K03737	senn:SN31241_27280
ko:K14058	senn:SN31241_27330
ko:K05591	senn:SN31241_27340
ko:K16074	senn:SN31241_27350
ko:K14055	senn:SN31241_27420
ko:K16052	senn:SN31241_27440
ko:K15580	senn:SN31241_27610
ko:K14054	senn:SN31241_27620
ko:K00868	senn:SN31241_35410
ko:K01951	senn:SN31241_35430
ko:K12339	senn:SN31241_35460
ko:K02045	senn:SN31241_35470
ko:K02047	senn:SN31241_35480
ko:K02046	senn:SN31241_35490
ko:K02048	senn:SN31241_35500
ko:K07223	senn:SN31241_35520
ko:K01448	senn:SN31241_35560
ko:K00228	senn:SN31241_35570
ko:K04033	senn:SN31241_35590
ko:K04025	senn:SN31241_35600
ko:K04026	senn:SN31241_35610
ko:K03736	senn:SN31241_35620
ko:K03735	senn:SN31241_35630
ko:K04019	senn:SN31241_35640
ko:K04023	senn:SN31241_35650
ko:K04022	senn:SN31241_35660
ko:K04024	senn:SN31241_35670
ko:K04021	senn:SN31241_35680
ko:K04027	senn:SN31241_35700
ko:K04020	senn:SN31241_35710
ko:K04032	senn:SN31241_35720
ko:K04030	senn:SN31241_35730
ko:K04029	senn:SN31241_35740
ko:K04031	senn:SN31241_35750
ko:K00029	senn:SN31241_35760
ko:K00615	senn:SN31241_35790
ko:K12945	senn:SN31241_35820
ko:K07674	senn:SN31241_35850
ko:K00975	senn:SN31241_3570
ko:K00703	senn:SN31241_3580
ko:K00688	senn:SN31241_3590
ko:K01687	senn:SN31241_3620
ko:K00005	senn:SN31241_3640
ko:K02040	senn:SN31241_3650
ko:K00111	senn:SN31241_3670
ko:K02439	senn:SN31241_3680
ko:K02444	senn:SN31241_3700
ko:K03556	senn:SN31241_3710
ko:K00688	senn:SN31241_3720
ko:K00705	senn:SN31241_3730
ko:K06155	senn:SN31241_3740
ko:K07400	senn:SN31241_3750
ko:K02170	senn:SN31241_3770
ko:K07490	senn:SN31241_3800
ko:K04759	senn:SN31241_3810
ko:K04758	senn:SN31241_3820
ko:K06959	senn:SN31241_3830
ko:K04760	senn:SN31241_3840
ko:K07659	senn:SN31241_3850
ko:K07638	senn:SN31241_3860
ko:K01610	senn:SN31241_3870
ko:K04083	senn:SN31241_3890
ko:K04762	senn:SN31241_3900
ko:K08312	senn:SN31241_3930
ko:K05366	senn:SN31241_3940
ko:K12288	senn:SN31241_3950
ko:K12289	senn:SN31241_3960
ko:K12290	senn:SN31241_3970
ko:K12291	senn:SN31241_3980
ko:K02507	senn:SN31241_3990
ko:K00891	senn:SN31241_4000
ko:K01735	senn:SN31241_4010
ko:K03112	senn:SN31241_4020
ko:K01783	senn:SN31241_4040
ko:K01091	senn:SN31241_4050
ko:K01867	senn:SN31241_4060
ko:K12516	senn:SN31241_4090
ko:K02302	senn:SN31241_4100
ko:K02598	senn:SN31241_4110
ko:K15034	senn:SN31241_12350
ko:K06079	senn:SN31241_12360
ko:K01881	senn:SN31241_12370
ko:K06080	senn:SN31241_12390
ko:K02073	senn:SN31241_12400
ko:K02072	senn:SN31241_12410
ko:K02071	senn:SN31241_12420
ko:K03273	senn:SN31241_12430
ko:K06222	senn:SN31241_12460
ko:K08307	senn:SN31241_12510
ko:K11902	senn:SN31241_12560
ko:K11895	senn:SN31241_12570
ko:K11896	senn:SN31241_12580
ko:K11897	senn:SN31241_12590
ko:K11898	senn:SN31241_12600
ko:K11907	senn:SN31241_12620
ko:K11901	senn:SN31241_12630
ko:K11900	senn:SN31241_12640
ko:K11903	senn:SN31241_12660
ko:K11903	senn:SN31241_12690
ko:K11906	senn:SN31241_12700
ko:K11893	senn:SN31241_12710
ko:K11892	senn:SN31241_12720
ko:K11891	senn:SN31241_12750
ko:K11890	senn:SN31241_12760
ko:K01256	senn:SN31241_20720
ko:K07140	senn:SN31241_20750
ko:K12297	senn:SN31241_20760
ko:K15738	senn:SN31241_20770
ko:K03808	senn:SN31241_20780
ko:K06192	senn:SN31241_20790
ko:K09857	senn:SN31241_20800
ko:K01716	senn:SN31241_20820
ko:K04770	senn:SN31241_20830
ko:K09911	senn:SN31241_20840
ko:K03658	senn:SN31241_20900
ko:K01734	senn:SN31241_20910
ko:K06929	senn:SN31241_20930
ko:K11940	senn:SN31241_20940
ko:K06969	senn:SN31241_20950
ko:K01512	senn:SN31241_20980
ko:K03704	senn:SN31241_29220
ko:K08169	senn:SN31241_29280
ko:K03799	senn:SN31241_29290
ko:K03797	senn:SN31241_29300
ko:K03607	senn:SN31241_29310
ko:K03808	senn:SN31241_29330
ko:K07156	senn:SN31241_29740
ko:K10857	senn:SN31241_29770
ko:K03598	senn:SN31241_37520
ko:K03597	senn:SN31241_37530
ko:K03088	senn:SN31241_37540
ko:K00278	senn:SN31241_37560
ko:K05590	senn:SN31241_37590
ko:K11249	senn:SN31241_37610
ko:K03648	senn:SN31241_37630
ko:K03214	senn:SN31241_37640
ko:K03672	senn:SN31241_37650
ko:K00998	senn:SN31241_37680
ko:K05811	senn:SN31241_37690
ko:K03695	senn:SN31241_37730
ko:K05810	senn:SN31241_37740
ko:K06180	senn:SN31241_37750
ko:K05807	senn:SN31241_37760
ko:K05809	senn:SN31241_37770
ko:K14170	senn:SN31241_37780
ko:K14187	senn:SN31241_37800
ko:K01626	senn:SN31241_37810
ko:K02884	senn:SN31241_37850
ko:K00554	senn:SN31241_37860
ko:K02860	senn:SN31241_37870
ko:K02959	senn:SN31241_37880
ko:K03106	senn:SN31241_37890
ko:K03687	senn:SN31241_37930
ko:K00858	senn:SN31241_37940
ko:K03631	senn:SN31241_37950
ko:K06186	senn:SN31241_37960
ko:K09801	senn:SN31241_37970
ko:K03664	senn:SN31241_37990
ko:K13631	senn:SN31241_5820
ko:K13639	senn:SN31241_5830
ko:K06901	senn:SN31241_5860
ko:K14393	senn:SN31241_5920
ko:K01895	senn:SN31241_5940
ko:K03385	senn:SN31241_5950
ko:K04013	senn:SN31241_5960
ko:K04014	senn:SN31241_5970
ko:K04016	senn:SN31241_5990
ko:K11102	senn:SN31241_6010
ko:K09994	senn:SN31241_6060
ko:K06193	senn:SN31241_6080
ko:K03762	senn:SN31241_6090
ko:K07643	senn:SN31241_6100
ko:K07771	senn:SN31241_6110
ko:K03760	senn:SN31241_6120
ko:K03759	senn:SN31241_6130
ko:K03755	senn:SN31241_6140
ko:K01584	senn:SN31241_6150
ko:K07406	senn:SN31241_6170
ko:K01676	senn:SN31241_6190
ko:K07703	senn:SN31241_6220
ko:K07701	senn:SN31241_6230
ko:K07306	senn:SN31241_6240
ko:K02299	senn:SN31241_14420
ko:K02298	senn:SN31241_14430
ko:K02297	senn:SN31241_14440
ko:K08218	senn:SN31241_14460
ko:K07286	senn:SN31241_14470
ko:K05527	senn:SN31241_14490
ko:K03545	senn:SN31241_14500
ko:K01358	senn:SN31241_14510
ko:K03544	senn:SN31241_14520
ko:K01338	senn:SN31241_14530
ko:K03530	senn:SN31241_14540
ko:K03770	senn:SN31241_14550
ko:K02237	senn:SN31241_14560
ko:K12500	senn:SN31241_14570
ko:K06920	senn:SN31241_14580
ko:K11938	senn:SN31241_14600
ko:K01738	senn:SN31241_14610
ko:K05800	senn:SN31241_14620
ko:K04752	senn:SN31241_14660
ko:K03320	senn:SN31241_14670
ko:K10805	senn:SN31241_14680
ko:K09914	senn:SN31241_14690
ko:K07443	senn:SN31241_14700
ko:K02909	senn:SN31241_14720
ko:K02919	senn:SN31241_14730
ko:K03577	senn:SN31241_14800
ko:K05802	senn:SN31241_14810
ko:K09790	senn:SN31241_14850
ko:K00759	senn:SN31241_14860
ko:K02343	senn:SN31241_14870
ko:K09747	senn:SN31241_14880
ko:K06187	senn:SN31241_14890
ko:K04079	senn:SN31241_14900
ko:K01772	senn:SN31241_14930
ko:K00892	senn:SN31241_14950
ko:K09810	senn:SN31241_22860
ko:K09808	senn:SN31241_22870
ko:K12410	senn:SN31241_22890
ko:K07637	senn:SN31241_22980
ko:K01756	senn:SN31241_23000
ko:K07153	senn:SN31241_23010
ko:K00566	senn:SN31241_23020
ko:K12152	senn:SN31241_23030
ko:K06181	senn:SN31241_23050
ko:K00031	senn:SN31241_23060
ko:K07804	senn:SN31241_23160
ko:K04080	senn:SN31241_23210
ko:K02034	senn:SN31241_23280
ko:K05936	senn:SN31241_31300
ko:K02191	senn:SN31241_31310
ko:K02188	senn:SN31241_31330
ko:K06042	senn:SN31241_31340
ko:K02227	senn:SN31241_31350
ko:K02224	senn:SN31241_31360
ko:K13919	senn:SN31241_31420
ko:K13920	senn:SN31241_31430
ko:K13922	senn:SN31241_31520
ko:K04031	senn:SN31241_31560
ko:K04029	senn:SN31241_31570
ko:K16651	senn:SN31241_31590
ko:K09802	senn:SN31241_31600
ko:K07470	senn:SN31241_31620
ko:K08354	senn:SN31241_31640
ko:K01141	senn:SN31241_31690
ko:K00765	senn:SN31241_31740
ko:K07245	senn:SN31241_29730
ko:K00013	senn:SN31241_31750
ko:K00817	senn:SN31241_31760
ko:K01089	senn:SN31241_31770
ko:K02501	senn:SN31241_31780
ko:K01814	senn:SN31241_31790
ko:K02500	senn:SN31241_31800
ko:K03561	senn:SN31241_42870
ko:K08325	senn:SN31241_42910
ko:K03319	senn:SN31241_42930
ko:K00655	senn:SN31241_43010
ko:K02621	senn:SN31241_43020
ko:K13652	senn:SN31241_43030
ko:K03923	senn:SN31241_43080
ko:K02622	senn:SN31241_43110
ko:K07000	senn:SN31241_43120
ko:K03651	senn:SN31241_43130
ko:K09920	senn:SN31241_43140
ko:K12340	senn:SN31241_43160
ko:K07238	senn:SN31241_43200
ko:K03673	senn:SN31241_43230
ko:K03611	senn:SN31241_43240
ko:K03623	senn:SN31241_44870
ko:K03468	senn:SN31241_44880
ko:K15548	senn:SN31241_44890
ko:K03568	senn:SN31241_44920
ko:K08301	senn:SN31241_44940
ko:K06287	senn:SN31241_44950
ko:K03571	senn:SN31241_44960
ko:K03570	senn:SN31241_44970
ko:K03569	senn:SN31241_44980
ko:K17247	senn:SN31241_45020
ko:K02160	senn:SN31241_45030
ko:K01961	senn:SN31241_45040
ko:K14392	senn:SN31241_45060
ko:K02687	senn:SN31241_45070
ko:K03557	senn:SN31241_45100
ko:K00602	senn:SN31241_45210
ko:K01945	senn:SN31241_45220
ko:K07803	senn:SN31241_45250
ko:K05787	senn:SN31241_45270
ko:K09891	senn:SN31241_45280
ko:K05982	senn:SN31241_45290
ko:K01599	senn:SN31241_45300
ko:K03426	senn:SN31241_45310
ko:K07740	senn:SN31241_45320
ko:K03147	senn:SN31241_45330
ko:K00788	senn:SN31241_45340
ko:K01825	senn:SN31241_47460
ko:K05368	senn:SN31241_47490
ko:K03182	senn:SN31241_47500
ko:K03424	senn:SN31241_47520
ko:K03118	senn:SN31241_47530
ko:K03117	senn:SN31241_47540
ko:K03116	senn:SN31241_47550
ko:K03688	senn:SN31241_47560
ko:K03690	senn:SN31241_47570
ko:K03183	senn:SN31241_47580
ko:K09760	senn:SN31241_47590
ko:K00757	senn:SN31241_47610
ko:K01061	senn:SN31241_47620
ko:K06871	senn:SN31241_47630
ko:K00549	senn:SN31241_47640
ko:K03576	senn:SN31241_47650
ko:K05834	senn:SN31241_47680
ko:K05835	senn:SN31241_47690
ko:K03654	senn:SN31241_47700
ko:K01058	senn:SN31241_47710
ko:K05786	senn:SN31241_47730
ko:K03284	senn:SN31241_47750
ko:K03657	senn:SN31241_47760
ko:K03733	senn:SN31241_47780
ko:K09921	senn:SN31241_47790
ko:K01778	senn:SN31241_47800
ko:K06202	senn:SN31241_47850
ko:K05851	senn:SN31241_47860
ko:K01749	senn:SN31241_47870
ko:K02496	senn:SN31241_47890
ko:K02498	senn:SN31241_47900
ko:K07454	senn:SN31241_8690
ko:K09982	senn:SN31241_8730
ko:K01867	senn:SN31241_8820
ko:K01779	senn:SN31241_8860
ko:K01305	senn:SN31241_8880
ko:K03427	senn:SN31241_9020
ko:K01153	senn:SN31241_9030
ko:K01581	senn:SN31241_17010
ko:K07667	senn:SN31241_17030
ko:K07646	senn:SN31241_17040
ko:K01548	senn:SN31241_17050
ko:K01547	senn:SN31241_17060
ko:K01546	senn:SN31241_17070
ko:K01669	senn:SN31241_17090
ko:K03305	senn:SN31241_17100
ko:K07160	senn:SN31241_17140
ko:K07357	senn:SN31241_17160
ko:K01647	senn:SN31241_17300
ko:K00242	senn:SN31241_17320
ko:K00239	senn:SN31241_17330
ko:K00240	senn:SN31241_17340
ko:K00164	senn:SN31241_17350
ko:K00658	senn:SN31241_17360
ko:K01903	senn:SN31241_17370
ko:K01902	senn:SN31241_17380
ko:K00425	senn:SN31241_17430
ko:K00426	senn:SN31241_17440
ko:K07107	senn:SN31241_17470
ko:K03562	senn:SN31241_17480
ko:K03641	senn:SN31241_17510
ko:K03640	senn:SN31241_17520
ko:K00325	senn:SN31241_25490
ko:K11744	senn:SN31241_25500
ko:K11743	senn:SN31241_25520
ko:K11742	senn:SN31241_25530
ko:K04775	senn:SN31241_25540
ko:K08224	senn:SN31241_25570
ko:K15545	senn:SN31241_25590
ko:K01935	senn:SN31241_25600
ko:K03281	senn:SN31241_25610
ko:K05847	senn:SN31241_25620
ko:K05846	senn:SN31241_25630
ko:K05845	senn:SN31241_25640
ko:K05846	senn:SN31241_25650
ko:K07310	senn:SN31241_25690
ko:K07309	senn:SN31241_25700
ko:K09771	senn:SN31241_25750
ko:K08323	senn:SN31241_25760
ko:K08322	senn:SN31241_25770
ko:K16066	senn:SN31241_25830
ko:K01284	senn:SN31241_25840
ko:K15268	senn:SN31241_25900
ko:K13630	senn:SN31241_25910
ko:K13632	senn:SN31241_25920
ko:K03712	senn:SN31241_25930
ko:K08159	senn:SN31241_25950
ko:K08324	senn:SN31241_25970
ko:K01425	senn:SN31241_25980
ko:K01126	senn:SN31241_33870
ko:K02445	senn:SN31241_33880
ko:K00111	senn:SN31241_33890
ko:K00112	senn:SN31241_33900
ko:K00113	senn:SN31241_33910
ko:K12660	senn:SN31241_33940
ko:K12661	senn:SN31241_33960
ko:K07806	senn:SN31241_34020
ko:K10012	senn:SN31241_34030
ko:K10011	senn:SN31241_34040
ko:K13014	senn:SN31241_34050
ko:K07264	senn:SN31241_34060
ko:K12962	senn:SN31241_34070
ko:K12963	senn:SN31241_34080
ko:K01911	senn:SN31241_34100
ko:K01661	senn:SN31241_34120
ko:K02551	senn:SN31241_34140
ko:K05594	senn:SN31241_34160
ko:K03415	senn:SN31241_34190
ko:K00343	senn:SN31241_34200
ko:K00342	senn:SN31241_34210
ko:K00341	senn:SN31241_34220
ko:K00340	senn:SN31241_34230
ko:K00339	senn:SN31241_34240
ko:K00338	senn:SN31241_34250
ko:K00337	senn:SN31241_34260
ko:K00334	senn:SN31241_34290
ko:K13378	senn:SN31241_34300
ko:K00331	senn:SN31241_34310
ko:K00330	senn:SN31241_34320
ko:K14260	senn:SN31241_34360
ko:K14762	senn:SN31241_1940
ko:K02562	senn:SN31241_1960
ko:K00009	senn:SN31241_1970
ko:K01042	senn:SN31241_2000
ko:K03833	senn:SN31241_2010
ko:K00138	senn:SN31241_2030
ko:K09955	senn:SN31241_2040
ko:K00880	senn:SN31241_2090
ko:K08092	senn:SN31241_2150
ko:K00835	senn:SN31241_2180
ko:K02529	senn:SN31241_2210
ko:K01805	senn:SN31241_2220
ko:K01878	senn:SN31241_2300
ko:K01879	senn:SN31241_2310
ko:K03704	senn:SN31241_2330
ko:K07726	senn:SN31241_2340
ko:K03826	senn:SN31241_2400
ko:K01246	senn:SN31241_2410
ko:K07347	senn:SN31241_2460
ko:K03580	senn:SN31241_10760
ko:K02336	senn:SN31241_10770
ko:K01804	senn:SN31241_10830
ko:K02062	senn:SN31241_10870
ko:K02063	senn:SN31241_10880
ko:K02064	senn:SN31241_10890
ko:K11925	senn:SN31241_10910
ko:K01704	senn:SN31241_10940
ko:K01703	senn:SN31241_10950
ko:K00052	senn:SN31241_10960
ko:K01649	senn:SN31241_10970
ko:K05798	senn:SN31241_10980
ko:K01652	senn:SN31241_10990
ko:K01653	senn:SN31241_11000
ko:K03435	senn:SN31241_11020
ko:K03925	senn:SN31241_11030
ko:K03438	senn:SN31241_11040
ko:K03586	senn:SN31241_11050
ko:K03587	senn:SN31241_11060
ko:K01928	senn:SN31241_11070
ko:K01929	senn:SN31241_11080
ko:K01000	senn:SN31241_11090
ko:K01925	senn:SN31241_11100
ko:K03588	senn:SN31241_11110
ko:K02563	senn:SN31241_11120
ko:K01924	senn:SN31241_11130
ko:K01921	senn:SN31241_11140
ko:K03589	senn:SN31241_11150
ko:K03590	senn:SN31241_11160
ko:K03531	senn:SN31241_11170
ko:K02535	senn:SN31241_11180
ko:K13301	senn:SN31241_11190
ko:K03070	senn:SN31241_11200
ko:K09862	senn:SN31241_11230
ko:K00859	senn:SN31241_11260
ko:K00311	senn:SN31241_19120
ko:K11534	senn:SN31241_19190
ko:K08160	senn:SN31241_19210
ko:K07085	senn:SN31241_19250
ko:K11073	senn:SN31241_19320
ko:K11076	senn:SN31241_19330
ko:K11075	senn:SN31241_19340
ko:K11074	senn:SN31241_19350
ko:K03212	senn:SN31241_19370
ko:K09996	senn:SN31241_19420
ko:K09999	senn:SN31241_19440
ko:K09997	senn:SN31241_19450
ko:K11066	senn:SN31241_19490
ko:K01620	senn:SN31241_19520
ko:K00156	senn:SN31241_19530
ko:K11933	senn:SN31241_19540
ko:K09824	senn:SN31241_19580
ko:K13888	senn:SN31241_19590
ko:K05685	senn:SN31241_19600
ko:K03704	senn:SN31241_19610
ko:K11065	senn:SN31241_27640
ko:K03721	senn:SN31241_27650
ko:K08990	senn:SN31241_27660
ko:K06918	senn:SN31241_27670
ko:K03971	senn:SN31241_27690
ko:K03970	senn:SN31241_27710
ko:K03969	senn:SN31241_27720
ko:K03974	senn:SN31241_27730
ko:K00208	senn:SN31241_27810
ko:K01147	senn:SN31241_27830
ko:K14051	senn:SN31241_27840
ko:K04062	senn:SN31241_27870
ko:K03113	senn:SN31241_27880
ko:K01591	senn:SN31241_27890
ko:K01681	senn:SN31241_27940
ko:K13634	senn:SN31241_27970
ko:K03168	senn:SN31241_27980
ko:K06178	senn:SN31241_28030
ko:K07053	senn:SN31241_28050
ko:K01657	senn:SN31241_28060
ko:K13497	senn:SN31241_28070
ko:K13498	senn:SN31241_28080
ko:K01696	senn:SN31241_28090
ko:K01695	senn:SN31241_28100
ko:K07217	senn:SN31241_28140
ko:K07275	senn:SN31241_28150
ko:K06957	senn:SN31241_35900
ko:K01923	senn:SN31241_35920
ko:K07287	senn:SN31241_35930
ko:K01714	senn:SN31241_35940
ko:K03567	senn:SN31241_35950
ko:K03564	senn:SN31241_35960
ko:K00865	senn:SN31241_35970
ko:K02647	senn:SN31241_35990
ko:K10763	senn:SN31241_36030
ko:K00761	senn:SN31241_36050
ko:K01933	senn:SN31241_36070
ko:K11175	senn:SN31241_36080
ko:K00937	senn:SN31241_36090
ko:K01524	senn:SN31241_36100
ko:K01951	senn:SN31241_36150
ko:K03601	senn:SN31241_36170
ko:K13735	senn:SN31241_36230
ko:K03977	senn:SN31241_36250
ko:K01892	senn:SN31241_36280
ko:K15539	senn:SN31241_36300
ko:K06941	senn:SN31241_36310
ko:K00940	senn:SN31241_36320
ko:K07306	senn:SN31241_36360
ko:K05367	senn:SN31241_36370
ko:K06894	senn:SN31241_36380
ko:K03501	senn:SN31241_20
ko:K00820	senn:SN31241_160
ko:K01631	senn:SN31241_450
ko:K01652	senn:SN31241_800
ko:K02914	senn:SN31241_340
ko:K01684	senn:SN31241_460
ko:K00428	senn:SN31241_550
ko:K04080	senn:SN31241_670
ko:K00014	senn:SN31241_180
ko:K02313	senn:SN31241_350
ko:K04081	senn:SN31241_680
ko:K02108	senn:SN31241_50
ko:K02769	senn:SN31241_190
ko:K02770	senn:SN31241_190
ko:K02338	senn:SN31241_360
ko:K02194	senn:SN31241_570
ko:K07085	senn:SN31241_690
ko:K02110	senn:SN31241_60
ko:K02040	senn:SN31241_200
ko:K08163	senn:SN31241_300
ko:K03629	senn:SN31241_370
ko:K07647	senn:SN31241_480
ko:K02109	senn:SN31241_70
ko:K02037	senn:SN31241_210
ko:K02470	senn:SN31241_380
ko:K02113	senn:SN31241_80
ko:K02038	senn:SN31241_220
ko:K02195	senn:SN31241_580
ko:K02111	senn:SN31241_90
ko:K02036	senn:SN31241_230
ko:K02196	senn:SN31241_590
ko:K11930	senn:SN31241_500
ko:K02197	senn:SN31241_600
ko:K06871	senn:SN31241_740
ko:K03650	senn:SN31241_310
ko:K02198	senn:SN31241_610
ko:K01753	senn:SN31241_750
ko:K02115	senn:SN31241_110
ko:K02039	senn:SN31241_240
ko:K02199	senn:SN31241_620
ko:K13629	senn:SN31241_760
ko:K02112	senn:SN31241_120
ko:K03532	senn:SN31241_520
ko:K06901	senn:SN31241_260
ko:K03217	senn:SN31241_320
ko:K00883	senn:SN31241_440
ko:K07811	senn:SN31241_530
ko:K08154	senn:SN31241_780
ko:K02114	senn:SN31241_130
ko:K06890	senn:SN31241_140
ko:K03536	senn:SN31241_330
ko:K03533	senn:SN31241_540
ko:K03495	senn:SN31241_10
ko:K04042	senn:SN31241_150
ko:K09474	senn:SN31241_6490
ko:K01129	senn:SN31241_6880
ko:K07240	senn:SN31241_6910
ko:K08223	senn:SN31241_14980
ko:K09973	senn:SN31241_15010
ko:K07340	senn:SN31241_15050
ko:K02068	senn:SN31241_15070
ko:K02069	senn:SN31241_15080
ko:K05838	senn:SN31241_15090
ko:K10804	senn:SN31241_15110
ko:K02003	senn:SN31241_15120
ko:K02073	senn:SN31241_15160
ko:K02071	senn:SN31241_15170
ko:K02072	senn:SN31241_15180
ko:K00363	senn:SN31241_4130
ko:K00362	senn:SN31241_4140
ko:K06141	senn:SN31241_4160
ko:K04095	senn:SN31241_4180
ko:K07397	senn:SN31241_4230
ko:K00855	senn:SN31241_4240
ko:K06158	senn:SN31241_4300
ko:K07070	senn:SN31241_4330
ko:K03775	senn:SN31241_4340
ko:K03745	senn:SN31241_4350
ko:K07235	senn:SN31241_4380
ko:K07236	senn:SN31241_4390
ko:K07237	senn:SN31241_4400
ko:K02950	senn:SN31241_4410
ko:K02992	senn:SN31241_4420
ko:K02355	senn:SN31241_4430
ko:K02358	senn:SN31241_4440
ko:K02192	senn:SN31241_4450
ko:K03594	senn:SN31241_4460
ko:K02946	senn:SN31241_4480
ko:K02906	senn:SN31241_4490
ko:K02926	senn:SN31241_4500
ko:K02892	senn:SN31241_4510
ko:K02886	senn:SN31241_4520
ko:K02965	senn:SN31241_4530
ko:K02890	senn:SN31241_4540
ko:K02982	senn:SN31241_4550
ko:K02878	senn:SN31241_4560
ko:K02904	senn:SN31241_4570
ko:K02961	senn:SN31241_4580
ko:K02874	senn:SN31241_4590
ko:K02895	senn:SN31241_4600
ko:K02931	senn:SN31241_4610
ko:K02954	senn:SN31241_4620
ko:K02994	senn:SN31241_4630
ko:K02933	senn:SN31241_4640
ko:K02881	senn:SN31241_4650
ko:K02988	senn:SN31241_4660
ko:K02907	senn:SN31241_4670
ko:K02876	senn:SN31241_4680
ko:K03076	senn:SN31241_4690
ko:K07347	senn:SN31241_12980
ko:K03271	senn:SN31241_13070
ko:K02346	senn:SN31241_13100
ko:K02839	senn:SN31241_13120
ko:K11750	senn:SN31241_13150
ko:K11926	senn:SN31241_13160
ko:K11929	senn:SN31241_13170
ko:K00931	senn:SN31241_13190
ko:K00147	senn:SN31241_13200
ko:K01703	senn:SN31241_13260
ko:K01704	senn:SN31241_13270
ko:K07347	senn:SN31241_13340
ko:K07127	senn:SN31241_21640
ko:K05921	senn:SN31241_21680
ko:K00455	senn:SN31241_21700
ko:K02509	senn:SN31241_21720
ko:K02511	senn:SN31241_21740
ko:K02508	senn:SN31241_21750
ko:K05516	senn:SN31241_21790
ko:K01354	senn:SN31241_29780
ko:K09918	senn:SN31241_29810
ko:K08289	senn:SN31241_29820
ko:K01625	senn:SN31241_29830
ko:K01690	senn:SN31241_29840
ko:K00036	senn:SN31241_29850
ko:K00873	senn:SN31241_29870
ko:K02560	senn:SN31241_29880
ko:K09817	senn:SN31241_29910
ko:K09816	senn:SN31241_29920
ko:K03551	senn:SN31241_29930
ko:K03550	senn:SN31241_29940
ko:K01159	senn:SN31241_29970
ko:K08310	senn:SN31241_29990
ko:K01876	senn:SN31241_30000
ko:K07136	senn:SN31241_30030
ko:K15256	senn:SN31241_30040
ko:K15257	senn:SN31241_30050
ko:K09907	senn:SN31241_30070
ko:K01887	senn:SN31241_30090
ko:K05515	senn:SN31241_30100
ko:K15532	senn:SN31241_30110
ko:K03516	senn:SN31241_30120
ko:K02400	senn:SN31241_30130
ko:K02401	senn:SN31241_30140
ko:K03414	senn:SN31241_30150
ko:K03413	senn:SN31241_30160
ko:K03412	senn:SN31241_30170
ko:K03408	senn:SN31241_30200
ko:K03407	senn:SN31241_30210
ko:K02557	senn:SN31241_30220
ko:K02556	senn:SN31241_30230
ko:K02402	senn:SN31241_30240
ko:K02403	senn:SN31241_30250
ko:K14064	senn:SN31241_30260
ko:K00697	senn:SN31241_30270
ko:K01087	senn:SN31241_30280
ko:K12543	senn:SN31241_38020
ko:K12541	senn:SN31241_38030
ko:K12542	senn:SN31241_38040
ko:K06915	senn:SN31241_38470
ko:K07733	senn:SN31241_38530
