ko:K18137	abx:ABK1_2568
ko:K07091	abx:ABK1_0280
ko:K11720	abx:ABK1_0281
ko:K15633	abx:ABK1_0282
ko:K03797	abx:ABK1_0283
ko:K02667	abx:ABK1_0284
ko:K02668	abx:ABK1_0285
ko:K07262	abx:ABK1_0287
ko:K01733	abx:ABK1_0288
ko:K00003	abx:ABK1_0289
ko:K03981	abx:ABK1_0290
ko:K04758	abx:ABK1_0292
ko:K04759	abx:ABK1_0293
ko:K01925	abx:ABK1_0295
ko:K03588	abx:ABK1_0296
ko:K01894	abx:ABK1_0297
ko:K06204	abx:ABK1_0298
ko:K03651	abx:ABK1_0299
ko:K03147	abx:ABK1_0301
ko:K02039	abx:ABK1_0306
ko:K01755	abx:ABK1_0308
ko:K08082	abx:ABK1_0309
ko:K08083	abx:ABK1_0310
ko:K01749	abx:ABK1_0311
ko:K03704	abx:ABK1_1225
ko:K03732	abx:ABK1_1226
ko:K00057	abx:ABK1_1229
ko:K08296	abx:ABK1_1230
ko:K02461	abx:ABK1_1231
ko:K02462	abx:ABK1_1232
ko:K03558	abx:ABK1_1234
ko:K00764	abx:ABK1_1235
ko:K09117	abx:ABK1_1240
ko:K02970	abx:ABK1_1241
ko:K06923	abx:ABK1_1244
ko:K00822	abx:ABK1_1248
ko:K00140	abx:ABK1_1249
ko:K03821	abx:ABK1_1262
ko:K03312	abx:ABK1_1263
ko:K06923	abx:ABK1_1264
ko:K07347	abx:ABK1_1275
ko:K03762	abx:ABK1_1278
ko:K09758	abx:ABK1_1281
ko:K15866	abx:ABK1_1790
ko:K00074	abx:ABK1_1791
ko:K01912	abx:ABK1_1793
ko:K02616	abx:ABK1_1794
ko:K03781	abx:ABK1_1804
ko:K06137	abx:ABK1_2255
ko:K07347	abx:ABK1_2270
ko:K05297	abx:ABK1_2728
ko:K00140	abx:ABK1_2739
ko:K06995	abx:ABK1_2740
ko:K06200	abx:ABK1_2749
ko:K02356	abx:ABK1_2750
ko:K02909	abx:ABK1_2754
ko:K01876	abx:ABK1_3197
ko:K07276	abx:ABK1_3207
ko:K00826	abx:ABK1_3208
ko:K00982	abx:ABK1_3209
ko:K07568	abx:ABK1_3214
ko:K07636	abx:ABK1_3626
ko:K01613	abx:ABK1_3631
ko:K00763	abx:ABK1_3633
ko:K03781	abx:ABK1_3635
ko:K07560	abx:ABK1_3636
ko:K01079	abx:ABK1_3639
ko:K14652	abx:ABK1_3641
ko:K00794	abx:ABK1_3642
ko:K03625	abx:ABK1_3643
ko:K00946	abx:ABK1_3644
ko:K01095	abx:ABK1_3646
ko:K04042	abx:ABK1_3647
ko:K00820	abx:ABK1_3648
ko:K01776	abx:ABK1_3649
ko:K01091	abx:ABK1_3650
ko:K01468	abx:ABK1_3653
ko:K01745	abx:ABK1_3655
ko:K01712	abx:ABK1_3656
ko:K09975	abx:ABK1_3657
ko:K07661	abx:ABK1_0744
ko:K07639	abx:ABK1_0745
ko:K00330	abx:ABK1_0748
ko:K00331	abx:ABK1_0749
ko:K13378	abx:ABK1_0750
ko:K00334	abx:ABK1_0751
ko:K00337	abx:ABK1_0754
ko:K00338	abx:ABK1_0755
ko:K00339	abx:ABK1_0756
ko:K00340	abx:ABK1_0757
ko:K00341	abx:ABK1_0758
ko:K00342	abx:ABK1_0759
ko:K00343	abx:ABK1_0760
ko:K00761	abx:ABK1_0761
ko:K00528	abx:ABK1_0764
ko:K07007	abx:ABK1_0769
ko:K01874	abx:ABK1_0776
ko:K09928	abx:ABK1_0780
ko:K01494	abx:ABK1_0782
ko:K05541	abx:ABK1_0788
ko:K03106	abx:ABK1_0790
ko:K03525	abx:ABK1_0791
ko:K03524	abx:ABK1_0792
ko:K03529	abx:ABK1_0795
ko:K03528	abx:ABK1_0796
ko:K01972	abx:ABK1_0797
ko:K03594	abx:ABK1_0798
ko:K00697	abx:ABK1_0800
ko:K01087	abx:ABK1_0801
ko:K02170	abx:ABK1_0802
ko:K00833	abx:ABK1_0803
ko:K03305	abx:ABK1_1573
ko:K08300	abx:ABK1_0439
ko:K01091	abx:ABK1_0442
ko:K05817	abx:ABK1_0447
ko:K03782	abx:ABK1_0449
ko:K08484	abx:ABK1_0450
ko:K08311	abx:ABK1_0451
ko:K01703	abx:ABK1_0457
ko:K01704	abx:ABK1_0458
ko:K00052	abx:ABK1_0460
ko:K02518	abx:ABK1_0463
ko:K06173	abx:ABK1_0465
ko:K00133	abx:ABK1_0469
ko:K11102	abx:ABK1_0471
ko:K02517	abx:ABK1_0473
ko:K15738	abx:ABK1_0475
ko:K03745	abx:ABK1_0476
ko:K03168	abx:ABK1_0480
ko:K03657	abx:ABK1_0483
ko:K02913	abx:ABK1_0489
ko:K02902	abx:ABK1_0490
ko:K00154	abx:ABK1_0491
ko:K01433	abx:ABK1_0493
ko:K03832	abx:ABK1_0494
ko:K03561	abx:ABK1_0495
ko:K06134	abx:ABK1_1405
ko:K09800	abx:ABK1_1408
ko:K01682	abx:ABK1_1410
ko:K03576	abx:ABK1_1416
ko:K06925	abx:ABK1_1423
ko:K03572	abx:ABK1_1424
ko:K00791	abx:ABK1_1425
ko:K03666	abx:ABK1_1426
ko:K10679	abx:ABK1_1428
ko:K03269	abx:ABK1_1429
ko:K01886	abx:ABK1_1431
ko:K01951	abx:ABK1_1432
ko:K03736	abx:ABK1_1433
ko:K03735	abx:ABK1_1434
ko:K13954	abx:ABK1_1439
ko:K06975	abx:ABK1_1887
ko:K02029	abx:ABK1_1888
ko:K11717	abx:ABK1_1897
ko:K00640	abx:ABK1_1899
ko:K03543	abx:ABK1_2351
ko:K09936	abx:ABK1_2359
ko:K09936	abx:ABK1_2360
ko:K03710	abx:ABK1_2364
ko:K15125	abx:ABK1_2372
ko:K00459	abx:ABK1_2823
ko:K00931	abx:ABK1_2827
ko:K03979	abx:ABK1_2828
ko:K00134	abx:ABK1_2833
ko:K05786	abx:ABK1_2834
ko:K03098	abx:ABK1_2835
ko:K03702	abx:ABK1_2836
ko:K00812	abx:ABK1_2840
ko:K07115	abx:ABK1_3268
ko:K00024	abx:ABK1_3272
ko:K08309	abx:ABK1_3274
ko:K06168	abx:ABK1_3275
ko:K07042	abx:ABK1_3277
ko:K03832	abx:ABK1_3278
ko:K03816	abx:ABK1_3281
ko:K03809	abx:ABK1_3282
ko:K07058	abx:ABK1_3283
ko:K07078	abx:ABK1_3288
ko:K12573	abx:ABK1_3291
ko:K03308	abx:ABK1_3712
ko:K01915	abx:ABK1_1574
ko:K03181	abx:ABK1_1575
ko:K03179	abx:ABK1_1576
ko:K04564	abx:ABK1_1580
ko:K04691	abx:ABK1_1582
ko:K00029	abx:ABK1_1584
ko:K01159	abx:ABK1_2014
ko:K00615	abx:ABK1_2025
ko:K07397	abx:ABK1_2026
ko:K13821	abx:ABK1_2033
ko:K12410	abx:ABK1_2036
ko:K02437	abx:ABK1_2037
ko:K09912	abx:ABK1_2041
ko:K07862	abx:ABK1_2043
ko:K00927	abx:ABK1_2049
ko:K01624	abx:ABK1_2051
ko:K07043	abx:ABK1_2492
ko:K01807	abx:ABK1_2493
ko:K01754	abx:ABK1_2494
ko:K01058	abx:ABK1_2497
ko:K00425	abx:ABK1_2505
ko:K00426	abx:ABK1_2506
ko:K07078	abx:ABK1_2510
ko:K03110	abx:ABK1_2511
ko:K07390	abx:ABK1_2518
ko:K00901	abx:ABK1_2961
ko:K04077	abx:ABK1_2962
ko:K04078	abx:ABK1_2963
ko:K00111	abx:ABK1_2968
ko:K00864	abx:ABK1_2969
ko:K01491	abx:ABK1_2973
ko:K00796	abx:ABK1_2977
ko:K03798	abx:ABK1_2978
ko:K07574	abx:ABK1_2980
ko:K01956	abx:ABK1_2983
ko:K01955	abx:ABK1_2984
ko:K03624	abx:ABK1_2985
ko:K07090	abx:ABK1_3405
ko:K02884	abx:ABK1_3409
ko:K00554	abx:ABK1_3410
ko:K02860	abx:ABK1_3411
ko:K02959	abx:ABK1_3412
ko:K02655	abx:ABK1_3413
ko:K02655	abx:ABK1_3414
ko:K02672	abx:ABK1_3417
ko:K02671	abx:ABK1_3418
ko:K08084	abx:ABK1_3419
ko:K03527	abx:ABK1_3420
ko:K00942	abx:ABK1_3421
ko:K03060	abx:ABK1_3422
ko:K02192	abx:ABK1_3425
ko:K03594	abx:ABK1_3426
ko:K06872	abx:ABK1_3433
ko:K03744	abx:ABK1_3434
ko:K07044	abx:ABK1_3435
ko:K00266	abx:ABK1_3436
ko:K02237	abx:ABK1_0622
ko:K00950	abx:ABK1_0624
ko:K00606	abx:ABK1_0625
ko:K01918	abx:ABK1_0626
ko:K06958	abx:ABK1_0627
ko:K09889	abx:ABK1_0629
ko:K01868	abx:ABK1_0631
ko:K02520	abx:ABK1_0632
ko:K02916	abx:ABK1_0636
ko:K02887	abx:ABK1_0637
ko:K01889	abx:ABK1_0641
ko:K01890	abx:ABK1_0642
ko:K04764	abx:ABK1_0643
ko:K03628	abx:ABK1_0645
ko:K03671	abx:ABK1_0646
ko:K01524	abx:ABK1_0647
ko:K01962	abx:ABK1_0648
ko:K04075	abx:ABK1_0649
ko:K00286	abx:ABK1_0650
ko:K02221	abx:ABK1_0651
ko:K04754	abx:ABK1_0663
ko:K03092	abx:ABK1_0664
ko:K05808	abx:ABK1_0665
ko:K00790	abx:ABK1_0667
ko:K00765	abx:ABK1_0668
ko:K00013	abx:ABK1_0669
ko:K00817	abx:ABK1_0670
ko:K01665	abx:ABK1_0671
ko:K14267	abx:ABK1_1966
ko:K00990	abx:ABK1_1967
ko:K08289	abx:ABK1_1968
ko:K06942	abx:ABK1_1976
ko:K02072	abx:ABK1_1977
ko:K02071	abx:ABK1_1978
ko:K02073	abx:ABK1_1979
ko:K02073	abx:ABK1_1980
ko:K10001	abx:ABK1_1985
ko:K10003	abx:ABK1_1986
ko:K10002	abx:ABK1_1987
ko:K10004	abx:ABK1_1988
ko:K14393	abx:ABK1_2407
ko:K02624	abx:ABK1_2453
ko:K07112	abx:ABK1_2455
ko:K07112	abx:ABK1_2456
ko:K05358	abx:ABK1_2458
ko:K07267	abx:ABK1_2459
ko:K03785	abx:ABK1_2461
ko:K00448	abx:ABK1_2462
ko:K01933	abx:ABK1_2903
ko:K11175	abx:ABK1_2904
ko:K04773	abx:ABK1_2906
ko:K09808	abx:ABK1_2909
ko:K09768	abx:ABK1_2911
ko:K00831	abx:ABK1_2913
ko:K01993	abx:ABK1_2916
ko:K02469	abx:ABK1_2923
ko:K01866	abx:ABK1_0001
ko:K09001	abx:ABK1_0002
ko:K15724	abx:ABK1_0004
ko:K06158	abx:ABK1_0008
ko:K15536	abx:ABK1_0010
ko:K02470	abx:ABK1_0011
ko:K03629	abx:ABK1_0012
ko:K11931	abx:ABK1_0925
ko:K11936	abx:ABK1_0926
ko:K03811	abx:ABK1_0929
ko:K06989	abx:ABK1_0941
ko:K01652	abx:ABK1_0943
ko:K01462	abx:ABK1_0947
ko:K01425	abx:ABK1_0948
ko:K08223	abx:ABK1_0949
ko:K00615	abx:ABK1_0955
ko:K00615	abx:ABK1_0956
ko:K03306	abx:ABK1_0959
ko:K01753	abx:ABK1_0960
ko:K07400	abx:ABK1_0966
ko:K01673	abx:ABK1_0970
ko:K10804	abx:ABK1_0971
ko:K02003	abx:ABK1_0972
ko:K03814	abx:ABK1_0975
ko:K00937	abx:ABK1_0976
ko:K04761	abx:ABK1_0978
ko:K05297	abx:ABK1_0980
ko:K05550	abx:ABK1_1646
ko:K05549	abx:ABK1_1647
ko:K03601	abx:ABK1_1658
ko:K03704	abx:ABK1_1664
ko:K00286	abx:ABK1_1665
ko:K04487	abx:ABK1_2117
ko:K13643	abx:ABK1_2118
ko:K03530	abx:ABK1_2121
ko:K03770	abx:ABK1_2122
ko:K00496	abx:ABK1_2124
ko:K02231	abx:ABK1_2145
ko:K00768	abx:ABK1_2146
ko:K00981	abx:ABK1_2559
ko:K03750	abx:ABK1_2586
ko:K03639	abx:ABK1_2590
ko:K03752	abx:ABK1_2592
ko:K00372	abx:ABK1_2593
ko:K00362	abx:ABK1_2595
ko:K03522	abx:ABK1_2924
ko:K03521	abx:ABK1_2925
ko:K03733	abx:ABK1_2926
ko:K01778	abx:ABK1_2928
ko:K01586	abx:ABK1_2929
ko:K11737	abx:ABK1_2931
ko:K02065	abx:ABK1_3351
ko:K01662	abx:ABK1_3355
ko:K00228	abx:ABK1_3357
ko:K00014	abx:ABK1_3358
ko:K07168	abx:ABK1_3363
ko:K01878	abx:ABK1_3368
ko:K01879	abx:ABK1_3369
ko:K05526	abx:ABK1_3378
ko:K03786	abx:ABK1_2599
ko:K02160	abx:ABK1_2600
ko:K01961	abx:ABK1_2601
ko:K05820	abx:ABK1_2603
ko:K03760	abx:ABK1_2604
ko:K01873	abx:ABK1_3046
ko:K07088	abx:ABK1_3049
ko:K07001	abx:ABK1_3059
ko:K07340	abx:ABK1_3060
ko:K00795	abx:ABK1_3063
ko:K05523	abx:ABK1_3067
ko:K06153	abx:ABK1_3070
ko:K02616	abx:ABK1_3071
ko:K06188	abx:ABK1_3493
ko:K01173	abx:ABK1_3496
ko:K03549	abx:ABK1_3498
ko:K11737	abx:ABK1_0132
ko:K11737	abx:ABK1_0133
ko:K00140	abx:ABK1_0135
ko:K01895	abx:ABK1_0137
ko:K06133	abx:ABK1_0154
ko:K05527	abx:ABK1_0155
ko:K03975	abx:ABK1_0160
ko:K15977	abx:ABK1_0161
ko:K01951	abx:ABK1_0163
ko:K06911	abx:ABK1_0167
ko:K07397	abx:ABK1_0168
ko:K01887	abx:ABK1_0171
ko:K07223	abx:ABK1_0174
ko:K05834	abx:ABK1_0175
ko:K09816	abx:ABK1_0176
ko:K09817	abx:ABK1_0177
ko:K09823	abx:ABK1_0178
ko:K02108	abx:ABK1_0181
ko:K02110	abx:ABK1_0182
ko:K02109	abx:ABK1_0183
ko:K02113	abx:ABK1_0184
ko:K02111	abx:ABK1_0185
ko:K02115	abx:ABK1_0186
ko:K02112	abx:ABK1_0187
ko:K02114	abx:ABK1_0188
ko:K00432	abx:ABK1_0190
ko:K07056	abx:ABK1_1108
ko:K07460	abx:ABK1_1109
ko:K03426	abx:ABK1_1112
ko:K13893	abx:ABK1_1116
ko:K13894	abx:ABK1_1117
ko:K13895	abx:ABK1_1118
ko:K13896	abx:ABK1_1119
ko:K03683	abx:ABK1_1122
ko:K01465	abx:ABK1_1123
ko:K01940	abx:ABK1_1125
ko:K00297	abx:ABK1_1152
ko:K01251	abx:ABK1_1153
ko:K03644	abx:ABK1_1157
ko:K00322	abx:ABK1_1158
ko:K02575	abx:ABK1_1160
ko:K01265	abx:ABK1_1162
ko:K02967	abx:ABK1_1163
ko:K02357	abx:ABK1_1164
ko:K07722	abx:ABK1_1735
ko:K11901	abx:ABK1_1742
ko:K11900	abx:ABK1_1743
ko:K11903	abx:ABK1_1744
ko:K11897	abx:ABK1_1745
ko:K11896	abx:ABK1_1746
ko:K11895	abx:ABK1_1747
ko:K11891	abx:ABK1_1749
ko:K11890	abx:ABK1_1752
ko:K11907	abx:ABK1_1755
ko:K11902	abx:ABK1_1756
ko:K11893	abx:ABK1_1757
ko:K11892	abx:ABK1_1758
ko:K07090	abx:ABK1_2204
ko:K00003	abx:ABK1_2205
ko:K01118	abx:ABK1_2209
ko:K07240	abx:ABK1_2210
ko:K03710	abx:ABK1_2211
ko:K01744	abx:ABK1_2221
ko:K02106	abx:ABK1_2227
ko:K00766	abx:ABK1_2672
ko:K01609	abx:ABK1_2673
ko:K07402	abx:ABK1_2675
ko:K13482	abx:ABK1_2676
ko:K13481	abx:ABK1_2677
ko:K01495	abx:ABK1_2678
ko:K01599	abx:ABK1_2686
ko:K02361	abx:ABK1_2688
ko:K01590	abx:ABK1_2695
ko:K01252	abx:ABK1_2696
ko:K02363	abx:ABK1_2697
ko:K03652	abx:ABK1_3130
ko:K03282	abx:ABK1_3134
ko:K06207	abx:ABK1_3135
ko:K14415	abx:ABK1_3139
ko:K08084	abx:ABK1_3142
ko:K00381	abx:ABK1_3147
ko:K00117	abx:ABK1_3148
ko:K07267	abx:ABK1_3150
ko:K00627	abx:ABK1_3575
ko:K00163	abx:ABK1_3576
ko:K02535	abx:ABK1_3579
ko:K03531	abx:ABK1_3580
ko:K03590	abx:ABK1_3581
ko:K03589	abx:ABK1_3582
ko:K01921	abx:ABK1_3583
ko:K01924	abx:ABK1_3584
ko:K02563	abx:ABK1_3585
ko:K01920	abx:ABK1_3586
ko:K00762	abx:ABK1_3589
ko:K01142	abx:ABK1_3590
ko:K04084	abx:ABK1_3596
ko:K07127	abx:ABK1_3602
ko:K07107	abx:ABK1_0315
ko:K02452	abx:ABK1_0318
ko:K02453	abx:ABK1_0319
ko:K01091	abx:ABK1_0321
ko:K01657	abx:ABK1_0322
ko:K02358	abx:ABK1_0323
ko:K03073	abx:ABK1_0324
ko:K02601	abx:ABK1_0325
ko:K02867	abx:ABK1_0326
ko:K02863	abx:ABK1_0327
ko:K02864	abx:ABK1_0328
ko:K02935	abx:ABK1_0329
ko:K03043	abx:ABK1_0330
ko:K03046	abx:ABK1_0331
ko:K07084	abx:ABK1_0336
ko:K07275	abx:ABK1_0337
ko:K04079	abx:ABK1_0339
ko:K07002	abx:ABK1_0345
ko:K01825	abx:ABK1_0349
ko:K03703	abx:ABK1_0353
ko:K00995	abx:ABK1_0355
ko:K10778	abx:ABK1_0356
ko:K07447	abx:ABK1_0362
ko:K07735	abx:ABK1_0363
ko:K03631	abx:ABK1_0364
ko:K09913	abx:ABK1_0366
ko:K03218	abx:ABK1_0367
ko:K00859	abx:ABK1_0369
ko:K02654	abx:ABK1_0370
ko:K02652	abx:ABK1_0372
ko:K01803	abx:ABK1_0373
ko:K03808	abx:ABK1_1283
ko:K03808	abx:ABK1_1284
ko:K06192	abx:ABK1_1285
ko:K09857	abx:ABK1_1286
ko:K01779	abx:ABK1_1287
ko:K11103	abx:ABK1_1293
ko:K02072	abx:ABK1_1296
ko:K02071	abx:ABK1_1297
ko:K02073	abx:ABK1_1298
ko:K01945	abx:ABK1_1299
ko:K00602	abx:ABK1_1300
ko:K03557	abx:ABK1_1301
ko:K02687	abx:ABK1_1303
ko:K03495	abx:ABK1_1305
ko:K07395	abx:ABK1_1311
ko:K01775	abx:ABK1_1312
ko:K02939	abx:ABK1_1314
ko:K02963	abx:ABK1_1315
ko:K02990	abx:ABK1_1316
ko:K02300	abx:ABK1_1318
ko:K02299	abx:ABK1_1319
ko:K02298	abx:ABK1_1320
ko:K02297	abx:ABK1_1321
ko:K09773	abx:ABK1_1324
ko:K11936	abx:ABK1_1327
ko:K02835	abx:ABK1_1335
ko:K02493	abx:ABK1_1336
ko:K15554	abx:ABK1_1337
ko:K15553	abx:ABK1_1338
ko:K01118	abx:ABK1_1819
ko:K02624	abx:ABK1_1820
ko:K00481	abx:ABK1_1821
ko:K02012	abx:ABK1_1823
ko:K02011	abx:ABK1_1825
ko:K03430	abx:ABK1_1827
ko:K05306	abx:ABK1_1828
ko:K08196	abx:ABK1_1829
ko:K06446	abx:ABK1_1830
ko:K00459	abx:ABK1_1836
ko:K00074	abx:ABK1_1840
ko:K06446	abx:ABK1_1843
ko:K08196	abx:ABK1_1844
ko:K01031	abx:ABK1_1845
ko:K01032	abx:ABK1_1846
ko:K03543	abx:ABK1_2308
ko:K14347	abx:ABK1_2755
ko:K08218	abx:ABK1_2757
ko:K06194	abx:ABK1_2760
ko:K03787	abx:ABK1_2761
ko:K00566	abx:ABK1_2767
ko:K07153	abx:ABK1_2768
ko:K01756	abx:ABK1_2769
ko:K08984	abx:ABK1_2770
ko:K03327	abx:ABK1_3669
ko:K02036	abx:ABK1_2773
ko:K02038	abx:ABK1_2774
ko:K02037	abx:ABK1_2775
ko:K02040	abx:ABK1_2776
ko:K13745	abx:ABK1_2782
ko:K00836	abx:ABK1_2783
ko:K03744	abx:ABK1_3216
ko:K00773	abx:ABK1_3217
ko:K03210	abx:ABK1_3218
ko:K03072	abx:ABK1_3219
ko:K03074	abx:ABK1_3220
ko:K13038	abx:ABK1_3221
ko:K03630	abx:ABK1_3222
ko:K07053	abx:ABK1_3224
ko:K06190	abx:ABK1_3225
ko:K09780	abx:ABK1_3226
ko:K15461	abx:ABK1_3228
ko:K09767	abx:ABK1_3230
ko:K10806	abx:ABK1_3232
ko:K03672	abx:ABK1_3233
ko:K00382	abx:ABK1_3237
ko:K05836	abx:ABK1_3658
ko:K01555	abx:ABK1_3663
ko:K00457	abx:ABK1_3667
ko:K03453	abx:ABK1_3670
ko:K08281	abx:ABK1_3671
ko:K01714	abx:ABK1_3672
ko:K01923	abx:ABK1_3674
ko:K07478	abx:ABK1_3677
ko:K09160	abx:ABK1_3679
ko:K03575	abx:ABK1_3683
ko:K12340	abx:ABK1_0305
ko:K02226	abx:ABK1_2147
ko:K14227	abx:ABK1_tRNA1
ko:K14227	abx:ABK1_tRNA71
ko:K14227	abx:ABK1_tRNA5
ko:K14227	abx:ABK1_tRNA55
ko:K14227	abx:ABK1_tRNA17
ko:K14227	abx:ABK1_tRNA57
ko:K16135	abx:ABK1_0839
ko:K14232	abx:ABK1_tRNA19
ko:K14232	abx:ABK1_tRNA22
ko:K14234	abx:ABK1_tRNA10
ko:K14225	abx:ABK1_tRNA9
ko:K14236	abx:ABK1_tRNA8
ko:K14226	abx:ABK1_tRNA21
ko:K14223	abx:ABK1_tRNA23
ko:K14223	abx:ABK1_tRNA26
ko:K14223	abx:ABK1_tRNA24
ko:K14223	abx:ABK1_tRNA25
ko:K14230	abx:ABK1_tRNA27
ko:K14230	abx:ABK1_tRNA28
ko:K14224	abx:ABK1_tRNA29
ko:K14224	abx:ABK1_tRNA64
ko:K14224	abx:ABK1_tRNA63
ko:K14224	abx:ABK1_tRNA65
ko:K14233	abx:ABK1_tRNA30
ko:K14233	abx:ABK1_tRNA44
ko:K14225	abx:ABK1_tRNA3
ko:K14225	abx:ABK1_tRNA40
ko:K14225	abx:ABK1_tRNA4
ko:K14230	abx:ABK1_tRNA41
ko:K14228	abx:ABK1_tRNA32
ko:K14228	abx:ABK1_tRNA34
ko:K14219	abx:ABK1_tRNA31
ko:K14237	abx:ABK1_tRNA42
ko:K14222	abx:ABK1_tRNA45
ko:K14228	abx:ABK1_tRNA46
ko:K14228	abx:ABK1_tRNA47
ko:K14219	abx:ABK1_tRNA48
ko:K14221	abx:ABK1_tRNA50
ko:K14221	abx:ABK1_tRNA51
ko:K14228	abx:ABK1_tRNA53
ko:K16092	abx:ABK1_3178
ko:K16090	abx:ABK1_0517
ko:K16088	abx:ABK1_1461
ko:K01980	abx:ABK1_rRNA11
ko:K01980	abx:ABK1_rRNA14
ko:K01980	abx:ABK1_rRNA8
ko:K01980	abx:ABK1_rRNA2
ko:K01980	abx:ABK1_rRNA5
ko:K01980	abx:ABK1_rRNA17
ko:K14218	abx:ABK1_tRNA18
ko:K14218	abx:ABK1_tRNA56
ko:K14218	abx:ABK1_tRNA70
ko:K14218	abx:ABK1_tRNA6
ko:K14218	abx:ABK1_tRNA54
ko:K14218	abx:ABK1_tRNA2
ko:K14219	abx:ABK1_tRNA58
ko:K14219	abx:ABK1_tRNA59
ko:K14219	abx:ABK1_tRNA60
ko:K14233	abx:ABK1_tRNA61
ko:K14218	abx:ABK1_tRNA62
ko:K14231	abx:ABK1_tRNA66
ko:K14231	abx:ABK1_tRNA67
ko:K14233	abx:ABK1_tRNA68
ko:K14234	abx:ABK1_tRNA69
ko:K14234	abx:ABK1_tRNA7
ko:K14235	abx:ABK1_tRNA33
ko:K14235	abx:ABK1_tRNA35
ko:K16088	abx:ABK1_2155
ko:K16137	abx:ABK1_3540
ko:K16090	abx:ABK1_2499
ko:K02358	abx:ABK1_0856
ko:K02014	abx:ABK1_3570
ko:K02014	abx:ABK1_2700
ko:K02014	abx:ABK1_0200
ko:K00130	abx:ABK1_0914
ko:K02014	abx:ABK1_2137
ko:K07304	abx:ABK1_0497
ko:K02428	abx:ABK1_0511
ko:K03299	abx:ABK1_0528
ko:K00851	abx:ABK1_0529
ko:K01826	abx:ABK1_1441
ko:K00799	abx:ABK1_1447
ko:K04093	abx:ABK1_1450
ko:K00674	abx:ABK1_2868
ko:K02014	abx:ABK1_1454
ko:K00059	abx:ABK1_0815
ko:K02858	abx:ABK1_0820
ko:K03451	abx:ABK1_0841
ko:K00135	abx:ABK1_0844
ko:K00647	abx:ABK1_0851
ko:K11085	abx:ABK1_2061
ko:K00882	abx:ABK1_2527
ko:K03316	abx:ABK1_3001
ko:K07054	abx:ABK1_3002
ko:K00241	abx:ABK1_3013
ko:K02665	abx:ABK1_3442
ko:K01885	abx:ABK1_3457
ko:K15727	abx:ABK1_3464
ko:K01104	abx:ABK1_0083
ko:K01784	abx:ABK1_0103
ko:K00101	abx:ABK1_0107
ko:K00647	abx:ABK1_0120
ko:K06177	abx:ABK1_0123
ko:K02014	abx:ABK1_0126
ko:K02014	abx:ABK1_1089
ko:K01262	abx:ABK1_1098
ko:K07025	abx:ABK1_1708
ko:K11263	abx:ABK1_1719
ko:K07126	abx:ABK1_1721
ko:K01941	abx:ABK1_1729
ko:K00380	abx:ABK1_3103
ko:K01439	abx:ABK1_3109
ko:K02660	abx:ABK1_3112
ko:K02659	abx:ABK1_3113
ko:K02658	abx:ABK1_3114
ko:K02657	abx:ABK1_3115
ko:K00088	abx:ABK1_3567
ko:K01719	abx:ABK1_0312
ko:K02463	abx:ABK1_0317
ko:K02653	abx:ABK1_0371
ko:K02010	abx:ABK1_1824
ko:K00626	abx:ABK1_1839
ko:K01759	abx:ABK1_2756
ko:K07258	abx:ABK1_2764
ko:K04774	abx:ABK1_2772
ko:K00647	abx:ABK1_0565
ko:K00059	abx:ABK1_0567
ko:K00616	abx:ABK1_1476
ko:K00059	abx:ABK1_1480
ko:K08167	abx:ABK1_1484
ko:K01104	abx:ABK1_1491
ko:K03325	abx:ABK1_1949
ko:K07305	abx:ABK1_1962
ko:K00276	abx:ABK1_2433
ko:K02619	abx:ABK1_2860
ko:K03560	abx:ABK1_2887
ko:K01760	abx:ABK1_3331
ko:K02067	abx:ABK1_3349
ko:K03711	abx:ABK1_0883
ko:K02033	abx:ABK1_2096
ko:K03153	abx:ABK1_0893
ko:K01082	abx:ABK1_2101
ko:K13628	abx:ABK1_2115
ko:K04488	abx:ABK1_2116
ko:K01679	abx:ABK1_2577
ko:K01784	abx:ABK1_2578
ko:K10914	abx:ABK1_1616
ko:K03743	abx:ABK1_1621
ko:K00799	abx:ABK1_1629
ko:K07004	abx:ABK1_1631
ko:K00799	abx:ABK1_1632
ko:K03386	abx:ABK1_1638
ko:K00657	abx:ABK1_2087
ko:K02014	abx:ABK1_2092
ko:K01692	abx:ABK1_0139
ko:K00799	abx:ABK1_0169
ko:K00027	abx:ABK1_0172
ko:K09815	abx:ABK1_0179
ko:K02116	abx:ABK1_0180
ko:K02014	abx:ABK1_1121
ko:K00219	abx:ABK1_1126
ko:K01607	abx:ABK1_1155
ko:K06445	abx:ABK1_1156
ko:K02051	abx:ABK1_1737
ko:K02050	abx:ABK1_1739
ko:K00004	abx:ABK1_2199
ko:K02051	abx:ABK1_2214
ko:K02050	abx:ABK1_2215
ko:K02049	abx:ABK1_2216
ko:K02014	abx:ABK1_2220
ko:K00626	abx:ABK1_2226
ko:K02014	abx:ABK1_3129
ko:K10563	abx:ABK1_3131
ko:K03769	abx:ABK1_3132
ko:K00564	abx:ABK1_3137
ko:K03286	abx:ABK1_3141
ko:K00626	abx:ABK1_3143
ko:K04750	abx:ABK1_3144
ko:K00626	abx:ABK1_3153
ko:K01782	abx:ABK1_3154
ko:K02014	abx:ABK1_3588
ko:K00666	abx:ABK1_1860
ko:K03743	abx:ABK1_1871
ko:K00508	abx:ABK1_2787
ko:K06177	abx:ABK1_2792
