ko:K02058	mhal:N220_07840
ko:K07042	mhal:N220_06675
ko:K03636	mhal:N220_06685
ko:K03637	mhal:N220_06690
ko:K03639	mhal:N220_06695
ko:K07821	mhal:N220_06705
ko:K01647	mhal:N220_06735
ko:K00031	mhal:N220_06740
ko:K01682	mhal:N220_06745
ko:K03321	mhal:N220_06755
ko:K06968	mhal:N220_06770
ko:K00215	mhal:N220_06785
ko:K02835	mhal:N220_11115
ko:K09760	mhal:N220_11125
ko:K01665	mhal:N220_11130
ko:K03565	mhal:N220_11145
ko:K09900	mhal:N220_11150
ko:K07479	mhal:N220_11155
ko:K07566	mhal:N220_11160
ko:K00014	mhal:N220_11165
ko:K03657	mhal:N220_11190
ko:K07071	mhal:N220_11195
ko:K03402	mhal:N220_11200
ko:K00024	mhal:N220_11205
ko:K09767	mhal:N220_11220
ko:K01079	mhal:N220_11225
ko:K02518	mhal:N220_11235
ko:K07007	mhal:N220_11240
ko:K06901	mhal:N220_11250
ko:K03839	mhal:N220_11265
ko:K07173	mhal:N220_11280
ko:K02313	mhal:N220_11290
ko:K02338	mhal:N220_11295
ko:K01892	mhal:N220_11305
ko:K15539	mhal:N220_11315
ko:K01755	mhal:N220_11320
ko:K00566	mhal:N220_11325
ko:K05952	mhal:N220_11340
ko:K03734	mhal:N220_11345
ko:K00351	mhal:N220_11360
ko:K00350	mhal:N220_11365
ko:K00349	mhal:N220_11370
ko:K00348	mhal:N220_11375
ko:K00347	mhal:N220_11380
ko:K01657	mhal:N220_03410
ko:K06178	mhal:N220_03420
ko:K03811	mhal:N220_03435
ko:K00705	mhal:N220_03440
ko:K01945	mhal:N220_03455
ko:K02990	mhal:N220_03460
ko:K02686	mhal:N220_03465
ko:K02963	mhal:N220_03470
ko:K02939	mhal:N220_03475
ko:K02560	mhal:N220_03545
ko:K00759	mhal:N220_03550
ko:K02343	mhal:N220_03555
ko:K02020	mhal:N220_03570
ko:K02018	mhal:N220_03575
ko:K09801	mhal:N220_03590
ko:K00942	mhal:N220_03620
ko:K14058	mhal:N220_03680
ko:K04042	mhal:N220_08010
ko:K00382	mhal:N220_08040
ko:K00627	mhal:N220_08045
ko:K00163	mhal:N220_08050
ko:K00948	mhal:N220_08060
ko:K00919	mhal:N220_08065
ko:K02494	mhal:N220_08070
ko:K03321	mhal:N220_08115
ko:K03701	mhal:N220_08120
ko:K07154	mhal:N220_08135
ko:K04043	mhal:N220_12500
ko:K03686	mhal:N220_12510
ko:K03781	mhal:N220_12515
ko:K07112	mhal:N220_12525
ko:K00796	mhal:N220_12545
ko:K02553	mhal:N220_12560
ko:K07001	mhal:N220_12565
ko:K09936	mhal:N220_12590
ko:K13979	mhal:N220_12625
ko:K01070	mhal:N220_12630
ko:K08311	mhal:N220_12650
ko:K13292	mhal:N220_12660
ko:K01091	mhal:N220_12665
ko:K01867	mhal:N220_12680
ko:K07082	mhal:N220_12710
ko:K00943	mhal:N220_12715
ko:K02341	mhal:N220_12720
ko:K03424	mhal:N220_12735
ko:K03269	mhal:N220_12745
ko:K00375	mhal:N220_12780
ko:K02781	mhal:N220_00525
ko:K02468	mhal:N220_00545
ko:K06041	mhal:N220_00550
ko:K00009	mhal:N220_00570
ko:K02562	mhal:N220_00575
ko:K10544	mhal:N220_00605
ko:K10545	mhal:N220_00610
ko:K10543	mhal:N220_00615
ko:K01805	mhal:N220_00620
ko:K07002	mhal:N220_00635
ko:K01778	mhal:N220_00640
ko:K06199	mhal:N220_00650
ko:K02440	mhal:N220_00655
ko:K00864	mhal:N220_00660
ko:K11003	mhal:N220_00685
ko:K11004	mhal:N220_00690
ko:K09997	mhal:N220_00705
ko:K09824	mhal:N220_00710
ko:K03667	mhal:N220_00715
ko:K01419	mhal:N220_00720
ko:K06206	mhal:N220_00725
ko:K03575	mhal:N220_00740
ko:K08306	mhal:N220_00750
ko:K03106	mhal:N220_00775
ko:K02682	mhal:N220_05115
ko:K02504	mhal:N220_05120
ko:K02505	mhal:N220_05125
ko:K00859	mhal:N220_05135
ko:K09862	mhal:N220_05140
ko:K02340	mhal:N220_05145
ko:K03643	mhal:N220_05150
ko:K01869	mhal:N220_05155
ko:K01875	mhal:N220_05170
ko:K03664	mhal:N220_05175
ko:K06918	mhal:N220_05190
ko:K09917	mhal:N220_05205
ko:K06175	mhal:N220_05210
ko:K13498	mhal:N220_05220
ko:K15461	mhal:N220_05230
ko:K00677	mhal:N220_05235
ko:K02372	mhal:N220_05240
ko:K02536	mhal:N220_05245
ko:K07277	mhal:N220_05255
ko:K11749	mhal:N220_05260
ko:K00981	mhal:N220_05265
ko:K00806	mhal:N220_05270
ko:K01012	mhal:N220_05280
ko:K01610	mhal:N220_05285
ko:K05589	mhal:N220_05290
ko:K00991	mhal:N220_05295
ko:K01770	mhal:N220_05300
ko:K06872	mhal:N220_05305
ko:K03744	mhal:N220_05315
ko:K02769	mhal:N220_05335
ko:K02770	mhal:N220_05335
ko:K02768	mhal:N220_05345
ko:K11183	mhal:N220_05345
ko:K00975	mhal:N220_05360
ko:K00703	mhal:N220_05365
ko:K15396	mhal:N220_05370
ko:K00324	mhal:N220_05375
ko:K01939	mhal:N220_09790
ko:K04087	mhal:N220_09795
ko:K04088	mhal:N220_09800
ko:K03671	mhal:N220_09805
ko:K07275	mhal:N220_09810
ko:K03695	mhal:N220_09815
ko:K00549	mhal:N220_09820
ko:K14445	mhal:N220_09825
ko:K01633	mhal:N220_09840
ko:K08591	mhal:N220_09845
ko:K02622	mhal:N220_09850
ko:K06173	mhal:N220_09880
ko:K01495	mhal:N220_09885
ko:K11211	mhal:N220_09890
ko:K03770	mhal:N220_09910
ko:K02956	mhal:N220_09915
ko:K09781	mhal:N220_09920
ko:K02498	mhal:N220_09925
ko:K02496	mhal:N220_09930
ko:K01749	mhal:N220_09940
ko:K04072	mhal:N220_09945
ko:K03758	mhal:N220_09960
ko:K09157	mhal:N220_09965
ko:K01448	mhal:N220_09970
ko:K06925	mhal:N220_09975
ko:K13288	mhal:N220_09980
ko:K00954	mhal:N220_09985
ko:K02527	mhal:N220_09990
ko:K08303	mhal:N220_09995
ko:K15536	mhal:N220_10000
ko:K02337	mhal:N220_10005
ko:K11720	mhal:N220_10010
ko:K07091	mhal:N220_10015
ko:K06211	mhal:N220_02235
ko:K11753	mhal:N220_02240
ko:K01870	mhal:N220_02245
ko:K00998	mhal:N220_02255
ko:K03218	mhal:N220_02260
ko:K02034	mhal:N220_02270
ko:K02837	mhal:N220_02285
ko:K07262	mhal:N220_02290
ko:K01056	mhal:N220_02295
ko:K06942	mhal:N220_02300
ko:K03303	mhal:N220_02305
ko:K00782	mhal:N220_02320
ko:K00989	mhal:N220_02335
ko:K06980	mhal:N220_02345
ko:K06726	mhal:N220_02355
ko:K10441	mhal:N220_02360
ko:K02529	mhal:N220_02380
ko:K07685	mhal:N220_02385
ko:K12297	mhal:N220_02390
ko:K03216	mhal:N220_02395
ko:K01443	mhal:N220_02410
ko:K01866	mhal:N220_02420
ko:K01573	mhal:N220_02435
ko:K07160	mhal:N220_02445
ko:K07238	mhal:N220_02490
ko:K03978	mhal:N220_02500
ko:K09893	mhal:N220_02505
ko:K00925	mhal:N220_06870
ko:K13788	mhal:N220_06875
ko:K01673	mhal:N220_06880
ko:K01652	mhal:N220_06885
ko:K01653	mhal:N220_06890
ko:K14682	mhal:N220_06910
ko:K09946	mhal:N220_06915
ko:K09892	mhal:N220_06940
ko:K06871	mhal:N220_06950
ko:K07090	mhal:N220_06970
ko:K01626	mhal:N220_06980
ko:K03466	mhal:N220_06990
ko:K03684	mhal:N220_07000
ko:K15545	mhal:N220_07005
ko:K01935	mhal:N220_07010
ko:K09890	mhal:N220_07015
ko:K03168	mhal:N220_07035
ko:K03600	mhal:N220_07055
ko:K03599	mhal:N220_07060
ko:K01588	mhal:N220_07065
ko:K01589	mhal:N220_07075
ko:K03702	mhal:N220_07085
ko:K07224	mhal:N220_07095
ko:K16301	mhal:N220_07100
ko:K07053	mhal:N220_07115
ko:K01141	mhal:N220_07125
ko:K00346	mhal:N220_11385
ko:K07400	mhal:N220_11390
ko:K01937	mhal:N220_11395
ko:K13634	mhal:N220_11410
ko:K06949	mhal:N220_11425
ko:K03470	mhal:N220_11430
ko:K02503	mhal:N220_11435
ko:K03797	mhal:N220_11460
ko:K03607	mhal:N220_11465
ko:K03704	mhal:N220_11470
ko:K05820	mhal:N220_11475
ko:K00286	mhal:N220_11480
ko:K03554	mhal:N220_11485
ko:K01438	mhal:N220_11500
ko:K03271	mhal:N220_11520
ko:K07460	mhal:N220_11525
ko:K07121	mhal:N220_11530
ko:K07056	mhal:N220_11535
ko:K09888	mhal:N220_11560
ko:K09895	mhal:N220_11565
ko:K01599	mhal:N220_11570
ko:K09891	mhal:N220_11575
ko:K05787	mhal:N220_11580
ko:K08300	mhal:N220_11590
ko:K03182	mhal:N220_11605
ko:K06193	mhal:N220_11615
ko:K12573	mhal:N220_11620
ko:K03925	mhal:N220_11630
ko:K03438	mhal:N220_11635
ko:K03586	mhal:N220_11640
ko:K03587	mhal:N220_11645
ko:K01928	mhal:N220_11650
ko:K01929	mhal:N220_11655
ko:K02469	mhal:N220_03695
ko:K15738	mhal:N220_03700
ko:K06966	mhal:N220_03710
ko:K02071	mhal:N220_03720
ko:K02072	mhal:N220_03725
ko:K02073	mhal:N220_03730
ko:K02073	mhal:N220_03735
ko:K02073	mhal:N220_03740
ko:K00789	mhal:N220_03745
ko:K01166	mhal:N220_03760
ko:K02742	mhal:N220_03765
ko:K03885	mhal:N220_03770
ko:K02012	mhal:N220_03775
ko:K06901	mhal:N220_03790
ko:K03074	mhal:N220_03795
ko:K03072	mhal:N220_03800
ko:K03210	mhal:N220_03805
ko:K07109	mhal:N220_03810
ko:K00849	mhal:N220_03820
ko:K00965	mhal:N220_03825
ko:K07088	mhal:N220_03845
ko:K02836	mhal:N220_03850
ko:K01008	mhal:N220_03885
ko:K12152	mhal:N220_03890
ko:K03185	mhal:N220_03895
ko:K03532	mhal:N220_00830
ko:K01878	mhal:N220_00835
ko:K01879	mhal:N220_00855
ko:K03733	mhal:N220_00880
ko:K09790	mhal:N220_00885
ko:K09897	mhal:N220_00905
ko:K09159	mhal:N220_00915
ko:K03527	mhal:N220_00920
ko:K03101	mhal:N220_00925
ko:K04751	mhal:N220_00930
ko:K03831	mhal:N220_00935
ko:K02199	mhal:N220_00955
ko:K02358	mhal:N220_00985
ko:K02011	mhal:N220_00995
ko:K02012	mhal:N220_01000
ko:K04062	mhal:N220_01005
ko:K00820	mhal:N220_01015
ko:K02874	mhal:N220_01020
ko:K02895	mhal:N220_01025
ko:K02931	mhal:N220_01030
ko:K02954	mhal:N220_01035
ko:K02994	mhal:N220_01040
ko:K02933	mhal:N220_01045
ko:K02881	mhal:N220_01050
ko:K02988	mhal:N220_01055
ko:K02907	mhal:N220_01060
ko:K02876	mhal:N220_01065
ko:K01689	mhal:N220_03915
ko:K03212	mhal:N220_03920
ko:K01207	mhal:N220_03925
ko:K03573	mhal:N220_03935
ko:K01356	mhal:N220_03940
ko:K00631	mhal:N220_03945
ko:K12055	mhal:N220_08450
ko:K03601	mhal:N220_08460
ko:K08304	mhal:N220_08470
ko:K00764	mhal:N220_08480
ko:K03558	mhal:N220_08485
ko:K01940	mhal:N220_08495
ko:K07574	mhal:N220_08510
ko:K07140	mhal:N220_08540
ko:K03602	mhal:N220_08545
ko:K00795	mhal:N220_08550
ko:K09816	mhal:N220_08560
ko:K06215	mhal:N220_12785
ko:K08681	mhal:N220_12790
ko:K06077	mhal:N220_12810
ko:K09907	mhal:N220_12815
ko:K01887	mhal:N220_12820
ko:K03979	mhal:N220_12825
ko:K02198	mhal:N220_12835
ko:K02197	mhal:N220_12840
ko:K02196	mhal:N220_12845
ko:K02195	mhal:N220_12850
ko:K02194	mhal:N220_12855
ko:K10763	mhal:N220_12865
ko:K12368	mhal:N220_12870
ko:K12369	mhal:N220_12875
ko:K12370	mhal:N220_12880
ko:K12371	mhal:N220_12885
ko:K12372	mhal:N220_12890
ko:K03088	mhal:N220_12895
ko:K12267	mhal:N220_12900
ko:K00748	mhal:N220_12915
ko:K02853	mhal:N220_12975
ko:K12582	mhal:N220_12980
ko:K01915	mhal:N220_12985
ko:K02805	mhal:N220_12995
ko:K16704	mhal:N220_13000
ko:K02472	mhal:N220_13005
ko:K05790	mhal:N220_13010
ko:K01845	mhal:N220_13020
ko:K03046	mhal:N220_13030
ko:K03043	mhal:N220_13040
ko:K07237	mhal:N220_13055
ko:K03076	mhal:N220_01070
ko:K02919	mhal:N220_01075
ko:K02952	mhal:N220_01080
ko:K02948	mhal:N220_01085
ko:K02986	mhal:N220_01090
ko:K03040	mhal:N220_01095
ko:K00325	mhal:N220_05380
ko:K03576	mhal:N220_05385
ko:K00133	mhal:N220_05395
ko:K06915	mhal:N220_05425
ko:K15342	mhal:N220_05455
ko:K08301	mhal:N220_05465
ko:K04567	mhal:N220_05470
ko:K01255	mhal:N220_10025
ko:K01738	mhal:N220_10030
ko:K03628	mhal:N220_10035
ko:K01085	mhal:N220_10055
ko:K01085	mhal:N220_10060
ko:K00930	mhal:N220_10095
ko:K00145	mhal:N220_10100
ko:K07270	mhal:N220_10165
ko:K00785	mhal:N220_10170
ko:K04066	mhal:N220_10205
ko:K05786	mhal:N220_10215
ko:K14260	mhal:N220_10220
ko:K01737	mhal:N220_10255
ko:K06920	mhal:N220_10260
ko:K01810	mhal:N220_10270
ko:K08289	mhal:N220_03975
ko:K01687	mhal:N220_03990
ko:K00995	mhal:N220_04005
ko:K03703	mhal:N220_04010
ko:K02887	mhal:N220_04020
ko:K02916	mhal:N220_04025
ko:K02520	mhal:N220_04030
ko:K03654	mhal:N220_04035
ko:K06202	mhal:N220_04040
ko:K07270	mhal:N220_04045
ko:K05807	mhal:N220_04055
ko:K06180	mhal:N220_04060
ko:K16347	mhal:N220_04065
ko:K05809	mhal:N220_04070
ko:K02517	mhal:N220_04075
ko:K01714	mhal:N220_04080
ko:K03837	mhal:N220_04090
ko:K01752	mhal:N220_04095
ko:K00602	mhal:N220_04100
ko:K06975	mhal:N220_04105
ko:K07259	mhal:N220_04110
ko:K03624	mhal:N220_04115
ko:K00940	mhal:N220_04120
ko:K01874	mhal:N220_04125
ko:K07552	mhal:N220_04140
ko:K03215	mhal:N220_04145
ko:K01129	mhal:N220_04150
ko:K03580	mhal:N220_04160
ko:K09803	mhal:N220_04165
ko:K03806	mhal:N220_04180
ko:K07115	mhal:N220_04185
ko:K00762	mhal:N220_04190
ko:K03611	mhal:N220_04215
ko:K03314	mhal:N220_04220
ko:K03603	mhal:N220_04225
ko:K00615	mhal:N220_04235
ko:K02909	mhal:N220_04240
ko:K07478	mhal:N220_08565
ko:K03571	mhal:N220_08570
ko:K03570	mhal:N220_08575
ko:K03569	mhal:N220_08580
ko:K06895	mhal:N220_08585
ko:K00876	mhal:N220_08590
ko:K01494	mhal:N220_08595
ko:K15256	mhal:N220_08615
ko:K03645	mhal:N220_08625
ko:K01911	mhal:N220_08630
ko:K05802	mhal:N220_08635
ko:K01736	mhal:N220_08640
ko:K07261	mhal:N220_08645
ko:K03075	mhal:N220_08655
ko:K09136	mhal:N220_08700
ko:K15257	mhal:N220_08705
ko:K02470	mhal:N220_08710
ko:K03179	mhal:N220_08730
ko:K02444	mhal:N220_08735
ko:K01756	mhal:N220_08740
ko:K07153	mhal:N220_08745
ko:K09800	mhal:N220_08760
ko:K07278	mhal:N220_08765
ko:K09798	mhal:N220_08770
ko:K02838	mhal:N220_08785
ko:K09903	mhal:N220_08790
ko:K02357	mhal:N220_08800
ko:K02967	mhal:N220_08805
ko:K02012	mhal:N220_08810
ko:K02011	mhal:N220_08815
ko:K02879	mhal:N220_01100
ko:K02529	mhal:N220_01105
ko:K06145	mhal:N220_01110
ko:K01779	mhal:N220_01130
ko:K07791	mhal:N220_01135
ko:K03337	mhal:N220_01145
ko:K00140	mhal:N220_01150
ko:K17208	mhal:N220_01155
ko:K17210	mhal:N220_01160
ko:K17209	mhal:N220_01165
ko:K03335	mhal:N220_01190
ko:K03336	mhal:N220_01195
ko:K03338	mhal:N220_01200
ko:K02761	mhal:N220_01210
ko:K02959	mhal:N220_01230
ko:K02860	mhal:N220_01235
ko:K00554	mhal:N220_01240
ko:K02884	mhal:N220_01245
ko:K01961	mhal:N220_01270
ko:K02160	mhal:N220_01275
ko:K03786	mhal:N220_01285
ko:K15984	mhal:N220_01305
ko:K03591	mhal:N220_01310
ko:K03184	mhal:N220_01315
ko:K07391	mhal:N220_01325
ko:K03658	mhal:N220_01335
ko:K03310	mhal:N220_05735
ko:K01902	mhal:N220_05740
ko:K01903	mhal:N220_05745
ko:K00658	mhal:N220_05750
ko:K00164	mhal:N220_05755
ko:K09817	mhal:N220_05760
ko:K03981	mhal:N220_05770
ko:K07462	mhal:N220_05775
ko:K07674	mhal:N220_05790
ko:K03823	mhal:N220_05795
ko:K09160	mhal:N220_05810
ko:K03271	mhal:N220_05815
ko:K03721	mhal:N220_05820
ko:K00052	mhal:N220_05850
ko:K00134	mhal:N220_05860
ko:K03581	mhal:N220_10305
ko:K01775	mhal:N220_10310
ko:K04564	mhal:N220_10315
ko:K12524	mhal:N220_10325
ko:K00872	mhal:N220_10330
ko:K01883	mhal:N220_10335
ko:K07088	mhal:N220_10350
ko:K02379	mhal:N220_10355
ko:K00123	mhal:N220_10360
ko:K02380	mhal:N220_10380
ko:K01624	mhal:N220_10410
ko:K00927	mhal:N220_10415
ko:K03308	mhal:N220_10420
ko:K01735	mhal:N220_10430
ko:K00891	mhal:N220_10435
ko:K05366	mhal:N220_10440
ko:K02507	mhal:N220_10465
ko:K03625	mhal:N220_10470
ko:K00946	mhal:N220_10475
ko:K01095	mhal:N220_10480
ko:K03550	mhal:N220_10490
ko:K03551	mhal:N220_10495
ko:K09999	mhal:N220_10505
ko:K09997	mhal:N220_10510
ko:K04084	mhal:N220_10520
ko:K09906	mhal:N220_10525
ko:K00826	mhal:N220_10545
ko:K07390	mhal:N220_10550
ko:K06187	mhal:N220_10555
ko:K09747	mhal:N220_10560
ko:K06915	mhal:N220_08830
ko:K03732	mhal:N220_08835
ko:K03584	mhal:N220_08840
ko:K07236	mhal:N220_13060
ko:K07235	mhal:N220_13065
ko:K03745	mhal:N220_13080
ko:K14441	mhal:N220_13090
ko:K02935	mhal:N220_13125
ko:K02864	mhal:N220_13130
ko:K00648	mhal:N220_13140
ko:K09458	mhal:N220_13160
ko:K03655	mhal:N220_13170
ko:K02863	mhal:N220_13190
ko:K02867	mhal:N220_13195
ko:K02601	mhal:N220_13200
ko:K03073	mhal:N220_13205
ko:K04096	mhal:N220_13220
ko:K01462	mhal:N220_13225
ko:K03274	mhal:N220_13230
ko:K01716	mhal:N220_13235
ko:K04770	mhal:N220_13240
ko:K09911	mhal:N220_13245
ko:K03217	mhal:N220_13270
ko:K11065	mhal:N220_13275
ko:K00655	mhal:N220_13280
ko:K01962	mhal:N220_13290
ko:K00868	mhal:N220_13300
ko:K03477	mhal:N220_13325
ko:K01489	mhal:N220_09830
ko:K03593	mhal:N220_09895
ko:K02035	mhal:N220_09900
ko:K01719	mhal:N220_09935
ko:K03768	mhal:N220_10345
ko:K00124	mhal:N220_10370
ko:K00383	mhal:N220_10390
ko:K09998	mhal:N220_10500
ko:K10000	mhal:N220_10515
ko:K02806	mhal:N220_10845
ko:K00484	mhal:N220_10895
ko:K11072	mhal:N220_10925
ko:K11071	mhal:N220_10930
ko:K15582	mhal:N220_10945
ko:K10823	mhal:N220_10950
ko:K15583	mhal:N220_10950
ko:K01092	mhal:N220_11035
ko:K01424	mhal:N220_11400
ko:K01934	mhal:N220_11555
ko:K09815	mhal:N220_11610
ko:K00564	mhal:N220_11940
ko:K02843	mhal:N220_12085
ko:K02793	mhal:N220_12150
ko:K02794	mhal:N220_12150
ko:K02795	mhal:N220_12155
ko:K00813	mhal:N220_06665
ko:K01664	mhal:N220_11120
ko:K02619	mhal:N220_11135
ko:K07186	mhal:N220_11230
ko:K06039	mhal:N220_11245
ko:K03711	mhal:N220_11270
ko:K01885	mhal:N220_11720
ko:K02348	mhal:N220_11785
ko:K00033	mhal:N220_11825
ko:K01082	mhal:N220_11850
ko:K15460	mhal:N220_12340
ko:K07792	mhal:N220_12355
ko:K00059	mhal:N220_12415
ko:K10563	mhal:N220_12425
ko:K00616	mhal:N220_12795
ko:K02193	mhal:N220_12860
ko:K04774	mhal:N220_12910
ko:K02852	mhal:N220_12970
ko:K00230	mhal:N220_13595
ko:K03498	mhal:N220_13600
ko:K07258	mhal:N220_13660
ko:K13637	mhal:N220_13700
ko:K04763	mhal:N220_13795
ko:K03316	mhal:N220_12530
ko:K01439	mhal:N220_12535
ko:K06179	mhal:N220_12550
ko:K03442	mhal:N220_12555
ko:K00101	mhal:N220_12645
ko:K01507	mhal:N220_12690
ko:K02851	mhal:N220_13015
ko:K01243	mhal:N220_13085
ko:K00059	mhal:N220_13165
ko:K00647	mhal:N220_13180
ko:K02822	mhal:N220_13215
ko:K03286	mhal:N220_13250
ko:K02428	mhal:N220_05800
ko:K07305	mhal:N220_05855
ko:K03476	mhal:N220_13330
ko:K01119	mhal:N220_13340
ko:K02821	mhal:N220_13355
ko:K03299	mhal:N220_13370
ko:K00380	mhal:N220_13400
ko:K07343	mhal:N220_13460
ko:K01679	mhal:N220_13465
ko:K00799	mhal:N220_13480
ko:K00247	mhal:N220_13525
ko:K00245	mhal:N220_13535
ko:K00244	mhal:N220_13540
ko:K01525	mhal:N220_06140
ko:K06149	mhal:N220_06170
ko:K00088	mhal:N220_06240
ko:K13283	mhal:N220_06305
ko:K01262	mhal:N220_06920
ko:K02446	mhal:N220_06935
ko:K03307	mhal:N220_06960
ko:K07054	mhal:N220_06985
ko:K03548	mhal:N220_07025
ko:K01989	mhal:N220_07050
ko:K01424	mhal:N220_07070
ko:K08992	mhal:N220_06370
ko:K03177	mhal:N220_06425
ko:K08305	mhal:N220_06435
ko:K07657	mhal:N220_06465
ko:K11751	mhal:N220_06525
ko:K02238	mhal:N220_06540
ko:K02014	mhal:N220_06595
ko:K07729	mhal:N220_07400
ko:K02014	mhal:N220_07770
ko:K02014	mhal:N220_07775
ko:K07214	mhal:N220_07780
ko:K02099	mhal:N220_07835
ko:K02056	mhal:N220_07845
ko:K02371	mhal:N220_07885
ko:K02427	mhal:N220_08000
ko:K04067	mhal:N220_08025
ko:K04765	mhal:N220_06635
ko:K04765	mhal:N220_06640
ko:K03635	mhal:N220_06680
ko:K01119	mhal:N220_06865
ko:K09022	mhal:N220_07595
ko:K01186	mhal:N220_07725
ko:K11085	mhal:N220_08075
ko:K05833	mhal:N220_08105
ko:K05832	mhal:N220_08110
ko:K03469	mhal:N220_08490
ko:K12984	mhal:N220_08505
ko:K07491	mhal:N220_08685
ko:K01156	mhal:N220_08715
ko:K07316	mhal:N220_08720
ko:K16012	mhal:N220_08750
ko:K16013	mhal:N220_08755
ko:K01834	mhal:N220_08780
ko:K02010	mhal:N220_08820
ko:K01739	mhal:N220_06790
ko:K17686	mhal:N220_09875
ko:K05595	mhal:N220_09270
ko:K06177	mhal:N220_09295
ko:K03560	mhal:N220_09350
ko:K03574	mhal:N220_09410
ko:K03491	mhal:N220_10050
ko:K01104	mhal:N220_10065
ko:K02795	mhal:N220_10075
ko:K02793	mhal:N220_10085
ko:K00799	mhal:N220_10105
ko:K03784	mhal:N220_10130
ko:K01619	mhal:N220_10135
ko:K03317	mhal:N220_10140
ko:K02552	mhal:N220_10225
ko:K09806	mhal:N220_10265
ko:K01759	mhal:N220_10620
ko:K00970	mhal:N220_10650
ko:K00647	mhal:N220_10750
ko:K01176	mhal:N220_10795
ko:K03292	mhal:N220_00020
ko:K07318	mhal:N220_04880
ko:K14219	mhal:N220_09785
ko:K01791	mhal:N220_10180
ko:K00226	mhal:N220_03905
ko:K11928	mhal:N220_11545
ko:K07459	mhal:N220_03715
ko:K14742	mhal:N220_06975
ko:K06518	mhal:N220_08085
ko:K01654	mhal:N220_10190
ko:K01069	mhal:N220_05275
ko:K01840	mhal:N220_13905
ko:K01658	mhal:N220_03405
ko:K05540	mhal:N220_10595
ko:K00018	mhal:N220_11090
ko:K00884	mhal:N220_08530
ko:K03566	mhal:N220_11420
ko:K01271	mhal:N220_02515
ko:K00254	mhal:N220_08055
ko:K13695	mhal:N220_06345
ko:K03772	mhal:N220_13075
ko:K07812	mhal:N220_06710
ko:K02031	mhal:N220_02265
ko:K02032	mhal:N220_02265
ko:K00123	mhal:N220_10365
ko:K07812	mhal:N220_06750
ko:K03719	mhal:N220_06995
ko:K11747	mhal:N220_10760
ko:K01096	mhal:N220_08515
ko:K00127	mhal:N220_10375
ko:K00557	mhal:N220_00900
ko:K02822	mhal:N220_13335
ko:K03475	mhal:N220_13335
ko:K03585	mhal:N220_06230
ko:K18138	mhal:N220_06235
ko:K00879	mhal:N220_00395
ko:K02794	mhal:N220_10080
ko:K01185	mhal:N220_07315
ko:K21449	mhal:N220_03430
ko:K03646	mhal:N220_03605
ko:K07227	mhal:N220_02615
ko:K05786	mhal:N220_05320
ko:K06915	mhal:N220_05420
ko:K12368	mhal:N220_00205
ko:K16087	mhal:N220_00445
ko:K01424	mhal:N220_00455
ko:K10540	mhal:N220_01440
ko:K12368	mhal:N220_01475
ko:K12368	mhal:N220_01505
ko:K02902	mhal:N220_01620
ko:K01347	mhal:N220_02895
ko:K01347	mhal:N220_03165
ko:K02015	mhal:N220_03255
ko:K16092	mhal:N220_03320
ko:K04753	mhal:N220_13285
ko:K01175	mhal:N220_08620
ko:K21105	mhal:N220_02250
ko:K03088	mhal:N220_08905
ko:K03088	mhal:N220_08910
ko:K13409	mhal:N220_09505
ko:K12267	mhal:N220_10145
ko:K02805	mhal:N220_12990
ko:K08223	mhal:N220_13560
ko:K08223	mhal:N220_13565
ko:K04752	mhal:N220_12495
ko:K03317	mhal:N220_13100
ko:K03317	mhal:N220_13105
ko:K01119	mhal:N220_13345
ko:K08159	mhal:N220_06205
ko:K02446	mhal:N220_06930
ko:K01999	mhal:N220_06700
ko:K03321	mhal:N220_06760
ko:K02529	mhal:N220_07575
ko:K03462	mhal:N220_06860
ko:K21395	mhal:N220_00090
ko:K18691	mhal:N220_11745
ko:K18928	mhal:N220_02310
ko:K18893	mhal:N220_11285
ko:K18929	mhal:N220_02315
ko:K03427	mhal:N220_03280
ko:K18829	mhal:N220_02640
ko:K21645	mhal:N220_01125
ko:K18842	mhal:N220_12670
ko:K18841	mhal:N220_12675
ko:K18800	mhal:N220_10855
ko:K05789	mhal:N220_02095
ko:K02847	mhal:N220_02140
ko:K07339	mhal:N220_07225
ko:K18843	mhal:N220_07230
ko:K18850	mhal:N220_01265
ko:K00526	mhal:N220_06610
ko:K10747	mhal:N220_02460
ko:K07724	mhal:N220_09010
ko:K03646	mhal:N220_09345
ko:K07473	mhal:N220_09715
ko:K07473	mhal:N220_12455
ko:K03111	mhal:N220_06105
ko:K03111	mhal:N220_08125
ko:K03169	mhal:N220_08395
ko:K03169	mhal:N220_08650
ko:K07724	mhal:N220_00260
ko:K08364	mhal:N220_00510
ko:K07724	mhal:N220_00595
ko:K07389	mhal:N220_00700
ko:K03497	mhal:N220_01365
ko:K07724	mhal:N220_02905
ko:K03674	mhal:N220_01940
ko:K19055	mhal:N220_04580
ko:K03526	mhal:N220_11310
ko:K10954	mhal:N220_06815
ko:K10954	mhal:N220_06810
ko:K18991	mhal:N220_03955
ko:K11005	mhal:N220_00695
ko:K07746	mhal:N220_07090
ko:K07746	mhal:N220_12725
ko:K19157	mhal:N220_09720
ko:K19226	mhal:N220_05825
ko:K19119	mhal:N220_05430
ko:K19117	mhal:N220_05435
ko:K19118	mhal:N220_05440
