ko:K06896	stw:Y1U_C0182
ko:K07025	stw:Y1U_C1220
ko:K01990	stw:Y1U_C1234
ko:K01990	stw:Y1U_C1235
ko:K06183	stw:Y1U_C0527
ko:K00869	stw:Y1U_C0533
ko:K01597	stw:Y1U_C0534
ko:K00938	stw:Y1U_C0535
ko:K01823	stw:Y1U_C0536
ko:K01515	stw:Y1U_C0539
ko:K01243	stw:Y1U_C0541
ko:K00054	stw:Y1U_C0553
ko:K01641	stw:Y1U_C0554
ko:K00547	stw:Y1U_C0561
ko:K12554	stw:Y1U_C0572
ko:K03697	stw:Y1U_C0577
ko:K09952	stw:Y1U_C1412
ko:K06286	stw:Y1U_C1414
ko:K00567	stw:Y1U_C1420
ko:K00058	stw:Y1U_C1422
ko:K01759	stw:Y1U_C1427
ko:K11069	stw:Y1U_C1428
ko:K11071	stw:Y1U_C1430
ko:K11072	stw:Y1U_C1431
ko:K01176	stw:Y1U_C1435
ko:K02238	stw:Y1U_C1455
ko:K14228	stw:Y1U_Ct031
ko:K15051	stw:Y1U_C0765
ko:K10041	stw:Y1U_C0769
ko:K07668	stw:Y1U_C0770
ko:K07652	stw:Y1U_C0771
ko:K05363	stw:Y1U_C0774
ko:K01258	stw:Y1U_C0791
ko:K05337	stw:Y1U_C0793
ko:K03783	stw:Y1U_C0808
ko:K03784	stw:Y1U_C0812
ko:K02808	stw:Y1U_C1624
ko:K02809	stw:Y1U_C1624
ko:K02810	stw:Y1U_C1624
ko:K01262	stw:Y1U_C1631
ko:K03471	stw:Y1U_C1652
ko:K01409	stw:Y1U_C1657
ko:K03713	stw:Y1U_C1665
ko:K15583	stw:Y1U_C1342
ko:K14221	stw:Y1U_Ct003
ko:K14221	stw:Y1U_Ct037
ko:K14234	stw:Y1U_Ct006
ko:K14234	stw:Y1U_Ct040
ko:K01104	stw:Y1U_C0814
ko:K01854	stw:Y1U_C0822
ko:K09685	stw:Y1U_C1681
ko:K03698	stw:Y1U_C1682
ko:K00949	stw:Y1U_C1684
ko:K06346	stw:Y1U_C1698
ko:K09698	stw:Y1U_C1703
ko:K01934	stw:Y1U_C1722
ko:K15986	stw:Y1U_C0357
ko:K07586	stw:Y1U_C0359
ko:K02371	stw:Y1U_C0369
ko:K00059	stw:Y1U_C0371
ko:K03436	stw:Y1U_C0389
ko:K00882	stw:Y1U_C0390
ko:K00383	stw:Y1U_C0393
ko:K00974	stw:Y1U_C0408
ko:K02004	stw:Y1U_C1249
ko:K03294	stw:Y1U_C1262
ko:K07104	stw:Y1U_C1264
ko:K02004	stw:Y1U_C1288
ko:K14230	stw:Y1U_Ct012
ko:K14225	stw:Y1U_Ct016
ko:K14225	stw:Y1U_Ct021
ko:K14220	stw:Y1U_Ct034
ko:K14220	stw:Y1U_Ct052
ko:K14220	stw:Y1U_Ct048
ko:K14222	stw:Y1U_Ct032
ko:K00841	stw:Y1U_C0026
ko:K01092	stw:Y1U_C0900
ko:K03177	stw:Y1U_C0904
ko:K00674	stw:Y1U_C1724
ko:K01261	stw:Y1U_C1735
ko:K07052	stw:Y1U_C1737
ko:K07729	stw:Y1U_C1741
ko:K02248	stw:Y1U_C1745
ko:K02246	stw:Y1U_C1747
ko:K02245	stw:Y1U_C1748
ko:K02244	stw:Y1U_C1749
ko:K02243	stw:Y1U_C1750
ko:K03693	stw:Y1U_C1754
ko:K07030	stw:Y1U_C1761
ko:K07386	stw:Y1U_C1768
ko:K01226	stw:Y1U_C1769
ko:K03486	stw:Y1U_C1772
ko:K03486	stw:Y1U_C1773
ko:K01977	stw:Y1U_Cr001
ko:K01977	stw:Y1U_Cr007
ko:K01977	stw:Y1U_Cr004
ko:K01977	stw:Y1U_Cr015
ko:K01977	stw:Y1U_Cr010
ko:K03708	stw:Y1U_C0071
ko:K09002	stw:Y1U_C0925
ko:K02823	stw:Y1U_C0932
ko:K02004	stw:Y1U_C0956
ko:K01480	stw:Y1U_C0960
ko:K00939	stw:Y1U_C1808
ko:K07258	stw:Y1U_C0073
ko:K12296	stw:Y1U_C0120
ko:K03048	stw:Y1U_C0123
ko:K07105	stw:Y1U_C0981
ko:K09787	stw:Y1U_C0984
ko:K13953	stw:Y1U_C0988
ko:K13953	stw:Y1U_C0989
ko:K09815	stw:Y1U_C1004
ko:K09762	stw:Y1U_C1022
ko:K01104	stw:Y1U_C1834
ko:K01119	stw:Y1U_C0131
ko:K01119	stw:Y1U_C0132
ko:K03647	stw:Y1U_C0134
ko:K04488	stw:Y1U_C0156
ko:K02056	stw:Y1U_C1045
ko:K01489	stw:Y1U_C1047
ko:K01619	stw:Y1U_C1048
ko:K00564	stw:Y1U_C1053
ko:K00867	stw:Y1U_C1054
ko:K01361	stw:Y1U_C1057
ko:K14982	stw:Y1U_C1063
ko:K14983	stw:Y1U_C1066
ko:K01835	stw:Y1U_C1071
ko:K04516	stw:Y1U_C1083
ko:K00088	stw:Y1U_C1902
ko:K03488	stw:Y1U_C0592
ko:K03488	stw:Y1U_C0593
ko:K10563	stw:Y1U_C0597
ko:K03768	stw:Y1U_C0603
ko:K07570	stw:Y1U_C0604
ko:K04517	stw:Y1U_C0617
ko:K00016	stw:Y1U_C0619
ko:K04518	stw:Y1U_C0622
ko:K11041	stw:Y1U_C0624
ko:K09952	stw:Y1U_C0633
ko:K02342	stw:Y1U_C1496
ko:K01154	stw:Y1U_C1013
ko:K06023	stw:Y1U_C0645
ko:K07025	stw:Y1U_C0664
ko:K03976	stw:Y1U_C0666
ko:K07273	stw:Y1U_C0667
ko:K02236	stw:Y1U_C0691
ko:K09825	stw:Y1U_C0693
ko:K00845	stw:Y1U_C0695
ko:K04086	stw:Y1U_C1510
ko:K06948	stw:Y1U_C1517
ko:K02433	stw:Y1U_C1522
ko:K07304	stw:Y1U_C1526
ko:K03316	stw:Y1U_C1538
ko:K07177	stw:Y1U_C1542
ko:K01674	stw:Y1U_C1553
ko:K07052	stw:Y1U_C1562
ko:K05833	stw:Y1U_C0191
ko:K12555	stw:Y1U_C0205
ko:K01916	stw:Y1U_C0216
ko:K01372	stw:Y1U_C0218
ko:K03700	stw:Y1U_C0221
ko:K09976	stw:Y1U_C0243
ko:K03930	stw:Y1U_C1088
ko:K05833	stw:Y1U_C1091
ko:K05832	stw:Y1U_C1092
ko:K01989	stw:Y1U_C1093
ko:K02086	stw:Y1U_C1124
ko:K00784	stw:Y1U_C1129
ko:K01523	stw:Y1U_C1133
ko:K01496	stw:Y1U_C1134
ko:K06147	stw:Y1U_C0416
ko:K06198	stw:Y1U_C0436
ko:K07533	stw:Y1U_C0440
ko:K08969	stw:Y1U_C0445
ko:K01785	stw:Y1U_C1307
ko:K01784	stw:Y1U_C1308
ko:K11618	stw:Y1U_C1324
ko:K11617	stw:Y1U_C1325
ko:K15582	stw:Y1U_C1343
ko:K02768	stw:Y1U_C0391
ko:K16169	stw:Y1U_C1255
ko:K14235	stw:Y1U_Ct028
ko:K10823	stw:Y1U_C1341
ko:K14228	stw:Y1U_Ct039
ko:K05340	stw:Y1U_C1010
ko:K16786	stw:Y1U_C1895
ko:K16787	stw:Y1U_C1894
ko:K16785	stw:Y1U_C1893
ko:K16788	stw:Y1U_C0982
ko:K16789	stw:Y1U_C1465
ko:K15583	stw:Y1U_C0169
ko:K15583	stw:Y1U_C0168
ko:K15583	stw:Y1U_C0167
ko:K15583	stw:Y1U_C0166
ko:K15582	stw:Y1U_C0165
ko:K15582	stw:Y1U_C0164
ko:K15582	stw:Y1U_C0163
ko:K01985	stw:Y1U_Cr003
ko:K01985	stw:Y1U_Cr006
ko:K01985	stw:Y1U_Cr012
ko:K01980	stw:Y1U_Cr002
ko:K01980	stw:Y1U_Cr005
ko:K01980	stw:Y1U_Cr011
ko:K01980	stw:Y1U_Cr008
ko:K01980	stw:Y1U_Cr014
ko:K16926	stw:Y1U_C1718
ko:K14233	stw:Y1U_Ct018
ko:K14219	stw:Y1U_Ct046
ko:K14234	stw:Y1U_Ct054
ko:K14233	stw:Y1U_Ct053
ko:K14228	stw:Y1U_Ct045
ko:K14228	stw:Y1U_Ct050
ko:K00131	stw:Y1U_C1178
ko:K02424	stw:Y1U_C0917
ko:K14230	stw:Y1U_Ct025
ko:K14223	stw:Y1U_Ct030
ko:K14223	stw:Y1U_Ct043
ko:K14223	stw:Y1U_Ct055
ko:K02030	stw:Y1U_C0994
ko:K02030	stw:Y1U_C0277
ko:K02030	stw:Y1U_C0282
ko:K02030	stw:Y1U_C1473
ko:K02030	stw:Y1U_C1549
ko:K14229	stw:Y1U_Ct004
ko:K14229	stw:Y1U_Ct038
ko:K14225	stw:Y1U_Ct007
ko:K14218	stw:Y1U_Ct001
ko:K14218	stw:Y1U_Ct019
ko:K14218	stw:Y1U_Ct051
ko:K14218	stw:Y1U_Ct033
ko:K14218	stw:Y1U_Ct035
ko:K16785	stw:Y1U_C0293
ko:K16786	stw:Y1U_C0292
ko:K16787	stw:Y1U_C0292
ko:K02007	stw:Y1U_C0274
ko:K11991	stw:Y1U_C1728
ko:K14219	stw:Y1U_Ct044
ko:K14219	stw:Y1U_Ct057
ko:K01190	stw:Y1U_C1305
ko:K08986	stw:Y1U_C0640
ko:K16868	stw:Y1U_C1442
ko:K16924	stw:Y1U_C0291
ko:K14232	stw:Y1U_Ct010
ko:K02008	stw:Y1U_C0275
ko:K02006	stw:Y1U_C0276
ko:K03191	stw:Y1U_C0266
ko:K14230	stw:Y1U_Ct011
ko:K14219	stw:Y1U_Ct009
ko:K14227	stw:Y1U_Ct017
ko:K14227	stw:Y1U_Ct022
ko:K16898	stw:Y1U_C1608
ko:K16899	stw:Y1U_C1609
ko:K14228	stw:Y1U_Ct005
ko:K14228	stw:Y1U_Ct008
ko:K01985	stw:Y1U_Cr009
ko:K01985	stw:Y1U_Cr013
ko:K14229	stw:Y1U_Ct049
ko:K03574	stw:Y1U_C0576
ko:K11070	stw:Y1U_C1429
ko:K01738	stw:Y1U_C1016
ko:K01760	stw:Y1U_C1015
ko:K02029	stw:Y1U_C1393
ko:K02030	stw:Y1U_C1393
ko:K01990	stw:Y1U_C1368
ko:K01992	stw:Y1U_C1605
ko:K02028	stw:Y1U_C1474
ko:K01992	stw:Y1U_C1503
ko:K01992	stw:Y1U_C1231
ko:K01992	stw:Y1U_C1369
ko:K01990	stw:Y1U_C1339
ko:K01990	stw:Y1U_C1504
ko:K01990	stw:Y1U_C1606
ko:K02028	stw:Y1U_C1547
ko:K02028	stw:Y1U_C0995
ko:K03574	stw:Y1U_C0126
ko:K03574	stw:Y1U_C0786
ko:K02028	stw:Y1U_C1394
ko:K00951	stw:Y1U_C0135
ko:K01598	stw:Y1U_C1069
ko:K01537	stw:Y1U_C0779
ko:K02030	stw:Y1U_C1386
ko:K02030	stw:Y1U_C1388
ko:K02030	stw:Y1U_C1389
ko:K01989	stw:Y1U_C0190
ko:K05832	stw:Y1U_C0190
ko:K17076	stw:Y1U_C0148
ko:K02029	stw:Y1U_C0580
ko:K17073	stw:Y1U_C0149
ko:K17074	stw:Y1U_C0149
ko:K10947	stw:Y1U_C1874
ko:K10947	stw:Y1U_C1875
ko:K01990	stw:Y1U_C0521
ko:K01990	stw:Y1U_C1239
ko:K01990	stw:Y1U_C1245
ko:K01992	stw:Y1U_C0522
ko:K01992	stw:Y1U_C1238
ko:K01992	stw:Y1U_C1244
ko:K17686	stw:Y1U_C1479
ko:K07318	stw:Y1U_C0630
ko:K00226	stw:Y1U_C1109
ko:K03767	stw:Y1U_C0490
ko:K06518	stw:Y1U_C1418
ko:K01467	stw:Y1U_C0010
ko:K07284	stw:Y1U_C1195
ko:K01658	stw:Y1U_C1486
ko:K17828	stw:Y1U_C0931
ko:K12574	stw:Y1U_C1662
ko:K12574	stw:Y1U_C1090
ko:K07491	stw:Y1U_C0799
ko:K02614	stw:Y1U_C1401
ko:K03366	stw:Y1U_C0967
ko:K01071	stw:Y1U_C1152
ko:K06148	stw:Y1U_C0724
ko:K03523	stw:Y1U_C1221
ko:K16169	stw:Y1U_C1254
ko:K01784	stw:Y1U_C1272
ko:K06147	stw:Y1U_C1317
ko:K03424	stw:Y1U_C1350
ko:K12996	stw:Y1U_C0818
ko:K07107	stw:Y1U_C1694
ko:K07052	stw:Y1U_C1739
ko:K03366	stw:Y1U_C0966
ko:K03427	stw:Y1U_C1011
ko:K03704	stw:Y1U_C1020
ko:K01619	stw:Y1U_C1049
ko:K00756	stw:Y1U_C1052
ko:K11070	stw:Y1U_C1059
ko:K03742	stw:Y1U_C0057
ko:K18474	stw:Y1U_C0365
ko:K16235	stw:Y1U_C0560
ko:K18682	stw:Y1U_C0387
ko:K18672	stw:Y1U_C1169
ko:K18692	stw:Y1U_C1594
ko:K07316	stw:Y1U_C0987
ko:K18888	stw:Y1U_C0515
ko:K03790	stw:Y1U_C1453
ko:K06147	stw:Y1U_C0415
ko:K18887	stw:Y1U_C0514
ko:K03111	stw:Y1U_C1639
ko:K03111	stw:Y1U_C1729
ko:K03502	stw:Y1U_C0993
ko:K03497	stw:Y1U_C1910
ko:K03502	stw:Y1U_C1280
ko:K07029	stw:Y1U_C1447
ko:K07483	stw:Y1U_C0839
ko:K07483	stw:Y1U_C0851
ko:K07483	stw:Y1U_C0198
ko:K07483	stw:Y1U_C0386
ko:K07483	stw:Y1U_C1348
ko:K07498	stw:Y1U_C0379
ko:K07498	stw:Y1U_C0840
ko:K19002	stw:Y1U_C0546
ko:K07497	stw:Y1U_C0385
ko:K18979	stw:Y1U_C0782
ko:K13052	stw:Y1U_C0008
ko:K02851	stw:Y1U_C0152
ko:K19005	stw:Y1U_C0611
ko:K07498	stw:Y1U_C0101
ko:K07497	stw:Y1U_C0199
ko:K07497	stw:Y1U_C1349
ko:K09951	stw:Y1U_C0635
ko:K09951	stw:Y1U_C1410
ko:K02777	stw:Y1U_C0181
ko:K19139	stw:Y1U_C0924
ko:K19138	stw:Y1U_C0926
ko:K19140	stw:Y1U_C0923
ko:K15342	stw:Y1U_C0634
ko:K01710	stw:Y1U_C1158
ko:K09951	stw:Y1U_C0929
ko:K19137	stw:Y1U_C1409
ko:K12998	stw:Y1U_C1367
ko:K03722	stw:Y1U_C1041
ko:K07497	stw:Y1U_C0837
ko:K07497	stw:Y1U_C0838
ko:K07497	stw:Y1U_C0848
ko:K07497	stw:Y1U_C0850
ko:K19302	stw:Y1U_C0257
ko:K12952	stw:Y1U_C1490
ko:K04771	stw:Y1U_C1909
ko:K08643	stw:Y1U_C1314
ko:K05988	stw:Y1U_C0138
ko:K06881	stw:Y1U_C0714
ko:K02796	stw:Y1U_C0315
ko:K00887	stw:Y1U_C0595
ko:K07497	stw:Y1U_C1297
ko:K03427	stw:Y1U_C1007
ko:K21636	stw:Y1U_C1856
ko:K20074	stw:Y1U_C1329
ko:K12132	stw:Y1U_C1328
ko:K20073	stw:Y1U_C0225
ko:K20107	stw:Y1U_C0180
ko:K20108	stw:Y1U_C0180
ko:K15580	stw:Y1U_C0115
ko:K15580	stw:Y1U_C1345
ko:K20344	stw:Y1U_C1583
ko:K20345	stw:Y1U_C1582
ko:K20483	stw:Y1U_C0091
ko:K00525	stw:Y1U_C1187
ko:K20484	stw:Y1U_C0092
ko:K20487	stw:Y1U_C0972
ko:K20488	stw:Y1U_C0973
ko:K20343	stw:Y1U_C1581
ko:K20342	stw:Y1U_C0258
ko:K20344	stw:Y1U_C0259
ko:K18889	stw:Y1U_C1587
ko:K18890	stw:Y1U_C1586
ko:K22103	stw:Y1U_C0210
ko:K21064	stw:Y1U_C0319
ko:K21011	stw:Y1U_C0758
ko:K21012	stw:Y1U_C0759
ko:K08968	stw:Y1U_C1078
ko:K00821	stw:Y1U_C0449
ko:K00558	stw:Y1U_C0657
ko:K00857	stw:Y1U_C0717
ko:K01493	stw:Y1U_C1630
ko:K01520	stw:Y1U_C1710
ko:K03553	stw:Y1U_C0058
ko:K00558	stw:Y1U_C1795
ko:K04068	stw:Y1U_C1859
ko:K02314	stw:Y1U_C1884
ko:K06191	stw:Y1U_C1186
ko:K06217	stw:Y1U_C0426
ko:K03546	stw:Y1U_C1303
ko:K02316	stw:Y1U_C1383
ko:K00560	stw:Y1U_C0555
ko:K00287	stw:Y1U_C0556
ko:K02335	stw:Y1U_C1648
ko:K00571	stw:Y1U_C1743
ko:K00526	stw:Y1U_C1188
ko:K01101	stw:Y1U_C1151
ko:K07497	stw:Y1U_C0733
ko:K07497	stw:Y1U_C0734
ko:K07497	stw:Y1U_C1673
ko:K07497	stw:Y1U_C1674
ko:K07497	stw:Y1U_C0018
ko:K07497	stw:Y1U_C0019
ko:K07497	stw:Y1U_C0020
ko:K07497	stw:Y1U_C0037
ko:K07497	stw:Y1U_C0065
ko:K07497	stw:Y1U_C1000
ko:K07497	stw:Y1U_C0196
ko:K07497	stw:Y1U_C0233
ko:K07497	stw:Y1U_C1144
ko:K07497	stw:Y1U_C1145
ko:K07497	stw:Y1U_C1146
ko:K07497	stw:Y1U_C0307
ko:K07497	stw:Y1U_C0308
ko:K07497	stw:Y1U_C1312
ko:K07497	stw:Y1U_C1313
ko:K07497	stw:Y1U_C1352
ko:K21471	stw:Y1U_C0023
ko:K21567	stw:Y1U_C1321
ko:K21977	stw:Y1U_C1068
ko:K22044	stw:Y1U_C0121
ko:K03595	stw:Y1U_C0596
ko:K17758	stw:Y1U_C0589
ko:K13566	stw:Y1U_C0444
ko:K22441	stw:Y1U_C1208
ko:K22457	stw:Y1U_C1038
