ko:K19504	senv:AU39_22235
ko:K04046	senv:AU39_10730
ko:K07799	senv:AU39_10735
ko:K07788	senv:AU39_10740
ko:K07789	senv:AU39_10745
ko:K18326	senv:AU39_10750
ko:K07642	senv:AU39_10755
ko:K07664	senv:AU39_10760
ko:K08303	senv:AU39_10780
ko:K00941	senv:AU39_10820
ko:K00878	senv:AU39_10825
ko:K07347	senv:AU39_10840
ko:K03593	senv:AU39_10860
ko:K01874	senv:AU39_10865
ko:K02477	senv:AU39_10885
ko:K02478	senv:AU39_10890
ko:K05846	senv:AU39_10905
ko:K05847	senv:AU39_10910
ko:K05846	senv:AU39_10915
ko:K05845	senv:AU39_10920
ko:K05349	senv:AU39_10925
ko:K03777	senv:AU39_10930
ko:K07262	senv:AU39_10935
ko:K05541	senv:AU39_10965
ko:K16165	senv:AU39_10980
ko:K11209	senv:AU39_15175
ko:K02020	senv:AU39_15180
ko:K02016	senv:AU39_15185
ko:K04653	senv:AU39_15190
ko:K04651	senv:AU39_15195
ko:K03605	senv:AU39_15205
ko:K06281	senv:AU39_15210
ko:K06282	senv:AU39_15225
ko:K03406	senv:AU39_15235
ko:K03559	senv:AU39_15265
ko:K03561	senv:AU39_15270
ko:K01760	senv:AU39_15280
ko:K08325	senv:AU39_15295
ko:K06221	senv:AU39_15300
ko:K03319	senv:AU39_15305
ko:K00655	senv:AU39_15345
ko:K02968	senv:AU39_00215
ko:K11753	senv:AU39_00220
ko:K01870	senv:AU39_00225
ko:K03101	senv:AU39_00230
ko:K03774	senv:AU39_00235
ko:K03527	senv:AU39_00240
ko:K12700	senv:AU39_00255
ko:K07702	senv:AU39_00260
ko:K07700	senv:AU39_00265
ko:K01572	senv:AU39_00270
ko:K01571	senv:AU39_00275
ko:K01573	senv:AU39_00280
ko:K01910	senv:AU39_00290
ko:K01646	senv:AU39_00295
ko:K01644	senv:AU39_00300
ko:K01643	senv:AU39_00305
ko:K05964	senv:AU39_00310
ko:K05966	senv:AU39_00315
ko:K00215	senv:AU39_00320
ko:K01956	senv:AU39_00325
ko:K02621	senv:AU39_15350
ko:K13652	senv:AU39_15355
ko:K07666	senv:AU39_15365
ko:K07645	senv:AU39_15370
ko:K03923	senv:AU39_15375
ko:K02622	senv:AU39_15385
ko:K07000	senv:AU39_15390
ko:K03651	senv:AU39_15395
ko:K09920	senv:AU39_15400
ko:K01515	senv:AU39_15405
ko:K12340	senv:AU39_15410
ko:K07238	senv:AU39_15430
ko:K03673	senv:AU39_15445
ko:K03611	senv:AU39_15450
ko:K03292	senv:AU39_19705
ko:K15922	senv:AU39_19710
ko:K18479	senv:AU39_19720
ko:K01671	senv:AU39_19725
ko:K08318	senv:AU39_19730
ko:K18478	senv:AU39_19735
ko:K07058	senv:AU39_19750
ko:K07560	senv:AU39_19755
ko:K18831	senv:AU39_19765
ko:K19166	senv:AU39_19770
ko:K02380	senv:AU39_19790
ko:K00127	senv:AU39_19795
ko:K00124	senv:AU39_19800
ko:K00123	senv:AU39_19805
ko:K00123	senv:AU39_19810
ko:K02379	senv:AU39_19815
ko:K03534	senv:AU39_19850
ko:K01629	senv:AU39_19860
ko:K01813	senv:AU39_19865
ko:K00848	senv:AU39_19870
ko:K02855	senv:AU39_19875
ko:K02854	senv:AU39_19880
ko:K02856	senv:AU39_19885
ko:K04564	senv:AU39_19910
ko:K07640	senv:AU39_19930
ko:K06006	senv:AU39_19940
ko:K13283	senv:AU39_19945
ko:K00850	senv:AU39_19950
ko:K02048	senv:AU39_19955
ko:K01521	senv:AU39_19960
ko:K05527	senv:AU39_02185
ko:K03545	senv:AU39_02190
ko:K01358	senv:AU39_02195
ko:K03544	senv:AU39_02200
ko:K01338	senv:AU39_02205
ko:K03530	senv:AU39_02210
ko:K03770	senv:AU39_02215
ko:K02237	senv:AU39_02220
ko:K12500	senv:AU39_02225
ko:K06920	senv:AU39_02230
ko:K11938	senv:AU39_02240
ko:K01738	senv:AU39_02245
ko:K05800	senv:AU39_02250
ko:K18889	senv:AU39_02255
ko:K18890	senv:AU39_02260
ko:K04752	senv:AU39_02265
ko:K03320	senv:AU39_02270
ko:K10805	senv:AU39_02275
ko:K09914	senv:AU39_02280
ko:K07443	senv:AU39_02285
ko:K02909	senv:AU39_02295
ko:K02919	senv:AU39_02300
ko:K00661	senv:AU39_02310
ko:K05839	senv:AU39_02315
ko:K19162	senv:AU39_02320
ko:K11066	senv:AU39_04345
ko:K01620	senv:AU39_04360
ko:K00156	senv:AU39_04365
ko:K11933	senv:AU39_04370
ko:K05601	senv:AU39_04375
ko:K07459	senv:AU39_04385
ko:K09824	senv:AU39_04390
ko:K13888	senv:AU39_04395
ko:K05685	senv:AU39_04400
ko:K03704	senv:AU39_04405
ko:K06891	senv:AU39_04410
ko:K03694	senv:AU39_04415
ko:K06911	senv:AU39_04440
ko:K02518	senv:AU39_04450
ko:K00684	senv:AU39_04455
ko:K16012	senv:AU39_04460
ko:K16013	senv:AU39_04465
ko:K00384	senv:AU39_04470
ko:K03719	senv:AU39_04475
ko:K14062	senv:AU39_08165
ko:K07639	senv:AU39_08175
ko:K10748	senv:AU39_08180
ko:K01679	senv:AU39_08185
ko:K01676	senv:AU39_08190
ko:K01809	senv:AU39_08195
ko:K01488	senv:AU39_08210
ko:K03617	senv:AU39_08235
ko:K03616	senv:AU39_08240
ko:K03615	senv:AU39_08245
ko:K03614	senv:AU39_08250
ko:K03612	senv:AU39_08255
ko:K03613	senv:AU39_08260
ko:K10773	senv:AU39_08265
ko:K03305	senv:AU39_08270
ko:K00799	senv:AU39_08275
ko:K00868	senv:AU39_08280
ko:K01866	senv:AU39_08285
ko:K00275	senv:AU39_08290
ko:K09001	senv:AU39_08300
ko:K06077	senv:AU39_08305
ko:K06075	senv:AU39_08310
ko:K04565	senv:AU39_08330
ko:K06938	senv:AU39_08340
ko:K16137	senv:AU39_08345
ko:K10680	senv:AU39_08350
ko:K01759	senv:AU39_08355
ko:K03683	senv:AU39_08360
ko:K07390	senv:AU39_08365
ko:K04564	senv:AU39_08375
ko:K03604	senv:AU39_08385
ko:K00574	senv:AU39_08400
ko:K00793	senv:AU39_08405
ko:K03327	senv:AU39_08410
ko:K03229	senv:AU39_08425
ko:K03228	senv:AU39_08430
ko:K03227	senv:AU39_08435
ko:K03226	senv:AU39_08440
ko:K03225	senv:AU39_08445
ko:K03977	senv:AU39_12675
ko:K17713	senv:AU39_12680
ko:K01892	senv:AU39_12690
ko:K03526	senv:AU39_12695
ko:K15539	senv:AU39_12700
ko:K06941	senv:AU39_12705
ko:K00940	senv:AU39_12710
ko:K07308	senv:AU39_12720
ko:K07307	senv:AU39_12725
ko:K07306	senv:AU39_12730
ko:K05367	senv:AU39_12735
ko:K06894	senv:AU39_12740
ko:K01011	senv:AU39_12745
ko:K07751	senv:AU39_12760
ko:K04755	senv:AU39_12770
ko:K04044	senv:AU39_12775
ko:K04082	senv:AU39_12780
ko:K13628	senv:AU39_12785
ko:K04488	senv:AU39_12790
ko:K04487	senv:AU39_12795
ko:K13643	senv:AU39_12800
ko:K15396	senv:AU39_12805
ko:K01092	senv:AU39_12810
ko:K06889	senv:AU39_12815
ko:K16951	senv:AU39_12825
ko:K00385	senv:AU39_12830
ko:K05820	senv:AU39_12850
ko:K00600	senv:AU39_12855
ko:K05916	senv:AU39_12860
ko:K03765	senv:AU39_12865
ko:K03757	senv:AU39_12870
ko:K03305	senv:AU39_12880
ko:K04751	senv:AU39_12885
ko:K07715	senv:AU39_12890
ko:K07711	senv:AU39_12900
ko:K01952	senv:AU39_12905
ko:K18691	senv:AU39_12910
ko:K11991	senv:AU39_12915
ko:K18697	senv:AU39_12920
ko:K02809	senv:AU39_12925
ko:K02810	senv:AU39_12925
ko:K07106	senv:AU39_12930
ko:K04762	senv:AU39_17150
ko:K04083	senv:AU39_17155
ko:K01610	senv:AU39_17165
ko:K07638	senv:AU39_17170
ko:K07659	senv:AU39_17175
ko:K04760	senv:AU39_17180
ko:K06959	senv:AU39_17185
ko:K04758	senv:AU39_17190
ko:K04759	senv:AU39_17195
ko:K07490	senv:AU39_17200
ko:K02170	senv:AU39_17210
ko:K07400	senv:AU39_17220
ko:K06155	senv:AU39_17225
ko:K00705	senv:AU39_17230
ko:K00688	senv:AU39_17235
ko:K03556	senv:AU39_17240
ko:K07473	senv:AU39_17250
ko:K01974	senv:AU39_17255
ko:K14415	senv:AU39_17260
ko:K14414	senv:AU39_17270
ko:K02444	senv:AU39_17275
ko:K02441	senv:AU39_17280
ko:K02439	senv:AU39_17285
ko:K00111	senv:AU39_17290
ko:K02040	senv:AU39_17300
ko:K00005	senv:AU39_17305
ko:K01687	senv:AU39_17315
ko:K00688	senv:AU39_17330
ko:K00703	senv:AU39_17335
ko:K00975	senv:AU39_17340
ko:K00700	senv:AU39_17350
ko:K00133	senv:AU39_17355
ko:K06156	senv:AU39_17360
ko:K00851	senv:AU39_17365
ko:K06145	senv:AU39_17370
ko:K06911	senv:AU39_17375
ko:K03825	senv:AU39_17390
ko:K09936	senv:AU39_17410
ko:K07048	senv:AU39_17415
ko:K00681	senv:AU39_17420
ko:K01126	senv:AU39_17430
ko:K18918	senv:AU39_21710
ko:K06218	senv:AU39_21715
ko:K01226	senv:AU39_21730
ko:K02818	senv:AU39_21735
ko:K02819	senv:AU39_21735
ko:K03485	senv:AU39_21740
ko:K01531	senv:AU39_21745
ko:K09022	senv:AU39_21755
ko:K00610	senv:AU39_21760
ko:K00609	senv:AU39_21765
ko:K00611	senv:AU39_21790
ko:K00926	senv:AU39_21795
ko:K01478	senv:AU39_21800
ko:K00611	senv:AU39_21810
ko:K09893	senv:AU39_21815
ko:K06169	senv:AU39_21820
ko:K03828	senv:AU39_21835
ko:K01873	senv:AU39_21845
ko:K02339	senv:AU39_21850
ko:K01255	senv:AU39_21855
ko:K07091	senv:AU39_21860
ko:K11720	senv:AU39_21865
ko:K06146	senv:AU39_21870
ko:K06157	senv:AU39_21875
ko:K00046	senv:AU39_21880
ko:K00098	senv:AU39_21885
ko:K00851	senv:AU39_21890
ko:K12957	senv:AU39_21895
ko:K19164	senv:AU39_21915
ko:K19163	senv:AU39_21920
ko:K02688	senv:AU39_01770
ko:K03417	senv:AU39_01775
ko:K01659	senv:AU39_01780
ko:K01720	senv:AU39_01785
ko:K01908	senv:AU39_01790
ko:K01698	senv:AU39_01795
ko:K18988	senv:AU39_01815
ko:K17938	senv:AU39_01820
ko:K01921	senv:AU39_01845
ko:K08161	senv:AU39_01855
ko:K18968	senv:AU39_01870
ko:K00286	senv:AU39_01875
ko:K09768	senv:AU39_01880
ko:K00891	senv:AU39_01885
ko:K14591	senv:AU39_01895
ko:K09913	senv:AU39_01900
ko:K03554	senv:AU39_01905
ko:K01652	senv:AU39_00580
ko:K01653	senv:AU39_00585
ko:K03435	senv:AU39_00590
ko:K03925	senv:AU39_00595
ko:K03438	senv:AU39_00600
ko:K03586	senv:AU39_00605
ko:K03587	senv:AU39_00610
ko:K01928	senv:AU39_00615
ko:K01929	senv:AU39_00620
ko:K01000	senv:AU39_00625
ko:K01925	senv:AU39_00630
ko:K03588	senv:AU39_00635
ko:K02563	senv:AU39_00640
ko:K01924	senv:AU39_00645
ko:K01921	senv:AU39_00650
ko:K03589	senv:AU39_00655
ko:K03590	senv:AU39_00660
ko:K03531	senv:AU39_00665
ko:K02535	senv:AU39_00670
ko:K13301	senv:AU39_00675
ko:K03070	senv:AU39_00680
ko:K03574	senv:AU39_00685
ko:K07644	senv:AU39_02750
ko:K11732	senv:AU39_02785
ko:K16053	senv:AU39_02790
ko:K12686	senv:AU39_02795
ko:K10679	senv:AU39_02800
ko:K18325	senv:AU39_02815
ko:K06048	senv:AU39_02825
ko:K02362	senv:AU39_02830
ko:K07214	senv:AU39_02840
ko:K02364	senv:AU39_02850
ko:K02013	senv:AU39_02860
ko:K02015	senv:AU39_02865
ko:K09857	senv:AU39_04795
ko:K13085	senv:AU39_04920
ko:K02484	senv:AU39_04940
ko:K07127	senv:AU39_04950
ko:K00484	senv:AU39_04955
ko:K00483	senv:AU39_04960
ko:K05921	senv:AU39_04970
ko:K00151	senv:AU39_04975
ko:K00455	senv:AU39_04980
ko:K01826	senv:AU39_04985
ko:K02509	senv:AU39_04990
ko:K02510	senv:AU39_04995
ko:K02511	senv:AU39_05000
ko:K02508	senv:AU39_05005
ko:K18997	senv:AU39_05015
ko:K05516	senv:AU39_05020
ko:K08344	senv:AU39_05030
ko:K02034	senv:AU39_09305
ko:K02033	senv:AU39_09310
ko:K02035	senv:AU39_09315
ko:K04080	senv:AU39_09335
ko:K07804	senv:AU39_09360
ko:K00031	senv:AU39_09390
ko:K06181	senv:AU39_09395
ko:K12152	senv:AU39_09405
ko:K00566	senv:AU39_09410
ko:K07153	senv:AU39_09415
ko:K01756	senv:AU39_09420
ko:K07660	senv:AU39_09425
ko:K07637	senv:AU39_09430
ko:K18850	senv:AU39_09435
ko:K01258	senv:AU39_09445
ko:K11072	senv:AU39_09450
ko:K11071	senv:AU39_09455
ko:K15347	senv:AU39_09460
ko:K11070	senv:AU39_09465
ko:K11069	senv:AU39_09470
ko:K12410	senv:AU39_09475
ko:K00884	senv:AU39_09480
ko:K09808	senv:AU39_09485
ko:K09810	senv:AU39_09490
ko:K09808	senv:AU39_09495
ko:K03723	senv:AU39_09500
ko:K19236	senv:AU39_09505
ko:K12151	senv:AU39_09510
ko:K03885	senv:AU39_09525
ko:K07000	senv:AU39_09530
ko:K01207	senv:AU39_09535
ko:K07251	senv:AU39_09540
ko:K00847	senv:AU39_01910
ko:K01993	senv:AU39_03950
ko:K11927	senv:AU39_03960
ko:K06970	senv:AU39_03985
ko:K10038	senv:AU39_04000
ko:K10037	senv:AU39_04005
ko:K10036	senv:AU39_04010
ko:K04047	senv:AU39_04020
ko:K11939	senv:AU39_04025
ko:K11934	senv:AU39_04030
ko:K11924	senv:AU39_04045
ko:K19235	senv:AU39_04055
ko:K03578	senv:AU39_07285
ko:K12262	senv:AU39_07295
ko:K02029	senv:AU39_07325
ko:K02028	senv:AU39_07330
ko:K02029	senv:AU39_07335
ko:K02030	senv:AU39_07340
ko:K15349	senv:AU39_07350
ko:K00121	senv:AU39_07370
ko:K05876	senv:AU39_07375
ko:K03929	senv:AU39_07390
ko:K00098	senv:AU39_07410
ko:K00046	senv:AU39_07420
ko:K08323	senv:AU39_07425
ko:K14587	senv:AU39_07440
ko:K02773	senv:AU39_07445
ko:K06971	senv:AU39_07450
ko:K02775	senv:AU39_07455
ko:K02774	senv:AU39_07460
ko:K03817	senv:AU39_07470
ko:K03304	senv:AU39_07480
ko:K16868	senv:AU39_07485
ko:K05782	senv:AU39_07495
ko:K08303	senv:AU39_07505
ko:K08641	senv:AU39_07525
ko:K00137	senv:AU39_07535
ko:K09936	senv:AU39_07570
ko:K03823	senv:AU39_07575
ko:K10013	senv:AU39_11830
ko:K03186	senv:AU39_11835
ko:K01586	senv:AU39_11855
ko:K06714	senv:AU39_11860
ko:K00764	senv:AU39_11865
ko:K03558	senv:AU39_11870
ko:K03749	senv:AU39_11880
ko:K11754	senv:AU39_11885
ko:K01963	senv:AU39_11890
ko:K03975	senv:AU39_11895
ko:K06173	senv:AU39_11900
ko:K03473	senv:AU39_11910
ko:K07052	senv:AU39_11945
ko:K00647	senv:AU39_11950
ko:K15461	senv:AU39_11955
ko:K09906	senv:AU39_11965
ko:K07090	senv:AU39_11970
ko:K07261	senv:AU39_11975
ko:K01736	senv:AU39_11980
ko:K07320	senv:AU39_11985
ko:K08296	senv:AU39_11995
ko:K01782	senv:AU39_12000
ko:K06076	senv:AU39_12015
ko:K04754	senv:AU39_12020
ko:K08477	senv:AU39_12055
ko:K08476	senv:AU39_12060
ko:K08475	senv:AU39_12065
ko:K08478	senv:AU39_12070
ko:K11382	senv:AU39_12080
ko:K12974	senv:AU39_12095
ko:K14261	senv:AU39_12100
ko:K07648	senv:AU39_16300
ko:K07139	senv:AU39_16305
ko:K00265	senv:AU39_16320
ko:K00266	senv:AU39_16325
ko:K10974	senv:AU39_16335
ko:K01485	senv:AU39_16340
ko:K00885	senv:AU39_16350
ko:K01788	senv:AU39_16355
ko:K03290	senv:AU39_16360
ko:K01639	senv:AU39_16365
ko:K03600	senv:AU39_16375
ko:K03599	senv:AU39_16380
ko:K02996	senv:AU39_16390
ko:K02871	senv:AU39_16395
ko:K06916	senv:AU39_16400
ko:K09908	senv:AU39_16405
ko:K04772	senv:AU39_16410
ko:K04691	senv:AU39_16415
ko:K01572	senv:AU39_16425
ko:K01571	senv:AU39_16430
ko:K01573	senv:AU39_16435
ko:K03780	senv:AU39_16440
ko:K03779	senv:AU39_16445
ko:K00024	senv:AU39_16465
ko:K03402	senv:AU39_16470
ko:K03623	senv:AU39_16490
ko:K03468	senv:AU39_16495
ko:K15548	senv:AU39_16500
ko:K03568	senv:AU39_16515
ko:K08301	senv:AU39_16525
ko:K06287	senv:AU39_16530
ko:K03571	senv:AU39_16535
ko:K03570	senv:AU39_16540
ko:K03569	senv:AU39_16545
ko:K18765	senv:AU39_16550
ko:K17247	senv:AU39_16565
ko:K02160	senv:AU39_16570
ko:K01961	senv:AU39_16575
ko:K14392	senv:AU39_16585
ko:K03701	senv:AU39_20835
ko:K03111	senv:AU39_20840
ko:K13631	senv:AU39_20885
ko:K13639	senv:AU39_20890
ko:K00799	senv:AU39_20895
ko:K06901	senv:AU39_20900
ko:K03316	senv:AU39_20910
ko:K06518	senv:AU39_20920
ko:K14393	senv:AU39_20930
ko:K01895	senv:AU39_20940
ko:K03385	senv:AU39_20945
ko:K04013	senv:AU39_20950
ko:K04014	senv:AU39_20955
ko:K04015	senv:AU39_20960
ko:K04016	senv:AU39_20965
ko:K04017	senv:AU39_20970
ko:K04018	senv:AU39_20975
ko:K11102	senv:AU39_20980
ko:K07126	senv:AU39_20985
ko:K09994	senv:AU39_21005
ko:K04750	senv:AU39_21010
ko:K06193	senv:AU39_21015
ko:K03762	senv:AU39_21020
ko:K07643	senv:AU39_21030
ko:K07771	senv:AU39_21035
ko:K03760	senv:AU39_21040
ko:K03759	senv:AU39_21045
ko:K03755	senv:AU39_21050
ko:K01584	senv:AU39_21055
ko:K07406	senv:AU39_21065
ko:K11104	senv:AU39_21070
ko:K01676	senv:AU39_21075
ko:K07792	senv:AU39_21080
ko:K07703	senv:AU39_21085
ko:K07701	senv:AU39_21090
ko:K07306	senv:AU39_21095
ko:K07307	senv:AU39_21100
ko:K07308	senv:AU39_21105
ko:K07337	senv:AU39_09545
ko:K02503	senv:AU39_09555
ko:K16088	senv:AU39_09560
ko:K02778	senv:AU39_09565
ko:K02779	senv:AU39_09565
ko:K03424	senv:AU39_09570
ko:K02341	senv:AU39_09575
ko:K03221	senv:AU39_13795
ko:K13740	senv:AU39_13820
ko:K02078	senv:AU39_13835
ko:K13284	senv:AU39_13840
ko:K13287	senv:AU39_13845
ko:K13286	senv:AU39_13850
ko:K13285	senv:AU39_13855
ko:K03225	senv:AU39_13885
ko:K03230	senv:AU39_13910
ko:K07314	senv:AU39_13950
ko:K03555	senv:AU39_13970
ko:K03186	senv:AU39_14030
ko:K03087	senv:AU39_14045
ko:K06194	senv:AU39_14050
ko:K03279	senv:AU39_18270
ko:K03278	senv:AU39_18275
ko:K02840	senv:AU39_18280
ko:K02848	senv:AU39_18290
ko:K02844	senv:AU39_18295
ko:K02849	senv:AU39_18300
ko:K02527	senv:AU39_18305
ko:K00954	senv:AU39_18310
ko:K10563	senv:AU39_18315
ko:K02913	senv:AU39_18320
ko:K02902	senv:AU39_18325
ko:K03630	senv:AU39_18330
ko:K13038	senv:AU39_18335
ko:K05501	senv:AU39_18345
ko:K00762	senv:AU39_18350
ko:K00989	senv:AU39_18355
ko:K17837	senv:AU39_18370
ko:K01972	senv:AU39_18380
ko:K00942	senv:AU39_18385
ko:K03060	senv:AU39_18390
ko:K00556	senv:AU39_18400
ko:K03655	senv:AU39_18405
ko:K03312	senv:AU39_18410
ko:K16345	senv:AU39_18415
ko:K01811	senv:AU39_18425
ko:K03292	senv:AU39_18430
ko:K12678	senv:AU39_18470
ko:K01531	senv:AU39_18500
ko:K07507	senv:AU39_18505
ko:K17463	senv:AU39_18520
ko:K17468	senv:AU39_18525
ko:K17467	senv:AU39_18530
ko:K17466	senv:AU39_18535
ko:K17465	senv:AU39_18540
ko:K17464	senv:AU39_18545
ko:K07804	senv:AU39_22930
ko:K07491	senv:AU39_23185
ko:K01571	senv:AU39_23195
ko:K01573	senv:AU39_23200
ko:K03469	senv:AU39_01340
ko:K02342	senv:AU39_01345
ko:K11902	senv:AU39_01355
ko:K11895	senv:AU39_01360
ko:K11904	senv:AU39_01375
ko:K19048	senv:AU39_01390
ko:K19048	senv:AU39_01415
ko:K07347	senv:AU39_01440
ko:K01902	senv:AU39_03550
ko:K00425	senv:AU39_03565
ko:K00426	senv:AU39_03570
ko:K07107	senv:AU39_03585
ko:K03562	senv:AU39_03590
ko:K03560	senv:AU39_03595
ko:K03646	senv:AU39_03600
ko:K03641	senv:AU39_03605
ko:K03640	senv:AU39_03610
ko:K03517	senv:AU39_03645
ko:K03811	senv:AU39_03650
ko:K16264	senv:AU39_03655
ko:K01626	senv:AU39_03665
ko:K01678	senv:AU39_03670
ko:K01677	senv:AU39_03675
ko:K00426	senv:AU39_06385
ko:K00425	senv:AU39_06390
ko:K03618	senv:AU39_06395
ko:K03619	senv:AU39_06400
ko:K03605	senv:AU39_06405
ko:K03620	senv:AU39_06410
ko:K06281	senv:AU39_06415
ko:K06282	senv:AU39_06420
ko:K06942	senv:AU39_06435
ko:K01056	senv:AU39_06440
ko:K03321	senv:AU39_06450
ko:K00948	senv:AU39_06455
ko:K00919	senv:AU39_06460
ko:K02494	senv:AU39_06465
ko:K02492	senv:AU39_06470
ko:K02835	senv:AU39_06475
ko:K02493	senv:AU39_06480
ko:K01627	senv:AU39_06495
ko:K07300	senv:AU39_06500
ko:K06039	senv:AU39_06510
ko:K07684	senv:AU39_06520
ko:K07673	senv:AU39_06525
ko:K02575	senv:AU39_06530
ko:K00370	senv:AU39_06535
ko:K00371	senv:AU39_06540
ko:K00373	senv:AU39_06545
ko:K00374	senv:AU39_06550
ko:K07126	senv:AU39_06560
ko:K01433	senv:AU39_06590
ko:K09858	senv:AU39_06595
ko:K07001	senv:AU39_06600
ko:K00963	senv:AU39_06610
ko:K03746	senv:AU39_06615
ko:K04072	senv:AU39_06625
ko:K15580	senv:AU39_06635
ko:K15581	senv:AU39_06640
ko:K15582	senv:AU39_06645
ko:K15583	senv:AU39_06650
ko:K10823	senv:AU39_06655
ko:K10716	senv:AU39_06660
ko:K09901	senv:AU39_06665
ko:K06131	senv:AU39_06670
ko:K00450	senv:AU39_10985
ko:K08195	senv:AU39_10990
ko:K06518	senv:AU39_11000
ko:K01489	senv:AU39_11010
ko:K03748	senv:AU39_11015
ko:K17722	senv:AU39_11025
ko:K17723	senv:AU39_11030
ko:K10541	senv:AU39_11035
ko:K10542	senv:AU39_11040
ko:K10540	senv:AU39_11045
ko:K02529	senv:AU39_11050
ko:K07148	senv:AU39_11055
ko:K01495	senv:AU39_11060
ko:K01070	senv:AU39_11065
ko:K01752	senv:AU39_11075
ko:K07783	senv:AU39_11085
ko:K16089	senv:AU39_11090
ko:K11733	senv:AU39_11095
ko:K01151	senv:AU39_11110
ko:K02769	senv:AU39_11115
ko:K02770	senv:AU39_11115
ko:K00882	senv:AU39_11120
ko:K02768	senv:AU39_11125
ko:K11183	senv:AU39_11125
ko:K03291	senv:AU39_11135
ko:K06940	senv:AU39_11145
ko:K02356	senv:AU39_11150
ko:K13694	senv:AU39_11165
ko:K13893	senv:AU39_11175
ko:K13894	senv:AU39_11180
ko:K13895	senv:AU39_11185
ko:K13896	senv:AU39_11190
ko:K07552	senv:AU39_11200
ko:K06183	senv:AU39_11205
ko:K02897	senv:AU39_11215
ko:K06899	senv:AU39_11225
ko:K09904	senv:AU39_11230
ko:K07014	senv:AU39_11235
ko:K15353	senv:AU39_11250
ko:K02858	senv:AU39_15460
ko:K09806	senv:AU39_15465
ko:K03272	senv:AU39_15485
ko:K00982	senv:AU39_15490
ko:K18446	senv:AU39_15495
ko:K07184	senv:AU39_15500
ko:K00974	senv:AU39_15505
ko:K06153	senv:AU39_15510
ko:K01633	senv:AU39_15515
ko:K08591	senv:AU39_15520
ko:K01409	senv:AU39_15530
ko:K02970	senv:AU39_15535
ko:K03086	senv:AU39_15545
ko:K03649	senv:AU39_15550
ko:K00847	senv:AU39_19970
ko:K11216	senv:AU39_20000
ko:K11531	senv:AU39_20005
ko:K10558	senv:AU39_20010
ko:K10556	senv:AU39_20015
ko:K10557	senv:AU39_20020
ko:K10555	senv:AU39_20025
ko:K08321	senv:AU39_20030
ko:K11530	senv:AU39_20035
ko:K01783	senv:AU39_20040
ko:K01803	senv:AU39_20045
ko:K00528	senv:AU39_20060
ko:K02446	senv:AU39_20065
ko:K00864	senv:AU39_20070
ko:K02440	senv:AU39_20075
ko:K09892	senv:AU39_20080
ko:K02553	senv:AU39_20085
ko:K02548	senv:AU39_20090
ko:K03667	senv:AU39_20095
ko:K01419	senv:AU39_20100
ko:K03591	senv:AU39_20105
ko:K05499	senv:AU39_20110
ko:K04066	senv:AU39_20115
ko:K02909	senv:AU39_20120
ko:K03764	senv:AU39_20135
ko:K01739	senv:AU39_20140
ko:K12525	senv:AU39_20145
ko:K00600	senv:AU39_20175
ko:K01775	senv:AU39_20180
ko:K00375	senv:AU39_20185
ko:K00297	senv:AU39_20200
ko:K03782	senv:AU39_20205
ko:K09974	senv:AU39_20210
ko:K00005	senv:AU39_20215
ko:K08314	senv:AU39_20220
ko:K08483	senv:AU39_20225
ko:K11189	senv:AU39_20225
ko:K11201	senv:AU39_20225
ko:K11203	senv:AU39_20230
ko:K11202	senv:AU39_20235
ko:K00656	senv:AU39_20240
ko:K04069	senv:AU39_20245
ko:K11202	senv:AU39_20250
ko:K01955	senv:AU39_00330
ko:K08277	senv:AU39_00335
ko:K08279	senv:AU39_00340
ko:K08299	senv:AU39_00345
ko:K02182	senv:AU39_00350
ko:K08298	senv:AU39_00355
ko:K08297	senv:AU39_00360
ko:K05245	senv:AU39_00365
ko:K03521	senv:AU39_00375
ko:K03522	senv:AU39_00380
ko:K00313	senv:AU39_00385
ko:K03855	senv:AU39_00390
ko:K08368	senv:AU39_00395
ko:K11746	senv:AU39_00425
ko:K01525	senv:AU39_00440
ko:K06195	senv:AU39_00445
ko:K18138	senv:AU39_02325
ko:K03585	senv:AU39_02330
ko:K03577	senv:AU39_02335
ko:K05802	senv:AU39_02340
ko:K04067	senv:AU39_02355
ko:K09790	senv:AU39_02360
ko:K00759	senv:AU39_02365
ko:K02343	senv:AU39_02370
ko:K09747	senv:AU39_02375
ko:K06187	senv:AU39_02380
ko:K04079	senv:AU39_02385
ko:K00939	senv:AU39_02390
ko:K01772	senv:AU39_02395
ko:K00892	senv:AU39_02405
ko:K03455	senv:AU39_02410
ko:K08223	senv:AU39_02420
ko:K03976	senv:AU39_02430
ko:K09973	senv:AU39_02435
ko:K17686	senv:AU39_02445
ko:K07340	senv:AU39_02455
ko:K02068	senv:AU39_02465
ko:K03466	senv:AU39_04480
ko:K03634	senv:AU39_04485
ko:K07478	senv:AU39_04490
ko:K01875	senv:AU39_04495
ko:K07306	senv:AU39_04500
ko:K07307	senv:AU39_04505
ko:K07308	senv:AU39_04510
ko:K08219	senv:AU39_04515
ko:K04069	senv:AU39_04525
ko:K00656	senv:AU39_04540
ko:K06212	senv:AU39_04545
ko:K09136	senv:AU39_04550
ko:K00831	senv:AU39_04560
ko:K06206	senv:AU39_00955
ko:K01975	senv:AU39_00960
ko:K03579	senv:AU39_00965
ko:K05365	senv:AU39_00970
