ko:K03741	fpw:IA04_07650
ko:K01887	fpw:IA04_07120
ko:K00648	fpw:IA04_07140
ko:K07090	fpw:IA04_07145
ko:K04079	fpw:IA04_07180
ko:K02477	fpw:IA04_07215
ko:K03570	fpw:IA04_11880
ko:K05515	fpw:IA04_11890
ko:K05837	fpw:IA04_11895
ko:K01173	fpw:IA04_11900
ko:K01880	fpw:IA04_11935
ko:K03770	fpw:IA04_11940
ko:K03525	fpw:IA04_11960
ko:K04096	fpw:IA04_11975
ko:K00973	fpw:IA04_12035
ko:K02014	fpw:IA04_12070
ko:K02115	fpw:IA04_12075
ko:K02111	fpw:IA04_12080
ko:K02113	fpw:IA04_12085
ko:K02109	fpw:IA04_12090
ko:K02110	fpw:IA04_12095
ko:K02108	fpw:IA04_12100
ko:K02613	fpw:IA04_12130
ko:K00761	fpw:IA04_12145
ko:K01945	fpw:IA04_12160
ko:K01912	fpw:IA04_12165
ko:K02361	fpw:IA04_03200
ko:K00762	fpw:IA04_03225
ko:K01992	fpw:IA04_03250
ko:K01990	fpw:IA04_03255
ko:K03686	fpw:IA04_03260
ko:K03687	fpw:IA04_03265
ko:K07071	fpw:IA04_03270
ko:K09940	fpw:IA04_03280
ko:K10947	fpw:IA04_03285
ko:K01555	fpw:IA04_03310
ko:K00600	fpw:IA04_03315
ko:K00615	fpw:IA04_03325
ko:K00615	fpw:IA04_03330
ko:K01933	fpw:IA04_03340
ko:K01952	fpw:IA04_03395
ko:K03500	fpw:IA04_03405
ko:K00382	fpw:IA04_03450
ko:K04487	fpw:IA04_03460
ko:K07095	fpw:IA04_03465
ko:K07504	fpw:IA04_03485
ko:K03628	fpw:IA04_03510
ko:K09861	fpw:IA04_03515
ko:K01873	fpw:IA04_08160
ko:K01479	fpw:IA04_08170
ko:K11927	fpw:IA04_08175
ko:K03744	fpw:IA04_08180
ko:K00275	fpw:IA04_08190
ko:K00784	fpw:IA04_08195
ko:K00318	fpw:IA04_08200
ko:K01735	fpw:IA04_08205
ko:K01585	fpw:IA04_08215
ko:K00809	fpw:IA04_08220
ko:K11537	fpw:IA04_08230
ko:K00945	fpw:IA04_08235
ko:K01338	fpw:IA04_08245
ko:K06902	fpw:IA04_08250
ko:K07305	fpw:IA04_08265
ko:K07305	fpw:IA04_08270
ko:K01897	fpw:IA04_08275
ko:K00681	fpw:IA04_08280
ko:K07516	fpw:IA04_08290
ko:K03386	fpw:IA04_08320
ko:K03782	fpw:IA04_08325
ko:K01761	fpw:IA04_08340
ko:K03719	fpw:IA04_08345
ko:K00382	fpw:IA04_08350
ko:K04565	fpw:IA04_08355
ko:K04761	fpw:IA04_08365
ko:K00826	fpw:IA04_08380
ko:K03424	fpw:IA04_08405
ko:K09164	fpw:IA04_08410
ko:K07447	fpw:IA04_08430
ko:K00116	fpw:IA04_08435
ko:K01462	fpw:IA04_08440
ko:K02428	fpw:IA04_08450
ko:K07017	fpw:IA04_08455
ko:K01902	fpw:IA04_04480
ko:K02536	fpw:IA04_04490
ko:K02356	fpw:IA04_04495
ko:K00677	fpw:IA04_04500
ko:K16363	fpw:IA04_04505
ko:K02536	fpw:IA04_04510
ko:K06885	fpw:IA04_04515
ko:K00979	fpw:IA04_04525
ko:K10254	fpw:IA04_04595
ko:K00074	fpw:IA04_04600
ko:K10254	fpw:IA04_04605
ko:K03306	fpw:IA04_04615
ko:K07220	fpw:IA04_04620
ko:K06910	fpw:IA04_04645
ko:K01256	fpw:IA04_04655
ko:K03655	fpw:IA04_04665
ko:K01669	fpw:IA04_04685
ko:K08303	fpw:IA04_04760
ko:K11381	fpw:IA04_04765
ko:K03113	fpw:IA04_04780
ko:K11942	fpw:IA04_09425
ko:K01872	fpw:IA04_09430
ko:K03744	fpw:IA04_09445
ko:K06872	fpw:IA04_09455
ko:K06147	fpw:IA04_09480
ko:K00500	fpw:IA04_09505
ko:K01712	fpw:IA04_09520
ko:K03977	fpw:IA04_09545
ko:K06158	fpw:IA04_09575
ko:K03168	fpw:IA04_09635
ko:K06168	fpw:IA04_09655
ko:K03075	fpw:IA04_09675
ko:K04078	fpw:IA04_09680
ko:K04077	fpw:IA04_09690
ko:K02914	fpw:IA04_09700
ko:K01955	fpw:IA04_09705
ko:K08715	fpw:IA04_09710
ko:K09760	fpw:IA04_09725
ko:K06181	fpw:IA04_09730
ko:K00339	fpw:IA04_10855
ko:K00338	fpw:IA04_10860
ko:K00337	fpw:IA04_10865
ko:K00335	fpw:IA04_10880
ko:K00334	fpw:IA04_10885
ko:K00333	fpw:IA04_10890
ko:K00332	fpw:IA04_10895
ko:K00331	fpw:IA04_10900
ko:K00330	fpw:IA04_10905
ko:K06894	fpw:IA04_10915
ko:K05367	fpw:IA04_10920
ko:K00452	fpw:IA04_10925
ko:K03596	fpw:IA04_10960
ko:K03565	fpw:IA04_10965
ko:K00655	fpw:IA04_10985
ko:K01870	fpw:IA04_00975
ko:K03101	fpw:IA04_00985
ko:K01934	fpw:IA04_00990
ko:K06987	fpw:IA04_00995
ko:K03703	fpw:IA04_01000
ko:K07001	fpw:IA04_01005
ko:K03294	fpw:IA04_01010
ko:K00451	fpw:IA04_01015
ko:K00457	fpw:IA04_01020
ko:K00453	fpw:IA04_01030
ko:K01056	fpw:IA04_01040
ko:K11753	fpw:IA04_01055
ko:K01012	fpw:IA04_01060
ko:K05606	fpw:IA04_01075
ko:K02834	fpw:IA04_01080
ko:K09808	fpw:IA04_01085
ko:K07568	fpw:IA04_01090
ko:K00800	fpw:IA04_01095
ko:K07461	fpw:IA04_01105
ko:K07560	fpw:IA04_01130
ko:K06949	fpw:IA04_01135
ko:K04516	fpw:IA04_01140
ko:K04518	fpw:IA04_01150
ko:K01990	fpw:IA04_01155
ko:K00789	fpw:IA04_01195
ko:K03584	fpw:IA04_01200
ko:K00262	fpw:IA04_01210
ko:K01876	fpw:IA04_01235
ko:K03704	fpw:IA04_01240
ko:K11991	fpw:IA04_01245
ko:K01662	fpw:IA04_01255
ko:K01129	fpw:IA04_01275
ko:K00648	fpw:IA04_06045
ko:K00648	fpw:IA04_06055
ko:K01791	fpw:IA04_06070
ko:K19068	fpw:IA04_06075
ko:K17716	fpw:IA04_06085
ko:K00973	fpw:IA04_06110
ko:K00012	fpw:IA04_06120
ko:K02474	fpw:IA04_06125
ko:K02473	fpw:IA04_06130
ko:K01991	fpw:IA04_06140
ko:K06187	fpw:IA04_06145
ko:K06929	fpw:IA04_06155
ko:K01647	fpw:IA04_06180
ko:K01689	fpw:IA04_06190
ko:K01956	fpw:IA04_06200
ko:K02879	fpw:IA04_06205
ko:K03040	fpw:IA04_06210
ko:K02986	fpw:IA04_06215
ko:K02948	fpw:IA04_06220
ko:K02952	fpw:IA04_06225
ko:K02919	fpw:IA04_06230
ko:K02518	fpw:IA04_06235
ko:K03076	fpw:IA04_06240
ko:K02876	fpw:IA04_06245
ko:K02907	fpw:IA04_06250
ko:K02988	fpw:IA04_06255
ko:K02881	fpw:IA04_06260
ko:K02933	fpw:IA04_06265
ko:K02994	fpw:IA04_06270
ko:K02954	fpw:IA04_06275
ko:K02931	fpw:IA04_06280
ko:K02895	fpw:IA04_06285
ko:K02874	fpw:IA04_06290
ko:K02961	fpw:IA04_06295
ko:K02904	fpw:IA04_06300
ko:K02878	fpw:IA04_06305
ko:K02982	fpw:IA04_06310
ko:K02890	fpw:IA04_06315
ko:K02965	fpw:IA04_06320
ko:K01867	fpw:IA04_10990
ko:K01737	fpw:IA04_10995
ko:K03092	fpw:IA04_11000
ko:K01893	fpw:IA04_11005
ko:K07003	fpw:IA04_11010
ko:K01912	fpw:IA04_11020
ko:K02372	fpw:IA04_11050
ko:K02078	fpw:IA04_11090
ko:K00647	fpw:IA04_11100
ko:K07107	fpw:IA04_11105
ko:K01992	fpw:IA04_11110
ko:K00648	fpw:IA04_11150
ko:K02078	fpw:IA04_11170
ko:K00647	fpw:IA04_11175
ko:K00059	fpw:IA04_11180
ko:K01745	fpw:IA04_11190
ko:K03424	fpw:IA04_11200
ko:K01424	fpw:IA04_11210
ko:K02666	fpw:IA04_11255
ko:K02652	fpw:IA04_11260
ko:K00798	fpw:IA04_02835
ko:K00336	fpw:IA04_10870
ko:K19302	fpw:IA04_10195
ko:K01990	fpw:IA04_07955
ko:K01990	fpw:IA04_11115
ko:K01992	fpw:IA04_01340
ko:K19294	fpw:IA04_06685
ko:K06867	fpw:IA04_07025
ko:K06881	fpw:IA04_09185
ko:K09691	fpw:IA04_05985
ko:K09690	fpw:IA04_05990
ko:K01980	fpw:IA04_07225
ko:K14225	fpw:IA04_10445
ko:K14227	fpw:IA04_07235
ko:K14237	fpw:IA04_02610
ko:K14237	fpw:IA04_04980
ko:K14219	fpw:IA04_03790
ko:K10206	fpw:IA04_01145
ko:K05770	fpw:IA04_01420
ko:K01985	fpw:IA04_07220
ko:K14230	fpw:IA04_09555
ko:K14230	fpw:IA04_09560
ko:K01977	fpw:IA04_07240
ko:K14228	fpw:IA04_00675
ko:K14228	fpw:IA04_00680
ko:K14228	fpw:IA04_01865
ko:K14228	fpw:IA04_06855
ko:K14220	fpw:IA04_00335
ko:K14230	fpw:IA04_01070
ko:K14230	fpw:IA04_09785
ko:K14223	fpw:IA04_01360
ko:K14225	fpw:IA04_01870
ko:K14218	fpw:IA04_07230
ko:K14218	fpw:IA04_11790
ko:K14226	fpw:IA04_03180
ko:K14219	fpw:IA04_03385
ko:K14219	fpw:IA04_10030
ko:K14233	fpw:IA04_03780
ko:K14233	fpw:IA04_07595
ko:K14233	fpw:IA04_11215
ko:K14232	fpw:IA04_03785
ko:K14232	fpw:IA04_05195
ko:K14236	fpw:IA04_04255
ko:K14236	fpw:IA04_05560
ko:K14235	fpw:IA04_05545
ko:K14234	fpw:IA04_05555
ko:K14234	fpw:IA04_05565
ko:K14234	fpw:IA04_08610
ko:K14224	fpw:IA04_06610
ko:K14224	fpw:IA04_06615
ko:K14229	fpw:IA04_06845
ko:K14229	fpw:IA04_06850
ko:K14231	fpw:IA04_11965
ko:K14222	fpw:IA04_12265
ko:K01978	fpw:IA04_12385
ko:K20534	fpw:IA04_07825
ko:K18890	fpw:IA04_06745
ko:K18889	fpw:IA04_02570
ko:K20866	fpw:IA04_09900
ko:K08968	fpw:IA04_09955
ko:K00632	fpw:IA04_08300
ko:K02314	fpw:IA04_02990
ko:K00558	fpw:IA04_03605
ko:K00558	fpw:IA04_03920
ko:K00857	fpw:IA04_04945
ko:K06217	fpw:IA04_05030
ko:K02316	fpw:IA04_10145
ko:K07313	fpw:IA04_00625
ko:K00558	fpw:IA04_10515
ko:K03553	fpw:IA04_10980
ko:K14623	fpw:IA04_01120
ko:K00558	fpw:IA04_11125
ko:K00287	fpw:IA04_01525
ko:K00560	fpw:IA04_01550
ko:K01493	fpw:IA04_02230
ko:K01520	fpw:IA04_12040
ko:K02335	fpw:IA04_01320
ko:K00525	fpw:IA04_02195
ko:K02481	fpw:IA04_08135
ko:K00526	fpw:IA04_02200
ko:K21470	fpw:IA04_10455
ko:K01420	fpw:IA04_04250
ko:K10026	fpw:IA04_10735
ko:K00754	fpw:IA04_03735
ko:K01463	fpw:IA04_03185
ko:K17758	fpw:IA04_03810
ko:K22132	fpw:IA04_08400
ko:K22136	fpw:IA04_06660
ko:K03595	fpw:IA04_09550
ko:K08994	fpw:IA04_03015
ko:K22252	fpw:IA04_07865
ko:K02257	fpw:IA04_10320
ko:K01505	fpw:IA04_05665
ko:K22491	fpw:IA04_06865
ko:K09516	fpw:IA04_11160
