ko:K07591	eok:G2583_3841
ko:K02415	eok:G2583_2395
ko:K02416	eok:G2583_2396
ko:K02417	eok:G2583_2397
ko:K02418	eok:G2583_2398
ko:K02419	eok:G2583_2399
ko:K02420	eok:G2583_2400
ko:K02421	eok:G2583_2401
ko:K07781	eok:G2583_2402
ko:K07026	eok:G2583_2406
ko:K09781	eok:G2583_2409
ko:K07458	eok:G2583_2411
ko:K01867	eok:G2583_4081
ko:K01091	eok:G2583_4082
ko:K01783	eok:G2583_4083
ko:K03112	eok:G2583_4085
ko:K02063	eok:G2583_0070
ko:K02064	eok:G2583_0071
ko:K11925	eok:G2583_0073
ko:K01704	eok:G2583_0075
ko:K01703	eok:G2583_0076
ko:K00052	eok:G2583_0077
ko:K01649	eok:G2583_0078
ko:K05798	eok:G2583_0080
ko:K01652	eok:G2583_0081
ko:K01653	eok:G2583_0082
ko:K03435	eok:G2583_0084
ko:K03925	eok:G2583_0085
ko:K03438	eok:G2583_0086
ko:K03586	eok:G2583_0087
ko:K03587	eok:G2583_0088
ko:K01928	eok:G2583_0089
ko:K01929	eok:G2583_0090
ko:K01000	eok:G2583_0091
ko:K01925	eok:G2583_0092
ko:K03588	eok:G2583_0093
ko:K02563	eok:G2583_0094
ko:K01924	eok:G2583_0095
ko:K01921	eok:G2583_0096
ko:K03589	eok:G2583_0097
ko:K03590	eok:G2583_0098
ko:K03531	eok:G2583_0099
ko:K02535	eok:G2583_0100
ko:K13301	eok:G2583_0101
ko:K03070	eok:G2583_0102
ko:K09862	eok:G2583_0105
ko:K00859	eok:G2583_0107
ko:K00364	eok:G2583_0108
ko:K02505	eok:G2583_0110
ko:K02682	eok:G2583_0112
ko:K00767	eok:G2583_0113
ko:K03806	eok:G2583_0114
ko:K03807	eok:G2583_0115
ko:K11734	eok:G2583_0116
ko:K00163	eok:G2583_0118
ko:K00627	eok:G2583_0119
ko:K00382	eok:G2583_0120
ko:K00833	eok:G2583_1002
ko:K01012	eok:G2583_1003
ko:K02169	eok:G2583_1005
ko:K01935	eok:G2583_1006
ko:K03702	eok:G2583_1007
ko:K03639	eok:G2583_1009
ko:K03638	eok:G2583_1010
ko:K03637	eok:G2583_1011
ko:K03636	eok:G2583_1012
ko:K06950	eok:G2583_2413
ko:K05523	eok:G2583_2417
ko:K07127	eok:G2583_2420
ko:K11735	eok:G2583_3309
ko:K00375	eok:G2583_3319
ko:K06156	eok:G2583_4138
ko:K06145	eok:G2583_4140
ko:K06911	eok:G2583_4141
ko:K01126	eok:G2583_4149
ko:K05813	eok:G2583_4153
ko:K01996	eok:G2583_4155
ko:K01995	eok:G2583_4156
ko:K01998	eok:G2583_4157
ko:K01997	eok:G2583_4158
ko:K01999	eok:G2583_4159
ko:K01999	eok:G2583_4163
ko:K03089	eok:G2583_4164
ko:K09811	eok:G2583_4165
ko:K09812	eok:G2583_4166
ko:K03110	eok:G2583_4167
ko:K08993	eok:G2583_4169
ko:K09125	eok:G2583_4174
ko:K02078	eok:G2583_4182
ko:K02622	eok:G2583_3756
ko:K07000	eok:G2583_3757
ko:K03651	eok:G2583_3758
ko:K09920	eok:G2583_3759
ko:K07238	eok:G2583_3766
ko:K03272	eok:G2583_3776
ko:K00982	eok:G2583_3777
ko:K07184	eok:G2583_3779
ko:K06153	eok:G2583_3781
ko:K01633	eok:G2583_3782
ko:K08591	eok:G2583_3783
ko:K03780	eok:G2583_3786
ko:K11106	eok:G2583_3787
ko:K02970	eok:G2583_3789
ko:K03086	eok:G2583_3791
ko:K06878	eok:G2583_3798
ko:K12113	eok:G2583_3799
ko:K12111	eok:G2583_3800
ko:K12112	eok:G2583_3801
ko:K03931	eok:G2583_3804
ko:K07043	eok:G2583_3809
ko:K05834	eok:G2583_4624
ko:K03576	eok:G2583_4628
ko:K00549	eok:G2583_4629
ko:K01061	eok:G2583_4630
ko:K00757	eok:G2583_4631
ko:K09760	eok:G2583_4632
ko:K03183	eok:G2583_4633
ko:K03690	eok:G2583_4634
ko:K03688	eok:G2583_4635
ko:K03116	eok:G2583_4636
ko:K03117	eok:G2583_4637
ko:K03118	eok:G2583_4638
ko:K03424	eok:G2583_4639
ko:K03182	eok:G2583_4641
ko:K05368	eok:G2583_4642
ko:K01825	eok:G2583_4644
ko:K03753	eok:G2583_4654
ko:K03752	eok:G2583_4655
ko:K09896	eok:G2583_4656
ko:K03673	eok:G2583_4658
ko:K03978	eok:G2583_4664
ko:K09894	eok:G2583_4666
ko:K07712	eok:G2583_4668
ko:K07708	eok:G2583_4669
ko:K01915	eok:G2583_4670
ko:K06207	eok:G2583_4671
ko:K04771	eok:G2583_0165
ko:K05810	eok:G2583_3176
ko:K06180	eok:G2583_3177
ko:K05807	eok:G2583_3178
ko:K05809	eok:G2583_3180
ko:K01626	eok:G2583_3183
ko:K02884	eok:G2583_3188
ko:K00554	eok:G2583_3189
ko:K02860	eok:G2583_3190
ko:K02959	eok:G2583_3191
ko:K03106	eok:G2583_3192
ko:K03687	eok:G2583_3195
ko:K00858	eok:G2583_3196
ko:K03631	eok:G2583_3197
ko:K06186	eok:G2583_3198
ko:K09801	eok:G2583_3199
ko:K03664	eok:G2583_3201
ko:K02895	eok:G2583_4027
ko:K02874	eok:G2583_4028
ko:K02961	eok:G2583_4029
ko:K02904	eok:G2583_4030
ko:K02878	eok:G2583_4031
ko:K02982	eok:G2583_4032
ko:K02890	eok:G2583_4033
ko:K02965	eok:G2583_4034
ko:K02886	eok:G2583_4035
ko:K02892	eok:G2583_4036
ko:K02926	eok:G2583_4037
ko:K02906	eok:G2583_4038
ko:K02946	eok:G2583_4039
ko:K03594	eok:G2583_4042
ko:K02192	eok:G2583_4043
ko:K02358	eok:G2583_4044
ko:K02355	eok:G2583_4045
ko:K02992	eok:G2583_4046
ko:K02950	eok:G2583_4047
ko:K07237	eok:G2583_4048
ko:K07236	eok:G2583_4049
ko:K07235	eok:G2583_4050
ko:K03745	eok:G2583_4053
ko:K03775	eok:G2583_4054
ko:K07070	eok:G2583_4055
ko:K06158	eok:G2583_4058
ko:K00855	eok:G2583_4061
ko:K07397	eok:G2583_4062
ko:K04095	eok:G2583_4067
ko:K06141	eok:G2583_4070
ko:K00362	eok:G2583_4071
ko:K00363	eok:G2583_4072
ko:K02598	eok:G2583_4073
ko:K02302	eok:G2583_4074
ko:K04016	eok:G2583_4899
ko:K11102	eok:G2583_4902
ko:K01624	eok:G2583_4912
ko:K09988	eok:G2583_4913
ko:K10441	eok:G2583_4916
ko:K06167	eok:G2583_4919
ko:K09994	eok:G2583_4920
ko:K05774	eok:G2583_4921
ko:K06162	eok:G2583_4922
ko:K05780	eok:G2583_4923
ko:K05781	eok:G2583_4924
ko:K06163	eok:G2583_4925
ko:K06164	eok:G2583_4926
ko:K06165	eok:G2583_4927
ko:K06166	eok:G2583_4928
ko:K02043	eok:G2583_4929
ko:K02042	eok:G2583_4930
ko:K02044	eok:G2583_4931
ko:K02041	eok:G2583_4932
ko:K06193	eok:G2583_4934
ko:K07643	eok:G2583_4938
ko:K03760	eok:G2583_4940
ko:K03759	eok:G2583_4941
ko:K03755	eok:G2583_4942
ko:K01584	eok:G2583_4943
ko:K07406	eok:G2583_4945
ko:K08984	eok:G2583_4947
ko:K01676	eok:G2583_4948
ko:K01735	eok:G2583_4086
ko:K00891	eok:G2583_4087
ko:K02507	eok:G2583_4088
ko:K12289	eok:G2583_4090
ko:K12288	eok:G2583_4091
ko:K05366	eok:G2583_4092
ko:K08312	eok:G2583_4093
ko:K04762	eok:G2583_4096
ko:K04083	eok:G2583_4097
ko:K01610	eok:G2583_4100
ko:K07638	eok:G2583_4101
ko:K07659	eok:G2583_4102
ko:K04760	eok:G2583_4103
ko:K06959	eok:G2583_4104
ko:K04758	eok:G2583_4105
ko:K04759	eok:G2583_4106
ko:K07490	eok:G2583_4107
ko:K02170	eok:G2583_4109
ko:K07400	eok:G2583_4111
ko:K06155	eok:G2583_4112
ko:K00705	eok:G2583_4113
ko:K00688	eok:G2583_4114
ko:K03556	eok:G2583_4115
ko:K02444	eok:G2583_4122
ko:K02439	eok:G2583_4124
ko:K00111	eok:G2583_4125
ko:K02040	eok:G2583_4127
ko:K02040	eok:G2583_4128
ko:K00688	eok:G2583_4129
ko:K00703	eok:G2583_4130
ko:K00975	eok:G2583_4131
ko:K00133	eok:G2583_4134
ko:K07703	eok:G2583_4950
ko:K07701	eok:G2583_4951
ko:K06975	eok:G2583_4953
ko:K04567	eok:G2583_4956
ko:K03305	eok:G2583_4957
ko:K03765	eok:G2583_4960
ko:K04084	eok:G2583_4963
ko:K03926	eok:G2583_4964
ko:K01744	eok:G2583_4966
ko:K07113	eok:G2583_4967
ko:K04078	eok:G2583_4969
ko:K04077	eok:G2583_4970
ko:K02356	eok:G2583_4974
ko:K03098	eok:G2583_4978
ko:K00246	eok:G2583_4981
ko:K04568	eok:G2583_4984
ko:K01613	eok:G2583_4987
ko:K06949	eok:G2583_4988
ko:K13288	eok:G2583_4989
ko:K06925	eok:G2583_4995
ko:K01448	eok:G2583_4996
ko:K03572	eok:G2583_4997
ko:K00791	eok:G2583_4998
ko:K03666	eok:G2583_4999
ko:K03665	eok:G2583_5000
ko:K04088	eok:G2583_5001
ko:K04087	eok:G2583_5002
ko:K09937	eok:G2583_5003
ko:K01939	eok:G2583_5004
ko:K03577	eok:G2583_0576
ko:K05802	eok:G2583_0577
ko:K09790	eok:G2583_0580
ko:K00759	eok:G2583_0581
ko:K02343	eok:G2583_0582
ko:K09747	eok:G2583_0583
ko:K06187	eok:G2583_0584
ko:K04079	eok:G2583_0585
ko:K01772	eok:G2583_0587
ko:K10972	eok:G2583_0624
ko:K01483	eok:G2583_0625
ko:K10973	eok:G2583_0626
ko:K01608	eok:G2583_0627
ko:K10975	eok:G2583_0631
ko:K00865	eok:G2583_0634
ko:K00926	eok:G2583_0641
ko:K01589	eok:G2583_0642
ko:K01588	eok:G2583_0643
ko:K03269	eok:G2583_0644
ko:K01883	eok:G2583_0646
ko:K07038	eok:G2583_0647
ko:K01491	eok:G2583_0649
ko:K07688	eok:G2583_0655
ko:K01433	eok:G2583_1506
ko:K09858	eok:G2583_1507
ko:K07001	eok:G2583_1508
ko:K00963	eok:G2583_1510
ko:K04072	eok:G2583_1513
ko:K09901	eok:G2583_1520
ko:K06131	eok:G2583_1521
ko:K10716	eok:G2583_1523
ko:K09780	eok:G2583_1524
ko:K03832	eok:G2583_1525
ko:K10806	eok:G2583_1526
ko:K06190	eok:G2583_1527
ko:K07275	eok:G2583_1529
ko:K05887	eok:G2583_2089
ko:K03785	eok:G2583_2090
ko:K00313	eok:G2583_2096
ko:K09773	eok:G2583_2100
ko:K01626	eok:G2583_2101
ko:K06074	eok:G2583_2106
ko:K00432	eok:G2583_2107
ko:K06073	eok:G2583_2108
ko:K12524	eok:G2583_0002
ko:K00872	eok:G2583_0003
ko:K01733	eok:G2583_0004
ko:K09861	eok:G2583_0006
ko:K03310	eok:G2583_0007
ko:K03831	eok:G2583_0009
ko:K03645	eok:G2583_0848
ko:K01581	eok:G2583_0851
ko:K07667	eok:G2583_0852
ko:K07646	eok:G2583_0853
ko:K01548	eok:G2583_0854
ko:K01547	eok:G2583_0855
ko:K01546	eok:G2583_0856
ko:K01669	eok:G2583_0863
ko:K03305	eok:G2583_0864
ko:K07160	eok:G2583_0868
ko:K07568	eok:G2583_0514
ko:K00773	eok:G2583_0515
ko:K03210	eok:G2583_0516
ko:K03072	eok:G2583_0517
ko:K03074	eok:G2583_0518
ko:K05517	eok:G2583_0522
ko:K07738	eok:G2583_0524
ko:K11752	eok:G2583_0525
ko:K00794	eok:G2583_0526
ko:K03625	eok:G2583_0527
ko:K00946	eok:G2583_0528
ko:K01095	eok:G2583_0529
ko:K01662	eok:G2583_0532
ko:K00795	eok:G2583_0533
ko:K03602	eok:G2583_0534
ko:K03151	eok:G2583_0535
ko:K03152	eok:G2583_0536
ko:K00077	eok:G2583_0537
ko:K09767	eok:G2583_0538
ko:K02300	eok:G2583_0541
ko:K02299	eok:G2583_0542
ko:K02298	eok:G2583_0543
ko:K02297	eok:G2583_0544
ko:K08218	eok:G2583_0545
ko:K07286	eok:G2583_0546
ko:K05527	eok:G2583_0547
ko:K03545	eok:G2583_0548
ko:K01358	eok:G2583_0549
ko:K03544	eok:G2583_0550
ko:K01338	eok:G2583_0551
ko:K03530	eok:G2583_0552
ko:K03770	eok:G2583_0553
ko:K02237	eok:G2583_0554
ko:K12500	eok:G2583_0555
ko:K06920	eok:G2583_0556
ko:K11938	eok:G2583_0558
ko:K05800	eok:G2583_0559
ko:K04752	eok:G2583_0562
ko:K03320	eok:G2583_0563
ko:K10805	eok:G2583_0564
ko:K09914	eok:G2583_0565
ko:K07443	eok:G2583_0566
ko:K07637	eok:G2583_1405
ko:K01756	eok:G2583_1407
ko:K07153	eok:G2583_1408
ko:K00566	eok:G2583_1409
ko:K12152	eok:G2583_1410
ko:K06181	eok:G2583_1411
ko:K00031	eok:G2583_1412
ko:K03608	eok:G2583_1433
ko:K03609	eok:G2583_1434
ko:K03610	eok:G2583_1435
ko:K09902	eok:G2583_1439
ko:K09160	eok:G2583_1441
ko:K03611	eok:G2583_1446
ko:K03314	eok:G2583_1447
ko:K03603	eok:G2583_1448
ko:K00285	eok:G2583_1450
ko:K07309	eok:G2583_1981
ko:K07310	eok:G2583_1982
ko:K07311	eok:G2583_1983
ko:K03281	eok:G2583_1986
ko:K01935	eok:G2583_1987
ko:K08224	eok:G2583_1990
ko:K04775	eok:G2583_1992
ko:K11742	eok:G2583_1993
ko:K11743	eok:G2583_1994
ko:K11744	eok:G2583_1995
ko:K00325	eok:G2583_1996
ko:K00324	eok:G2583_1997
ko:K03758	eok:G2583_1999
ko:K07661	eok:G2583_2002
ko:K07639	eok:G2583_2003
ko:K01676	eok:G2583_2006
ko:K01809	eok:G2583_2007
ko:K01195	eok:G2583_2011
ko:K10773	eok:G2583_2028
ko:K03305	eok:G2583_2029
ko:K07589	eok:G2583_2840
ko:K07071	eok:G2583_2841
ko:K10017	eok:G2583_2843
ko:K10015	eok:G2583_2844
ko:K10016	eok:G2583_2845
ko:K03186	eok:G2583_2848
ko:K00764	eok:G2583_2849
ko:K03558	eok:G2583_2850
ko:K03749	eok:G2583_2851
ko:K01963	eok:G2583_2853
ko:K03975	eok:G2583_2854
ko:K06173	eok:G2583_2855
ko:K03473	eok:G2583_2857
ko:K09906	eok:G2583_2863
ko:K07090	eok:G2583_2864
ko:K07261	eok:G2583_2865
ko:K01736	eok:G2583_2866
ko:K07320	eok:G2583_2867
ko:K08296	eok:G2583_2876
ko:K06076	eok:G2583_2880
ko:K04754	eok:G2583_2882
ko:K11720	eok:G2583_3705
ko:K01460	eok:G2583_3714
ko:K04653	eok:G2583_3716
ko:K04651	eok:G2583_3717
ko:K01061	eok:G2583_3725
ko:K03561	eok:G2583_3730
ko:K08325	eok:G2583_3735
ko:K00655	eok:G2583_3741
ko:K02621	eok:G2583_3742
ko:K03923	eok:G2583_3748
ko:K02016	eok:G2583_3751
ko:K02015	eok:G2583_3752
ko:K02015	eok:G2583_3753
ko:K02013	eok:G2583_3754
ko:K02521	eok:G2583_4567
ko:K00053	eok:G2583_4568
ko:K03656	eok:G2583_4571
ko:K03732	eok:G2583_4573
ko:K03671	eok:G2583_4574
ko:K03628	eok:G2583_4576
ko:K05790	eok:G2583_4579
ko:K02472	eok:G2583_4581
ko:K00973	eok:G2583_4583
ko:K02805	eok:G2583_4585
ko:K12582	eok:G2583_4587
ko:K02853	eok:G2583_4588
ko:K06871	eok:G2583_4595
ko:K02498	eok:G2583_4598
ko:K02496	eok:G2583_4599
ko:K01749	eok:G2583_4601
ko:K05851	eok:G2583_4602
ko:K06202	eok:G2583_4603
ko:K01778	eok:G2583_4606
ko:K09921	eok:G2583_4607
ko:K03733	eok:G2583_4608
ko:K03657	eok:G2583_4610
ko:K03284	eok:G2583_4613
ko:K05786	eok:G2583_4619
ko:K01058	eok:G2583_4621
ko:K03654	eok:G2583_4622
ko:K00892	eok:G2583_0589
ko:K08223	eok:G2583_0591
ko:K09973	eok:G2583_0595
ko:K01425	eok:G2583_0598
ko:K07340	eok:G2583_0608
ko:K02068	eok:G2583_0610
ko:K02069	eok:G2583_0611
ko:K05838	eok:G2583_0612
ko:K10804	eok:G2583_0614
ko:K02003	eok:G2583_0615
ko:K06917	eok:G2583_0623
ko:K01775	eok:G2583_1451
ko:K08308	eok:G2583_1456
ko:K03813	eok:G2583_1460
ko:K02013	eok:G2583_1462
ko:K02015	eok:G2583_1463
ko:K02016	eok:G2583_1464
ko:K01194	eok:G2583_1466
ko:K05881	eok:G2583_1468
ko:K05879	eok:G2583_1469
ko:K05878	eok:G2583_1470
ko:K05880	eok:G2583_1471
ko:K06942	eok:G2583_1474
ko:K01056	eok:G2583_1475
ko:K03321	eok:G2583_1477
ko:K00948	eok:G2583_1478
ko:K00919	eok:G2583_1479
ko:K02494	eok:G2583_1480
ko:K02492	eok:G2583_1481
ko:K02835	eok:G2583_1482
ko:K02493	eok:G2583_1483
ko:K01627	eok:G2583_1486
ko:K07300	eok:G2583_1488
ko:K07673	eok:G2583_1494
ko:K02575	eok:G2583_1496
ko:K00370	eok:G2583_1497
ko:K00371	eok:G2583_1498
ko:K00373	eok:G2583_1499
ko:K00868	eok:G2583_2031
ko:K01866	eok:G2583_2032
ko:K00275	eok:G2583_2033
ko:K09001	eok:G2583_2035
ko:K06077	eok:G2583_2036
ko:K06938	eok:G2583_2043
ko:K10680	eok:G2583_2045
ko:K03683	eok:G2583_2047
ko:K03724	eok:G2583_2048
ko:K07390	eok:G2583_2049
ko:K04564	eok:G2583_2051
ko:K00574	eok:G2583_2056
ko:K00793	eok:G2583_2057
ko:K03327	eok:G2583_2058
ko:K08354	eok:G2583_2065
ko:K00873	eok:G2583_2071
ko:K02426	eok:G2583_2074
ko:K11717	eok:G2583_2075
ko:K09015	eok:G2583_2076
ko:K09013	eok:G2583_2077
ko:K09014	eok:G2583_2078
ko:K05997	eok:G2583_2079
ko:K02532	eok:G2583_2894
ko:K00847	eok:G2583_2895
ko:K01193	eok:G2583_2896
ko:K01753	eok:G2583_2899
ko:K07690	eok:G2583_2902
ko:K07679	eok:G2583_2903
ko:K07088	eok:G2583_2905
ko:K12974	eok:G2583_2911
ko:K02478	eok:G2583_2913
ko:K08483	eok:G2583_2916
ko:K11189	eok:G2583_2916
ko:K11201	eok:G2583_2916
ko:K11203	eok:G2583_2919
ko:K11202	eok:G2583_2920
ko:K03322	eok:G2583_2925
ko:K09954	eok:G2583_2942
ko:K01972	eok:G2583_2943
ko:K03528	eok:G2583_2944
ko:K06203	eok:G2583_2945
ko:K01738	eok:G2583_2946
ko:K13635	eok:G2583_2497
ko:K13743	eok:G2583_0344
ko:K03574	eok:G2583_0103
ko:K03425	eok:G2583_0790
ko:K03644	eok:G2583_0791
ko:K03801	eok:G2583_0793
ko:K09158	eok:G2583_0794
ko:K03642	eok:G2583_0796
ko:K05837	eok:G2583_0797
ko:K05515	eok:G2583_0798
ko:K00783	eok:G2583_0799
ko:K09710	eok:G2583_0800
ko:K00969	eok:G2583_0802
ko:K02340	eok:G2583_0803
ko:K03643	eok:G2583_0804
ko:K01869	eok:G2583_0805
ko:K04045	eok:G2583_0813
ko:K10004	eok:G2583_0815
ko:K10002	eok:G2583_0816
ko:K10003	eok:G2583_0817
ko:K10001	eok:G2583_0819
ko:K03820	eok:G2583_0820
ko:K06189	eok:G2583_0821
ko:K07042	eok:G2583_0822
ko:K06168	eok:G2583_0824
ko:K03184	eok:G2583_0825
ko:K01953	eok:G2583_0835
ko:K02565	eok:G2583_0837
ko:K01443	eok:G2583_0838
ko:K02802	eok:G2583_0840
ko:K02803	eok:G2583_0840
ko:K02804	eok:G2583_0840
ko:K01886	eok:G2583_0841
ko:K03839	eok:G2583_0845
ko:K03684	eok:G2583_2251
ko:K07285	eok:G2583_2254
ko:K09917	eok:G2583_2259
ko:K01665	eok:G2583_2260
ko:K01752	eok:G2583_2262
ko:K00563	eok:G2583_2271
ko:K03704	eok:G2583_2272
ko:K08169	eok:G2583_2278
ko:K03799	eok:G2583_2279
ko:K03797	eok:G2583_2280
ko:K03607	eok:G2583_2281
ko:K03808	eok:G2583_2283
ko:K07156	eok:G2583_2293
ko:K10857	eok:G2583_2296
ko:K01354	eok:G2583_2297
ko:K09918	eok:G2583_2300
ko:K08289	eok:G2583_2301
ko:K01625	eok:G2583_2302
ko:K01690	eok:G2583_2303
ko:K00036	eok:G2583_2304
ko:K09161	eok:G2583_3136
ko:K00997	eok:G2583_3144
ko:K03474	eok:G2583_3145
ko:K03584	eok:G2583_3146
ko:K03685	eok:G2583_3148
ko:K03100	eok:G2583_3150
ko:K03596	eok:G2583_3151
ko:K03598	eok:G2583_3153
ko:K03597	eok:G2583_3154
ko:K03088	eok:G2583_3155
ko:K00278	eok:G2583_3156
ko:K02160	eok:G2583_3974
ko:K02687	eok:G2583_3978
ko:K03557	eok:G2583_3980
ko:K09969	eok:G2583_3987
ko:K09970	eok:G2583_3988
ko:K09972	eok:G2583_3990
ko:K00014	eok:G2583_4000
ko:K07566	eok:G2583_4001
ko:K07479	eok:G2583_4002
ko:K04096	eok:G2583_4004
ko:K01462	eok:G2583_4005
ko:K00604	eok:G2583_4006
ko:K03500	eok:G2583_4007
ko:K03282	eok:G2583_4009
ko:K02879	eok:G2583_4012
ko:K03040	eok:G2583_4013
ko:K02986	eok:G2583_4014
ko:K02948	eok:G2583_4015
ko:K02952	eok:G2583_4016
ko:K02919	eok:G2583_4017
ko:K03076	eok:G2583_4018
ko:K02876	eok:G2583_4019
ko:K02907	eok:G2583_4020
ko:K02988	eok:G2583_4021
ko:K02881	eok:G2583_4022
ko:K02933	eok:G2583_4023
ko:K02994	eok:G2583_4024
ko:K02954	eok:G2583_4025
ko:K02931	eok:G2583_4026
ko:K06182	eok:G2583_4847
ko:K00928	eok:G2583_4849
ko:K01810	eok:G2583_4850
ko:K13256	eok:G2583_4855
ko:K10109	eok:G2583_4858
ko:K02024	eok:G2583_4861
ko:K05775	eok:G2583_4862
ko:K03181	eok:G2583_4864
ko:K03179	eok:G2583_4865
ko:K00631	eok:G2583_4866
ko:K00901	eok:G2583_4867
ko:K01356	eok:G2583_4868
ko:K03327	eok:G2583_4869
ko:K09823	eok:G2583_4871
ko:K05539	eok:G2583_4873
ko:K01775	eok:G2583_4877
ko:K00832	eok:G2583_4878
ko:K03788	eok:G2583_4880
ko:K03701	eok:G2583_4883
ko:K06901	eok:G2583_4889
ko:K01895	eok:G2583_4894
ko:K03385	eok:G2583_4895
ko:K04013	eok:G2583_4896
ko:K01647	eok:G2583_0875
ko:K00242	eok:G2583_0877
ko:K00239	eok:G2583_0878
ko:K00240	eok:G2583_0879
ko:K00164	eok:G2583_0881
ko:K00658	eok:G2583_0882
ko:K01903	eok:G2583_0883
ko:K01902	eok:G2583_0884
ko:K01676	eok:G2583_0888
ko:K04835	eok:G2583_0892
ko:K00873	eok:G2583_2306
ko:K02560	eok:G2583_2307
ko:K09817	eok:G2583_2310
ko:K09816	eok:G2583_2311
ko:K03551	eok:G2583_2312
ko:K03550	eok:G2583_2313
ko:K01159	eok:G2583_2315
ko:K08310	eok:G2583_2317
ko:K01876	eok:G2583_2318
ko:K07136	eok:G2583_2321
ko:K07821	eok:G2583_2325
ko:K09907	eok:G2583_2327
ko:K01887	eok:G2583_2328
ko:K03516	eok:G2583_2330
ko:K02400	eok:G2583_2331
ko:K02401	eok:G2583_2332
ko:K03414	eok:G2583_2333
ko:K03413	eok:G2583_2334
ko:K03412	eok:G2583_2335
ko:K05877	eok:G2583_2337
ko:K03408	eok:G2583_2340
ko:K03407	eok:G2583_2341
ko:K02557	eok:G2583_2342
ko:K02556	eok:G2583_2343
ko:K02402	eok:G2583_2344
ko:K02403	eok:G2583_2345
ko:K00697	eok:G2583_2347
ko:K01087	eok:G2583_2348
ko:K10538	eok:G2583_2349
ko:K10539	eok:G2583_2350
ko:K10537	eok:G2583_2351
ko:K02255	eok:G2583_2352
ko:K02217	eok:G2583_2356
ko:K03834	eok:G2583_2358
ko:K05590	eok:G2583_3158
ko:K11249	eok:G2583_3160
ko:K03648	eok:G2583_3162
ko:K03214	eok:G2583_3163
ko:K03672	eok:G2583_3165
ko:K00998	eok:G2583_3168
ko:K05811	eok:G2583_3169
ko:K03695	eok:G2583_3175
ko:K13630	eok:G2583_1897
ko:K13632	eok:G2583_1896
ko:K13633	eok:G2583_1901
ko:K04044	eok:G2583_3056
ko:K04082	eok:G2583_3057
ko:K04487	eok:G2583_3060
ko:K05820	eok:G2583_3066
ko:K00600	eok:G2583_3081
ko:K05916	eok:G2583_3082
ko:K04751	eok:G2583_3083
ko:K07715	eok:G2583_3084
ko:K07711	eok:G2583_3086
ko:K01952	eok:G2583_3088
ko:K02066	eok:G2583_3919
ko:K02065	eok:G2583_3920
ko:K07301	eok:G2583_3921
ko:K06041	eok:G2583_3922
ko:K03270	eok:G2583_3923
ko:K11719	eok:G2583_3924
ko:K09774	eok:G2583_3925
ko:K06861	eok:G2583_3926
ko:K03092	eok:G2583_3927
ko:K05808	eok:G2583_3928
ko:K06958	eok:G2583_3930
ko:K03814	eok:G2583_3933
ko:K07648	eok:G2583_3936
ko:K07139	eok:G2583_3937
ko:K00266	eok:G2583_3939
ko:K00885	eok:G2583_3942
ko:K03290	eok:G2583_3944
ko:K03600	eok:G2583_3948
ko:K03599	eok:G2583_3949
ko:K02996	eok:G2583_3950
ko:K02871	eok:G2583_3951
ko:K06916	eok:G2583_3952
ko:K09908	eok:G2583_3953
ko:K04691	eok:G2583_3955
ko:K00024	eok:G2583_3956
ko:K03402	eok:G2583_3957
ko:K03623	eok:G2583_3959
ko:K03568	eok:G2583_3964
ko:K08301	eok:G2583_3966
ko:K06287	eok:G2583_3967
ko:K03571	eok:G2583_3968
ko:K03570	eok:G2583_3969
ko:K03569	eok:G2583_3970
ko:K00075	eok:G2583_4787
ko:K03524	eok:G2583_4788
ko:K02358	eok:G2583_4795
ko:K03073	eok:G2583_4796
ko:K02601	eok:G2583_4797
ko:K02867	eok:G2583_4798
ko:K02863	eok:G2583_4799
ko:K02864	eok:G2583_4800
ko:K02935	eok:G2583_4801
ko:K03043	eok:G2583_4803
ko:K03046	eok:G2583_4804
ko:K03150	eok:G2583_4807
ko:K03149	eok:G2583_4808
ko:K03154	eok:G2583_4809
ko:K00788	eok:G2583_4811
ko:K03147	eok:G2583_4812
ko:K07740	eok:G2583_4813
ko:K03426	eok:G2583_4814
ko:K01599	eok:G2583_4815
ko:K05982	eok:G2583_4816
ko:K09891	eok:G2583_4817
ko:K05787	eok:G2583_4818
ko:K07803	eok:G2583_4820
ko:K01945	eok:G2583_4823
ko:K00602	eok:G2583_4824
ko:K03827	eok:G2583_4829
ko:K00651	eok:G2583_4830
ko:K01638	eok:G2583_4831
ko:K01637	eok:G2583_4832
ko:K00906	eok:G2583_4833
ko:K05995	eok:G2583_4838
ko:K01466	eok:G2583_0632
ko:K13684	eok:G2583_2580
ko:K11189	eok:G2583_4208
ko:K08138	eok:G2583_4856
ko:K11732	eok:G2583_0737
ko:K10679	eok:G2583_0739
ko:K06048	eok:G2583_0742
ko:K02362	eok:G2583_0745
ko:K02013	eok:G2583_0751
ko:K02015	eok:G2583_0752
ko:K02015	eok:G2583_0753
ko:K02016	eok:G2583_0755
ko:K02361	eok:G2583_0756
ko:K02363	eok:G2583_0757
ko:K00216	eok:G2583_0759
ko:K06200	eok:G2583_0761
ko:K08317	eok:G2583_0763
ko:K03805	eok:G2583_0768
ko:K03387	eok:G2583_0770
ko:K11932	eok:G2583_0771
ko:K06140	eok:G2583_0774
ko:K05964	eok:G2583_0778
