ko:K10947	llj:LG36_2009
ko:K02028	llj:LG36_1715
ko:K02687	llj:LG36_0070
ko:K09761	llj:LG36_0071
ko:K00951	llj:LG36_0073
ko:K07560	llj:LG36_0075
ko:K03294	llj:LG36_0078
ko:K00655	llj:LG36_0079
ko:K01118	llj:LG36_0081
ko:K03070	llj:LG36_0082
ko:K01626	llj:LG36_0083
ko:K11189	llj:LG36_0084
ko:K08483	llj:LG36_0085
ko:K09747	llj:LG36_0086
ko:K06889	llj:LG36_0087
ko:K01940	llj:LG36_0092
ko:K01755	llj:LG36_0093
ko:K08161	llj:LG36_0094
ko:K03536	llj:LG36_0096
ko:K06346	llj:LG36_0097
ko:K02914	llj:LG36_0098
ko:K07052	llj:LG36_0102
ko:K07052	llj:LG36_0103
ko:K07447	llj:LG36_0105
ko:K14189	llj:LG36_0110
ko:K00700	llj:LG36_0112
ko:K01104	llj:LG36_0119
ko:K04751	llj:LG36_0898
ko:K11069	llj:LG36_0899
ko:K09825	llj:LG36_0903
ko:K08987	llj:LG36_0908
ko:K01657	llj:LG36_0909
ko:K01658	llj:LG36_0910
ko:K00766	llj:LG36_0911
ko:K01609	llj:LG36_0913
ko:K01817	llj:LG36_0914
ko:K01696	llj:LG36_0916
ko:K01695	llj:LG36_0917
ko:K03488	llj:LG36_0918
ko:K02755	llj:LG36_0919
ko:K02756	llj:LG36_0919
ko:K02757	llj:LG36_0919
ko:K01223	llj:LG36_0920
ko:K00712	llj:LG36_0924
ko:K00712	llj:LG36_0925
ko:K02000	llj:LG36_0927
ko:K02001	llj:LG36_0928
ko:K02002	llj:LG36_0928
ko:K13256	llj:LG36_0935
ko:K00867	llj:LG36_0936
ko:K00564	llj:LG36_0937
ko:K00756	llj:LG36_0938
ko:K01619	llj:LG36_0940
ko:K01489	llj:LG36_0941
ko:K07335	llj:LG36_0942
ko:K03710	llj:LG36_0943
ko:K02484	llj:LG36_0945
ko:K09787	llj:LG36_0947
ko:K07504	llj:LG36_0951
ko:K02342	llj:LG36_0952
ko:K02114	llj:LG36_1718
ko:K02112	llj:LG36_1719
ko:K02115	llj:LG36_1720
ko:K02111	llj:LG36_1721
ko:K02113	llj:LG36_1722
ko:K02109	llj:LG36_1723
ko:K02108	llj:LG36_1724
ko:K02110	llj:LG36_1725
ko:K03930	llj:LG36_1726
ko:K02238	llj:LG36_1727
ko:K02237	llj:LG36_1728
ko:K01992	llj:LG36_1729
ko:K01990	llj:LG36_1730
ko:K03823	llj:LG36_1732
ko:K03707	llj:LG36_1734
ko:K03524	llj:LG36_1735
ko:K03523	llj:LG36_1736
ko:K00626	llj:LG36_1738
ko:K00059	llj:LG36_1740
ko:K02371	llj:LG36_1741
ko:K09014	llj:LG36_1742
ko:K04488	llj:LG36_1743
ko:K11717	llj:LG36_1745
ko:K09015	llj:LG36_1746
ko:K09013	llj:LG36_1747
ko:K16511	llj:LG36_1749
ko:K02028	llj:LG36_1750
ko:K02029	llj:LG36_1751
ko:K03046	llj:LG36_1753
ko:K03043	llj:LG36_1754
ko:K07386	llj:LG36_1759
ko:K07443	llj:LG36_1760
ko:K05362	llj:LG36_1762
ko:K13953	llj:LG36_1764
ko:K03654	llj:LG36_1765
ko:K01258	llj:LG36_1767
ko:K00012	llj:LG36_0129
ko:K00773	llj:LG36_0132
ko:K06929	llj:LG36_0135
ko:K15051	llj:LG36_0136
ko:K14260	llj:LG36_0139
ko:K03706	llj:LG36_0140
ko:K02435	llj:LG36_0141
ko:K02433	llj:LG36_0142
ko:K02434	llj:LG36_0143
ko:K01426	llj:LG36_0144
ko:K03704	llj:LG36_0146
ko:K01934	llj:LG36_0147
ko:K09963	llj:LG36_0151
ko:K02761	llj:LG36_0152
ko:K01223	llj:LG36_0155
ko:K06941	llj:LG36_0159
ko:K00805	llj:LG36_0161
ko:K02548	llj:LG36_0162
ko:K04759	llj:LG36_0164
ko:K04758	llj:LG36_0165
ko:K07305	llj:LG36_0166
ko:K07030	llj:LG36_0167
ko:K02902	llj:LG36_0169
ko:K00973	llj:LG36_0171
ko:K01790	llj:LG36_0173
ko:K07584	llj:LG36_0978
ko:K07533	llj:LG36_1005
ko:K08987	llj:LG36_1015
ko:K15986	llj:LG36_1769
ko:K04069	llj:LG36_1770
ko:K03699	llj:LG36_1771
ko:K03701	llj:LG36_1775
ko:K02226	llj:LG36_1777
ko:K07461	llj:LG36_1778
ko:K03810	llj:LG36_1780
ko:K00949	llj:LG36_1781
ko:K01893	llj:LG36_1784
ko:K01442	llj:LG36_1791
ko:K01104	llj:LG36_1792
ko:K02035	llj:LG36_1793
ko:K02034	llj:LG36_1794
ko:K02033	llj:LG36_1795
ko:K02887	llj:LG36_1798
ko:K02916	llj:LG36_1799
ko:K02520	llj:LG36_1800
ko:K07025	llj:LG36_1802
ko:K03495	llj:LG36_1803
ko:K11145	llj:LG36_1806
ko:K01883	llj:LG36_1807
ko:K00640	llj:LG36_1809
ko:K00962	llj:LG36_1811
ko:K00948	llj:LG36_1813
ko:K04487	llj:LG36_1815
ko:K02358	llj:LG36_1817
ko:K01870	llj:LG36_1818
ko:K04074	llj:LG36_1819
ko:K02221	llj:LG36_1821
ko:K01821	llj:LG36_0500
ko:K03827	llj:LG36_0502
ko:K07030	llj:LG36_0507
ko:K04567	llj:LG36_0514
ko:K16789	llj:LG36_0523
ko:K16137	llj:LG36_0529
ko:K02835	llj:LG36_0559
ko:K02622	llj:LG36_1344
ko:K08591	llj:LG36_1345
ko:K03647	llj:LG36_1347
ko:K09811	llj:LG36_1351
ko:K09812	llj:LG36_1352
ko:K02836	llj:LG36_1353
ko:K07586	llj:LG36_1355
ko:K01992	llj:LG36_1358
ko:K01990	llj:LG36_1359
ko:K09762	llj:LG36_1361
ko:K06958	llj:LG36_1363
ko:K06131	llj:LG36_1364
ko:K02768	llj:LG36_1365
ko:K02769	llj:LG36_1365
ko:K02770	llj:LG36_1365
ko:K00882	llj:LG36_1366
ko:K03436	llj:LG36_1367
ko:K18892	llj:LG36_0310
ko:K10254	llj:LG36_1369
ko:K04043	llj:LG36_1370
ko:K03687	llj:LG36_1371
ko:K03705	llj:LG36_1372
ko:K07260	llj:LG36_1374
ko:K09157	llj:LG36_1377
ko:K07166	llj:LG36_1378
ko:K12573	llj:LG36_1382
ko:K03075	llj:LG36_1383
ko:K00384	llj:LG36_1384
ko:K02028	llj:LG36_1386
ko:K02029	llj:LG36_1387
ko:K02030	llj:LG36_1388
ko:K01938	llj:LG36_1390
ko:K03784	llj:LG36_1393
ko:K01839	llj:LG36_1395
ko:K18891	llj:LG36_0309
ko:K03790	llj:LG36_0715
ko:K07056	llj:LG36_0401
ko:K00869	llj:LG36_0403
ko:K01597	llj:LG36_0404
ko:K00938	llj:LG36_0405
ko:K01823	llj:LG36_0406
ko:K04564	llj:LG36_0407
ko:K06200	llj:LG36_0408
ko:K18692	llj:LG36_0409
ko:K02760	llj:LG36_0412
ko:K02759	llj:LG36_0413
ko:K02761	llj:LG36_0415
ko:K01223	llj:LG36_0416
ko:K01972	llj:LG36_0418
ko:K10112	llj:LG36_0420
ko:K03737	llj:LG36_0421
ko:K18672	llj:LG36_0422
ko:K03431	llj:LG36_0424
ko:K03486	llj:LG36_0425
ko:K02755	llj:LG36_0427
ko:K02756	llj:LG36_0427
ko:K02757	llj:LG36_0427
ko:K01838	llj:LG36_0429
ko:K06925	llj:LG36_0433
ko:K06173	llj:LG36_0436
ko:K00868	llj:LG36_0437
ko:K01937	llj:LG36_0441
ko:K00016	llj:LG36_0442
ko:K06966	llj:LG36_0446
ko:K02337	llj:LG36_0448
ko:K11068	llj:LG36_0449
ko:K01207	llj:LG36_0452
ko:K03530	llj:LG36_0454
ko:K00567	llj:LG36_0456
ko:K16169	llj:LG36_1235
ko:K03816	llj:LG36_1236
ko:K00364	llj:LG36_1237
ko:K07273	llj:LG36_1242
ko:K01442	llj:LG36_1247
ko:K01803	llj:LG36_1248
ko:K02808	llj:LG36_1250
ko:K02809	llj:LG36_1250
ko:K02810	llj:LG36_1250
ko:K07106	llj:LG36_1251
ko:K09963	llj:LG36_1252
ko:K00016	llj:LG36_1253
ko:K11753	llj:LG36_1254
ko:K03177	llj:LG36_1255
ko:K00244	llj:LG36_1257
ko:K04750	llj:LG36_1258
ko:K01246	llj:LG36_1259
ko:K03574	llj:LG36_1260
ko:K03657	llj:LG36_1261
ko:K07284	llj:LG36_1265
ko:K03734	llj:LG36_1266
ko:K02469	llj:LG36_1267
ko:K03596	llj:LG36_1270
ko:K01575	llj:LG36_1271
ko:K01928	llj:LG36_1272
ko:K07009	llj:LG36_1273
ko:K02004	llj:LG36_1274
ko:K02003	llj:LG36_1275
ko:K01916	llj:LG36_1276
ko:K00763	llj:LG36_1278
ko:K00969	llj:LG36_1279
ko:K01879	llj:LG36_1282
ko:K01878	llj:LG36_1283
ko:K01081	llj:LG36_1284
ko:K09799	llj:LG36_1285
ko:K02895	llj:LG36_2030
ko:K02874	llj:LG36_2031
ko:K02961	llj:LG36_2032
ko:K02904	llj:LG36_2033
ko:K02878	llj:LG36_2034
ko:K02982	llj:LG36_2035
ko:K02890	llj:LG36_2036
ko:K02965	llj:LG36_2037
ko:K02886	llj:LG36_2038
ko:K02892	llj:LG36_2039
ko:K02926	llj:LG36_2040
ko:K02906	llj:LG36_2041
ko:K02946	llj:LG36_2042
ko:K03282	llj:LG36_2043
ko:K01733	llj:LG36_2045
ko:K02601	llj:LG36_2046
ko:K03073	llj:LG36_2047
ko:K12555	llj:LG36_2049
ko:K06180	llj:LG36_2053
ko:K09816	llj:LG36_2054
ko:K09817	llj:LG36_2055
ko:K09815	llj:LG36_2056
ko:K02248	llj:LG36_2059
ko:K02246	llj:LG36_2061
ko:K02245	llj:LG36_2062
ko:K02244	llj:LG36_2063
ko:K02243	llj:LG36_2064
ko:K03763	llj:LG36_2065
ko:K01881	llj:LG36_2068
ko:K11749	llj:LG36_2069
ko:K00981	llj:LG36_2070
ko:K00806	llj:LG36_2071
ko:K03210	llj:LG36_2072
ko:K00783	llj:LG36_2074
ko:K13530	llj:LG36_0457
ko:K02240	llj:LG36_1288
ko:K01990	llj:LG36_0458
ko:K01992	llj:LG36_0459
ko:K04487	llj:LG36_0462
ko:K15580	llj:LG36_0464
ko:K01738	llj:LG36_0465
ko:K05366	llj:LG36_0468
ko:K03700	llj:LG36_0469
ko:K16509	llj:LG36_0471
ko:K01092	llj:LG36_0473
ko:K00790	llj:LG36_0474
ko:K03545	llj:LG36_0476
ko:K03086	llj:LG36_0478
ko:K02445	llj:LG36_0480
ko:K03697	llj:LG36_0482
ko:K00134	llj:LG36_0484
ko:K01462	llj:LG36_0485
ko:K08311	llj:LG36_0486
ko:K03702	llj:LG36_0487
ko:K02030	llj:LG36_0488
ko:K01438	llj:LG36_0489
ko:K02372	llj:LG36_0490
ko:K00208	llj:LG36_0491
ko:K01990	llj:LG36_0493
ko:K03217	llj:LG36_0495
ko:K01598	llj:LG36_0498
ko:K02242	llj:LG36_1289
ko:K09962	llj:LG36_1290
ko:K07042	llj:LG36_1292
ko:K03322	llj:LG36_1295
ko:K02899	llj:LG36_1296
ko:K07584	llj:LG36_1297
ko:K02888	llj:LG36_1298
ko:K06885	llj:LG36_1301
ko:K06967	llj:LG36_1305
ko:K10773	llj:LG36_1306
ko:K02086	llj:LG36_1307
ko:K01465	llj:LG36_1308
ko:K00762	llj:LG36_1309
ko:K06158	llj:LG36_1316
ko:K16509	llj:LG36_1317
ko:K01926	llj:LG36_1318
ko:K03630	llj:LG36_1319
ko:K00820	llj:LG36_1320
ko:K09775	llj:LG36_1327
ko:K06180	llj:LG36_1328
ko:K03101	llj:LG36_1329
ko:K00794	llj:LG36_1330
ko:K14652	llj:LG36_1331
ko:K00793	llj:LG36_1332
ko:K11752	llj:LG36_1333
ko:K02621	llj:LG36_1340
ko:K02348	llj:LG36_1341
ko:K02342	llj:LG36_1342
ko:K14218	llj:LG36_t0018
ko:K14218	llj:LG36_t0049
ko:K14218	llj:LG36_t0058
ko:K14218	llj:LG36_t0050
ko:K14218	llj:LG36_t0061
ko:K14218	llj:LG36_t0047
ko:K14237	llj:LG36_t0019
ko:K14237	llj:LG36_t0046
ko:K14237	llj:LG36_t0057
ko:K14224	llj:LG36_t0001
ko:K14224	llj:LG36_t0060
ko:K18929	llj:LG36_1688
ko:K18928	llj:LG36_1687
ko:K07029	llj:LG36_0419
ko:K01664	llj:LG36_1071
ko:K19055	llj:LG36_1982
ko:K19002	llj:LG36_2077
ko:K03502	llj:LG36_0517
ko:K07467	llj:LG36_0539
ko:K18967	llj:LG36_0642
ko:K03111	llj:LG36_2124
ko:K03497	llj:LG36_0063
ko:K03111	llj:LG36_0965
ko:K08151	llj:LG36_0305
ko:K03111	llj:LG36_0391
ko:K13052	llj:LG36_0016
ko:K03741	llj:LG36_0996
ko:K07816	llj:LG36_1465
ko:K19005	llj:LG36_0790
ko:K00001	llj:LG36_1495
ko:K01621	llj:LG36_0875
ko:K05881	llj:LG36_0233
ko:K01710	llj:LG36_0176
ko:K02755	llj:LG36_0426
ko:K19265	llj:LG36_1925
ko:K19302	llj:LG36_1321
ko:K00020	llj:LG36_2154
ko:K01992	llj:LG36_0236
ko:K03722	llj:LG36_1788
ko:K12952	llj:LG36_1212
ko:K19267	llj:LG36_2105
ko:K12952	llj:LG36_0501
ko:K01215	llj:LG36_1631
ko:K01215	llj:LG36_0884
ko:K19350	llj:LG36_1426
ko:K06881	llj:LG36_0717
ko:K03483	llj:LG36_0023
ko:K00526	llj:LG36_1349
ko:K00887	llj:LG36_1291
ko:K02796	llj:LG36_1662
ko:K20483	llj:LG36_0631
ko:K02538	llj:LG36_0660
ko:K03284	llj:LG36_1163
ko:K21636	llj:LG36_0254
ko:K19965	llj:LG36_1225
ko:K10830	llj:LG36_1068
ko:K19972	llj:LG36_1069
ko:K19971	llj:LG36_1070
ko:K22457	llj:LG36_1786
ko:K00661	llj:LG36_1114
ko:K05770	llj:LG36_0505
ko:K20074	llj:LG36_1842
ko:K12132	llj:LG36_1841
ko:K01560	llj:LG36_0854
ko:K20073	llj:LG36_1603
ko:K20265	llj:LG36_1110
ko:K20265	llj:LG36_1654
ko:K20373	llj:LG36_0313
ko:K20491	llj:LG36_0639
ko:K20482	llj:LG36_0630
ko:K20492	llj:LG36_0640
ko:K00525	llj:LG36_1348
ko:K20484	llj:LG36_0633
ko:K20485	llj:LG36_0632
ko:K20486	llj:LG36_0635
ko:K20487	llj:LG36_0637
ko:K20488	llj:LG36_0636
ko:K20489	llj:LG36_0634
ko:K18889	llj:LG36_1128
ko:K18890	llj:LG36_1129
ko:K12999	llj:LG36_0074
ko:K22103	llj:LG36_1104
ko:K20866	llj:LG36_0077
ko:K01208	llj:LG36_1632
ko:K01977	llj:LG36_r0002
ko:K21064	llj:LG36_1686
ko:K01980	llj:LG36_r0006
ko:K01980	llj:LG36_r0009
ko:K01980	llj:LG36_r0003
ko:K01980	llj:LG36_r0018
ko:K01980	llj:LG36_r0012
ko:K01980	llj:LG36_r0015
ko:K08968	llj:LG36_2132
ko:K00821	llj:LG36_0785
ko:K14230	llj:LG36_t0003
ko:K14230	llj:LG36_t0027
ko:K14230	llj:LG36_t0028
ko:K14225	llj:LG36_t0005
ko:K14225	llj:LG36_t0030
ko:K14225	llj:LG36_t0024
ko:K14225	llj:LG36_t0041
ko:K14227	llj:LG36_t0006
ko:K14227	llj:LG36_t0031
ko:K01985	llj:LG36_r0001
ko:K14220	llj:LG36_t0007
ko:K14220	llj:LG36_t0059
ko:K14229	llj:LG36_t0008
ko:K14229	llj:LG36_t0021
ko:K14229	llj:LG36_t0044
ko:K14229	llj:LG36_t0034
ko:K14228	llj:LG36_t0009
ko:K14228	llj:LG36_t0012
ko:K14228	llj:LG36_t0022
ko:K14228	llj:LG36_t0043
ko:K14228	llj:LG36_t0037
ko:K14228	llj:LG36_t0040
ko:K14233	llj:LG36_t0013
ko:K14233	llj:LG36_t0032
ko:K14234	llj:LG36_t0023
ko:K14234	llj:LG36_t0042
ko:K14234	llj:LG36_t0048
ko:K14219	llj:LG36_t0017
ko:K14219	llj:LG36_t0033
ko:K14219	llj:LG36_t0039
ko:K14222	llj:LG36_t0016
ko:K01985	llj:LG36_r0005
ko:K01985	llj:LG36_r0014
ko:K14221	llj:LG36_t0020
ko:K14221	llj:LG36_t0045
ko:K14228	llj:LG36_t0051
ko:K14228	llj:LG36_t0052
ko:K14226	llj:LG36_t0054
ko:K14235	llj:LG36_t0055
ko:K14234	llj:LG36_t0011
ko:K01985	llj:LG36_r0004
ko:K01985	llj:LG36_r0017
ko:K01985	llj:LG36_r0008
ko:K01985	llj:LG36_r0011
ko:K14230	llj:LG36_t0036
ko:K14230	llj:LG36_t0035
ko:K01977	llj:LG36_r0007
ko:K01977	llj:LG36_r0010
ko:K01071	llj:LG36_1240
ko:K01493	llj:LG36_1241
ko:K02316	llj:LG36_0477
ko:K06217	llj:LG36_1294
ko:K00857	llj:LG36_0557
ko:K06191	llj:LG36_1346
ko:K02314	llj:LG36_0726
ko:K00560	llj:LG36_0831
ko:K01520	llj:LG36_0156
ko:K07474	llj:LG36_0975
ko:K03546	llj:LG36_1064
ko:K04068	llj:LG36_0255
ko:K03553	llj:LG36_0357
ko:K00287	llj:LG36_1232
ko:K14219	llj:LG36_t0014
ko:K14219	llj:LG36_t0025
ko:K14233	llj:LG36_t0010
ko:K02335	llj:LG36_2081
ko:K00980	llj:LG36_1400
ko:K00633	llj:LG36_1919
ko:K19577	llj:LG36_0335
ko:K02031	llj:LG36_1797
ko:K02032	llj:LG36_1796
ko:K14223	llj:LG36_t0038
ko:K14223	llj:LG36_t0053
ko:K14236	llj:LG36_t0056
ko:K01977	llj:LG36_r0016
ko:K01977	llj:LG36_r0019
ko:K01977	llj:LG36_r0013
ko:K01101	llj:LG36_1239
ko:K07005	llj:LG36_1198
ko:K03293	llj:LG36_0794
ko:K03293	llj:LG36_1779
ko:K03293	llj:LG36_0359
ko:K21478	llj:LG36_0625
ko:K21471	llj:LG36_1442
ko:K21471	llj:LG36_2166
ko:K21471	llj:LG36_0463
ko:K00950	llj:LG36_1227
ko:K01495	llj:LG36_1227
ko:K18704	llj:LG36_1397
ko:K09809	llj:LG36_1398
ko:K00863	llj:LG36_0229
ko:K21567	llj:LG36_1600
ko:K21449	llj:LG36_1066
ko:K21977	llj:LG36_0499
ko:K21993	llj:LG36_1356
ko:K20276	llj:LG36_1350
ko:K22044	llj:LG36_1112
ko:K03595	llj:LG36_0354
ko:K01537	llj:LG36_1021
ko:K22212	llj:LG36_1425
ko:K03077	llj:LG36_0873
ko:K17758	llj:LG36_0240
ko:K09988	llj:LG36_0665
