ko:K03741	fpc:FPSM_01215
ko:K00332	fpc:FPSM_02346
ko:K00331	fpc:FPSM_02347
ko:K00330	fpc:FPSM_02348
ko:K06894	fpc:FPSM_02350
ko:K05367	fpc:FPSM_02351
ko:K00452	fpc:FPSM_02352
ko:K03596	fpc:FPSM_02359
ko:K03565	fpc:FPSM_02360
ko:K00655	fpc:FPSM_02364
ko:K01867	fpc:FPSM_02365
ko:K01737	fpc:FPSM_02367
ko:K03092	fpc:FPSM_02368
ko:K02038	fpc:FPSM_00400
ko:K02036	fpc:FPSM_00401
ko:K02039	fpc:FPSM_00402
ko:K03439	fpc:FPSM_00405
ko:K07443	fpc:FPSM_00407
ko:K00184	fpc:FPSM_00410
ko:K00185	fpc:FPSM_00411
ko:K02275	fpc:FPSM_00415
ko:K02274	fpc:FPSM_00416
ko:K09946	fpc:FPSM_00421
ko:K03555	fpc:FPSM_00431
ko:K04773	fpc:FPSM_00435
ko:K01448	fpc:FPSM_00438
ko:K15342	fpc:FPSM_01296
ko:K09952	fpc:FPSM_01297
ko:K03702	fpc:FPSM_01304
ko:K01903	fpc:FPSM_01309
ko:K03386	fpc:FPSM_01315
ko:K01284	fpc:FPSM_02277
ko:K01284	fpc:FPSM_02278
ko:K07133	fpc:FPSM_02284
ko:K07133	fpc:FPSM_02285
ko:K00281	fpc:FPSM_02287
ko:K06886	fpc:FPSM_02288
ko:K00648	fpc:FPSM_02290
ko:K02066	fpc:FPSM_02293
ko:K02065	fpc:FPSM_02294
ko:K00971	fpc:FPSM_02296
ko:K00627	fpc:FPSM_02299
ko:K00161	fpc:FPSM_02300
ko:K01489	fpc:FPSM_02301
ko:K01929	fpc:FPSM_02305
ko:K09808	fpc:FPSM_02307
ko:K06940	fpc:FPSM_02309
ko:K09858	fpc:FPSM_01329
ko:K00615	fpc:FPSM_01638
ko:K00615	fpc:FPSM_01639
ko:K00600	fpc:FPSM_01641
ko:K01555	fpc:FPSM_01642
ko:K10947	fpc:FPSM_01647
ko:K09940	fpc:FPSM_01648
ko:K07071	fpc:FPSM_01650
ko:K03686	fpc:FPSM_01652
ko:K01990	fpc:FPSM_01653
ko:K01992	fpc:FPSM_01654
ko:K00762	fpc:FPSM_01660
ko:K02361	fpc:FPSM_01665
ko:K11720	fpc:FPSM_01722
ko:K00773	fpc:FPSM_01723
ko:K01613	fpc:FPSM_01727
ko:K00981	fpc:FPSM_01728
ko:K03798	fpc:FPSM_01730
ko:K09710	fpc:FPSM_01731
ko:K03524	fpc:FPSM_01732
ko:K08998	fpc:FPSM_01734
ko:K01883	fpc:FPSM_01735
ko:K01495	fpc:FPSM_01736
ko:K00658	fpc:FPSM_01742
ko:K15738	fpc:FPSM_01746
ko:K02003	fpc:FPSM_01750
ko:K03070	fpc:FPSM_01753
ko:K00428	fpc:FPSM_01755
ko:K00104	fpc:FPSM_01760
ko:K08223	fpc:FPSM_01761
ko:K07588	fpc:FPSM_01762
ko:K03327	fpc:FPSM_01765
ko:K00428	fpc:FPSM_01766
ko:K01874	fpc:FPSM_00059
ko:K01297	fpc:FPSM_00061
ko:K07460	fpc:FPSM_00062
ko:K02557	fpc:FPSM_00064
ko:K01142	fpc:FPSM_00065
ko:K00058	fpc:FPSM_00067
ko:K00286	fpc:FPSM_00069
ko:K06213	fpc:FPSM_00070
ko:K02528	fpc:FPSM_00071
ko:K01875	fpc:FPSM_00075
ko:K03322	fpc:FPSM_00079
ko:K03709	fpc:FPSM_00080
ko:K07394	fpc:FPSM_00082
ko:K11749	fpc:FPSM_00083
ko:K07386	fpc:FPSM_00089
ko:K07152	fpc:FPSM_00092
ko:K04758	fpc:FPSM_00093
ko:K04759	fpc:FPSM_00094
ko:K00241	fpc:FPSM_00095
ko:K00239	fpc:FPSM_00096
ko:K00240	fpc:FPSM_00098
ko:K02346	fpc:FPSM_00099
ko:K11031	fpc:FPSM_00107
ko:K00783	fpc:FPSM_00939
ko:K13771	fpc:FPSM_00941
ko:K05916	fpc:FPSM_00942
ko:K00767	fpc:FPSM_00943
ko:K07058	fpc:FPSM_00944
ko:K04066	fpc:FPSM_00946
ko:K02990	fpc:FPSM_00948
ko:K02963	fpc:FPSM_00949
ko:K02939	fpc:FPSM_00950
ko:K01972	fpc:FPSM_00952
ko:K00209	fpc:FPSM_00956
ko:K03631	fpc:FPSM_00957
ko:K13038	fpc:FPSM_00959
ko:K05807	fpc:FPSM_00961
ko:K01714	fpc:FPSM_00962
ko:K01081	fpc:FPSM_00965
ko:K00859	fpc:FPSM_00970
ko:K07636	fpc:FPSM_00971
ko:K00254	fpc:FPSM_00977
ko:K01640	fpc:FPSM_00978
ko:K00088	fpc:FPSM_00981
ko:K02428	fpc:FPSM_00982
ko:K05592	fpc:FPSM_00983
ko:K07090	fpc:FPSM_00985
ko:K03671	fpc:FPSM_00989
ko:K01893	fpc:FPSM_02369
ko:K07003	fpc:FPSM_02371
ko:K01912	fpc:FPSM_02373
ko:K02372	fpc:FPSM_02379
ko:K02078	fpc:FPSM_02387
ko:K00647	fpc:FPSM_02389
ko:K07107	fpc:FPSM_02390
ko:K01992	fpc:FPSM_02391
ko:K00648	fpc:FPSM_02399
ko:K02078	fpc:FPSM_02404
ko:K00647	fpc:FPSM_02405
ko:K00059	fpc:FPSM_02406
ko:K01745	fpc:FPSM_02408
ko:K03424	fpc:FPSM_02410
ko:K02527	fpc:FPSM_00440
ko:K01784	fpc:FPSM_00442
ko:K00645	fpc:FPSM_00445
ko:K08289	fpc:FPSM_00448
ko:K00812	fpc:FPSM_00449
ko:K00508	fpc:FPSM_00450
ko:K03501	fpc:FPSM_00451
ko:K00294	fpc:FPSM_00452
ko:K06195	fpc:FPSM_00458
ko:K01265	fpc:FPSM_00461
ko:K01534	fpc:FPSM_00469
ko:K03154	fpc:FPSM_00470
ko:K03147	fpc:FPSM_00471
ko:K00788	fpc:FPSM_00472
ko:K00941	fpc:FPSM_00473
ko:K00788	fpc:FPSM_00474
ko:K03149	fpc:FPSM_00475
ko:K03150	fpc:FPSM_00476
ko:K09903	fpc:FPSM_00478
ko:K02838	fpc:FPSM_00479
ko:K01754	fpc:FPSM_00488
ko:K00053	fpc:FPSM_00489
ko:K01653	fpc:FPSM_00490
ko:K01652	fpc:FPSM_00491
ko:K00405	fpc:FPSM_01320
ko:K00404	fpc:FPSM_01321
ko:K09810	fpc:FPSM_01322
ko:K09808	fpc:FPSM_01323
ko:K03742	fpc:FPSM_01905
ko:K02342	fpc:FPSM_01909
ko:K04762	fpc:FPSM_01911
ko:K02825	fpc:FPSM_01914
ko:K00891	fpc:FPSM_01913
ko:K06443	fpc:FPSM_01915
ko:K10027	fpc:FPSM_01917
ko:K15746	fpc:FPSM_01919
ko:K03088	fpc:FPSM_01923
ko:K02014	fpc:FPSM_01925
ko:K02226	fpc:FPSM_01926
ko:K02233	fpc:FPSM_01927
ko:K00768	fpc:FPSM_01928
ko:K02231	fpc:FPSM_01929
ko:K02016	fpc:FPSM_01931
ko:K02015	fpc:FPSM_01932
ko:K03088	fpc:FPSM_01934
ko:K03644	fpc:FPSM_01936
ko:K00134	fpc:FPSM_01937
ko:K03783	fpc:FPSM_01938
ko:K00912	fpc:FPSM_01940
ko:K01491	fpc:FPSM_01942
ko:K03106	fpc:FPSM_01943
ko:K07231	fpc:FPSM_01945
ko:K01424	fpc:FPSM_02412
ko:K02666	fpc:FPSM_02420
ko:K07000	fpc:FPSM_01785
ko:K07114	fpc:FPSM_01788
ko:K01915	fpc:FPSM_01793
ko:K05794	fpc:FPSM_01794
ko:K03559	fpc:FPSM_01795
ko:K03561	fpc:FPSM_01796
ko:K11754	fpc:FPSM_01797
ko:K01591	fpc:FPSM_01800
ko:K03210	fpc:FPSM_01801
ko:K03625	fpc:FPSM_01803
ko:K00263	fpc:FPSM_01804
ko:K04485	fpc:FPSM_00113
ko:K07017	fpc:FPSM_00114
ko:K07027	fpc:FPSM_00115
ko:K01579	fpc:FPSM_00116
ko:K01918	fpc:FPSM_00117
ko:K00703	fpc:FPSM_00118
ko:K00820	fpc:FPSM_00120
ko:K02112	fpc:FPSM_00123
ko:K02114	fpc:FPSM_00124
ko:K00652	fpc:FPSM_00128
ko:K01889	fpc:FPSM_00133
ko:K03558	fpc:FPSM_00136
ko:K07114	fpc:FPSM_00140
ko:K07114	fpc:FPSM_00142
ko:K03924	fpc:FPSM_00145
ko:K06193	fpc:FPSM_00149
ko:K00057	fpc:FPSM_00150
ko:K08325	fpc:FPSM_00151
ko:K00969	fpc:FPSM_00152
ko:K01810	fpc:FPSM_00154
ko:K02897	fpc:FPSM_00155
ko:K00948	fpc:FPSM_00156
ko:K00556	fpc:FPSM_00995
ko:K12410	fpc:FPSM_00996
ko:K01756	fpc:FPSM_00997
ko:K00639	fpc:FPSM_00999
ko:K06199	fpc:FPSM_01004
ko:K02825	fpc:FPSM_01006
ko:K00609	fpc:FPSM_01007
ko:K02945	fpc:FPSM_01010
ko:K01823	fpc:FPSM_01011
ko:K01737	fpc:FPSM_01012
ko:K03564	fpc:FPSM_01013
ko:K01809	fpc:FPSM_01014
ko:K02217	fpc:FPSM_01020
ko:K01468	fpc:FPSM_01022
ko:K03284	fpc:FPSM_01023
ko:K00566	fpc:FPSM_01029
ko:K01687	fpc:FPSM_00493
ko:K00826	fpc:FPSM_00494
ko:K02357	fpc:FPSM_00498
ko:K02967	fpc:FPSM_00499
ko:K02996	fpc:FPSM_00500
ko:K02871	fpc:FPSM_00501
ko:K05595	fpc:FPSM_00505
ko:K03797	fpc:FPSM_00508
ko:K09748	fpc:FPSM_00513
ko:K02600	fpc:FPSM_00514
ko:K02519	fpc:FPSM_00515
ko:K03734	fpc:FPSM_01952
ko:K16091	fpc:FPSM_01960
ko:K16089	fpc:FPSM_01966
ko:K01887	fpc:FPSM_01969
ko:K00648	fpc:FPSM_01973
ko:K07090	fpc:FPSM_01974
ko:K04079	fpc:FPSM_01982
ko:K04079	fpc:FPSM_01983
ko:K02477	fpc:FPSM_01990
ko:K01923	fpc:FPSM_01993
ko:K01992	fpc:FPSM_02003
ko:K18707	fpc:FPSM_02045
ko:K01977	fpc:FPSM_r009
ko:K01977	fpc:FPSM_r020
ko:K01977	fpc:FPSM_r039
ko:K01977	fpc:FPSM_r057
ko:K01977	fpc:FPSM_r029
ko:K01977	fpc:FPSM_r048
ko:K01985	fpc:FPSM_r062
ko:K01985	fpc:FPSM_r065
ko:K01985	fpc:FPSM_r063
ko:K01985	fpc:FPSM_r067
ko:K01985	fpc:FPSM_r064
ko:K01985	fpc:FPSM_r066
ko:K14219	fpc:FPSM_r014
ko:K14230	fpc:FPSM_r015
ko:K03790	fpc:FPSM_00914
ko:K03790	fpc:FPSM_00041
ko:K14220	fpc:FPSM_r001
ko:K14228	fpc:FPSM_r002
ko:K14228	fpc:FPSM_r003
ko:K14230	fpc:FPSM_r004
ko:K14221	fpc:FPSM_r005
ko:K14223	fpc:FPSM_r006
ko:K14228	fpc:FPSM_r007
ko:K14225	fpc:FPSM_r008
ko:K14227	fpc:FPSM_r010
ko:K14227	fpc:FPSM_r028
ko:K14227	fpc:FPSM_r047
ko:K14227	fpc:FPSM_r056
ko:K14227	fpc:FPSM_r021
ko:K14227	fpc:FPSM_r038
ko:K14218	fpc:FPSM_r011
ko:K14218	fpc:FPSM_r037
ko:K14218	fpc:FPSM_r022
ko:K14218	fpc:FPSM_r027
ko:K14218	fpc:FPSM_r055
ko:K14218	fpc:FPSM_r046
ko:K14225	fpc:FPSM_r013
ko:K18831	fpc:FPSM_02137
ko:K07316	fpc:FPSM_00552
ko:K14230	fpc:FPSM_r016
ko:K14230	fpc:FPSM_r017
ko:K14234	fpc:FPSM_r018
ko:K14234	fpc:FPSM_r053
ko:K14233	fpc:FPSM_r019
ko:K14219	fpc:FPSM_r033
ko:K14226	fpc:FPSM_r034
ko:K14224	fpc:FPSM_r040
ko:K14224	fpc:FPSM_r041
ko:K14229	fpc:FPSM_r042
ko:K14229	fpc:FPSM_r043
ko:K14228	fpc:FPSM_r044
ko:K14235	fpc:FPSM_r050
ko:K14234	fpc:FPSM_r051
ko:K14236	fpc:FPSM_r052
ko:K14233	fpc:FPSM_r058
ko:K14218	fpc:FPSM_r059
ko:K14231	fpc:FPSM_r060
ko:K14222	fpc:FPSM_r061
ko:K01980	fpc:FPSM_r026
ko:K01980	fpc:FPSM_r054
ko:K01980	fpc:FPSM_r023
ko:K01980	fpc:FPSM_r012
ko:K01980	fpc:FPSM_r036
ko:K01980	fpc:FPSM_r045
ko:K03790	fpc:FPSM_01844
ko:K03111	fpc:FPSM_00085
ko:K04565	fpc:FPSM_01069
ko:K03111	fpc:FPSM_01144
ko:K08151	fpc:FPSM_02539
ko:K03646	fpc:FPSM_00339
ko:K03502	fpc:FPSM_00427
ko:K03503	fpc:FPSM_00428
ko:K03497	fpc:FPSM_02042
ko:K03496	fpc:FPSM_02043
ko:K08151	fpc:FPSM_00640
ko:K08151	fpc:FPSM_00847
ko:K00335	fpc:FPSM_02343
ko:K14742	fpc:FPSM_00683
ko:K18979	fpc:FPSM_00661
ko:K07483	fpc:FPSM_00637
ko:K07483	fpc:FPSM_00642
ko:K07483	fpc:FPSM_00849
ko:K11991	fpc:FPSM_00308
ko:K19166	fpc:FPSM_02136
ko:K19159	fpc:FPSM_02581
ko:K19158	fpc:FPSM_02580
ko:K01710	fpc:FPSM_02613
ko:K01710	fpc:FPSM_02206
ko:K09951	fpc:FPSM_01295
ko:K01654	fpc:FPSM_02167
ko:K19068	fpc:FPSM_02198
ko:K00798	fpc:FPSM_01751
ko:K00336	fpc:FPSM_02341
ko:K19302	fpc:FPSM_00708
ko:K01990	fpc:FPSM_01149
ko:K01990	fpc:FPSM_02392
ko:K07497	fpc:FPSM_00293
ko:K07497	fpc:FPSM_01292
ko:K07497	fpc:FPSM_00531
ko:K07497	fpc:FPSM_00544
ko:K07497	fpc:FPSM_00558
ko:K01992	fpc:FPSM_00330
ko:K07497	fpc:FPSM_01780
ko:K19294	fpc:FPSM_01883
ko:K06867	fpc:FPSM_01947
ko:K06881	fpc:FPSM_00907
ko:K09690	fpc:FPSM_02181
ko:K10206	fpc:FPSM_00277
ko:K05770	fpc:FPSM_00346
ko:K20344	fpc:FPSM_00457
ko:K05592	fpc:FPSM_01345
ko:K20345	fpc:FPSM_00456
ko:K20534	fpc:FPSM_01176
ko:K18890	fpc:FPSM_01895
ko:K18889	fpc:FPSM_01805
ko:K20866	fpc:FPSM_00766
ko:K08968	fpc:FPSM_00755
ko:K00632	fpc:FPSM_01080
ko:K00558	fpc:FPSM_01519
ko:K00558	fpc:FPSM_01581
ko:K02314	fpc:FPSM_01717
ko:K02314	fpc:FPSM_01718
ko:K03553	fpc:FPSM_02363
ko:K00857	fpc:FPSM_01462
ko:K00558	fpc:FPSM_02394
ko:K07313	fpc:FPSM_00147
ko:K09935	fpc:FPSM_02430
ko:K14623	fpc:FPSM_00272
ko:K01520	fpc:FPSM_02584
ko:K00287	fpc:FPSM_00364
ko:K00560	fpc:FPSM_00369
ko:K06919	fpc:FPSM_00425
ko:K01493	fpc:FPSM_00509
ko:K06217	fpc:FPSM_01995
ko:K01174	fpc:FPSM_00562
ko:K00558	fpc:FPSM_00612
ko:K00558	fpc:FPSM_00649
ko:K02316	fpc:FPSM_00718
ko:K02335	fpc:FPSM_00326
ko:K00525	fpc:FPSM_00502
ko:K02481	fpc:FPSM_01113
ko:K00526	fpc:FPSM_00503
ko:K21470	fpc:FPSM_00652
ko:K01420	fpc:FPSM_01326
ko:K10026	fpc:FPSM_02312
ko:K00754	fpc:FPSM_01555
ko:K01463	fpc:FPSM_01668
ko:K17758	fpc:FPSM_01540
ko:K22132	fpc:FPSM_01060
ko:K22136	fpc:FPSM_01877
ko:K03595	fpc:FPSM_00832
ko:K08994	fpc:FPSM_01710
ko:K22252	fpc:FPSM_01168
ko:K02257	fpc:FPSM_00682
ko:K01505	fpc:FPSM_02116
ko:K22491	fpc:FPSM_01916
ko:K09516	fpc:FPSM_02402
