ko:K00130	bsut:BSUB_03320
ko:K01990	bsut:BSUB_03637
ko:K01224	bsut:BSUB_03640
ko:K12308	bsut:BSUB_03641
ko:K15772	bsut:BSUB_03642
ko:K15771	bsut:BSUB_03643
ko:K15770	bsut:BSUB_03644
ko:K02529	bsut:BSUB_03645
ko:K03303	bsut:BSUB_03647
ko:K03092	bsut:BSUB_03648
ko:K01176	bsut:BSUB_00353
ko:K00016	bsut:BSUB_00354
ko:K03303	bsut:BSUB_00355
ko:K09190	bsut:BSUB_00359
ko:K09967	bsut:BSUB_00361
ko:K01916	bsut:BSUB_00362
ko:K00891	bsut:BSUB_00364
ko:K01060	bsut:BSUB_00367
ko:K07074	bsut:BSUB_00368
ko:K00318	bsut:BSUB_00369
ko:K00294	bsut:BSUB_00370
ko:K11928	bsut:BSUB_00371
ko:K08986	bsut:BSUB_00373
ko:K07089	bsut:BSUB_00374
ko:K13542	bsut:BSUB_00377
ko:K00363	bsut:BSUB_00378
ko:K00362	bsut:BSUB_00379
ko:K00372	bsut:BSUB_00380
ko:K00362	bsut:BSUB_00381
ko:K02575	bsut:BSUB_00382
ko:K09007	bsut:BSUB_00383
ko:K10009	bsut:BSUB_00387
ko:K02424	bsut:BSUB_00388
ko:K01223	bsut:BSUB_00391
ko:K03406	bsut:BSUB_00394
ko:K08094	bsut:BSUB_00395
ko:K08093	bsut:BSUB_00396
ko:K15656	bsut:BSUB_00400
ko:K15657	bsut:BSUB_00401
ko:K06133	bsut:BSUB_00406
ko:K10010	bsut:BSUB_00408
ko:K09458	bsut:BSUB_01233
ko:K02033	bsut:BSUB_01239
ko:K02034	bsut:BSUB_01240
ko:K01867	bsut:BSUB_01242
ko:K15580	bsut:BSUB_01243
ko:K15581	bsut:BSUB_01244
ko:K15582	bsut:BSUB_01245
ko:K15583	bsut:BSUB_01246
ko:K10823	bsut:BSUB_01247
ko:K16509	bsut:BSUB_01250
ko:K16511	bsut:BSUB_01252
ko:K08602	bsut:BSUB_01254
ko:K06886	bsut:BSUB_01258
ko:K07816	bsut:BSUB_01262
ko:K00858	bsut:BSUB_01263
ko:K06180	bsut:BSUB_01264
ko:K03455	bsut:BSUB_01266
ko:K03707	bsut:BSUB_01267
ko:K10810	bsut:BSUB_01268
ko:K03153	bsut:BSUB_01269
ko:K03154	bsut:BSUB_01270
ko:K03149	bsut:BSUB_01271
ko:K00941	bsut:BSUB_01273
ko:K00208	bsut:BSUB_01274
ko:K06342	bsut:BSUB_01278
ko:K06341	bsut:BSUB_01279
ko:K03657	bsut:BSUB_01285
ko:K01843	bsut:BSUB_02121
ko:K01438	bsut:BSUB_02123
ko:K01034	bsut:BSUB_02125
ko:K06322	bsut:BSUB_02130
ko:K06319	bsut:BSUB_02132
ko:K01083	bsut:BSUB_02134
ko:K03671	bsut:BSUB_02158
ko:K03647	bsut:BSUB_02164
ko:K03310	bsut:BSUB_02967
ko:K06370	bsut:BSUB_02970
ko:K03517	bsut:BSUB_02971
ko:K00767	bsut:BSUB_02972
ko:K00278	bsut:BSUB_02973
ko:K04487	bsut:BSUB_02974
ko:K07105	bsut:BSUB_02975
ko:K04518	bsut:BSUB_02976
ko:K06209	bsut:BSUB_02977
ko:K03979	bsut:BSUB_02978
ko:K06375	bsut:BSUB_02979
ko:K02899	bsut:BSUB_02980
ko:K00820	bsut:BSUB_00239
ko:K01990	bsut:BSUB_00243
ko:K15629	bsut:BSUB_00258
ko:K01126	bsut:BSUB_00261
ko:K02445	bsut:BSUB_00262
ko:K08289	bsut:BSUB_00271
ko:K17103	bsut:BSUB_00275
ko:K01613	bsut:BSUB_00277
ko:K06880	bsut:BSUB_00279
ko:K07146	bsut:BSUB_00281
ko:K11102	bsut:BSUB_00282
ko:K02564	bsut:BSUB_00284
ko:K03710	bsut:BSUB_00285
ko:K00826	bsut:BSUB_00287
ko:K16235	bsut:BSUB_00288
ko:K00547	bsut:BSUB_00289
ko:K11626	bsut:BSUB_00290
ko:K01425	bsut:BSUB_00291
ko:K07717	bsut:BSUB_00292
ko:K07719	bsut:BSUB_00293
ko:K01707	bsut:BSUB_00294
ko:K11102	bsut:BSUB_01119
ko:K03800	bsut:BSUB_01122
ko:K01897	bsut:BSUB_01124
ko:K02016	bsut:BSUB_01130
ko:K00626	bsut:BSUB_01132
ko:K03523	bsut:BSUB_01134
ko:K02250	bsut:BSUB_01139
ko:K03307	bsut:BSUB_01142
ko:K03100	bsut:BSUB_01146
ko:K08174	bsut:BSUB_01149
ko:K18654	bsut:BSUB_01151
ko:K18653	bsut:BSUB_01152
ko:K07120	bsut:BSUB_01154
ko:K16899	bsut:BSUB_01159
ko:K16898	bsut:BSUB_01160
ko:K03547	bsut:BSUB_01161
ko:K06304	bsut:BSUB_01164
ko:K07584	bsut:BSUB_02981
ko:K02888	bsut:BSUB_02982
ko:K06402	bsut:BSUB_02983
ko:K06401	bsut:BSUB_02984
ko:K03609	bsut:BSUB_02985
ko:K03610	bsut:BSUB_02986
ko:K03571	bsut:BSUB_02987
ko:K03570	bsut:BSUB_02988
ko:K03569	bsut:BSUB_02989
ko:K03630	bsut:BSUB_02990
ko:K06287	bsut:BSUB_02991
ko:K06380	bsut:BSUB_02992
ko:K02236	bsut:BSUB_02993
ko:K11754	bsut:BSUB_02994
ko:K01873	bsut:BSUB_02995
ko:K06417	bsut:BSUB_02998
ko:K01845	bsut:BSUB_02999
ko:K01698	bsut:BSUB_03000
ko:K01719	bsut:BSUB_03001
ko:K01749	bsut:BSUB_03002
ko:K02497	bsut:BSUB_03003
ko:K02492	bsut:BSUB_03004
ko:K03978	bsut:BSUB_03006
ko:K01338	bsut:BSUB_03007
ko:K04076	bsut:BSUB_03008
ko:K03544	bsut:BSUB_03009
ko:K03545	bsut:BSUB_03010
ko:K01704	bsut:BSUB_03012
ko:K01703	bsut:BSUB_03013
ko:K00052	bsut:BSUB_03014
ko:K01649	bsut:BSUB_03015
ko:K00053	bsut:BSUB_03016
ko:K02397	bsut:BSUB_03771
ko:K02396	bsut:BSUB_03772
ko:K02398	bsut:BSUB_03774
ko:K02242	bsut:BSUB_03776
ko:K02241	bsut:BSUB_03777
ko:K02240	bsut:BSUB_03778
ko:K07692	bsut:BSUB_03780
ko:K07777	bsut:BSUB_03781
ko:K02851	bsut:BSUB_03784
ko:K16698	bsut:BSUB_03786
ko:K16705	bsut:BSUB_03788
ko:K00012	bsut:BSUB_03789
ko:K16697	bsut:BSUB_03790
ko:K16694	bsut:BSUB_03791
ko:K01448	bsut:BSUB_03793
ko:K01791	bsut:BSUB_03797
ko:K00963	bsut:BSUB_03798
ko:K00963	bsut:BSUB_03802
ko:K09693	bsut:BSUB_03803
ko:K00712	bsut:BSUB_03806
ko:K05946	bsut:BSUB_03808
ko:K01809	bsut:BSUB_03812
ko:K10009	bsut:BSUB_00409
ko:K02424	bsut:BSUB_00410
ko:K03186	bsut:BSUB_00412
ko:K01259	bsut:BSUB_00416
ko:K03305	bsut:BSUB_00417
ko:K06295	bsut:BSUB_00420
ko:K06297	bsut:BSUB_00421
ko:K06296	bsut:BSUB_00422
ko:K02003	bsut:BSUB_00423
ko:K02004	bsut:BSUB_00424
ko:K00928	bsut:BSUB_00430
ko:K02015	bsut:BSUB_00431
ko:K02015	bsut:BSUB_00432
ko:K02013	bsut:BSUB_00433
ko:K02016	bsut:BSUB_00434
ko:K00375	bsut:BSUB_00440
ko:K07250	bsut:BSUB_00441
ko:K00135	bsut:BSUB_00442
ko:K05340	bsut:BSUB_00443
ko:K00034	bsut:BSUB_00444
ko:K14166	bsut:BSUB_00446
ko:K02799	bsut:BSUB_00449
ko:K02800	bsut:BSUB_00449
ko:K02798	bsut:BSUB_00450
ko:K00009	bsut:BSUB_00451
ko:K07246	bsut:BSUB_00452
ko:K03100	bsut:BSUB_00453
ko:K02372	bsut:BSUB_00455
ko:K07160	bsut:BSUB_00458
ko:K06351	bsut:BSUB_00461
ko:K06350	bsut:BSUB_00462
ko:K01739	bsut:BSUB_01290
ko:K01760	bsut:BSUB_01291
ko:K03790	bsut:BSUB_01292
ko:K00059	bsut:BSUB_01305
ko:K02768	bsut:BSUB_01308
ko:K02769	bsut:BSUB_01308
ko:K02770	bsut:BSUB_01308
ko:K01809	bsut:BSUB_01309
ko:K03976	bsut:BSUB_01313
ko:K00123	bsut:BSUB_01324
ko:K01719	bsut:BSUB_01332
ko:K02069	bsut:BSUB_01333
ko:K02068	bsut:BSUB_01334
ko:K03885	bsut:BSUB_01338
ko:K01812	bsut:BSUB_01339
ko:K03292	bsut:BSUB_01340
ko:K06303	bsut:BSUB_01165
ko:K06302	bsut:BSUB_01166
ko:K06301	bsut:BSUB_01167
ko:K06300	bsut:BSUB_01168
ko:K06299	bsut:BSUB_01169
ko:K00681	bsut:BSUB_01980
ko:K13955	bsut:BSUB_01982
ko:K00266	bsut:BSUB_01983
ko:K00265	bsut:BSUB_01984
ko:K00931	bsut:BSUB_01986
ko:K00286	bsut:BSUB_01987
ko:K00059	bsut:BSUB_01989
ko:K11216	bsut:BSUB_01994
ko:K00058	bsut:BSUB_01995
ko:K03406	bsut:BSUB_02001
ko:K00483	bsut:BSUB_02002
ko:K01569	bsut:BSUB_02008
ko:K07727	bsut:BSUB_02016
ko:K17836	bsut:BSUB_02022
ko:K01181	bsut:BSUB_02026
ko:K03623	bsut:BSUB_02853
ko:K00459	bsut:BSUB_02860
ko:K01776	bsut:BSUB_02861
ko:K09815	bsut:BSUB_02864
ko:K03088	bsut:BSUB_02865
ko:K03300	bsut:BSUB_02867
ko:K00121	bsut:BSUB_02878
ko:K06439	bsut:BSUB_02880
ko:K01607	bsut:BSUB_02882
ko:K13979	bsut:BSUB_02883
ko:K05520	bsut:BSUB_02884
ko:K03332	bsut:BSUB_02885
ko:K11737	bsut:BSUB_02891
ko:K03088	bsut:BSUB_02894
ko:K14338	bsut:BSUB_02898
ko:K00123	bsut:BSUB_02904
ko:K17217	bsut:BSUB_02907
ko:K17216	bsut:BSUB_02908
ko:K03929	bsut:BSUB_03666
ko:K13727	bsut:BSUB_03668
ko:K01779	bsut:BSUB_03671
ko:K00692	bsut:BSUB_03673
ko:K01358	bsut:BSUB_03683
ko:K01838	bsut:BSUB_03684
ko:K01182	bsut:BSUB_03685
ko:K00691	bsut:BSUB_03686
ko:K15772	bsut:BSUB_03688
ko:K15771	bsut:BSUB_03689
ko:K15770	bsut:BSUB_03690
ko:K06966	bsut:BSUB_03693
ko:K03321	bsut:BSUB_03695
ko:K01673	bsut:BSUB_03696
ko:K00090	bsut:BSUB_03697
ko:K02004	bsut:BSUB_03698
ko:K02003	bsut:BSUB_03699
ko:K00675	bsut:BSUB_03703
ko:K11184	bsut:BSUB_03704
ko:K09762	bsut:BSUB_03705
ko:K06958	bsut:BSUB_03707
ko:K03574	bsut:BSUB_03708
ko:K00384	bsut:BSUB_03709
ko:K18104	bsut:BSUB_03712
ko:K11755	bsut:BSUB_03716
ko:K00073	bsut:BSUB_01341
ko:K08322	bsut:BSUB_01342
ko:K01686	bsut:BSUB_01343
ko:K02529	bsut:BSUB_01346
ko:K00041	bsut:BSUB_01347
ko:K01685	bsut:BSUB_01348
ko:K02337	bsut:BSUB_02191
ko:K01653	bsut:BSUB_03017
ko:K01652	bsut:BSUB_03018
ko:K03829	bsut:BSUB_03020
ko:K07095	bsut:BSUB_03023
ko:K02428	bsut:BSUB_03024
ko:K00989	bsut:BSUB_03025
ko:K06298	bsut:BSUB_03026
ko:K01776	bsut:BSUB_03027
ko:K01994	bsut:BSUB_03029
ko:K07107	bsut:BSUB_03030
ko:K00240	bsut:BSUB_03031
ko:K00239	bsut:BSUB_03032
ko:K00241	bsut:BSUB_03033
ko:K00928	bsut:BSUB_03035
ko:K03703	bsut:BSUB_03037
ko:K03671	bsut:BSUB_03038
ko:K01209	bsut:BSUB_03039
ko:K03522	bsut:BSUB_03040
ko:K03521	bsut:BSUB_03041
ko:K13767	bsut:BSUB_03042
ko:K13770	bsut:BSUB_03043
ko:K01897	bsut:BSUB_03044
ko:K08989	bsut:BSUB_03045
ko:K07456	bsut:BSUB_03046
ko:K02347	bsut:BSUB_03047
ko:K09888	bsut:BSUB_03049
ko:K03471	bsut:BSUB_03050
ko:K01890	bsut:BSUB_03051
ko:K01889	bsut:BSUB_03052
ko:K03437	bsut:BSUB_03053
ko:K06426	bsut:BSUB_03054
ko:K02647	bsut:BSUB_03055
ko:K00104	bsut:BSUB_03056
ko:K11473	bsut:BSUB_03057
ko:K01759	bsut:BSUB_03058
ko:K06200	bsut:BSUB_03059
ko:K01209	bsut:BSUB_03060
ko:K17236	bsut:BSUB_03061
ko:K17235	bsut:BSUB_03062
ko:K17234	bsut:BSUB_03063
ko:K00096	bsut:BSUB_03064
ko:K00853	bsut:BSUB_03067
ko:K01804	bsut:BSUB_03068
ko:K06113	bsut:BSUB_03069
ko:K07282	bsut:BSUB_03821
ko:K02529	bsut:BSUB_03824
ko:K00852	bsut:BSUB_03825
ko:K06726	bsut:BSUB_03826
ko:K10441	bsut:BSUB_03827
ko:K10440	bsut:BSUB_03828
ko:K10439	bsut:BSUB_03829
ko:K01575	bsut:BSUB_03833
ko:K01652	bsut:BSUB_03834
ko:K03893	bsut:BSUB_03836
ko:K06325	bsut:BSUB_03838
ko:K06330	bsut:BSUB_03839
ko:K00681	bsut:BSUB_03843
ko:K07240	bsut:BSUB_03845
ko:K07240	bsut:BSUB_03846
ko:K05982	bsut:BSUB_03850
ko:K00012	bsut:BSUB_03856
ko:K01104	bsut:BSUB_03857
ko:K07284	bsut:BSUB_03868
ko:K03282	bsut:BSUB_03870
ko:K02372	bsut:BSUB_03871
ko:K02392	bsut:BSUB_03873
ko:K02392	bsut:BSUB_03874
ko:K03817	bsut:BSUB_00474
ko:K07217	bsut:BSUB_00485
ko:K11692	bsut:BSUB_00488
ko:K11103	bsut:BSUB_00489
ko:K01990	bsut:BSUB_00491
ko:K01921	bsut:BSUB_00499
ko:K01929	bsut:BSUB_00500
ko:K05592	bsut:BSUB_00501
ko:K09167	bsut:BSUB_00502
ko:K08981	bsut:BSUB_00503
ko:K00997	bsut:BSUB_00505
ko:K01775	bsut:BSUB_00507
ko:K07723	bsut:BSUB_00508
ko:K17763	bsut:BSUB_00510
ko:K17762	bsut:BSUB_00511
ko:K17752	bsut:BSUB_00512
ko:K07315	bsut:BSUB_00513
ko:K04749	bsut:BSUB_00514
ko:K04757	bsut:BSUB_00515
ko:K03090	bsut:BSUB_00516
ko:K05518	bsut:BSUB_00517
ko:K06959	bsut:BSUB_00521
ko:K03095	bsut:BSUB_00522
ko:K07090	bsut:BSUB_01349
ko:K06359	bsut:BSUB_01352
ko:K07217	bsut:BSUB_01358
ko:K03088	bsut:BSUB_01367
ko:K06389	bsut:BSUB_01397
ko:K06388	bsut:BSUB_01398
ko:K03306	bsut:BSUB_01399
ko:K07220	bsut:BSUB_01400
ko:K03294	bsut:BSUB_01401
ko:K15975	bsut:BSUB_01402
ko:K00286	bsut:BSUB_01408
ko:K03530	bsut:BSUB_02265
ko:K02887	bsut:BSUB_03073
ko:K02916	bsut:BSUB_03074
ko:K02520	bsut:BSUB_03075
ko:K05339	bsut:BSUB_03078
ko:K05338	bsut:BSUB_03079
ko:K07705	bsut:BSUB_03080
ko:K07704	bsut:BSUB_03081
ko:K07025	bsut:BSUB_03082
ko:K01868	bsut:BSUB_03083
ko:K11144	bsut:BSUB_03086
ko:K03346	bsut:BSUB_03087
ko:K07738	bsut:BSUB_03088
ko:K01611	bsut:BSUB_03089
ko:K00134	bsut:BSUB_03090
ko:K00859	bsut:BSUB_03094
ko:K10563	bsut:BSUB_03096
ko:K07636	bsut:BSUB_03098
ko:K07658	bsut:BSUB_03099
ko:K00024	bsut:BSUB_03100
ko:K00031	bsut:BSUB_03101
ko:K01647	bsut:BSUB_03102
ko:K07113	bsut:BSUB_03105
ko:K00873	bsut:BSUB_03106
ko:K00850	bsut:BSUB_03107
ko:K01962	bsut:BSUB_03108
ko:K01963	bsut:BSUB_03109
ko:K00027	bsut:BSUB_03110
ko:K02337	bsut:BSUB_03111
ko:K07090	bsut:BSUB_03118
ko:K03569	bsut:BSUB_03875
ko:K06283	bsut:BSUB_03876
ko:K03457	bsut:BSUB_03881
ko:K03320	bsut:BSUB_03885
ko:K04751	bsut:BSUB_03886
ko:K06386	bsut:BSUB_03889
ko:K03823	bsut:BSUB_03890
ko:K06131	bsut:BSUB_03893
ko:K07118	bsut:BSUB_03896
ko:K01428	bsut:BSUB_03898
ko:K01429	bsut:BSUB_03899
ko:K01430	bsut:BSUB_03900
ko:K03639	bsut:BSUB_03905
ko:K02379	bsut:BSUB_03906
ko:K07114	bsut:BSUB_03908
ko:K07114	bsut:BSUB_03909
ko:K06381	bsut:BSUB_03910
ko:K00790	bsut:BSUB_03911
ko:K02114	bsut:BSUB_03915
ko:K02112	bsut:BSUB_03916
ko:K02115	bsut:BSUB_03917
ko:K02111	bsut:BSUB_03918
ko:K02113	bsut:BSUB_03919
ko:K02109	bsut:BSUB_03920
ko:K02110	bsut:BSUB_03921
ko:K02108	bsut:BSUB_03922
ko:K02116	bsut:BSUB_03923
ko:K00761	bsut:BSUB_03924
ko:K00600	bsut:BSUB_03925
ko:K01808	bsut:BSUB_03927
ko:K03719	bsut:BSUB_00556
ko:K03719	bsut:BSUB_00557
ko:K03704	bsut:BSUB_00566
ko:K07736	bsut:BSUB_00567
ko:K13653	bsut:BSUB_00571
ko:K00375	bsut:BSUB_00578
ko:K07002	bsut:BSUB_00580
ko:K16203	bsut:BSUB_01409
ko:K16200	bsut:BSUB_01410
ko:K16201	bsut:BSUB_01411
ko:K16202	bsut:BSUB_01412
ko:K16199	bsut:BSUB_01413
ko:K01297	bsut:BSUB_01414
ko:K07404	bsut:BSUB_01418
ko:K05916	bsut:BSUB_01421
ko:K01433	bsut:BSUB_01428
ko:K00931	bsut:BSUB_01429
ko:K00147	bsut:BSUB_01430
ko:K00549	bsut:BSUB_01436
ko:K13275	bsut:BSUB_01437
ko:K17763	bsut:BSUB_01438
ko:K16785	bsut:BSUB_01439
ko:K16786	bsut:BSUB_01440
ko:K16787	bsut:BSUB_01440
ko:K16925	bsut:BSUB_01441
ko:K06213	bsut:BSUB_01448
ko:K15973	bsut:BSUB_01452
ko:K07098	bsut:BSUB_01455
ko:K10979	bsut:BSUB_01459
ko:K03093	bsut:BSUB_01463
ko:K06421	bsut:BSUB_01465
ko:K03611	bsut:BSUB_02307
ko:K07305	bsut:BSUB_02333
ko:K07304	bsut:BSUB_02334
ko:K07152	bsut:BSUB_02340
ko:K01754	bsut:BSUB_02342
ko:K11068	bsut:BSUB_02344
ko:K01687	bsut:BSUB_02352
ko:K06950	bsut:BSUB_02354
ko:K00432	bsut:BSUB_02355
ko:K00651	bsut:BSUB_02356
ko:K03704	bsut:BSUB_02358
ko:K16959	bsut:BSUB_03125
ko:K16958	bsut:BSUB_03126
ko:K16957	bsut:BSUB_03127
ko:K00059	bsut:BSUB_03132
ko:K01755	bsut:BSUB_03134
ko:K01940	bsut:BSUB_03135
ko:K03638	bsut:BSUB_03136
ko:K00925	bsut:BSUB_03137
ko:K11065	bsut:BSUB_03139
ko:K04773	bsut:BSUB_03143
ko:K00858	bsut:BSUB_03144
ko:K01895	bsut:BSUB_03146
ko:K03151	bsut:BSUB_03148
ko:K04487	bsut:BSUB_03149
ko:K03311	bsut:BSUB_03150
ko:K06286	bsut:BSUB_03151
ko:K04486	bsut:BSUB_03152
ko:K02986	bsut:BSUB_03156
ko:K01866	bsut:BSUB_03158
ko:K01895	bsut:BSUB_03160
ko:K04766	bsut:BSUB_03161
ko:K04767	bsut:BSUB_03162
ko:K04768	bsut:BSUB_03163
ko:K02557	bsut:BSUB_03164
ko:K02556	bsut:BSUB_03165
ko:K02529	bsut:BSUB_03166
ko:K13853	bsut:BSUB_03167
ko:K01924	bsut:BSUB_03171
ko:K03466	bsut:BSUB_03172
ko:K07566	bsut:BSUB_03930
ko:K06387	bsut:BSUB_03932
ko:K02493	bsut:BSUB_03935
ko:K02835	bsut:BSUB_03936
ko:K08234	bsut:BSUB_03937
ko:K11686	bsut:BSUB_03938
ko:K07088	bsut:BSUB_03939
ko:K00027	bsut:BSUB_03940
ko:K02909	bsut:BSUB_03942
ko:K03628	bsut:BSUB_03943
ko:K02446	bsut:BSUB_03944
ko:K00790	bsut:BSUB_03945
ko:K00616	bsut:BSUB_03946
ko:K01624	bsut:BSUB_03947
ko:K02490	bsut:BSUB_03948
ko:K01937	bsut:BSUB_03950
ko:K03048	bsut:BSUB_03951
ko:K06131	bsut:BSUB_03954
ko:K06147	bsut:BSUB_03958
ko:K06131	bsut:BSUB_03959
ko:K00374	bsut:BSUB_03960
ko:K00373	bsut:BSUB_03961
ko:K00371	bsut:BSUB_03962
ko:K00370	bsut:BSUB_03963
ko:K02575	bsut:BSUB_03967
ko:K01887	bsut:BSUB_03968
ko:K01990	bsut:BSUB_03974
ko:K01480	bsut:BSUB_03984
ko:K03893	bsut:BSUB_00589
ko:K11623	bsut:BSUB_00597
ko:K07150	bsut:BSUB_00601
ko:K15976	bsut:BSUB_00604
ko:K15975	bsut:BSUB_00605
ko:K15977	bsut:BSUB_00606
ko:K13993	bsut:BSUB_00613
ko:K11737	bsut:BSUB_00620
ko:K06994	bsut:BSUB_00623
ko:K07552	bsut:BSUB_00626
ko:K07090	bsut:BSUB_00627
ko:K01077	bsut:BSUB_00632
ko:K05937	bsut:BSUB_00633
ko:K06885	bsut:BSUB_00636
ko:K02760	bsut:BSUB_00639
ko:K02759	bsut:BSUB_00640
ko:K02761	bsut:BSUB_00641
ko:K01223	bsut:BSUB_00642
ko:K03492	bsut:BSUB_00643
ko:K00847	bsut:BSUB_00644
ko:K01809	bsut:BSUB_00645
ko:K03799	bsut:BSUB_01467
ko:K13533	bsut:BSUB_01472
ko:K00567	bsut:BSUB_01473
ko:K08963	bsut:BSUB_01475
ko:K00899	bsut:BSUB_01476
ko:K08969	bsut:BSUB_01478
ko:K08965	bsut:BSUB_01479
ko:K08966	bsut:BSUB_01480
ko:K08964	bsut:BSUB_01481
ko:K08967	bsut:BSUB_01482
ko:K13532	bsut:BSUB_01486
ko:K15973	bsut:BSUB_01487
ko:K02557	bsut:BSUB_01488
ko:K02556	bsut:BSUB_01489
ko:K03697	bsut:BSUB_01490
ko:K06920	bsut:BSUB_01492
ko:K01737	bsut:BSUB_01493
ko:K10026	bsut:BSUB_01494
ko:K09457	bsut:BSUB_01495
ko:K01449	bsut:BSUB_01505
ko:K01534	bsut:BSUB_01508
ko:K03480	bsut:BSUB_01513
ko:K11189	bsut:BSUB_01515
ko:K08483	bsut:BSUB_01516
ko:K06315	bsut:BSUB_01517
ko:K03716	bsut:BSUB_01518
ko:K03406	bsut:BSUB_01520
ko:K03469	bsut:BSUB_02362
ko:K09125	bsut:BSUB_02363
ko:K03469	bsut:BSUB_02364
ko:K06429	bsut:BSUB_02365
ko:K16168	bsut:BSUB_02370
ko:K16167	bsut:BSUB_02371
ko:K16169	bsut:BSUB_02372
ko:K03816	bsut:BSUB_02373
ko:K01299	bsut:BSUB_02374
ko:K02526	bsut:BSUB_02375
ko:K01625	bsut:BSUB_02376
ko:K00874	bsut:BSUB_02377
ko:K02525	bsut:BSUB_02378
ko:K01815	bsut:BSUB_02379
ko:K00065	bsut:BSUB_02380
ko:K07444	bsut:BSUB_02384
ko:K06327	bsut:BSUB_02387
ko:K07502	bsut:BSUB_02388
ko:K06877	bsut:BSUB_02389
ko:K06430	bsut:BSUB_02396
ko:K03700	bsut:BSUB_02398
ko:K05366	bsut:BSUB_02399
ko:K10773	bsut:BSUB_02401
ko:K02086	bsut:BSUB_02402
ko:K01893	bsut:BSUB_02403
ko:K00812	bsut:BSUB_02404
ko:K01579	bsut:BSUB_02408
ko:K01918	bsut:BSUB_02409
ko:K00606	bsut:BSUB_02410
ko:K03524	bsut:BSUB_02411
ko:K00974	bsut:BSUB_02412
ko:K01734	bsut:BSUB_02415
ko:K06878	bsut:BSUB_03173
ko:K00027	bsut:BSUB_03179
ko:K03439	bsut:BSUB_03181
ko:K01975	bsut:BSUB_03187
ko:K01738	bsut:BSUB_03188
ko:K01439	bsut:BSUB_03189
ko:K06901	bsut:BSUB_03190
ko:K01992	bsut:BSUB_03191
ko:K01990	bsut:BSUB_03192
ko:K06183	bsut:BSUB_03194
ko:K07007	bsut:BSUB_03196
ko:K05020	bsut:BSUB_03197
ko:K15532	bsut:BSUB_03202
ko:K17319	bsut:BSUB_03203
ko:K17318	bsut:BSUB_03205
ko:K17320	bsut:BSUB_03206
ko:K01012	bsut:BSUB_03209
ko:K01935	bsut:BSUB_03210
ko:K00652	bsut:BSUB_03211
ko:K02529	bsut:BSUB_03215
ko:K10117	bsut:BSUB_03216
ko:K10118	bsut:BSUB_03217
ko:K10119	bsut:BSUB_03218
ko:K07406	bsut:BSUB_03219
ko:K01869	bsut:BSUB_03221
ko:K11632	bsut:BSUB_03226
ko:K11631	bsut:BSUB_03227
ko:K00797	bsut:BSUB_03985
ko:K01821	bsut:BSUB_03989
ko:K01868	bsut:BSUB_03991
ko:K09388	bsut:BSUB_03995
ko:K06885	bsut:BSUB_03996
ko:K06314	bsut:BSUB_03998
ko:K03298	bsut:BSUB_03999
ko:K16869	bsut:BSUB_04000
ko:K00625	bsut:BSUB_04002
ko:K02205	bsut:BSUB_04012
ko:K00294	bsut:BSUB_04014
ko:K00260	bsut:BSUB_04015
ko:K01790	bsut:BSUB_04017
ko:K00067	bsut:BSUB_04018
ko:K00973	bsut:BSUB_04020
ko:K07257	bsut:BSUB_04022
ko:K06305	bsut:BSUB_04028
ko:K00128	bsut:BSUB_04032
ko:K03648	bsut:BSUB_04033
ko:K01218	bsut:BSUB_00646
ko:K00946	bsut:BSUB_00656
ko:K06925	bsut:BSUB_00657
ko:K03789	bsut:BSUB_00659
ko:K01409	bsut:BSUB_00660
ko:K06158	bsut:BSUB_00661
ko:K03637	bsut:BSUB_00662
ko:K01926	bsut:BSUB_00663
ko:K03116	bsut:BSUB_00664
ko:K03118	bsut:BSUB_00665
ko:K07052	bsut:BSUB_00667
ko:K04078	bsut:BSUB_00668
ko:K04077	bsut:BSUB_00669
ko:K00008	bsut:BSUB_00682
ko:K00847	bsut:BSUB_00684
ko:K03969	bsut:BSUB_00685
ko:K06872	bsut:BSUB_00687
ko:K00004	bsut:BSUB_00691
ko:K06324	bsut:BSUB_00698
ko:K11735	bsut:BSUB_00699
ko:K03924	bsut:BSUB_00702
ko:K01951	bsut:BSUB_00705
ko:K06901	bsut:BSUB_00706
ko:K02491	bsut:BSUB_01524
ko:K00841	bsut:BSUB_01525
ko:K03415	bsut:BSUB_01527
ko:K07098	bsut:BSUB_01531
ko:K09776	bsut:BSUB_01538
ko:K03839	bsut:BSUB_01542
ko:K03839	bsut:BSUB_01544
ko:K05822	bsut:BSUB_01545
ko:K05823	bsut:BSUB_01546
ko:K03752	bsut:BSUB_01553
ko:K03750	bsut:BSUB_01555
ko:K03753	bsut:BSUB_01556
ko:K03635	bsut:BSUB_01557
ko:K03636	bsut:BSUB_01558
ko:K06147	bsut:BSUB_01559
ko:K06147	bsut:BSUB_01560
ko:K02005	bsut:BSUB_01562
ko:K02003	bsut:BSUB_01563
ko:K02004	bsut:BSUB_01564
ko:K03436	bsut:BSUB_01565
ko:K00882	bsut:BSUB_01566
ko:K02768	bsut:BSUB_01567
ko:K02769	bsut:BSUB_01567
ko:K02770	bsut:BSUB_01567
ko:K03100	bsut:BSUB_01568
ko:K00077	bsut:BSUB_01571
ko:K03569	bsut:BSUB_01574
ko:K06284	bsut:BSUB_01575
ko:K07698	bsut:BSUB_01576
ko:K03499	bsut:BSUB_01578
