ko:K03704	cun:Cul210932_0672
ko:K04075	cun:Cul210932_1995
ko:K07259	cun:Cul210932_1996
ko:K01507	cun:Cul210932_1997
ko:K11103	cun:Cul210932_1999
ko:K04077	cun:Cul210932_2011
ko:K05565	cun:Cul210932_2016
ko:K05567	cun:Cul210932_2017
ko:K05568	cun:Cul210932_2018
ko:K05569	cun:Cul210932_2019
ko:K05570	cun:Cul210932_2020
ko:K05571	cun:Cul210932_2021
ko:K01462	cun:Cul210932_2025
ko:K16650	cun:Cul210932_2174
ko:K01126	cun:Cul210932_2178
ko:K02445	cun:Cul210932_2179
ko:K01854	cun:Cul210932_2180
ko:K02013	cun:Cul210932_2181
ko:K02015	cun:Cul210932_2182
ko:K02016	cun:Cul210932_2183
ko:K01875	cun:Cul210932_2187
ko:K03710	cun:Cul210932_2188
ko:K04518	cun:Cul210932_2191
ko:K03310	cun:Cul210932_2197
ko:K01126	cun:Cul210932_2199
ko:K03317	cun:Cul210932_2200
ko:K01489	cun:Cul210932_2201
ko:K00758	cun:Cul210932_2202
ko:K00016	cun:Cul210932_2203
ko:K07304	cun:Cul210932_2205
ko:K04564	cun:Cul210932_2206
ko:K08224	cun:Cul210932_2209
ko:K09384	cun:Cul210932_2210
ko:K13671	cun:Cul210932_2212
ko:K07146	cun:Cul210932_2218
ko:K03217	cun:Cul210932_2221
ko:K02428	cun:Cul210932_1833
ko:K00989	cun:Cul210932_1834
ko:K01776	cun:Cul210932_1836
ko:K06891	cun:Cul210932_1839
ko:K00763	cun:Cul210932_1840
ko:K01079	cun:Cul210932_1843
ko:K02274	cun:Cul210932_1851
ko:K02217	cun:Cul210932_1854
ko:K03647	cun:Cul210932_1856
ko:K02919	cun:Cul210932_1858
ko:K01916	cun:Cul210932_1859
ko:K01835	cun:Cul210932_1872
ko:K06199	cun:Cul210932_1873
ko:K06199	cun:Cul210932_1874
ko:K02004	cun:Cul210932_1875
ko:K02003	cun:Cul210932_1876
ko:K01142	cun:Cul210932_2027
ko:K06131	cun:Cul210932_2028
ko:K01990	cun:Cul210932_2030
ko:K03574	cun:Cul210932_2031
ko:K02030	cun:Cul210932_2033
ko:K14949	cun:Cul210932_2034
ko:K00925	cun:Cul210932_2035
ko:K13788	cun:Cul210932_2036
ko:K00528	cun:Cul210932_2037
ko:K02348	cun:Cul210932_2038
ko:K08289	cun:Cul210932_2040
ko:K07101	cun:Cul210932_2041
ko:K07399	cun:Cul210932_2051
ko:K03385	cun:Cul210932_2053
ko:K15876	cun:Cul210932_2054
ko:K01939	cun:Cul210932_2058
ko:K01992	cun:Cul210932_2063
ko:K01990	cun:Cul210932_2064
ko:K10947	cun:Cul210932_2067
ko:K01624	cun:Cul210932_2069
ko:K00762	cun:Cul210932_2072
ko:K01011	cun:Cul210932_2074
ko:K09125	cun:Cul210932_2223
ko:K06177	cun:Cul210932_2227
ko:K01990	cun:Cul210932_2233
ko:K03671	cun:Cul210932_2237
ko:K17686	cun:Cul210932_2239
ko:K08369	cun:Cul210932_2245
ko:K02939	cun:Cul210932_2248
ko:K02990	cun:Cul210932_2250
ko:K07146	cun:Cul210932_2260
ko:K03975	cun:Cul210932_2261
ko:K04047	cun:Cul210932_2263
ko:K01421	cun:Cul210932_2267
ko:K01869	cun:Cul210932_2269
ko:K02003	cun:Cul210932_2271
ko:K02004	cun:Cul210932_2272
ko:K02564	cun:Cul210932_2281
ko:K01443	cun:Cul210932_2282
ko:K01788	cun:Cul210932_2283
ko:K00845	cun:Cul210932_2284
ko:K02035	cun:Cul210932_2287
ko:K02033	cun:Cul210932_2288
ko:K02031	cun:Cul210932_2289
ko:K02034	cun:Cul210932_2289
ko:K01714	cun:Cul210932_2291
ko:K00135	cun:Cul210932_2294
ko:K07250	cun:Cul210932_2295
ko:K09684	cun:Cul210932_2296
ko:K00135	cun:Cul210932_2297
ko:K01792	cun:Cul210932_2302
ko:K09946	cun:Cul210932_2305
ko:K01657	cun:Cul210932_2312
ko:K01658	cun:Cul210932_2313
ko:K00766	cun:Cul210932_2314
ko:K13498	cun:Cul210932_2315
ko:K01696	cun:Cul210932_2317
ko:K01695	cun:Cul210932_2318
ko:K14347	cun:Cul210932_2320
ko:K02313	cun:Cul210932_0001
ko:K02283	cun:Cul210932_0274
ko:K12510	cun:Cul210932_0275
ko:K06877	cun:Cul210932_0280
ko:K03704	cun:Cul210932_0281
ko:K03168	cun:Cul210932_0282
ko:K02341	cun:Cul210932_0285
ko:K00973	cun:Cul210932_0290
ko:K01322	cun:Cul210932_0294
ko:K00382	cun:Cul210932_0297
ko:K07110	cun:Cul210932_0298
ko:K00241	cun:Cul210932_0299
ko:K00239	cun:Cul210932_0300
ko:K00240	cun:Cul210932_0301
ko:K01619	cun:Cul210932_0306
ko:K04069	cun:Cul210932_0309
ko:K00656	cun:Cul210932_0311
ko:K00075	cun:Cul210932_0314
ko:K01897	cun:Cul210932_0315
ko:K15521	cun:Cul210932_0316
ko:K01834	cun:Cul210932_0317
ko:K02031	cun:Cul210932_0427
ko:K02032	cun:Cul210932_0427
ko:K02034	cun:Cul210932_0428
ko:K02033	cun:Cul210932_0429
ko:K02874	cun:Cul210932_0430
ko:K02895	cun:Cul210932_0431
ko:K02931	cun:Cul210932_0432
ko:K03837	cun:Cul210932_0433
ko:K01752	cun:Cul210932_0434
ko:K01424	cun:Cul210932_0435
ko:K02994	cun:Cul210932_0438
ko:K02933	cun:Cul210932_0439
ko:K02881	cun:Cul210932_0440
ko:K02988	cun:Cul210932_0441
ko:K02907	cun:Cul210932_0442
ko:K02876	cun:Cul210932_0443
ko:K15770	cun:Cul210932_0445
ko:K15771	cun:Cul210932_0446
ko:K15772	cun:Cul210932_0447
ko:K10112	cun:Cul210932_0451
ko:K03076	cun:Cul210932_0452
ko:K00939	cun:Cul210932_0453
ko:K08981	cun:Cul210932_0510
ko:K02077	cun:Cul210932_0511
ko:K03709	cun:Cul210932_0515
ko:K03216	cun:Cul210932_0516
ko:K01491	cun:Cul210932_0517
ko:K00641	cun:Cul210932_0520
ko:K02016	cun:Cul210932_0523
ko:K02015	cun:Cul210932_0524
ko:K02013	cun:Cul210932_0525
ko:K01740	cun:Cul210932_0527
ko:K00031	cun:Cul210932_0528
ko:K01142	cun:Cul210932_0532
ko:K01867	cun:Cul210932_0535
ko:K07058	cun:Cul210932_0536
ko:K07258	cun:Cul210932_0537
ko:K01488	cun:Cul210932_0538
ko:K00761	cun:Cul210932_0542
ko:K01840	cun:Cul210932_0544
ko:K00382	cun:Cul210932_0546
ko:K01958	cun:Cul210932_0548
ko:K11263	cun:Cul210932_0552
ko:K01011	cun:Cul210932_0553
ko:K06287	cun:Cul210932_0557
ko:K00852	cun:Cul210932_0558
ko:K02529	cun:Cul210932_0559
ko:K01966	cun:Cul210932_0561
ko:K01966	cun:Cul210932_0562
ko:K02863	cun:Cul210932_0372
ko:K01372	cun:Cul210932_0373
ko:K01372	cun:Cul210932_0374
ko:K02864	cun:Cul210932_0376
ko:K02935	cun:Cul210932_0377
ko:K03043	cun:Cul210932_0385
ko:K03046	cun:Cul210932_0386
ko:K01990	cun:Cul210932_0394
ko:K01992	cun:Cul210932_0395
ko:K07089	cun:Cul210932_0397
ko:K04069	cun:Cul210932_0398
ko:K02950	cun:Cul210932_0402
ko:K02992	cun:Cul210932_0403
ko:K02355	cun:Cul210932_0404
ko:K02358	cun:Cul210932_0406
ko:K02946	cun:Cul210932_0415
ko:K02906	cun:Cul210932_0416
ko:K02926	cun:Cul210932_0417
ko:K02892	cun:Cul210932_0418
ko:K02886	cun:Cul210932_0419
ko:K02965	cun:Cul210932_0420
ko:K02890	cun:Cul210932_0421
ko:K02982	cun:Cul210932_0422
ko:K02878	cun:Cul210932_0423
ko:K02904	cun:Cul210932_0424
ko:K02961	cun:Cul210932_0425
ko:K02035	cun:Cul210932_0426
ko:K03524	cun:Cul210932_0564
ko:K01992	cun:Cul210932_0566
ko:K01992	cun:Cul210932_0567
ko:K01990	cun:Cul210932_0568
ko:K01589	cun:Cul210932_0569
ko:K01588	cun:Cul210932_0570
ko:K02016	cun:Cul210932_0572
ko:K02015	cun:Cul210932_0573
ko:K02013	cun:Cul210932_0574
ko:K02026	cun:Cul210932_0578
ko:K02025	cun:Cul210932_0579
ko:K02027	cun:Cul210932_0580
ko:K16870	cun:Cul210932_0583
ko:K00966	cun:Cul210932_0584
ko:K01840	cun:Cul210932_0588
ko:K01809	cun:Cul210932_0590
ko:K01251	cun:Cul210932_0594
ko:K00943	cun:Cul210932_0595
ko:K07670	cun:Cul210932_0596
ko:K07654	cun:Cul210932_0597
ko:K03070	cun:Cul210932_0601
ko:K00508	cun:Cul210932_0606
ko:K06949	cun:Cul210932_0607
ko:K00800	cun:Cul210932_0608
ko:K03088	cun:Cul210932_0611
ko:K07768	cun:Cul210932_0318
ko:K07776	cun:Cul210932_0319
ko:K01524	cun:Cul210932_0321
ko:K00286	cun:Cul210932_0323
ko:K02492	cun:Cul210932_0332
ko:K01749	cun:Cul210932_0333
ko:K13542	cun:Cul210932_0334
ko:K01698	cun:Cul210932_0335
ko:K01599	cun:Cul210932_0338
ko:K00231	cun:Cul210932_0339
ko:K01845	cun:Cul210932_0341
ko:K06196	cun:Cul210932_0344
ko:K07399	cun:Cul210932_0345
ko:K02548	cun:Cul210932_0351
ko:K01911	cun:Cul210932_0352
ko:K01661	cun:Cul210932_0353
ko:K03326	cun:Cul210932_0355
ko:K02549	cun:Cul210932_0356
ko:K02551	cun:Cul210932_0357
ko:K12583	cun:Cul210932_0359
ko:K03183	cun:Cul210932_0360
ko:K00016	cun:Cul210932_0361
ko:K00805	cun:Cul210932_0363
ko:K03073	cun:Cul210932_0369
ko:K02601	cun:Cul210932_0370
ko:K02867	cun:Cul210932_0371
ko:K03657	cun:Cul210932_0621
ko:K10716	cun:Cul210932_0622
ko:K03426	cun:Cul210932_0623
ko:K03657	cun:Cul210932_0624
ko:K07043	cun:Cul210932_0626
ko:K07177	cun:Cul210932_0628
ko:K09118	cun:Cul210932_0631
ko:K11738	cun:Cul210932_0640
ko:K03416	cun:Cul210932_0641
ko:K17489	cun:Cul210932_0642
ko:K17489	cun:Cul210932_0643
ko:K17490	cun:Cul210932_0644
ko:K05602	cun:Cul210932_0646
ko:K02836	cun:Cul210932_0648
ko:K12942	cun:Cul210932_0650
ko:K09812	cun:Cul210932_0651
ko:K09811	cun:Cul210932_0652
ko:K03664	cun:Cul210932_0653
ko:K01673	cun:Cul210932_0654
ko:K02016	cun:Cul210932_0657
ko:K02015	cun:Cul210932_0658
ko:K02015	cun:Cul210932_0659
ko:K02013	cun:Cul210932_0660
ko:K14267	cun:Cul210932_0665
ko:K10843	cun:Cul210932_0667
ko:K01265	cun:Cul210932_0454
ko:K01186	cun:Cul210932_0455
ko:K02518	cun:Cul210932_0458
ko:K02952	cun:Cul210932_0459
ko:K02948	cun:Cul210932_0460
ko:K02986	cun:Cul210932_0461
ko:K03040	cun:Cul210932_0462
ko:K02879	cun:Cul210932_0463
ko:K06173	cun:Cul210932_0465
ko:K14743	cun:Cul210932_0468
ko:K03466	cun:Cul210932_0470
ko:K02871	cun:Cul210932_0474
ko:K02996	cun:Cul210932_0475
ko:K03431	cun:Cul210932_0476
ko:K01775	cun:Cul210932_0481
ko:K06925	cun:Cul210932_0482
ko:K07085	cun:Cul210932_0483
ko:K03789	cun:Cul210932_0486
ko:K01409	cun:Cul210932_0487
ko:K04078	cun:Cul210932_0488
ko:K04077	cun:Cul210932_0489
ko:K03088	cun:Cul210932_0491
ko:K00088	cun:Cul210932_0494
ko:K00088	cun:Cul210932_0495
ko:K01951	cun:Cul210932_0497
ko:K02072	cun:Cul210932_0504
ko:K02071	cun:Cul210932_0505
ko:K02073	cun:Cul210932_0506
ko:K02073	cun:Cul210932_0507
ko:K09167	cun:Cul210932_0509
ko:K02338	cun:Cul210932_0002
ko:K03629	cun:Cul210932_0003
ko:K02470	cun:Cul210932_0005
ko:K02469	cun:Cul210932_0009
ko:K02058	cun:Cul210932_0016
ko:K02057	cun:Cul210932_0017
ko:K02056	cun:Cul210932_0018
ko:K03767	cun:Cul210932_0020
ko:K15342	cun:Cul210932_0036
ko:K02013	cun:Cul210932_0045
ko:K02015	cun:Cul210932_0046
ko:K02015	cun:Cul210932_0047
ko:K02016	cun:Cul210932_0048
ko:K07052	cun:Cul210932_0064
ko:K01011	cun:Cul210932_0065
ko:K02016	cun:Cul210932_0068
ko:K02013	cun:Cul210932_0069
ko:K02015	cun:Cul210932_0070
ko:K06213	cun:Cul210932_0071
ko:K05343	cun:Cul210932_0073
ko:K03088	cun:Cul210932_0083
ko:K05846	cun:Cul210932_0088
ko:K05846	cun:Cul210932_0089
ko:K05847	cun:Cul210932_0090
ko:K01012	cun:Cul210932_0094
ko:K01241	cun:Cul210932_0097
ko:K01858	cun:Cul210932_0102
ko:K15342	cun:Cul210932_0111
ko:K06966	cun:Cul210932_0122
ko:K07120	cun:Cul210932_0127
ko:K07090	cun:Cul210932_0129
ko:K02821	cun:Cul210932_0130
ko:K03475	cun:Cul210932_0131
ko:K03579	cun:Cul210932_0132
ko:K00661	cun:Cul210932_0133
ko:K03919	cun:Cul210932_0134
ko:K01246	cun:Cul210932_0135
ko:K06996	cun:Cul210932_0140
ko:K00864	cun:Cul210932_0142
ko:K02440	cun:Cul210932_0143
ko:K07386	cun:Cul210932_0145
ko:K05845	cun:Cul210932_0148
ko:K11387	cun:Cul210932_0149
ko:K13686	cun:Cul210932_0150
ko:K16652	cun:Cul210932_0151
ko:K16653	cun:Cul210932_0152
ko:K16649	cun:Cul210932_0158
ko:K11707	cun:Cul210932_0159
ko:K11710	cun:Cul210932_0160
ko:K11708	cun:Cul210932_0161
ko:K11709	cun:Cul210932_0162
ko:K11707	cun:Cul210932_0163
ko:K00817	cun:Cul210932_0172
ko:K14445	cun:Cul210932_0179
ko:K03480	cun:Cul210932_0181
ko:K02803	cun:Cul210932_0182
ko:K02804	cun:Cul210932_0182
ko:K06996	cun:Cul210932_0184
ko:K00375	cun:Cul210932_0188
ko:K06215	cun:Cul210932_0189
ko:K08681	cun:Cul210932_0190
ko:K04517	cun:Cul210932_0192
ko:K11991	cun:Cul210932_0194
ko:K06994	cun:Cul210932_0196
ko:K00773	cun:Cul210932_0197
ko:K01885	cun:Cul210932_0198
ko:K03299	cun:Cul210932_0199
ko:K00851	cun:Cul210932_0200
ko:K00098	cun:Cul210932_0201
ko:K00046	cun:Cul210932_0202
ko:K02343	cun:Cul210932_0208
ko:K09747	cun:Cul210932_0209
ko:K06187	cun:Cul210932_0210
ko:K03299	cun:Cul210932_0211
ko:K07009	cun:Cul210932_0218
ko:K02342	cun:Cul210932_0220
ko:K01649	cun:Cul210932_0223
ko:K05346	cun:Cul210932_0224
ko:K03784	cun:Cul210932_0225
ko:K01619	cun:Cul210932_0227
ko:K01840	cun:Cul210932_0228
ko:K01990	cun:Cul210932_0234
ko:K01992	cun:Cul210932_0235
ko:K00928	cun:Cul210932_0236
ko:K00133	cun:Cul210932_0239
ko:K03088	cun:Cul210932_0240
ko:K03781	cun:Cul210932_0241
ko:K05571	cun:Cul210932_0246
ko:K05570	cun:Cul210932_0247
ko:K05569	cun:Cul210932_0248
ko:K05568	cun:Cul210932_0249
ko:K05567	cun:Cul210932_0250
ko:K05565	cun:Cul210932_0251
ko:K09117	cun:Cul210932_0256
ko:K10773	cun:Cul210932_0264
ko:K14228	cun:Cul210932_1830
ko:K14221	cun:Cul210932_1888
ko:K14221	cun:Cul210932_1890
ko:K14234	cun:Cul210932_0286
ko:K01977	cun:Cul210932_0662
ko:K01977	cun:Cul210932_1064
ko:K01977	cun:Cul210932_2230
ko:K01977	cun:Cul210932_1879
ko:K14225	cun:Cul210932_2144
ko:K14233	cun:Cul210932_0173
ko:K14233	cun:Cul210932_0203
ko:K14234	cun:Cul210932_0365
ko:K01990	cun:Cul210932_0165
ko:K01992	cun:Cul210932_0166
ko:K14237	cun:Cul210932_1362
ko:K14231	cun:Cul210932_1887
ko:K14227	cun:Cul210932_0011
ko:K14232	cun:Cul210932_0254
ko:K14230	cun:Cul210932_0366
ko:K14225	cun:Cul210932_1363
ko:K14225	cun:Cul210932_1365
ko:K14225	cun:Cul210932_1368
ko:K14230	cun:Cul210932_1678
ko:K14226	cun:Cul210932_1814
ko:K14219	cun:Cul210932_0174
ko:K14219	cun:Cul210932_0185
ko:K14228	cun:Cul210932_0800
ko:K14236	cun:Cul210932_0364
ko:K02032	cun:Cul210932_2114
ko:K02032	cun:Cul210932_2290
ko:K18917	cun:Cul210932_0710
ko:K18955	cun:Cul210932_0258
ko:K14218	cun:Cul210932_0012
ko:K14218	cun:Cul210932_0015
ko:K15733	cun:Cul210932_1353
ko:K18955	cun:Cul210932_0612
ko:K14229	cun:Cul210932_1817
ko:K14218	cun:Cul210932_1868
ko:K01985	cun:Cul210932_1066
ko:K01985	cun:Cul210932_1877
ko:K01985	cun:Cul210932_2228
ko:K01985	cun:Cul210932_0664
ko:K14237	cun:Cul210932_1364
ko:K14237	cun:Cul210932_1367
ko:K14225	cun:Cul210932_1779
ko:K14219	cun:Cul210932_1807
ko:K01980	cun:Cul210932_0663
ko:K01980	cun:Cul210932_2229
ko:K01980	cun:Cul210932_1878
ko:K01980	cun:Cul210932_1065
ko:K14224	cun:Cul210932_1891
ko:K14234	cun:Cul210932_1950
ko:K14233	cun:Cul210932_0169
ko:K14233	cun:Cul210932_0195
ko:K14235	cun:Cul210932_0367
ko:K14230	cun:Cul210932_0632
ko:K14219	cun:Cul210932_0707
ko:K14223	cun:Cul210932_0789
ko:K14219	cun:Cul210932_0915
ko:K14223	cun:Cul210932_0998
ko:K14232	cun:Cul210932_1100
ko:K14228	cun:Cul210932_1176
ko:K14222	cun:Cul210932_1366
ko:K14237	cun:Cul210932_1669
ko:K14220	cun:Cul210932_1679
ko:K14232	cun:Cul210932_1778
ko:K06147	cun:Cul210932_0886
ko:K18930	cun:Cul210932_1123
ko:K18929	cun:Cul210932_0917
ko:K18928	cun:Cul210932_0918
ko:K03496	cun:Cul210932_1078
ko:K04565	cun:Cul210932_0685
ko:K03497	cun:Cul210932_2336
ko:K03496	cun:Cul210932_2337
ko:K03111	cun:Cul210932_1792
ko:K08168	cun:Cul210932_0226
ko:K03111	cun:Cul210932_2249
ko:K03976	cun:Cul210932_0610
ko:K09951	cun:Cul210932_0110
ko:K03526	cun:Cul210932_1480
ko:K10563	cun:Cul210932_2264
ko:K03343	cun:Cul210932_2300
ko:K00067	cun:Cul210932_0291
ko:K01790	cun:Cul210932_0291
ko:K02031	cun:Cul210932_1007
ko:K19221	cun:Cul210932_1469
ko:K19131	cun:Cul210932_0115
ko:K00798	cun:Cul210932_1882
ko:K01239	cun:Cul210932_1973
ko:K19132	cun:Cul210932_0114
ko:K19133	cun:Cul210932_0112
ko:K16783	cun:Cul210932_1433
ko:K01710	cun:Cul210932_0292
ko:K09951	cun:Cul210932_0035
ko:K19125	cun:Cul210932_0042
ko:K19124	cun:Cul210932_0041
ko:K19126	cun:Cul210932_0038
ko:K01239	cun:Cul210932_1449
ko:K19265	cun:Cul210932_0972
ko:K00020	cun:Cul210932_0340
ko:K19302	cun:Cul210932_0164
ko:K00020	cun:Cul210932_0212
ko:K16164	cun:Cul210932_0215
ko:K19302	cun:Cul210932_2176
ko:K03722	cun:Cul210932_1841
ko:K01785	cun:Cul210932_0894
ko:K00526	cun:Cul210932_1853
ko:K01992	cun:Cul210932_2029
ko:K06867	cun:Cul210932_1708
ko:K06867	cun:Cul210932_1747
ko:K00776	cun:Cul210932_0178
ko:K06881	cun:Cul210932_1455
ko:K06221	cun:Cul210932_0687
ko:K19577	cun:Cul210932_0530
ko:K19710	cun:Cul210932_1351
ko:K07119	cun:Cul210932_1818
ko:K19784	cun:Cul210932_2207
ko:K18830	cun:Cul210932_1243
ko:K02033	cun:Cul210932_1737
ko:K02034	cun:Cul210932_1737
ko:K09796	cun:Cul210932_1354
ko:K12132	cun:Cul210932_0050
ko:K12132	cun:Cul210932_0051
ko:K12132	cun:Cul210932_1600
ko:K20074	cun:Cul210932_0054
ko:K20276	cun:Cul210932_2077
ko:K20490	cun:Cul210932_0075
ko:K20491	cun:Cul210932_0074
ko:K20468	cun:Cul210932_2160
ko:K20470	cun:Cul210932_2159
ko:K01214	cun:Cul210932_1555
ko:K14228	cun:Cul210932_1034
ko:K14224	cun:Cul210932_0999
ko:K14224	cun:Cul210932_1003
ko:K01200	cun:Cul210932_0784
ko:K20814	cun:Cul210932_1151
ko:K14229	cun:Cul210932_1892
ko:K21071	cun:Cul210932_0970
ko:K01768	cun:Cul210932_0284
ko:K00821	cun:Cul210932_1056
ko:K21147	cun:Cul210932_1502
ko:K21636	cun:Cul210932_0399
ko:K02335	cun:Cul210932_1033
ko:K03465	cun:Cul210932_1445
ko:K00287	cun:Cul210932_0711
ko:K00560	cun:Cul210932_0712
ko:K02316	cun:Cul210932_1682
ko:K06217	cun:Cul210932_1703
ko:K07465	cun:Cul210932_1155
ko:K01520	cun:Cul210932_1379
ko:K03553	cun:Cul210932_1429
ko:K06191	cun:Cul210932_1857
ko:K02314	cun:Cul210932_2246
ko:K00525	cun:Cul210932_1855
ko:K09820	cun:Cul210932_0381
ko:K01436	cun:Cul210932_0545
ko:K22468	cun:Cul210932_0767
ko:K09819	cun:Cul210932_0382
ko:K00108	cun:Cul210932_1984
ko:K02075	cun:Cul210932_0514
ko:K02075	cun:Cul210932_0513
ko:K02074	cun:Cul210932_0512
ko:K00526	cun:Cul210932_1916
ko:K03293	cun:Cul210932_1136
ko:K21481	cun:Cul210932_1820
ko:K21473	cun:Cul210932_1190
ko:K21471	cun:Cul210932_1607
ko:K05364	cun:Cul210932_0052
ko:K21401	cun:Cul210932_0362
ko:K21498	cun:Cul210932_1156
ko:K10914	cun:Cul210932_0262
ko:K21685	cun:Cul210932_1883
ko:K02334	cun:Cul210932_1232
ko:K21962	cun:Cul210932_1193
ko:K22044	cun:Cul210932_0980
ko:K22044	cun:Cul210932_1786
ko:K03595	cun:Cul210932_1699
ko:K03892	cun:Cul210932_0348
ko:K01046	cun:Cul210932_0116
ko:K17758	cun:Cul210932_2265
ko:K17759	cun:Cul210932_2265
ko:K22316	cun:Cul210932_1661
ko:K22306	cun:Cul210932_1752
ko:K02257	cun:Cul210932_1265
ko:K22311	cun:Cul210932_1349
ko:K22476	cun:Cul210932_2026
ko:K00728	cun:Cul210932_0753
ko:K22468	cun:Cul210932_2006
ko:K08300	cun:Cul210932_1764
ko:K08301	cun:Cul210932_1764
ko:K07566	cun:Cul210932_0929
