ko:K01006	lml:lmo4a_1925
ko:K02440	lml:lmo4a_1595
ko:K02899	lml:lmo4a_1596
ko:K02888	lml:lmo4a_1598
ko:K08301	lml:lmo4a_1599
ko:K03609	lml:lmo4a_1600
ko:K03610	lml:lmo4a_1601
ko:K03571	lml:lmo4a_1602
ko:K03570	lml:lmo4a_1603
ko:K03569	lml:lmo4a_1604
ko:K03630	lml:lmo4a_1605
ko:K11754	lml:lmo4a_1607
ko:K01873	lml:lmo4a_1608
ko:K01845	lml:lmo4a_1609
ko:K01698	lml:lmo4a_1610
ko:K01749	lml:lmo4a_1612
ko:K02492	lml:lmo4a_1613
ko:K01810	lml:lmo4a_2370
ko:K14155	lml:lmo4a_2373
ko:K02003	lml:lmo4a_2375
ko:K02760	lml:lmo4a_2376
ko:K00928	lml:lmo4a_2377
ko:K05566	lml:lmo4a_2384
ko:K05567	lml:lmo4a_2385
ko:K05569	lml:lmo4a_2387
ko:K05571	lml:lmo4a_2389
ko:K09775	lml:lmo4a_2391
ko:K03885	lml:lmo4a_2395
ko:K00262	lml:lmo4a_0575
ko:K02500	lml:lmo4a_0578
ko:K01814	lml:lmo4a_0579
ko:K02501	lml:lmo4a_0580
ko:K01693	lml:lmo4a_0581
ko:K00013	lml:lmo4a_0582
ko:K00765	lml:lmo4a_0583
ko:K02502	lml:lmo4a_0584
ko:K04486	lml:lmo4a_0585
ko:K07443	lml:lmo4a_0586
ko:K06901	lml:lmo4a_0588
ko:K06999	lml:lmo4a_0595
ko:K06969	lml:lmo4a_0596
ko:K03070	lml:lmo4a_0598
ko:K01669	lml:lmo4a_0603
ko:K00641	lml:lmo4a_0610
ko:K01740	lml:lmo4a_0611
ko:K03523	lml:lmo4a_0615
ko:K01118	lml:lmo4a_0628
ko:K03555	lml:lmo4a_1460
ko:K03572	lml:lmo4a_1461
ko:K00656	lml:lmo4a_1463
ko:K04069	lml:lmo4a_1464
ko:K07727	lml:lmo4a_1468
ko:K00075	lml:lmo4a_1478
ko:K05847	lml:lmo4a_1479
ko:K03322	lml:lmo4a_1482
ko:K05846	lml:lmo4a_1483
ko:K05845	lml:lmo4a_1484
ko:K05846	lml:lmo4a_1485
ko:K05847	lml:lmo4a_1486
ko:K01714	lml:lmo4a_1493
ko:K00928	lml:lmo4a_1494
ko:K00133	lml:lmo4a_1495
ko:K04564	lml:lmo4a_1497
ko:K09816	lml:lmo4a_1503
ko:K09817	lml:lmo4a_1504
ko:K01151	lml:lmo4a_1506
ko:K06967	lml:lmo4a_1509
ko:K03086	lml:lmo4a_1510
ko:K15580	lml:lmo4a_2257
ko:K01867	lml:lmo4a_2259
ko:K09458	lml:lmo4a_2262
ko:K00648	lml:lmo4a_2263
ko:K03695	lml:lmo4a_2267
ko:K06890	lml:lmo4a_2268
ko:K01772	lml:lmo4a_2272
ko:K01599	lml:lmo4a_2273
ko:K02503	lml:lmo4a_2277
ko:K00014	lml:lmo4a_2297
ko:K13531	lml:lmo4a_2303
ko:K13530	lml:lmo4a_2304
ko:K06180	lml:lmo4a_2305
ko:K02110	lml:lmo4a_0121
ko:K02113	lml:lmo4a_0122
ko:K02111	lml:lmo4a_0123
ko:K02115	lml:lmo4a_0124
ko:K02112	lml:lmo4a_0125
ko:K02114	lml:lmo4a_0126
ko:K01443	lml:lmo4a_0971
ko:K03710	lml:lmo4a_0973
ko:K08303	lml:lmo4a_0976
ko:K03744	lml:lmo4a_0977
ko:K03799	lml:lmo4a_0978
ko:K00858	lml:lmo4a_0983
ko:K06180	lml:lmo4a_0984
ko:K00208	lml:lmo4a_0985
ko:K03740	lml:lmo4a_0986
ko:K14188	lml:lmo4a_0987
ko:K03739	lml:lmo4a_0988
ko:K03367	lml:lmo4a_0989
ko:K01807	lml:lmo4a_0991
ko:K00826	lml:lmo4a_0994
ko:K00432	lml:lmo4a_0999
ko:K02837	lml:lmo4a_1004
ko:K03215	lml:lmo4a_1806
ko:K02434	lml:lmo4a_1809
ko:K02435	lml:lmo4a_1811
ko:K01972	lml:lmo4a_1813
ko:K03657	lml:lmo4a_1814
ko:K03308	lml:lmo4a_1816
ko:K01945	lml:lmo4a_1819
ko:K00602	lml:lmo4a_1820
ko:K11175	lml:lmo4a_1821
ko:K01933	lml:lmo4a_1822
ko:K00764	lml:lmo4a_1823
ko:K01952	lml:lmo4a_1824
ko:K01952	lml:lmo4a_1825
ko:K01952	lml:lmo4a_1826
ko:K01923	lml:lmo4a_1827
ko:K01756	lml:lmo4a_1828
ko:K01589	lml:lmo4a_1829
ko:K01588	lml:lmo4a_1830
ko:K06950	lml:lmo4a_1832
ko:K02013	lml:lmo4a_1833
ko:K01142	lml:lmo4a_1837
ko:K02887	lml:lmo4a_1838
ko:K02916	lml:lmo4a_1839
ko:K02520	lml:lmo4a_1840
ko:K02884	lml:lmo4a_1844
ko:K00554	lml:lmo4a_1849
ko:K02860	lml:lmo4a_1850
ko:K07010	lml:lmo4a_1852
ko:K03924	lml:lmo4a_0473
ko:K09703	lml:lmo4a_0476
ko:K06885	lml:lmo4a_0484
ko:K06941	lml:lmo4a_0487
ko:K13653	lml:lmo4a_0488
ko:K02911	lml:lmo4a_0496
ko:K00014	lml:lmo4a_0500
ko:K03785	lml:lmo4a_0501
ko:K01808	lml:lmo4a_0505
ko:K01783	lml:lmo4a_0506
ko:K02773	lml:lmo4a_0510
ko:K01783	lml:lmo4a_0512
ko:K02774	lml:lmo4a_0514
ko:K00948	lml:lmo4a_0516
ko:K03665	lml:lmo4a_1352
ko:K01915	lml:lmo4a_1355
ko:K03893	lml:lmo4a_1356
ko:K01356	lml:lmo4a_1358
ko:K00615	lml:lmo4a_1361
ko:K09903	lml:lmo4a_1369
ko:K02838	lml:lmo4a_1370
ko:K00806	lml:lmo4a_1371
ko:K00981	lml:lmo4a_1372
ko:K00099	lml:lmo4a_1373
ko:K11749	lml:lmo4a_1374
ko:K01881	lml:lmo4a_1375
ko:K03763	lml:lmo4a_1376
ko:K09748	lml:lmo4a_1377
ko:K02600	lml:lmo4a_1378
ko:K07742	lml:lmo4a_1379
ko:K02519	lml:lmo4a_1381
ko:K02834	lml:lmo4a_1383
ko:K11753	lml:lmo4a_1385
ko:K02956	lml:lmo4a_1386
ko:K00962	lml:lmo4a_1387
ko:K06949	lml:lmo4a_1388
ko:K02913	lml:lmo4a_1391
ko:K02247	lml:lmo4a_1399
ko:K00605	lml:lmo4a_1404
ko:K00282	lml:lmo4a_1405
ko:K00283	lml:lmo4a_1406
ko:K06215	lml:lmo4a_2159
ko:K08681	lml:lmo4a_2160
ko:K04758	lml:lmo4a_2164
ko:K04759	lml:lmo4a_2165
ko:K01443	lml:lmo4a_2169
ko:K01809	lml:lmo4a_2171
ko:K02003	lml:lmo4a_2175
ko:K03431	lml:lmo4a_2179
ko:K01624	lml:lmo4a_2194
ko:K01624	lml:lmo4a_2195
ko:K02313	lml:lmo4a_0001
ko:K02338	lml:lmo4a_0002
ko:K03629	lml:lmo4a_0005
ko:K02470	lml:lmo4a_0006
ko:K02469	lml:lmo4a_0007
ko:K06131	lml:lmo4a_0008
ko:K02826	lml:lmo4a_0013
ko:K02827	lml:lmo4a_0014
ko:K01921	lml:lmo4a_0866
ko:K01929	lml:lmo4a_0867
ko:K02529	lml:lmo4a_0869
ko:K05592	lml:lmo4a_0878
ko:K02759	lml:lmo4a_0888
ko:K02760	lml:lmo4a_0889
ko:K02761	lml:lmo4a_0890
ko:K00231	lml:lmo4a_0898
ko:K00997	lml:lmo4a_0899
ko:K01775	lml:lmo4a_0900
ko:K07723	lml:lmo4a_0901
ko:K03321	lml:lmo4a_0911
ko:K06959	lml:lmo4a_0912
ko:K02967	lml:lmo4a_1716
ko:K01869	lml:lmo4a_1718
ko:K07139	lml:lmo4a_1719
ko:K01953	lml:lmo4a_1721
ko:K00789	lml:lmo4a_1722
ko:K08998	lml:lmo4a_1727
ko:K01911	lml:lmo4a_1729
ko:K01661	lml:lmo4a_1730
ko:K02551	lml:lmo4a_1732
ko:K02548	lml:lmo4a_1734
ko:K00549	lml:lmo4a_1738
ko:K01845	lml:lmo4a_1742
ko:K10780	lml:lmo4a_1745
ko:K03575	lml:lmo4a_1746
ko:K03565	lml:lmo4a_1750
ko:K07071	lml:lmo4a_1751
ko:K14205	lml:lmo4a_1752
ko:K06131	lml:lmo4a_2505
ko:K09811	lml:lmo4a_2508
ko:K09812	lml:lmo4a_2509
ko:K02836	lml:lmo4a_2511
ko:K03070	lml:lmo4a_2512
ko:K05946	lml:lmo4a_2523
ko:K02372	lml:lmo4a_2526
ko:K03569	lml:lmo4a_2527
ko:K00790	lml:lmo4a_2528
ko:K02114	lml:lmo4a_2530
ko:K02112	lml:lmo4a_2531
ko:K02115	lml:lmo4a_2532
ko:K02111	lml:lmo4a_2533
ko:K02113	lml:lmo4a_2534
ko:K02109	lml:lmo4a_2535
ko:K02110	lml:lmo4a_2536
ko:K02108	lml:lmo4a_2537
ko:K00761	lml:lmo4a_2540
ko:K00600	lml:lmo4a_2541
ko:K07566	lml:lmo4a_2543
ko:K02493	lml:lmo4a_2544
ko:K02835	lml:lmo4a_2545
ko:K00872	lml:lmo4a_2547
ko:K01733	lml:lmo4a_2548
ko:K00003	lml:lmo4a_2549
ko:K02909	lml:lmo4a_2550
ko:K03628	lml:lmo4a_2552
ko:K00790	lml:lmo4a_2553
ko:K00615	lml:lmo4a_0359
ko:K01808	lml:lmo4a_0362
ko:K01803	lml:lmo4a_0363
ko:K05879	lml:lmo4a_0364
ko:K05878	lml:lmo4a_0365
ko:K02769	lml:lmo4a_0376
ko:K02770	lml:lmo4a_0376
ko:K01624	lml:lmo4a_0377
ko:K10716	lml:lmo4a_2108
ko:K00016	lml:lmo4a_0226
ko:K01958	lml:lmo4a_1077
ko:K09693	lml:lmo4a_1080
ko:K01916	lml:lmo4a_1095
ko:K06889	lml:lmo4a_1108
ko:K07213	lml:lmo4a_1910
ko:K03784	lml:lmo4a_1914
ko:K03810	lml:lmo4a_1916
ko:K07305	lml:lmo4a_1917
ko:K07304	lml:lmo4a_1918
ko:K03469	lml:lmo4a_1937
ko:K03700	lml:lmo4a_1948
ko:K02086	lml:lmo4a_1952
ko:K01470	lml:lmo4a_2711
ko:K07048	lml:lmo4a_2712
ko:K03475	lml:lmo4a_2713
ko:K02822	lml:lmo4a_2714
ko:K02821	lml:lmo4a_2715
ko:K02775	lml:lmo4a_2729
ko:K14224	lml:lmo4a_tRNA41
ko:K14224	lml:lmo4a_tRNA14
ko:K14224	lml:lmo4a_tRNA57
ko:K14232	lml:lmo4a_tRNA09
ko:K14232	lml:lmo4a_tRNA31
ko:K14235	lml:lmo4a_tRNA51
ko:K14230	lml:lmo4a_tRNA28
ko:K06147	lml:lmo4a_0142
ko:K06147	lml:lmo4a_0143
ko:K01081	lml:lmo4a_0155
ko:K00088	lml:lmo4a_0157
ko:K02035	lml:lmo4a_0160
ko:K02033	lml:lmo4a_0161
ko:K02035	lml:lmo4a_0172
ko:K09815	lml:lmo4a_0173
ko:K00841	lml:lmo4a_1022
ko:K05822	lml:lmo4a_1027
ko:K06201	lml:lmo4a_1034
ko:K11617	lml:lmo4a_1037
ko:K11618	lml:lmo4a_1038
ko:K03499	lml:lmo4a_1039
ko:K02017	lml:lmo4a_1048
ko:K03635	lml:lmo4a_1053
ko:K01092	lml:lmo4a_1071
ko:K01104	lml:lmo4a_1857
ko:K09787	lml:lmo4a_1859
ko:K00059	lml:lmo4a_1864
ko:K07030	lml:lmo4a_1871
ko:K00949	lml:lmo4a_1874
ko:K02823	lml:lmo4a_1891
ko:K02824	lml:lmo4a_1896
ko:K01426	lml:lmo4a_2667
ko:K08969	lml:lmo4a_0311
ko:K07668	lml:lmo4a_0312
ko:K07652	lml:lmo4a_0313
ko:K03491	lml:lmo4a_0320
ko:K02190	lml:lmo4a_1184
ko:K02009	lml:lmo4a_1187
ko:K02004	lml:lmo4a_1204
ko:K06994	lml:lmo4a_1206
ko:K03471	lml:lmo4a_1208
ko:K02428	lml:lmo4a_1219
ko:K03783	lml:lmo4a_2010
ko:K04763	lml:lmo4a_2012
ko:K03711	lml:lmo4a_2013
ko:K01515	lml:lmo4a_2023
ko:K00784	lml:lmo4a_2028
ko:K01619	lml:lmo4a_2046
ko:K02793	lml:lmo4a_2048
ko:K03342	lml:lmo4a_2813
ko:K07258	lml:lmo4a_2820
ko:K00088	lml:lmo4a_2824
ko:K02004	lml:lmo4a_2838
ko:K03491	lml:lmo4a_2850
ko:K02799	lml:lmo4a_2862
ko:K02800	lml:lmo4a_2862
ko:K00939	lml:lmo4a_2675
ko:K00805	lml:lmo4a_2704
ko:K00805	lml:lmo4a_2705
ko:K03708	lml:lmo4a_0245
ko:K09698	lml:lmo4a_0253
ko:K00564	lml:lmo4a_0272
ko:K01182	lml:lmo4a_0280
ko:K01439	lml:lmo4a_0286
ko:K13921	lml:lmo4a_1149
ko:K04720	lml:lmo4a_1152
ko:K03399	lml:lmo4a_1177
ko:K00974	lml:lmo4a_1962
ko:K00027	lml:lmo4a_1972
ko:K04517	lml:lmo4a_1981
ko:K00805	lml:lmo4a_1987
ko:K00805	lml:lmo4a_1989
ko:K01104	lml:lmo4a_1992
ko:K01424	lml:lmo4a_1997
ko:K05337	lml:lmo4a_2001
ko:K00851	lml:lmo4a_2775
ko:K16012	lml:lmo4a_2778
ko:K16013	lml:lmo4a_2779
ko:K04750	lml:lmo4a_2787
ko:K01191	lml:lmo4a_2797
ko:K08161	lml:lmo4a_2804
ko:K00616	lml:lmo4a_2806
ko:K07343	lml:lmo4a_2809
ko:K01507	lml:lmo4a_0357
ko:K00616	lml:lmo4a_0360
ko:K00244	lml:lmo4a_0373
ko:K05937	lml:lmo4a_0400
ko:K04750	lml:lmo4a_1296
ko:K07720	lml:lmo4a_2061
ko:K09704	lml:lmo4a_2064
ko:K01191	lml:lmo4a_2065
ko:K01191	lml:lmo4a_2066
ko:K07105	lml:lmo4a_2072
ko:K08724	lml:lmo4a_2088
ko:K08152	lml:lmo4a_2092
ko:K07177	lml:lmo4a_2100
ko:K01788	lml:lmo4a_2864
ko:K00059	lml:lmo4a_2881
ko:K00058	lml:lmo4a_2890
ko:K04844	lml:lmo4a_2899
ko:K02025	lml:lmo4a_2904
ko:K01629	lml:lmo4a_2913
ko:K15524	lml:lmo4a_0414
ko:K01759	lml:lmo4a_0419
ko:K07729	lml:lmo4a_0427
ko:K03486	lml:lmo4a_1309
ko:K01409	lml:lmo4a_2126
ko:K01226	lml:lmo4a_1310
ko:K07052	lml:lmo4a_2121
ko:K06889	lml:lmo4a_2125
ko:K01182	lml:lmo4a_0200
ko:K03478	lml:lmo4a_0207
ko:K09685	lml:lmo4a_0208
ko:K02005	lml:lmo4a_0209
ko:K02004	lml:lmo4a_0211
ko:K01771	lml:lmo4a_0217
ko:K11031	lml:lmo4a_0218
ko:K05020	lml:lmo4a_2150
ko:K00882	lml:lmo4a_2153
ko:K02775	lml:lmo4a_2154
ko:K01813	lml:lmo4a_2914
ko:K06610	lml:lmo4a_2916
ko:K06346	lml:lmo4a_2919
ko:K03316	lml:lmo4a_0809
ko:K11072	lml:lmo4a_0813
ko:K11071	lml:lmo4a_0814
ko:K11069	lml:lmo4a_0816
ko:K01674	lml:lmo4a_0824
ko:K02371	lml:lmo4a_0827
ko:K00054	lml:lmo4a_0837
ko:K06147	lml:lmo4a_0848
ko:K07784	lml:lmo4a_0849
ko:K01439	lml:lmo4a_1680
ko:K03574	lml:lmo4a_1681
ko:K06994	lml:lmo4a_2466
ko:K09762	lml:lmo4a_2474
ko:K01835	lml:lmo4a_2477
ko:K01785	lml:lmo4a_2478
ko:K01784	lml:lmo4a_2479
ko:K06023	lml:lmo4a_2485
ko:K07658	lml:lmo4a_2503
ko:K01496	lml:lmo4a_0577
ko:K03492	lml:lmo4a_0590
ko:K07030	lml:lmo4a_0605
ko:K10947	lml:lmo4a_0616
ko:K01523	lml:lmo4a_0576
ko:K06147	lml:lmo4a_0624
ko:K06147	lml:lmo4a_0625
ko:K02443	lml:lmo4a_1462
ko:K00626	lml:lmo4a_1472
ko:K01641	lml:lmo4a_1473
ko:K06902	lml:lmo4a_1475
ko:K05845	lml:lmo4a_1480
ko:K05846	lml:lmo4a_1480
ko:K00383	lml:lmo4a_1491
ko:K07533	lml:lmo4a_1501
ko:K02076	lml:lmo4a_1502
ko:K15986	lml:lmo4a_1505
ko:K06976	lml:lmo4a_2270
ko:K07533	lml:lmo4a_2280
ko:K03698	lml:lmo4a_2281
ko:K01679	lml:lmo4a_2286
ko:K12555	lml:lmo4a_2290
ko:K00575	lml:lmo4a_0699
ko:K00158	lml:lmo4a_0739
ko:K03406	lml:lmo4a_0740
ko:K00016	lml:lmo4a_1590
ko:K04518	lml:lmo4a_1592
ko:K07584	lml:lmo4a_1597
ko:K02236	lml:lmo4a_1606
ko:K01719	lml:lmo4a_1611
ko:K11737	lml:lmo4a_0794
ko:K07570	lml:lmo4a_2372
ko:K02004	lml:lmo4a_2374
ko:K03768	lml:lmo4a_2381
ko:K05565	lml:lmo4a_2383
ko:K05568	lml:lmo4a_2386
ko:K05570	lml:lmo4a_2388
ko:K01580	lml:lmo4a_2362
ko:K02793	lml:lmo4a_0020
ko:K02795	lml:lmo4a_0022
ko:K06201	lml:lmo4a_0025
ko:K02755	lml:lmo4a_0026
ko:K02756	lml:lmo4a_0026
ko:K02757	lml:lmo4a_0026
ko:K01478	lml:lmo4a_0036
ko:K07706	lml:lmo4a_0043
ko:K03492	lml:lmo4a_0919
ko:K00383	lml:lmo4a_0922
ko:K00135	lml:lmo4a_0929
ko:K03491	lml:lmo4a_0934
ko:K00867	lml:lmo4a_0938
ko:K01104	lml:lmo4a_0953
ko:K07504	lml:lmo4a_1775
ko:K09963	lml:lmo4a_1776
ko:K02025	lml:lmo4a_1786
ko:K02004	lml:lmo4a_1801
ko:K03048	lml:lmo4a_2561
ko:K02035	lml:lmo4a_2571
ko:K02004	lml:lmo4a_2584
ko:K03593	lml:lmo4a_2593
ko:K01739	lml:lmo4a_1737
ko:K07729	lml:lmo4a_0761
ko:K07098	lml:lmo4a_0775
ko:K02795	lml:lmo4a_0788
ko:K02793	lml:lmo4a_0790
ko:K03976	lml:lmo4a_0797
ko:K11144	lml:lmo4a_1616
ko:K03346	lml:lmo4a_1617
ko:K10563	lml:lmo4a_1620
ko:K06286	lml:lmo4a_1655
ko:K00657	lml:lmo4a_2405
ko:K04488	lml:lmo4a_2413
ko:K01580	lml:lmo4a_2435
ko:K03488	lml:lmo4a_2437
ko:K07032	lml:lmo4a_2438
ko:K02564	lml:lmo4a_0972
ko:K07816	lml:lmo4a_0982
ko:K00567	lml:lmo4a_1012
ko:K03697	lml:lmo4a_1013
ko:K07052	lml:lmo4a_1014
ko:K11189	lml:lmo4a_1018
ko:K08483	lml:lmo4a_1019
ko:K02433	lml:lmo4a_1810
ko:K07094	lml:lmo4a_1815
ko:K01258	lml:lmo4a_1835
ko:K02793	lml:lmo4a_0130
ko:K02794	lml:lmo4a_0130
ko:K02795	lml:lmo4a_0131
ko:K01222	lml:lmo4a_0536
ko:K01222	lml:lmo4a_0551
ko:K01635	lml:lmo4a_0554
ko:K02782	lml:lmo4a_0558
ko:K02783	lml:lmo4a_0558
ko:K02783	lml:lmo4a_0559
ko:K07404	lml:lmo4a_0573
ko:K01262	lml:lmo4a_1410
ko:K00929	lml:lmo4a_1427
ko:K00033	lml:lmo4a_1433
ko:K01823	lml:lmo4a_1440
ko:K02056	lml:lmo4a_1446
ko:K00059	lml:lmo4a_1451
ko:K07035	lml:lmo4a_2206
ko:K01759	lml:lmo4a_2228
ko:K01026	lml:lmo4a_2232
ko:K06198	lml:lmo4a_2250
ko:K10823	lml:lmo4a_2253
ko:K15582	lml:lmo4a_2255
ko:K07025	lml:lmo4a_0646
ko:K03294	lml:lmo4a_0658
ko:K07104	lml:lmo4a_0659
ko:K07457	lml:lmo4a_0671
ko:K01489	lml:lmo4a_1519
ko:K02238	lml:lmo4a_1538
ko:K06948	lml:lmo4a_1547
ko:K01243	lml:lmo4a_1550
ko:K02004	lml:lmo4a_1562
ko:K06889	lml:lmo4a_2322
ko:K00882	lml:lmo4a_2333
ko:K03436	lml:lmo4a_2334
ko:K01372	lml:lmo4a_2335
ko:K06183	lml:lmo4a_2339
ko:K02564	lml:lmo4a_2355
ko:K10254	lml:lmo4a_0486
ko:K02775	lml:lmo4a_0515
ko:K03713	lml:lmo4a_1354
ko:K09976	lml:lmo4a_1362
ko:K09764	lml:lmo4a_1382
ko:K03177	lml:lmo4a_1384
ko:K01934	lml:lmo4a_1392
ko:K00845	lml:lmo4a_1395
ko:K02249	lml:lmo4a_1397
ko:K02248	lml:lmo4a_1398
ko:K02246	lml:lmo4a_1400
ko:K02245	lml:lmo4a_1401
ko:K02244	lml:lmo4a_1402
ko:K02243	lml:lmo4a_1403
ko:K00625	lml:lmo4a_2163
ko:K07098	lml:lmo4a_2167
ko:K02004	lml:lmo4a_2176
ko:K07052	lml:lmo4a_2188
ko:K09167	lml:lmo4a_0896
ko:K08981	lml:lmo4a_0897
ko:K07315	lml:lmo4a_0906
ko:K00657	lml:lmo4a_0009
ko:K00869	lml:lmo4a_0010
ko:K03090	lml:lmo4a_0909
ko:K03095	lml:lmo4a_0913
ko:K00016	lml:lmo4a_1724
ko:K01597	lml:lmo4a_0011
ko:K09815	lml:lmo4a_1728
ko:K08680	lml:lmo4a_1731
ko:K02552	lml:lmo4a_1733
ko:K01760	lml:lmo4a_1736
ko:K09825	lml:lmo4a_1740
ko:K07586	lml:lmo4a_1744
ko:K02242	lml:lmo4a_2514
ko:K02240	lml:lmo4a_2515
ko:K07692	lml:lmo4a_2517
ko:K02549	lml:lmo4a_2522
ko:K02116	lml:lmo4a_2538
ko:K00938	lml:lmo4a_0012
ko:K07027	lml:lmo4a_2554
ko:K02025	lml:lmo4a_0871
ko:K01226	lml:lmo4a_0873
ko:K07038	lml:lmo4a_1747
ko:K16509	lml:lmo4a_2252
ko:K03699	lml:lmo4a_2801
ko:K01840	lml:lmo4a_0876
ko:K01838	lml:lmo4a_2897
ko:K11733	lml:lmo4a_0805
ko:K01977	lml:lmo4a_rRNA04
ko:K01977	lml:lmo4a_rRNA18
ko:K01977	lml:lmo4a_rRNA15
ko:K01977	lml:lmo4a_rRNA09
ko:K01977	lml:lmo4a_rRNA12
ko:K01977	lml:lmo4a_rRNA01
ko:K01223	lml:lmo4a_0293
ko:K01223	lml:lmo4a_0285
ko:K02769	lml:lmo4a_0412
ko:K02769	lml:lmo4a_2197
ko:K15583	lml:lmo4a_2254
ko:K14234	lml:lmo4a_tRNA63
ko:K16511	lml:lmo4a_2251
ko:K01223	lml:lmo4a_2827
ko:K02798	lml:lmo4a_2860
ko:K01223	lml:lmo4a_0589
ko:K02769	lml:lmo4a_0437
ko:K16329	lml:lmo4a_2337
ko:K16169	lml:lmo4a_1941
ko:K05518	lml:lmo4a_0910
ko:K05340	lml:lmo4a_0189
ko:K05340	lml:lmo4a_0434
ko:K16264	lml:lmo4a_2577
ko:K02851	lml:lmo4a_0974
ko:K16644	lml:lmo4a_0220
ko:K15770	lml:lmo4a_2186
ko:K15770	lml:lmo4a_0277
ko:K15772	lml:lmo4a_0279
ko:K01985	lml:lmo4a_rRNA03
ko:K01985	lml:lmo4a_rRNA07
ko:K01985	lml:lmo4a_rRNA06
ko:K01985	lml:lmo4a_rRNA16
ko:K01985	lml:lmo4a_rRNA13
ko:K01985	lml:lmo4a_rRNA10
ko:K13730	lml:lmo4a_0453
ko:K13731	lml:lmo4a_0454
ko:K15772	lml:lmo4a_2184
ko:K15771	lml:lmo4a_2185
ko:K16786	lml:lmo4a_2665
ko:K02768	lml:lmo4a_0436
ko:K02026	lml:lmo4a_0196
ko:K16787	lml:lmo4a_2664
ko:K16785	lml:lmo4a_2663
ko:K09681	lml:lmo4a_1790
ko:K00980	lml:lmo4a_1093
ko:K16789	lml:lmo4a_1487
ko:K02768	lml:lmo4a_0411
ko:K02768	lml:lmo4a_2198
ko:K02025	lml:lmo4a_0195
ko:K13052	lml:lmo4a_0233
ko:K00008	lml:lmo4a_0513
ko:K16785	lml:lmo4a_2698
ko:K02768	lml:lmo4a_0375
ko:K11050	lml:lmo4a_1002
ko:K16651	lml:lmo4a_1153
ko:K02851	lml:lmo4a_2521
ko:K16898	lml:lmo4a_2327
ko:K01834	lml:lmo4a_2266
ko:K02030	lml:lmo4a_1793
ko:K14236	lml:lmo4a_tRNA43
ko:K14236	lml:lmo4a_tRNA52
ko:K14237	lml:lmo4a_tRNA67
ko:K02006	lml:lmo4a_1189
ko:K01271	lml:lmo4a_1634
ko:K14228	lml:lmo4a_tRNA05
ko:K14228	lml:lmo4a_tRNA35
ko:K14218	lml:lmo4a_tRNA10
ko:K14218	lml:lmo4a_tRNA65
ko:K14218	lml:lmo4a_tRNA30
ko:K14218	lml:lmo4a_tRNA60
ko:K14231	lml:lmo4a_tRNA53
ko:K11991	lml:lmo4a_2782
ko:K07979	lml:lmo4a_2302
ko:K00951	lml:lmo4a_1579
ko:K10974	lml:lmo4a_0475
ko:K02226	lml:lmo4a_1132
ko:K02008	lml:lmo4a_1188
ko:K14229	lml:lmo4a_tRNA01
ko:K14229	lml:lmo4a_tRNA36
ko:K14229	lml:lmo4a_tRNA45
ko:K14229	lml:lmo4a_tRNA04
ko:K14237	lml:lmo4a_tRNA02
ko:K14237	lml:lmo4a_tRNA38
ko:K14237	lml:lmo4a_tRNA56
ko:K14228	lml:lmo4a_tRNA07
ko:K14228	lml:lmo4a_tRNA33
ko:K14225	lml:lmo4a_tRNA34
ko:K14225	lml:lmo4a_tRNA48
ko:K14225	lml:lmo4a_tRNA16
ko:K14219	lml:lmo4a_tRNA08
ko:K14219	lml:lmo4a_tRNA32
ko:K14219	lml:lmo4a_tRNA17
ko:K14220	lml:lmo4a_tRNA12
ko:K14220	lml:lmo4a_tRNA64
ko:K14220	lml:lmo4a_tRNA59
ko:K14221	lml:lmo4a_tRNA15
ko:K14221	lml:lmo4a_tRNA54
ko:K14227	lml:lmo4a_tRNA61
ko:K14227	lml:lmo4a_tRNA66
ko:K14230	lml:lmo4a_tRNA55
ko:K14230	lml:lmo4a_tRNA29
ko:K14233	lml:lmo4a_tRNA27
ko:K14234	lml:lmo4a_tRNA42
ko:K14223	lml:lmo4a_tRNA44
ko:K14223	lml:lmo4a_tRNA49
ko:K14222	lml:lmo4a_tRNA47
ko:K04027	lml:lmo4a_1163
ko:K16899	lml:lmo4a_2328
ko:K16960	lml:lmo4a_2343
ko:K16959	lml:lmo4a_2344
ko:K16958	lml:lmo4a_2345
ko:K16957	lml:lmo4a_2346
ko:K11070	lml:lmo4a_0815
ko:K10027	lml:lmo4a_1016
ko:K01992	lml:lmo4a_2287
ko:K01990	lml:lmo4a_2288
ko:K01992	lml:lmo4a_2275
ko:K02029	lml:lmo4a_0857
ko:K02030	lml:lmo4a_0857
ko:K02029	lml:lmo4a_2311
ko:K02030	lml:lmo4a_2311
ko:K17319	lml:lmo4a_2060
ko:K17318	lml:lmo4a_2058
ko:K10947	lml:lmo4a_0736
ko:K02028	lml:lmo4a_1794
ko:K01990	lml:lmo4a_2276
ko:K13923	lml:lmo4a_1143
ko:K01990	lml:lmo4a_0754
ko:K01990	lml:lmo4a_2200
ko:K01992	lml:lmo4a_2201
ko:K01992	lml:lmo4a_2020
ko:K02028	lml:lmo4a_0858
ko:K02028	lml:lmo4a_2312
ko:K01980	lml:lmo4a_rRNA05
ko:K01980	lml:lmo4a_rRNA11
ko:K01980	lml:lmo4a_rRNA14
ko:K01980	lml:lmo4a_rRNA17
ko:K01980	lml:lmo4a_rRNA08
ko:K01980	lml:lmo4a_rRNA02
