ko:K20265	bni:BANAN_02305
ko:K14218	bni:BANAN_t07947
ko:K14218	bni:BANAN_t07847
ko:K14218	bni:BANAN_t07899
ko:K14218	bni:BANAN_t07901
ko:K14234	bni:BANAN_t07949
ko:K14234	bni:BANAN_t07871
ko:K14234	bni:BANAN_t07863
ko:K14228	bni:BANAN_t07919
ko:K14228	bni:BANAN_t07923
ko:K14228	bni:BANAN_t07925
ko:K14228	bni:BANAN_t07861
ko:K14223	bni:BANAN_t07859
ko:K14223	bni:BANAN_t07897
ko:K14235	bni:BANAN_t07865
ko:K14236	bni:BANAN_t07869
ko:K14224	bni:BANAN_t07883
ko:K14221	bni:BANAN_t07885
ko:K14221	bni:BANAN_t07887
ko:K14232	bni:BANAN_t07907
ko:K14237	bni:BANAN_t07911
ko:K14219	bni:BANAN_t07927
ko:K14219	bni:BANAN_t07929
ko:K14237	bni:BANAN_t07913
ko:K14237	bni:BANAN_t07933
ko:K01740	bni:BANAN_02260
ko:K15554	bni:BANAN_05020
ko:K05340	bni:BANAN_05400
ko:K15772	bni:BANAN_07530
ko:K02851	bni:BANAN_02680
ko:K15770	bni:BANAN_07540
ko:K15771	bni:BANAN_07535
ko:K02484	bni:BANAN_03295
ko:K10117	bni:BANAN_02615
ko:K10118	bni:BANAN_02620
ko:K10119	bni:BANAN_02625
ko:K02037	bni:BANAN_01800
ko:K16785	bni:BANAN_03425
ko:K16786	bni:BANAN_03425
ko:K16787	bni:BANAN_03425
ko:K02075	bni:BANAN_04895
ko:K16650	bni:BANAN_07315
ko:K10118	bni:BANAN_07565
ko:K10117	bni:BANAN_07575
ko:K10242	bni:BANAN_06915
ko:K10118	bni:BANAN_07675
ko:K10119	bni:BANAN_07670
ko:K10119	bni:BANAN_07560
ko:K16925	bni:BANAN_02580
ko:K11991	bni:BANAN_07695
ko:K16786	bni:BANAN_00910
ko:K16787	bni:BANAN_00910
ko:K02030	bni:BANAN_02775
ko:K02030	bni:BANAN_02780
ko:K16785	bni:BANAN_05220
ko:K15555	bni:BANAN_05030
ko:K16785	bni:BANAN_00905
ko:K08316	bni:BANAN_01375
ko:K16925	bni:BANAN_03515
ko:K16785	bni:BANAN_03520
ko:K16786	bni:BANAN_03520
ko:K16787	bni:BANAN_03520
ko:K16926	bni:BANAN_00900
ko:K16786	bni:BANAN_05225
ko:K16787	bni:BANAN_05225
ko:K01190	bni:BANAN_02475
ko:K01990	bni:BANAN_07325
ko:K15581	bni:BANAN_05630
ko:K01992	bni:BANAN_02525
ko:K01992	bni:BANAN_07330
ko:K01990	bni:BANAN_02520
ko:K01990	bni:BANAN_04745
ko:K02028	bni:BANAN_02790
ko:K00265	bni:BANAN_04455
ko:K00951	bni:BANAN_05365
ko:K01897	bni:BANAN_04510
ko:K01897	bni:BANAN_06805
ko:K01897	bni:BANAN_03385
ko:K01897	bni:BANAN_03800
ko:K03574	bni:BANAN_02915
ko:K15580	bni:BANAN_05640
ko:K15582	bni:BANAN_05625
ko:K10112	bni:BANAN_07740
ko:K01992	bni:BANAN_05540
ko:K03671	bni:BANAN_06680
ko:K01739	bni:BANAN_02855
ko:K17686	bni:BANAN_05145
ko:K01190	bni:BANAN_01400
ko:K07284	bni:BANAN_07190
ko:K00971	bni:BANAN_01520
ko:K07979	bni:BANAN_04750
ko:K03767	bni:BANAN_05360
ko:K12574	bni:BANAN_06475
ko:K17828	bni:BANAN_04370
ko:K00661	bni:BANAN_05570
ko:K07284	bni:BANAN_01200
ko:K07284	bni:BANAN_06580
ko:K01187	bni:BANAN_07580
ko:K08168	bni:BANAN_07260
ko:K00897	bni:BANAN_00270
ko:K02031	bni:BANAN_05620
ko:K02032	bni:BANAN_05620
ko:K02031	bni:BANAN_05820
ko:K02032	bni:BANAN_05820
ko:K02483	bni:BANAN_03290
ko:K03719	bni:BANAN_07085
ko:K01488	bni:BANAN_04760
ko:K00991	bni:BANAN_01725
ko:K01999	bni:BANAN_00720
ko:K02003	bni:BANAN_00840
ko:K06147	bni:BANAN_05070
ko:K08659	bni:BANAN_01175
ko:K02038	bni:BANAN_01805
ko:K03466	bni:BANAN_01820
ko:K07284	bni:BANAN_06280
ko:K07284	bni:BANAN_06285
ko:K07284	bni:BANAN_06305
ko:K01760	bni:BANAN_02255
ko:K01740	bni:BANAN_02265
ko:K02909	bni:BANAN_02660
ko:K06147	bni:BANAN_07400
ko:K07459	bni:BANAN_02425
ko:K03574	bni:BANAN_01060
ko:K01214	bni:BANAN_04825
ko:K06147	bni:BANAN_06800
ko:K07473	bni:BANAN_00565
ko:K03496	bni:BANAN_05695
ko:K03111	bni:BANAN_02715
ko:K03502	bni:BANAN_03030
ko:K03111	bni:BANAN_07240
ko:K07473	bni:BANAN_07620
ko:K03497	bni:BANAN_07805
ko:K03496	bni:BANAN_07810
ko:K19055	bni:BANAN_04735
ko:K07483	bni:BANAN_01425
ko:K07483	bni:BANAN_01530
ko:K07483	bni:BANAN_06255
ko:K03976	bni:BANAN_05730
ko:K03526	bni:BANAN_06115
ko:K07816	bni:BANAN_05525
ko:K19158	bni:BANAN_00715
ko:K00633	bni:BANAN_00870
ko:K00067	bni:BANAN_06705
ko:K01790	bni:BANAN_06705
ko:K19046	bni:BANAN_06870
ko:K19157	bni:BANAN_07615
ko:K19124	bni:BANAN_06865
ko:K01710	bni:BANAN_06710
ko:K07452	bni:BANAN_01845
ko:K01239	bni:BANAN_07265
ko:K19126	bni:BANAN_06855
ko:K19157	bni:BANAN_07475
ko:K01621	bni:BANAN_04800
ko:K19157	bni:BANAN_00560
ko:K09951	bni:BANAN_06845
ko:K19265	bni:BANAN_01485
ko:K01990	bni:BANAN_05550
ko:K12952	bni:BANAN_05585
ko:K19302	bni:BANAN_00865
ko:K08217	bni:BANAN_00745
ko:K01785	bni:BANAN_05740
ko:K08156	bni:BANAN_00550
ko:K00526	bni:BANAN_01690
ko:K08744	bni:BANAN_03930
ko:K21672	bni:BANAN_05535
ko:K12132	bni:BANAN_00435
ko:K12132	bni:BANAN_00440
ko:K12132	bni:BANAN_05445
ko:K20074	bni:BANAN_00455
ko:K01179	bni:BANAN_06350
ko:K01200	bni:BANAN_04610
ko:K01200	bni:BANAN_04615
ko:K01200	bni:BANAN_07525
ko:K01214	bni:BANAN_01975
ko:K20814	bni:BANAN_03185
ko:K00525	bni:BANAN_01695
ko:K00821	bni:BANAN_03575
ko:K02314	bni:BANAN_01020
ko:K06191	bni:BANAN_01705
ko:K00560	bni:BANAN_02385
ko:K00287	bni:BANAN_02390
ko:K02316	bni:BANAN_02970
ko:K06217	bni:BANAN_04540
ko:K01520	bni:BANAN_05370
ko:K03553	bni:BANAN_05485
ko:K04068	bni:BANAN_06410
ko:K21636	bni:BANAN_06415
ko:K02031	bni:BANAN_02845
ko:K02032	bni:BANAN_02850
ko:K02335	bni:BANAN_04840
ko:K03293	bni:BANAN_00820
ko:K21471	bni:BANAN_02765
ko:K21471	bni:BANAN_02370
ko:K03293	bni:BANAN_00805
ko:K01802	bni:BANAN_04985
ko:K05364	bni:BANAN_00445
ko:K21739	bni:BANAN_07730
ko:K10914	bni:BANAN_06625
ko:K00936	bni:BANAN_04970
ko:K22010	bni:BANAN_04845
ko:K03595	bni:BANAN_04515
ko:K03077	bni:BANAN_00350
ko:K22306	bni:BANAN_03695
ko:K22311	bni:BANAN_04075
ko:K22441	bni:BANAN_04095
ko:K00728	bni:BANAN_07440
ko:K22477	bni:BANAN_04325
ko:K08300	bni:BANAN_01575
ko:K08301	bni:BANAN_01575
