ko:K01991	bmw:BMNI_II0380
ko:K00831	bmw:BMNI_I1622
ko:K03453	bmw:BMNI_I1623
ko:K03431	bmw:BMNI_I1625
ko:K03798	bmw:BMNI_I1626
ko:K04075	bmw:BMNI_I1627
ko:K03640	bmw:BMNI_I1630
ko:K03641	bmw:BMNI_I1631
ko:K03562	bmw:BMNI_I1634
ko:K07107	bmw:BMNI_I1635
ko:K03551	bmw:BMNI_I1636
ko:K03550	bmw:BMNI_I1637
ko:K01159	bmw:BMNI_I1638
ko:K13592	bmw:BMNI_I1639
ko:K00788	bmw:BMNI_I1641
ko:K02356	bmw:BMNI_I1644
ko:K02557	bmw:BMNI_I1647
ko:K02909	bmw:BMNI_I1649
ko:K03523	bmw:BMNI_I1652
ko:K09706	bmw:BMNI_I1653
ko:K09769	bmw:BMNI_I1655
ko:K09888	bmw:BMNI_I1657
ko:K00615	bmw:BMNI_I1659
ko:K01951	bmw:BMNI_II0343
ko:K07230	bmw:BMNI_II0345
ko:K07243	bmw:BMNI_II0347
ko:K00925	bmw:BMNI_II0350
ko:K01999	bmw:BMNI_II0356
ko:K01996	bmw:BMNI_II0358
ko:K00014	bmw:BMNI_II0360
ko:K01999	bmw:BMNI_II0363
ko:K01714	bmw:BMNI_II0369
ko:K02034	bmw:BMNI_II0370
ko:K02377	bmw:BMNI_II0381
ko:K02377	bmw:BMNI_II0382
ko:K01711	bmw:BMNI_II0383
ko:K03818	bmw:BMNI_II0388
ko:K01999	bmw:BMNI_II1137
ko:K01997	bmw:BMNI_II1138
ko:K01998	bmw:BMNI_II1139
ko:K01995	bmw:BMNI_II1140
ko:K01995	bmw:BMNI_II1141
ko:K01996	bmw:BMNI_II1142
ko:K00790	bmw:BMNI_I0283
ko:K03190	bmw:BMNI_I0293
ko:K01430	bmw:BMNI_I0294
ko:K01429	bmw:BMNI_I0296
ko:K01428	bmw:BMNI_I0297
ko:K03187	bmw:BMNI_I0298
ko:K03188	bmw:BMNI_I0299
ko:K03189	bmw:BMNI_I0300
ko:K01464	bmw:BMNI_I0304
ko:K01810	bmw:BMNI_I0312
ko:K06987	bmw:BMNI_I0313
ko:K01091	bmw:BMNI_I0314
ko:K03577	bmw:BMNI_I0317
ko:K03585	bmw:BMNI_I0318
ko:K07636	bmw:BMNI_I0325
ko:K13583	bmw:BMNI_I0326
ko:K04083	bmw:BMNI_I0329
ko:K06195	bmw:BMNI_I0330
ko:K10764	bmw:BMNI_I0331
ko:K01494	bmw:BMNI_I0333
ko:K02879	bmw:BMNI_I1176
ko:K03040	bmw:BMNI_I1177
ko:K02948	bmw:BMNI_I1178
ko:K02952	bmw:BMNI_I1179
ko:K03076	bmw:BMNI_I1181
ko:K02876	bmw:BMNI_I1182
ko:K02907	bmw:BMNI_I1183
ko:K02988	bmw:BMNI_I1184
ko:K02881	bmw:BMNI_I1185
ko:K02933	bmw:BMNI_I1186
ko:K02994	bmw:BMNI_I1187
ko:K02954	bmw:BMNI_I1188
ko:K02931	bmw:BMNI_I1189
ko:K02895	bmw:BMNI_I1190
ko:K02874	bmw:BMNI_I1191
ko:K02961	bmw:BMNI_I1192
ko:K02904	bmw:BMNI_I1193
ko:K02878	bmw:BMNI_I1194
ko:K02982	bmw:BMNI_I1195
ko:K02890	bmw:BMNI_I1196
ko:K02965	bmw:BMNI_I1197
ko:K02886	bmw:BMNI_I1198
ko:K02892	bmw:BMNI_I1199
ko:K02926	bmw:BMNI_I1200
ko:K02906	bmw:BMNI_I1201
ko:K02946	bmw:BMNI_I1202
ko:K02355	bmw:BMNI_I1203
ko:K02992	bmw:BMNI_I1204
ko:K02950	bmw:BMNI_I1205
ko:K03046	bmw:BMNI_I1207
ko:K03043	bmw:BMNI_I1208
ko:K02935	bmw:BMNI_I1209
ko:K02864	bmw:BMNI_I1210
ko:K02863	bmw:BMNI_I1211
ko:K02867	bmw:BMNI_I1212
ko:K02601	bmw:BMNI_I1213
ko:K03073	bmw:BMNI_I1214
ko:K02358	bmw:BMNI_I1215
ko:K03218	bmw:BMNI_I1216
ko:K00640	bmw:BMNI_I1225
ko:K09005	bmw:BMNI_I1227
ko:K02501	bmw:BMNI_I1985
ko:K01814	bmw:BMNI_I1986
ko:K02500	bmw:BMNI_I1987
ko:K15034	bmw:BMNI_I1990
ko:K01610	bmw:BMNI_I1991
ko:K14981	bmw:BMNI_I1992
ko:K14980	bmw:BMNI_I1993
ko:K01251	bmw:BMNI_I1997
ko:K03671	bmw:BMNI_I2003
ko:K11754	bmw:BMNI_I2004
ko:K01963	bmw:BMNI_I2005
ko:K01695	bmw:BMNI_I2006
ko:K01696	bmw:BMNI_I2008
ko:K01817	bmw:BMNI_I2009
ko:K07043	bmw:BMNI_I2011
ko:K05782	bmw:BMNI_I2014
ko:K02520	bmw:BMNI_I2017
ko:K02916	bmw:BMNI_I2019
ko:K02887	bmw:BMNI_I2020
ko:K01889	bmw:BMNI_I2022
ko:K01890	bmw:BMNI_I2023
ko:K04043	bmw:BMNI_I2025
ko:K03686	bmw:BMNI_I2027
ko:K01591	bmw:BMNI_I2029
ko:K01920	bmw:BMNI_I2032
ko:K07391	bmw:BMNI_I2033
ko:K03642	bmw:BMNI_I2035
ko:K09790	bmw:BMNI_I2036
ko:K02040	bmw:BMNI_I2037
ko:K02037	bmw:BMNI_I2038
ko:K02038	bmw:BMNI_I2039
ko:K00036	bmw:BMNI_II0722
ko:K01057	bmw:BMNI_II0723
ko:K01690	bmw:BMNI_II0724
ko:K01491	bmw:BMNI_II0725
ko:K00286	bmw:BMNI_II0726
ko:K02034	bmw:BMNI_II0731
ko:K01673	bmw:BMNI_II0735
ko:K04566	bmw:BMNI_II0737
ko:K10824	bmw:BMNI_II0747
ko:K15587	bmw:BMNI_II0748
ko:K15586	bmw:BMNI_II0750
ko:K15585	bmw:BMNI_II0751
ko:K15584	bmw:BMNI_II0752
ko:K07722	bmw:BMNI_II0753
ko:K02053	bmw:BMNI_II0755
ko:K01812	bmw:BMNI_II0760
ko:K01812	bmw:BMNI_II0761
ko:K01686	bmw:BMNI_II0763
ko:K06199	bmw:BMNI_II0766
ko:K00330	bmw:BMNI_I0794
ko:K00331	bmw:BMNI_I0795
ko:K00332	bmw:BMNI_I0796
ko:K00333	bmw:BMNI_I0797
ko:K00334	bmw:BMNI_I0798
ko:K00337	bmw:BMNI_I0801
ko:K00338	bmw:BMNI_I0802
ko:K00339	bmw:BMNI_I0803
ko:K00340	bmw:BMNI_I0804
ko:K00341	bmw:BMNI_I0805
ko:K00342	bmw:BMNI_I0806
ko:K00343	bmw:BMNI_I0807
ko:K03524	bmw:BMNI_I0808
ko:K05606	bmw:BMNI_I0810
ko:K01881	bmw:BMNI_I0812
ko:K09808	bmw:BMNI_I0813
ko:K02337	bmw:BMNI_I0815
ko:K02986	bmw:BMNI_I0819
ko:K14058	bmw:BMNI_I0820
ko:K07552	bmw:BMNI_I0822
ko:K07390	bmw:BMNI_I0823
ko:K01952	bmw:BMNI_I0825
ko:K01952	bmw:BMNI_I0828
ko:K01952	bmw:BMNI_I0829
ko:K01923	bmw:BMNI_I0830
ko:K07002	bmw:BMNI_I0833
ko:K01756	bmw:BMNI_I0835
ko:K01783	bmw:BMNI_I0836
ko:K02517	bmw:BMNI_I0837
ko:K09458	bmw:BMNI_I0839
ko:K09458	bmw:BMNI_I0840
ko:K00874	bmw:BMNI_I0845
ko:K06162	bmw:BMNI_I0847
ko:K05539	bmw:BMNI_I0850
ko:K06985	bmw:BMNI_I0851
ko:K06938	bmw:BMNI_I0852
ko:K02233	bmw:BMNI_I0853
ko:K00768	bmw:BMNI_I0854
ko:K05800	bmw:BMNI_I0855
ko:K01142	bmw:BMNI_I0859
ko:K01129	bmw:BMNI_I0862
ko:K01887	bmw:BMNI_I0863
ko:K01207	bmw:BMNI_I0865
ko:K05896	bmw:BMNI_I0866
ko:K06024	bmw:BMNI_I0867
ko:K03116	bmw:BMNI_I0868
ko:K03117	bmw:BMNI_I0869
ko:K03118	bmw:BMNI_I0870
ko:K01875	bmw:BMNI_I0871
ko:K03787	bmw:BMNI_I0872
ko:K00573	bmw:BMNI_I0873
ko:K06923	bmw:BMNI_I0876
ko:K03210	bmw:BMNI_I0877
ko:K12257	bmw:BMNI_I0878
ko:K02291	bmw:BMNI_I0880
ko:K04094	bmw:BMNI_I0881
ko:K03545	bmw:BMNI_I0886
ko:K02434	bmw:BMNI_I0887
ko:K00684	bmw:BMNI_I0892
ko:K01961	bmw:BMNI_I0893
ko:K02160	bmw:BMNI_I0894
ko:K03786	bmw:BMNI_I0896
ko:K00134	bmw:BMNI_I1660
ko:K00927	bmw:BMNI_I1661
ko:K01908	bmw:BMNI_I1663
ko:K09987	bmw:BMNI_I1668
ko:K01588	bmw:BMNI_I1674
ko:K01589	bmw:BMNI_I1675
ko:K02919	bmw:BMNI_I1676
ko:K00873	bmw:BMNI_I1678
ko:K15738	bmw:BMNI_I1682
ko:K02064	bmw:BMNI_I1685
ko:K02063	bmw:BMNI_I1686
ko:K03089	bmw:BMNI_I1690
ko:K07736	bmw:BMNI_I1692
ko:K04762	bmw:BMNI_I1694
ko:K02911	bmw:BMNI_I1699
ko:K03814	bmw:BMNI_I1700
ko:K00795	bmw:BMNI_I1701
ko:K03282	bmw:BMNI_I0344
ko:K00643	bmw:BMNI_I0345
ko:K01918	bmw:BMNI_I0355
ko:K00606	bmw:BMNI_I0356
ko:K00528	bmw:BMNI_I0357
ko:K13747	bmw:BMNI_I0359
ko:K03327	bmw:BMNI_I0362
ko:K14977	bmw:BMNI_I0369
ko:K13481	bmw:BMNI_I0371
ko:K13482	bmw:BMNI_I0372
ko:K07402	bmw:BMNI_I0373
ko:K00406	bmw:BMNI_I0382
ko:K00407	bmw:BMNI_I0383
ko:K00405	bmw:BMNI_I0384
ko:K00404	bmw:BMNI_I0385
ko:K10778	bmw:BMNI_I0391
ko:K03704	bmw:BMNI_I1229
ko:K07462	bmw:BMNI_I1233
ko:K01921	bmw:BMNI_I1234
ko:K00003	bmw:BMNI_I1236
ko:K14261	bmw:BMNI_I1237
ko:K09956	bmw:BMNI_I1241
ko:K06206	bmw:BMNI_I1242
ko:K01265	bmw:BMNI_I1243
ko:K03630	bmw:BMNI_I1244
ko:K02229	bmw:BMNI_I1247
ko:K06042	bmw:BMNI_I1248
ko:K03394	bmw:BMNI_I1249
ko:K13541	bmw:BMNI_I1250
ko:K01999	bmw:BMNI_I1256
ko:K02227	bmw:BMNI_I1257
ko:K02225	bmw:BMNI_I1258
ko:K02224	bmw:BMNI_I1259
ko:K02188	bmw:BMNI_I1261
ko:K05895	bmw:BMNI_I1262
ko:K05936	bmw:BMNI_I1263
ko:K02189	bmw:BMNI_I1264
ko:K07090	bmw:BMNI_I1266
ko:K02230	bmw:BMNI_I1269
ko:K02234	bmw:BMNI_I1270
ko:K02231	bmw:BMNI_I1271
ko:K02232	bmw:BMNI_I1274
ko:K02036	bmw:BMNI_I2040
ko:K02039	bmw:BMNI_I2041
ko:K04047	bmw:BMNI_I2046
ko:K03789	bmw:BMNI_I2048
ko:K06168	bmw:BMNI_I2050
ko:K07042	bmw:BMNI_I2052
ko:K03820	bmw:BMNI_I2054
ko:K00789	bmw:BMNI_I2056
ko:K03439	bmw:BMNI_I2057
ko:K09748	bmw:BMNI_I2058
ko:K02600	bmw:BMNI_I2059
ko:K07742	bmw:BMNI_I2060
ko:K02519	bmw:BMNI_I2061
ko:K02834	bmw:BMNI_I2062
ko:K02956	bmw:BMNI_I2064
ko:K00962	bmw:BMNI_I2065
ko:K00208	bmw:BMNI_I2068
ko:K01716	bmw:BMNI_I2070
ko:K09826	bmw:BMNI_I2071
ko:K02073	bmw:BMNI_I2072
ko:K01255	bmw:BMNI_I2078
ko:K02968	bmw:BMNI_I2083
ko:K02057	bmw:BMNI_II0006
ko:K02057	bmw:BMNI_II0007
ko:K07335	bmw:BMNI_II0010
ko:K02362	bmw:BMNI_II0012
ko:K06199	bmw:BMNI_II0767
ko:K13582	bmw:BMNI_II0770
ko:K07090	bmw:BMNI_II0771
ko:K06953	bmw:BMNI_II0773
ko:K03724	bmw:BMNI_II0774
ko:K00459	bmw:BMNI_II0777
ko:K03427	bmw:BMNI_II0784
ko:K01154	bmw:BMNI_II0785
ko:K01153	bmw:BMNI_II0786
ko:K07043	bmw:BMNI_II0787
ko:K01624	bmw:BMNI_II0811
ko:K03841	bmw:BMNI_II0812
ko:K06207	bmw:BMNI_II0815
ko:K06213	bmw:BMNI_II0816
ko:K01284	bmw:BMNI_II0817
ko:K01644	bmw:BMNI_II0820
ko:K01704	bmw:BMNI_II0821
ko:K00019	bmw:BMNI_I1704
ko:K01999	bmw:BMNI_I1707
ko:K01999	bmw:BMNI_I1708
ko:K01996	bmw:BMNI_I1710
ko:K01995	bmw:BMNI_I1711
ko:K01998	bmw:BMNI_I1712
ko:K01997	bmw:BMNI_I1713
ko:K12658	bmw:BMNI_I1714
ko:K01845	bmw:BMNI_II0399
ko:K01790	bmw:BMNI_II0403
ko:K00978	bmw:BMNI_II0405
ko:K00864	bmw:BMNI_II0409
ko:K00864	bmw:BMNI_II0410
ko:K08224	bmw:BMNI_II0412
ko:K01895	bmw:BMNI_II0418
ko:K09781	bmw:BMNI_II0424
ko:K07112	bmw:BMNI_II0426
ko:K07112	bmw:BMNI_II0427
ko:K01993	bmw:BMNI_II0431
ko:K03885	bmw:BMNI_II0448
ko:K06996	bmw:BMNI_II0450
ko:K00285	bmw:BMNI_I1715
ko:K03977	bmw:BMNI_I0399
ko:K04046	bmw:BMNI_I0400
ko:K02108	bmw:BMNI_I0403
ko:K02110	bmw:BMNI_I0404
ko:K02109	bmw:BMNI_I0405
ko:K02109	bmw:BMNI_I0406
ko:K03470	bmw:BMNI_I0407
ko:K00919	bmw:BMNI_I0411
ko:K03313	bmw:BMNI_I0413
ko:K02523	bmw:BMNI_I0417
ko:K01878	bmw:BMNI_I0419
ko:K01879	bmw:BMNI_I0420
ko:K07566	bmw:BMNI_I0421
ko:K01945	bmw:BMNI_I0429
ko:K03179	bmw:BMNI_I0430
ko:K00275	bmw:BMNI_I0431
ko:K00208	bmw:BMNI_I0434
ko:K03704	bmw:BMNI_I0436
ko:K09778	bmw:BMNI_I0439
ko:K01736	bmw:BMNI_I0441
ko:K14652	bmw:BMNI_I0442
ko:K03602	bmw:BMNI_I0444
ko:K06911	bmw:BMNI_I0448
ko:K01662	bmw:BMNI_I0449
ko:K06442	bmw:BMNI_I0450
ko:K03215	bmw:BMNI_I0451
ko:K12257	bmw:BMNI_I1285
ko:K07002	bmw:BMNI_I1288
ko:K07002	bmw:BMNI_I1289
ko:K02047	bmw:BMNI_I1290
ko:K02046	bmw:BMNI_I1291
ko:K02048	bmw:BMNI_I1292
ko:K02431	bmw:BMNI_I1297
ko:K02057	bmw:BMNI_I1300
ko:K02013	bmw:BMNI_I1303
ko:K02015	bmw:BMNI_I1304
ko:K02016	bmw:BMNI_I1305
ko:K13926	bmw:BMNI_I1308
ko:K13926	bmw:BMNI_I1309
ko:K01993	bmw:BMNI_I1310
ko:K01430	bmw:BMNI_I1312
ko:K01429	bmw:BMNI_I1313
ko:K01428	bmw:BMNI_I1314
ko:K03187	bmw:BMNI_I1315
ko:K03188	bmw:BMNI_I1316
ko:K03189	bmw:BMNI_I1317
ko:K03190	bmw:BMNI_I1318
ko:K08717	bmw:BMNI_I1319
ko:K02007	bmw:BMNI_I1321
ko:K06199	bmw:BMNI_I1326
ko:K00053	bmw:BMNI_I1335
ko:K00216	bmw:BMNI_II0013
ko:K01252	bmw:BMNI_II0014
ko:K02363	bmw:BMNI_II0015
ko:K02361	bmw:BMNI_II0016
ko:K02364	bmw:BMNI_II0017
ko:K03088	bmw:BMNI_II0021
ko:K01999	bmw:BMNI_II0024
ko:K01997	bmw:BMNI_II0025
ko:K01998	bmw:BMNI_II0026
ko:K01995	bmw:BMNI_II0027
ko:K01996	bmw:BMNI_II0028
ko:K11381	bmw:BMNI_II0033
ko:K00627	bmw:BMNI_II0035
ko:K00014	bmw:BMNI_II0036
ko:K01531	bmw:BMNI_II0038
ko:K07507	bmw:BMNI_II0041
ko:K13589	bmw:BMNI_II0044
ko:K04080	bmw:BMNI_II0049
ko:K01620	bmw:BMNI_II0050
ko:K00266	bmw:BMNI_II0052
ko:K11737	bmw:BMNI_II0053
ko:K09795	bmw:BMNI_II0054
ko:K00133	bmw:BMNI_II0825
ko:K10778	bmw:BMNI_II0828
ko:K00052	bmw:BMNI_II0829
ko:K09791	bmw:BMNI_II0830
ko:K07157	bmw:BMNI_II0831
ko:K05838	bmw:BMNI_II0832
ko:K06886	bmw:BMNI_II0835
ko:K01476	bmw:BMNI_II0837
ko:K10680	bmw:BMNI_II0839
ko:K06959	bmw:BMNI_II0841
ko:K01433	bmw:BMNI_II0846
ko:K01443	bmw:BMNI_II0848
ko:K00820	bmw:BMNI_II0849
ko:K03710	bmw:BMNI_II0850
ko:K01775	bmw:BMNI_II0859
ko:K00285	bmw:BMNI_II0860
ko:K00822	bmw:BMNI_II0863
ko:K05836	bmw:BMNI_II0864
ko:K01468	bmw:BMNI_II0867
ko:K01745	bmw:BMNI_II0869
ko:K01712	bmw:BMNI_II0871
ko:K09975	bmw:BMNI_II0872
ko:K00824	bmw:BMNI_II0873
ko:K10547	bmw:BMNI_II0874
ko:K02313	bmw:BMNI_I0001
ko:K02338	bmw:BMNI_I0002
ko:K03629	bmw:BMNI_I0003
ko:K12972	bmw:BMNI_I0005
ko:K13896	bmw:BMNI_I0006
ko:K13895	bmw:BMNI_I0007
ko:K13894	bmw:BMNI_I0008
ko:K13893	bmw:BMNI_I0009
ko:K13893	bmw:BMNI_I0010
ko:K01999	bmw:BMNI_I0013
ko:K13766	bmw:BMNI_I0015
ko:K01640	bmw:BMNI_I0016
ko:K01968	bmw:BMNI_I0017
ko:K01969	bmw:BMNI_I0018
ko:K00800	bmw:BMNI_I0025
ko:K00945	bmw:BMNI_I0026
ko:K02945	bmw:BMNI_I0027
ko:K06187	bmw:BMNI_I0031
ko:K09747	bmw:BMNI_I0032
ko:K02343	bmw:BMNI_I0033
ko:K03426	bmw:BMNI_I0035
ko:K00979	bmw:BMNI_I0037
ko:K02297	bmw:BMNI_I0041
ko:K02298	bmw:BMNI_I0042
ko:K02299	bmw:BMNI_I0043
ko:K02300	bmw:BMNI_I0044
ko:K07278	bmw:BMNI_I0046
ko:K09800	bmw:BMNI_I0047
ko:K08300	bmw:BMNI_I0900
ko:K01448	bmw:BMNI_I0902
ko:K05366	bmw:BMNI_I0903
ko:K02836	bmw:BMNI_I0904
ko:K03564	bmw:BMNI_I0909
ko:K01866	bmw:BMNI_I0911
ko:K09001	bmw:BMNI_I0912
ko:K07018	bmw:BMNI_I0914
ko:K04487	bmw:BMNI_I0915
ko:K09014	bmw:BMNI_I0916
ko:K09013	bmw:BMNI_I0917
ko:K09015	bmw:BMNI_I0918
ko:K11717	bmw:BMNI_I0919
ko:K00858	bmw:BMNI_I0922
ko:K00573	bmw:BMNI_I0927
ko:K12340	bmw:BMNI_I0928
ko:K09991	bmw:BMNI_I0929
ko:K01873	bmw:BMNI_I0930
ko:K06076	bmw:BMNI_I0932
ko:K03753	bmw:BMNI_I0937
ko:K03752	bmw:BMNI_I0938
ko:K03639	bmw:BMNI_I0939
ko:K01676	bmw:BMNI_I0942
ko:K00285	bmw:BMNI_I1716
ko:K02114	bmw:BMNI_I1720
ko:K02112	bmw:BMNI_I1721
ko:K02115	bmw:BMNI_I1722
ko:K02111	bmw:BMNI_I1723
ko:K02113	bmw:BMNI_I1724
ko:K04066	bmw:BMNI_I1726
ko:K03643	bmw:BMNI_I1728
ko:K01869	bmw:BMNI_I1729
ko:K06997	bmw:BMNI_I1730
ko:K01895	bmw:BMNI_I1733
ko:K03799	bmw:BMNI_I1735
ko:K03500	bmw:BMNI_I1736
ko:K00602	bmw:BMNI_I1738
ko:K15371	bmw:BMNI_I1740
ko:K08988	bmw:BMNI_I1741
ko:K06872	bmw:BMNI_I1742
ko:K03744	bmw:BMNI_I1743
ko:K02959	bmw:BMNI_I1744
ko:K04092	bmw:BMNI_I1745
ko:K03106	bmw:BMNI_I1746
ko:K01673	bmw:BMNI_I1749
ko:K00868	bmw:BMNI_I1750
ko:K00140	bmw:BMNI_I1752
ko:K08311	bmw:BMNI_I1756
ko:K03797	bmw:BMNI_I1757
ko:K00783	bmw:BMNI_I1760
ko:K09710	bmw:BMNI_I1761
ko:K00969	bmw:BMNI_I1762
ko:K00147	bmw:BMNI_I1763
ko:K00931	bmw:BMNI_I1764
ko:K03979	bmw:BMNI_I1765
ko:K02899	bmw:BMNI_I1769
ko:K02888	bmw:BMNI_I1770
ko:K03310	bmw:BMNI_II0452
ko:K00651	bmw:BMNI_II0455
ko:K00648	bmw:BMNI_II0457
ko:K00833	bmw:BMNI_II0458
ko:K01935	bmw:BMNI_II0459
ko:K01012	bmw:BMNI_II0461
ko:K03831	bmw:BMNI_II0463
ko:K07078	bmw:BMNI_II0464
ko:K05559	bmw:BMNI_II0467
ko:K05560	bmw:BMNI_II0468
ko:K05561	bmw:BMNI_II0469
ko:K05562	bmw:BMNI_II0470
ko:K05563	bmw:BMNI_II0471
ko:K05564	bmw:BMNI_II0472
ko:K06966	bmw:BMNI_I0452
ko:K01613	bmw:BMNI_I0457
ko:K00764	bmw:BMNI_I0460
ko:K03558	bmw:BMNI_I0461
ko:K04485	bmw:BMNI_I0462
ko:K00574	bmw:BMNI_I0464
ko:K02939	bmw:BMNI_I0465
ko:K02963	bmw:BMNI_I0467
ko:K02990	bmw:BMNI_I0468
ko:K00645	bmw:BMNI_I0469
ko:K02078	bmw:BMNI_I0471
ko:K09458	bmw:BMNI_I0472
ko:K07082	bmw:BMNI_I0474
ko:K00942	bmw:BMNI_I0476
ko:K03568	bmw:BMNI_I0477
ko:K02275	bmw:BMNI_I0479
ko:K02276	bmw:BMNI_I0484
ko:K03527	bmw:BMNI_I0487
ko:K02204	bmw:BMNI_I0488
ko:K07735	bmw:BMNI_I0492
ko:K03790	bmw:BMNI_I0494
ko:K01733	bmw:BMNI_I0496
ko:K03281	bmw:BMNI_I0501
ko:K03575	bmw:BMNI_I0504
ko:K03529	bmw:BMNI_I0508
ko:K03549	bmw:BMNI_I1337
ko:K03474	bmw:BMNI_I1339
ko:K01653	bmw:BMNI_I1343
ko:K01652	bmw:BMNI_I1344
ko:K00791	bmw:BMNI_I1345
ko:K01079	bmw:BMNI_I1346
ko:K07007	bmw:BMNI_I1348
ko:K09937	bmw:BMNI_I1350
ko:K04087	bmw:BMNI_I1351
ko:K04088	bmw:BMNI_I1352
ko:K07552	bmw:BMNI_I1356
ko:K09985	bmw:BMNI_I1358
ko:K03657	bmw:BMNI_I1367
ko:K05805	bmw:BMNI_I1368
ko:K07152	bmw:BMNI_I1370
ko:K02687	bmw:BMNI_I1371
ko:K01972	bmw:BMNI_I1374
ko:K03631	bmw:BMNI_I1375
ko:K05807	bmw:BMNI_I1376
ko:K02535	bmw:BMNI_I1377
ko:K03531	bmw:BMNI_I1378
ko:K03590	bmw:BMNI_I1379
ko:K03589	bmw:BMNI_I1380
ko:K01921	bmw:BMNI_I1381
ko:K00075	bmw:BMNI_I1382
ko:K01924	bmw:BMNI_I1383
ko:K02563	bmw:BMNI_I1384
ko:K03588	bmw:BMNI_I1385
ko:K01925	bmw:BMNI_I1386
ko:K01000	bmw:BMNI_I1387
ko:K01929	bmw:BMNI_I1388
ko:K00963	bmw:BMNI_II0069
ko:K07340	bmw:BMNI_II0072
ko:K01772	bmw:BMNI_II0074
ko:K01665	bmw:BMNI_II0079
ko:K08602	bmw:BMNI_II0080
ko:K01625	bmw:BMNI_II0084
ko:K07146	bmw:BMNI_II0086
ko:K02020	bmw:BMNI_II0087
ko:K02018	bmw:BMNI_II0088
ko:K01581	bmw:BMNI_II0097
ko:K02053	bmw:BMNI_II0109
ko:K03543	bmw:BMNI_II0113
ko:K02401	bmw:BMNI_II0117
ko:K02410	bmw:BMNI_II0119
ko:K10548	bmw:BMNI_II0875
ko:K10546	bmw:BMNI_II0877
ko:K01631	bmw:BMNI_II0879
ko:K00883	bmw:BMNI_II0880
ko:K01687	bmw:BMNI_II0881
ko:K01652	bmw:BMNI_II0886
ko:K01266	bmw:BMNI_II0888
ko:K09969	bmw:BMNI_II0889
ko:K01999	bmw:BMNI_II0894
ko:K01995	bmw:BMNI_II09895
ko:K01996	bmw:BMNI_II0896
ko:K01997	bmw:BMNI_II0897
ko:K01998	bmw:BMNI_II0898
ko:K02073	bmw:BMNI_II0901
ko:K02071	bmw:BMNI_II0902
ko:K02072	bmw:BMNI_II0903
ko:K02970	bmw:BMNI_II0906
ko:K00325	bmw:BMNI_II0912
ko:K00324	bmw:BMNI_II0913
ko:K00324	bmw:BMNI_II0914
ko:K07010	bmw:BMNI_II0922
ko:K16079	bmw:BMNI_I1560
ko:K16079	bmw:BMNI_I1245
ko:K18335	bmw:BMNI_I0238
ko:K16087	bmw:BMNI_II1135
ko:K09691	bmw:BMNI_I0527
ko:K00570	bmw:BMNI_I2028
ko:K16079	bmw:BMNI_II0387
ko:K14235	bmw:BMNI_It21
ko:K00253	bmw:BMNI_I0019
ko:K14232	bmw:BMNI_It08
ko:K16092	bmw:BMNI_I1306
ko:K14232	bmw:BMNI_It10
ko:K07005	bmw:BMNI_I1328
ko:K21911	bmw:BMNI_II0810
ko:K14223	bmw:BMNI_It06
ko:K14225	bmw:BMNI_It22
ko:K14230	bmw:BMNI_IIt13
ko:K14230	bmw:BMNI_It27
ko:K14229	bmw:BMNI_IIt05
ko:K02014	bmw:BMNI_II0942
ko:K00130	bmw:BMNI_I0562
ko:K02031	bmw:BMNI_II1042
ko:K02424	bmw:BMNI_II0634
ko:K10009	bmw:BMNI_II0635
ko:K16079	bmw:BMNI_I0120
ko:K16079	bmw:BMNI_I0698
ko:K16079	bmw:BMNI_I0119
ko:K16079	bmw:BMNI_I0955
ko:K06889	bmw:BMNI_I0058
ko:K14162	bmw:BMNI_I0066
ko:K01724	bmw:BMNI_I0080
ko:K02004	bmw:BMNI_I0086
ko:K02193	bmw:BMNI_I0092
ko:K07258	bmw:BMNI_I0969
ko:K06147	bmw:BMNI_I0976
ko:K06179	bmw:BMNI_I0977
ko:K00383	bmw:BMNI_I0988
ko:K01916	bmw:BMNI_I0991
ko:K01885	bmw:BMNI_I0992
ko:K02067	bmw:BMNI_I0997
ko:K00568	bmw:BMNI_I1782
ko:K01719	bmw:BMNI_I1793
ko:K01409	bmw:BMNI_I1795
ko:K00241	bmw:BMNI_I1810
ko:K02056	bmw:BMNI_II0535
ko:K02035	bmw:BMNI_II0542
ko:K06196	bmw:BMNI_II0550
ko:K06147	bmw:BMNI_I0456
ko:K00059	bmw:BMNI_I0470
ko:K02274	bmw:BMNI_I0480
ko:K02258	bmw:BMNI_I0483
ko:K03469	bmw:BMNI_I0489
ko:K01560	bmw:BMNI_I0503
ko:K01262	bmw:BMNI_I1372
ko:K00808	bmw:BMNI_II0076
ko:K02619	bmw:BMNI_II0078
ko:K02017	bmw:BMNI_II0089
ko:K01426	bmw:BMNI_II0096
ko:K00033	bmw:BMNI_II0107
ko:K02052	bmw:BMNI_II0108
ko:K01470	bmw:BMNI_II0927
ko:K10440	bmw:BMNI_I0553
ko:K10439	bmw:BMNI_I0554
ko:K00854	bmw:BMNI_I0558
ko:K07273	bmw:BMNI_I1399
ko:K00598	bmw:BMNI_I1407
ko:K00799	bmw:BMNI_I1442
ko:K08738	bmw:BMNI_II0167
ko:K00799	bmw:BMNI_II0945
ko:K02342	bmw:BMNI_II0949
ko:K02433	bmw:BMNI_II0951
ko:K02033	bmw:BMNI_II0955
ko:K02035	bmw:BMNI_II0956
