ko:K19296	ppb:PPUBIRD1_4283
ko:K03070	ppb:PPUBIRD1_4217
ko:K02535	ppb:PPUBIRD1_4219
ko:K03531	ppb:PPUBIRD1_4220
ko:K03590	ppb:PPUBIRD1_4222
ko:K03589	ppb:PPUBIRD1_4223
ko:K01921	ppb:PPUBIRD1_4224
ko:K01924	ppb:PPUBIRD1_4225
ko:K02563	ppb:PPUBIRD1_4226
ko:K03588	ppb:PPUBIRD1_4227
ko:K01925	ppb:PPUBIRD1_4228
ko:K01000	ppb:PPUBIRD1_4229
ko:K01929	ppb:PPUBIRD1_4230
ko:K01928	ppb:PPUBIRD1_4231
ko:K03587	ppb:PPUBIRD1_4232
ko:K03586	ppb:PPUBIRD1_4233
ko:K03816	ppb:PPUBIRD1_5059
ko:K01775	ppb:PPUBIRD1_5063
ko:K00285	ppb:PPUBIRD1_5064
ko:K06940	ppb:PPUBIRD1_5066
ko:K06995	ppb:PPUBIRD1_5073
ko:K02913	ppb:PPUBIRD1_5075
ko:K02902	ppb:PPUBIRD1_5076
ko:K03630	ppb:PPUBIRD1_5078
ko:K13038	ppb:PPUBIRD1_5079
ko:K15778	ppb:PPUBIRD1_5082
ko:K00930	ppb:PPUBIRD1_5083
ko:K00762	ppb:PPUBIRD1_5084
ko:K01142	ppb:PPUBIRD1_5085
ko:K09940	ppb:PPUBIRD1_5086
ko:K00989	ppb:PPUBIRD1_5087
ko:K00942	ppb:PPUBIRD1_5089
ko:K07010	ppb:PPUBIRD1_5091
ko:K01915	ppb:PPUBIRD1_5092
ko:K03060	ppb:PPUBIRD1_5094
ko:K03561	ppb:PPUBIRD1_5099
ko:K03832	ppb:PPUBIRD1_5101
ko:K04761	ppb:PPUBIRD1_5102
ko:K03655	ppb:PPUBIRD1_5103
ko:K05787	ppb:PPUBIRD1_5106
ko:K05297	ppb:PPUBIRD1_5107
ko:K03181	ppb:PPUBIRD1_5109
ko:K03179	ppb:PPUBIRD1_5110
ko:K07636	ppb:PPUBIRD1_5113
ko:K01749	ppb:PPUBIRD1_0216
ko:K02496	ppb:PPUBIRD1_0218
ko:K02498	ppb:PPUBIRD1_0219
ko:K03611	ppb:PPUBIRD1_0220
ko:K07740	ppb:PPUBIRD1_0221
ko:K03773	ppb:PPUBIRD1_0222
ko:K06158	ppb:PPUBIRD1_0225
ko:K05834	ppb:PPUBIRD1_0227
ko:K07403	ppb:PPUBIRD1_0229
ko:K02072	ppb:PPUBIRD1_0242
ko:K02071	ppb:PPUBIRD1_0243
ko:K02073	ppb:PPUBIRD1_0244
ko:K10010	ppb:PPUBIRD1_0249
ko:K10009	ppb:PPUBIRD1_0250
ko:K02424	ppb:PPUBIRD1_0251
ko:K00640	ppb:PPUBIRD1_0252
ko:K02168	ppb:PPUBIRD1_0254
ko:K03119	ppb:PPUBIRD1_0256
ko:K15552	ppb:PPUBIRD1_0257
ko:K15551	ppb:PPUBIRD1_0259
ko:K00299	ppb:PPUBIRD1_0262
ko:K15553	ppb:PPUBIRD1_0263
ko:K15554	ppb:PPUBIRD1_0265
ko:K01919	ppb:PPUBIRD1_0269
ko:K06959	ppb:PPUBIRD1_0271
ko:K07659	ppb:PPUBIRD1_0273
ko:K07093	ppb:PPUBIRD1_1093
ko:K02452	ppb:PPUBIRD1_1095
ko:K02453	ppb:PPUBIRD1_1096
ko:K02455	ppb:PPUBIRD1_1098
ko:K02456	ppb:PPUBIRD1_1099
ko:K02457	ppb:PPUBIRD1_1100
ko:K02458	ppb:PPUBIRD1_1101
ko:K02459	ppb:PPUBIRD1_1102
ko:K02461	ppb:PPUBIRD1_1103
ko:K03724	ppb:PPUBIRD1_1111
ko:K03576	ppb:PPUBIRD1_1113
ko:K02442	ppb:PPUBIRD1_1115
ko:K10004	ppb:PPUBIRD1_1118
ko:K10002	ppb:PPUBIRD1_1119
ko:K10003	ppb:PPUBIRD1_1120
ko:K10001	ppb:PPUBIRD1_1121
ko:K00111	ppb:PPUBIRD1_1123
ko:K02444	ppb:PPUBIRD1_1124
ko:K00864	ppb:PPUBIRD1_1125
ko:K02440	ppb:PPUBIRD1_1126
ko:K00611	ppb:PPUBIRD1_1129
ko:K07390	ppb:PPUBIRD1_1131
ko:K03594	ppb:PPUBIRD1_1132
ko:K02192	ppb:PPUBIRD1_1133
ko:K03683	ppb:PPUBIRD1_1135
ko:K01465	ppb:PPUBIRD1_1136
ko:K01940	ppb:PPUBIRD1_1138
ko:K07690	ppb:PPUBIRD1_1140
ko:K10773	ppb:PPUBIRD1_1142
ko:K09816	ppb:PPUBIRD1_1978
ko:K09817	ppb:PPUBIRD1_1979
ko:K07262	ppb:PPUBIRD1_1987
ko:K00014	ppb:PPUBIRD1_1994
ko:K03412	ppb:PPUBIRD1_2003
ko:K01961	ppb:PPUBIRD1_0608
ko:K02160	ppb:PPUBIRD1_0609
ko:K03786	ppb:PPUBIRD1_0610
ko:K04084	ppb:PPUBIRD1_0611
ko:K03113	ppb:PPUBIRD1_0616
ko:K03327	ppb:PPUBIRD1_0619
ko:K06894	ppb:PPUBIRD1_0620
ko:K05367	ppb:PPUBIRD1_0622
ko:K02278	ppb:PPUBIRD1_0625
ko:K06219	ppb:PPUBIRD1_0628
ko:K07552	ppb:PPUBIRD1_0639
ko:K00074	ppb:PPUBIRD1_2007
ko:K03449	ppb:PPUBIRD1_2011
ko:K00375	ppb:PPUBIRD1_2012
ko:K11477	ppb:PPUBIRD1_2014
ko:K11473	ppb:PPUBIRD1_2015
ko:K11472	ppb:PPUBIRD1_2016
ko:K11474	ppb:PPUBIRD1_2018
ko:K05515	ppb:PPUBIRD1_2021
ko:K11475	ppb:PPUBIRD1_2024
ko:K14347	ppb:PPUBIRD1_2857
ko:K15268	ppb:PPUBIRD1_2863
ko:K03885	ppb:PPUBIRD1_2868
ko:K01118	ppb:PPUBIRD1_2869
ko:K06153	ppb:PPUBIRD1_2873
ko:K03811	ppb:PPUBIRD1_2875
ko:K03189	ppb:PPUBIRD1_2885
ko:K03188	ppb:PPUBIRD1_2886
ko:K03192	ppb:PPUBIRD1_2887
ko:K03187	ppb:PPUBIRD1_2888
ko:K01428	ppb:PPUBIRD1_2889
ko:K01429	ppb:PPUBIRD1_2890
ko:K01430	ppb:PPUBIRD1_2891
ko:K03190	ppb:PPUBIRD1_2892
ko:K07234	ppb:PPUBIRD1_2894
ko:K01685	ppb:PPUBIRD1_2900
ko:K03639	ppb:PPUBIRD1_3700
ko:K03424	ppb:PPUBIRD1_3702
ko:K02341	ppb:PPUBIRD1_3703
ko:K00943	ppb:PPUBIRD1_3704
ko:K07082	ppb:PPUBIRD1_3705
ko:K09458	ppb:PPUBIRD1_3707
ko:K02078	ppb:PPUBIRD1_3708
ko:K00645	ppb:PPUBIRD1_3710
ko:K03621	ppb:PPUBIRD1_3711
ko:K02911	ppb:PPUBIRD1_3712
ko:K07040	ppb:PPUBIRD1_3713
ko:K04773	ppb:PPUBIRD1_3715
ko:K01091	ppb:PPUBIRD1_3716
ko:K08300	ppb:PPUBIRD1_3719
ko:K00075	ppb:PPUBIRD1_3720
ko:K00979	ppb:PPUBIRD1_3722
ko:K09791	ppb:PPUBIRD1_3723
ko:K00912	ppb:PPUBIRD1_3724
ko:K03561	ppb:PPUBIRD1_3726
ko:K06923	ppb:PPUBIRD1_3739
ko:K00432	ppb:PPUBIRD1_3741
ko:K14260	ppb:PPUBIRD1_3743
ko:K03799	ppb:PPUBIRD1_3744
ko:K06181	ppb:PPUBIRD1_4561
ko:K01241	ppb:PPUBIRD1_4562
ko:K09456	ppb:PPUBIRD1_4563
ko:K00941	ppb:PPUBIRD1_4565
ko:K00788	ppb:PPUBIRD1_4566
ko:K01845	ppb:PPUBIRD1_4567
ko:K07042	ppb:PPUBIRD1_4571
ko:K06189	ppb:PPUBIRD1_4572
ko:K03820	ppb:PPUBIRD1_4573
ko:K01869	ppb:PPUBIRD1_4577
ko:K03643	ppb:PPUBIRD1_4578
ko:K02340	ppb:PPUBIRD1_4579
ko:K09890	ppb:PPUBIRD1_4580
ko:K03644	ppb:PPUBIRD1_4583
ko:K03801	ppb:PPUBIRD1_4584
ko:K09158	ppb:PPUBIRD1_4585
ko:K03642	ppb:PPUBIRD1_4587
ko:K05837	ppb:PPUBIRD1_4589
ko:K05515	ppb:PPUBIRD1_4590
ko:K00783	ppb:PPUBIRD1_4591
ko:K09710	ppb:PPUBIRD1_4592
ko:K00969	ppb:PPUBIRD1_4593
ko:K00147	ppb:PPUBIRD1_4594
ko:K03652	ppb:PPUBIRD1_4595
ko:K07157	ppb:PPUBIRD1_4597
ko:K02687	ppb:PPUBIRD1_4601
ko:K03557	ppb:PPUBIRD1_4604
ko:K00602	ppb:PPUBIRD1_4605
ko:K01945	ppb:PPUBIRD1_4607
ko:K13541	ppb:PPUBIRD1_4613
ko:K03394	ppb:PPUBIRD1_4614
ko:K06042	ppb:PPUBIRD1_4615
ko:K00822	ppb:PPUBIRD1_0646
ko:K00140	ppb:PPUBIRD1_0647
ko:K03808	ppb:PPUBIRD1_0648
ko:K03808	ppb:PPUBIRD1_0649
ko:K02968	ppb:PPUBIRD1_0651
ko:K03980	ppb:PPUBIRD1_0652
ko:K11753	ppb:PPUBIRD1_0653
ko:K01870	ppb:PPUBIRD1_0654
ko:K03101	ppb:PPUBIRD1_0655
ko:K00978	ppb:PPUBIRD1_1471
ko:K01709	ppb:PPUBIRD1_1472
ko:K12452	ppb:PPUBIRD1_1473
ko:K01652	ppb:PPUBIRD1_1477
ko:K02408	ppb:PPUBIRD1_1489
ko:K02409	ppb:PPUBIRD1_1490
ko:K02410	ppb:PPUBIRD1_1491
ko:K02411	ppb:PPUBIRD1_1492
ko:K02412	ppb:PPUBIRD1_1493
ko:K02413	ppb:PPUBIRD1_1494
ko:K02415	ppb:PPUBIRD1_1499
ko:K02416	ppb:PPUBIRD1_1500
ko:K02417	ppb:PPUBIRD1_1501
ko:K02418	ppb:PPUBIRD1_1502
ko:K02419	ppb:PPUBIRD1_1503
ko:K02420	ppb:PPUBIRD1_1504
ko:K02421	ppb:PPUBIRD1_1505
ko:K02401	ppb:PPUBIRD1_1506
ko:K02400	ppb:PPUBIRD1_1507
ko:K02404	ppb:PPUBIRD1_1508
ko:K04562	ppb:PPUBIRD1_1509
ko:K02405	ppb:PPUBIRD1_1510
ko:K03413	ppb:PPUBIRD1_1511
ko:K03414	ppb:PPUBIRD1_1512
ko:K03407	ppb:PPUBIRD1_1513
ko:K03412	ppb:PPUBIRD1_1514
ko:K02556	ppb:PPUBIRD1_1515
ko:K02557	ppb:PPUBIRD1_1516
ko:K03408	ppb:PPUBIRD1_1518
ko:K03408	ppb:PPUBIRD1_1519
ko:K04061	ppb:PPUBIRD1_1522
ko:K02194	ppb:PPUBIRD1_1525
ko:K02195	ppb:PPUBIRD1_1526
ko:K02196	ppb:PPUBIRD1_1527
ko:K02455	ppb:PPUBIRD1_2364
ko:K02456	ppb:PPUBIRD1_2365
ko:K06145	ppb:PPUBIRD1_2374
ko:K07679	ppb:PPUBIRD1_2376
ko:K05936	ppb:PPUBIRD1_2378
ko:K02189	ppb:PPUBIRD1_2379
ko:K06911	ppb:PPUBIRD1_2385
ko:K03919	ppb:PPUBIRD1_2390
ko:K04335	ppb:PPUBIRD1_2392
ko:K06152	ppb:PPUBIRD1_2397
ko:K06151	ppb:PPUBIRD1_2398
ko:K01150	ppb:PPUBIRD1_2405
ko:K07277	ppb:PPUBIRD1_2407
ko:K03717	ppb:PPUBIRD1_3238
ko:K07862	ppb:PPUBIRD1_3239
ko:K09915	ppb:PPUBIRD1_3240
ko:K03387	ppb:PPUBIRD1_3242
ko:K04487	ppb:PPUBIRD1_3247
ko:K10679	ppb:PPUBIRD1_3250
ko:K08159	ppb:PPUBIRD1_3254
ko:K13979	ppb:PPUBIRD1_3256
ko:K03088	ppb:PPUBIRD1_3260
ko:K01975	ppb:PPUBIRD1_3263
ko:K02016	ppb:PPUBIRD1_3269
ko:K02015	ppb:PPUBIRD1_3270
ko:K02013	ppb:PPUBIRD1_3271
ko:K03762	ppb:PPUBIRD1_3276
ko:K03786	ppb:PPUBIRD1_3277
ko:K00014	ppb:PPUBIRD1_3278
ko:K15977	ppb:PPUBIRD1_3284
ko:K09929	ppb:PPUBIRD1_3285
ko:K09930	ppb:PPUBIRD1_3286
ko:K13488	ppb:PPUBIRD1_4070
ko:K13487	ppb:PPUBIRD1_4071
ko:K02053	ppb:PPUBIRD1_4076
ko:K00137	ppb:PPUBIRD1_4077
ko:K07462	ppb:PPUBIRD1_4082
ko:K01733	ppb:PPUBIRD1_4088
ko:K00003	ppb:PPUBIRD1_4089
ko:K03981	ppb:PPUBIRD1_4090
ko:K02884	ppb:PPUBIRD1_4094
ko:K00554	ppb:PPUBIRD1_4095
ko:K02860	ppb:PPUBIRD1_4096
ko:K02959	ppb:PPUBIRD1_4097
ko:K03106	ppb:PPUBIRD1_4098
ko:K08289	ppb:PPUBIRD1_4102
ko:K06938	ppb:PPUBIRD1_4104
ko:K11017	ppb:PPUBIRD1_4109
ko:K11016	ppb:PPUBIRD1_4110
ko:K07267	ppb:PPUBIRD1_4114
ko:K00117	ppb:PPUBIRD1_4115
ko:K01338	ppb:PPUBIRD1_4116
ko:K15256	ppb:PPUBIRD1_4118
ko:K15257	ppb:PPUBIRD1_4119
ko:K03474	ppb:PPUBIRD1_4120
ko:K03584	ppb:PPUBIRD1_4121
ko:K01434	ppb:PPUBIRD1_4957
ko:K02073	ppb:PPUBIRD1_4958
ko:K07002	ppb:PPUBIRD1_4960
ko:K02045	ppb:PPUBIRD1_4961
ko:K02047	ppb:PPUBIRD1_4962
ko:K02046	ppb:PPUBIRD1_4963
ko:K02048	ppb:PPUBIRD1_4965
ko:K11074	ppb:PPUBIRD1_4972
ko:K11075	ppb:PPUBIRD1_4973
ko:K11076	ppb:PPUBIRD1_4974
ko:K11073	ppb:PPUBIRD1_4975
ko:K11073	ppb:PPUBIRD1_4976
ko:K12256	ppb:PPUBIRD1_4977
ko:K01915	ppb:PPUBIRD1_4978
ko:K01915	ppb:PPUBIRD1_4979
ko:K14682	ppb:PPUBIRD1_4980
ko:K01438	ppb:PPUBIRD1_4981
ko:K05800	ppb:PPUBIRD1_4983
ko:K00281	ppb:PPUBIRD1_4987
ko:K02437	ppb:PPUBIRD1_4988
ko:K00605	ppb:PPUBIRD1_4989
ko:K02011	ppb:PPUBIRD1_4990
ko:K02012	ppb:PPUBIRD1_4991
ko:K03185	ppb:PPUBIRD1_4994
ko:K09895	ppb:PPUBIRD1_4996
ko:K09888	ppb:PPUBIRD1_4998
ko:K01993	ppb:PPUBIRD1_5002
ko:K13926	ppb:PPUBIRD1_5003
ko:K10253	ppb:PPUBIRD1_0109
ko:K01695	ppb:PPUBIRD1_0110
ko:K01696	ppb:PPUBIRD1_0111
ko:K09165	ppb:PPUBIRD1_0114
ko:K01091	ppb:PPUBIRD1_0122
ko:K01414	ppb:PPUBIRD1_0124
ko:K07070	ppb:PPUBIRD1_0125
ko:K01673	ppb:PPUBIRD1_0128
ko:K02275	ppb:PPUBIRD1_0131
ko:K02276	ppb:PPUBIRD1_0134
ko:K02259	ppb:PPUBIRD1_0137
ko:K07152	ppb:PPUBIRD1_0139
ko:K02073	ppb:PPUBIRD1_0140
ko:K02072	ppb:PPUBIRD1_0141
ko:K02071	ppb:PPUBIRD1_0142
ko:K03781	ppb:PPUBIRD1_0143
ko:K09816	ppb:PPUBIRD1_0145
ko:K09817	ppb:PPUBIRD1_0146
ko:K09823	ppb:PPUBIRD1_0147
ko:K02204	ppb:PPUBIRD1_0149
ko:K03978	ppb:PPUBIRD1_0152
ko:K03673	ppb:PPUBIRD1_0155
ko:K11066	ppb:PPUBIRD1_0158
ko:K11102	ppb:PPUBIRD1_0166
ko:K02435	ppb:PPUBIRD1_0983
ko:K03569	ppb:PPUBIRD1_0985
ko:K03570	ppb:PPUBIRD1_0986
ko:K03571	ppb:PPUBIRD1_0987
ko:K06287	ppb:PPUBIRD1_0988
ko:K08301	ppb:PPUBIRD1_0989
ko:K03568	ppb:PPUBIRD1_0992
ko:K09889	ppb:PPUBIRD1_0993
ko:K03592	ppb:PPUBIRD1_0994
ko:K04564	ppb:PPUBIRD1_0999
ko:K07238	ppb:PPUBIRD1_1000
ko:K06958	ppb:PPUBIRD1_1002
ko:K05808	ppb:PPUBIRD1_1004
ko:K03092	ppb:PPUBIRD1_1005
ko:K06861	ppb:PPUBIRD1_1006
ko:K09774	ppb:PPUBIRD1_1007
ko:K11719	ppb:PPUBIRD1_1008
ko:K03270	ppb:PPUBIRD1_1009
ko:K06041	ppb:PPUBIRD1_1010
ko:K02065	ppb:PPUBIRD1_1011
ko:K02066	ppb:PPUBIRD1_1012
ko:K07323	ppb:PPUBIRD1_1014
ko:K00790	ppb:PPUBIRD1_1017
ko:K00765	ppb:PPUBIRD1_1018
ko:K00013	ppb:PPUBIRD1_1019
ko:K00817	ppb:PPUBIRD1_1020
ko:K03449	ppb:PPUBIRD1_1023
ko:K06899	ppb:PPUBIRD1_1025
ko:K03530	ppb:PPUBIRD1_1026
ko:K01873	ppb:PPUBIRD1_1028
ko:K02339	ppb:PPUBIRD1_1030
ko:K01255	ppb:PPUBIRD1_1031
ko:K07091	ppb:PPUBIRD1_1032
ko:K11720	ppb:PPUBIRD1_1033
ko:K03704	ppb:PPUBIRD1_1035
ko:K00605	ppb:PPUBIRD1_1036
ko:K01752	ppb:PPUBIRD1_1037
ko:K00281	ppb:PPUBIRD1_1038
ko:K02437	ppb:PPUBIRD1_1039
ko:K15977	ppb:PPUBIRD1_1040
ko:K07402	ppb:PPUBIRD1_1858
ko:K14974	ppb:PPUBIRD1_1864
ko:K15357	ppb:PPUBIRD1_1865
ko:K01799	ppb:PPUBIRD1_1866
ko:K07090	ppb:PPUBIRD1_1873
ko:K07552	ppb:PPUBIRD1_1898
ko:K15977	ppb:PPUBIRD1_1901
ko:K07107	ppb:PPUBIRD1_3600
ko:K01628	ppb:PPUBIRD1_3614
ko:K01714	ppb:PPUBIRD1_3615
ko:K05782	ppb:PPUBIRD1_3616
ko:K03924	ppb:PPUBIRD1_3620
ko:K03547	ppb:PPUBIRD1_3626
ko:K01256	ppb:PPUBIRD1_3634
ko:K09916	ppb:PPUBIRD1_3636
ko:K00858	ppb:PPUBIRD1_3639
ko:K09977	ppb:PPUBIRD1_3640
ko:K15977	ppb:PPUBIRD1_3646
ko:K01153	ppb:PPUBIRD1_4449
ko:K03427	ppb:PPUBIRD1_4450
ko:K09950	ppb:PPUBIRD1_0001
ko:K01589	ppb:PPUBIRD1_0003
ko:K01588	ppb:PPUBIRD1_0004
ko:K01744	ppb:PPUBIRD1_0008
ko:K11073	ppb:PPUBIRD1_0011
ko:K00375	ppb:PPUBIRD1_0012
ko:K07734	ppb:PPUBIRD1_0013
ko:K01960	ppb:PPUBIRD1_0016
ko:K00036	ppb:PPUBIRD1_0020
ko:K03657	ppb:PPUBIRD1_0021
ko:K00868	ppb:PPUBIRD1_0026
ko:K06131	ppb:PPUBIRD1_0034
ko:K00574	ppb:PPUBIRD1_0035
ko:K00382	ppb:PPUBIRD1_0036
ko:K00615	ppb:PPUBIRD1_0037
ko:K00615	ppb:PPUBIRD1_0038
ko:K06076	ppb:PPUBIRD1_0046
ko:K01714	ppb:PPUBIRD1_0048
ko:K08369	ppb:PPUBIRD1_0049
ko:K07568	ppb:PPUBIRD1_0883
ko:K00773	ppb:PPUBIRD1_0884
ko:K03210	ppb:PPUBIRD1_0885
ko:K03072	ppb:PPUBIRD1_0886
ko:K03074	ppb:PPUBIRD1_0887
ko:K15396	ppb:PPUBIRD1_0890
ko:K00640	ppb:PPUBIRD1_0891
ko:K13643	ppb:PPUBIRD1_0892
ko:K04487	ppb:PPUBIRD1_0893
ko:K04082	ppb:PPUBIRD1_0896
ko:K04044	ppb:PPUBIRD1_0897
ko:K04755	ppb:PPUBIRD1_0898
ko:K00940	ppb:PPUBIRD1_0900
ko:K06941	ppb:PPUBIRD1_0901
ko:K02656	ppb:PPUBIRD1_0902
ko:K15539	ppb:PPUBIRD1_0903
ko:K01892	ppb:PPUBIRD1_0905
ko:K03977	ppb:PPUBIRD1_0908
ko:K14287	ppb:PPUBIRD1_0909
ko:K01581	ppb:PPUBIRD1_0915
ko:K03088	ppb:PPUBIRD1_0916
ko:K05847	ppb:PPUBIRD1_0919
ko:K05846	ppb:PPUBIRD1_0920
ko:K05845	ppb:PPUBIRD1_0921
ko:K05846	ppb:PPUBIRD1_0922
ko:K02837	ppb:PPUBIRD1_0923
ko:K11073	ppb:PPUBIRD1_0924
ko:K06995	ppb:PPUBIRD1_0925
ko:K12372	ppb:PPUBIRD1_0929
ko:K03306	ppb:PPUBIRD1_1747
ko:K03703	ppb:PPUBIRD1_1752
ko:K00995	ppb:PPUBIRD1_1753
ko:K01968	ppb:PPUBIRD1_1757
ko:K13766	ppb:PPUBIRD1_1758
ko:K01969	ppb:PPUBIRD1_1759
ko:K05343	ppb:PPUBIRD1_1765
ko:K06044	ppb:PPUBIRD1_1772
ko:K00705	ppb:PPUBIRD1_1773
ko:K01236	ppb:PPUBIRD1_1774
ko:K00703	ppb:PPUBIRD1_1775
ko:K00036	ppb:PPUBIRD1_1778
ko:K06996	ppb:PPUBIRD1_1780
ko:K01464	ppb:PPUBIRD1_1784
ko:K03098	ppb:PPUBIRD1_1788
ko:K03314	ppb:PPUBIRD1_1789
ko:K03426	ppb:PPUBIRD1_1791
ko:K07090	ppb:PPUBIRD1_1792
ko:K01756	ppb:PPUBIRD1_1798
ko:K07153	ppb:PPUBIRD1_1799
ko:K00566	ppb:PPUBIRD1_1800
ko:K03701	ppb:PPUBIRD1_2630
ko:K07088	ppb:PPUBIRD1_2634
ko:K01626	ppb:PPUBIRD1_2640
ko:K13893	ppb:PPUBIRD1_2642
ko:K13894	ppb:PPUBIRD1_2643
ko:K13895	ppb:PPUBIRD1_2644
ko:K00019	ppb:PPUBIRD1_2647
ko:K08276	ppb:PPUBIRD1_2648
ko:K07002	ppb:PPUBIRD1_2667
ko:K03119	ppb:PPUBIRD1_2672
ko:K06879	ppb:PPUBIRD1_3494
ko:K07644	ppb:PPUBIRD1_3497
ko:K09808	ppb:PPUBIRD1_3498
ko:K09808	ppb:PPUBIRD1_3500
ko:K01126	ppb:PPUBIRD1_3502
ko:K00322	ppb:PPUBIRD1_3503
ko:K03734	ppb:PPUBIRD1_3504
ko:K00134	ppb:PPUBIRD1_3505
ko:K03723	ppb:PPUBIRD1_3506
ko:K01207	ppb:PPUBIRD1_3509
ko:K01356	ppb:PPUBIRD1_3511
ko:K03168	ppb:PPUBIRD1_3515
ko:K01825	ppb:PPUBIRD1_3518
ko:K15738	ppb:PPUBIRD1_3521
ko:K08309	ppb:PPUBIRD1_3522
ko:K07140	ppb:PPUBIRD1_3523
ko:K03415	ppb:PPUBIRD1_3524
ko:K03750	ppb:PPUBIRD1_3530
ko:K03638	ppb:PPUBIRD1_3531
ko:K03473	ppb:PPUBIRD1_3536
ko:K06968	ppb:PPUBIRD1_3538
ko:K01681	ppb:PPUBIRD1_3539
ko:K00426	ppb:PPUBIRD1_4346
ko:K00425	ppb:PPUBIRD1_4347
ko:K06901	ppb:PPUBIRD1_4349
ko:K00448	ppb:PPUBIRD1_4351
ko:K00449	ppb:PPUBIRD1_4352
ko:K03923	ppb:PPUBIRD1_4357
ko:K07090	ppb:PPUBIRD1_4359
ko:K06995	ppb:PPUBIRD1_4363
ko:K00140	ppb:PPUBIRD1_4365
ko:K03581	ppb:PPUBIRD1_4371
ko:K03582	ppb:PPUBIRD1_4373
ko:K03583	ppb:PPUBIRD1_4374
ko:K00053	ppb:PPUBIRD1_4378
ko:K01653	ppb:PPUBIRD1_4379
ko:K01652	ppb:PPUBIRD1_4380
ko:K05365	ppb:PPUBIRD1_4383
ko:K02013	ppb:PPUBIRD1_4387
ko:K02015	ppb:PPUBIRD1_4388
ko:K02016	ppb:PPUBIRD1_4389
ko:K06206	ppb:PPUBIRD1_4391
ko:K03088	ppb:PPUBIRD1_0388
ko:K01638	ppb:PPUBIRD1_0392
ko:K05786	ppb:PPUBIRD1_0394
ko:K02019	ppb:PPUBIRD1_0397
ko:K01012	ppb:PPUBIRD1_0399
ko:K02170	ppb:PPUBIRD1_0401
ko:K02169	ppb:PPUBIRD1_0402
ko:K01935	ppb:PPUBIRD1_0403
ko:K06139	ppb:PPUBIRD1_0412
ko:K06138	ppb:PPUBIRD1_0413
ko:K06137	ppb:PPUBIRD1_0414
ko:K06136	ppb:PPUBIRD1_0415
ko:K00466	ppb:PPUBIRD1_0418
ko:K03086	ppb:PPUBIRD1_0424
ko:K02970	ppb:PPUBIRD1_0427
ko:K08591	ppb:PPUBIRD1_0429
ko:K01633	ppb:PPUBIRD1_0430
ko:K00950	ppb:PPUBIRD1_0431
ko:K09786	ppb:PPUBIRD1_0434
ko:K07180	ppb:PPUBIRD1_0435
ko:K02439	ppb:PPUBIRD1_0436
ko:K06195	ppb:PPUBIRD1_0438
ko:K02528	ppb:PPUBIRD1_0439
ko:K00097	ppb:PPUBIRD1_0440
ko:K01876	ppb:PPUBIRD1_1250
ko:K01159	ppb:PPUBIRD1_1252
ko:K03550	ppb:PPUBIRD1_1253
ko:K03551	ppb:PPUBIRD1_1254
ko:K01075	ppb:PPUBIRD1_1255
ko:K03562	ppb:PPUBIRD1_1256
ko:K03641	ppb:PPUBIRD1_1260
ko:K03640	ppb:PPUBIRD1_1261
ko:K10026	ppb:PPUBIRD1_1263
ko:K06920	ppb:PPUBIRD1_1264
ko:K14052	ppb:PPUBIRD1_1267
ko:K03517	ppb:PPUBIRD1_1269
ko:K03564	ppb:PPUBIRD1_1273
ko:K03567	ppb:PPUBIRD1_1274
ko:K01714	ppb:PPUBIRD1_1275
ko:K07287	ppb:PPUBIRD1_1276
ko:K01923	ppb:PPUBIRD1_1278
ko:K00116	ppb:PPUBIRD1_1288
ko:K12658	ppb:PPUBIRD1_1294
ko:K03638	ppb:PPUBIRD1_1298
ko:K03639	ppb:PPUBIRD1_1300
ko:K05800	ppb:PPUBIRD1_1303
ko:K03885	ppb:PPUBIRD1_2147
ko:K00145	ppb:PPUBIRD1_2156
ko:K07184	ppb:PPUBIRD1_2158
ko:K07303	ppb:PPUBIRD1_2166
ko:K07302	ppb:PPUBIRD1_2167
ko:K09136	ppb:PPUBIRD1_2168
ko:K09936	ppb:PPUBIRD1_2181
ko:K07112	ppb:PPUBIRD1_2183
ko:K01707	ppb:PPUBIRD1_2193
ko:K02036	ppb:PPUBIRD1_3017
ko:K02038	ppb:PPUBIRD1_3018
ko:K02037	ppb:PPUBIRD1_3019
ko:K02040	ppb:PPUBIRD1_3020
ko:K01531	ppb:PPUBIRD1_3035
ko:K00375	ppb:PPUBIRD1_3039
ko:K01999	ppb:PPUBIRD1_3047
ko:K01714	ppb:PPUBIRD1_3051
ko:K00694	ppb:PPUBIRD1_3056
ko:K11891	ppb:PPUBIRD1_3063
ko:K11910	ppb:PPUBIRD1_3064
ko:K11909	ppb:PPUBIRD1_3065
ko:K11901	ppb:PPUBIRD1_3066
ko:K11900	ppb:PPUBIRD1_3067
ko:K07146	ppb:PPUBIRD1_3855
ko:K05527	ppb:PPUBIRD1_3856
ko:K09924	ppb:PPUBIRD1_3857
ko:K15461	ppb:PPUBIRD1_3862
ko:K01953	ppb:PPUBIRD1_3863
ko:K03563	ppb:PPUBIRD1_3867
ko:K14393	ppb:PPUBIRD1_3874
ko:K02002	ppb:PPUBIRD1_3876
ko:K04754	ppb:PPUBIRD1_3880
ko:K07001	ppb:PPUBIRD1_3881
ko:K02517	ppb:PPUBIRD1_3882
ko:K03610	ppb:PPUBIRD1_3883
