ko:K10747	xfu:XFF4834R_chr31600
ko:K06861	xfu:XFF4834R_chr16680
ko:K09774	xfu:XFF4834R_chr16690
ko:K11719	xfu:XFF4834R_chr16700
ko:K03270	xfu:XFF4834R_chr16710
ko:K06041	xfu:XFF4834R_chr16720
ko:K00790	xfu:XFF4834R_chr16740
ko:K11175	xfu:XFF4834R_chr16780
ko:K01933	xfu:XFF4834R_chr16800
ko:K09938	xfu:XFF4834R_chr16810
ko:K10763	xfu:XFF4834R_chr16830
ko:K07102	xfu:XFF4834R_chr16860
ko:K02237	xfu:XFF4834R_chr16890
ko:K09975	xfu:XFF4834R_chr16900
ko:K00380	xfu:XFF4834R_chr16910
ko:K03734	xfu:XFF4834R_chr16920
ko:K09939	xfu:XFF4834R_chr16950
ko:K07126	xfu:XFF4834R_chr16960
ko:K16090	xfu:XFF4834R_chr16980
ko:K11717	xfu:XFF4834R_chr17010
ko:K09015	xfu:XFF4834R_chr17020
ko:K09013	xfu:XFF4834R_chr17030
ko:K09014	xfu:XFF4834R_chr17040
ko:K07117	xfu:XFF4834R_chr17060
ko:K05520	xfu:XFF4834R_chr17070
ko:K09930	xfu:XFF4834R_chr22460
ko:K01613	xfu:XFF4834R_chr22480
ko:K15727	xfu:XFF4834R_chr22620
ko:K15726	xfu:XFF4834R_chr22630
ko:K09702	xfu:XFF4834R_chr22690
ko:K00372	xfu:XFF4834R_chr22740
ko:K02304	xfu:XFF4834R_chr22750
ko:K15977	xfu:XFF4834R_chr22800
ko:K03406	xfu:XFF4834R_chr22850
ko:K06911	xfu:XFF4834R_chr27650
ko:K03406	xfu:XFF4834R_chr27660
ko:K03563	xfu:XFF4834R_chr27680
ko:K01872	xfu:XFF4834R_chr27690
ko:K03565	xfu:XFF4834R_chr27700
ko:K01356	xfu:XFF4834R_chr27720
ko:K03688	xfu:XFF4834R_chr27730
ko:K03743	xfu:XFF4834R_chr27740
ko:K03665	xfu:XFF4834R_chr27750
ko:K03666	xfu:XFF4834R_chr27760
ko:K00791	xfu:XFF4834R_chr27770
ko:K00796	xfu:XFF4834R_chr27780
ko:K03798	xfu:XFF4834R_chr27790
ko:K02427	xfu:XFF4834R_chr27800
ko:K07574	xfu:XFF4834R_chr27810
ko:K06194	xfu:XFF4834R_chr27830
ko:K00573	xfu:XFF4834R_chr27850
ko:K03787	xfu:XFF4834R_chr27860
ko:K06176	xfu:XFF4834R_chr27880
ko:K01770	xfu:XFF4834R_chr27890
ko:K00991	xfu:XFF4834R_chr27900
ko:K05589	xfu:XFF4834R_chr27910
ko:K01689	xfu:XFF4834R_chr27920
ko:K01627	xfu:XFF4834R_chr27940
ko:K01937	xfu:XFF4834R_chr27950
ko:K02622	xfu:XFF4834R_chr27980
ko:K03306	xfu:XFF4834R_chr28010
ko:K07220	xfu:XFF4834R_chr28020
ko:K03699	xfu:XFF4834R_chr28030
ko:K01173	xfu:XFF4834R_chr32270
ko:K03555	xfu:XFF4834R_chr32330
ko:K03782	xfu:XFF4834R_chr32350
ko:K04762	xfu:XFF4834R_chr32360
ko:K00799	xfu:XFF4834R_chr32370
ko:K02884	xfu:XFF4834R_chr32400
ko:K00554	xfu:XFF4834R_chr32410
ko:K02860	xfu:XFF4834R_chr32420
ko:K02959	xfu:XFF4834R_chr32430
ko:K00459	xfu:XFF4834R_chr32450
ko:K03106	xfu:XFF4834R_chr32460
ko:K01785	xfu:XFF4834R_chr32480
ko:K01209	xfu:XFF4834R_chr32490
ko:K00575	xfu:XFF4834R_chr32540
ko:K03412	xfu:XFF4834R_chr32550
ko:K03672	xfu:XFF4834R_chr32580
ko:K02014	xfu:XFF4834R_chr32590
ko:K17752	xfu:XFF4834R_chr32640
ko:K17762	xfu:XFF4834R_chr32650
ko:K17763	xfu:XFF4834R_chr32660
ko:K04079	xfu:XFF4834R_chr32680
ko:K15977	xfu:XFF4834R_chr36040
ko:K07386	xfu:XFF4834R_chr36090
ko:K07217	xfu:XFF4834R_chr36190
ko:K13924	xfu:XFF4834R_chr36220
ko:K00425	xfu:XFF4834R_chr36260
ko:K00426	xfu:XFF4834R_chr36270
ko:K01784	xfu:XFF4834R_chr36310
ko:K01854	xfu:XFF4834R_chr36330
ko:K06147	xfu:XFF4834R_chr36350
ko:K02014	xfu:XFF4834R_chr36470
ko:K01992	xfu:XFF4834R_chr36480
ko:K01992	xfu:XFF4834R_chr36490
ko:K01990	xfu:XFF4834R_chr36500
ko:K02014	xfu:XFF4834R_chr06990
ko:K00472	xfu:XFF4834R_chr07000
ko:K02452	xfu:XFF4834R_chr07030
ko:K02453	xfu:XFF4834R_chr07040
ko:K02454	xfu:XFF4834R_chr07050
ko:K02455	xfu:XFF4834R_chr07060
ko:K02456	xfu:XFF4834R_chr07070
ko:K02457	xfu:XFF4834R_chr07080
ko:K02458	xfu:XFF4834R_chr07090
ko:K02459	xfu:XFF4834R_chr07100
ko:K02460	xfu:XFF4834R_chr07110
ko:K02461	xfu:XFF4834R_chr07120
ko:K02462	xfu:XFF4834R_chr07130
ko:K02463	xfu:XFF4834R_chr07140
ko:K01190	xfu:XFF4834R_chr07170
ko:K01205	xfu:XFF4834R_chr07180
ko:K03710	xfu:XFF4834R_chr07190
ko:K02529	xfu:XFF4834R_chr07210
ko:K00820	xfu:XFF4834R_chr07220
ko:K01443	xfu:XFF4834R_chr07230
ko:K02014	xfu:XFF4834R_chr07240
ko:K00974	xfu:XFF4834R_chr07250
ko:K02168	xfu:XFF4834R_chr07280
ko:K03673	xfu:XFF4834R_chr07300
ko:K03673	xfu:XFF4834R_chr07310
ko:K03978	xfu:XFF4834R_chr07330
ko:K01919	xfu:XFF4834R_chr07360
ko:K02484	xfu:XFF4834R_chr07370
ko:K00121	xfu:XFF4834R_chr07420
ko:K03396	xfu:XFF4834R_chr07430
ko:K01070	xfu:XFF4834R_chr07440
ko:K05844	xfu:XFF4834R_chr13840
ko:K00859	xfu:XFF4834R_chr13950
ko:K02654	xfu:XFF4834R_chr13960
ko:K02653	xfu:XFF4834R_chr13970
ko:K02652	xfu:XFF4834R_chr14000
ko:K02667	xfu:XFF4834R_chr14010
ko:K02668	xfu:XFF4834R_chr14030
ko:K01903	xfu:XFF4834R_chr14040
ko:K01902	xfu:XFF4834R_chr14050
ko:K01950	xfu:XFF4834R_chr14070
ko:K05807	xfu:XFF4834R_chr14090
ko:K06180	xfu:XFF4834R_chr14100
ko:K05810	xfu:XFF4834R_chr14110
ko:K03406	xfu:XFF4834R_chr14140
ko:K00117	xfu:XFF4834R_chr14150
ko:K00697	xfu:XFF4834R_chr14160
ko:K01087	xfu:XFF4834R_chr14180
ko:K02014	xfu:XFF4834R_chr14190
ko:K06901	xfu:XFF4834R_chr14220
ko:K00215	xfu:XFF4834R_chr20050
ko:K01956	xfu:XFF4834R_chr20060
ko:K01955	xfu:XFF4834R_chr20080
ko:K03624	xfu:XFF4834R_chr20090
ko:K07462	xfu:XFF4834R_chr20110
ko:K02836	xfu:XFF4834R_chr20140
ko:K04567	xfu:XFF4834R_chr20150
ko:K13815	xfu:XFF4834R_chr20160
ko:K10715	xfu:XFF4834R_chr20180
ko:K13816	xfu:XFF4834R_chr20190
ko:K01897	xfu:XFF4834R_chr20200
ko:K01681	xfu:XFF4834R_chr20230
ko:K01682	xfu:XFF4834R_chr20260
ko:K03412	xfu:XFF4834R_chr20290
ko:K03411	xfu:XFF4834R_chr20300
ko:K00575	xfu:XFF4834R_chr20310
ko:K03406	xfu:XFF4834R_chr20320
ko:K03408	xfu:XFF4834R_chr20340
ko:K03406	xfu:XFF4834R_chr20440
ko:K03406	xfu:XFF4834R_chr20450
ko:K03407	xfu:XFF4834R_chr20490
ko:K03413	xfu:XFF4834R_chr20500
ko:K05984	xfu:XFF4834R_chr25820
ko:K03098	xfu:XFF4834R_chr25980
ko:K01662	xfu:XFF4834R_chr26020
ko:K00720	xfu:XFF4834R_chr26050
ko:K00648	xfu:XFF4834R_chr26080
ko:K09705	xfu:XFF4834R_chr26100
ko:K01991	xfu:XFF4834R_chr26220
ko:K04764	xfu:XFF4834R_chr26250
ko:K05973	xfu:XFF4834R_chr30970
ko:K10947	xfu:XFF4834R_chr30990
ko:K09125	xfu:XFF4834R_chr31030
ko:K00547	xfu:XFF4834R_chr31050
ko:K08234	xfu:XFF4834R_chr31070
ko:K01874	xfu:XFF4834R_chr31140
ko:K03616	xfu:XFF4834R_chr31160
ko:K03088	xfu:XFF4834R_chr31200
ko:K09701	xfu:XFF4834R_chr31240
ko:K00574	xfu:XFF4834R_chr31250
ko:K00574	xfu:XFF4834R_chr31280
ko:K14205	xfu:XFF4834R_chr31310
ko:K01975	xfu:XFF4834R_chr31340
ko:K10680	xfu:XFF4834R_chr31380
ko:K06193	xfu:XFF4834R_chr31400
ko:K03775	xfu:XFF4834R_chr31420
ko:K04046	xfu:XFF4834R_chr31430
ko:K00382	xfu:XFF4834R_chr35550
ko:K00627	xfu:XFF4834R_chr35570
ko:K07275	xfu:XFF4834R_chr35600
ko:K02073	xfu:XFF4834R_chr35630
ko:K02072	xfu:XFF4834R_chr35640
ko:K02071	xfu:XFF4834R_chr35650
ko:K09767	xfu:XFF4834R_chr35670
ko:K09941	xfu:XFF4834R_chr35710
ko:K06183	xfu:XFF4834R_chr35740
ko:K00564	xfu:XFF4834R_chr35750
ko:K01775	xfu:XFF4834R_chr35840
ko:K00285	xfu:XFF4834R_chr35850
ko:K03719	xfu:XFF4834R_chr35860
ko:K07305	xfu:XFF4834R_chr35880
ko:K02556	xfu:XFF4834R_chr35900
ko:K02557	xfu:XFF4834R_chr35910
ko:K01992	xfu:XFF4834R_chr35960
ko:K01990	xfu:XFF4834R_chr35970
ko:K03316	xfu:XFF4834R_chr35980
ko:K00036	xfu:XFF4834R_chr39490
ko:K09902	xfu:XFF4834R_chr39530
ko:K00647	xfu:XFF4834R_chr39540
ko:K00059	xfu:XFF4834R_chr39580
ko:K00655	xfu:XFF4834R_chr39660
ko:K02078	xfu:XFF4834R_chr39680
ko:K00228	xfu:XFF4834R_chr39780
ko:K11902	xfu:XFF4834R_chr39810
ko:K11890	xfu:XFF4834R_chr39870
ko:K11891	xfu:XFF4834R_chr39880
ko:K11892	xfu:XFF4834R_chr39890
ko:K11893	xfu:XFF4834R_chr39900
ko:K09474	xfu:XFF4834R_chr42930
ko:K03650	xfu:XFF4834R_chr42940
ko:K03217	xfu:XFF4834R_chr42960
ko:K03536	xfu:XFF4834R_chr42970
ko:K02914	xfu:XFF4834R_chr42980
ko:K03223	xfu:XFF4834R_chr04000
ko:K03224	xfu:XFF4834R_chr04010
ko:K03228	xfu:XFF4834R_chr04030
ko:K03219	xfu:XFF4834R_chr04040
ko:K01002	xfu:XFF4834R_chr04130
ko:K09781	xfu:XFF4834R_chr04150
ko:K00703	xfu:XFF4834R_chr04170
ko:K00700	xfu:XFF4834R_chr04180
ko:K01236	xfu:XFF4834R_chr04190
ko:K00705	xfu:XFF4834R_chr04200
ko:K06044	xfu:XFF4834R_chr04210
ko:K00059	xfu:XFF4834R_chr04250
ko:K00627	xfu:XFF4834R_chr04350
ko:K00162	xfu:XFF4834R_chr04370
ko:K00161	xfu:XFF4834R_chr04380
ko:K00453	xfu:XFF4834R_chr04400
ko:K03305	xfu:XFF4834R_chr04410
ko:K00457	xfu:XFF4834R_chr04440
ko:K00451	xfu:XFF4834R_chr04460
ko:K02343	xfu:XFF4834R_chr11030
ko:K09747	xfu:XFF4834R_chr11040
ko:K06187	xfu:XFF4834R_chr11050
ko:K07285	xfu:XFF4834R_chr11070
ko:K03924	xfu:XFF4834R_chr11100
ko:K06287	xfu:XFF4834R_chr11140
ko:K07040	xfu:XFF4834R_chr11150
ko:K02911	xfu:XFF4834R_chr11160
ko:K00648	xfu:XFF4834R_chr11170
ko:K00645	xfu:XFF4834R_chr11190
ko:K00059	xfu:XFF4834R_chr11200
ko:K02078	xfu:XFF4834R_chr11210
ko:K09458	xfu:XFF4834R_chr11220
ko:K01657	xfu:XFF4834R_chr11230
ko:K07082	xfu:XFF4834R_chr11240
ko:K02341	xfu:XFF4834R_chr11250
ko:K02676	xfu:XFF4834R_chr11260
ko:K02688	xfu:XFF4834R_chr11300
ko:K03417	xfu:XFF4834R_chr11310
ko:K01659	xfu:XFF4834R_chr11320
ko:K00286	xfu:XFF4834R_chr17130
ko:K06997	xfu:XFF4834R_chr17140
ko:K02669	xfu:XFF4834R_chr17150
ko:K02670	xfu:XFF4834R_chr17160
ko:K01246	xfu:XFF4834R_chr17200
ko:K07735	xfu:XFF4834R_chr17210
ko:K07447	xfu:XFF4834R_chr17220
ko:K00609	xfu:XFF4834R_chr17230
ko:K04063	xfu:XFF4834R_chr17240
ko:K12526	xfu:XFF4834R_chr17280
ko:K01925	xfu:XFF4834R_chr17310
ko:K02523	xfu:XFF4834R_chr17330
ko:K13483	xfu:XFF4834R_chr17370
ko:K11178	xfu:XFF4834R_chr17380
ko:K11177	xfu:XFF4834R_chr17390
ko:K07402	xfu:XFF4834R_chr17400
ko:K07141	xfu:XFF4834R_chr17410
ko:K06200	xfu:XFF4834R_chr17500
ko:K06911	xfu:XFF4834R_chr17510
ko:K07397	xfu:XFF4834R_chr17520
ko:K06911	xfu:XFF4834R_chr17540
ko:K05982	xfu:XFF4834R_chr17580
ko:K03717	xfu:XFF4834R_chr22870
ko:K05577	xfu:XFF4834R_chr22880
ko:K01951	xfu:XFF4834R_chr22900
ko:K00088	xfu:XFF4834R_chr22910
ko:K01491	xfu:XFF4834R_chr22920
ko:K09948	xfu:XFF4834R_chr22930
ko:K11747	xfu:XFF4834R_chr22940
ko:K00963	xfu:XFF4834R_chr22950
ko:K05788	xfu:XFF4834R_chr23000
ko:K02945	xfu:XFF4834R_chr23010
ko:K00945	xfu:XFF4834R_chr23020
ko:K02919	xfu:XFF4834R_chr23030
ko:K12251	xfu:XFF4834R_chr23070
ko:K03823	xfu:XFF4834R_chr23080
ko:K02026	xfu:XFF4834R_chr23120
ko:K02025	xfu:XFF4834R_chr23130
ko:K02027	xfu:XFF4834R_chr23140
ko:K02529	xfu:XFF4834R_chr23170
ko:K05527	xfu:XFF4834R_chr23180
ko:K09780	xfu:XFF4834R_chr23190
ko:K05896	xfu:XFF4834R_chr23200
ko:K06024	xfu:XFF4834R_chr23210
ko:K06178	xfu:XFF4834R_chr23220
ko:K14287	xfu:XFF4834R_chr23260
ko:K02193	xfu:XFF4834R_chr23270
ko:K02194	xfu:XFF4834R_chr23280
ko:K02195	xfu:XFF4834R_chr23290
ko:K02196	xfu:XFF4834R_chr23300
ko:K02197	xfu:XFF4834R_chr23310
ko:K02198	xfu:XFF4834R_chr23320
ko:K02169	xfu:XFF4834R_chr28130
ko:K12262	xfu:XFF4834R_chr28250
ko:K08738	xfu:XFF4834R_chr28270
ko:K03088	xfu:XFF4834R_chr28290
ko:K02195	xfu:XFF4834R_chr28320
ko:K02196	xfu:XFF4834R_chr28330
ko:K02197	xfu:XFF4834R_chr28340
ko:K02198	xfu:XFF4834R_chr28350
ko:K02199	xfu:XFF4834R_chr28360
ko:K02200	xfu:XFF4834R_chr28370
ko:K08482	xfu:XFF4834R_chr28400
ko:K04485	xfu:XFF4834R_chr32720
ko:K02300	xfu:XFF4834R_chr32740
ko:K02299	xfu:XFF4834R_chr32750
ko:K02298	xfu:XFF4834R_chr32760
ko:K02297	xfu:XFF4834R_chr32770
ko:K03527	xfu:XFF4834R_chr32830
ko:K03101	xfu:XFF4834R_chr32840
ko:K01870	xfu:XFF4834R_chr32850
ko:K11753	xfu:XFF4834R_chr32860
ko:K03980	xfu:XFF4834R_chr32870
ko:K02968	xfu:XFF4834R_chr32880
ko:K03979	xfu:XFF4834R_chr32890
ko:K02899	xfu:XFF4834R_chr32900
ko:K02888	xfu:XFF4834R_chr32910
ko:K03701	xfu:XFF4834R_chr32930
ko:K07107	xfu:XFF4834R_chr32940
ko:K10805	xfu:XFF4834R_chr32970
ko:K08289	xfu:XFF4834R_chr33030
ko:K07260	xfu:XFF4834R_chr33070
ko:K01247	xfu:XFF4834R_chr33080
ko:K03610	xfu:XFF4834R_chr33140
ko:K03609	xfu:XFF4834R_chr33150
ko:K01173	xfu:XFF4834R_chr36570
ko:K01118	xfu:XFF4834R_chr36600
ko:K03321	xfu:XFF4834R_chr36650
ko:K01265	xfu:XFF4834R_chr36670
ko:K03086	xfu:XFF4834R_chr36800
ko:K07560	xfu:XFF4834R_chr36810
ko:K02517	xfu:XFF4834R_chr36820
ko:K03823	xfu:XFF4834R_chr36830
ko:K01497	xfu:XFF4834R_chr36840
ko:K09167	xfu:XFF4834R_chr36850
ko:K08981	xfu:XFF4834R_chr36860
ko:K03500	xfu:XFF4834R_chr36910
ko:K00604	xfu:XFF4834R_chr36920
ko:K01462	xfu:XFF4834R_chr36930
ko:K04096	xfu:XFF4834R_chr36950
ko:K03747	xfu:XFF4834R_chr36960
ko:K03168	xfu:XFF4834R_chr36990
ko:K07566	xfu:XFF4834R_chr37000
ko:K03088	xfu:XFF4834R_chr39990
ko:K07165	xfu:XFF4834R_chr40000
ko:K01093	xfu:XFF4834R_chr40020
ko:K11907	xfu:XFF4834R_chr40090
ko:K11895	xfu:XFF4834R_chr40100
ko:K11896	xfu:XFF4834R_chr40110
ko:K11897	xfu:XFF4834R_chr40120
ko:K11898	xfu:XFF4834R_chr40130
ko:K11903	xfu:XFF4834R_chr40140
ko:K11900	xfu:XFF4834R_chr40150
ko:K11901	xfu:XFF4834R_chr40160
ko:K00661	xfu:XFF4834R_chr40190
ko:K03657	xfu:XFF4834R_chr40210
ko:K06131	xfu:XFF4834R_chr40230
ko:K00874	xfu:XFF4834R_chr01110
ko:K00209	xfu:XFF4834R_chr01120
ko:K00101	xfu:XFF4834R_chr01200
ko:K10979	xfu:XFF4834R_chr01210
ko:K09959	xfu:XFF4834R_chr01240
ko:K00138	xfu:XFF4834R_chr01250
ko:K02014	xfu:XFF4834R_chr01280
ko:K00832	xfu:XFF4834R_chr01290
ko:K03841	xfu:XFF4834R_chr01300
ko:K03568	xfu:XFF4834R_chr01320
ko:K03568	xfu:XFF4834R_chr01330
ko:K03924	xfu:XFF4834R_chr01360
ko:K03762	xfu:XFF4834R_chr01430
ko:K03671	xfu:XFF4834R_chr01440
ko:K03070	xfu:XFF4834R_chr07920
ko:K03574	xfu:XFF4834R_chr07930
ko:K00297	xfu:XFF4834R_chr07950
ko:K01176	xfu:XFF4834R_chr08020
ko:K09912	xfu:XFF4834R_chr08040
ko:K01251	xfu:XFF4834R_chr08100
ko:K01595	xfu:XFF4834R_chr08120
ko:K03286	xfu:XFF4834R_chr08160
ko:K01093	xfu:XFF4834R_chr08180
ko:K00789	xfu:XFF4834R_chr08190
ko:K05540	xfu:XFF4834R_chr08220
ko:K00852	xfu:XFF4834R_chr08240
ko:K03317	xfu:XFF4834R_chr08250
ko:K16087	xfu:XFF4834R_chr08290
ko:K09922	xfu:XFF4834R_chr08320
ko:K02050	xfu:XFF4834R_chr08330
ko:K02049	xfu:XFF4834R_chr08340
ko:K02051	xfu:XFF4834R_chr08350
ko:K03119	xfu:XFF4834R_chr08360
ko:K02004	xfu:XFF4834R_chr08370
ko:K02003	xfu:XFF4834R_chr08380
ko:K10804	xfu:XFF4834R_chr08390
ko:K00799	xfu:XFF4834R_chr14260
ko:K07461	xfu:XFF4834R_chr14270
ko:K02014	xfu:XFF4834R_chr14280
ko:K15553	xfu:XFF4834R_chr14310
ko:K15554	xfu:XFF4834R_chr14320
ko:K15555	xfu:XFF4834R_chr14330
ko:K03695	xfu:XFF4834R_chr14340
ko:K16092	xfu:XFF4834R_chr14360
ko:K02227	xfu:XFF4834R_chr14400
ko:K02232	xfu:XFF4834R_chr14420
ko:K02231	xfu:XFF4834R_chr14430
ko:K00768	xfu:XFF4834R_chr14440
ko:K02226	xfu:XFF4834R_chr14450
ko:K02233	xfu:XFF4834R_chr14460
ko:K01586	xfu:XFF4834R_chr14500
ko:K16091	xfu:XFF4834R_chr14550
ko:K02510	xfu:XFF4834R_chr14560
ko:K03455	xfu:XFF4834R_chr14570
ko:K02014	xfu:XFF4834R_chr14590
ko:K02014	xfu:XFF4834R_chr14600
ko:K02014	xfu:XFF4834R_chr14620
ko:K06158	xfu:XFF4834R_chr14630
ko:K17836	xfu:XFF4834R_chr14660
ko:K10218	xfu:XFF4834R_chr40250
ko:K16514	xfu:XFF4834R_chr40260
ko:K02913	xfu:XFF4834R_chr40280
ko:K02902	xfu:XFF4834R_chr40290
ko:K15726	xfu:XFF4834R_chr40300
ko:K15727	xfu:XFF4834R_chr40310
ko:K15725	xfu:XFF4834R_chr40320
ko:K03501	xfu:XFF4834R_chr40350
ko:K01113	xfu:XFF4834R_chr40360
ko:K01113	xfu:XFF4834R_chr40370
ko:K01142	xfu:XFF4834R_chr40400
ko:K05564	xfu:XFF4834R_chr04490
ko:K05563	xfu:XFF4834R_chr04500
ko:K05562	xfu:XFF4834R_chr04510
ko:K05561	xfu:XFF4834R_chr04520
ko:K05560	xfu:XFF4834R_chr04530
ko:K05559	xfu:XFF4834R_chr04540
ko:K01923	xfu:XFF4834R_chr04590
ko:K01783	xfu:XFF4834R_chr04620
ko:K01657	xfu:XFF4834R_chr04650
ko:K01620	xfu:XFF4834R_chr04660
ko:K01658	xfu:XFF4834R_chr04770
ko:K00766	xfu:XFF4834R_chr04790
ko:K01609	xfu:XFF4834R_chr04800
ko:K10914	xfu:XFF4834R_chr04820
ko:K01611	xfu:XFF4834R_chr04830
ko:K06134	xfu:XFF4834R_chr04850
ko:K02871	xfu:XFF4834R_chr04860
ko:K02996	xfu:XFF4834R_chr04870
ko:K08311	xfu:XFF4834R_chr04900
ko:K03594	xfu:XFF4834R_chr04910
ko:K15724	xfu:XFF4834R_chr04970
ko:K03426	xfu:XFF4834R_chr04990
ko:K02014	xfu:XFF4834R_chr11360
ko:K18195	xfu:XFF4834R_chr11410
ko:K07390	xfu:XFF4834R_chr11480
ko:K14260	xfu:XFF4834R_chr11530
ko:K06949	xfu:XFF4834R_chr11540
ko:K05341	xfu:XFF4834R_chr11570
ko:K16211	xfu:XFF4834R_chr11590
ko:K00023	xfu:XFF4834R_chr11610
ko:K03300	xfu:XFF4834R_chr11620
ko:K07221	xfu:XFF4834R_chr11630
ko:K07774	xfu:XFF4834R_chr11640
ko:K07649	xfu:XFF4834R_chr11650
ko:K02012	xfu:XFF4834R_chr11660
ko:K03288	xfu:XFF4834R_chr11730
ko:K07221	xfu:XFF4834R_chr11750
ko:K11103	xfu:XFF4834R_chr11760
ko:K00029	xfu:XFF4834R_chr11770
ko:K02517	xfu:XFF4834R_chr11820
ko:K01834	xfu:XFF4834R_chr17590
ko:K07386	xfu:XFF4834R_chr17610
ko:K03412	xfu:XFF4834R_chr17630
ko:K00575	xfu:XFF4834R_chr17640
ko:K03408	xfu:XFF4834R_chr17660
ko:K03406	xfu:XFF4834R_chr17670
ko:K03407	xfu:XFF4834R_chr17680
ko:K03723	xfu:XFF4834R_chr17700
ko:K07115	xfu:XFF4834R_chr17730
ko:K07663	xfu:XFF4834R_chr17740
ko:K06143	xfu:XFF4834R_chr17770
ko:K01885	xfu:XFF4834R_chr17820
ko:K09823	xfu:XFF4834R_chr17830
ko:K03585	xfu:XFF4834R_chr17850
ko:K18139	xfu:XFF4834R_chr17870
ko:K02014	xfu:XFF4834R_chr17980
ko:K00567	xfu:XFF4834R_chr18040
ko:K13529	xfu:XFF4834R_chr18050
ko:K02199	xfu:XFF4834R_chr23330
ko:K02200	xfu:XFF4834R_chr23340
ko:K02200	xfu:XFF4834R_chr23350
ko:K00641	xfu:XFF4834R_chr23360
ko:K16012	xfu:XFF4834R_chr23380
ko:K16013	xfu:XFF4834R_chr23390
ko:K00425	xfu:XFF4834R_chr23400
ko:K00426	xfu:XFF4834R_chr23410
ko:K03449	xfu:XFF4834R_chr23440
ko:K06978	xfu:XFF4834R_chr23450
ko:K15923	xfu:XFF4834R_chr23460
ko:K00147	xfu:XFF4834R_chr23470
ko:K00931	xfu:XFF4834R_chr23480
ko:K01755	xfu:XFF4834R_chr23500
ko:K00145	xfu:XFF4834R_chr23510
ko:K01438	xfu:XFF4834R_chr23540
ko:K01940	xfu:XFF4834R_chr23560
ko:K01883	xfu:XFF4834R_chr23600
ko:K02426	xfu:XFF4834R_chr23610
ko:K06204	xfu:XFF4834R_chr23630
ko:K08998	xfu:XFF4834R_chr23640
ko:K01465	xfu:XFF4834R_chr23650
ko:K03735	xfu:XFF4834R_chr23700
ko:K03736	xfu:XFF4834R_chr23710
ko:K01728	xfu:XFF4834R_chr23760
ko:K01118	xfu:XFF4834R_chr28540
ko:K01875	xfu:XFF4834R_chr28550
ko:K00655	xfu:XFF4834R_chr01640
ko:K07019	xfu:XFF4834R_chr01650
ko:K06910	xfu:XFF4834R_chr01680
ko:K06153	xfu:XFF4834R_chr01710
ko:K01915	xfu:XFF4834R_chr01720
ko:K04751	xfu:XFF4834R_chr01730
ko:K03320	xfu:XFF4834R_chr01740
ko:K07708	xfu:XFF4834R_chr01750
ko:K07712	xfu:XFF4834R_chr01760
ko:K03832	xfu:XFF4834R_chr28570
ko:K00800	xfu:XFF4834R_chr28580
ko:K14170	xfu:XFF4834R_chr28590
ko:K00831	xfu:XFF4834R_chr28600
ko:K05836	xfu:XFF4834R_chr28670
ko:K01468	xfu:XFF4834R_chr28690
ko:K01745	xfu:XFF4834R_chr28700
ko:K01479	xfu:XFF4834R_chr28710
ko:K01712	xfu:XFF4834R_chr28720
ko:K00117	xfu:XFF4834R_chr28740
ko:K02469	xfu:XFF4834R_chr28750
ko:K08963	xfu:XFF4834R_chr28760
ko:K04568	xfu:XFF4834R_chr28780
ko:K01972	xfu:XFF4834R_chr28790
ko:K00817	xfu:XFF4834R_chr28800
ko:K03528	xfu:XFF4834R_chr28820
ko:K03529	xfu:XFF4834R_chr28830
ko:K07017	xfu:XFF4834R_chr28840
ko:K02939	xfu:XFF4834R_chr28850
ko:K02963	xfu:XFF4834R_chr28860
ko:K02990	xfu:XFF4834R_chr28870
ko:K13628	xfu:XFF4834R_chr28880
ko:K01893	xfu:XFF4834R_chr28890
ko:K07734	xfu:XFF4834R_chr28930
ko:K03608	xfu:XFF4834R_chr33160
ko:K03760	xfu:XFF4834R_chr33220
ko:K01283	xfu:XFF4834R_chr33230
ko:K07552	xfu:XFF4834R_chr33250
ko:K00281	xfu:XFF4834R_chr33260
ko:K03929	xfu:XFF4834R_chr33270
ko:K03781	xfu:XFF4834R_chr33290
ko:K14162	xfu:XFF4834R_chr33410
ko:K14161	xfu:XFF4834R_chr33430
ko:K01356	xfu:XFF4834R_chr33450
ko:K07341	xfu:XFF4834R_chr33470
ko:K13483	xfu:XFF4834R_chr33520
ko:K11178	xfu:XFF4834R_chr33530
ko:K11177	xfu:XFF4834R_chr33540
ko:K03701	xfu:XFF4834R_chr33570
ko:K00384	xfu:XFF4834R_chr33610
ko:K08081	xfu:XFF4834R_chr37030
ko:K04773	xfu:XFF4834R_chr37050
ko:K03327	xfu:XFF4834R_chr37060
ko:K04066	xfu:XFF4834R_chr37100
ko:K03885	xfu:XFF4834R_chr37140
ko:K03089	xfu:XFF4834R_chr37160
ko:K03648	xfu:XFF4834R_chr37170
ko:K09811	xfu:XFF4834R_chr37190
ko:K09812	xfu:XFF4834R_chr37200
ko:K03732	xfu:XFF4834R_chr37210
ko:K03671	xfu:XFF4834R_chr37220
ko:K03628	xfu:XFF4834R_chr37230
ko:K00031	xfu:XFF4834R_chr37300
ko:K06879	xfu:XFF4834R_chr37330
ko:K07799	xfu:XFF4834R_chr37350
ko:K07788	xfu:XFF4834R_chr37360
ko:K07789	xfu:XFF4834R_chr37370
ko:K04750	xfu:XFF4834R_chr37380
