ko:K19079	saud:CH52_02460
ko:K01591	saud:CH52_13065
ko:K01955	saud:CH52_13070
ko:K01956	saud:CH52_13075
ko:K01465	saud:CH52_13080
ko:K00609	saud:CH52_13085
ko:K02824	saud:CH52_13090
ko:K02825	saud:CH52_13095
ko:K06180	saud:CH52_13100
ko:K03101	saud:CH52_13105
ko:K07104	saud:CH52_13115
ko:K01870	saud:CH52_13120
ko:K04074	saud:CH52_13125
ko:K02221	saud:CH52_13135
ko:K09772	saud:CH52_13140
ko:K06997	saud:CH52_13145
ko:K05810	saud:CH52_13150
ko:K03531	saud:CH52_13155
ko:K03590	saud:CH52_13160
ko:K03589	saud:CH52_13165
ko:K01925	saud:CH52_13170
ko:K01000	saud:CH52_13175
ko:K12552	saud:CH52_13180
ko:K03438	saud:CH52_13190
ko:K03925	saud:CH52_13195
ko:K07025	saud:CH52_13210
ko:K11041	saud:CH52_13235
ko:K00926	saud:CH52_13250
ko:K00611	saud:CH52_13255
ko:K11032	saud:CH52_13285
ko:K14200	saud:CH52_13315
ko:K00008	saud:CH52_04475
ko:K00008	saud:CH52_04485
ko:K02775	saud:CH52_04490
ko:K02774	saud:CH52_04495
ko:K02773	saud:CH52_04500
ko:K00016	saud:CH52_04520
ko:K05916	saud:CH52_04525
ko:K02035	saud:CH52_04540
ko:K01897	saud:CH52_04555
ko:K00252	saud:CH52_04560
ko:K07516	saud:CH52_04565
ko:K01126	saud:CH52_04585
ko:K04069	saud:CH52_04590
ko:K00656	saud:CH52_04595
ko:K02012	saud:CH52_04600
ko:K07720	saud:CH52_04610
ko:K07784	saud:CH52_04615
ko:K15772	saud:CH52_04640
ko:K15771	saud:CH52_04645
ko:K15770	saud:CH52_04650
ko:K10112	saud:CH52_04655
ko:K01118	saud:CH52_04665
ko:K00681	saud:CH52_04675
ko:K02035	saud:CH52_04680
ko:K02034	saud:CH52_04685
ko:K02033	saud:CH52_04690
ko:K02031	saud:CH52_04695
ko:K02032	saud:CH52_04695
ko:K07729	saud:CH52_04700
ko:K01990	saud:CH52_04710
ko:K02004	saud:CH52_04730
ko:K02003	saud:CH52_04735
ko:K02005	saud:CH52_04740
ko:K01153	saud:CH52_04750
ko:K02809	saud:CH52_04760
ko:K02810	saud:CH52_04760
ko:K07979	saud:CH52_09250
ko:K01990	saud:CH52_09255
ko:K01990	saud:CH52_09265
ko:K01992	saud:CH52_09270
ko:K00128	saud:CH52_09320
ko:K15986	saud:CH52_09325
ko:K14445	saud:CH52_09340
ko:K04518	saud:CH52_09345
ko:K00491	saud:CH52_09350
ko:K00763	saud:CH52_09355
ko:K01916	saud:CH52_09360
ko:K08258	saud:CH52_09380
ko:K01756	saud:CH52_09385
ko:K07094	saud:CH52_09395
ko:K03657	saud:CH52_09400
ko:K01972	saud:CH52_09405
ko:K11928	saud:CH52_09415
ko:K02435	saud:CH52_09420
ko:K02433	saud:CH52_09425
ko:K02434	saud:CH52_09430
ko:K03215	saud:CH52_09440
ko:K02346	saud:CH52_09450
ko:K02342	saud:CH52_09455
ko:K02217	saud:CH52_09460
ko:K07009	saud:CH52_09470
ko:K07652	saud:CH52_05345
ko:K07668	saud:CH52_05350
ko:K01939	saud:CH52_05365
ko:K02939	saud:CH52_05375
ko:K00641	saud:CH52_05390
ko:K01875	saud:CH52_05405
ko:K01745	saud:CH52_05410
ko:K02469	saud:CH52_05420
ko:K02470	saud:CH52_05425
ko:K03629	saud:CH52_05430
ko:K02338	saud:CH52_05440
ko:K02313	saud:CH52_05445
ko:K02914	saud:CH52_05450
ko:K03536	saud:CH52_05455
ko:K03650	saud:CH52_05460
ko:K03495	saud:CH52_05465
ko:K03501	saud:CH52_05470
ko:K03704	saud:CH52_05495
ko:K11632	saud:CH52_05505
ko:K11631	saud:CH52_05510
ko:K07241	saud:CH52_05525
ko:K05786	saud:CH52_05535
ko:K03319	saud:CH52_05540
ko:K10947	saud:CH52_05550
ko:K01304	saud:CH52_05560
ko:K07146	saud:CH52_05565
ko:K02352	saud:CH52_05570
ko:K16924	saud:CH52_05585
ko:K16786	saud:CH52_05590
ko:K16787	saud:CH52_05590
ko:K16785	saud:CH52_05595
ko:K01911	saud:CH52_10140
ko:K02549	saud:CH52_10145
ko:K08998	saud:CH52_10150
ko:K01610	saud:CH52_10165
ko:K00789	saud:CH52_10170
ko:K06199	saud:CH52_10195
ko:K06199	saud:CH52_10200
ko:K00616	saud:CH52_10210
ko:K07052	saud:CH52_10215
ko:K03893	saud:CH52_10245
ko:K11752	saud:CH52_10265
ko:K00793	saud:CH52_10270
ko:K14652	saud:CH52_10275
ko:K00794	saud:CH52_10280
ko:K00318	saud:CH52_10285
ko:K07139	saud:CH52_10305
ko:K01869	saud:CH52_10315
ko:K07007	saud:CH52_10330
ko:K06183	saud:CH52_10340
ko:K01439	saud:CH52_10350
ko:K00824	saud:CH52_10355
ko:K03439	saud:CH52_10365
ko:K01261	saud:CH52_10380
ko:K06878	saud:CH52_10395
ko:K03466	saud:CH52_10400
ko:K01924	saud:CH52_10405
ko:K10212	saud:CH52_06175
ko:K10210	saud:CH52_06180
ko:K10211	saud:CH52_06185
ko:K10208	saud:CH52_06190
ko:K10209	saud:CH52_06195
ko:K03778	saud:CH52_06205
ko:K07213	saud:CH52_06210
ko:K17686	saud:CH52_06215
ko:K00294	saud:CH52_06230
ko:K06994	saud:CH52_06240
ko:K04758	saud:CH52_06245
ko:K04759	saud:CH52_06250
ko:K04086	saud:CH52_06260
ko:K00567	saud:CH52_06265
ko:K01641	saud:CH52_06270
ko:K00054	saud:CH52_06275
ko:K06518	saud:CH52_06295
ko:K00158	saud:CH52_06305
ko:K07107	saud:CH52_06315
ko:K01752	saud:CH52_06345
ko:K01752	saud:CH52_06350
ko:K03823	saud:CH52_06355
ko:K07284	saud:CH52_06360
ko:K16916	saud:CH52_06365
ko:K16917	saud:CH52_06370
ko:K03778	saud:CH52_06380
ko:K07104	saud:CH52_06390
ko:K06975	saud:CH52_06395
ko:K15973	saud:CH52_06400
ko:K15975	saud:CH52_06405
ko:K06999	saud:CH52_06410
ko:K04041	saud:CH52_06420
ko:K01990	saud:CH52_06430
ko:K03535	saud:CH52_06440
ko:K02160	saud:CH52_11030
ko:K01961	saud:CH52_11035
ko:K07160	saud:CH52_11040
ko:K01243	saud:CH52_11070
ko:K07015	saud:CH52_11075
ko:K06948	saud:CH52_11080
ko:K00014	saud:CH52_11085
ko:K07574	saud:CH52_11090
ko:K00969	saud:CH52_11095
ko:K09710	saud:CH52_11105
ko:K02237	saud:CH52_11115
ko:K02238	saud:CH52_11125
ko:K02340	saud:CH52_11130
ko:K02968	saud:CH52_11135
ko:K03596	saud:CH52_11140
ko:K03705	saud:CH52_11155
ko:K03687	saud:CH52_11160
ko:K04043	saud:CH52_11165
ko:K03686	saud:CH52_11170
ko:K02687	saud:CH52_11175
ko:K09761	saud:CH52_11180
ko:K18707	saud:CH52_11185
ko:K02970	saud:CH52_11190
ko:K07042	saud:CH52_11215
ko:K01489	saud:CH52_11225
ko:K03584	saud:CH52_11235
ko:K01880	saud:CH52_11240
ko:K09773	saud:CH52_11250
ko:K03086	saud:CH52_11260
ko:K06967	saud:CH52_11265
ko:K18692	saud:CH52_11280
ko:K01151	saud:CH52_11285
ko:K09817	saud:CH52_11290
ko:K09816	saud:CH52_11295
ko:K02076	saud:CH52_11300
ko:K04564	saud:CH52_11305
ko:K12553	saud:CH52_11310
ko:K02913	saud:CH52_11315
ko:K02935	saud:CH52_03055
ko:K02864	saud:CH52_03060
ko:K02863	saud:CH52_03065
ko:K02867	saud:CH52_03070
ko:K02601	saud:CH52_03075
ko:K03073	saud:CH52_03080
ko:K03091	saud:CH52_03085
ko:K06962	saud:CH52_03090
ko:K03218	saud:CH52_03095
ko:K11145	saud:CH52_03100
ko:K01883	saud:CH52_03105
ko:K00640	saud:CH52_03110
ko:K09698	saud:CH52_03115
ko:K04485	saud:CH52_03125
ko:K03696	saud:CH52_03130
ko:K03708	saud:CH52_03145
ko:K11535	saud:CH52_03150
ko:K08681	saud:CH52_03155
ko:K06215	saud:CH52_03160
ko:K00375	saud:CH52_03165
ko:K04567	saud:CH52_03250
ko:K00950	saud:CH52_03255
ko:K01633	saud:CH52_03260
ko:K00796	saud:CH52_03265
ko:K01738	saud:CH52_03270
ko:K04083	saud:CH52_03275
ko:K03798	saud:CH52_03280
ko:K00760	saud:CH52_03285
ko:K04075	saud:CH52_03290
ko:K07571	saud:CH52_03295
ko:K02499	saud:CH52_03310
ko:K03723	saud:CH52_03320
ko:K01056	saud:CH52_03325
ko:K02897	saud:CH52_03330
ko:K03752	saud:CH52_07620
ko:K03639	saud:CH52_07625
ko:K11693	saud:CH52_07650
ko:K07088	saud:CH52_07670
ko:K05340	saud:CH52_07675
ko:K06901	saud:CH52_07690
ko:K02946	saud:CH52_07700
ko:K02906	saud:CH52_07705
ko:K02926	saud:CH52_07710
ko:K02892	saud:CH52_07715
ko:K02886	saud:CH52_07720
ko:K02965	saud:CH52_07725
ko:K02890	saud:CH52_07730
ko:K02982	saud:CH52_07735
ko:K02878	saud:CH52_07740
ko:K02904	saud:CH52_07745
ko:K02961	saud:CH52_07750
ko:K02874	saud:CH52_07755
ko:K02895	saud:CH52_07760
ko:K02931	saud:CH52_07765
ko:K02954	saud:CH52_07770
ko:K02994	saud:CH52_07775
ko:K02933	saud:CH52_07780
ko:K02881	saud:CH52_07785
ko:K02988	saud:CH52_07790
ko:K02907	saud:CH52_07795
ko:K02876	saud:CH52_07800
ko:K03076	saud:CH52_07805
ko:K00939	saud:CH52_07810
ko:K02518	saud:CH52_07815
ko:K02919	saud:CH52_07820
ko:K02952	saud:CH52_07825
ko:K02948	saud:CH52_07830
ko:K03040	saud:CH52_07835
ko:K02879	saud:CH52_07840
ko:K16786	saud:CH52_07845
ko:K16787	saud:CH52_07850
ko:K16785	saud:CH52_07855
ko:K06173	saud:CH52_07860
ko:K02871	saud:CH52_07865
ko:K02996	saud:CH52_07870
ko:K01652	saud:CH52_07915
ko:K01575	saud:CH52_07920
ko:K01915	saud:CH52_12545
ko:K03713	saud:CH52_12550
ko:K03665	saud:CH52_12560
ko:K00432	saud:CH52_12565
ko:K03666	saud:CH52_12570
ko:K00791	saud:CH52_12575
ko:K00111	saud:CH52_12585
ko:K00864	saud:CH52_12590
ko:K02440	saud:CH52_12595
ko:K02443	saud:CH52_12600
ko:K03572	saud:CH52_12605
ko:K03555	saud:CH52_12610
ko:K06168	saud:CH52_12625
ko:K00175	saud:CH52_12635
ko:K00174	saud:CH52_12640
ko:K09769	saud:CH52_12645
ko:K18682	saud:CH52_12655
ko:K00995	saud:CH52_12670
ko:K00059	saud:CH52_12685
ko:K03466	saud:CH52_12705
ko:K12574	saud:CH52_12710
ko:K00962	saud:CH52_12715
ko:K02956	saud:CH52_12720
ko:K11753	saud:CH52_12725
ko:K03177	saud:CH52_12730
ko:K02834	saud:CH52_12735
ko:K02519	saud:CH52_12740
ko:K07742	saud:CH52_12750
ko:K02600	saud:CH52_12755
ko:K09748	saud:CH52_12760
ko:K03763	saud:CH52_12765
ko:K01881	saud:CH52_12770
ko:K11749	saud:CH52_12775
ko:K02347	saud:CH52_00175
ko:K09888	saud:CH52_00185
ko:K03471	saud:CH52_00190
ko:K01890	saud:CH52_00195
ko:K01889	saud:CH52_00200
ko:K07145	saud:CH52_00210
ko:K08600	saud:CH52_00215
ko:K18909	saud:CH52_04060
ko:K02016	saud:CH52_00225
ko:K14193	saud:CH52_00240
ko:K02911	saud:CH52_00250
ko:K07040	saud:CH52_00255
ko:K00954	saud:CH52_00265
ko:K03322	saud:CH52_00360
ko:K11069	saud:CH52_00375
ko:K11070	saud:CH52_00380
ko:K11071	saud:CH52_00385
ko:K11072	saud:CH52_00390
ko:K00382	saud:CH52_00405
ko:K00627	saud:CH52_00410
ko:K00162	saud:CH52_00415
ko:K00161	saud:CH52_00420
ko:K01462	saud:CH52_00430
ko:K12574	saud:CH52_00440
ko:K03499	saud:CH52_00445
ko:K00426	saud:CH52_00450
ko:K00425	saud:CH52_00455
ko:K08483	saud:CH52_00465
ko:K11189	saud:CH52_00470
ko:K06969	saud:CH52_00480
ko:K16925	saud:CH52_00500
ko:K16786	saud:CH52_00505
ko:K16787	saud:CH52_00505
ko:K16785	saud:CH52_00510
ko:K01945	saud:CH52_00515
ko:K00602	saud:CH52_00520
ko:K11175	saud:CH52_00525
ko:K01933	saud:CH52_00530
ko:K00764	saud:CH52_00535
ko:K01952	saud:CH52_00540
ko:K01952	saud:CH52_00545
ko:K01923	saud:CH52_00555
ko:K01589	saud:CH52_00560
ko:K01588	saud:CH52_00565
ko:K01491	saud:CH52_00570
ko:K02826	saud:CH52_00580
ko:K02827	saud:CH52_00585
ko:K02828	saud:CH52_00590
ko:K02829	saud:CH52_00595
ko:K00841	saud:CH52_00635
ko:K13715	saud:CH52_00645
ko:K01661	saud:CH52_00655
ko:K08680	saud:CH52_00660
ko:K02551	saud:CH52_00665
ko:K02552	saud:CH52_00670
ko:K02548	saud:CH52_00675
ko:K02016	saud:CH52_00695
ko:K15977	saud:CH52_00700
ko:K02003	saud:CH52_00710
ko:K07052	saud:CH52_00730
ko:K03800	saud:CH52_00740
ko:K02250	saud:CH52_00750
ko:K02837	saud:CH52_00785
ko:K05362	saud:CH52_00795
ko:K03310	saud:CH52_00820
ko:K00208	saud:CH52_00830
ko:K03455	saud:CH52_00835
ko:K06213	saud:CH52_00840
ko:K06180	saud:CH52_00845
ko:K00858	saud:CH52_00850
ko:K07816	saud:CH52_00855
ko:K06886	saud:CH52_00870
ko:K08602	saud:CH52_00880
ko:K06198	saud:CH52_00885
ko:K16511	saud:CH52_00890
ko:K16509	saud:CH52_00895
ko:K01867	saud:CH52_00900
ko:K02034	saud:CH52_00905
ko:K02033	saud:CH52_00910
ko:K01126	saud:CH52_00285
ko:K02035	saud:CH52_00925
ko:K15580	saud:CH52_00930
ko:K10823	saud:CH52_00935
ko:K15583	saud:CH52_00940
ko:K15582	saud:CH52_00945
ko:K15581	saud:CH52_00950
ko:K09458	saud:CH52_00960
ko:K00648	saud:CH52_00965
ko:K06910	saud:CH52_00980
ko:K03695	saud:CH52_01005
ko:K08255	saud:CH52_01025
ko:K16898	saud:CH52_01040
ko:K16899	saud:CH52_01045
ko:K03100	saud:CH52_01050
ko:K03100	saud:CH52_01055
ko:K01810	saud:CH52_01065
ko:K01940	saud:CH52_01070
ko:K01755	saud:CH52_01075
ko:K01126	saud:CH52_01080
ko:K00260	saud:CH52_01085
ko:K00819	saud:CH52_01090
ko:K03768	saud:CH52_01105
ko:K06347	saud:CH52_01110
ko:K05565	saud:CH52_01115
ko:K05566	saud:CH52_01120
ko:K05567	saud:CH52_01125
ko:K05568	saud:CH52_01130
ko:K05569	saud:CH52_01135
ko:K05570	saud:CH52_01140
ko:K05571	saud:CH52_01145
ko:K07084	saud:CH52_01160
ko:K01255	saud:CH52_01165
ko:K09014	saud:CH52_01650
ko:K04488	saud:CH52_01655
ko:K11717	saud:CH52_01660
ko:K09015	saud:CH52_01665
ko:K09013	saud:CH52_01670
ko:K08974	saud:CH52_01675
ko:K02073	saud:CH52_01685
ko:K02072	saud:CH52_01690
ko:K02071	saud:CH52_01695
ko:K07476	saud:CH52_01705
ko:K02437	saud:CH52_01720
ko:K03785	saud:CH52_01740
ko:K06895	saud:CH52_01755
ko:K03704	saud:CH52_01795
ko:K03664	saud:CH52_01850
ko:K12573	saud:CH52_01855
ko:K03928	saud:CH52_01860
ko:K03075	saud:CH52_01865
ko:K01689	saud:CH52_01875
ko:K15633	saud:CH52_01880
ko:K01803	saud:CH52_01885
ko:K00927	saud:CH52_01890
ko:K00134	saud:CH52_01895
ko:K05311	saud:CH52_01900
ko:K07071	saud:CH52_01910
ko:K03885	saud:CH52_01170
ko:K13628	saud:CH52_01175
ko:K03885	saud:CH52_01185
ko:K03740	saud:CH52_01200
ko:K14188	saud:CH52_01205
ko:K03739	saud:CH52_01210
ko:K03367	saud:CH52_01215
ko:K03644	saud:CH52_01255
ko:K07090	saud:CH52_01265
ko:K00459	saud:CH52_01275
ko:K09762	saud:CH52_01925
ko:K00384	saud:CH52_01945
ko:K13292	saud:CH52_01960
ko:K06023	saud:CH52_01965
ko:K03701	saud:CH52_01970
ko:K03702	saud:CH52_01975
ko:K07023	saud:CH52_01985
ko:K01358	saud:CH52_01915
ko:K08976	saud:CH52_00300
ko:K02259	saud:CH52_00310
ko:K01958	saud:CH52_00315
ko:K03588	saud:CH52_00320
ko:K06207	saud:CH52_00340
ko:K01092	saud:CH52_00350
ko:K02836	saud:CH52_01995
ko:K00865	saud:CH52_02060
ko:K03070	saud:CH52_02005
ko:K02851	saud:CH52_02035
ko:K02242	saud:CH52_02015
ko:K02240	saud:CH52_02020
ko:K01258	saud:CH52_02055
ko:K00075	saud:CH52_02080
ko:K02016	saud:CH52_02090
ko:K02013	saud:CH52_02095
ko:K02015	saud:CH52_02100
ko:K02015	saud:CH52_02105
ko:K03647	saud:CH52_02120
ko:K09457	saud:CH52_02130
ko:K02619	saud:CH52_02190
ko:K00817	saud:CH52_02150
ko:K01665	saud:CH52_02195
ko:K05845	saud:CH52_02155
ko:K05846	saud:CH52_02155
ko:K06920	saud:CH52_02205
ko:K05847	saud:CH52_02160
ko:K03654	saud:CH52_02165
ko:K01664	saud:CH52_02200
ko:K15738	saud:CH52_02170
ko:K03305	saud:CH52_02135
ko:K18941	saud:CH52_11990
ko:K01737	saud:CH52_02210
ko:K18908	saud:CH52_04055
ko:K04940	saud:CH52_07465
ko:K18907	saud:CH52_05180
ko:K14201	saud:CH52_01820
ko:K03892	saud:CH52_10250
ko:K07029	saud:CH52_09435
ko:K09145	saud:CH52_02410
ko:K02315	saud:CH52_08995
ko:K01271	saud:CH52_10565
ko:K03498	saud:CH52_08860
ko:K07483	saud:CH52_03750
ko:K03502	saud:CH52_12245
ko:K03169	saud:CH52_07685
ko:K03111	saud:CH52_03895
ko:K03111	saud:CH52_08475
ko:K03497	saud:CH52_03925
ko:K11040	saud:CH52_00090
ko:K11040	saud:CH52_00095
ko:K11040	saud:CH52_09970
ko:K11040	saud:CH52_09975
ko:K11040	saud:CH52_09980
ko:K11040	saud:CH52_09985
ko:K11040	saud:CH52_09990
ko:K11040	saud:CH52_09995
ko:K11040	saud:CH52_10000
ko:K03497	saud:CH52_05475
ko:K11040	saud:CH52_11055
ko:K18979	saud:CH52_09800
ko:K00949	saud:CH52_12970
ko:K01318	saud:CH52_10085
ko:K01318	saud:CH52_00640
ko:K13052	saud:CH52_03300
ko:K07816	saud:CH52_06455
ko:K13733	saud:CH52_06490
ko:K03429	saud:CH52_00800
ko:K02755	saud:CH52_04400
ko:K03293	saud:CH52_07390
ko:K19077	saud:CH52_02465
ko:K01174	saud:CH52_12445
ko:K14202	saud:CH52_09210
ko:K14203	saud:CH52_13325
ko:K01980	saud:CH52_08125
ko:K01980	saud:CH52_03175
ko:K11039	saud:CH52_08825
ko:K19078	saud:CH52_02470
ko:K19158	saud:CH52_06950
ko:K19225	saud:CH52_11325
ko:K02777	saud:CH52_11955
ko:K01239	saud:CH52_07550
ko:K14198	saud:CH52_01315
ko:K19068	saud:CH52_04955
ko:K19081	saud:CH52_05890
ko:K19082	saud:CH52_05885
ko:K19083	saud:CH52_05895
ko:K19084	saud:CH52_05900
ko:K01980	saud:CH52_09640
ko:K01985	saud:CH52_03170
ko:K01985	saud:CH52_08130
ko:K01985	saud:CH52_08675
ko:K01985	saud:CH52_03435
ko:K01985	saud:CH52_09645
ko:K01985	saud:CH52_03185
ko:K01985	saud:CH52_03245
ko:K08259	saud:CH52_04340
ko:K19159	saud:CH52_06945
ko:K02031	saud:CH52_00920
ko:K02032	saud:CH52_12170
ko:K14195	saud:CH52_06510
ko:K07485	saud:CH52_01245
ko:K19285	saud:CH52_03805
ko:K01992	saud:CH52_06425
ko:K03722	saud:CH52_11795
ko:K19411	saud:CH52_03140
ko:K02031	saud:CH52_12165
ko:K01046	saud:CH52_04125
ko:K19302	saud:CH52_11980
ko:K19405	saud:CH52_03135
ko:K07485	saud:CH52_02000
ko:K07485	saud:CH52_02610
ko:K07485	saud:CH52_02720
ko:K07485	saud:CH52_08555
ko:K07485	saud:CH52_09780
ko:K07485	saud:CH52_13290
ko:K03574	saud:CH52_10155
ko:K19576	saud:CH52_02290
ko:K01906	saud:CH52_06865
ko:K06881	saud:CH52_10590
ko:K03483	saud:CH52_08200
ko:K21721	saud:CH52_05135
ko:K14222	saud:CH52_09760
ko:K19689	saud:CH52_09530
ko:K14236	saud:CH52_08150
ko:K14236	saud:CH52_09740
ko:K01258	saud:CH52_11515
ko:K14219	saud:CH52_13225
ko:K07119	saud:CH52_08010
ko:K00547	saud:CH52_03940
ko:K00297	saud:CH52_03940
ko:K02538	saud:CH52_05805
ko:K21636	saud:CH52_05925
ko:K19976	saud:CH52_02600
ko:K20074	saud:CH52_12990
ko:K12132	saud:CH52_12985
ko:K20116	saud:CH52_04775
ko:K20117	saud:CH52_04775
ko:K20118	saud:CH52_04775
ko:K20116	saud:CH52_06310
ko:K20117	saud:CH52_06310
ko:K20118	saud:CH52_06310
ko:K20338	saud:CH52_10295
ko:K14218	saud:CH52_03205
ko:K14218	saud:CH52_09635
ko:K14218	saud:CH52_09690
ko:K14229	saud:CH52_09660
ko:K14229	saud:CH52_08160
ko:K14229	saud:CH52_03230
ko:K14237	saud:CH52_03240
ko:K14237	saud:CH52_09650
ko:K14237	saud:CH52_08145
ko:K20494	saud:CH52_10055
ko:K14233	saud:CH52_09715
ko:K14233	saud:CH52_03485
ko:K14233	saud:CH52_09705
ko:K14225	saud:CH52_08660
ko:K14225	saud:CH52_09950
ko:K14231	saud:CH52_09730
ko:K14231	saud:CH52_09940
ko:K14221	saud:CH52_09710
ko:K14221	saud:CH52_09725
ko:K14221	saud:CH52_09935
ko:K14221	saud:CH52_05355
ko:K14230	saud:CH52_09720
ko:K14230	saud:CH52_09930
ko:K14230	saud:CH52_09700
ko:K14228	saud:CH52_03220
ko:K14228	saud:CH52_09675
ko:K14230	saud:CH52_09695
ko:K14227	saud:CH52_03195
ko:K14227	saud:CH52_09630
ko:K20534	saud:CH52_02245
ko:K02790	saud:CH52_04515
ko:K02791	saud:CH52_04515
ko:K21029	saud:CH52_07585
ko:K14224	saud:CH52_05360
ko:K14224	saud:CH52_08140
ko:K14224	saud:CH52_09960
ko:K21030	saud:CH52_04470
ko:K00525	saud:CH52_02115
ko:K14233	saud:CH52_09965
ko:K14219	saud:CH52_01920
ko:K14219	saud:CH52_03215
ko:K14219	saud:CH52_09680
ko:K14232	saud:CH52_03210
ko:K14232	saud:CH52_09685
ko:K14225	saud:CH52_03225
ko:K14225	saud:CH52_09670
ko:K14228	saud:CH52_09665
ko:K14235	saud:CH52_09745
ko:K14226	saud:CH52_09750
ko:K14226	saud:CH52_09945
ko:K14225	saud:CH52_09765
ko:K14223	saud:CH52_08155
ko:K14223	saud:CH52_09755
ko:K21030	saud:CH52_04450
ko:K14233	saud:CH52_00760
ko:K14228	saud:CH52_08655
ko:K08968	saud:CH52_10515
ko:K14220	saud:CH52_00755
ko:K14220	saud:CH52_08135
ko:K14220	saud:CH52_09955
ko:K01980	saud:CH52_03190
ko:K01980	saud:CH52_03440
ko:K01980	saud:CH52_08670
ko:K14228	saud:CH52_09775
ko:K00435	saud:CH52_02825
ko:K00526	saud:CH52_02110
ko:K00632	saud:CH52_04570
ko:K06909	saud:CH52_01470
ko:K07474	saud:CH52_01475
ko:K01174	saud:CH52_01800
ko:K11038	saud:CH52_06875
ko:K11038	saud:CH52_06880
ko:K11038	saud:CH52_06885
ko:K00560	saud:CH52_11930
ko:K00287	saud:CH52_11935
ko:K03546	saud:CH52_12330
ko:K03553	saud:CH52_12660
ko:K00857	saud:CH52_08365
ko:K14199	saud:CH52_13310
ko:K11038	saud:CH52_08870
ko:K11038	saud:CH52_08875
ko:K06904	saud:CH52_09110
ko:K14199	saud:CH52_04580
ko:K14198	saud:CH52_09200
ko:K14199	saud:CH52_09215
ko:K11038	saud:CH52_10030
ko:K11038	saud:CH52_10035
ko:K02314	saud:CH52_05370
ko:K04068	saud:CH52_05930
ko:K01493	saud:CH52_11120
ko:K06217	saud:CH52_11210
ko:K02316	saud:CH52_11255
ko:K06958	saud:CH52_01935
ko:K05020	saud:CH52_08020
ko:K02335	saud:CH52_10655
ko:K00108	saud:CH52_05950
ko:K21285	saud:CH52_02565
ko:K02032	saud:CH52_00915
ko:K13714	saud:CH52_00620
ko:K03296	saud:CH52_07655
ko:K00980	saud:CH52_02555
ko:K22044	saud:CH52_03920
ko:K21478	saud:CH52_05665
ko:K21453	saud:CH52_05680
ko:K21567	saud:CH52_07115
ko:K18704	saud:CH52_04460
ko:K21591	saud:CH52_04455
ko:K21600	saud:CH52_08520
ko:K18704	saud:CH52_04440
ko:K21828	saud:CH52_05850
ko:K21949	saud:CH52_05140
ko:K22043	saud:CH52_08235
ko:K22136	saud:CH52_13200
ko:K00754	saud:CH52_11780
ko:K22135	saud:CH52_02920
ko:K03595	saud:CH52_11230
ko:K22132	saud:CH52_10920
ko:K22109	saud:CH52_05940
ko:K03547	saud:CH52_09860
ko:K17758	saud:CH52_05415
ko:K02257	saud:CH52_00305
ko:K22409	saud:CH52_03530
ko:K13566	saud:CH52_08830
ko:K22441	saud:CH52_07130
