ko:K18917	coi:CpCIP5297_0642
ko:K00077	coi:CpCIP5297_0769
ko:K06207	coi:CpCIP5297_0783
ko:K06966	coi:CpCIP5297_0796
ko:K00796	coi:CpCIP5297_0797
ko:K00563	coi:CpCIP5297_0801
ko:K01193	coi:CpCIP5297_0802
ko:K01575	coi:CpCIP5297_0803
ko:K00975	coi:CpCIP5297_0805
ko:K03088	coi:CpCIP5297_0807
ko:K03117	coi:CpCIP5297_0810
ko:K03596	coi:CpCIP5297_1578
ko:K02968	coi:CpCIP5297_1580
ko:K02340	coi:CpCIP5297_1583
ko:K02237	coi:CpCIP5297_1585
ko:K09710	coi:CpCIP5297_1589
ko:K00969	coi:CpCIP5297_1590
ko:K00147	coi:CpCIP5297_1591
ko:K09790	coi:CpCIP5297_1593
ko:K07085	coi:CpCIP5297_1594
ko:K03979	coi:CpCIP5297_1596
ko:K02899	coi:CpCIP5297_1597
ko:K02888	coi:CpCIP5297_1598
ko:K00940	coi:CpCIP5297_1602
ko:K11754	coi:CpCIP5297_1605
ko:K01873	coi:CpCIP5297_1606
ko:K14232	coi:CpCIP5297_t24
ko:K18955	coi:CpCIP5297_0517
ko:K07089	coi:CpCIP5297_0335
ko:K04069	coi:CpCIP5297_0336
ko:K02950	coi:CpCIP5297_0339
ko:K02992	coi:CpCIP5297_0340
ko:K02355	coi:CpCIP5297_0341
ko:K02358	coi:CpCIP5297_0342
ko:K02946	coi:CpCIP5297_0351
ko:K02906	coi:CpCIP5297_0352
ko:K02926	coi:CpCIP5297_0353
ko:K02892	coi:CpCIP5297_0354
ko:K02886	coi:CpCIP5297_0355
ko:K02965	coi:CpCIP5297_0356
ko:K02890	coi:CpCIP5297_0357
ko:K02982	coi:CpCIP5297_0358
ko:K02904	coi:CpCIP5297_0360
ko:K02961	coi:CpCIP5297_0361
ko:K02034	coi:CpCIP5297_0364
ko:K02874	coi:CpCIP5297_0368
ko:K02895	coi:CpCIP5297_0369
ko:K02931	coi:CpCIP5297_0370
ko:K03837	coi:CpCIP5297_0371
ko:K01752	coi:CpCIP5297_0372
ko:K03750	coi:CpCIP5297_0378
ko:K03639	coi:CpCIP5297_0379
ko:K02994	coi:CpCIP5297_0381
ko:K02933	coi:CpCIP5297_0382
ko:K02881	coi:CpCIP5297_0383
ko:K02988	coi:CpCIP5297_0384
ko:K02907	coi:CpCIP5297_0385
ko:K02876	coi:CpCIP5297_0386
ko:K01421	coi:CpCIP5297_1173
ko:K01752	coi:CpCIP5297_1177
ko:K01892	coi:CpCIP5297_1182
ko:K11065	coi:CpCIP5297_1184
ko:K00759	coi:CpCIP5297_1188
ko:K03074	coi:CpCIP5297_1190
ko:K03072	coi:CpCIP5297_1191
ko:K03210	coi:CpCIP5297_1192
ko:K03551	coi:CpCIP5297_1193
ko:K03550	coi:CpCIP5297_1194
ko:K01159	coi:CpCIP5297_1195
ko:K10805	coi:CpCIP5297_1198
ko:K00995	coi:CpCIP5297_1205
ko:K01868	coi:CpCIP5297_1207
ko:K07156	coi:CpCIP5297_1210
ko:K03684	coi:CpCIP5297_1217
ko:K01126	coi:CpCIP5297_1993
ko:K02445	coi:CpCIP5297_1994
ko:K02013	coi:CpCIP5297_1996
ko:K02015	coi:CpCIP5297_1997
ko:K02016	coi:CpCIP5297_1998
ko:K01875	coi:CpCIP5297_2002
ko:K03710	coi:CpCIP5297_2003
ko:K03310	coi:CpCIP5297_2013
ko:K01126	coi:CpCIP5297_2016
ko:K04564	coi:CpCIP5297_2022
ko:K08224	coi:CpCIP5297_2025
ko:K01840	coi:CpCIP5297_0174
ko:K01840	coi:CpCIP5297_0483
ko:K06196	coi:CpCIP5297_0291
ko:K03326	coi:CpCIP5297_0303
ko:K02549	coi:CpCIP5297_0304
ko:K12583	coi:CpCIP5297_0307
ko:K00016	coi:CpCIP5297_0309
ko:K00805	coi:CpCIP5297_0311
ko:K09762	coi:CpCIP5297_1126
ko:K07177	coi:CpCIP5297_0562
ko:K09118	coi:CpCIP5297_0565
ko:K00368	coi:CpCIP5297_0569
ko:K12942	coi:CpCIP5297_0587
ko:K10843	coi:CpCIP5297_0600
ko:K01496	coi:CpCIP5297_1374
ko:K01092	coi:CpCIP5297_1376
ko:K01814	coi:CpCIP5297_1377
ko:K01817	coi:CpCIP5297_1377
ko:K02342	coi:CpCIP5297_1390
ko:K07120	coi:CpCIP5297_0089
ko:K03475	coi:CpCIP5297_0093
ko:K07386	coi:CpCIP5297_0106
ko:K11387	coi:CpCIP5297_0110
ko:K13686	coi:CpCIP5297_0111
ko:K11707	coi:CpCIP5297_0120
ko:K11710	coi:CpCIP5297_0121
ko:K11708	coi:CpCIP5297_0122
ko:K11709	coi:CpCIP5297_0123
ko:K11707	coi:CpCIP5297_0124
ko:K02342	coi:CpCIP5297_0918
ko:K01885	coi:CpCIP5297_0922
ko:K03932	coi:CpCIP5297_0923
ko:K07030	coi:CpCIP5297_0937
ko:K08974	coi:CpCIP5297_0947
ko:K02755	coi:CpCIP5297_0953
ko:K02756	coi:CpCIP5297_0953
ko:K02757	coi:CpCIP5297_0953
ko:K16013	coi:CpCIP5297_1722
ko:K16012	coi:CpCIP5297_1723
ko:K15520	coi:CpCIP5297_1732
ko:K03647	coi:CpCIP5297_1742
ko:K03499	coi:CpCIP5297_1753
ko:K08167	coi:CpCIP5297_1760
ko:K03593	coi:CpCIP5297_0811
ko:K01616	coi:CpCIP5297_0815
ko:K03929	coi:CpCIP5297_0819
ko:K03307	coi:CpCIP5297_0824
ko:K02056	coi:CpCIP5297_0018
ko:K04750	coi:CpCIP5297_0829
ko:K00666	coi:CpCIP5297_0853
ko:K02351	coi:CpCIP5297_1640
ko:K07245	coi:CpCIP5297_1640
ko:K02428	coi:CpCIP5297_1667
ko:K01834	coi:CpCIP5297_0264
ko:K00939	coi:CpCIP5297_0396
ko:K14743	coi:CpCIP5297_0409
ko:K01409	coi:CpCIP5297_0429
ko:K00088	coi:CpCIP5297_0437
ko:K00088	coi:CpCIP5297_0438
ko:K01092	coi:CpCIP5297_1225
ko:K03087	coi:CpCIP5297_1234
ko:K03709	coi:CpCIP5297_1235
ko:K01784	coi:CpCIP5297_1236
ko:K03386	coi:CpCIP5297_1242
ko:K03436	coi:CpCIP5297_1249
ko:K08483	coi:CpCIP5297_1250
ko:K00882	coi:CpCIP5297_1252
ko:K11189	coi:CpCIP5297_1255
ko:K06177	coi:CpCIP5297_2044
ko:K02004	coi:CpCIP5297_2082
ko:K01962	coi:CpCIP5297_0618
ko:K01963	coi:CpCIP5297_0618
ko:K01692	coi:CpCIP5297_0622
ko:K02035	coi:CpCIP5297_0634
ko:K02033	coi:CpCIP5297_0635
ko:K02228	coi:CpCIP5297_0641
ko:K01082	coi:CpCIP5297_0645
ko:K03649	coi:CpCIP5297_0647
ko:K05522	coi:CpCIP5297_0648
ko:K00135	coi:CpCIP5297_0651
ko:K04093	coi:CpCIP5297_0652
ko:K13787	coi:CpCIP5297_1434
ko:K00845	coi:CpCIP5297_1442
ko:K13668	coi:CpCIP5297_1443
ko:K03891	coi:CpCIP5297_1448
ko:K03890	coi:CpCIP5297_1449
ko:K03889	coi:CpCIP5297_1450
ko:K01840	coi:CpCIP5297_0520
ko:K04517	coi:CpCIP5297_0141
ko:K06994	coi:CpCIP5297_0144
ko:K01885	coi:CpCIP5297_0146
ko:K02031	coi:CpCIP5297_1931
ko:K02034	coi:CpCIP5297_1931
ko:K02033	coi:CpCIP5297_1932
ko:K00135	coi:CpCIP5297_1960
ko:K01596	coi:CpCIP5297_1970
ko:K06860	coi:CpCIP5297_1973
ko:K12437	coi:CpCIP5297_1980
ko:K09146	coi:CpCIP5297_0781
ko:K15525	coi:CpCIP5297_0785
ko:K00674	coi:CpCIP5297_0792
ko:K00674	coi:CpCIP5297_0794
ko:K01439	coi:CpCIP5297_0795
ko:K13693	coi:CpCIP5297_0798
ko:K02238	coi:CpCIP5297_1584
ko:K00851	coi:CpCIP5297_0149
ko:K00046	coi:CpCIP5297_0151
ko:K03299	coi:CpCIP5297_0158
ko:K07009	coi:CpCIP5297_0165
ko:K02342	coi:CpCIP5297_0167
ko:K03784	coi:CpCIP5297_0171
ko:K01619	coi:CpCIP5297_0173
ko:K01515	coi:CpCIP5297_0988
ko:K04763	coi:CpCIP5297_0989
ko:K07792	coi:CpCIP5297_1000
ko:K06889	coi:CpCIP5297_1011
ko:K07397	coi:CpCIP5297_1011
ko:K03932	coi:CpCIP5297_1774
ko:K01507	coi:CpCIP5297_1815
ko:K03299	coi:CpCIP5297_0147
ko:K02077	coi:CpCIP5297_0452
ko:K03709	coi:CpCIP5297_0456
ko:K07258	coi:CpCIP5297_0476
ko:K01488	coi:CpCIP5297_0477
ko:K01958	coi:CpCIP5297_0486
ko:K11263	coi:CpCIP5297_0489
ko:K01011	coi:CpCIP5297_0490
ko:K00852	coi:CpCIP5297_0496
ko:K03743	coi:CpCIP5297_1277
ko:K05794	coi:CpCIP5297_1281
ko:K03177	coi:CpCIP5297_1294
ko:K00567	coi:CpCIP5297_1310
ko:K03404	coi:CpCIP5297_1314
ko:K02564	coi:CpCIP5297_2088
ko:K01788	coi:CpCIP5297_2090
ko:K00845	coi:CpCIP5297_2091
ko:K02035	coi:CpCIP5297_2093
ko:K02033	coi:CpCIP5297_2094
ko:K02031	coi:CpCIP5297_2095
ko:K02034	coi:CpCIP5297_2095
ko:K07052	coi:CpCIP5297_2099
ko:K00970	coi:CpCIP5297_2123
ko:K07052	coi:CpCIP5297_0042
ko:K07503	coi:CpCIP5297_0869
ko:K00700	coi:CpCIP5297_0874
ko:K02342	coi:CpCIP5297_0885
ko:K02433	coi:CpCIP5297_0889
ko:K00058	coi:CpCIP5297_0915
ko:K02274	coi:CpCIP5297_1686
ko:K03647	coi:CpCIP5297_1692
ko:K01916	coi:CpCIP5297_1695
ko:K01835	coi:CpCIP5297_1705
ko:K02004	coi:CpCIP5297_1708
ko:K07657	coi:CpCIP5297_0194
ko:K05570	coi:CpCIP5297_0197
ko:K05568	coi:CpCIP5297_0199
ko:K05565	coi:CpCIP5297_0201
ko:K06877	coi:CpCIP5297_0229
ko:K00033	coi:CpCIP5297_1022
ko:K00721	coi:CpCIP5297_1033
ko:K13540	coi:CpCIP5297_1039
ko:K00595	coi:CpCIP5297_1042
ko:K03727	coi:CpCIP5297_1045
ko:K13573	coi:CpCIP5297_1048
ko:K13571	coi:CpCIP5297_1050
ko:K13570	coi:CpCIP5297_1051
ko:K13527	coi:CpCIP5297_1053
ko:K07442	coi:CpCIP5297_1054
ko:K01523	coi:CpCIP5297_1064
ko:K00548	coi:CpCIP5297_1066
ko:K15526	coi:CpCIP5297_1068
ko:K05565	coi:CpCIP5297_1832
ko:K05568	coi:CpCIP5297_1834
ko:K05570	coi:CpCIP5297_1836
ko:K03574	coi:CpCIP5297_1848
ko:K14949	coi:CpCIP5297_1851
ko:K02348	coi:CpCIP5297_1855
ko:K01966	coi:CpCIP5297_0499
ko:K01966	coi:CpCIP5297_0500
ko:K02025	coi:CpCIP5297_0508
ko:K07670	coi:CpCIP5297_0529
ko:K07654	coi:CpCIP5297_0530
ko:K00508	coi:CpCIP5297_0539
ko:K10563	coi:CpCIP5297_1357
ko:K01259	coi:CpCIP5297_0711
ko:K09009	coi:CpCIP5297_0732
ko:K12503	coi:CpCIP5297_0741
ko:K00867	coi:CpCIP5297_0743
ko:K01679	coi:CpCIP5297_0753
ko:K02446	coi:CpCIP5297_0754
ko:K03711	coi:CpCIP5297_1530
ko:K01823	coi:CpCIP5297_1551
ko:K02035	coi:CpCIP5297_1562
ko:K02033	coi:CpCIP5297_1563
ko:K02035	coi:CpCIP5297_1574
ko:K01977	coi:CpCIP5297_r01
ko:K01977	coi:CpCIP5297_r12
ko:K01977	coi:CpCIP5297_r09
ko:K01977	coi:CpCIP5297_r04
ko:K07669	coi:CpCIP5297_0671
ko:K07653	coi:CpCIP5297_0672
ko:K08372	coi:CpCIP5297_0673
ko:K01934	coi:CpCIP5297_0678
ko:K07035	coi:CpCIP5297_1481
ko:K00088	coi:CpCIP5297_1482
ko:K01104	coi:CpCIP5297_1504
ko:K02566	coi:CpCIP5297_1512
ko:K01322	coi:CpCIP5297_0243
ko:K00241	coi:CpCIP5297_0248
ko:K15521	coi:CpCIP5297_0263
ko:K07768	coi:CpCIP5297_0265
ko:K07776	coi:CpCIP5297_0266
ko:K06910	coi:CpCIP5297_1075
ko:K07588	coi:CpCIP5297_1082
ko:K01847	coi:CpCIP5297_1083
ko:K01847	coi:CpCIP5297_1084
ko:K04488	coi:CpCIP5297_1105
ko:K14339	coi:CpCIP5297_1111
ko:K00616	coi:CpCIP5297_1117
ko:K10947	coi:CpCIP5297_1879
ko:K01011	coi:CpCIP5297_1886
ko:K02004	coi:CpCIP5297_1911
ko:K02005	coi:CpCIP5297_1913
ko:K13953	coi:CpCIP5297_1918
ko:K13640	coi:CpCIP5297_1922
ko:K02035	coi:CpCIP5297_0362
ko:K02033	coi:CpCIP5297_0365
ko:K02017	coi:CpCIP5297_0376
ko:K02018	coi:CpCIP5297_0376
ko:K03768	coi:CpCIP5297_1185
ko:K02035	coi:CpCIP5297_1189
ko:K08256	coi:CpCIP5297_1203
ko:K07305	coi:CpCIP5297_1214
ko:K12428	coi:CpCIP5297_1981
ko:K13687	coi:CpCIP5297_1987
ko:K14136	coi:CpCIP5297_1988
ko:K01854	coi:CpCIP5297_1995
ko:K04518	coi:CpCIP5297_2007
ko:K01489	coi:CpCIP5297_2018
ko:K00758	coi:CpCIP5297_2019
ko:K00016	coi:CpCIP5297_2020
ko:K07304	coi:CpCIP5297_2021
ko:K13671	coi:CpCIP5297_2029
ko:K14222	coi:CpCIP5297_t28
ko:K16264	coi:CpCIP5297_0912
ko:K15772	coi:CpCIP5297_0390
ko:K16653	coi:CpCIP5297_0113
ko:K15770	coi:CpCIP5297_0388
ko:K15771	coi:CpCIP5297_0389
ko:K16783	coi:CpCIP5297_1274
ko:K02484	coi:CpCIP5297_1758
ko:K01985	coi:CpCIP5297_r03
ko:K01985	coi:CpCIP5297_r06
ko:K01985	coi:CpCIP5297_r07
ko:K01985	coi:CpCIP5297_r10
ko:K16784	coi:CpCIP5297_1273
ko:K16652	coi:CpCIP5297_0112
ko:K16647	coi:CpCIP5297_1213
ko:K16650	coi:CpCIP5297_1990
ko:K16649	coi:CpCIP5297_0119
ko:K02851	coi:CpCIP5297_0858
ko:K16648	coi:CpCIP5297_1964
ko:K02030	coi:CpCIP5297_0946
ko:K02030	coi:CpCIP5297_1850
ko:K11991	coi:CpCIP5297_0143
ko:K01906	coi:CpCIP5297_1200
ko:K02031	coi:CpCIP5297_0778
ko:K02032	coi:CpCIP5297_0778
ko:K14219	coi:CpCIP5297_t16
ko:K14225	coi:CpCIP5297_t47
ko:K14228	coi:CpCIP5297_t39
ko:K14233	coi:CpCIP5297_t10
ko:K14219	coi:CpCIP5297_t19
ko:K14228	coi:CpCIP5297_t23
ko:K14228	coi:CpCIP5297_t25
ko:K14224	coi:CpCIP5297_t21
ko:K14224	coi:CpCIP5297_t22
ko:K14231	coi:CpCIP5297_t41
ko:K14219	coi:CpCIP5297_t07
ko:K14219	coi:CpCIP5297_t08
ko:K14237	coi:CpCIP5297_t29
ko:K14237	coi:CpCIP5297_t31
ko:K14220	coi:CpCIP5297_t33
ko:K14218	coi:CpCIP5297_t40
ko:K02768	coi:CpCIP5297_1343
ko:K02769	coi:CpCIP5297_1343
ko:K02770	coi:CpCIP5297_1343
ko:K14234	coi:CpCIP5297_t13
ko:K14225	coi:CpCIP5297_t35
ko:K08316	coi:CpCIP5297_0940
ko:K14225	coi:CpCIP5297_t27
ko:K14225	coi:CpCIP5297_t30
ko:K00108	coi:CpCIP5297_1802
ko:K16870	coi:CpCIP5297_0513
ko:K02303	coi:CpCIP5297_1307
ko:K16925	coi:CpCIP5297_0770
ko:K16785	coi:CpCIP5297_0772
ko:K14227	coi:CpCIP5297_t01
ko:K14228	coi:CpCIP5297_t04
ko:K14233	coi:CpCIP5297_t06
ko:K14234	coi:CpCIP5297_t11
ko:K14236	coi:CpCIP5297_t12
ko:K14223	coi:CpCIP5297_t17
ko:K14223	coi:CpCIP5297_t20
ko:K14224	coi:CpCIP5297_t44
ko:K14229	coi:CpCIP5297_t38
ko:K14229	coi:CpCIP5297_t45
ko:K14237	coi:CpCIP5297_t26
ko:K14221	coi:CpCIP5297_t43
ko:K14221	coi:CpCIP5297_t42
ko:K14218	coi:CpCIP5297_t02
ko:K14218	coi:CpCIP5297_t03
ko:K14233	coi:CpCIP5297_t09
ko:K14219	coi:CpCIP5297_t36
ko:K14230	coi:CpCIP5297_t14
ko:K14230	coi:CpCIP5297_t32
ko:K14233	coi:CpCIP5297_t05
ko:K14234	coi:CpCIP5297_t46
ko:K01980	coi:CpCIP5297_r08
ko:K01980	coi:CpCIP5297_r02
ko:K01980	coi:CpCIP5297_r05
ko:K01980	coi:CpCIP5297_r11
ko:K15582	coi:CpCIP5297_0777
ko:K15581	coi:CpCIP5297_0776
ko:K01990	coi:CpCIP5297_1894
ko:K01992	coi:CpCIP5297_1895
ko:K01992	coi:CpCIP5297_1875
ko:K01990	coi:CpCIP5297_1876
ko:K00951	coi:CpCIP5297_1187
ko:K01897	coi:CpCIP5297_0262
ko:K15580	coi:CpCIP5297_0775
ko:K10112	coi:CpCIP5297_0394
ko:K03416	coi:CpCIP5297_0578
ko:K17489	coi:CpCIP5297_0579
ko:K01990	coi:CpCIP5297_0332
ko:K01990	coi:CpCIP5297_1112
ko:K01990	coi:CpCIP5297_1639
ko:K14226	coi:CpCIP5297_t37
ko:K14228	coi:CpCIP5297_t18
ko:K17490	coi:CpCIP5297_0581
ko:K17489	coi:CpCIP5297_0580
ko:K17686	coi:CpCIP5297_2052
ko:K03671	coi:CpCIP5297_2050
ko:K02010	coi:CpCIP5297_0190
ko:K03767	coi:CpCIP5297_0020
ko:K00537	coi:CpCIP5297_0780
ko:K19745	coi:CpCIP5297_1645
ko:K02026	coi:CpCIP5297_0507
ko:K14337	coi:CpCIP5297_1435
ko:K07284	coi:CpCIP5297_1891
ko:K01658	coi:CpCIP5297_2112
ko:K11928	coi:CpCIP5297_0832
ko:K12574	coi:CpCIP5297_1286
ko:K01267	coi:CpCIP5297_1055
ko:K02027	coi:CpCIP5297_0510
ko:K17883	coi:CpCIP5297_1317
ko:K02031	coi:CpCIP5297_0637
ko:K02032	coi:CpCIP5297_0637
ko:K02031	coi:CpCIP5297_1565
ko:K02032	coi:CpCIP5297_1565
ko:K02031	coi:CpCIP5297_0363
ko:K02032	coi:CpCIP5297_0363
ko:K02058	coi:CpCIP5297_0016
ko:K00130	coi:CpCIP5297_1800
ko:K21480	coi:CpCIP5297_1491
ko:K18118	coi:CpCIP5297_1724
ko:K21687	coi:CpCIP5297_0603
ko:K21688	coi:CpCIP5297_0696
ko:K07052	coi:CpCIP5297_1795
ko:K01619	coi:CpCIP5297_0254
ko:K01372	coi:CpCIP5297_0316
ko:K01424	coi:CpCIP5297_0374
ko:K00371	coi:CpCIP5297_0377
ko:K00299	coi:CpCIP5297_1176
ko:K13671	coi:CpCIP5297_1985
ko:K00652	coi:CpCIP5297_1201
ko:K00138	coi:CpCIP5297_1919
ko:K02483	coi:CpCIP5297_1759
ko:K16237	coi:CpCIP5297_0793
ko:K16237	coi:CpCIP5297_0791
ko:K18455	coi:CpCIP5297_0739
ko:K03574	coi:CpCIP5297_0930
ko:K01990	coi:CpCIP5297_0126
ko:K01992	coi:CpCIP5297_0127
ko:K02032	coi:CpCIP5297_1930
ko:K02032	coi:CpCIP5297_2096
ko:K18955	coi:CpCIP5297_0208
ko:K18955	coi:CpCIP5297_0546
ko:K06147	coi:CpCIP5297_0816
ko:K18929	coi:CpCIP5297_0844
ko:K18928	coi:CpCIP5297_0845
ko:K03111	coi:CpCIP5297_2059
ko:K03497	coi:CpCIP5297_2133
ko:K03496	coi:CpCIP5297_2134
ko:K04565	coi:CpCIP5297_0619
ko:K03111	coi:CpCIP5297_1629
ko:K03496	coi:CpCIP5297_0990
ko:K03976	coi:CpCIP5297_0543
ko:K03526	coi:CpCIP5297_1322
ko:K19125	coi:CpCIP5297_0027
ko:K00067	coi:CpCIP5297_0240
ko:K01790	coi:CpCIP5297_0240
ko:K10563	coi:CpCIP5297_2073
ko:K19221	coi:CpCIP5297_1312
ko:K00798	coi:CpCIP5297_1712
ko:K01710	coi:CpCIP5297_0241
ko:K00525	coi:CpCIP5297_1691
ko:K01239	coi:CpCIP5297_1793
ko:K01239	coi:CpCIP5297_1292
ko:K19302	coi:CpCIP5297_0125
ko:K00020	coi:CpCIP5297_0159
ko:K19265	coi:CpCIP5297_0900
ko:K01990	coi:CpCIP5297_1847
ko:K01785	coi:CpCIP5297_0823
ko:K03722	coi:CpCIP5297_1675
ko:K00526	coi:CpCIP5297_1688
ko:K01992	coi:CpCIP5297_1846
ko:K06867	coi:CpCIP5297_1543
ko:K06867	coi:CpCIP5297_1582
ko:K06881	coi:CpCIP5297_1298
ko:K19577	coi:CpCIP5297_0470
ko:K06221	coi:CpCIP5297_0621
ko:K19710	coi:CpCIP5297_1206
ko:K19784	coi:CpCIP5297_2023
ko:K02033	coi:CpCIP5297_1573
ko:K02034	coi:CpCIP5297_1573
ko:K07119	coi:CpCIP5297_1650
ko:K00666	coi:CpCIP5297_0237
ko:K09796	coi:CpCIP5297_1209
ko:K12132	coi:CpCIP5297_0035
ko:K12132	coi:CpCIP5297_1437
ko:K12132	coi:CpCIP5297_0036
ko:K20074	coi:CpCIP5297_0039
ko:K20468	coi:CpCIP5297_1975
ko:K01214	coi:CpCIP5297_1389
ko:K20814	coi:CpCIP5297_1052
ko:K21071	coi:CpCIP5297_0897
ko:K01768	coi:CpCIP5297_0234
ko:K00821	coi:CpCIP5297_0972
ko:K01520	coi:CpCIP5297_1222
ko:K02314	coi:CpCIP5297_2054
ko:K03553	coi:CpCIP5297_1270
ko:K03465	coi:CpCIP5297_1288
ko:K00287	coi:CpCIP5297_0643
ko:K00560	coi:CpCIP5297_0644
ko:K02316	coi:CpCIP5297_1518
ko:K06217	coi:CpCIP5297_1538
ko:K06191	coi:CpCIP5297_1693
ko:K07465	coi:CpCIP5297_1056
ko:K21636	coi:CpCIP5297_0337
ko:K02335	coi:CpCIP5297_0948
ko:K09820	coi:CpCIP5297_0324
ko:K01436	coi:CpCIP5297_0484
ko:K09819	coi:CpCIP5297_0325
ko:K22468	coi:CpCIP5297_0702
ko:K02075	coi:CpCIP5297_0455
ko:K02075	coi:CpCIP5297_0454
ko:K02074	coi:CpCIP5297_0453
ko:K00526	coi:CpCIP5297_1743
ko:K21481	coi:CpCIP5297_1652
ko:K21473	coi:CpCIP5297_1092
ko:K21471	coi:CpCIP5297_1444
ko:K05364	coi:CpCIP5297_0037
ko:K21401	coi:CpCIP5297_0310
ko:K21498	coi:CpCIP5297_1057
ko:K10914	coi:CpCIP5297_0212
ko:K21685	coi:CpCIP5297_1713
ko:K02803	coi:CpCIP5297_0133
ko:K02804	coi:CpCIP5297_0133
ko:K09951	coi:CpCIP5297_2141
ko:K15342	coi:CpCIP5297_2142
ko:K07012	coi:CpCIP5297_2143
ko:K19126	coi:CpCIP5297_2144
ko:K19124	coi:CpCIP5297_2147
ko:K02878	coi:CpCIP5297_2162
ko:K21147	coi:CpCIP5297_2163
ko:K03636	coi:CpCIP5297_2164
ko:K02020	coi:CpCIP5297_2165
ko:K00374	coi:CpCIP5297_2166
ko:K00373	coi:CpCIP5297_2167
ko:K00370	coi:CpCIP5297_2168
ko:K02575	coi:CpCIP5297_2169
ko:K02575	coi:CpCIP5297_2170
ko:K01265	coi:CpCIP5297_0397
ko:K01186	coi:CpCIP5297_0398
ko:K03637	coi:CpCIP5297_2173
ko:K21744	coi:CpCIP5297_0471
ko:K00966	coi:CpCIP5297_2175
ko:K01200	coi:CpCIP5297_0719
ko:K02428	coi:CpCIP5297_0728
ko:K07497	coi:CpCIP5297_2185
ko:K16786	coi:CpCIP5297_0771
ko:K16787	coi:CpCIP5297_0771
ko:K03628	coi:CpCIP5297_0854
ko:K00620	coi:CpCIP5297_0970
ko:K00254	coi:CpCIP5297_1072
ko:K01356	coi:CpCIP5297_1248
ko:K03436	coi:CpCIP5297_1251
ko:K00299	coi:CpCIP5297_2212
ko:K06941	coi:CpCIP5297_1326
ko:K01626	coi:CpCIP5297_1438
ko:K00655	coi:CpCIP5297_1441
ko:K00658	coi:CpCIP5297_1463
ko:K03427	coi:CpCIP5297_2224
ko:K03427	coi:CpCIP5297_2230
ko:K01897	coi:CpCIP5297_1544
ko:K01284	coi:CpCIP5297_1549
ko:K06147	coi:CpCIP5297_1555
ko:K14623	coi:CpCIP5297_2242
ko:K04095	coi:CpCIP5297_2250
ko:K00931	coi:CpCIP5297_1595
ko:K02038	coi:CpCIP5297_1729
ko:K02619	coi:CpCIP5297_1736
ko:K07284	coi:CpCIP5297_2274
ko:K03695	coi:CpCIP5297_1893
ko:K03312	coi:CpCIP5297_1899
ko:K07284	coi:CpCIP5297_1928
ko:K02035	coi:CpCIP5297_1933
ko:K20470	coi:CpCIP5297_1974
ko:K07784	coi:CpCIP5297_2027
ko:K08369	coi:CpCIP5297_2053
ko:K21962	coi:CpCIP5297_1095
ko:K22044	coi:CpCIP5297_0908
ko:K22044	coi:CpCIP5297_1623
ko:K14225	coi:CpCIP5297_t51
ko:K14230	coi:CpCIP5297_t49
ko:K03595	coi:CpCIP5297_1534
ko:K01046	coi:CpCIP5297_0078
ko:K17758	coi:CpCIP5297_2074
ko:K17759	coi:CpCIP5297_2074
ko:K22316	coi:CpCIP5297_1499
ko:K22306	coi:CpCIP5297_1587
ko:K02257	coi:CpCIP5297_1115
ko:K22311	coi:CpCIP5297_1204
ko:K11206	coi:CpCIP5297_1915
ko:K22476	coi:CpCIP5297_1843
ko:K00728	coi:CpCIP5297_0689
ko:K22468	coi:CpCIP5297_1823
ko:K08300	coi:CpCIP5297_1599
ko:K08301	coi:CpCIP5297_1599
ko:K07566	coi:CpCIP5297_0857
