ko:K19416	amag:I533_10320
ko:K02838	amag:I533_04575
ko:K00806	amag:I533_04580
ko:K00981	amag:I533_04585
ko:K00099	amag:I533_04590
ko:K11749	amag:I533_04595
ko:K07277	amag:I533_04600
ko:K06142	amag:I533_04605
ko:K02372	amag:I533_04610
ko:K00677	amag:I533_04615
ko:K00748	amag:I533_04620
ko:K03470	amag:I533_04625
ko:K02337	amag:I533_04630
ko:K01962	amag:I533_04635
ko:K04075	amag:I533_04640
ko:K03455	amag:I533_04650
ko:K11991	amag:I533_04660
ko:K01952	amag:I533_04675
ko:K12541	amag:I533_04725
ko:K12542	amag:I533_04730
ko:K09860	amag:I533_04755
ko:K02399	amag:I533_04760
ko:K02398	amag:I533_04765
ko:K02386	amag:I533_04770
ko:K03415	amag:I533_04775
ko:K00575	amag:I533_04780
ko:K02387	amag:I533_04785
ko:K02388	amag:I533_04790
ko:K02389	amag:I533_04795
ko:K02390	amag:I533_04800
ko:K02391	amag:I533_04805
ko:K02392	amag:I533_04810
ko:K02393	amag:I533_04815
ko:K02394	amag:I533_04820
ko:K02395	amag:I533_04825
ko:K02396	amag:I533_04830
ko:K02397	amag:I533_04835
ko:K01265	amag:I533_04555
ko:K02406	amag:I533_04850
ko:K02406	amag:I533_04855
ko:K06603	amag:I533_04860
ko:K02407	amag:I533_04865
ko:K02422	amag:I533_04870
ko:K00059	amag:I533_04885
ko:K15894	amag:I533_04925
ko:K02406	amag:I533_04935
ko:K10941	amag:I533_04940
ko:K10942	amag:I533_04945
ko:K10943	amag:I533_04950
ko:K02408	amag:I533_04955
ko:K02409	amag:I533_04960
ko:K02410	amag:I533_04965
ko:K02411	amag:I533_04970
ko:K02412	amag:I533_04975
ko:K02413	amag:I533_04980
ko:K02414	amag:I533_04985
ko:K02415	amag:I533_04990
ko:K02416	amag:I533_04995
ko:K02417	amag:I533_05000
ko:K02418	amag:I533_05005
ko:K02419	amag:I533_05010
ko:K02420	amag:I533_05015
ko:K02421	amag:I533_05020
ko:K02401	amag:I533_05025
ko:K02400	amag:I533_05030
ko:K02404	amag:I533_05035
ko:K04562	amag:I533_05040
ko:K02405	amag:I533_05045
ko:K03413	amag:I533_05050
ko:K03414	amag:I533_05055
ko:K03407	amag:I533_05060
ko:K03412	amag:I533_05065
ko:K03408	amag:I533_05075
ko:K03408	amag:I533_05080
ko:K00651	amag:I533_05090
ko:K00548	amag:I533_05100
ko:K09913	amag:I533_05110
ko:K03576	amag:I533_05120
ko:K04761	amag:I533_05125
ko:K01673	amag:I533_05130
ko:K03321	amag:I533_05135
ko:K02167	amag:I533_05145
ko:K07386	amag:I533_05150
ko:K09919	amag:I533_05155
ko:K03565	amag:I533_05160
ko:K01872	amag:I533_05165
ko:K03563	amag:I533_05170
ko:K01573	amag:I533_05180
ko:K01571	amag:I533_05185
ko:K01572	amag:I533_05190
ko:K03974	amag:I533_05220
ko:K03721	amag:I533_05225
ko:K16171	amag:I533_05230
ko:K05800	amag:I533_05240
ko:K00263	amag:I533_05245
ko:K00453	amag:I533_05260
ko:K00472	amag:I533_05275
ko:K03561	amag:I533_05305
ko:K03561	amag:I533_05310
ko:K03559	amag:I533_05315
ko:K03832	amag:I533_05320
ko:K06957	amag:I533_05330
ko:K03811	amag:I533_05350
ko:K02303	amag:I533_03205
ko:K03406	amag:I533_03215
ko:K15576	amag:I533_03220
ko:K15577	amag:I533_03225
ko:K15578	amag:I533_03230
ko:K07023	amag:I533_03240
ko:K03673	amag:I533_03245
ko:K16092	amag:I533_03250
ko:K03086	amag:I533_03335
ko:K09117	amag:I533_03345
ko:K02970	amag:I533_03350
ko:K01409	amag:I533_03355
ko:K08591	amag:I533_03365
ko:K01633	amag:I533_03370
ko:K00950	amag:I533_03375
ko:K06153	amag:I533_03380
ko:K02503	amag:I533_03385
ko:K05782	amag:I533_03400
ko:K03554	amag:I533_03410
ko:K07657	amag:I533_03420
ko:K07636	amag:I533_03425
ko:K02040	amag:I533_03430
ko:K03561	amag:I533_03450
ko:K03561	amag:I533_03455
ko:K03559	amag:I533_03460
ko:K03832	amag:I533_03465
ko:K00372	amag:I533_03200
ko:K05808	amag:I533_03725
ko:K03092	amag:I533_03730
ko:K06861	amag:I533_03735
ko:K09774	amag:I533_03740
ko:K11719	amag:I533_03745
ko:K03270	amag:I533_03750
ko:K06041	amag:I533_03755
ko:K07301	amag:I533_03760
ko:K02065	amag:I533_03765
ko:K02066	amag:I533_03770
ko:K02067	amag:I533_03775
ko:K07323	amag:I533_03780
ko:K07122	amag:I533_03785
ko:K00790	amag:I533_03795
ko:K04691	amag:I533_03800
ko:K09908	amag:I533_03810
ko:K06916	amag:I533_03815
ko:K06886	amag:I533_03825
ko:K10679	amag:I533_03840
ko:K12257	amag:I533_03850
ko:K11105	amag:I533_03855
ko:K03298	amag:I533_03865
ko:K01999	amag:I533_03880
ko:K00789	amag:I533_03895
ko:K00615	amag:I533_03900
ko:K03472	amag:I533_03905
ko:K00927	amag:I533_03910
ko:K01623	amag:I533_03915
ko:K03585	amag:I533_03925
ko:K01524	amag:I533_03945
ko:K00937	amag:I533_03950
ko:K02037	amag:I533_03960
ko:K02038	amag:I533_03965
ko:K02036	amag:I533_03970
ko:K02039	amag:I533_03975
ko:K03306	amag:I533_03980
ko:K04761	amag:I533_03990
ko:K11068	amag:I533_04000
ko:K03547	amag:I533_04090
ko:K01479	amag:I533_04105
ko:K01468	amag:I533_04110
ko:K05836	amag:I533_04115
ko:K01712	amag:I533_04120
ko:K01745	amag:I533_04125
ko:K05805	amag:I533_04130
ko:K07552	amag:I533_04165
ko:K02428	amag:I533_04240
ko:K05590	amag:I533_04245
ko:K00974	amag:I533_04255
ko:K02450	amag:I533_04260
ko:K02451	amag:I533_04265
ko:K03585	amag:I533_00810
ko:K02030	amag:I533_02680
ko:K06193	amag:I533_02695
ko:K03829	amag:I533_02700
ko:K09803	amag:I533_02775
ko:K01825	amag:I533_02805
ko:K08309	amag:I533_02810
ko:K07238	amag:I533_02820
ko:K02523	amag:I533_02825
ko:K02888	amag:I533_02830
ko:K02899	amag:I533_02835
ko:K03979	amag:I533_02840
ko:K03087	amag:I533_02850
ko:K06194	amag:I533_02855
ko:K00573	amag:I533_02865
ko:K06176	amag:I533_02870
ko:K01770	amag:I533_02875
ko:K00991	amag:I533_02880
ko:K05589	amag:I533_02885
ko:K03406	amag:I533_02895
ko:K13821	amag:I533_02905
ko:K01682	amag:I533_03485
ko:K09005	amag:I533_03490
ko:K00928	amag:I533_03495
ko:K03406	amag:I533_03500
ko:K01525	amag:I533_03505
ko:K06195	amag:I533_03510
ko:K02528	amag:I533_03515
ko:K00097	amag:I533_03520
ko:K03771	amag:I533_03525
ko:K04744	amag:I533_03530
ko:K05801	amag:I533_03535
ko:K04763	amag:I533_03540
ko:K03981	amag:I533_03545
ko:K07462	amag:I533_03550
ko:K03584	amag:I533_03560
ko:K03474	amag:I533_03565
ko:K00997	amag:I533_03570
ko:K03215	amag:I533_03575
ko:K00951	amag:I533_03580
ko:K04765	amag:I533_03585
ko:K09790	amag:I533_03590
ko:K00021	amag:I533_03595
ko:K07243	amag:I533_03650
ko:K02871	amag:I533_03670
ko:K02996	amag:I533_03675
ko:K00411	amag:I533_03680
ko:K00412	amag:I533_03685
ko:K00413	amag:I533_03690
ko:K03599	amag:I533_03695
ko:K03600	amag:I533_03700
ko:K06213	amag:I533_03705
ko:K08485	amag:I533_03710
ko:K06958	amag:I533_03715
ko:K02806	amag:I533_03720
ko:K00363	amag:I533_03195
ko:K01756	amag:I533_08880
ko:K07153	amag:I533_08885
ko:K00566	amag:I533_08890
ko:K06181	amag:I533_08895
ko:K00031	amag:I533_08900
ko:K03704	amag:I533_08905
ko:K06891	amag:I533_08910
ko:K03694	amag:I533_08915
ko:K02518	amag:I533_08920
ko:K00684	amag:I533_08930
ko:K00384	amag:I533_08935
ko:K09899	amag:I533_08940
ko:K02742	amag:I533_08945
ko:K04773	amag:I533_08950
ko:K01424	amag:I533_08975
ko:K03644	amag:I533_08980
ko:K03801	amag:I533_08985
ko:K09158	amag:I533_08990
ko:K07258	amag:I533_08995
ko:K03642	amag:I533_09000
ko:K05837	amag:I533_09005
ko:K05515	amag:I533_09010
ko:K00783	amag:I533_09015
ko:K09710	amag:I533_09020
ko:K00969	amag:I533_09025
ko:K02340	amag:I533_09030
ko:K03643	amag:I533_09035
ko:K01869	amag:I533_09040
ko:K07574	amag:I533_09075
ko:K02427	amag:I533_09080
ko:K03798	amag:I533_09085
ko:K00796	amag:I533_09090
ko:K03431	amag:I533_09095
ko:K01803	amag:I533_09100
ko:K03075	amag:I533_09105
ko:K03168	amag:I533_09135
ko:K03307	amag:I533_09140
ko:K00931	amag:I533_09145
ko:K00147	amag:I533_09150
ko:K00962	amag:I533_09165
ko:K09948	amag:I533_09170
ko:K03088	amag:I533_09320
ko:K01489	amag:I533_09330
ko:K05803	amag:I533_09335
ko:K06203	amag:I533_09345
ko:K03529	amag:I533_09350
ko:K03528	amag:I533_09355
ko:K01972	amag:I533_09360
ko:K09928	amag:I533_09365
ko:K02238	amag:I533_09370
ko:K11085	amag:I533_09375
ko:K00912	amag:I533_09380
ko:K09791	amag:I533_09385
ko:K00979	amag:I533_09390
ko:K14441	amag:I533_09400
ko:K07393	amag:I533_09420
ko:K06911	amag:I533_09425
ko:K01840	amag:I533_09430
ko:K07146	amag:I533_09785
ko:K01029	amag:I533_09800
ko:K01028	amag:I533_09805
ko:K17737	amag:I533_09810
ko:K13634	amag:I533_09825
ko:K01752	amag:I533_09830
ko:K01665	amag:I533_09840
ko:K01676	amag:I533_09845
ko:K09760	amag:I533_09855
ko:K00166	amag:I533_09865
ko:K00167	amag:I533_09870
ko:K09699	amag:I533_09875
ko:K07115	amag:I533_09880
ko:K10805	amag:I533_09890
ko:K00830	amag:I533_09900
ko:K09807	amag:I533_09905
ko:K03607	amag:I533_09920
ko:K03797	amag:I533_09925
ko:K03308	amag:I533_09930
ko:K03315	amag:I533_09935
ko:K01256	amag:I533_09940
ko:K15371	amag:I533_09970
ko:K00254	amag:I533_09975
ko:K12297	amag:I533_09980
ko:K03567	amag:I533_10505
ko:K03564	amag:I533_10510
ko:K03548	amag:I533_10515
ko:K00537	amag:I533_10530
ko:K03809	amag:I533_10535
ko:K10763	amag:I533_10545
ko:K09938	amag:I533_10550
ko:K01933	amag:I533_10555
ko:K11175	amag:I533_10560
ko:K06445	amag:I533_10570
ko:K15256	amag:I533_10585
ko:K15257	amag:I533_10590
ko:K15918	amag:I533_10595
ko:K07026	amag:I533_10600
ko:K00690	amag:I533_10610
ko:K01091	amag:I533_10615
ko:K03750	amag:I533_10620
ko:K03327	amag:I533_10625
ko:K07141	amag:I533_10630
ko:K09989	amag:I533_10635
ko:K01738	amag:I533_10645
ko:K07726	amag:I533_10690
ko:K00432	amag:I533_10750
ko:K01118	amag:I533_10755
ko:K01740	amag:I533_10765
ko:K09190	amag:I533_11640
ko:K09967	amag:I533_11645
ko:K07093	amag:I533_11655
ko:K07004	amag:I533_11680
ko:K08325	amag:I533_11705
ko:K14445	amag:I533_11735
ko:K01494	amag:I533_11740
ko:K03593	amag:I533_11745
ko:K01874	amag:I533_11750
ko:K03442	amag:I533_11755
ko:K01069	amag:I533_11765
ko:K08307	amag:I533_11770
ko:K01883	amag:I533_11780
ko:K03768	amag:I533_11785
ko:K03269	amag:I533_11790
ko:K00690	amag:I533_11810
ko:K03781	amag:I533_11825
ko:K06169	amag:I533_11860
ko:K00764	amag:I533_11870
ko:K03558	amag:I533_11875
ko:K03749	amag:I533_11880
ko:K11754	amag:I533_11885
ko:K01963	amag:I533_11890
ko:K03977	amag:I533_12940
ko:K17713	amag:I533_12945
ko:K01892	amag:I533_12955
ko:K15539	amag:I533_12965
ko:K02656	amag:I533_12970
ko:K06941	amag:I533_12975
ko:K00940	amag:I533_12980
ko:K02426	amag:I533_12985
ko:K13628	amag:I533_12995
ko:K11717	amag:I533_13000
ko:K09015	amag:I533_13005
ko:K09013	amag:I533_13010
ko:K09014	amag:I533_13015
ko:K04487	amag:I533_13020
ko:K13643	amag:I533_13025
ko:K00640	amag:I533_13035
ko:K15396	amag:I533_13040
ko:K01092	amag:I533_13045
ko:K03074	amag:I533_13060
ko:K03072	amag:I533_13065
ko:K03210	amag:I533_13070
ko:K00773	amag:I533_13075
ko:K07568	amag:I533_13080
ko:K09980	amag:I533_13090
ko:K10716	amag:I533_13100
ko:K08989	amag:I533_13110
ko:K02003	amag:I533_13135
ko:K02004	amag:I533_13140
ko:K01425	amag:I533_13150
ko:K01077	amag:I533_13155
ko:K03415	amag:I533_13160
ko:K01637	amag:I533_13165
ko:K01638	amag:I533_13175
ko:K07001	amag:I533_13180
ko:K08679	amag:I533_13185
ko:K00121	amag:I533_14555
ko:K03325	amag:I533_14580
ko:K00906	amag:I533_14590
ko:K01488	amag:I533_14625
ko:K00290	amag:I533_14650
ko:K13747	amag:I533_14655
ko:K07056	amag:I533_14665
ko:K07121	amag:I533_14670
ko:K07460	amag:I533_14675
ko:K12961	amag:I533_14685
ko:K07778	amag:I533_14710
ko:K07693	amag:I533_14715
ko:K03417	amag:I533_14740
ko:K08981	amag:I533_14770
ko:K09167	amag:I533_14775
ko:K07648	amag:I533_14780
ko:K00265	amag:I533_14790
ko:K00266	amag:I533_14795
ko:K01243	amag:I533_14810
ko:K02227	amag:I533_14815
ko:K01711	amag:I533_16575
ko:K00979	amag:I533_16585
ko:K01666	amag:I533_16700
ko:K01840	amag:I533_16745
ko:K02406	amag:I533_16750
ko:K02879	amag:I533_16765
ko:K03040	amag:I533_16770
ko:K02986	amag:I533_16775
ko:K02948	amag:I533_16780
ko:K02952	amag:I533_16785
ko:K02919	amag:I533_16790
ko:K03076	amag:I533_16795
ko:K02876	amag:I533_16800
ko:K02907	amag:I533_16805
ko:K02988	amag:I533_16810
ko:K02881	amag:I533_16815
ko:K02933	amag:I533_16820
ko:K02994	amag:I533_16825
ko:K07154	amag:I533_19045
ko:K03556	amag:I533_19095
ko:K01130	amag:I533_19100
ko:K03924	amag:I533_19105
ko:K07114	amag:I533_19120
ko:K07114	amag:I533_19125
ko:K00154	amag:I533_19145
ko:K03517	amag:I533_19200
ko:K01690	amag:I533_19210
ko:K01057	amag:I533_19215
ko:K00036	amag:I533_19220
ko:K00873	amag:I533_19230
ko:K01243	amag:I533_19235
ko:K07133	amag:I533_19250
ko:K07154	amag:I533_19260
ko:K06205	amag:I533_19285
ko:K03650	amag:I533_19290
ko:K01647	amag:I533_09440
ko:K00241	amag:I533_09445
ko:K00242	amag:I533_09450
ko:K00239	amag:I533_09455
ko:K00240	amag:I533_09460
ko:K00164	amag:I533_09465
ko:K00658	amag:I533_09470
ko:K01903	amag:I533_09475
ko:K01902	amag:I533_09480
ko:K02014	amag:I533_09485
ko:K16211	amag:I533_09530
ko:K01886	amag:I533_09545
ko:K07116	amag:I533_09560
ko:K04774	amag:I533_09565
ko:K06219	amag:I533_09585
ko:K03778	amag:I533_09590
ko:K00432	amag:I533_09595
ko:K00563	amag:I533_09625
ko:K07014	amag:I533_09635
ko:K09904	amag:I533_09640
ko:K06899	amag:I533_09645
ko:K00850	amag:I533_09685
ko:K15738	amag:I533_09990
ko:K03812	amag:I533_10000
ko:K01716	amag:I533_10005
ko:K01669	amag:I533_10015
ko:K01669	amag:I533_10020
ko:K01669	amag:I533_10025
ko:K06876	amag:I533_10030
ko:K00901	amag:I533_10055
ko:K06149	amag:I533_10060
ko:K03594	amag:I533_10080
ko:K03594	amag:I533_10085
ko:K00404	amag:I533_10095
ko:K00405	amag:I533_10100
ko:K00407	amag:I533_10105
ko:K00406	amag:I533_10110
ko:K09926	amag:I533_10115
ko:K09792	amag:I533_10130
ko:K14055	amag:I533_10140
ko:K14058	amag:I533_10145
ko:K07001	amag:I533_10150
ko:K03796	amag:I533_10160
ko:K12410	amag:I533_10175
ko:K01011	amag:I533_10180
ko:K11065	amag:I533_10185
ko:K05812	amag:I533_10190
ko:K00995	amag:I533_10195
ko:K03703	amag:I533_10200
ko:K07689	amag:I533_10205
ko:K00813	amag:I533_10780
ko:K09768	amag:I533_10795
ko:K02014	amag:I533_10820
ko:K01322	amag:I533_10830
ko:K03522	amag:I533_10850
ko:K03521	amag:I533_10855
ko:K00311	amag:I533_10860
ko:K03839	amag:I533_10880
ko:K16087	amag:I533_10905
ko:K03711	amag:I533_10915
ko:K00824	amag:I533_10920
ko:K07160	amag:I533_10935
ko:K00243	amag:I533_10940
ko:K07397	amag:I533_10945
ko:K14260	amag:I533_10975
ko:K06889	amag:I533_11025
ko:K01129	amag:I533_11050
ko:K17247	amag:I533_11060
ko:K06173	amag:I533_11895
ko:K08086	amag:I533_11900
ko:K00133	amag:I533_11905
ko:K03473	amag:I533_11910
ko:K00647	amag:I533_11940
ko:K15461	amag:I533_11950
ko:K00657	amag:I533_11980
ko:K05776	amag:I533_12020
ko:K02106	amag:I533_12025
ko:K09906	amag:I533_12055
ko:K07107	amag:I533_12065
ko:K00219	amag:I533_12080
ko:K01692	amag:I533_12085
ko:K01354	amag:I533_12140
ko:K03603	amag:I533_12145
ko:K03314	amag:I533_12150
ko:K03611	amag:I533_12155
ko:K03790	amag:I533_12160
ko:K09160	amag:I533_12170
ko:K03271	amag:I533_13335
ko:K07031	amag:I533_13340
ko:K01953	amag:I533_13350
ko:K01991	amag:I533_13380
ko:K03272	amag:I533_13405
ko:K07461	amag:I533_13410
ko:K00982	amag:I533_13425
ko:K02517	amag:I533_13435
ko:K06858	amag:I533_14820
ko:K01866	amag:I533_14845
ko:K09001	amag:I533_14860
ko:K02429	amag:I533_14865
ko:K07267	amag:I533_14870
ko:K10680	amag:I533_14875
ko:K00799	amag:I533_14895
ko:K15724	amag:I533_14900
ko:K03608	amag:I533_14915
ko:K03609	amag:I533_14920
ko:K03610	amag:I533_14925
ko:K01679	amag:I533_14930
ko:K08973	amag:I533_14950
ko:K14155	amag:I533_14970
ko:K06207	amag:I533_14980
ko:K01915	amag:I533_14990
ko:K07708	amag:I533_15000
ko:K07712	amag:I533_15005
ko:K00655	amag:I533_15015
ko:K09893	amag:I533_15020
ko:K02055	amag:I533_15050
ko:K01873	amag:I533_15060
ko:K02339	amag:I533_15065
ko:K01255	amag:I533_15070
ko:K07091	amag:I533_15075
ko:K11720	amag:I533_15080
ko:K03088	amag:I533_15095
ko:K02954	amag:I533_16830
ko:K02931	amag:I533_16835
ko:K02895	amag:I533_16840
ko:K02874	amag:I533_16845
ko:K14645	amag:I533_16860
ko:K03218	amag:I533_16870
ko:K12573	amag:I533_16875
ko:K01113	amag:I533_16890
ko:K03182	amag:I533_16930
ko:K05368	amag:I533_16935
ko:K00425	amag:I533_16970
ko:K00426	amag:I533_16975
ko:K05800	amag:I533_16985
ko:K03704	amag:I533_16995
ko:K03688	amag:I533_17000
ko:K03690	amag:I533_17005
ko:K03183	amag:I533_17010
ko:K01414	amag:I533_17020
ko:K02044	amag:I533_17030
ko:K00383	amag:I533_17045
ko:K00021	amag:I533_17100
ko:K09767	amag:I533_19295
ko:K03217	amag:I533_19300
ko:K08998	amag:I533_19305
ko:K03536	amag:I533_19310
ko:K02914	amag:I533_19315
ko:K15977	amag:I533_10300
ko:K07235	amag:I533_10325
ko:K07236	amag:I533_10330
ko:K11179	amag:I533_10340
ko:K01875	amag:I533_10355
ko:K06199	amag:I533_10360
ko:K07478	amag:I533_10365
ko:K03634	amag:I533_10370
ko:K03466	amag:I533_10375
ko:K00259	amag:I533_10385
ko:K01591	amag:I533_10390
ko:K08992	amag:I533_10400
ko:K05788	amag:I533_10410
ko:K02945	amag:I533_10415
ko:K00945	amag:I533_10420
ko:K00800	amag:I533_10425
ko:K00831	amag:I533_10430
ko:K02469	amag:I533_10435
ko:K00568	amag:I533_10440
ko:K11107	amag:I533_10455
ko:K01923	amag:I533_10490
ko:K07287	amag:I533_10495
ko:K01714	amag:I533_10500
ko:K09858	amag:I533_11075
ko:K02017	amag:I533_11130
ko:K02018	amag:I533_11135
ko:K02020	amag:I533_11140
ko:K03635	amag:I533_11145
ko:K03636	amag:I533_11150
ko:K03637	amag:I533_11155
ko:K03638	amag:I533_11160
ko:K06987	amag:I533_11170
ko:K00817	amag:I533_11205
ko:K00549	amag:I533_11220
ko:K11939	amag:I533_11235
ko:K03581	amag:I533_11250
ko:K03582	amag:I533_11255
ko:K03583	amag:I533_11260
ko:K12574	amag:I533_11290
ko:K09897	amag:I533_11315
ko:K08305	amag:I533_12180
ko:K09902	amag:I533_12185
ko:K03684	amag:I533_12190
ko:K01897	amag:I533_12195
ko:K07285	amag:I533_12205
ko:K16089	amag:I533_12270
ko:K00765	amag:I533_12280
ko:K00013	amag:I533_12285
ko:K00817	amag:I533_12290
ko:K01089	amag:I533_12295
ko:K02501	amag:I533_12300
ko:K01814	amag:I533_12305
ko:K02500	amag:I533_12310
ko:K11755	amag:I533_12315
ko:K03406	amag:I533_12325
ko:K07263	amag:I533_12330
ko:K07136	amag:I533_12350
ko:K00939	amag:I533_12355
ko:K04079	amag:I533_12360
ko:K06187	amag:I533_12365
ko:K09747	amag:I533_12380
ko:K02343	amag:I533_12385
ko:K00759	amag:I533_12390
ko:K09929	amag:I533_12395
ko:K09930	amag:I533_12400
ko:K02014	amag:I533_13490
ko:K00761	amag:I533_13500
ko:K14540	amag:I533_13525
ko:K03437	amag:I533_13530
ko:K01692	amag:I533_13535
ko:K06970	amag:I533_13570
ko:K02616	amag:I533_13590
ko:K09456	amag:I533_13595
ko:K05851	amag:I533_13635
ko:K01759	amag:I533_13660
ko:K13483	amag:I533_13670
ko:K11178	amag:I533_13675
ko:K11177	amag:I533_13680
ko:K02014	amag:I533_13690
ko:K05520	amag:I533_13715
ko:K07058	amag:I533_13720
ko:K07226	amag:I533_15275
ko:K02013	amag:I533_15280
ko:K02015	amag:I533_15285
ko:K02016	amag:I533_15290
ko:K16089	amag:I533_15300
ko:K01803	amag:I533_15315
ko:K00111	amag:I533_15330
ko:K00864	amag:I533_15335
ko:K17324	amag:I533_15340
ko:K02440	amag:I533_15375
ko:K02014	amag:I533_15395
ko:K13408	amag:I533_17105
ko:K13409	amag:I533_17110
ko:K03667	amag:I533_17140
ko:K01419	amag:I533_17145
ko:K04066	amag:I533_17155
ko:K02909	amag:I533_17160
ko:K00029	amag:I533_17170
ko:K03764	amag:I533_17175
ko:K00297	amag:I533_17180
ko:K07058	amag:I533_17185
ko:K01259	amag:I533_17200
ko:K07560	amag:I533_17205
ko:K03089	amag:I533_17215
ko:K09811	amag:I533_17230
ko:K09812	amag:I533_17235
ko:K03110	amag:I533_17240
ko:K08316	amag:I533_17245
ko:K09891	amag:I533_17250
ko:K05595	amag:I533_17255
ko:K07751	amag:I533_17265
ko:K06206	amag:I533_17270
ko:K06204	amag:I533_17275
ko:K01894	amag:I533_17280
ko:K00970	amag:I533_17285
ko:K00950	amag:I533_17290
ko:K00606	amag:I533_17295
ko:K01918	amag:I533_17300
ko:K01580	amag:I533_17305
ko:K01992	amag:I533_17320
ko:K01990	amag:I533_17325
ko:K16090	amag:I533_17340
ko:K07089	amag:I533_17365
ko:K06200	amag:I533_17370
ko:K09916	amag:I533_11415
ko:K03310	amag:I533_11430
ko:K00134	amag:I533_11440
ko:K07305	amag:I533_11450
ko:K00033	amag:I533_11455
ko:K00700	amag:I533_11465
ko:K00705	amag:I533_11470
ko:K00134	amag:I533_11475
ko:K01792	amag:I533_11480
ko:K01625	amag:I533_11485
ko:K00845	amag:I533_11490
ko:K01690	amag:I533_11495
ko:K01057	amag:I533_11500
ko:K00036	amag:I533_11505
ko:K00873	amag:I533_11515
ko:K03521	amag:I533_11535
ko:K00845	amag:I533_11570
ko:K01690	amag:I533_11575
ko:K01057	amag:I533_11580
ko:K00036	amag:I533_11585
ko:K00873	amag:I533_11595
ko:K01243	amag:I533_11600
ko:K17103	amag:I533_12430
ko:K03777	amag:I533_12450
ko:K03695	amag:I533_12455
ko:K05810	amag:I533_12460
ko:K06180	amag:I533_12465
ko:K05807	amag:I533_12470
ko:K07167	amag:I533_12475
ko:K03088	amag:I533_12480
ko:K07157	amag:I533_12485
ko:K09701	amag:I533_12505
ko:K00574	amag:I533_12510
ko:K02557	amag:I533_12515
ko:K02556	amag:I533_12520
ko:K03602	amag:I533_12525
ko:K00795	amag:I533_12530
ko:K01662	amag:I533_12535
ko:K01095	amag:I533_12540
ko:K00946	amag:I533_12545
ko:K03625	amag:I533_12550
ko:K00794	amag:I533_12555
ko:K14652	amag:I533_12560
ko:K00793	amag:I533_12565
ko:K11752	amag:I533_12570
ko:K07738	amag:I533_12575
ko:K00600	amag:I533_12580
ko:K02536	amag:I533_12585
ko:K04485	amag:I533_12600
ko:K01079	amag:I533_12610
ko:K07186	amag:I533_12615
ko:K03424	amag:I533_12620
ko:K00275	amag:I533_12625
ko:K03685	amag:I533_12635
ko:K03100	amag:I533_12640
ko:K03596	amag:I533_12645
ko:K03803	amag:I533_12650
ko:K03598	amag:I533_12655
ko:K03597	amag:I533_12660
ko:K03088	amag:I533_12665
ko:K00278	amag:I533_12670
ko:K09159	amag:I533_12685
ko:K06980	amag:I533_12690
ko:K03291	amag:I533_13760
ko:K03654	amag:I533_13775
ko:K03189	amag:I533_13825
ko:K03188	amag:I533_13830
ko:K03187	amag:I533_13835
ko:K01428	amag:I533_13840
ko:K01429	amag:I533_13845
ko:K01430	amag:I533_13850
ko:K03190	amag:I533_13855
ko:K11963	amag:I533_13860
ko:K11962	amag:I533_13865
ko:K11961	amag:I533_13870
ko:K11960	amag:I533_13875
ko:K11959	amag:I533_13880
ko:K03427	amag:I533_13930
ko:K03427	amag:I533_13935
ko:K01154	amag:I533_13940
ko:K01153	amag:I533_13945
ko:K00281	amag:I533_13955
ko:K02437	amag:I533_13960
ko:K00605	amag:I533_13965
ko:K01443	amag:I533_13970
ko:K03303	amag:I533_13985
ko:K03185	amag:I533_14015
ko:K01262	amag:I533_14020
ko:K07576	amag:I533_15415
ko:K01251	amag:I533_15430
ko:K07088	amag:I533_15440
ko:K01990	amag:I533_15475
ko:K01992	amag:I533_15480
ko:K06136	amag:I533_15490
ko:K06137	amag:I533_15495
ko:K06138	amag:I533_15500
ko:K06139	amag:I533_15505
ko:K07675	amag:I533_15560
ko:K00140	amag:I533_15570
ko:K02168	amag:I533_15580
ko:K03777	amag:I533_15585
ko:K06214	amag:I533_15595
ko:K04338	amag:I533_15600
ko:K04337	amag:I533_15605
ko:K04335	amag:I533_15615
ko:K11927	amag:I533_15640
ko:K01625	amag:I533_15660
ko:K00874	amag:I533_15665
ko:K09973	amag:I533_17385
ko:K02358	amag:I533_17390
ko:K02355	amag:I533_17395
ko:K02992	amag:I533_17400
ko:K02950	amag:I533_17405
ko:K03046	amag:I533_17410
ko:K03043	amag:I533_17415
ko:K02935	amag:I533_17420
ko:K02864	amag:I533_17425
ko:K02863	amag:I533_17430
ko:K02867	amag:I533_17435
ko:K02601	amag:I533_17455
ko:K03073	amag:I533_17460
ko:K07386	amag:I533_17475
ko:K09964	amag:I533_17480
ko:K05591	amag:I533_17485
ko:K01465	amag:I533_17490
ko:K03098	amag:I533_17495
ko:K08234	amag:I533_17505
ko:K03442	amag:I533_17510
ko:K05341	amag:I533_17520
ko:K01495	amag:I533_17530
ko:K13938	amag:I533_17535
ko:K12251	amag:I533_17545
ko:K06953	amag:I533_17550
ko:K03724	amag:I533_17555
ko:K07577	amag:I533_17560
ko:K02356	amag:I533_17570
ko:K00847	amag:I533_17575
ko:K00568	amag:I533_17610
ko:K09966	amag:I533_17615
ko:K01652	amag:I533_17625
ko:K01772	amag:I533_17635
ko:K12942	amag:I533_17640
ko:K04087	amag:I533_17645
ko:K03775	amag:I533_12695
ko:K04751	amag:I533_12700
