ko:K07489	ypw:CH59_896
ko:K02959	ypw:CH59_2759
ko:K02860	ypw:CH59_2760
ko:K00554	ypw:CH59_2761
ko:K02884	ypw:CH59_2762
ko:K07491	ypw:CH59_2763
ko:K07283	ypw:CH59_2764
ko:K07792	ypw:CH59_2765
ko:K07792	ypw:CH59_2766
ko:K07792	ypw:CH59_2767
ko:K02477	ypw:CH59_2768
ko:K01626	ypw:CH59_2769
ko:K14187	ypw:CH59_2770
ko:K14170	ypw:CH59_2771
ko:K14170	ypw:CH59_2776
ko:K07491	ypw:CH59_2777
ko:K05809	ypw:CH59_2778
ko:K05807	ypw:CH59_2779
ko:K06180	ypw:CH59_2780
ko:K05810	ypw:CH59_2781
ko:K03695	ypw:CH59_2782
ko:K00347	ypw:CH59_2839
ko:K00346	ypw:CH59_2840
ko:K03271	ypw:CH59_2843
ko:K06445	ypw:CH59_2844
ko:K02083	ypw:CH59_2849
ko:K03547	ypw:CH59_2854
ko:K07657	ypw:CH59_2855
ko:K07636	ypw:CH59_2856
ko:K02040	ypw:CH59_2857
ko:K03311	ypw:CH59_2858
ko:K11736	ypw:CH59_2859
ko:K07491	ypw:CH59_2860
ko:K01187	ypw:CH59_2861
ko:K00681	ypw:CH59_2863
ko:K07491	ypw:CH59_2865
ko:K03386	ypw:CH59_2866
ko:K08682	ypw:CH59_2867
ko:K07568	ypw:CH59_2868
ko:K00773	ypw:CH59_2869
ko:K03210	ypw:CH59_2870
ko:K03072	ypw:CH59_2871
ko:K03074	ypw:CH59_2872
ko:K07491	ypw:CH59_2873
ko:K07738	ypw:CH59_2876
ko:K11752	ypw:CH59_2877
ko:K00794	ypw:CH59_2878
ko:K03625	ypw:CH59_2879
ko:K00946	ypw:CH59_2880
ko:K01095	ypw:CH59_2881
ko:K07491	ypw:CH59_2882
ko:K01662	ypw:CH59_2883
ko:K00795	ypw:CH59_2884
ko:K03602	ypw:CH59_2885
ko:K03151	ypw:CH59_2886
ko:K03152	ypw:CH59_2887
ko:K00077	ypw:CH59_2888
ko:K09767	ypw:CH59_2889
ko:K00851	ypw:CH59_1901
ko:K06155	ypw:CH59_1902
ko:K06145	ypw:CH59_1903
ko:K06911	ypw:CH59_1904
ko:K01624	ypw:CH59_1908
ko:K09988	ypw:CH59_1909
ko:K10439	ypw:CH59_1910
ko:K10440	ypw:CH59_1911
ko:K10441	ypw:CH59_1912
ko:K07007	ypw:CH59_1914
ko:K16322	ypw:CH59_1915
ko:K07491	ypw:CH59_1916
ko:K07491	ypw:CH59_1917
ko:K06144	ypw:CH59_1918
ko:K06149	ypw:CH59_1919
ko:K00262	ypw:CH59_1920
ko:K15984	ypw:CH59_1922
ko:K01414	ypw:CH59_1923
ko:K07115	ypw:CH59_1924
ko:K00383	ypw:CH59_1925
ko:K02647	ypw:CH59_1926
ko:K03299	ypw:CH59_1927
ko:K00865	ypw:CH59_1928
ko:K02529	ypw:CH59_1987
ko:K10544	ypw:CH59_1988
ko:K10545	ypw:CH59_1989
ko:K10543	ypw:CH59_1990
ko:K01805	ypw:CH59_1991
ko:K00854	ypw:CH59_1992
ko:K07483	ypw:CH59_1999
ko:K08160	ypw:CH59_2001
ko:K01042	ypw:CH59_2009
ko:K02380	ypw:CH59_2010
ko:K00127	ypw:CH59_2011
ko:K00124	ypw:CH59_2012
ko:K00123	ypw:CH59_2013
ko:K00123	ypw:CH59_2014
ko:K02379	ypw:CH59_2015
ko:K04564	ypw:CH59_2016
ko:K07491	ypw:CH59_2017
ko:K14762	ypw:CH59_2022
ko:K02562	ypw:CH59_2024
ko:K00009	ypw:CH59_2025
ko:K02798	ypw:CH59_2026
ko:K02799	ypw:CH59_2026
ko:K02800	ypw:CH59_2026
ko:K01879	ypw:CH59_2028
ko:K01878	ypw:CH59_2029
ko:K01246	ypw:CH59_2031
ko:K03826	ypw:CH59_2032
ko:K00090	ypw:CH59_2035
ko:K01176	ypw:CH59_2036
ko:K00835	ypw:CH59_2038
ko:K07085	ypw:CH59_2039
ko:K04081	ypw:CH59_2040
ko:K03924	ypw:CH59_2092
ko:K03924	ypw:CH59_2095
ko:K03549	ypw:CH59_2096
ko:K06726	ypw:CH59_2097
ko:K00852	ypw:CH59_2098
ko:K03753	ypw:CH59_2107
ko:K03752	ypw:CH59_2108
ko:K09896	ypw:CH59_2109
ko:K03673	ypw:CH59_2111
ko:K07491	ypw:CH59_2113
ko:K03978	ypw:CH59_2114
ko:K09894	ypw:CH59_2115
ko:K07712	ypw:CH59_2117
ko:K07708	ypw:CH59_2118
ko:K01915	ypw:CH59_2119
ko:K06207	ypw:CH59_2120
ko:K07058	ypw:CH59_2122
ko:K07560	ypw:CH59_2123
ko:K16345	ypw:CH59_2128
ko:K03312	ypw:CH59_2129
ko:K03655	ypw:CH59_2130
ko:K00556	ypw:CH59_2131
ko:K03060	ypw:CH59_2133
ko:K00942	ypw:CH59_2134
ko:K01972	ypw:CH59_2135
ko:K00989	ypw:CH59_2138
ko:K00762	ypw:CH59_2139
ko:K05501	ypw:CH59_2140
ko:K13038	ypw:CH59_2142
ko:K03630	ypw:CH59_2143
ko:K02548	ypw:CH59_2196
ko:K03667	ypw:CH59_2197
ko:K01419	ypw:CH59_2198
ko:K03591	ypw:CH59_2199
ko:K05499	ypw:CH59_2200
ko:K04066	ypw:CH59_2202
ko:K02909	ypw:CH59_2203
ko:K03764	ypw:CH59_2205
ko:K01739	ypw:CH59_2206
ko:K12525	ypw:CH59_2208
ko:K00297	ypw:CH59_2209
ko:K07483	ypw:CH59_2211
ko:K02444	ypw:CH59_2212
ko:K02441	ypw:CH59_2213
ko:K02439	ypw:CH59_2214
ko:K03556	ypw:CH59_2215
ko:K00688	ypw:CH59_2217
ko:K00705	ypw:CH59_2218
ko:K07400	ypw:CH59_2219
ko:K02170	ypw:CH59_2221
ko:K07490	ypw:CH59_2223
ko:K04759	ypw:CH59_2224
ko:K04758	ypw:CH59_2225
ko:K06959	ypw:CH59_2226
ko:K04760	ypw:CH59_2227
ko:K07659	ypw:CH59_2228
ko:K07638	ypw:CH59_2229
ko:K01610	ypw:CH59_2230
ko:K04083	ypw:CH59_2231
ko:K04762	ypw:CH59_2232
ko:K08312	ypw:CH59_2236
ko:K05366	ypw:CH59_2237
ko:K12288	ypw:CH59_2238
ko:K12289	ypw:CH59_2239
ko:K12290	ypw:CH59_2240
ko:K12291	ypw:CH59_2241
ko:K02507	ypw:CH59_2242
ko:K00891	ypw:CH59_2243
ko:K01735	ypw:CH59_2244
ko:K03112	ypw:CH59_2245
ko:K01783	ypw:CH59_2247
ko:K02926	ypw:CH59_2301
ko:K02892	ypw:CH59_2302
ko:K02886	ypw:CH59_2303
ko:K02965	ypw:CH59_2304
ko:K02890	ypw:CH59_2305
ko:K02982	ypw:CH59_2306
ko:K02878	ypw:CH59_2307
ko:K02904	ypw:CH59_2308
ko:K02961	ypw:CH59_2309
ko:K02874	ypw:CH59_2310
ko:K02895	ypw:CH59_2311
ko:K02931	ypw:CH59_2312
ko:K02954	ypw:CH59_2313
ko:K02994	ypw:CH59_2314
ko:K02933	ypw:CH59_2315
ko:K02881	ypw:CH59_2316
ko:K02988	ypw:CH59_2317
ko:K02907	ypw:CH59_2318
ko:K02876	ypw:CH59_2319
ko:K03076	ypw:CH59_2320
ko:K02919	ypw:CH59_2321
ko:K02952	ypw:CH59_2322
ko:K02948	ypw:CH59_2323
ko:K02986	ypw:CH59_2324
ko:K03040	ypw:CH59_2325
ko:K02879	ypw:CH59_2326
ko:K09890	ypw:CH59_2328
ko:K03282	ypw:CH59_2329
ko:K03499	ypw:CH59_2330
ko:K03500	ypw:CH59_2331
ko:K00604	ypw:CH59_2332
ko:K01462	ypw:CH59_2333
ko:K04096	ypw:CH59_2334
ko:K03747	ypw:CH59_2335
ko:K07479	ypw:CH59_2336
ko:K07566	ypw:CH59_2337
ko:K00014	ypw:CH59_2338
ko:K11896	ypw:CH59_2344
ko:K07483	ypw:CH59_2345
ko:K11896	ypw:CH59_2346
ko:K11895	ypw:CH59_2347
ko:K11906	ypw:CH59_2349
ko:K11893	ypw:CH59_2350
ko:K11892	ypw:CH59_2351
ko:K11907	ypw:CH59_2352
ko:K11909	ypw:CH59_2354
ko:K11910	ypw:CH59_2355
ko:K11891	ypw:CH59_2356
ko:K11911	ypw:CH59_2357
ko:K09774	ypw:CH59_2467
ko:K11719	ypw:CH59_2468
ko:K03270	ypw:CH59_2469
ko:K06041	ypw:CH59_2470
ko:K07301	ypw:CH59_2471
ko:K02065	ypw:CH59_2472
ko:K02066	ypw:CH59_2473
ko:K02067	ypw:CH59_2474
ko:K07323	ypw:CH59_2475
ko:K07122	ypw:CH59_2476
ko:K00790	ypw:CH59_2478
ko:K04691	ypw:CH59_2479
ko:K07491	ypw:CH59_2480
ko:K09908	ypw:CH59_2482
ko:K06916	ypw:CH59_2483
ko:K02871	ypw:CH59_2484
ko:K02996	ypw:CH59_2485
ko:K03599	ypw:CH59_2486
ko:K03600	ypw:CH59_2487
ko:K00266	ypw:CH59_2489
ko:K00265	ypw:CH59_2490
ko:K07139	ypw:CH59_2491
ko:K07648	ypw:CH59_2492
ko:K03814	ypw:CH59_2494
ko:K12961	ypw:CH59_2496
ko:K07460	ypw:CH59_2497
ko:K07121	ypw:CH59_2498
ko:K07056	ypw:CH59_2499
ko:K06911	ypw:CH59_2500
ko:K07393	ypw:CH59_2502
ko:K06889	ypw:CH59_2505
ko:K02990	ypw:CH59_2507
ko:K02963	ypw:CH59_2508
ko:K02939	ypw:CH59_2509
ko:K07491	ypw:CH59_2510
ko:K07269	ypw:CH59_2512
ko:K03773	ypw:CH59_2513
ko:K07322	ypw:CH59_2514
ko:K01119	ypw:CH59_2515
ko:K01082	ypw:CH59_2516
ko:K07109	ypw:CH59_2517
ko:K02025	ypw:CH59_2575
ko:K02026	ypw:CH59_2576
ko:K10112	ypw:CH59_2577
ko:K09979	ypw:CH59_2579
ko:K06167	ypw:CH59_2581
ko:K05774	ypw:CH59_2582
ko:K06162	ypw:CH59_2583
ko:K05780	ypw:CH59_2584
ko:K05781	ypw:CH59_2585
ko:K06163	ypw:CH59_2586
ko:K06164	ypw:CH59_2587
ko:K06165	ypw:CH59_2588
ko:K06166	ypw:CH59_2589
ko:K02043	ypw:CH59_2590
ko:K02034	ypw:CH59_2596
ko:K02033	ypw:CH59_2597
ko:K00611	ypw:CH59_2601
ko:K09893	ypw:CH59_2602
ko:K03828	ypw:CH59_2603
ko:K01873	ypw:CH59_2604
ko:K02339	ypw:CH59_2605
ko:K01255	ypw:CH59_2606
ko:K07091	ypw:CH59_2607
ko:K11720	ypw:CH59_2608
ko:K02529	ypw:CH59_35
ko:K10440	ypw:CH59_36
ko:K10441	ypw:CH59_37
ko:K10439	ypw:CH59_38
ko:K00008	ypw:CH59_39
ko:K11934	ypw:CH59_43
ko:K11939	ypw:CH59_44
ko:K00598	ypw:CH59_46
ko:K04047	ypw:CH59_47
ko:K10036	ypw:CH59_49
ko:K10037	ypw:CH59_50
ko:K10038	ypw:CH59_51
ko:K03406	ypw:CH59_52
ko:K06970	ypw:CH59_56
ko:K01911	ypw:CH59_59
ko:K02549	ypw:CH59_60
ko:K01661	ypw:CH59_61
ko:K08680	ypw:CH59_62
ko:K02551	ypw:CH59_63
ko:K02552	ypw:CH59_64
ko:K05594	ypw:CH59_66
ko:K01690	ypw:CH59_68
ko:K00046	ypw:CH59_74
ko:K00851	ypw:CH59_75
ko:K00343	ypw:CH59_78
ko:K00342	ypw:CH59_79
ko:K00341	ypw:CH59_80
ko:K00340	ypw:CH59_81
ko:K00339	ypw:CH59_82
ko:K00338	ypw:CH59_83
ko:K00337	ypw:CH59_84
ko:K00336	ypw:CH59_85
ko:K00335	ypw:CH59_86
ko:K00101	ypw:CH59_255
ko:K01940	ypw:CH59_256
ko:K09912	ypw:CH59_261
ko:K07407	ypw:CH59_270
ko:K02532	ypw:CH59_271
ko:K12148	ypw:CH59_272
ko:K12149	ypw:CH59_274
ko:K01465	ypw:CH59_275
ko:K09802	ypw:CH59_278
ko:K01141	ypw:CH59_280
ko:K08317	ypw:CH59_283
ko:K02056	ypw:CH59_284
ko:K02056	ypw:CH59_285
ko:K02057	ypw:CH59_286
ko:K00765	ypw:CH59_289
ko:K00013	ypw:CH59_290
ko:K00817	ypw:CH59_291
ko:K01089	ypw:CH59_292
ko:K02501	ypw:CH59_293
ko:K01814	ypw:CH59_294
ko:K02500	ypw:CH59_295
ko:K11755	ypw:CH59_296
ko:K00033	ypw:CH59_297
ko:K00963	ypw:CH59_298
ko:K00963	ypw:CH59_299
ko:K16088	ypw:CH59_301
ko:K02016	ypw:CH59_302
ko:K02015	ypw:CH59_303
ko:K02015	ypw:CH59_304
ko:K02013	ypw:CH59_305
ko:K03702	ypw:CH59_690
ko:K01935	ypw:CH59_692
ko:K02169	ypw:CH59_693
ko:K00652	ypw:CH59_694
ko:K01012	ypw:CH59_695
ko:K00833	ypw:CH59_696
ko:K07404	ypw:CH59_697
ko:K02017	ypw:CH59_699
ko:K02018	ypw:CH59_700
ko:K02020	ypw:CH59_701
ko:K02019	ypw:CH59_703
ko:K05776	ypw:CH59_704
ko:K07052	ypw:CH59_706
ko:K01784	ypw:CH59_707
ko:K00965	ypw:CH59_708
ko:K00849	ypw:CH59_709
ko:K01785	ypw:CH59_711
ko:K01834	ypw:CH59_713
ko:K01626	ypw:CH59_716
ko:K16264	ypw:CH59_718
ko:K03811	ypw:CH59_719
ko:K03517	ypw:CH59_720
ko:K03640	ypw:CH59_725
ko:K03641	ypw:CH59_726
ko:K03646	ypw:CH59_727
ko:K03560	ypw:CH59_728
ko:K03562	ypw:CH59_729
ko:K07107	ypw:CH59_730
ko:K00426	ypw:CH59_733
ko:K00425	ypw:CH59_734
ko:K01902	ypw:CH59_735
ko:K01903	ypw:CH59_736
ko:K00164	ypw:CH59_739
ko:K00240	ypw:CH59_740
ko:K00239	ypw:CH59_741
ko:K00242	ypw:CH59_742
ko:K00241	ypw:CH59_743
ko:K01647	ypw:CH59_744
ko:K03687	ypw:CH59_745
ko:K00858	ypw:CH59_746
ko:K03631	ypw:CH59_747
ko:K06186	ypw:CH59_748
ko:K09801	ypw:CH59_749
ko:K03664	ypw:CH59_751
ko:K07491	ypw:CH59_752
ko:K07733	ypw:CH59_757
ko:K03457	ypw:CH59_769
ko:K02342	ypw:CH59_771
ko:K03469	ypw:CH59_772
ko:K01069	ypw:CH59_774
ko:K08307	ypw:CH59_775
ko:K06222	ypw:CH59_778
ko:K03273	ypw:CH59_784
ko:K02071	ypw:CH59_785
ko:K02072	ypw:CH59_786
ko:K02073	ypw:CH59_787
ko:K06080	ypw:CH59_788
ko:K01881	ypw:CH59_790
ko:K06079	ypw:CH59_791
ko:K15034	ypw:CH59_792
ko:K19000	ypw:CH59_795
ko:K04075	ypw:CH59_797
ko:K08234	ypw:CH59_798
ko:K01962	ypw:CH59_799
ko:K02337	ypw:CH59_800
ko:K03470	ypw:CH59_801
ko:K00748	ypw:CH59_802
ko:K00677	ypw:CH59_803
ko:K02372	ypw:CH59_804
ko:K02536	ypw:CH59_805
ko:K06142	ypw:CH59_806
ko:K07277	ypw:CH59_807
ko:K11749	ypw:CH59_808
ko:K00981	ypw:CH59_809
ko:K00806	ypw:CH59_810
ko:K00099	ypw:CH59_811
ko:K02838	ypw:CH59_812
ko:K09903	ypw:CH59_813
ko:K02357	ypw:CH59_814
ko:K02967	ypw:CH59_815
ko:K01265	ypw:CH59_816
ko:K00990	ypw:CH59_817
ko:K00674	ypw:CH59_818
ko:K06175	ypw:CH59_821
ko:K07491	ypw:CH59_823
ko:K07491	ypw:CH59_825
ko:K15723	ypw:CH59_826
ko:K06879	ypw:CH59_827
ko:K06966	ypw:CH59_828
ko:K01146	ypw:CH59_829
ko:K06968	ypw:CH59_830
ko:K03566	ypw:CH59_832
ko:K01766	ypw:CH59_834
ko:K02426	ypw:CH59_835
ko:K08304	ypw:CH59_837
ko:K01448	ypw:CH59_840
ko:K14682	ypw:CH59_841
ko:K03581	ypw:CH59_842
ko:K03582	ypw:CH59_843
ko:K03583	ypw:CH59_846
ko:K02681	ypw:CH59_847
ko:K02680	ypw:CH59_849
ko:K02014	ypw:CH59_852
ko:K01258	ypw:CH59_853
ko:K12942	ypw:CH59_854
ko:K07483	ypw:CH59_867
ko:K02014	ypw:CH59_869
ko:K03897	ypw:CH59_870
ko:K03895	ypw:CH59_871
ko:K03896	ypw:CH59_872
ko:K03894	ypw:CH59_873
ko:K03894	ypw:CH59_874
ko:K07052	ypw:CH59_881
ko:K11901	ypw:CH59_886
ko:K11900	ypw:CH59_887
ko:K11893	ypw:CH59_888
ko:K11892	ypw:CH59_889
ko:K11903	ypw:CH59_891
ko:K11904	ypw:CH59_894
ko:K07480	ypw:CH59_901
ko:K01581	ypw:CH59_905
ko:K10439	ypw:CH59_906
ko:K10441	ypw:CH59_907
ko:K10440	ypw:CH59_908
ko:K02014	ypw:CH59_909
ko:K02016	ypw:CH59_910
ko:K08306	ypw:CH59_911
ko:K03575	ypw:CH59_913
ko:K03439	ypw:CH59_914
ko:K09923	ypw:CH59_915
ko:K01425	ypw:CH59_916
ko:K02428	ypw:CH59_921
ko:K09131	ypw:CH59_922
ko:K02221	ypw:CH59_923
ko:K00286	ypw:CH59_924
ko:K06997	ypw:CH59_925
ko:K02669	ypw:CH59_926
ko:K10536	ypw:CH59_927
ko:K12251	ypw:CH59_928
ko:K07447	ypw:CH59_929
ko:K07735	ypw:CH59_930
ko:K01920	ypw:CH59_931
ko:K09761	ypw:CH59_932
ko:K01150	ypw:CH59_933
ko:K02742	ypw:CH59_934
ko:K00789	ypw:CH59_935
ko:K01585	ypw:CH59_937
ko:K07387	ypw:CH59_939
ko:K00615	ypw:CH59_940
ko:K07491	ypw:CH59_941
ko:K03472	ypw:CH59_942
ko:K00927	ypw:CH59_943
ko:K01624	ypw:CH59_944
ko:K03442	ypw:CH59_945
ko:K06895	ypw:CH59_946
ko:K09807	ypw:CH59_947
ko:K05596	ypw:CH59_948
ko:K01807	ypw:CH59_949
ko:K00058	ypw:CH59_950
ko:K01934	ypw:CH59_951
ko:K09888	ypw:CH59_952
ko:K09895	ypw:CH59_953
ko:K01262	ypw:CH59_954
ko:K03185	ypw:CH59_955
ko:K18800	ypw:CH59_956
ko:K00605	ypw:CH59_957
ko:K02437	ypw:CH59_958
ko:K00281	ypw:CH59_959
ko:K11068	ypw:CH59_964
ko:K06980	ypw:CH59_966
ko:K09159	ypw:CH59_967
ko:K07663	ypw:CH59_968
ko:K07641	ypw:CH59_969
ko:K06143	ypw:CH59_970
ko:K03840	ypw:CH59_971
ko:K04763	ypw:CH59_972
ko:K03981	ypw:CH59_973
ko:K07462	ypw:CH59_974
ko:K02836	ypw:CH59_975
ko:K04567	ypw:CH59_976
ko:K13651	ypw:CH59_985
ko:K13655	ypw:CH59_986
ko:K07733	ypw:CH59_989
ko:K17205	ypw:CH59_1006
ko:K17206	ypw:CH59_1007
ko:K17207	ypw:CH59_1008
ko:K10111	ypw:CH59_1009
ko:K15770	ypw:CH59_1010
ko:K15771	ypw:CH59_1011
ko:K15772	ypw:CH59_1012
ko:K01224	ypw:CH59_1013
ko:K12308	ypw:CH59_1014
ko:K02778	ypw:CH59_1015
ko:K02024	ypw:CH59_1016
ko:K01187	ypw:CH59_1018
ko:K08191	ypw:CH59_1019
ko:K08302	ypw:CH59_1023
ko:K00334	ypw:CH59_87
ko:K13378	ypw:CH59_88
ko:K00331	ypw:CH59_89
ko:K00330	ypw:CH59_90
ko:K14260	ypw:CH59_92
ko:K08722	ypw:CH59_93
ko:K09161	ypw:CH59_96
ko:K09899	ypw:CH59_97
ko:K00925	ypw:CH59_98
ko:K13788	ypw:CH59_99
ko:K07491	ypw:CH59_103
ko:K02821	ypw:CH59_105
ko:K02822	ypw:CH59_106
ko:K01815	ypw:CH59_109
ko:K00065	ypw:CH59_110
ko:K01731	ypw:CH59_111
ko:K10193	ypw:CH59_112
ko:K10194	ypw:CH59_113
ko:K10195	ypw:CH59_114
ko:K10192	ypw:CH59_115
ko:K07038	ypw:CH59_117
ko:K06956	ypw:CH59_118
ko:K11066	ypw:CH59_119
ko:K01730	ypw:CH59_121
ko:K08169	ypw:CH59_122
ko:K07346	ypw:CH59_123
ko:K07345	ypw:CH59_124
ko:K07347	ypw:CH59_125
ko:K15540	ypw:CH59_126
ko:K07345	ypw:CH59_127
ko:K03799	ypw:CH59_128
ko:K03797	ypw:CH59_130
ko:K03607	ypw:CH59_131
ko:K03808	ypw:CH59_133
ko:K07346	ypw:CH59_138
ko:K07347	ypw:CH59_139
ko:K03897	ypw:CH59_308
ko:K06871	ypw:CH59_1026
ko:K00065	ypw:CH59_1028
ko:K02079	ypw:CH59_1029
ko:K02744	ypw:CH59_1030
ko:K02747	ypw:CH59_1031
ko:K02746	ypw:CH59_1032
ko:K02745	ypw:CH59_1033
ko:K02082	ypw:CH59_1034
ko:K16371	ypw:CH59_1035
ko:K07491	ypw:CH59_1038
ko:K08961	ypw:CH59_1039
ko:K01673	ypw:CH59_1043
ko:K02452	ypw:CH59_1045
ko:K02453	ypw:CH59_1046
ko:K02454	ypw:CH59_1047
ko:K02455	ypw:CH59_1049
ko:K02456	ypw:CH59_1050
ko:K02457	ypw:CH59_1051
ko:K02458	ypw:CH59_1052
ko:K02459	ypw:CH59_1053
ko:K02460	ypw:CH59_1054
ko:K02461	ypw:CH59_1055
ko:K02465	ypw:CH59_1058
ko:K07396	ypw:CH59_1061
ko:K01586	ypw:CH59_1068
ko:K02529	ypw:CH59_1067
ko:K08351	ypw:CH59_1069
ko:K05939	ypw:CH59_1070
ko:K08227	ypw:CH59_1071
ko:K03573	ypw:CH59_1075
ko:K08311	ypw:CH59_1076
ko:K08484	ypw:CH59_1077
ko:K13292	ypw:CH59_1078
ko:K02679	ypw:CH59_1081
ko:K06147	ypw:CH59_1092
ko:K06147	ypw:CH59_1093
ko:K16321	ypw:CH59_1097
ko:K11904	ypw:CH59_1101
ko:K14445	ypw:CH59_1106
ko:K02529	ypw:CH59_1107
ko:K07483	ypw:CH59_1110
ko:K06077	ypw:CH59_1111
ko:K02557	ypw:CH59_1115
ko:K02556	ypw:CH59_1116
ko:K02405	ypw:CH59_1117
ko:K02415	ypw:CH59_1118
ko:K02414	ypw:CH59_1119
ko:K02422	ypw:CH59_1121
ko:K02407	ypw:CH59_1122
ko:K02406	ypw:CH59_1123
ko:K02406	ypw:CH59_1124
ko:K02406	ypw:CH59_1125
ko:K02397	ypw:CH59_1129
ko:K07491	ypw:CH59_2616
ko:K09862	ypw:CH59_2617
ko:K18778	ypw:CH59_2618
ko:K00859	ypw:CH59_2619
ko:K00364	ypw:CH59_2620
ko:K02505	ypw:CH59_2621
ko:K02504	ypw:CH59_2622
ko:K02682	ypw:CH59_2623
ko:K00767	ypw:CH59_2624
ko:K03806	ypw:CH59_2625
ko:K03807	ypw:CH59_2626
ko:K00390	ypw:CH59_2678
ko:K02302	ypw:CH59_2682
ko:K00957	ypw:CH59_2683
ko:K00956	ypw:CH59_2684
ko:K00860	ypw:CH59_2685
ko:K05589	ypw:CH59_2687
ko:K00991	ypw:CH59_2688
ko:K01770	ypw:CH59_2689
ko:K06176	ypw:CH59_2690
ko:K03787	ypw:CH59_2691
ko:K00573	ypw:CH59_2692
ko:K06194	ypw:CH59_2693
ko:K03087	ypw:CH59_2694
ko:K03555	ypw:CH59_2695
ko:K01808	ypw:CH59_2696
ko:K05878	ypw:CH59_2699
ko:K05879	ypw:CH59_2700
ko:K03893	ypw:CH59_2702
ko:K01713	ypw:CH59_2706
ko:K00428	ypw:CH59_2707
ko:K16089	ypw:CH59_2709
ko:K02014	ypw:CH59_2710
ko:K01265	ypw:CH59_2712
ko:K01676	ypw:CH59_2714
ko:K00880	ypw:CH59_2715
ko:K02057	ypw:CH59_2717
ko:K02057	ypw:CH59_2718
ko:K02056	ypw:CH59_2719
ko:K07491	ypw:CH59_2720
ko:K02058	ypw:CH59_2721
ko:K02430	ypw:CH59_2722
ko:K07306	ypw:CH59_2724
ko:K07307	ypw:CH59_2725
ko:K07308	ypw:CH59_2726
ko:K12262	ypw:CH59_2728
ko:K15536	ypw:CH59_2729
ko:K05811	ypw:CH59_2789
ko:K00998	ypw:CH59_2790
ko:K05812	ypw:CH59_2792
ko:K03672	ypw:CH59_2793
ko:K03214	ypw:CH59_2794
ko:K03446	ypw:CH59_2795
ko:K03543	ypw:CH59_2796
ko:K15974	ypw:CH59_2797
ko:K02030	ypw:CH59_2805
ko:K02029	ypw:CH59_2806
ko:K02029	ypw:CH59_2807
ko:K02028	ypw:CH59_2808
ko:K00847	ypw:CH59_2814
ko:K03554	ypw:CH59_2815
ko:K09913	ypw:CH59_2816
ko:K00891	ypw:CH59_2817
ko:K00147	ypw:CH59_2822
ko:K00931	ypw:CH59_2823
ko:K11926	ypw:CH59_2824
ko:K11750	ypw:CH59_2825
ko:K00769	ypw:CH59_2826
ko:K01270	ypw:CH59_2830
ko:K02346	ypw:CH59_2831
ko:K05952	ypw:CH59_2833
ko:K03734	ypw:CH59_2834
ko:K00351	ypw:CH59_2835
ko:K00350	ypw:CH59_2836
ko:K00349	ypw:CH59_2837
ko:K00348	ypw:CH59_2838
ko:K02300	ypw:CH59_2892
ko:K02299	ypw:CH59_2893
ko:K02298	ypw:CH59_2894
ko:K02297	ypw:CH59_2895
ko:K08218	ypw:CH59_2897
ko:K07286	ypw:CH59_2898
ko:K05527	ypw:CH59_2899
ko:K03545	ypw:CH59_2901
ko:K01358	ypw:CH59_2902
ko:K03544	ypw:CH59_2903
ko:K01338	ypw:CH59_2904
ko:K03530	ypw:CH59_2905
ko:K07491	ypw:CH59_2907
ko:K03770	ypw:CH59_2908
ko:K02237	ypw:CH59_2909
ko:K12500	ypw:CH59_2910
ko:K06920	ypw:CH59_2911
ko:K11938	ypw:CH59_2913
ko:K01738	ypw:CH59_2914
ko:K05800	ypw:CH59_2915
ko:K18889	ypw:CH59_2916
ko:K18890	ypw:CH59_2917
ko:K04752	ypw:CH59_2918
ko:K03320	ypw:CH59_2924
ko:K10805	ypw:CH59_2925
ko:K09914	ypw:CH59_2926
ko:K07443	ypw:CH59_2927
ko:K05839	ypw:CH59_2928
ko:K19162	ypw:CH59_2929
ko:K02919	ypw:CH59_2931
ko:K02909	ypw:CH59_2932
ko:K18138	ypw:CH59_2933
ko:K03585	ypw:CH59_2934
ko:K03577	ypw:CH59_2935
ko:K06039	ypw:CH59_2936
ko:K05802	ypw:CH59_2937
ko:K04067	ypw:CH59_2938
ko:K09790	ypw:CH59_2939
ko:K00759	ypw:CH59_2942
ko:K02343	ypw:CH59_2943
ko:K09747	ypw:CH59_2944
ko:K06187	ypw:CH59_2945
ko:K04079	ypw:CH59_2946
ko:K00939	ypw:CH59_2947
ko:K01772	ypw:CH59_2948
ko:K00523	ypw:CH59_2949
ko:K00978	ypw:CH59_2950
ko:K01709	ypw:CH59_2951
ko:K12452	ypw:CH59_2952
ko:K01711	ypw:CH59_2963
ko:K00971	ypw:CH59_2966
ko:K01840	ypw:CH59_2968
ko:K00892	ypw:CH59_2970
ko:K03455	ypw:CH59_2971
ko:K08223	ypw:CH59_2972
ko:K11751	ypw:CH59_2974
ko:K03976	ypw:CH59_2978
ko:K09973	ypw:CH59_2979
ko:K17686	ypw:CH59_2980
ko:K07340	ypw:CH59_2982
ko:K05838	ypw:CH59_2984
ko:K10804	ypw:CH59_2986
ko:K02003	ypw:CH59_2987
ko:K02004	ypw:CH59_2988
ko:K01589	ypw:CH59_2989
ko:K01588	ypw:CH59_2990
ko:K03269	ypw:CH59_2991
ko:K03768	ypw:CH59_2992
ko:K01883	ypw:CH59_2993
