ko:K02028	sui:SSUJS14_0460
ko:K00760	sui:SSUJS14_0014
ko:K03798	sui:SSUJS14_0015
ko:K12296	sui:SSUJS14_0016
ko:K03570	sui:SSUJS14_0019
ko:K03571	sui:SSUJS14_0020
ko:K00948	sui:SSUJS14_0022
ko:K00841	sui:SSUJS14_0023
ko:K03584	sui:SSUJS14_0024
ko:K03621	sui:SSUJS14_0025
ko:K02078	sui:SSUJS14_0026
ko:K14233	sui:SSUJS14_t013
ko:K14233	sui:SSUJS14_t025
ko:K03699	sui:SSUJS14_1639
ko:K01923	sui:SSUJS14_0027
ko:K01952	sui:SSUJS14_0028
ko:K00764	sui:SSUJS14_0029
ko:K01933	sui:SSUJS14_0030
ko:K11175	sui:SSUJS14_0031
ko:K00602	sui:SSUJS14_0032
ko:K01945	sui:SSUJS14_0033
ko:K01588	sui:SSUJS14_0034
ko:K01589	sui:SSUJS14_0035
ko:K01756	sui:SSUJS14_0038
ko:K03551	sui:SSUJS14_0047
ko:K11754	sui:SSUJS14_0053
ko:K03572	sui:SSUJS14_0057
ko:K00364	sui:SSUJS14_0898
ko:K03327	sui:SSUJS14_0899
ko:K02860	sui:SSUJS14_0901
ko:K02835	sui:SSUJS14_0929
ko:K02493	sui:SSUJS14_0930
ko:K00554	sui:SSUJS14_0902
ko:K07566	sui:SSUJS14_0931
ko:K00600	sui:SSUJS14_0933
ko:K01951	sui:SSUJS14_0943
ko:K03710	sui:SSUJS14_0944
ko:K09787	sui:SSUJS14_0945
ko:K03106	sui:SSUJS14_0946
ko:K00817	sui:SSUJS14_0903
ko:K03436	sui:SSUJS14_0904
ko:K01962	sui:SSUJS14_1756
ko:K00882	sui:SSUJS14_0905
ko:K01963	sui:SSUJS14_1757
ko:K01961	sui:SSUJS14_1758
ko:K02372	sui:SSUJS14_1759
ko:K02160	sui:SSUJS14_1760
ko:K09458	sui:SSUJS14_1761
ko:K00059	sui:SSUJS14_1762
ko:K00645	sui:SSUJS14_1763
ko:K02371	sui:SSUJS14_1764
ko:K02078	sui:SSUJS14_1765
ko:K00648	sui:SSUJS14_1766
ko:K00928	sui:SSUJS14_1770
ko:K01775	sui:SSUJS14_1774
ko:K00997	sui:SSUJS14_1775
ko:K03070	sui:SSUJS14_1776
ko:K02768	sui:SSUJS14_0906
ko:K02769	sui:SSUJS14_0906
ko:K00847	sui:SSUJS14_1778
ko:K02770	sui:SSUJS14_0906
ko:K00974	sui:SSUJS14_0911
ko:K15738	sui:SSUJS14_0912
ko:K02808	sui:SSUJS14_1779
ko:K00845	sui:SSUJS14_0914
ko:K02809	sui:SSUJS14_1779
ko:K02810	sui:SSUJS14_1779
ko:K01193	sui:SSUJS14_1780
ko:K03484	sui:SSUJS14_1781
ko:K03625	sui:SSUJS14_1782
ko:K02356	sui:SSUJS14_1784
ko:K03544	sui:SSUJS14_0920
ko:K03978	sui:SSUJS14_0921
ko:K01262	sui:SSUJS14_1785
ko:K03701	sui:SSUJS14_1786
ko:K00940	sui:SSUJS14_0922
ko:K03596	sui:SSUJS14_0924
ko:K03284	sui:SSUJS14_1787
ko:K01821	sui:SSUJS14_0925
ko:K02963	sui:SSUJS14_1789
ko:K02990	sui:SSUJS14_1791
ko:K03800	sui:SSUJS14_1793
ko:K14231	sui:SSUJS14_t015
ko:K14231	sui:SSUJS14_t027
ko:K14233	sui:SSUJS14_t017
ko:K14224	sui:SSUJS14_t021
ko:K14224	sui:SSUJS14_t037
ko:K14224	sui:SSUJS14_t040
ko:K14224	sui:SSUJS14_t024
ko:K14224	sui:SSUJS14_t058
ko:K01153	sui:SSUJS14_0782
ko:K03427	sui:SSUJS14_0784
ko:K01154	sui:SSUJS14_0785
ko:K03823	sui:SSUJS14_0790
ko:K04069	sui:SSUJS14_0795
ko:K02759	sui:SSUJS14_0798
ko:K02760	sui:SSUJS14_0799
ko:K02761	sui:SSUJS14_0800
ko:K00656	sui:SSUJS14_0801
ko:K00005	sui:SSUJS14_0804
ko:K00133	sui:SSUJS14_0805
ko:K01714	sui:SSUJS14_0806
ko:K00864	sui:SSUJS14_0810
ko:K02440	sui:SSUJS14_0812
ko:K15975	sui:SSUJS14_0813
ko:K06999	sui:SSUJS14_0815
ko:K03657	sui:SSUJS14_0819
ko:K00941	sui:SSUJS14_0821
ko:K00878	sui:SSUJS14_0822
ko:K00788	sui:SSUJS14_0823
ko:K00757	sui:SSUJS14_0825
ko:K07025	sui:SSUJS14_0830
ko:K04750	sui:SSUJS14_0834
ko:K03703	sui:SSUJS14_0837
ko:K03979	sui:SSUJS14_0839
ko:K07177	sui:SSUJS14_1648
ko:K00954	sui:SSUJS14_1649
ko:K07778	sui:SSUJS14_1655
ko:K04047	sui:SSUJS14_1658
ko:K01104	sui:SSUJS14_1660
ko:K03216	sui:SSUJS14_1666
ko:K08998	sui:SSUJS14_1668
ko:K06178	sui:SSUJS14_1669
ko:K06024	sui:SSUJS14_1670
ko:K05896	sui:SSUJS14_1671
ko:K07095	sui:SSUJS14_1674
ko:K02428	sui:SSUJS14_1675
ko:K01776	sui:SSUJS14_1676
ko:K09976	sui:SSUJS14_1677
ko:K01586	sui:SSUJS14_1678
ko:K01372	sui:SSUJS14_1679
ko:K06890	sui:SSUJS14_1680
ko:K06950	sui:SSUJS14_1681
ko:K01358	sui:SSUJS14_0669
ko:K01854	sui:SSUJS14_0698
ko:K01893	sui:SSUJS14_0705
ko:K06958	sui:SSUJS14_0710
ko:K09762	sui:SSUJS14_0712
ko:K01478	sui:SSUJS14_0714
ko:K00611	sui:SSUJS14_0716
ko:K00926	sui:SSUJS14_0717
ko:K12373	sui:SSUJS14_0721
ko:K03402	sui:SSUJS14_0722
ko:K01512	sui:SSUJS14_1683
ko:K03217	sui:SSUJS14_1684
ko:K03624	sui:SSUJS14_1685
ko:K07082	sui:SSUJS14_1686
ko:K01924	sui:SSUJS14_1688
ko:K03977	sui:SSUJS14_1693
ko:K11144	sui:SSUJS14_1695
ko:K03346	sui:SSUJS14_1696
ko:K07738	sui:SSUJS14_1697
ko:K03437	sui:SSUJS14_1682
ko:K01977	sui:SSUJS14_r11
ko:K01977	sui:SSUJS14_r12
ko:K01977	sui:SSUJS14_r10
ko:K02935	sui:SSUJS14_0972
ko:K02864	sui:SSUJS14_0973
ko:K03168	sui:SSUJS14_0974
ko:K04096	sui:SSUJS14_0975
ko:K11068	sui:SSUJS14_0981
ko:K03470	sui:SSUJS14_0983
ko:K14540	sui:SSUJS14_0984
ko:K06940	sui:SSUJS14_0985
ko:K06287	sui:SSUJS14_0986
ko:K01465	sui:SSUJS14_0988
ko:K03648	sui:SSUJS14_0989
ko:K00762	sui:SSUJS14_0991
ko:K01507	sui:SSUJS14_0992
ko:K01591	sui:SSUJS14_0993
ko:K02823	sui:SSUJS14_0995
ko:K00975	sui:SSUJS14_0997
ko:K00975	sui:SSUJS14_0998
ko:K00703	sui:SSUJS14_0999
ko:K00700	sui:SSUJS14_1000
ko:K03574	sui:SSUJS14_1003
ko:K02519	sui:SSUJS14_1804
ko:K07742	sui:SSUJS14_1806
ko:K02600	sui:SSUJS14_1807
ko:K09748	sui:SSUJS14_1808
ko:K03439	sui:SSUJS14_1809
ko:K02503	sui:SSUJS14_1813
ko:K06925	sui:SSUJS14_1817
ko:K07030	sui:SSUJS14_1818
ko:K02034	sui:SSUJS14_1823
ko:K02033	sui:SSUJS14_1824
ko:K02035	sui:SSUJS14_1827
ko:K07258	sui:SSUJS14_1828
ko:K09014	sui:SSUJS14_1829
ko:K04488	sui:SSUJS14_1831
ko:K11717	sui:SSUJS14_1832
ko:K09015	sui:SSUJS14_1833
ko:K09013	sui:SSUJS14_1834
ko:K06153	sui:SSUJS14_1837
ko:K01754	sui:SSUJS14_1842
ko:K00053	sui:SSUJS14_1843
ko:K01653	sui:SSUJS14_1844
ko:K01652	sui:SSUJS14_1845
ko:K01687	sui:SSUJS14_1850
ko:K02564	sui:SSUJS14_0725
ko:K00868	sui:SSUJS14_1547
ko:K01243	sui:SSUJS14_1548
ko:K07568	sui:SSUJS14_0723
ko:K01515	sui:SSUJS14_1550
ko:K04042	sui:SSUJS14_1551
ko:K00059	sui:SSUJS14_1554
ko:K02004	sui:SSUJS14_1560
ko:K02003	sui:SSUJS14_1561
ko:K05845	sui:SSUJS14_1569
ko:K05846	sui:SSUJS14_1569
ko:K05847	sui:SSUJS14_1570
ko:K13292	sui:SSUJS14_1574
ko:K06023	sui:SSUJS14_1575
ko:K01809	sui:SSUJS14_1576
ko:K03095	sui:SSUJS14_1581
ko:K06959	sui:SSUJS14_1582
ko:K07058	sui:SSUJS14_1586
ko:K01265	sui:SSUJS14_1587
ko:K00790	sui:SSUJS14_1589
ko:K00355	sui:SSUJS14_1590
ko:K00789	sui:SSUJS14_1591
ko:K03550	sui:SSUJS14_0058
ko:K01246	sui:SSUJS14_0060
ko:K07447	sui:SSUJS14_0065
ko:K09962	sui:SSUJS14_0067
ko:K02946	sui:SSUJS14_0070
ko:K02906	sui:SSUJS14_0071
ko:K02926	sui:SSUJS14_0072
ko:K02892	sui:SSUJS14_0073
ko:K02886	sui:SSUJS14_0074
ko:K02965	sui:SSUJS14_0075
ko:K02890	sui:SSUJS14_0076
ko:K02982	sui:SSUJS14_0077
ko:K02878	sui:SSUJS14_0078
ko:K02904	sui:SSUJS14_0079
ko:K02961	sui:SSUJS14_0080
ko:K02874	sui:SSUJS14_0081
ko:K02895	sui:SSUJS14_0082
ko:K02931	sui:SSUJS14_0083
ko:K02954	sui:SSUJS14_0084
ko:K02994	sui:SSUJS14_0085
ko:K02933	sui:SSUJS14_0086
ko:K02881	sui:SSUJS14_0087
ko:K02988	sui:SSUJS14_0088
ko:K02907	sui:SSUJS14_0089
ko:K02876	sui:SSUJS14_0090
ko:K03076	sui:SSUJS14_0091
ko:K00939	sui:SSUJS14_0092
ko:K02518	sui:SSUJS14_0093
ko:K02952	sui:SSUJS14_0094
ko:K02948	sui:SSUJS14_0095
ko:K03040	sui:SSUJS14_0096
ko:K02879	sui:SSUJS14_0097
ko:K02004	sui:SSUJS14_0958
ko:K02003	sui:SSUJS14_0959
ko:K13653	sui:SSUJS14_0969
ko:K04094	sui:SSUJS14_0970
ko:K14237	sui:SSUJS14_t02
ko:K14237	sui:SSUJS14_t042
ko:K14237	sui:SSUJS14_t035
ko:K14237	sui:SSUJS14_t019
ko:K14228	sui:SSUJS14_t032
ko:K14234	sui:SSUJS14_t046
ko:K14234	sui:SSUJS14_t06
ko:K14225	sui:SSUJS14_t022
ko:K14225	sui:SSUJS14_t038
ko:K14222	sui:SSUJS14_t054
ko:K01223	sui:SSUJS14_0181
ko:K05349	sui:SSUJS14_2098
ko:K02051	sui:SSUJS14_0210
ko:K14235	sui:SSUJS14_t029
ko:K15770	sui:SSUJS14_2084
ko:K01989	sui:SSUJS14_1223
ko:K16787	sui:SSUJS14_0829
ko:K16785	sui:SSUJS14_0827
ko:K15772	sui:SSUJS14_2086
ko:K15771	sui:SSUJS14_2085
ko:K02778	sui:SSUJS14_1376
ko:K02779	sui:SSUJS14_1376
ko:K16785	sui:SSUJS14_2120
ko:K10118	sui:SSUJS14_1523
ko:K16788	sui:SSUJS14_1979
ko:K01989	sui:SSUJS14_1222
ko:K16789	sui:SSUJS14_0486
ko:K01985	sui:SSUJS14_r01
ko:K01985	sui:SSUJS14_r04
ko:K01985	sui:SSUJS14_r03
ko:K01985	sui:SSUJS14_r02
ko:K16786	sui:SSUJS14_0828
ko:K18830	sui:SSUJS14_0612
ko:K10119	sui:SSUJS14_1522
ko:K14219	sui:SSUJS14_t049
ko:K14219	sui:SSUJS14_t09
ko:K14219	sui:SSUJS14_t060
ko:K14230	sui:SSUJS14_t012
ko:K14236	sui:SSUJS14_t028
ko:K14236	sui:SSUJS14_t051
ko:K10009	sui:SSUJS14_0291
ko:K16786	sui:SSUJS14_0273
ko:K16787	sui:SSUJS14_0273
ko:K02424	sui:SSUJS14_0290
ko:K14230	sui:SSUJS14_t026
ko:K02030	sui:SSUJS14_0515
ko:K14232	sui:SSUJS14_t010
ko:K14232	sui:SSUJS14_t050
ko:K14225	sui:SSUJS14_t047
ko:K14225	sui:SSUJS14_t07
ko:K16785	sui:SSUJS14_0377
ko:K14218	sui:SSUJS14_t01
ko:K14218	sui:SSUJS14_t041
ko:K14218	sui:SSUJS14_t034
ko:K14218	sui:SSUJS14_t018
ko:K14229	sui:SSUJS14_t044
ko:K14229	sui:SSUJS14_t04
ko:K14229	sui:SSUJS14_t056
ko:K14228	sui:SSUJS14_t045
ko:K14228	sui:SSUJS14_t05
ko:K14228	sui:SSUJS14_t048
ko:K14228	sui:SSUJS14_t08
ko:K16786	sui:SSUJS14_0376
ko:K16787	sui:SSUJS14_0376
ko:K01426	sui:SSUJS14_0289
ko:K16923	sui:SSUJS14_0826
ko:K14219	sui:SSUJS14_t053
ko:K16785	sui:SSUJS14_0272
ko:K08986	sui:SSUJS14_1152
ko:K08316	sui:SSUJS14_1650
ko:K14219	sui:SSUJS14_t057
ko:K11991	sui:SSUJS14_2008
ko:K16924	sui:SSUJS14_0371
ko:K16926	sui:SSUJS14_0271
ko:K14221	sui:SSUJS14_t03
ko:K14221	sui:SSUJS14_t043
ko:K14230	sui:SSUJS14_t011
ko:K14228	sui:SSUJS14_t033
ko:K16898	sui:SSUJS14_0845
ko:K16899	sui:SSUJS14_0844
ko:K14227	sui:SSUJS14_t016
ko:K14227	sui:SSUJS14_t039
ko:K14227	sui:SSUJS14_t023
ko:K14223	sui:SSUJS14_t031
ko:K14223	sui:SSUJS14_t052
ko:K14234	sui:SSUJS14_t062
ko:K14233	sui:SSUJS14_t061
ko:K14220	sui:SSUJS14_t020
ko:K14220	sui:SSUJS14_t036
ko:K14220	sui:SSUJS14_t059
ko:K03574	sui:SSUJS14_0456
ko:K11070	sui:SSUJS14_0889
ko:K01992	sui:SSUJS14_0244
ko:K10010	sui:SSUJS14_2021
ko:K01990	sui:SSUJS14_0836
ko:K02029	sui:SSUJS14_1008
ko:K02030	sui:SSUJS14_1008
ko:K01990	sui:SSUJS14_1251
ko:K10947	sui:SSUJS14_1557
ko:K17319	sui:SSUJS14_1301
ko:K17319	sui:SSUJS14_1872
ko:K17318	sui:SSUJS14_1299
ko:K17318	sui:SSUJS14_1870
ko:K01992	sui:SSUJS14_0835
ko:K01992	sui:SSUJS14_1811
ko:K01992	sui:SSUJS14_1252
ko:K01990	sui:SSUJS14_0179
ko:K01990	sui:SSUJS14_0503
ko:K01990	sui:SSUJS14_1812
ko:K02032	sui:SSUJS14_1825
ko:K02028	sui:SSUJS14_0514
ko:K03574	sui:SSUJS14_1117
ko:K02028	sui:SSUJS14_1009
ko:K00951	sui:SSUJS14_2050
ko:K01598	sui:SSUJS14_0777
ko:K17320	sui:SSUJS14_1300
ko:K17320	sui:SSUJS14_1871
ko:K01537	sui:SSUJS14_1393
ko:K02030	sui:SSUJS14_1001
ko:K02030	sui:SSUJS14_1002
ko:K17076	sui:SSUJS14_1839
ko:K02029	sui:SSUJS14_0459
ko:K01992	sui:SSUJS14_0243
ko:K17073	sui:SSUJS14_1838
ko:K17074	sui:SSUJS14_1838
ko:K10947	sui:SSUJS14_0250
ko:K10947	sui:SSUJS14_1103
ko:K01980	sui:SSUJS14_r08
ko:K01980	sui:SSUJS14_r07
ko:K01980	sui:SSUJS14_r06
ko:K01980	sui:SSUJS14_r05
ko:K01977	sui:SSUJS14_r09
ko:K14228	sui:SSUJS14_t055
ko:K10112	sui:SSUJS14_1864
ko:K01990	sui:SSUJS14_1657
ko:K01992	sui:SSUJS14_1656
ko:K02027	sui:SSUJS14_0166
ko:K17686	sui:SSUJS14_1360
ko:K00226	sui:SSUJS14_0240
ko:K17828	sui:SSUJS14_0994
ko:K06518	sui:SSUJS14_0251
ko:K03767	sui:SSUJS14_1306
ko:K00537	sui:SSUJS14_1417
ko:K01791	sui:SSUJS14_0543
ko:K03486	sui:SSUJS14_0364
ko:K02004	sui:SSUJS14_1356
ko:K01467	sui:SSUJS14_0012
ko:K02026	sui:SSUJS14_0168
ko:K07284	sui:SSUJS14_1050
ko:K12574	sui:SSUJS14_0158
ko:K00661	sui:SSUJS14_0976
ko:K12574	sui:SSUJS14_1452
ko:K07284	sui:SSUJS14_0441
ko:K07284	sui:SSUJS14_0466
ko:K00561	sui:SSUJS14_0695
ko:K18216	sui:SSUJS14_1381
ko:K18220	sui:SSUJS14_0592
ko:K02809	sui:SSUJS14_1891
ko:K02810	sui:SSUJS14_1891
ko:K01071	sui:SSUJS14_1411
ko:K05799	sui:SSUJS14_1132
ko:K02794	sui:SSUJS14_0417
ko:K02794	sui:SSUJS14_1338
ko:K02614	sui:SSUJS14_1035
ko:K18214	sui:SSUJS14_0593
ko:K18217	sui:SSUJS14_1380
ko:K18231	sui:SSUJS14_0633
ko:K00917	sui:SSUJS14_0199
ko:K02760	sui:SSUJS14_2028
ko:K01811	sui:SSUJS14_1339
ko:K07491	sui:SSUJS14_1398
ko:K07491	sui:SSUJS14_1559
ko:K07491	sui:SSUJS14_0774
ko:K07491	sui:SSUJS14_1608
ko:K12296	sui:SSUJS14_0068
ko:K18231	sui:SSUJS14_1317
ko:K03742	sui:SSUJS14_0061
ko:K18474	sui:SSUJS14_1768
ko:K16235	sui:SSUJS14_1984
ko:K00105	sui:SSUJS14_0811
ko:K01200	sui:SSUJS14_2089
ko:K18581	sui:SSUJS14_1187
ko:K00983	sui:SSUJS14_0545
ko:K18682	sui:SSUJS14_0388
ko:K06896	sui:SSUJS14_0365
ko:K18672	sui:SSUJS14_1442
ko:K18692	sui:SSUJS14_1704
ko:K06218	sui:SSUJS14_1468
ko:K18815	sui:SSUJS14_1432
ko:K18892	sui:SSUJS14_1994
ko:K18891	sui:SSUJS14_1995
ko:K03790	sui:SSUJS14_1588
ko:K03789	sui:SSUJS14_1899
ko:K18888	sui:SSUJS14_0882
ko:K18887	sui:SSUJS14_0881
ko:K03111	sui:SSUJS14_0144
ko:K03497	sui:SSUJS14_2137
ko:K03205	sui:SSUJS14_0575
ko:K03497	sui:SSUJS14_0600
ko:K03502	sui:SSUJS14_0636
ko:K05593	sui:SSUJS14_0694
ko:K06218	sui:SSUJS14_0707
ko:K03111	sui:SSUJS14_1790
ko:K06218	sui:SSUJS14_0956
ko:K07029	sui:SSUJS14_1148
ko:K19055	sui:SSUJS14_1454
ko:K07484	sui:SSUJS14_0549
ko:K19002	sui:SSUJS14_1330
ko:K18979	sui:SSUJS14_1388
ko:K13052	sui:SSUJS14_0010
ko:K18986	sui:SSUJS14_1630
ko:K02851	sui:SSUJS14_1835
ko:K18987	sui:SSUJS14_1631
ko:K19005	sui:SSUJS14_1232
ko:K07452	sui:SSUJS14_0941
ko:K06893	sui:SSUJS14_2115
ko:K19159	sui:SSUJS14_1966
ko:K19147	sui:SSUJS14_0942
ko:K19158	sui:SSUJS14_1965
ko:K05881	sui:SSUJS14_1917
ko:K01710	sui:SSUJS14_1260
ko:K19273	sui:SSUJS14_0693
ko:K01215	sui:SSUJS14_1520
ko:K03722	sui:SSUJS14_0518
ko:K19302	sui:SSUJS14_1663
ko:K12952	sui:SSUJS14_1310
ko:K04771	sui:SSUJS14_2136
ko:K19299	sui:SSUJS14_0692
ko:K02031	sui:SSUJS14_1826
ko:K06881	sui:SSUJS14_1502
ko:K00526	sui:SSUJS14_1174
ko:K02796	sui:SSUJS14_0419
ko:K02796	sui:SSUJS14_1336
ko:K02796	sui:SSUJS14_1744
ko:K01654	sui:SSUJS14_0542
ko:K00887	sui:SSUJS14_1373
ko:K20484	sui:SSUJS14_0627
ko:K20483	sui:SSUJS14_0625
ko:K21636	sui:SSUJS14_2072
ko:K20074	sui:SSUJS14_0394
ko:K12132	sui:SSUJS14_0395
ko:K20073	sui:SSUJS14_0386
ko:K19506	sui:SSUJS14_1335
ko:K02777	sui:SSUJS14_0366
ko:K20107	sui:SSUJS14_0366
ko:K20108	sui:SSUJS14_0366
ko:K14654	sui:SSUJS14_0689
ko:K20342	sui:SSUJS14_0050
ko:K20491	sui:SSUJS14_0623
ko:K20459	sui:SSUJS14_0962
ko:K20460	sui:SSUJS14_0961
ko:K20461	sui:SSUJS14_0960
ko:K20492	sui:SSUJS14_0624
ko:K00525	sui:SSUJS14_1172
ko:K20489	sui:SSUJS14_0963
ko:K20485	sui:SSUJS14_0626
ko:K20486	sui:SSUJS14_0619
ko:K20487	sui:SSUJS14_0621
ko:K20488	sui:SSUJS14_0620
ko:K20489	sui:SSUJS14_0628
ko:K20490	sui:SSUJS14_0622
ko:K18889	sui:SSUJS14_0280
ko:K18890	sui:SSUJS14_0279
ko:K11751	sui:SSUJS14_2070
ko:K21064	sui:SSUJS14_1741
ko:K08968	sui:SSUJS14_1598
ko:K01520	sui:SSUJS14_1993
ko:K07313	sui:SSUJS14_2005
ko:K06191	sui:SSUJS14_1171
ko:K04068	sui:SSUJS14_2068
ko:K02314	sui:SSUJS14_2107
ko:K06217	sui:SSUJS14_1283
ko:K02316	sui:SSUJS14_1404
ko:K00558	sui:SSUJS14_0569
ko:K06919	sui:SSUJS14_1484
ko:K07451	sui:SSUJS14_0655
ko:K00558	sui:SSUJS14_0659
ko:K01493	sui:SSUJS14_1592
ko:K00560	sui:SSUJS14_0917
ko:K00287	sui:SSUJS14_0918
ko:K00857	sui:SSUJS14_0928
ko:K03553	sui:SSUJS14_0062
ko:K01759	sui:SSUJS14_1304
ko:K01101	sui:SSUJS14_1409
ko:K02335	sui:SSUJS14_1353
ko:K00571	sui:SSUJS14_0133
ko:K06148	sui:SSUJS14_0270
ko:K06148	sui:SSUJS14_0269
ko:K21471	sui:SSUJS14_0021
ko:K21567	sui:SSUJS14_1947
ko:K00863	sui:SSUJS14_1913
ko:K21828	sui:SSUJS14_0713
ko:K02334	sui:SSUJS14_0643
ko:K21977	sui:SSUJS14_0778
ko:K22044	sui:SSUJS14_0237
ko:K03595	sui:SSUJS14_1372
ko:K03078	sui:SSUJS14_2015
ko:K22278	sui:SSUJS14_1605
ko:K17758	sui:SSUJS14_0895
ko:K03077	sui:SSUJS14_2013
ko:K03079	sui:SSUJS14_2014
ko:K22441	sui:SSUJS14_1123
ko:K22457	sui:SSUJS14_0704
