ko:K18929	cfx:CFV97608_0948
ko:K06193	cfx:CFV97608_1084
ko:K01872	cfx:CFV97608_1085
ko:K06287	cfx:CFV97608_1087
ko:K05366	cfx:CFV97608_1088
ko:K02884	cfx:CFV97608_1090
ko:K00554	cfx:CFV97608_1091
ko:K02860	cfx:CFV97608_1092
ko:K06960	cfx:CFV97608_1093
ko:K02959	cfx:CFV97608_1094
ko:K03106	cfx:CFV97608_1095
ko:K03406	cfx:CFV97608_1097
ko:K06180	cfx:CFV97608_1098
ko:K02527	cfx:CFV97608_1099
ko:K07164	cfx:CFV97608_1100
ko:K01142	cfx:CFV97608_1848
ko:K03760	cfx:CFV97608_1849
ko:K00901	cfx:CFV97608_1850
ko:K09816	cfx:CFV97608_1854
ko:K09817	cfx:CFV97608_1855
ko:K09815	cfx:CFV97608_1857
ko:K09823	cfx:CFV97608_1858
ko:K00428	cfx:CFV97608_1859
ko:K01673	cfx:CFV97608_1861
ko:K16052	cfx:CFV97608_1862
ko:K01736	cfx:CFV97608_1864
ko:K03685	cfx:CFV97608_1865
ko:K03469	cfx:CFV97608_1866
ko:K00566	cfx:CFV97608_1869
ko:K01687	cfx:CFV97608_1875
ko:K11751	cfx:CFV97608_1876
ko:K01937	cfx:CFV97608_1877
ko:K07462	cfx:CFV97608_1878
ko:K03313	cfx:CFV97608_1879
ko:K07075	cfx:CFV97608_1889
ko:K00290	cfx:CFV97608_0286
ko:K02909	cfx:CFV97608_0288
ko:K07056	cfx:CFV97608_0289
ko:K03218	cfx:CFV97608_0290
ko:K14261	cfx:CFV97608_0293
ko:K00003	cfx:CFV97608_0294
ko:K07460	cfx:CFV97608_0295
ko:K03671	cfx:CFV97608_0296
ko:K00384	cfx:CFV97608_0297
ko:K00215	cfx:CFV97608_0299
ko:K00764	cfx:CFV97608_0300
ko:K11755	cfx:CFV97608_0303
ko:K00826	cfx:CFV97608_0305
ko:K01821	cfx:CFV97608_0311
ko:K03564	cfx:CFV97608_0312
ko:K09765	cfx:CFV97608_0314
ko:K02372	cfx:CFV97608_0315
ko:K00677	cfx:CFV97608_0316
ko:K03544	cfx:CFV97608_0317
ko:K03569	cfx:CFV97608_0318
ko:K03570	cfx:CFV97608_0319
ko:K01955	cfx:CFV97608_0320
ko:K03813	cfx:CFV97608_0321
ko:K03406	cfx:CFV97608_0323
ko:K03787	cfx:CFV97608_0326
ko:K00748	cfx:CFV97608_0327
ko:K03624	cfx:CFV97608_0328
ko:K00145	cfx:CFV97608_0329
ko:K03269	cfx:CFV97608_0330
ko:K03415	cfx:CFV97608_0331
ko:K03407	cfx:CFV97608_0332
ko:K03408	cfx:CFV97608_0333
ko:K01079	cfx:CFV97608_0334
ko:K00616	cfx:CFV97608_0335
ko:K02669	cfx:CFV97608_0336
ko:K01878	cfx:CFV97608_1102
ko:K01588	cfx:CFV97608_1104
ko:K08303	cfx:CFV97608_1105
ko:K04486	cfx:CFV97608_1108
ko:K01915	cfx:CFV97608_1109
ko:K03781	cfx:CFV97608_1112
ko:K02014	cfx:CFV97608_1113
ko:K01338	cfx:CFV97608_1114
ko:K05807	cfx:CFV97608_1115
ko:K16850	cfx:CFV97608_1118
ko:K18333	cfx:CFV97608_1119
ko:K02429	cfx:CFV97608_1120
ko:K13626	cfx:CFV97608_1122
ko:K05808	cfx:CFV97608_1126
ko:K01270	cfx:CFV97608_1127
ko:K15257	cfx:CFV97608_1128
ko:K01916	cfx:CFV97608_1131
ko:K00912	cfx:CFV97608_1133
ko:K00930	cfx:CFV97608_1134
ko:K01733	cfx:CFV97608_1135
ko:K00979	cfx:CFV97608_1136
ko:K04084	cfx:CFV97608_1140
ko:K04043	cfx:CFV97608_1142
ko:K03687	cfx:CFV97608_1143
ko:K03705	cfx:CFV97608_1144
ko:K02400	cfx:CFV97608_1149
ko:K02956	cfx:CFV97608_1151
ko:K13735	cfx:CFV97608_1901
ko:K03168	cfx:CFV97608_1902
ko:K12049	cfx:CFV97608_1915
ko:K07491	cfx:CFV97608_1920
ko:K06159	cfx:CFV97608_1923
ko:K07226	cfx:CFV97608_1924
ko:K02014	cfx:CFV97608_1926
ko:K02015	cfx:CFV97608_1927
ko:K02013	cfx:CFV97608_1928
ko:K02016	cfx:CFV97608_1929
ko:K02390	cfx:CFV97608_1934
ko:K01778	cfx:CFV97608_1936
ko:K00859	cfx:CFV97608_1937
ko:K09022	cfx:CFV97608_1938
ko:K01933	cfx:CFV97608_1939
ko:K07001	cfx:CFV97608_1940
ko:K07478	cfx:CFV97608_1941
ko:K11065	cfx:CFV97608_1943
ko:K00762	cfx:CFV97608_1945
ko:K02838	cfx:CFV97608_1946
ko:K03075	cfx:CFV97608_1948
ko:K02313	cfx:CFV97608_0001
ko:K02338	cfx:CFV97608_0002
ko:K02470	cfx:CFV97608_0003
ko:K09457	cfx:CFV97608_0005
ko:K07023	cfx:CFV97608_0006
ko:K02390	cfx:CFV97608_0008
ko:K02389	cfx:CFV97608_0009
ko:K07552	cfx:CFV97608_0011
ko:K06207	cfx:CFV97608_0012
ko:K07133	cfx:CFV97608_0014
ko:K03470	cfx:CFV97608_0015
ko:K09799	cfx:CFV97608_0016
ko:K02010	cfx:CFV97608_0017
ko:K07126	cfx:CFV97608_0018
ko:K16264	cfx:CFV97608_0019
ko:K04069	cfx:CFV97608_0023
ko:K00573	cfx:CFV97608_0030
ko:K04564	cfx:CFV97608_0031
ko:K02946	cfx:CFV97608_0032
ko:K02906	cfx:CFV97608_0033
ko:K02926	cfx:CFV97608_0034
ko:K06173	cfx:CFV97608_0811
ko:K07091	cfx:CFV97608_0812
ko:K02654	cfx:CFV97608_0813
ko:K00806	cfx:CFV97608_0814
ko:K13038	cfx:CFV97608_0816
ko:K04042	cfx:CFV97608_0817
ko:K02419	cfx:CFV97608_0818
ko:K07088	cfx:CFV97608_0820
ko:K03517	cfx:CFV97608_0821
ko:K13888	cfx:CFV97608_0822
ko:K05685	cfx:CFV97608_0823
ko:K02238	cfx:CFV97608_0825
ko:K02484	cfx:CFV97608_0826
ko:K05516	cfx:CFV97608_0829
ko:K13640	cfx:CFV97608_0830
ko:K11105	cfx:CFV97608_0834
ko:K07090	cfx:CFV97608_0836
ko:K02108	cfx:CFV97608_0837
ko:K00788	cfx:CFV97608_0839
ko:K02434	cfx:CFV97608_0840
ko:K00057	cfx:CFV97608_0841
ko:K01207	cfx:CFV97608_0842
ko:K05786	cfx:CFV97608_0844
ko:K10010	cfx:CFV97608_0845
ko:K00995	cfx:CFV97608_0846
ko:K00076	cfx:CFV97608_0847
ko:K01714	cfx:CFV97608_0848
ko:K00254	cfx:CFV97608_0850
ko:K11085	cfx:CFV97608_0851
ko:K01883	cfx:CFV97608_0852
ko:K03980	cfx:CFV97608_0853
ko:K07491	cfx:CFV97608_0855
ko:K09860	cfx:CFV97608_1599
ko:K02469	cfx:CFV97608_1600
ko:K03789	cfx:CFV97608_1603
ko:K02242	cfx:CFV97608_1606
ko:K07286	cfx:CFV97608_1607
ko:K01821	cfx:CFV97608_1609
ko:K03596	cfx:CFV97608_1610
ko:K00948	cfx:CFV97608_1611
ko:K00609	cfx:CFV97608_1612
ko:K01465	cfx:CFV97608_1613
ko:K02456	cfx:CFV97608_1615
ko:K00566	cfx:CFV97608_1616
ko:K00127	cfx:CFV97608_1617
ko:K06966	cfx:CFV97608_1619
ko:K00266	cfx:CFV97608_1620
ko:K00265	cfx:CFV97608_1621
ko:K11752	cfx:CFV97608_1622
ko:K09748	cfx:CFV97608_1625
ko:K02834	cfx:CFV97608_1626
ko:K02519	cfx:CFV97608_1627
ko:K00872	cfx:CFV97608_1629
ko:K02535	cfx:CFV97608_1631
ko:K04517	cfx:CFV97608_1634
ko:K07277	cfx:CFV97608_1635
ko:K04773	cfx:CFV97608_1637
ko:K03786	cfx:CFV97608_1639
ko:K01262	cfx:CFV97608_1640
ko:K00950	cfx:CFV97608_1641
ko:K02404	cfx:CFV97608_1642
ko:K04562	cfx:CFV97608_1643
ko:K01934	cfx:CFV97608_0545
ko:K18682	cfx:CFV97608_0546
ko:K02237	cfx:CFV97608_0554
ko:K00833	cfx:CFV97608_0556
ko:K10773	cfx:CFV97608_0557
ko:K01624	cfx:CFV97608_0559
ko:K02557	cfx:CFV97608_0561
ko:K00013	cfx:CFV97608_0563
ko:K02406	cfx:CFV97608_0564
ko:K03086	cfx:CFV97608_0565
ko:K02392	cfx:CFV97608_0566
ko:K02392	cfx:CFV97608_0567
ko:K07243	cfx:CFV97608_0568
ko:K07230	cfx:CFV97608_0569
ko:K02004	cfx:CFV97608_0571
ko:K02004	cfx:CFV97608_0572
ko:K02003	cfx:CFV97608_0573
ko:K12251	cfx:CFV97608_0577
ko:K07043	cfx:CFV97608_0579
ko:K15738	cfx:CFV97608_0584
ko:K03308	cfx:CFV97608_0585
ko:K06013	cfx:CFV97608_0586
ko:K02493	cfx:CFV97608_0587
ko:K07107	cfx:CFV97608_0590
ko:K03320	cfx:CFV97608_0594
ko:K04752	cfx:CFV97608_0595
ko:K07075	cfx:CFV97608_1351
ko:K02029	cfx:CFV97608_1382
ko:K02028	cfx:CFV97608_1383
ko:K02030	cfx:CFV97608_1384
ko:K02030	cfx:CFV97608_1385
ko:K00788	cfx:CFV97608_1386
ko:K06153	cfx:CFV97608_1387
ko:K06921	cfx:CFV97608_1389
ko:K02337	cfx:CFV97608_1391
ko:K13821	cfx:CFV97608_1393
ko:K11928	cfx:CFV97608_1394
ko:K15876	cfx:CFV97608_1395
ko:K03385	cfx:CFV97608_1396
ko:K03152	cfx:CFV97608_1397
ko:K02356	cfx:CFV97608_1398
ko:K00058	cfx:CFV97608_1399
ko:K03637	cfx:CFV97608_0145
ko:K07792	cfx:CFV97608_0149
ko:K17938	cfx:CFV97608_0150
ko:K03303	cfx:CFV97608_0152
ko:K09004	cfx:CFV97608_0159
ko:K00330	cfx:CFV97608_0160
ko:K00331	cfx:CFV97608_0161
ko:K13378	cfx:CFV97608_0162
ko:K00334	cfx:CFV97608_0163
ko:K00337	cfx:CFV97608_0166
ko:K00338	cfx:CFV97608_0167
ko:K00339	cfx:CFV97608_0168
ko:K00340	cfx:CFV97608_0169
ko:K00341	cfx:CFV97608_0170
ko:K00342	cfx:CFV97608_0171
ko:K00343	cfx:CFV97608_0172
ko:K02009	cfx:CFV97608_0173
ko:K02007	cfx:CFV97608_0174
ko:K16915	cfx:CFV97608_0175
ko:K02008	cfx:CFV97608_0176
ko:K02006	cfx:CFV97608_0177
ko:K03168	cfx:CFV97608_0178
ko:K01012	cfx:CFV97608_0179
ko:K01647	cfx:CFV97608_0181
ko:K01082	cfx:CFV97608_0182
ko:K02397	cfx:CFV97608_0702
ko:K03466	cfx:CFV97608_0703
ko:K02523	cfx:CFV97608_0706
ko:K02492	cfx:CFV97608_0707
ko:K01881	cfx:CFV97608_0708
ko:K01649	cfx:CFV97608_0709
ko:K01749	cfx:CFV97608_0710
ko:K07058	cfx:CFV97608_0711
ko:K00104	cfx:CFV97608_0712
ko:K06213	cfx:CFV97608_0716
ko:K08077	cfx:CFV97608_0717
ko:K04078	cfx:CFV97608_0719
ko:K04077	cfx:CFV97608_0720
ko:K07738	cfx:CFV97608_0755
ko:K15633	cfx:CFV97608_1499
ko:K00059	cfx:CFV97608_1500
ko:K02078	cfx:CFV97608_1501
ko:K09458	cfx:CFV97608_1502
ko:K01962	cfx:CFV97608_1503
ko:K02836	cfx:CFV97608_1507
ko:K01918	cfx:CFV97608_1508
ko:K04075	cfx:CFV97608_1510
ko:K09778	cfx:CFV97608_1514
ko:K06168	cfx:CFV97608_1515
ko:K02600	cfx:CFV97608_1517
ko:K00012	cfx:CFV97608_1526
ko:K01784	cfx:CFV97608_1530
ko:K08679	cfx:CFV97608_1534
ko:K02474	cfx:CFV97608_1535
ko:K07501	cfx:CFV97608_1536
ko:K02841	cfx:CFV97608_1537
ko:K02517	cfx:CFV97608_1538
ko:K02849	cfx:CFV97608_1540
ko:K02844	cfx:CFV97608_1548
ko:K02040	cfx:CFV97608_0183
ko:K02037	cfx:CFV97608_0184
ko:K02038	cfx:CFV97608_0185
ko:K02036	cfx:CFV97608_0186
ko:K01585	cfx:CFV97608_0958
ko:K00640	cfx:CFV97608_0959
ko:K00812	cfx:CFV97608_0960
ko:K07093	cfx:CFV97608_0962
ko:K03839	cfx:CFV97608_0963
ko:K07795	cfx:CFV97608_0964
ko:K07794	cfx:CFV97608_0965
ko:K00177	cfx:CFV97608_0967
ko:K00175	cfx:CFV97608_0968
ko:K00174	cfx:CFV97608_0969
ko:K00176	cfx:CFV97608_0970
ko:K01902	cfx:CFV97608_0971
ko:K01903	cfx:CFV97608_0972
ko:K00024	cfx:CFV97608_0973
ko:K00031	cfx:CFV97608_0974
ko:K03304	cfx:CFV97608_0975
ko:K01091	cfx:CFV97608_0976
ko:K00135	cfx:CFV97608_0978
ko:K05601	cfx:CFV97608_0979
ko:K01740	cfx:CFV97608_0980
ko:K01738	cfx:CFV97608_0982
ko:K00997	cfx:CFV97608_0983
ko:K02415	cfx:CFV97608_0984
ko:K07082	cfx:CFV97608_0988
ko:K04651	cfx:CFV97608_0990
ko:K04655	cfx:CFV97608_0991
ko:K04654	cfx:CFV97608_0992
ko:K04653	cfx:CFV97608_0993
ko:K04652	cfx:CFV97608_0994
ko:K07722	cfx:CFV97608_0995
ko:K04656	cfx:CFV97608_0996
ko:K03605	cfx:CFV97608_0998
ko:K03620	cfx:CFV97608_0999
ko:K05922	cfx:CFV97608_1000
ko:K01953	cfx:CFV97608_1744
ko:K09726	cfx:CFV97608_1745
ko:K00860	cfx:CFV97608_1754
ko:K07010	cfx:CFV97608_1758
ko:K15894	cfx:CFV97608_1760
ko:K15896	cfx:CFV97608_1761
ko:K02406	cfx:CFV97608_1762
ko:K02406	cfx:CFV97608_1763
ko:K03498	cfx:CFV97608_1768
ko:K03499	cfx:CFV97608_1769
ko:K07791	cfx:CFV97608_1771
ko:K03406	cfx:CFV97608_1772
ko:K03611	cfx:CFV97608_1773
ko:K03561	cfx:CFV97608_1776
ko:K03559	cfx:CFV97608_1777
ko:K03832	cfx:CFV97608_1778
ko:K02035	cfx:CFV97608_1779
ko:K02033	cfx:CFV97608_1780
ko:K02034	cfx:CFV97608_1781
ko:K03893	cfx:CFV97608_1784
ko:K03186	cfx:CFV97608_1789
ko:K00018	cfx:CFV97608_1790
ko:K09767	cfx:CFV97608_1791
ko:K03673	cfx:CFV97608_1792
ko:K01897	cfx:CFV97608_1795
ko:K06076	cfx:CFV97608_1796
ko:K01980	cfx:CFV97608_0552
ko:K14228	cfx:CFV97608_1952
ko:K14218	cfx:CFV97608_1954
ko:K14233	cfx:CFV97608_0144
ko:K01977	cfx:CFV97608_0550
ko:K01977	cfx:CFV97608_0638
ko:K01980	cfx:CFV97608_0640
ko:K03789	cfx:CFV97608_0190
ko:K10747	cfx:CFV97608_1533
ko:K18138	cfx:CFV97608_0120
ko:K00335	cfx:CFV97608_0164
ko:K00335	cfx:CFV97608_1766
ko:K03195	cfx:CFV97608_1914
ko:K03526	cfx:CFV97608_1041
ko:K18992	cfx:CFV97608_0122
ko:K03205	cfx:CFV97608_1908
ko:K03111	cfx:CFV97608_1184
ko:K03201	cfx:CFV97608_a0005
ko:K03203	cfx:CFV97608_a0007
ko:K03204	cfx:CFV97608_a0008
ko:K03205	cfx:CFV97608_a0011
ko:K03205	cfx:CFV97608_a0012
ko:K03111	cfx:CFV97608_a0020
ko:K03194	cfx:CFV97608_b0009
ko:K03205	cfx:CFV97608_b0014
ko:K03496	cfx:CFV97608_1288
ko:K03169	cfx:CFV97608_1360
ko:K03205	cfx:CFV97608_1366
ko:K03196	cfx:CFV97608_1367
ko:K03204	cfx:CFV97608_1369
ko:K03203	cfx:CFV97608_1372
ko:K03201	cfx:CFV97608_1374
ko:K04565	cfx:CFV97608_1470
ko:K00662	cfx:CFV97608_1601
ko:K03497	cfx:CFV97608_1665
ko:K03496	cfx:CFV97608_1666
ko:K09797	cfx:CFV97608_1871
ko:K03111	cfx:CFV97608_1884
ko:K03203	cfx:CFV97608_1916
ko:K11015	cfx:CFV97608_0024
ko:K17251	cfx:CFV97608_1521
ko:K07097	cfx:CFV97608_1148
ko:K07326	cfx:CFV97608_0810
ko:K00354	cfx:CFV97608_0664
ko:K15461	cfx:CFV97608_1260
ko:K00557	cfx:CFV97608_1034
ko:K19157	cfx:CFV97608_0515
ko:K15912	cfx:CFV97608_1493
ko:K15913	cfx:CFV97608_1518
ko:K15914	cfx:CFV97608_1520
ko:K15915	cfx:CFV97608_1519
ko:K19157	cfx:CFV97608_b0027
ko:K17249	cfx:CFV97608_1523
ko:K17249	cfx:CFV97608_1524
ko:K00525	cfx:CFV97608_1983
ko:K22468	cfx:CFV97608_1141
ko:K15910	cfx:CFV97608_1494
ko:K11014	cfx:CFV97608_0025
ko:K11013	cfx:CFV97608_0026
ko:K11014	cfx:CFV97608_1013
ko:K11013	cfx:CFV97608_1014
ko:K04771	cfx:CFV97608_0828
ko:K19091	cfx:CFV97608_1589
ko:K00336	cfx:CFV97608_0165
ko:K06867	cfx:CFV97608_1111
ko:K07496	cfx:CFV97608_1911
ko:K07496	cfx:CFV97608_1921
ko:K07496	cfx:CFV97608_a0028
ko:K07496	cfx:CFV97608_a0038
ko:K07496	cfx:CFV97608_b0012
ko:K07496	cfx:CFV97608_b0019
ko:K07496	cfx:CFV97608_0474
ko:K07496	cfx:CFV97608_b0032
ko:K07496	cfx:CFV97608_0522
ko:K07496	cfx:CFV97608_0619
ko:K07496	cfx:CFV97608_0833
ko:K07496	cfx:CFV97608_0856
ko:K07496	cfx:CFV97608_1686
ko:K07496	cfx:CFV97608_0141
ko:K01992	cfx:CFV97608_0264
ko:K01990	cfx:CFV97608_0447
ko:K06867	cfx:CFV97608_1036
ko:K07218	cfx:CFV97608_0442
ko:K07344	cfx:CFV97608_b0004
ko:K12053	cfx:CFV97608_1894
ko:K09690	cfx:CFV97608_0539
ko:K15830	cfx:CFV97608_0129
ko:K12137	cfx:CFV97608_0133
ko:K21636	cfx:CFV97608_0020
ko:K08325	cfx:CFV97608_1437
ko:K09796	cfx:CFV97608_1717
ko:K20266	cfx:CFV97608_b0002
ko:K20810	cfx:CFV97608_1638
ko:K14227	cfx:CFV97608_0639
ko:K09691	cfx:CFV97608_0538
ko:K14225	cfx:CFV97608_1467
ko:K14225	cfx:CFV97608_0954
ko:K14225	cfx:CFV97608_1953
ko:K14231	cfx:CFV97608_1496
ko:K14232	cfx:CFV97608_1811
ko:K14233	cfx:CFV97608_1471
ko:K14233	cfx:CFV97608_1950
ko:K14220	cfx:CFV97608_0208
ko:K14220	cfx:CFV97608_1592
ko:K14229	cfx:CFV97608_0643
ko:K14229	cfx:CFV97608_0646
ko:K14237	cfx:CFV97608_0644
ko:K14237	cfx:CFV97608_0648
ko:K14221	cfx:CFV97608_0645
ko:K14221	cfx:CFV97608_0649
ko:K14224	cfx:CFV97608_0647
ko:K14224	cfx:CFV97608_0651
ko:K14224	cfx:CFV97608_1799
ko:K14228	cfx:CFV97608_1433
ko:K14228	cfx:CFV97608_1807
ko:K14219	cfx:CFV97608_1107
ko:K14219	cfx:CFV97608_1451
ko:K14219	cfx:CFV97608_1808
ko:K14219	cfx:CFV97608_1809
ko:K14230	cfx:CFV97608_1380
ko:K14230	cfx:CFV97608_1591
ko:K14230	cfx:CFV97608_1932
ko:K14235	cfx:CFV97608_1463
ko:K14234	cfx:CFV97608_1466
ko:K14234	cfx:CFV97608_1469
ko:K14236	cfx:CFV97608_1468
ko:K14223	cfx:CFV97608_1590
ko:K20531	cfx:CFV97608_b0005
ko:K20532	cfx:CFV97608_b0006
ko:K20533	cfx:CFV97608_b0008
ko:K12052	cfx:CFV97608_1904
ko:K20534	cfx:CFV97608_1527
ko:K16299	cfx:CFV97608_0511
ko:K03197	cfx:CFV97608_a0002
ko:K03200	cfx:CFV97608_a0004
ko:K03200	cfx:CFV97608_1375
ko:K03197	cfx:CFV97608_1377
ko:K03195	cfx:CFV97608_a0009
ko:K03199	cfx:CFV97608_1376
ko:K03195	cfx:CFV97608_1368
ko:K07100	cfx:CFV97608_1409
ko:K01023	cfx:CFV97608_0436
ko:K00821	cfx:CFV97608_0986
ko:K02335	cfx:CFV97608_0231
ko:K03465	cfx:CFV97608_1963
ko:K06223	cfx:CFV97608_0463
ko:K06223	cfx:CFV97608_1340
ko:K06223	cfx:CFV97608_0726
ko:K03462	cfx:CFV97608_0021
ko:K03553	cfx:CFV97608_0204
ko:K02314	cfx:CFV97608_1040
ko:K02316	cfx:CFV97608_1868
ko:K14059	cfx:CFV97608_1880
ko:K02483	cfx:CFV97608_1187
ko:K02483	cfx:CFV97608_0827
ko:K00526	cfx:CFV97608_0028
ko:K02481	cfx:CFV97608_1597
ko:K02032	cfx:CFV97608_1783
ko:K02031	cfx:CFV97608_1782
ko:K16300	cfx:CFV97608_0510
ko:K01139	cfx:CFV97608_1264
ko:K07005	cfx:CFV97608_1969
ko:K02483	cfx:CFV97608_0452
ko:K02483	cfx:CFV97608_0244
ko:K21420	cfx:CFV97608_0697
ko:K01420	cfx:CFV97608_0428
ko:K10026	cfx:CFV97608_0224
ko:K21929	cfx:CFV97608_0592
ko:K03595	cfx:CFV97608_1060
ko:K14441	cfx:CFV97608_1509
ko:K22391	cfx:CFV97608_1101
ko:K22397	cfx:CFV97608_1117
ko:K17758	cfx:CFV97608_1814
ko:K17759	cfx:CFV97608_1814
ko:K22424	cfx:CFV97608_1757
