ko:K02495	eld:i02_4409
ko:K13735	eld:i02_2250
ko:K01241	eld:i02_2253
ko:K13635	eld:i02_2257
ko:K11905	eld:i02_3124
ko:K11911	eld:i02_3125
ko:K14155	eld:i02_3129
ko:K01448	eld:i02_3133
ko:K14682	eld:i02_3134
ko:K03581	eld:i02_3135
ko:K03582	eld:i02_3136
ko:K01407	eld:i02_3137
ko:K03583	eld:i02_3138
ko:K02681	eld:i02_3139
ko:K02680	eld:i02_3141
ko:K02679	eld:i02_3142
ko:K13292	eld:i02_3144
ko:K08484	eld:i02_3145
ko:K08311	eld:i02_3146
ko:K03573	eld:i02_3147
ko:K08227	eld:i02_3151
ko:K05939	eld:i02_3152
ko:K02529	eld:i02_3153
ko:K01586	eld:i02_3154
ko:K01815	eld:i02_3159
ko:K13480	eld:i02_3165
ko:K01751	eld:i02_3168
ko:K01464	eld:i02_3170
ko:K00926	eld:i02_3171
ko:K07402	eld:i02_3172
ko:K07141	eld:i02_3174
ko:K12527	eld:i02_3175
ko:K12529	eld:i02_3177
ko:K12528	eld:i02_3178
ko:K07726	eld:i02_4042
ko:K03704	eld:i02_4043
ko:K01879	eld:i02_4045
ko:K01878	eld:i02_4046
ko:K01805	eld:i02_4052
ko:K10543	eld:i02_4053
ko:K10545	eld:i02_4054
ko:K02529	eld:i02_4056
ko:K00835	eld:i02_4060
ko:K08092	eld:i02_4063
ko:K00880	eld:i02_4069
ko:K00138	eld:i02_4073
ko:K13954	eld:i02_4075
ko:K03833	eld:i02_4076
ko:K01042	eld:i02_4077
ko:K00009	eld:i02_4082
ko:K02562	eld:i02_4083
ko:K14762	eld:i02_4085
ko:K00427	eld:i02_4089
ko:K14348	eld:i02_4090
ko:K03216	eld:i02_4092
ko:K00640	eld:i02_4093
ko:K00057	eld:i02_4094
ko:K03071	eld:i02_4096
ko:K04080	eld:i02_4200
ko:K01684	eld:i02_4206
ko:K01631	eld:i02_4207
ko:K00883	eld:i02_4208
ko:K00526	eld:i02_2576
ko:K07001	eld:i02_0278
ko:K02016	eld:i02_0287
ko:K02015	eld:i02_0288
ko:K02013	eld:i02_0289
ko:K12972	eld:i02_1181
ko:K06214	eld:i02_1185
ko:K04338	eld:i02_1186
ko:K04337	eld:i02_1187
ko:K04335	eld:i02_1191
ko:K04334	eld:i02_1192
ko:K04336	eld:i02_1193
ko:K11941	eld:i02_1197
ko:K03670	eld:i02_1199
ko:K03669	eld:i02_1200
ko:K12147	eld:i02_1203
ko:K02517	eld:i02_1205
ko:K07146	eld:i02_1206
ko:K02846	eld:i02_1211
ko:K12148	eld:i02_1212
ko:K12149	eld:i02_1213
ko:K01465	eld:i02_1214
ko:K03675	eld:i02_1216
ko:K08162	eld:i02_1217
ko:K03790	eld:i02_1218
ko:K09915	eld:i02_1219
ko:K03980	eld:i02_1222
ko:K02399	eld:i02_1223
ko:K02398	eld:i02_1224
ko:K02386	eld:i02_1225
ko:K02387	eld:i02_1226
ko:K02388	eld:i02_1227
ko:K02389	eld:i02_1228
ko:K02390	eld:i02_1229
ko:K02391	eld:i02_1230
ko:K02392	eld:i02_1231
ko:K02393	eld:i02_1232
ko:K02394	eld:i02_1233
ko:K02395	eld:i02_1234
ko:K15256	eld:i02_2100
ko:K15257	eld:i02_2101
ko:K07821	eld:i02_2104
ko:K09907	eld:i02_2107
ko:K01887	eld:i02_2108
ko:K03516	eld:i02_2109
ko:K02400	eld:i02_2110
ko:K02401	eld:i02_2111
ko:K03414	eld:i02_2113
ko:K03413	eld:i02_2114
ko:K03412	eld:i02_2115
ko:K03408	eld:i02_2120
ko:K03407	eld:i02_2121
ko:K02557	eld:i02_2122
ko:K02556	eld:i02_2123
ko:K02402	eld:i02_2124
ko:K02403	eld:i02_2125
ko:K14064	eld:i02_2126
ko:K00697	eld:i02_2127
ko:K01087	eld:i02_2128
ko:K10538	eld:i02_2129
ko:K10539	eld:i02_2130
ko:K10537	eld:i02_2131
ko:K02255	eld:i02_2132
ko:K02217	eld:i02_2137
ko:K03834	eld:i02_2139
ko:K07039	eld:i02_2140
ko:K00995	eld:i02_2141
ko:K03703	eld:i02_2142
ko:K07689	eld:i02_2143
ko:K10010	eld:i02_2147
ko:K10009	eld:i02_2148
ko:K02424	eld:i02_2150
ko:K02425	eld:i02_2151
ko:K02405	eld:i02_2152
ko:K15830	eld:i02_3010
ko:K15829	eld:i02_3011
ko:K15828	eld:i02_3012
ko:K15827	eld:i02_3013
ko:K15833	eld:i02_3014
ko:K04651	eld:i02_3015
ko:K04653	eld:i02_3017
ko:K04654	eld:i02_3018
ko:K15836	eld:i02_3020
ko:K03555	eld:i02_3023
ko:K07314	eld:i02_3024
ko:K06194	eld:i02_3035
ko:K00573	eld:i02_3037
ko:K03787	eld:i02_3038
ko:K06176	eld:i02_3039
ko:K01770	eld:i02_3040
ko:K00991	eld:i02_3041
ko:K05589	eld:i02_3042
ko:K00860	eld:i02_3044
ko:K00287	eld:i02_0050
ko:K00957	eld:i02_3046
ko:K09612	eld:i02_3047
ko:K00390	eld:i02_3048
ko:K00381	eld:i02_3049
ko:K01737	eld:i02_3051
ko:K00313	eld:i02_3052
ko:K10026	eld:i02_3062
ko:K03744	eld:i02_3064
ko:K03089	eld:i02_3924
ko:K09811	eld:i02_3925
ko:K09812	eld:i02_3926
ko:K03110	eld:i02_3927
ko:K08993	eld:i02_3929
ko:K01534	eld:i02_3932
ko:K09125	eld:i02_3934
ko:K06133	eld:i02_3938
ko:K15584	eld:i02_3939
ko:K15585	eld:i02_3940
ko:K15586	eld:i02_3941
ko:K15587	eld:i02_3942
ko:K10824	eld:i02_3943
ko:K07722	eld:i02_3944
ko:K02773	eld:i02_3947
ko:K02774	eld:i02_3948
ko:K13926	eld:i02_3955
ko:K01993	eld:i02_3956
ko:K07007	eld:i02_3959
ko:K06144	eld:i02_3961
ko:K03305	eld:i02_3964
ko:K15984	eld:i02_3965
ko:K01414	eld:i02_3966
ko:K07115	eld:i02_3967
ko:K07285	eld:i02_3973
ko:K07225	eld:i02_3976
ko:K02016	eld:i02_3981
ko:K01682	eld:i02_0134
ko:K09910	eld:i02_0135
ko:K01611	eld:i02_0136
ko:K00797	eld:i02_0137
ko:K14588	eld:i02_0139
ko:K00117	eld:i02_0140
ko:K00760	eld:i02_0141
ko:K01673	eld:i02_0142
ko:K01579	eld:i02_0147
ko:K01918	eld:i02_0151
ko:K00606	eld:i02_0152
ko:K00950	eld:i02_0160
ko:K01894	eld:i02_0162
ko:K06204	eld:i02_0163
ko:K06206	eld:i02_0164
ko:K01975	eld:i02_0165
ko:K03579	eld:i02_0166
ko:K05365	eld:i02_0168
ko:K02013	eld:i02_0171
ko:K02016	eld:i02_0172
ko:K02015	eld:i02_0173
ko:K01845	eld:i02_0174
ko:K03281	eld:i02_0175
ko:K15724	eld:i02_0176
ko:K01129	eld:i02_0181
ko:K02647	eld:i02_0183
ko:K00990	eld:i02_0186
ko:K01265	eld:i02_0187
ko:K02967	eld:i02_0188
ko:K07243	eld:i02_1055
ko:K07224	eld:i02_1056
ko:K11937	eld:i02_1060
ko:K11936	eld:i02_1061
ko:K11931	eld:i02_1062
ko:K11935	eld:i02_1063
ko:K07733	eld:i02_1069
ko:K14155	eld:i02_1074
ko:K09458	eld:i02_1079
ko:K07107	eld:i02_1086
ko:K02078	eld:i02_1092
ko:K02078	eld:i02_1093
ko:K01626	eld:i02_1114
ko:K04045	eld:i02_1983
ko:K01008	eld:i02_1986
ko:K04773	eld:i02_1989
ko:K08281	eld:i02_1991
ko:K08369	eld:i02_1992
ko:K08369	eld:i02_1998
ko:K09916	eld:i02_2001
ko:K00134	eld:i02_2003
ko:K01792	eld:i02_2004
ko:K07180	eld:i02_2007
ko:K09786	eld:i02_2008
ko:K03449	eld:i02_2015
ko:K09712	eld:i02_2017
ko:K13069	eld:i02_2018
ko:K11250	eld:i02_2025
ko:K03684	eld:i02_2028
ko:K07285	eld:i02_2030
ko:K01665	eld:i02_2037
ko:K01752	eld:i02_2039
ko:K03672	eld:i02_2903
ko:K00998	eld:i02_2906
ko:K05811	eld:i02_2907
ko:K03695	eld:i02_2911
ko:K05810	eld:i02_2912
ko:K06180	eld:i02_2913
ko:K05807	eld:i02_2914
ko:K05809	eld:i02_2915
ko:K14170	eld:i02_2916
ko:K14187	eld:i02_2917
ko:K01626	eld:i02_2918
ko:K02884	eld:i02_2923
ko:K00554	eld:i02_2924
ko:K02860	eld:i02_2925
ko:K02959	eld:i02_2926
ko:K03106	eld:i02_2927
ko:K03687	eld:i02_2930
ko:K00858	eld:i02_2932
ko:K03631	eld:i02_2933
ko:K06186	eld:i02_2934
ko:K09801	eld:i02_2935
ko:K03664	eld:i02_2937
ko:K15737	eld:i02_2938
ko:K15736	eld:i02_2939
ko:K11735	eld:i02_2942
ko:K15735	eld:i02_2943
ko:K00375	eld:i02_2954
ko:K06141	eld:i02_3811
ko:K00362	eld:i02_3813
ko:K00363	eld:i02_3814
ko:K02598	eld:i02_3815
ko:K02302	eld:i02_3816
ko:K01867	eld:i02_3826
ko:K01091	eld:i02_3827
ko:K01783	eld:i02_3828
ko:K03112	eld:i02_3830
ko:K01735	eld:i02_3831
ko:K00891	eld:i02_3832
ko:K02507	eld:i02_3833
ko:K12291	eld:i02_3834
ko:K12290	eld:i02_3835
ko:K12289	eld:i02_3836
ko:K12288	eld:i02_3837
ko:K05366	eld:i02_3838
ko:K08312	eld:i02_3839
ko:K04762	eld:i02_3843
ko:K04083	eld:i02_3844
ko:K01610	eld:i02_3847
ko:K07726	eld:i02_3850
ko:K07638	eld:i02_3851
ko:K07659	eld:i02_3852
ko:K04760	eld:i02_3854
ko:K06959	eld:i02_3855
ko:K04758	eld:i02_3856
ko:K04759	eld:i02_3857
ko:K07490	eld:i02_3858
ko:K02170	eld:i02_3860
ko:K07400	eld:i02_3862
ko:K06155	eld:i02_3863
ko:K00705	eld:i02_3864
ko:K00688	eld:i02_3865
ko:K03556	eld:i02_3867
ko:K01953	eld:i02_0718
ko:K02565	eld:i02_0720
ko:K01443	eld:i02_0721
ko:K02802	eld:i02_0724
ko:K02803	eld:i02_0724
ko:K02804	eld:i02_0724
ko:K01714	eld:i02_0731
ko:K01886	eld:i02_0736
ko:K03839	eld:i02_0740
ko:K03645	eld:i02_0743
ko:K01581	eld:i02_0746
ko:K07667	eld:i02_0750
ko:K07646	eld:i02_0751
ko:K01548	eld:i02_0752
ko:K01547	eld:i02_0753
ko:K01546	eld:i02_0754
ko:K01669	eld:i02_0758
ko:K03305	eld:i02_0759
ko:K07160	eld:i02_0763
ko:K01647	eld:i02_0767
ko:K00242	eld:i02_0770
ko:K00239	eld:i02_0771
ko:K00240	eld:i02_0772
ko:K03639	eld:i02_0828
ko:K03638	eld:i02_0829
ko:K03637	eld:i02_0831
ko:K03636	eld:i02_0832
ko:K06890	eld:i02_0834
ko:K06890	eld:i02_0836
ko:K01993	eld:i02_0844
ko:K11927	eld:i02_0846
ko:K13574	eld:i02_0850
ko:K13650	eld:i02_0855
ko:K10037	eld:i02_0859
ko:K10036	eld:i02_0860
ko:K04047	eld:i02_0862
ko:K11939	eld:i02_0863
ko:K11934	eld:i02_0864
ko:K11924	eld:i02_0867
ko:K00656	eld:i02_0872
ko:K04069	eld:i02_0873
ko:K03750	eld:i02_0876
ko:K13051	eld:i02_0877
ko:K13892	eld:i02_0878
ko:K13889	eld:i02_0879
ko:K13890	eld:i02_0880
ko:K13891	eld:i02_0881
ko:K07345	eld:i02_1758
ko:K07154	eld:i02_1761
ko:K03313	eld:i02_0018
ko:K03717	eld:i02_0019
ko:K02968	eld:i02_0021
ko:K11753	eld:i02_0023
ko:K01870	eld:i02_0024
ko:K03101	eld:i02_0025
ko:K03774	eld:i02_0026
ko:K03527	eld:i02_0027
ko:K00215	eld:i02_0030
ko:K01956	eld:i02_0033
ko:K01955	eld:i02_0034
ko:K08277	eld:i02_0036
ko:K02182	eld:i02_0039
ko:K08298	eld:i02_0040
ko:K08297	eld:i02_0041
ko:K05245	eld:i02_0042
ko:K03521	eld:i02_0043
ko:K03522	eld:i02_0044
ko:K00313	eld:i02_0045
ko:K08368	eld:i02_0047
ko:K11746	eld:i02_0048
ko:K06195	eld:i02_0054
ko:K02528	eld:i02_0055
ko:K00097	eld:i02_0056
ko:K03771	eld:i02_0057
ko:K04744	eld:i02_0058
ko:K05801	eld:i02_0059
ko:K03580	eld:i02_0061
ko:K02336	eld:i02_0062
ko:K01804	eld:i02_0064
ko:K02063	eld:i02_0073
ko:K02064	eld:i02_0074
ko:K03466	eld:i02_0941
ko:K03634	eld:i02_0942
ko:K07478	eld:i02_0943
ko:K01875	eld:i02_0944
ko:K07306	eld:i02_0945
ko:K08219	eld:i02_0950
ko:K04069	eld:i02_0951
ko:K00656	eld:i02_0952
ko:K09136	eld:i02_0955
ko:K00831	eld:i02_0957
ko:K00800	eld:i02_0958
ko:K07387	eld:i02_0959
ko:K00945	eld:i02_0960
ko:K02945	eld:i02_0961
ko:K05788	eld:i02_0962
ko:K00912	eld:i02_0965
ko:K09927	eld:i02_0966
ko:K09791	eld:i02_0967
ko:K00979	eld:i02_0968
ko:K06219	eld:i02_0972
ko:K03633	eld:i02_0973
ko:K03804	eld:i02_0974
ko:K03632	eld:i02_0975
ko:K01893	eld:i02_0981
ko:K00763	eld:i02_0982
ko:K01256	eld:i02_0983
ko:K15554	eld:i02_0985
ko:K15553	eld:i02_0987
ko:K00299	eld:i02_0988
ko:K07140	eld:i02_0991
ko:K12297	eld:i02_0992
ko:K15738	eld:i02_0993
ko:K03808	eld:i02_0994
ko:K06192	eld:i02_0995
ko:K09857	eld:i02_0996
ko:K01716	eld:i02_0998
ko:K04564	eld:i02_1872
ko:K00574	eld:i02_1878
ko:K00793	eld:i02_1879
ko:K03327	eld:i02_1880
ko:K08354	eld:i02_1886
ko:K00873	eld:i02_1893
ko:K02426	eld:i02_1896
ko:K11717	eld:i02_1897
ko:K09015	eld:i02_1898
ko:K09013	eld:i02_1899
ko:K09014	eld:i02_1900
ko:K05997	eld:i02_1901
ko:K05887	eld:i02_1909
ko:K03785	eld:i02_1910
ko:K00313	eld:i02_1917
ko:K12507	eld:i02_1919
ko:K09773	eld:i02_1921
ko:K01626	eld:i02_1922
ko:K12945	eld:i02_2789
ko:K07674	eld:i02_2791
ko:K06999	eld:i02_2797
ko:K06957	eld:i02_2798
ko:K01923	eld:i02_2800
ko:K07287	eld:i02_2801
ko:K01714	eld:i02_2802
ko:K03567	eld:i02_2803
ko:K03564	eld:i02_2804
ko:K10763	eld:i02_2809
ko:K00761	eld:i02_2811
ko:K01933	eld:i02_2813
ko:K11175	eld:i02_2814
ko:K00937	eld:i02_2815
ko:K01524	eld:i02_2816
ko:K01951	eld:i02_2822
ko:K03601	eld:i02_2824
ko:K13735	eld:i02_2827
ko:K03977	eld:i02_2829
ko:K01892	eld:i02_2832
ko:K15539	eld:i02_2834
ko:K06941	eld:i02_2835
ko:K00940	eld:i02_2836
ko:K05367	eld:i02_2837
ko:K06894	eld:i02_2838
ko:K07751	eld:i02_2843
ko:K04755	eld:i02_2845
ko:K14392	eld:i02_3705
ko:K02687	eld:i02_3706
ko:K03557	eld:i02_3709
ko:K09969	eld:i02_3717
ko:K09970	eld:i02_3718
ko:K09971	eld:i02_3719
ko:K09972	eld:i02_3720
ko:K00014	eld:i02_3724
ko:K07566	eld:i02_3725
ko:K07479	eld:i02_3726
ko:K04096	eld:i02_3728
ko:K01462	eld:i02_3729
ko:K00604	eld:i02_3730
ko:K03500	eld:i02_3731
ko:K03282	eld:i02_3733
ko:K09890	eld:i02_3734
ko:K02879	eld:i02_3737
ko:K03040	eld:i02_3738
ko:K02986	eld:i02_3739
ko:K02948	eld:i02_3740
ko:K02952	eld:i02_3741
ko:K02919	eld:i02_3742
ko:K03076	eld:i02_3743
ko:K02876	eld:i02_3744
ko:K02907	eld:i02_3745
ko:K02988	eld:i02_3746
ko:K02881	eld:i02_3747
ko:K02933	eld:i02_3748
ko:K02994	eld:i02_3750
ko:K02954	eld:i02_3751
ko:K02931	eld:i02_3752
ko:K02895	eld:i02_3753
ko:K00926	eld:i02_0611
ko:K01589	eld:i02_0612
ko:K01588	eld:i02_0613
ko:K03269	eld:i02_0615
ko:K01883	eld:i02_0617
ko:K01491	eld:i02_0620
ko:K11739	eld:i02_0628
ko:K11740	eld:i02_0629
ko:K07644	eld:i02_0630
ko:K07798	eld:i02_0634
ko:K07787	eld:i02_0635
ko:K11732	eld:i02_0636
ko:K10679	eld:i02_0638
ko:K06048	eld:i02_0641
ko:K02362	eld:i02_0643
ko:K02364	eld:i02_0647
ko:K02013	eld:i02_0649
ko:K02015	eld:i02_0650
ko:K02015	eld:i02_0651
ko:K02016	eld:i02_0653
ko:K02361	eld:i02_0654
ko:K02363	eld:i02_0655
ko:K01252	eld:i02_0656
ko:K00216	eld:i02_0657
ko:K06200	eld:i02_0659
ko:K08317	eld:i02_0661
ko:K14287	eld:i02_0662
ko:K01433	eld:i02_1527
ko:K09858	eld:i02_1528
ko:K07001	eld:i02_1529
ko:K00963	eld:i02_1531
ko:K04072	eld:i02_1537
ko:K15580	eld:i02_1540
ko:K15581	eld:i02_1541
ko:K09901	eld:i02_1545
ko:K06131	eld:i02_1546
ko:K10716	eld:i02_1548
ko:K09780	eld:i02_1549
ko:K03832	eld:i02_1550
ko:K10806	eld:i02_1551
ko:K06190	eld:i02_1552
ko:K07275	eld:i02_1554
ko:K01695	eld:i02_1557
ko:K01696	eld:i02_1558
ko:K13498	eld:i02_1559
ko:K13497	eld:i02_1560
ko:K01657	eld:i02_1561
ko:K07053	eld:i02_1562
ko:K06178	eld:i02_1565
ko:K03168	eld:i02_1571
ko:K13634	eld:i02_1572
ko:K01681	eld:i02_1575
ko:K03113	eld:i02_1581
ko:K02478	eld:i02_2454
ko:K05846	eld:i02_2456
ko:K05847	eld:i02_2457
ko:K05846	eld:i02_2458
ko:K05845	eld:i02_2459
ko:K05349	eld:i02_2463
ko:K03777	eld:i02_2464
ko:K07262	eld:i02_2465
ko:K05541	eld:i02_2471
ko:K10542	eld:i02_2482
ko:K02529	eld:i02_2484
ko:K07148	eld:i02_2486
ko:K01495	eld:i02_2487
ko:K01070	eld:i02_2488
ko:K11733	eld:i02_2490
ko:K01151	eld:i02_2493
ko:K10213	eld:i02_2497
ko:K02769	eld:i02_2502
ko:K02770	eld:i02_2502
ko:K02768	eld:i02_2504
ko:K11183	eld:i02_2504
ko:K03291	eld:i02_2506
ko:K06940	eld:i02_2507
ko:K02356	eld:i02_2508
ko:K06041	eld:i02_3368
ko:K10107	eld:i02_3369
ko:K00979	eld:i02_3371
ko:K07266	eld:i02_3372
ko:K07265	eld:i02_3373
ko:K09689	eld:i02_3377
ko:K09688	eld:i02_3378
ko:K02462	eld:i02_3379
ko:K02461	eld:i02_3380
ko:K02460	eld:i02_3381
ko:K02459	eld:i02_3382
ko:K02458	eld:i02_3383
ko:K02457	eld:i02_3384
ko:K02456	eld:i02_3385
ko:K02455	eld:i02_3386
ko:K02453	eld:i02_3388
ko:K02452	eld:i02_3389
ko:K02654	eld:i02_3391
ko:K10939	eld:i02_3392
ko:K01638	eld:i02_3396
ko:K11477	eld:i02_3397
ko:K11473	eld:i02_3398
ko:K11472	eld:i02_3399
ko:K11474	eld:i02_3401
ko:K11720	eld:i02_3407
ko:K01460	eld:i02_3416
ko:K02529	eld:i02_4272
ko:K09897	eld:i02_4277
ko:K07391	eld:i02_4279
ko:K01652	eld:i02_4281
ko:K11258	eld:i02_4282
ko:K00826	eld:i02_4283
ko:K01687	eld:i02_4284
ko:K01754	eld:i02_4285
ko:K02521	eld:i02_4286
ko:K00053	eld:i02_4287
ko:K03656	eld:i02_4289
ko:K01524	eld:i02_4290
ko:K03732	eld:i02_4292
ko:K03671	eld:i02_4293
ko:K03628	eld:i02_4295
ko:K05790	eld:i02_4298
ko:K02472	eld:i02_4300
ko:K00973	eld:i02_4302
ko:K02805	eld:i02_4304
ko:K05591	eld:i02_1642
ko:K14058	eld:i02_1643
ko:K03737	eld:i02_1648
ko:K03778	eld:i02_1652
ko:K09978	eld:i02_1655
ko:K00981	eld:i02_1660
ko:K01118	eld:i02_1663
ko:K03578	eld:i02_1664
ko:K07248	eld:i02_1666
ko:K00134	eld:i02_1667
ko:K09794	eld:i02_1674
ko:K03817	eld:i02_1675
ko:K03304	eld:i02_1677
ko:K05782	eld:i02_1681
ko:K08303	eld:i02_1683
ko:K02053	eld:i02_1691
ko:K00137	eld:i02_1692
ko:K09936	eld:i02_1697
ko:K03823	eld:i02_1698
ko:K06894	eld:i02_2568
ko:K09934	eld:i02_2569
ko:K02469	eld:i02_2571
ko:K11107	eld:i02_2577
ko:K01126	eld:i02_2579
ko:K02445	eld:i02_2580
ko:K00111	eld:i02_2581
ko:K00112	eld:i02_2582
ko:K00113	eld:i02_2583
ko:K12660	eld:i02_2586
ko:K12661	eld:i02_2588
ko:K07806	eld:i02_2594
ko:K10012	eld:i02_2595
ko:K10011	eld:i02_2596
ko:K13014	eld:i02_2597
ko:K07264	eld:i02_2598
ko:K12962	eld:i02_2599
ko:K12963	eld:i02_2600
ko:K01911	eld:i02_2602
ko:K01661	eld:i02_2604
ko:K02551	eld:i02_2607
ko:K05594	eld:i02_2609
ko:K00343	eld:i02_2615
ko:K00342	eld:i02_2616
ko:K00341	eld:i02_2617
ko:K00340	eld:i02_2618
ko:K00339	eld:i02_2619
ko:K00338	eld:i02_2620
ko:K00337	eld:i02_2621
ko:K12340	eld:i02_3475
ko:K03673	eld:i02_3480
ko:K03611	eld:i02_3481
ko:K07238	eld:i02_3483
ko:K03272	eld:i02_3494
ko:K00982	eld:i02_3495
ko:K07184	eld:i02_3500
ko:K06153	eld:i02_3502
ko:K01633	eld:i02_3503
ko:K08591	eld:i02_3504
ko:K03780	eld:i02_3508
ko:K11106	eld:i02_3509
ko:K02970	eld:i02_3511
ko:K03086	eld:i02_3514
ko:K07229	eld:i02_3517
ko:K12113	eld:i02_3523
ko:K12111	eld:i02_3524
ko:K12112	eld:i02_3525
ko:K03931	eld:i02_3529
ko:K03327	eld:i02_4600
ko:K09823	eld:i02_4602
ko:K05539	eld:i02_4603
ko:K02529	eld:i02_4610
ko:K01775	eld:i02_4613
ko:K03811	eld:i02_4614
ko:K00832	eld:i02_4616
ko:K00164	eld:i02_4617
ko:K00658	eld:i02_4619
ko:K00382	eld:i02_4620
ko:K01903	eld:i02_4621
ko:K01902	eld:i02_4622
ko:K10126	eld:i02_4625
ko:K10125	eld:i02_4626
ko:K03788	eld:i02_4629
ko:K03701	eld:i02_4632
ko:K13631	eld:i02_4637
ko:K13639	eld:i02_4638
ko:K06901	eld:i02_4640
ko:K14393	eld:i02_4645
ko:K01895	eld:i02_4648
ko:K03385	eld:i02_4650
ko:K04013	eld:i02_4651
ko:K04016	eld:i02_4654
ko:K11102	eld:i02_4658
ko:K12573	eld:i02_4771
ko:K03218	eld:i02_4772
ko:K09980	eld:i02_4773
ko:K08989	eld:i02_4776
ko:K09456	eld:i02_4779
ko:K03477	eld:i02_4783
ko:K03078	eld:i02_4788
ko:K02990	eld:i02_4792
ko:K02686	eld:i02_4793
ko:K02963	eld:i02_4794
ko:K02939	eld:i02_4795
ko:K07154	eld:i02_4799
ko:K08191	eld:i02_4800
ko:K07269	eld:i02_4808
ko:K03773	eld:i02_4809
ko:K11737	eld:i02_4810
ko:K07322	eld:i02_4811
ko:K07109	eld:i02_4817
ko:K07278	eld:i02_4821
ko:K09800	eld:i02_4822
ko:K02057	eld:i02_4830
ko:K07663	eld:i02_4998
ko:K07641	eld:i02_4999
ko:K06143	eld:i02_5000
ko:K07773	eld:i02_5001
ko:K00041	eld:i02_1765
ko:K01425	eld:i02_1768
ko:K08324	eld:i02_1769
ko:K08159	eld:i02_1772
ko:K03712	eld:i02_1774
ko:K13632	eld:i02_1775
ko:K13630	eld:i02_1776
ko:K01223	eld:i02_1777
ko:K10124	eld:i02_1778
ko:K02759	eld:i02_1779
ko:K02761	eld:i02_1780
ko:K02760	eld:i02_1781
ko:K03482	eld:i02_1782
ko:K15268	eld:i02_1783
ko:K01284	eld:i02_1787
ko:K08322	eld:i02_1793
ko:K08323	eld:i02_1794
ko:K09771	eld:i02_1795
ko:K07309	eld:i02_1800
ko:K07310	eld:i02_1801
ko:K07311	eld:i02_1802
ko:K03281	eld:i02_1805
ko:K01935	eld:i02_1806
ko:K15545	eld:i02_1807
ko:K08224	eld:i02_1809
ko:K04775	eld:i02_1810
ko:K11742	eld:i02_1811
ko:K11743	eld:i02_1812
ko:K11744	eld:i02_1813
ko:K08296	eld:i02_2682
ko:K06076	eld:i02_2687
ko:K04754	eld:i02_2688
ko:K13629	eld:i02_2698
ko:K01753	eld:i02_2699
ko:K07786	eld:i02_2700
ko:K07797	eld:i02_2702
ko:K07690	eld:i02_2703
ko:K07679	eld:i02_2704
ko:K07088	eld:i02_2706
ko:K12974	eld:i02_2712
ko:K14261	eld:i02_2713
ko:K02478	eld:i02_2716
ko:K08483	eld:i02_2719
ko:K11189	eld:i02_2719
ko:K11201	eld:i02_2719
ko:K08326	eld:i02_2721
ko:K11203	eld:i02_2722
ko:K11202	eld:i02_2723
ko:K03322	eld:i02_2727
ko:K11535	eld:i02_2728
ko:K07121	eld:i02_3590
ko:K07460	eld:i02_3591
ko:K07089	eld:i02_3595
ko:K09979	eld:i02_3597
ko:K07461	eld:i02_3598
ko:K03824	eld:i02_3599
ko:K08303	eld:i02_3601
ko:K03835	eld:i02_3604
ko:K05592	eld:i02_3606
ko:K05803	eld:i02_3607
ko:K00962	eld:i02_3608
ko:K02956	eld:i02_3609
ko:K02834	eld:i02_3611
ko:K02519	eld:i02_3612
ko:K02600	eld:i02_3614
ko:K09748	eld:i02_3615
ko:K01940	eld:i02_3616
ko:K03075	eld:i02_3618
ko:K03431	eld:i02_3619
ko:K00796	eld:i02_3620
ko:K03798	eld:i02_3621
ko:K07574	eld:i02_3624
ko:K03624	eld:i02_3625
ko:K07259	eld:i02_3626
ko:K03979	eld:i02_3627
ko:K02899	eld:i02_3629
ko:K02523	eld:i02_3631
ko:K00790	eld:i02_3633
ko:K07122	eld:i02_3635
ko:K07323	eld:i02_3636
ko:K02066	eld:i02_3638
ko:K02065	eld:i02_3639
ko:K07301	eld:i02_3640
ko:K06041	eld:i02_3641
ko:K03270	eld:i02_3642
ko:K11719	eld:i02_3643
ko:K09774	eld:i02_3644
ko:K12582	eld:i02_4307
ko:K02853	eld:i02_4308
ko:K06871	eld:i02_4311
ko:K02498	eld:i02_4314
ko:K02496	eld:i02_4315
ko:K01749	eld:i02_4317
ko:K05851	eld:i02_4318
ko:K06202	eld:i02_4319
ko:K03117	eld:i02_4380
ko:K03118	eld:i02_4381
ko:K03424	eld:i02_4382
ko:K03182	eld:i02_4384
ko:K05368	eld:i02_4385
ko:K01825	eld:i02_4387
ko:K03753	eld:i02_4393
ko:K03752	eld:i02_4394
ko:K09896	eld:i02_4395
ko:K03673	eld:i02_4397
ko:K03978	eld:i02_4404
ko:K09894	eld:i02_4407
ko:K07712	eld:i02_4410
ko:K07708	eld:i02_4411
ko:K01915	eld:i02_4412
ko:K06207	eld:i02_4413
ko:K08318	eld:i02_4419
ko:K07058	eld:i02_4427
ko:K07560	eld:i02_4428
ko:K02380	eld:i02_4436
ko:K09974	eld:i02_4494
ko:K00005	eld:i02_4496
ko:K08483	eld:i02_4498
ko:K11189	eld:i02_4498
ko:K11201	eld:i02_4498
ko:K11203	eld:i02_4499
ko:K11202	eld:i02_4500
ko:K00656	eld:i02_4501
ko:K04069	eld:i02_4502
ko:K11202	eld:i02_4503
ko:K01595	eld:i02_4506
ko:K01438	eld:i02_4507
ko:K00145	eld:i02_4508
