ko:K19744	paem:U769_05545
ko:K02280	paem:U769_23190
ko:K02279	paem:U769_23195
ko:K02651	paem:U769_23200
ko:K03406	paem:U769_23205
ko:K06915	paem:U769_23210
ko:K03406	paem:U769_23215
ko:K03406	paem:U769_23220
ko:K14335	paem:U769_23225
ko:K06986	paem:U769_23230
ko:K01433	paem:U769_23245
ko:K01141	paem:U769_23255
ko:K03924	paem:U769_23285
ko:K14055	paem:U769_23315
ko:K00873	paem:U769_23320
ko:K01676	paem:U769_23340
ko:K03322	paem:U769_23345
ko:K05520	paem:U769_23355
ko:K01426	paem:U769_23385
ko:K07490	paem:U769_23460
ko:K04759	paem:U769_23465
ko:K04758	paem:U769_23470
ko:K05596	paem:U769_23495
ko:K09964	paem:U769_23500
ko:K06895	paem:U769_23505
ko:K04564	paem:U769_23510
ko:K03744	paem:U769_23525
ko:K07231	paem:U769_23530
ko:K07338	paem:U769_23540
ko:K09947	paem:U769_23545
ko:K00763	paem:U769_23560
ko:K06199	paem:U769_23600
ko:K04077	paem:U769_23610
ko:K04078	paem:U769_23615
ko:K07113	paem:U769_23620
ko:K07226	paem:U769_23625
ko:K00059	paem:U769_23630
ko:K07443	paem:U769_23645
ko:K08218	paem:U769_23650
ko:K03442	paem:U769_23655
ko:K09767	paem:U769_23660
ko:K00077	paem:U769_23670
ko:K00798	paem:U769_23680
ko:K03574	paem:U769_23685
ko:K00620	paem:U769_23695
ko:K03070	paem:U769_23700
ko:K02535	paem:U769_23715
ko:K03531	paem:U769_23720
ko:K03590	paem:U769_23725
ko:K03589	paem:U769_23730
ko:K01921	paem:U769_23735
ko:K01924	paem:U769_23740
ko:K02563	paem:U769_23745
ko:K03588	paem:U769_23750
ko:K01925	paem:U769_23755
ko:K01000	paem:U769_23760
ko:K01929	paem:U769_23765
ko:K01928	paem:U769_23770
ko:K03587	paem:U769_23775
ko:K03586	paem:U769_23780
ko:K03438	paem:U769_23785
ko:K03925	paem:U769_23790
ko:K07056	paem:U769_23800
ko:K07121	paem:U769_23805
ko:K07460	paem:U769_23810
ko:K03271	paem:U769_23815
ko:K03600	paem:U769_23825
ko:K03599	paem:U769_23830
ko:K00413	paem:U769_23835
ko:K00412	paem:U769_23840
ko:K00411	paem:U769_23845
ko:K02996	paem:U769_23850
ko:K02871	paem:U769_23855
ko:K06916	paem:U769_23880
ko:K01867	paem:U769_23885
ko:K07018	paem:U769_23890
ko:K09908	paem:U769_23895
ko:K00955	paem:U769_23900
ko:K00957	paem:U769_23905
ko:K08305	paem:U769_23910
ko:K04691	paem:U769_23920
ko:K00817	paem:U769_23925
ko:K00013	paem:U769_23930
ko:K00765	paem:U769_23935
ko:K00790	paem:U769_23940
ko:K00162	paem:U769_07710
ko:K00627	paem:U769_07715
ko:K09918	paem:U769_07730
ko:K03088	paem:U769_07745
ko:K16152	paem:U769_07755
ko:K12536	paem:U769_07765
ko:K12537	paem:U769_07770
ko:K01993	paem:U769_07790
ko:K01992	paem:U769_07795
ko:K00528	paem:U769_07815
ko:K07218	paem:U769_07835
ko:K00376	paem:U769_07840
ko:K02041	paem:U769_07880
ko:K02044	paem:U769_07885
ko:K02042	paem:U769_07890
ko:K02043	paem:U769_07895
ko:K06166	paem:U769_07900
ko:K06165	paem:U769_07905
ko:K06164	paem:U769_07910
ko:K06163	paem:U769_07915
ko:K05781	paem:U769_07920
ko:K05780	paem:U769_07925
ko:K06162	paem:U769_07930
ko:K05774	paem:U769_07935
ko:K06167	paem:U769_07940
ko:K00161	paem:U769_07705
ko:K01426	paem:U769_08015
ko:K01999	paem:U769_08025
ko:K01753	paem:U769_08060
ko:K01915	paem:U769_08065
ko:K09931	paem:U769_08075
ko:K02399	paem:U769_08085
ko:K02398	paem:U769_08090
ko:K02386	paem:U769_08095
ko:K03415	paem:U769_08100
ko:K00575	paem:U769_08105
ko:K03654	paem:U769_08125
ko:K06075	paem:U769_08140
ko:K07001	paem:U769_08150
ko:K07401	paem:U769_08155
ko:K03274	paem:U769_08160
ko:K02078	paem:U769_08175
ko:K00648	paem:U769_08180
ko:K01358	paem:U769_08215
ko:K07044	paem:U769_08220
ko:K09936	paem:U769_08245
ko:K01114	paem:U769_08250
ko:K02042	paem:U769_08265
ko:K02044	paem:U769_08280
ko:K03760	paem:U769_08295
ko:K03580	paem:U769_08305
ko:K01897	paem:U769_08360
ko:K07122	paem:U769_23950
ko:K07323	paem:U769_23955
ko:K02067	paem:U769_23960
ko:K02066	paem:U769_23965
ko:K02065	paem:U769_23970
ko:K06041	paem:U769_23975
ko:K03270	paem:U769_23980
ko:K11719	paem:U769_23985
ko:K09774	paem:U769_23990
ko:K06861	paem:U769_23995
ko:K03092	paem:U769_24000
ko:K05808	paem:U769_24005
ko:K02806	paem:U769_24010
ko:K06958	paem:U769_24015
ko:K11189	paem:U769_24020
ko:K07238	paem:U769_24025
ko:K04564	paem:U769_24030
ko:K01679	paem:U769_24040
ko:K03592	paem:U769_24050
ko:K09889	paem:U769_24055
ko:K03568	paem:U769_24060
ko:K08301	paem:U769_24075
ko:K06287	paem:U769_24080
ko:K03571	paem:U769_24085
ko:K03570	paem:U769_24090
ko:K03569	paem:U769_24095
ko:K02435	paem:U769_24100
ko:K02433	paem:U769_24105
ko:K02434	paem:U769_24110
ko:K03642	paem:U769_24115
ko:K01607	paem:U769_24120
ko:K06894	paem:U769_24135
ko:K09934	paem:U769_24140
ko:K15012	paem:U769_24155
ko:K15011	paem:U769_24160
ko:K12368	paem:U769_24170
ko:K12368	paem:U769_24190
ko:K12368	paem:U769_24200
ko:K12369	paem:U769_24205
ko:K12370	paem:U769_24210
ko:K12371	paem:U769_24215
ko:K12372	paem:U769_24220
ko:K07160	paem:U769_24245
ko:K00380	paem:U769_24255
ko:K16090	paem:U769_24260
ko:K07126	paem:U769_24270
ko:K07032	paem:U769_24280
ko:K01581	paem:U769_24285
ko:K03406	paem:U769_24290
ko:K03807	paem:U769_24295
ko:K03806	paem:U769_24300
ko:K00767	paem:U769_24310
ko:K02652	paem:U769_24330
ko:K02653	paem:U769_24335
ko:K02654	paem:U769_24340
ko:K00859	paem:U769_24345
ko:K09862	paem:U769_24350
ko:K03885	paem:U769_24390
ko:K06916	paem:U769_24395
ko:K12055	paem:U769_24415
ko:K06899	paem:U769_24485
ko:K03168	paem:U769_24540
ko:K02669	paem:U769_24605
ko:K03543	paem:U769_24702
ko:K03695	paem:U769_24890
ko:K05810	paem:U769_24895
ko:K06180	paem:U769_24900
ko:K05807	paem:U769_24905
ko:K06950	paem:U769_24910
ko:K02668	paem:U769_24915
ko:K02667	paem:U769_24920
ko:K03153	paem:U769_24925
ko:K08084	paem:U769_24930
ko:K02671	paem:U769_24940
ko:K02672	paem:U769_24945
ko:K02673	paem:U769_24950
ko:K02674	paem:U769_24955
ko:K02655	paem:U769_24965
ko:K03527	paem:U769_24970
ko:K03774	paem:U769_24975
ko:K03101	paem:U769_24980
ko:K01870	paem:U769_24985
ko:K11753	paem:U769_24990
ko:K03980	paem:U769_24995
ko:K02968	paem:U769_25000
ko:K05805	paem:U769_25005
ko:K00931	paem:U769_25010
ko:K03979	paem:U769_25015
ko:K02899	paem:U769_25020
ko:K02888	paem:U769_25025
ko:K02523	paem:U769_25030
ko:K03773	paem:U769_25045
ko:K14414	paem:U769_25090
ko:K14415	paem:U769_25105
ko:K07074	paem:U769_25110
ko:K01974	paem:U769_25115
ko:K00428	paem:U769_25125
ko:K00262	paem:U769_25130
ko:K06076	paem:U769_25135
ko:K02004	paem:U769_25155
ko:K02003	paem:U769_25160
ko:K01439	paem:U769_19960
ko:K00563	paem:U769_19965
ko:K03704	paem:U769_19975
ko:K07639	paem:U769_19980
ko:K07661	paem:U769_19985
ko:K07491	paem:U769_20000
ko:K14977	paem:U769_20060
ko:K05523	paem:U769_20085
ko:K12990	paem:U769_20107
ko:K12410	paem:U769_20130
ko:K01129	paem:U769_20135
ko:K01462	paem:U769_20145
ko:K00243	paem:U769_20175
ko:K06147	paem:U769_20190
ko:K06182	paem:U769_20215
ko:K02413	paem:U769_20240
ko:K02412	paem:U769_20245
ko:K02410	paem:U769_20255
ko:K02409	paem:U769_20260
ko:K02408	paem:U769_20265
ko:K10943	paem:U769_20270
ko:K10942	paem:U769_20275
ko:K10941	paem:U769_20280
ko:K02422	paem:U769_20290
ko:K02422	paem:U769_20295
ko:K02407	paem:U769_20300
ko:K06603	paem:U769_20305
ko:K02406	paem:U769_20310
ko:K00648	paem:U769_20345
ko:K02397	paem:U769_20355
ko:K02396	paem:U769_20360
ko:K02395	paem:U769_20365
ko:K02394	paem:U769_20370
ko:K02393	paem:U769_20375
ko:K02392	paem:U769_20380
ko:K02391	paem:U769_20385
ko:K02390	paem:U769_20390
ko:K02389	paem:U769_20395
ko:K02388	paem:U769_20400
ko:K02387	paem:U769_20405
ko:K01999	paem:U769_20420
ko:K01997	paem:U769_20425
ko:K01998	paem:U769_20430
ko:K01995	paem:U769_20435
ko:K01996	paem:U769_20440
ko:K04079	paem:U769_20450
ko:K08985	paem:U769_20470
ko:K01738	paem:U769_20485
ko:K05564	paem:U769_20495
ko:K05563	paem:U769_20500
ko:K05562	paem:U769_20505
ko:K05561	paem:U769_20510
ko:K05560	paem:U769_20515
ko:K05559	paem:U769_20520
ko:K06077	paem:U769_20525
ko:K00865	paem:U769_20535
ko:K03299	paem:U769_20540
ko:K02647	paem:U769_20545
ko:K00275	paem:U769_20550
ko:K08993	paem:U769_20585
ko:K09858	paem:U769_20600
ko:K07116	paem:U769_20635
ko:K09760	paem:U769_20640
ko:K00128	paem:U769_20660
ko:K00459	paem:U769_20680
ko:K08196	paem:U769_20710
ko:K01923	paem:U769_20750
ko:K07287	paem:U769_20760
ko:K01714	paem:U769_20765
ko:K03567	paem:U769_20770
ko:K03564	paem:U769_20775
ko:K03548	paem:U769_20780
ko:K03517	paem:U769_20795
ko:K01658	paem:U769_20805
ko:K01657	paem:U769_20810
ko:K00567	paem:U769_20840
ko:K07347	paem:U769_20845
ko:K06920	paem:U769_20900
ko:K10026	paem:U769_20905
ko:K03640	paem:U769_20915
ko:K03641	paem:U769_20920
ko:K03560	paem:U769_20930
ko:K03562	paem:U769_20935
ko:K01075	paem:U769_20940
ko:K03551	paem:U769_20945
ko:K03550	paem:U769_20950
ko:K01159	paem:U769_20955
ko:K01876	paem:U769_20965
ko:K04047	paem:U769_20970
ko:K03704	paem:U769_20975
ko:K03745	paem:U769_20980
ko:K01881	paem:U769_21000
ko:K01512	paem:U769_21010
ko:K07058	paem:U769_21030
ko:K00537	paem:U769_21035
ko:K03809	paem:U769_21040
ko:K10763	paem:U769_21050
ko:K09938	paem:U769_21055
ko:K01933	paem:U769_21060
ko:K11175	paem:U769_21065
ko:K09912	paem:U769_21105
ko:K04765	paem:U769_21115
ko:K00951	paem:U769_21120
ko:K03215	paem:U769_21125
ko:K12339	paem:U769_21130
ko:K07678	paem:U769_21150
ko:K03778	paem:U769_21155
ko:K07014	paem:U769_21170
ko:K02346	paem:U769_21175
ko:K14205	paem:U769_21195
ko:K12262	paem:U769_21205
ko:K03549	paem:U769_21210
ko:K14441	paem:U769_21215
ko:K06213	paem:U769_21230
ko:K03563	paem:U769_21285
ko:K00928	paem:U769_21290
ko:K01872	paem:U769_21295
ko:K01620	paem:U769_21300
ko:K01897	paem:U769_08365
ko:K03578	paem:U769_08375
ko:K01077	paem:U769_08380
ko:K02503	paem:U769_08385
ko:K16872	paem:U769_08425
ko:K03088	paem:U769_08430
ko:K09930	paem:U769_08445
ko:K09929	paem:U769_08450
ko:K07221	paem:U769_08460
ko:K07221	paem:U769_08465
ko:K09771	paem:U769_08485
ko:K03724	paem:U769_08500
ko:K16091	paem:U769_08520
ko:K03704	paem:U769_08530
ko:K03453	paem:U769_08540
ko:K03554	paem:U769_08545
ko:K02041	paem:U769_08275
ko:K03773	paem:U769_08560
ko:K03797	paem:U769_08595
ko:K02052	paem:U769_08607
ko:K02053	paem:U769_08615
ko:K02054	paem:U769_08620
ko:K02055	paem:U769_08630
ko:K03817	paem:U769_08640
ko:K06177	paem:U769_08650
ko:K03608	paem:U769_08655
ko:K03609	paem:U769_08660
ko:K03610	paem:U769_08665
ko:K02517	paem:U769_08670
ko:K07001	paem:U769_08675
ko:K06911	paem:U769_08680
ko:K04754	paem:U769_08685
ko:K02002	paem:U769_08700
ko:K14393	paem:U769_08710
ko:K07182	paem:U769_08715
ko:K02342	paem:U769_08720
ko:K09919	paem:U769_08730
ko:K03767	paem:U769_08745
ko:K01118	paem:U769_08765
ko:K07396	paem:U769_08770
ko:K02437	paem:U769_08775
ko:K00799	paem:U769_08785
ko:K06878	paem:U769_08805
ko:K00945	paem:U769_09100
ko:K02945	paem:U769_09105
ko:K05788	paem:U769_09110
ko:K05789	paem:U769_09120
ko:K13015	paem:U769_09122
ko:K13016	paem:U769_09132
ko:K13017	paem:U769_09137
ko:K13007	paem:U769_09165
ko:K02237	paem:U769_09175
ko:K00832	paem:U769_09185
ko:K03702	paem:U769_09190
ko:K03446	paem:U769_09195
ko:K03543	paem:U769_09200
ko:K01885	paem:U769_09210
ko:K01625	paem:U769_09245
ko:K07107	paem:U769_09250
ko:K05541	paem:U769_09255
ko:K04080	paem:U769_09270
ko:K01703	paem:U769_09295
ko:K01704	paem:U769_09300
ko:K00052	paem:U769_09310
ko:K00133	paem:U769_09315
ko:K08086	paem:U769_09325
ko:K06173	paem:U769_09330
ko:K01817	paem:U769_09335
ko:K01963	paem:U769_09340
ko:K11754	paem:U769_09345
ko:K00800	paem:U769_09095
ko:K00254	paem:U769_09675
ko:K03812	paem:U769_09680
ko:K12297	paem:U769_09685
ko:K07259	paem:U769_09690
ko:K09923	paem:U769_09695
ko:K07690	paem:U769_09700
ko:K01129	paem:U769_09710
ko:K03320	paem:U769_09730
ko:K07006	paem:U769_09745
ko:K00799	paem:U769_09750
ko:K03752	paem:U769_09780
ko:K03638	paem:U769_09785
ko:K03750	paem:U769_09790
ko:K00803	paem:U769_09800
ko:K00111	paem:U769_09805
ko:K07140	paem:U769_09820
ko:K08309	paem:U769_09830
ko:K15738	paem:U769_09835
ko:K06149	paem:U769_09845
ko:K01825	paem:U769_09860
ko:K03168	paem:U769_09875
ko:K01356	paem:U769_09895
ko:K01207	paem:U769_09905
ko:K00209	paem:U769_10185
ko:K05936	paem:U769_10195
ko:K02189	paem:U769_10200
ko:K02234	paem:U769_10215
ko:K02230	paem:U769_10220
ko:K01626	paem:U769_10225
ko:K03405	paem:U769_10230
ko:K13580	paem:U769_10235
ko:K10680	paem:U769_10285
ko:K10017	paem:U769_10320
ko:K10015	paem:U769_10325
ko:K10016	paem:U769_10330
ko:K03406	paem:U769_10350
ko:K02015	paem:U769_10380
ko:K02016	paem:U769_10385
ko:K02013	paem:U769_10390
ko:K02014	paem:U769_10395
ko:K05895	paem:U769_10405
ko:K02188	paem:U769_10410
ko:K00595	paem:U769_10415
ko:K02229	paem:U769_10420
ko:K06042	paem:U769_10425
ko:K03394	paem:U769_10430
ko:K13541	paem:U769_10435
ko:K02030	paem:U769_10440
ko:K05592	paem:U769_10755
ko:K03543	paem:U769_10775
ko:K00569	paem:U769_10795
ko:K03799	paem:U769_10805
ko:K14260	paem:U769_10815
ko:K07305	paem:U769_10820
ko:K00432	paem:U769_10825
ko:K06923	paem:U769_10840
ko:K03088	paem:U769_10915
ko:K06445	paem:U769_10935
ko:K01990	paem:U769_10950
ko:K01992	paem:U769_10955
ko:K07644	paem:U769_10960
ko:K06879	paem:U769_10980
ko:K07107	paem:U769_11005
ko:K04754	paem:U769_11010
ko:K01626	paem:U769_10740
ko:K05526	paem:U769_21305
ko:K01484	paem:U769_21315
ko:K06447	paem:U769_21320
ko:K00673	paem:U769_21325
ko:K00673	paem:U769_21330
ko:K10025	paem:U769_21350
ko:K06987	paem:U769_21355
ko:K10023	paem:U769_21360
ko:K10022	paem:U769_21370
ko:K01895	paem:U769_21375
ko:K11689	paem:U769_21385
ko:K11688	paem:U769_21390
ko:K03721	paem:U769_21445
ko:K00500	paem:U769_21450
ko:K01724	paem:U769_21455
ko:K00832	paem:U769_21460
ko:K07262	paem:U769_21465
ko:K15034	paem:U769_21470
ko:K11734	paem:U769_21480
ko:K00457	paem:U769_21485
ko:K07396	paem:U769_21520
ko:K07146	paem:U769_21525
ko:K05527	paem:U769_21530
ko:K09924	paem:U769_21535
ko:K01679	paem:U769_21545
ko:K01754	paem:U769_21560
ko:K03386	paem:U769_21575
ko:K06203	paem:U769_21585
ko:K01114	paem:U769_21595
ko:K16137	paem:U769_21620
ko:K00432	paem:U769_21625
ko:K03775	paem:U769_21630
ko:K00925	paem:U769_21635
ko:K13788	paem:U769_21640
ko:K07044	paem:U769_21665
ko:K02437	paem:U769_12995
ko:K00281	paem:U769_13000
ko:K00600	paem:U769_13005
ko:K01752	paem:U769_13010
ko:K00605	paem:U769_13015
ko:K04087	paem:U769_13035
ko:K03088	paem:U769_13100
ko:K06911	paem:U769_13145
ko:K01194	paem:U769_13155
ko:K00836	paem:U769_13170
ko:K09816	paem:U769_13190
ko:K09817	paem:U769_13195
ko:K09815	paem:U769_13200
ko:K02014	paem:U769_13240
ko:K06160	paem:U769_13245
ko:K05685	paem:U769_13280
ko:K13888	paem:U769_13285
ko:K03088	paem:U769_13295
ko:K10531	paem:U769_13300
ko:K07116	paem:U769_13305
ko:K00101	paem:U769_13320
ko:K07302	paem:U769_13335
ko:K07303	paem:U769_13340
ko:K11907	paem:U769_13380
ko:K11895	paem:U769_13385
ko:K11896	paem:U769_13390
ko:K11903	paem:U769_13400
ko:K11900	paem:U769_13405
ko:K11901	paem:U769_13410
ko:K11893	paem:U769_13420
ko:K11892	paem:U769_13425
ko:K11891	paem:U769_13430
ko:K11902	paem:U769_13435
ko:K00299	paem:U769_13450
ko:K04091	paem:U769_13455
ko:K06916	paem:U769_13470
ko:K01126	paem:U769_13475
ko:K02072	paem:U769_13480
ko:K02071	paem:U769_13485
ko:K02073	paem:U769_13490
ko:K17218	paem:U769_13510
ko:K00847	paem:U769_13515
ko:K00854	paem:U769_13520
ko:K00045	paem:U769_13525
ko:K10111	paem:U769_13530
ko:K10229	paem:U769_13535
ko:K10228	paem:U769_13540
ko:K10227	paem:U769_13545
ko:K02049	paem:U769_13570
ko:K02051	paem:U769_13575
ko:K02050	paem:U769_13580
ko:K00131	paem:U769_13600
ko:K03299	paem:U769_13610
ko:K00851	paem:U769_13615
ko:K06145	paem:U769_13620
ko:K06995	paem:U769_13625
ko:K09471	paem:U769_13630
ko:K03119	paem:U769_13665
ko:K02051	paem:U769_13670
ko:K02049	paem:U769_13675
ko:K02050	paem:U769_13680
ko:K03710	paem:U769_13720
ko:K07267	paem:U769_13750
ko:K00117	paem:U769_13755
ko:K02014	paem:U769_13760
ko:K03893	paem:U769_13815
ko:K13979	paem:U769_13830
ko:K13639	paem:U769_13840
ko:K03587	paem:U769_13845
ko:K06151	paem:U769_13880
ko:K06152	paem:U769_13885
ko:K00032	paem:U769_13890
ko:K02525	paem:U769_13910
ko:K01424	paem:U769_13940
ko:K03310	paem:U769_13945
ko:K00382	paem:U769_13955
ko:K09699	paem:U769_13960
ko:K00167	paem:U769_13965
ko:K00166	paem:U769_13970
ko:K03168	paem:U769_13985
ko:K12992	paem:U769_14040
ko:K13954	paem:U769_14160
ko:K00137	paem:U769_14170
ko:K00836	paem:U769_14175
ko:K14393	paem:U769_14190
ko:K00666	paem:U769_14200
ko:K02688	paem:U769_14225
ko:K03808	paem:U769_14240
ko:K00097	paem:U769_14270
ko:K08194	paem:U769_14280
ko:K02030	paem:U769_14310
ko:K02029	paem:U769_14315
ko:K02029	paem:U769_14320
ko:K16137	paem:U769_14350
ko:K06048	paem:U769_14385
ko:K06889	paem:U769_14450
ko:K00703	paem:U769_14465
ko:K01236	paem:U769_14470
ko:K00705	paem:U769_14475
ko:K06044	paem:U769_14480
ko:K07027	paem:U769_14520
ko:K00700	paem:U769_14525
ko:K05343	paem:U769_14530
ko:K16147	paem:U769_14535
ko:K10979	paem:U769_14540
ko:K07507	paem:U769_14550
ko:K03781	paem:U769_14555
ko:K00688	paem:U769_14575
ko:K08995	paem:U769_14635
ko:K07347	paem:U769_14655
ko:K07346	paem:U769_14660
ko:K07345	paem:U769_14665
ko:K10778	paem:U769_14725
ko:K07160	paem:U769_14755
ko:K00156	paem:U769_14775
ko:K03088	paem:U769_14815
ko:K02014	paem:U769_14835
ko:K01561	paem:U769_14850
ko:K01953	paem:U769_14860
ko:K07130	paem:U769_14875
ko:K01556	paem:U769_14880
ko:K02355	paem:U769_14920
ko:K02014	paem:U769_14925
ko:K00612	paem:U769_14930
ko:K05820	paem:U769_14935
ko:K07233	paem:U769_14955
ko:K04487	paem:U769_14965
ko:K13896	paem:U769_14970
ko:K13895	paem:U769_14975
ko:K13894	paem:U769_14980
ko:K13893	paem:U769_14985
ko:K11921	paem:U769_15005
ko:K01673	paem:U769_15010
ko:K01725	paem:U769_15015
ko:K03088	paem:U769_15025
ko:K08998	paem:U769_15050
ko:K06177	paem:U769_15065
ko:K07862	paem:U769_15070
ko:K14052	paem:U769_15075
ko:K01915	paem:U769_15080
ko:K01652	paem:U769_15100
ko:K15256	paem:U769_15105
ko:K05800	paem:U769_15135
ko:K14347	paem:U769_15145
ko:K00383	paem:U769_15150
ko:K00963	paem:U769_15160
ko:K00012	paem:U769_15165
ko:K00253	paem:U769_15205
ko:K01969	paem:U769_15210
ko:K13766	paem:U769_15215
ko:K01968	paem:U769_15220
ko:K01640	paem:U769_15225
ko:K00451	paem:U769_15235
ko:K01555	paem:U769_15240
ko:K08195	paem:U769_15250
ko:K00019	paem:U769_15265
ko:K02106	paem:U769_15270
ko:K00626	paem:U769_15275
ko:K01029	paem:U769_15280
ko:K01028	paem:U769_15285
ko:K17737	paem:U769_15290
ko:K01907	paem:U769_15295
ko:K03769	paem:U769_15300
ko:K09957	paem:U769_15310
ko:K06139	paem:U769_15335
ko:K06138	paem:U769_15340
ko:K06137	paem:U769_15345
ko:K06136	paem:U769_15350
ko:K03760	paem:U769_15420
ko:K03311	paem:U769_15425
ko:K01826	paem:U769_15450
ko:K01150	paem:U769_11325
ko:K01265	paem:U769_11335
ko:K01868	paem:U769_11370
ko:K02520	paem:U769_11375
ko:K02916	paem:U769_11380
ko:K02887	paem:U769_11385
ko:K01889	paem:U769_11390
ko:K01890	paem:U769_11395
ko:K04764	paem:U769_11400
ko:K03088	paem:U769_11545
ko:K05524	paem:U769_11580
ko:K11073	paem:U769_11600
ko:K01738	paem:U769_11610
ko:K09989	paem:U769_11630
ko:K03671	paem:U769_11685
ko:K03885	paem:U769_11700
ko:K07017	paem:U769_11705
ko:K01061	paem:U769_11745
ko:K02454	paem:U769_11780
ko:K02455	paem:U769_11785
ko:K02456	paem:U769_11790
ko:K02456	paem:U769_11795
ko:K02458	paem:U769_11800
ko:K02459	paem:U769_11805
ko:K01737	paem:U769_11835
ko:K12266	paem:U769_11840
ko:K05916	paem:U769_11845
ko:K07234	paem:U769_11855
ko:K03406	paem:U769_11900
ko:K07084	paem:U769_11905
ko:K03406	paem:U769_11910
ko:K00343	paem:U769_11925
ko:K00342	paem:U769_11930
ko:K00341	paem:U769_11935
ko:K00340	paem:U769_11940
ko:K00339	paem:U769_11945
ko:K00338	paem:U769_11950
ko:K00337	paem:U769_11955
ko:K00334	paem:U769_11970
ko:K13378	paem:U769_11975
ko:K00331	paem:U769_11980
ko:K00330	paem:U769_11985
ko:K07093	paem:U769_11995
ko:K01637	paem:U769_12000
ko:K01756	paem:U769_12025
ko:K07153	paem:U769_12035
ko:K00566	paem:U769_12040
ko:K00031	paem:U769_12050
ko:K00031	paem:U769_12055
ko:K03704	paem:U769_12060
ko:K06891	paem:U769_12065
ko:K03694	paem:U769_12070
ko:K02518	paem:U769_12075
ko:K00684	paem:U769_12085
ko:K00384	paem:U769_12090
ko:K03466	paem:U769_12095
ko:K03634	paem:U769_12100
ko:K07478	paem:U769_12105
ko:K01875	paem:U769_12110
ko:K02302	paem:U769_12115
ko:K07393	paem:U769_12120
ko:K11179	paem:U769_12130
ko:K07237	paem:U769_12135
ko:K07236	paem:U769_12140
ko:K07235	paem:U769_12145
ko:K04091	paem:U769_12175
ko:K02051	paem:U769_12180
ko:K04091	paem:U769_12185
ko:K15553	paem:U769_12195
ko:K15553	paem:U769_12200
ko:K15553	paem:U769_12205
ko:K11073	paem:U769_12215
ko:K02014	paem:U769_12225
ko:K03703	paem:U769_12250
ko:K07679	paem:U769_12270
ko:K03607	paem:U769_12275
ko:K03923	paem:U769_12290
ko:K00453	paem:U769_12295
ko:K07078	paem:U769_12315
ko:K00496	paem:U769_12320
ko:K03406	paem:U769_12325
ko:K17218	paem:U769_12375
ko:K00598	paem:U769_12385
ko:K03321	paem:U769_12390
ko:K03406	paem:U769_12400
ko:K07507	paem:U769_12425
ko:K00666	paem:U769_12430
ko:K01895	paem:U769_12440
ko:K00626	paem:U769_12450
ko:K05794	paem:U769_12475
ko:K02040	paem:U769_12480
ko:K01142	paem:U769_12495
ko:K07278	paem:U769_12505
ko:K09800	paem:U769_12510
ko:K00995	paem:U769_12515
ko:K00981	paem:U769_12540
ko:K03310	paem:U769_12555
ko:K11065	paem:U769_12560
ko:K00817	paem:U769_12565
ko:K07799	paem:U769_12580
ko:K07788	paem:U769_12585
ko:K07789	paem:U769_12590
ko:K07644	paem:U769_12605
ko:K07665	paem:U769_12610
ko:K15725	paem:U769_12615
ko:K15727	paem:U769_12620
ko:K15726	paem:U769_12625
ko:K05549	paem:U769_12635
ko:K05550	paem:U769_12640
ko:K05784	paem:U769_12645
ko:K05783	paem:U769_12650
ko:K03464	paem:U769_12685
ko:K01118	paem:U769_15840
ko:K06153	paem:U769_15855
ko:K03811	paem:U769_15860
ko:K00852	paem:U769_15900
ko:K02529	paem:U769_15905
ko:K10440	paem:U769_15910
ko:K10441	paem:U769_15915
ko:K10439	paem:U769_15920
ko:K11177	paem:U769_15975
ko:K11178	paem:U769_15980
ko:K13483	paem:U769_15985
ko:K03406	paem:U769_15990
ko:K03790	paem:U769_16000
ko:K00549	paem:U769_16005
ko:K09136	paem:U769_16010
ko:K02230	paem:U769_16025
ko:K16089	paem:U769_16030
ko:K06995	paem:U769_16065
ko:K09684	paem:U769_16075
ko:K03088	paem:U769_16090
ko:K02014	paem:U769_16100
ko:K13063	paem:U769_16140
ko:K01626	paem:U769_16150
ko:K01434	paem:U769_16190
ko:K00799	paem:U769_16205
ko:K02336	paem:U769_16225
ko:K00330	paem:U769_16240
ko:K07302	paem:U769_16250
ko:K07303	paem:U769_16255
ko:K07023	paem:U769_16265
ko:K12542	paem:U769_16270
ko:K12541	paem:U769_16275
ko:K12543	paem:U769_16280
ko:K16074	paem:U769_16290
ko:K02453	paem:U769_16315
ko:K02452	paem:U769_16320
ko:K02020	paem:U769_16345
ko:K02018	paem:U769_16350
ko:K02017	paem:U769_16355
ko:K03498	paem:U769_16375
ko:K09781	paem:U769_16380
ko:K00404	paem:U769_16385
ko:K07168	paem:U769_16395
ko:K09984	paem:U769_16420
ko:K07400	paem:U769_16430
ko:K00548	paem:U769_16450
ko:K06941	paem:U769_16470
ko:K00381	paem:U769_16485
ko:K04774	paem:U769_16515
ko:K00059	paem:U769_16540
ko:K07090	paem:U769_16555
ko:K03426	paem:U769_16560
ko:K01692	paem:U769_16570
ko:K03314	paem:U769_16575
ko:K03294	paem:U769_16580
ko:K01584	paem:U769_16585
ko:K02342	paem:U769_16595
ko:K03469	paem:U769_16600
ko:K01069	paem:U769_16610
ko:K08307	paem:U769_16615
ko:K13893	paem:U769_16620
ko:K13893	paem:U769_16625
ko:K13894	paem:U769_16630
ko:K13895	paem:U769_16635
ko:K13896	paem:U769_16640
