ko:K14989	soz:Spy49_1576c
ko:K08986	soz:Spy49_0488c
ko:K00059	soz:Spy49_0372
ko:K03484	soz:Spy49_1417
ko:K02315	soz:Spy49_1506c
ko:K11991	soz:Spy49_0185
ko:K01515	soz:Spy49_0376
ko:K12267	soz:Spy49_1204c
ko:K01644	soz:Spy49_0936
ko:K00059	soz:Spy49_1365c
ko:K00046	soz:Spy49_0530
ko:K07124	soz:Spy49_0734
ko:K10530	soz:Spy49_0335
ko:K05363	soz:Spy49_0951c
ko:K01491	soz:Spy49_1158c
ko:K13292	soz:Spy49_0495
ko:K12296	soz:Spy49_0256
ko:K07729	soz:Spy49_1597c
ko:K07729	soz:Spy49_1107c
ko:K01034	soz:Spy49_0124
ko:K01034	soz:Spy49_1269
ko:K06889	soz:Spy49_1560c
ko:K00626	soz:Spy49_1268
ko:K00626	soz:Spy49_0440
ko:K01071	soz:Spy49_0820
ko:K00626	soz:Spy49_0123
ko:K11754	soz:Spy49_0851
ko:K03768	soz:Spy49_1253c
ko:K01081	soz:Spy49_0686c
ko:K03524	soz:Spy49_1085
ko:K04487	soz:Spy49_0640
ko:K04487	soz:Spy49_0874c
ko:K05362	soz:Spy49_0319c
ko:K01281	soz:Spy49_1451
ko:K01243	soz:Spy49_0378
ko:K11753	soz:Spy49_0992c
ko:K05966	soz:Spy49_0927c
ko:K01358	soz:Spy49_0323
ko:K03386	soz:Spy49_1721
ko:K02237	soz:Spy49_1126c
ko:K01710	soz:Spy49_0745
ko:K01426	soz:Spy49_0714
ko:K01092	soz:Spy49_0989c
ko:K07284	soz:Spy49_0906
ko:K03574	soz:Spy49_1165
ko:K07272	soz:Spy49_0618
ko:K02000	soz:Spy49_0161
ko:K06183	soz:Spy49_1064c
ko:K06183	soz:Spy49_1114c
ko:K08234	soz:Spy49_0907
ko:K01424	soz:Spy49_1391
ko:K13734	soz:Spy49_0112
ko:K13734	soz:Spy49_1684c
ko:K01191	soz:Spy49_1239
ko:K07718	soz:Spy49_1228c
ko:K07718	soz:Spy49_1202c
ko:K09963	soz:Spy49_1048c
ko:K01193	soz:Spy49_1416
ko:K00917	soz:Spy49_1323c
ko:K00917	soz:Spy49_1324c
ko:K00917	soz:Spy49_1588c
ko:K12573	soz:Spy49_0422
ko:K01990	soz:Spy49_1345c
ko:K02793	soz:Spy49_0833
ko:K00131	soz:Spy49_1093c
ko:K12554	soz:Spy49_0517c
ko:K12555	soz:Spy49_1706c
ko:K07483	soz:Spy49_1056
ko:K01534	soz:Spy49_1146c
ko:K03574	soz:Spy49_0793
ko:K01746	soz:Spy49_1726
ko:K01819	soz:Spy49_1326c
ko:K09951	soz:Spy49_0826
ko:K01992	soz:Spy49_0438
ko:K13789	soz:Spy49_1155c
ko:K00625	soz:Spy49_0880
ko:K01537	soz:Spy49_0522
ko:K01479	soz:Spy49_1731
ko:K03294	soz:Spy49_0014
ko:K03574	soz:Spy49_1640c
ko:K00019	soz:Spy49_1271
ko:K04072	soz:Spy49_0038
ko:K12556	soz:Spy49_1291c
ko:K00786	soz:Spy49_0620
ko:K12996	soz:Spy49_0612
ko:K12998	soz:Spy49_0617
ko:K12997	soz:Spy49_0613
ko:K12999	soz:Spy49_0428c
ko:K05363	soz:Spy49_0518c
ko:K03693	soz:Spy49_0086
ko:K05337	soz:Spy49_0626c
ko:K01197	soz:Spy49_1236c
ko:K07025	soz:Spy49_0504
ko:K01835	soz:Spy49_0970
ko:K03317	soz:Spy49_1541c
ko:K01190	soz:Spy49_1226c
ko:K03342	soz:Spy49_1653
ko:K01961	soz:Spy49_1361c
ko:K01361	soz:Spy49_0336
ko:K14228	soz:Spy49_tRNAleu2
ko:K14228	soz:Spy49_tRNAleu4
ko:K02004	soz:Spy49_1678c
ko:K02004	soz:Spy49_1578c
ko:K00974	soz:Spy49_0682
ko:K00951	soz:Spy49_1632c
ko:K13953	soz:Spy49_0039
ko:K02004	soz:Spy49_0600
ko:K02004	soz:Spy49_0657
ko:K02004	soz:Spy49_0997c
ko:K00603	soz:Spy49_1725
ko:K11754	soz:Spy49_0638c
ko:K01215	soz:Spy49_1627c
ko:K11046	soz:Spy49_0568
ko:K14233	soz:Spy49_tRNApseudo1
ko:K14233	soz:Spy49_tRNApseudo3
ko:K01990	soz:Spy49_1021
ko:K14232	soz:Spy49_tRNApro1
ko:K14232	soz:Spy49_tRNApro2
ko:K14222	soz:Spy49_tRNAcys1
ko:K14225	soz:Spy49_tRNAgly3
ko:K14225	soz:Spy49_tRNAgly4
ko:K02057	soz:Spy49_0971c
ko:K11045	soz:Spy49_1010c
ko:K01760	soz:Spy49_0151
ko:K02246	soz:Spy49_0093
ko:K02248	soz:Spy49_0095
ko:K00949	soz:Spy49_0225
ko:K14228	soz:Spy49_tRNAleu5
ko:K03491	soz:Spy49_1047c
ko:K02027	soz:Spy49_0212
ko:K05847	soz:Spy49_0883
ko:K14228	soz:Spy49_tRNAleu7
ko:K14228	soz:Spy49_tRNAleu1
ko:K14228	soz:Spy49_tRNAleu3
ko:K14228	soz:Spy49_tRNAleu6
ko:K01977	soz:Spy49_rRNA16s5
ko:K01977	soz:Spy49_rRNA16s6
ko:K14230	soz:Spy49_tRNAmet1
ko:K01990	soz:Spy49_0615
ko:K02056	soz:Spy49_0973c
ko:K01992	soz:Spy49_1297c
ko:K00105	soz:Spy49_1306c
ko:K02808	soz:Spy49_1415c
ko:K02809	soz:Spy49_1415c
ko:K02810	soz:Spy49_1415c
ko:K11189	soz:Spy49_1095c
ko:K00054	soz:Spy49_0694c
ko:K07483	soz:Spy49_0173c
ko:K07335	soz:Spy49_0974c
ko:K07335	soz:Spy49_0142
ko:K07720	soz:Spy49_1227c
ko:K14221	soz:Spy49_tRNAasp1
ko:K14221	soz:Spy49_tRNAasp3
ko:K14221	soz:Spy49_tRNAasp2
ko:K10947	soz:Spy49_1781
ko:K14219	soz:Spy49_tRNAarg5
ko:K07474	soz:Spy49_0768
ko:K00537	soz:Spy49_0706
ko:K01571	soz:Spy49_0923
ko:K01571	soz:Spy49_0939
ko:K14233	soz:Spy49_tRNAser1
ko:K02786	soz:Spy49_1586c
ko:K14227	soz:Spy49_tRNAile1
ko:K14227	soz:Spy49_tRNAile3
ko:K14227	soz:Spy49_tRNAile2
ko:K14219	soz:Spy49_tRNAarg7
ko:K02029	soz:Spy49_1013c
ko:K02029	soz:Spy49_1287c
ko:K14225	soz:Spy49_tRNAgly1
ko:K14225	soz:Spy49_tRNAgly2
ko:K14260	soz:Spy49_1388c
ko:K14223	soz:Spy49_tRNAgln1
ko:K14223	soz:Spy49_tRNAgln2
ko:K14219	soz:Spy49_tRNAarg4
ko:K14233	soz:Spy49_tRNApseudo2
ko:K01759	soz:Spy49_0429c
ko:K14236	soz:Spy49_tRNAtyr1
ko:K14236	soz:Spy49_tRNAtyr2
ko:K00868	soz:Spy49_1567c
ko:K14220	soz:Spy49_tRNAasn3
ko:K14220	soz:Spy49_tRNAasn1
ko:K14220	soz:Spy49_tRNAasn2
ko:K14229	soz:Spy49_tRNAlys1
ko:K14229	soz:Spy49_tRNAlys2
ko:K14229	soz:Spy49_tRNAlys3
ko:K14230	soz:Spy49_tRNAmet3
ko:K14230	soz:Spy49_tRNAmet4
ko:K02030	soz:Spy49_1011c
ko:K13052	soz:Spy49_0009
ko:K14230	soz:Spy49_tRNAmet2
ko:K14231	soz:Spy49_tRNAphe1
ko:K14231	soz:Spy49_tRNAphe2
ko:K14982	soz:Spy49_0979c
ko:K08177	soz:Spy49_1111c
ko:K11618	soz:Spy49_1254c
ko:K11617	soz:Spy49_1255c
ko:K14983	soz:Spy49_0980c
ko:K02005	soz:Spy49_1680c
ko:K02005	soz:Spy49_0655
ko:K01980	soz:Spy49_rRNA23s2
ko:K01980	soz:Spy49_rRNA23s4
ko:K01980	soz:Spy49_rRNA23s1
ko:K01980	soz:Spy49_rRNA23s5
ko:K01980	soz:Spy49_rRNA23s6
ko:K01980	soz:Spy49_rRNA23s3
ko:K01985	soz:Spy49_rRNA5s1
ko:K01985	soz:Spy49_rRNA5s3
ko:K01985	soz:Spy49_rRNA5s2
ko:K01985	soz:Spy49_rRNA5s5
ko:K01985	soz:Spy49_rRNA5s4
ko:K01985	soz:Spy49_rRNA5s6
ko:K01364	soz:Spy49_1690c
ko:K02817	soz:Spy49_1737c
ko:K02818	soz:Spy49_1737c
ko:K02819	soz:Spy49_1737c
ko:K03324	soz:Spy49_1316c
ko:K03790	soz:Spy49_1079c
ko:K06148	soz:Spy49_0901
ko:K01977	soz:Spy49_rRNA16s4
ko:K01977	soz:Spy49_rRNA16s2
ko:K01977	soz:Spy49_rRNA16s1
ko:K01977	soz:Spy49_rRNA16s3
ko:K01990	soz:Spy49_1298c
ko:K14188	soz:Spy49_1035c
ko:K00752	soz:Spy49_1804
ko:K14218	soz:Spy49_tRNAala1
ko:K14218	soz:Spy49_tRNAala2
ko:K14218	soz:Spy49_tRNAala3
ko:K14218	soz:Spy49_tRNAala5
ko:K14218	soz:Spy49_tRNAala6
ko:K14218	soz:Spy49_tRNAala4
ko:K01992	soz:Spy49_1344c
ko:K01101	soz:Spy49_0821
ko:K14745	soz:Spy49_1630
ko:K00616	soz:Spy49_1696c
ko:K03293	soz:Spy49_1283c
ko:K15035	soz:Spy49_tmRNA
ko:K15051	soz:Spy49_1455
ko:K07474	soz:Spy49_1488c
ko:K02057	soz:Spy49_0972c
ko:K00564	soz:Spy49_0976c
ko:K03436	soz:Spy49_0672
ko:K08652	soz:Spy49_1669c
ko:K14234	soz:Spy49_tRNAthr3
ko:K14226	soz:Spy49_tRNAhis1
ko:K14235	soz:Spy49_tRNAtrp1
ko:K03493	soz:Spy49_0159
ko:K01261	soz:Spy49_0101
ko:K07533	soz:Spy49_1687c
ko:K02028	soz:Spy49_1286c
ko:K02028	soz:Spy49_1012c
ko:K01819	soz:Spy49_1325c
ko:K01819	soz:Spy49_1589c
ko:K02030	soz:Spy49_0266
ko:K01897	soz:Spy49_0441
ko:K02030	soz:Spy49_0605
ko:K06148	soz:Spy49_1400c
ko:K11044	soz:Spy49_0342c
ko:K01992	soz:Spy49_0614
ko:K01271	soz:Spy49_0431c
ko:K03930	soz:Spy49_0803
ko:K07273	soz:Spy49_0508c
ko:K06147	soz:Spy49_0902
ko:K07741	soz:Spy49_1517c
ko:K01819	soz:Spy49_1590c
ko:K07720	soz:Spy49_0839
ko:K01992	soz:Spy49_1392c
ko:K06148	soz:Spy49_1398c
ko:K15051	soz:Spy49_1692c
ko:K14234	soz:Spy49_tRNAthr1
ko:K14234	soz:Spy49_tRNAthr2
ko:K14234	soz:Spy49_tRNAthr4
ko:K14219	soz:Spy49_tRNAarg1
ko:K14219	soz:Spy49_tRNAarg2
ko:K14219	soz:Spy49_tRNAarg3
ko:K14219	soz:Spy49_tRNAarg6
ko:K06909	soz:Spy49_1487c
ko:K06909	soz:Spy49_0769
ko:K06948	soz:Spy49_0258
ko:K14540	soz:Spy49_0912
ko:K11749	soz:Spy49_1620c
ko:K06919	soz:Spy49_0763
ko:K06198	soz:Spy49_1113c
ko:K02794	soz:Spy49_0834
ko:K06919	soz:Spy49_0361c
ko:K15771	soz:Spy49_1029
ko:K01286	soz:Spy49_0247
ko:K00799	soz:Spy49_0727
ko:K01467	soz:Spy49_0010
ko:K00571	soz:Spy49_0097
ko:K03215	soz:Spy49_1072c
ko:K15581	soz:Spy49_0250
ko:K15342	soz:Spy49_1208c
ko:K15583	soz:Spy49_0252
ko:K02428	soz:Spy49_0298
ko:K15738	soz:Spy49_0683
ko:K15582	soz:Spy49_0251
ko:K10823	soz:Spy49_0253
ko:K02001	soz:Spy49_0162
ko:K02002	soz:Spy49_0162
ko:K15986	soz:Spy49_0313
ko:K13677	soz:Spy49_0433
ko:K07464	soz:Spy49_1209c
ko:K07260	soz:Spy49_1378c
ko:K16509	soz:Spy49_0991c
ko:K16511	soz:Spy49_0240
ko:K16264	soz:Spy49_0663c
ko:K03699	soz:Spy49_0311
ko:K16169	soz:Spy49_0888
ko:K01223	soz:Spy49_1049c
ko:K15770	soz:Spy49_1028
ko:K15772	soz:Spy49_1030
ko:K11040	soz:Spy49_0792
ko:K11040	soz:Spy49_0187
ko:K16786	soz:Spy49_1799c
ko:K16787	soz:Spy49_1798c
ko:K16785	soz:Spy49_1797c
ko:K16788	soz:Spy49_1141c
ko:K16789	soz:Spy49_0507c
ko:K07012	soz:Spy49_1213c
ko:K11704	soz:Spy49_0381
ko:K10009	soz:Spy49_0716
ko:K02424	soz:Spy49_0715
ko:K16785	soz:Spy49_1396c
ko:K16926	soz:Spy49_1397c
ko:K16898	soz:Spy49_0604
ko:K16899	soz:Spy49_0603
ko:K08316	soz:Spy49_1190c
ko:K02029	soz:Spy49_1040
ko:K02030	soz:Spy49_1040
ko:K17319	soz:Spy49_1233c
ko:K17318	soz:Spy49_1230c
ko:K02028	soz:Spy49_1041
ko:K17320	soz:Spy49_1231c
ko:K17076	soz:Spy49_0236c
ko:K17073	soz:Spy49_0237c
ko:K17074	soz:Spy49_0237c
ko:K02029	soz:Spy49_1162c
ko:K01035	soz:Spy49_0125
ko:K01992	soz:Spy49_0437
ko:K01992	soz:Spy49_0576
ko:K01992	soz:Spy49_0577
ko:K01990	soz:Spy49_0575
ko:K01990	soz:Spy49_1393c
ko:K01990	soz:Spy49_0436
ko:K02851	soz:Spy49_0241
ko:K17686	soz:Spy49_1332c
ko:K12574	soz:Spy49_0801
ko:K03366	soz:Spy49_0540
ko:K18153	soz:Spy49_0144
ko:K22044	soz:Spy49_1564
ko:K18369	soz:Spy49_0865c
ko:K03742	soz:Spy49_1754c
ko:K18474	soz:Spy49_1371c
ko:K18581	soz:Spy49_0528c
ko:K18682	soz:Spy49_1266c
ko:K06896	soz:Spy49_1635c
ko:K18672	soz:Spy49_0815
ko:K18692	soz:Spy49_1289c
ko:K18892	soz:Spy49_0195
ko:K18891	soz:Spy49_0194
ko:K07029	soz:Spy49_0581
ko:K19002	soz:Spy49_0434
ko:K18979	soz:Spy49_0535
ko:K18986	soz:Spy49_1676c
ko:K18987	soz:Spy49_1677c
ko:K19005	soz:Spy49_0632c
ko:K19119	soz:Spy49_1212c
ko:K09951	soz:Spy49_1207c
ko:K19117	soz:Spy49_1211c
ko:K19118	soz:Spy49_1210c
ko:K19137	soz:Spy49_0827
ko:K19302	soz:Spy49_0308
ko:K04771	soz:Spy49_1821
ko:K06881	soz:Spy49_0554c
ko:K00887	soz:Spy49_0402
ko:K07497	soz:Spy49_1647c
ko:K07052	soz:Spy49_0573
ko:K21636	soz:Spy49_0957c
ko:K21636	soz:Spy49_1747c
ko:K11705	soz:Spy49_0383
ko:K11706	soz:Spy49_0382
ko:K20074	soz:Spy49_1259c
ko:K12132	soz:Spy49_1257c
ko:K20073	soz:Spy49_1274c
ko:K21349	soz:Spy49_0457
ko:K20112	soz:Spy49_1329c
ko:K02777	soz:Spy49_1636c
ko:K20107	soz:Spy49_1636c
ko:K20108	soz:Spy49_1636c
ko:K20114	soz:Spy49_1327c
ko:K20113	soz:Spy49_1328c
ko:K20342	soz:Spy49_0032
ko:K20373	soz:Spy49_0415
ko:K20374	soz:Spy49_0449c
ko:K20375	soz:Spy49_1691
ko:K21064	soz:Spy49_1353
ko:K08968	soz:Spy49_1088c
ko:K21471	soz:Spy49_0015
ko:K21567	soz:Spy49_0668
ko:K21828	soz:Spy49_1198c
ko:K21977	soz:Spy49_0967
ko:K21993	soz:Spy49_1140c
ko:K03078	soz:Spy49_0156
ko:K22278	soz:Spy49_1092c
ko:K03077	soz:Spy49_0158
ko:K03079	soz:Spy49_0157
ko:K22457	soz:Spy49_0543
